context: KING OF THE HILL FINAL BATTLE response:	This is a king of the hill final battle!
context: No! What's this I'm sensing?\Gamagoori, that was foolish.\Life Fiber Synchronize...!\What?!\Senketsu Senjin!\SENKETSU SENJIN\She turned her Kamui into a blade?\You don't have enough energy response:	to transform into your Scourge Regalia!
context: Gamagoori, that was foolish.\Life Fiber Synchronize...!\What?!\Senketsu Senjin!\SENKETSU SENJIN\She turned her Kamui into a blade?\You don't have enough energy\to transform into your Scourge Regalia! response:	Too late!
context: Life Fiber Synchronize...!\What?!\Senketsu Senjin!\SENKETSU SENJIN\She turned her Kamui into a blade?\You don't have enough energy\to transform into your Scourge Regalia!\Too late! response:	Your Life Fibers are totally exposed now!
context: What?!\Senketsu Senjin!\SENKETSU SENJIN\She turned her Kamui into a blade?\You don't have enough energy\to transform into your Scourge Regalia!\Too late!\Your Life Fibers are totally exposed now! response:	Finishing Move: Sen-i-Soshitsu!
context: Senketsu Senjin!\SENKETSU SENJIN\She turned her Kamui into a blade?\You don't have enough energy\to transform into your Scourge Regalia!\Too late!\Your Life Fibers are totally exposed now!\Finishing Move: Sen-i-Soshitsu! response:	SEN-I-SOSHITSU (FIBER LOST)
context: SENKETSU SENJIN\She turned her Kamui into a blade?\You don't have enough energy\to transform into your Scourge Regalia!\Too late!\Your Life Fibers are totally exposed now!\Finishing Move: Sen-i-Soshitsu!\SEN-I-SOSHITSU (FIBER LOST) response:	I-Impossible!
context: She turned her Kamui into a blade?\You don't have enough energy\to transform into your Scourge Regalia!\Too late!\Your Life Fibers are totally exposed now!\Finishing Move: Sen-i-Soshitsu!\SEN-I-SOSHITSU (FIBER LOST)\I-Impossible! response:	Become obsessed with resolve, and even that will turn to arrogance.
context: You don't have enough energy\to transform into your Scourge Regalia!\Too late!\Your Life Fibers are totally exposed now!\Finishing Move: Sen-i-Soshitsu!\SEN-I-SOSHITSU (FIBER LOST)\I-Impossible!\Become obsessed with resolve, and even that will turn to arrogance. response:	A shame.
context: to transform into your Scourge Regalia!\Too late!\Your Life Fibers are totally exposed now!\Finishing Move: Sen-i-Soshitsu!\SEN-I-SOSHITSU (FIBER LOST)\I-Impossible!\Become obsessed with resolve, and even that will turn to arrogance.\A shame. response:	ROUND 1 VICTOR: RYUKO MATOI
context: Too late!\Your Life Fibers are totally exposed now!\Finishing Move: Sen-i-Soshitsu!\SEN-I-SOSHITSU (FIBER LOST)\I-Impossible!\Become obsessed with resolve, and even that will turn to arrogance.\A shame.\ROUND 1 VICTOR: RYUKO MATOI response:	You did it, Ryuko!
context: Your Life Fibers are totally exposed now!\Finishing Move: Sen-i-Soshitsu!\SEN-I-SOSHITSU (FIBER LOST)\I-Impossible!\Become obsessed with resolve, and even that will turn to arrogance.\A shame.\ROUND 1 VICTOR: RYUKO MATOI\You did it, Ryuko! response:	Just like you planned, Senketsu!
context: Finishing Move: Sen-i-Soshitsu!\SEN-I-SOSHITSU (FIBER LOST)\I-Impossible!\Become obsessed with resolve, and even that will turn to arrogance.\A shame.\ROUND 1 VICTOR: RYUKO MATOI\You did it, Ryuko!\Just like you planned, Senketsu! response:	If a Goku Uniform can transform,
context: SEN-I-SOSHITSU (FIBER LOST)\I-Impossible!\Become obsessed with resolve, and even that will turn to arrogance.\A shame.\ROUND 1 VICTOR: RYUKO MATOI\You did it, Ryuko!\Just like you planned, Senketsu!\If a Goku Uniform can transform, response:	it is unthinkable that I cannot do the same.
context: I-Impossible!\Become obsessed with resolve, and even that will turn to arrogance.\A shame.\ROUND 1 VICTOR: RYUKO MATOI\You did it, Ryuko!\Just like you planned, Senketsu!\If a Goku Uniform can transform,\it is unthinkable that I cannot do the same. response:	That positive outlook of yours is what I love about you, Senketsu!
context: Become obsessed with resolve, and even that will turn to arrogance.\A shame.\ROUND 1 VICTOR: RYUKO MATOI\You did it, Ryuko!\Just like you planned, Senketsu!\If a Goku Uniform can transform,\it is unthinkable that I cannot do the same.\That positive outlook of yours is what I love about you, Senketsu! response:	It's learned to alter its configuration based on battlefield conditions.
context: A shame.\ROUND 1 VICTOR: RYUKO MATOI\You did it, Ryuko!\Just like you planned, Senketsu!\If a Goku Uniform can transform,\it is unthinkable that I cannot do the same.\That positive outlook of yours is what I love about you, Senketsu!\It's learned to alter its configuration based on battlefield conditions. response:	I'm impressed, Ryuko.
context: ROUND 1 VICTOR: RYUKO MATOI\You did it, Ryuko!\Just like you planned, Senketsu!\If a Goku Uniform can transform,\it is unthinkable that I cannot do the same.\That positive outlook of yours is what I love about you, Senketsu!\It's learned to alter its configuration based on battlefield conditions.\I'm impressed, Ryuko. response:	Still, I guess I can't simply be happy about it...
context: You did it, Ryuko!\Just like you planned, Senketsu!\If a Goku Uniform can transform,\it is unthinkable that I cannot do the same.\That positive outlook of yours is what I love about you, Senketsu!\It's learned to alter its configuration based on battlefield conditions.\I'm impressed, Ryuko.\Still, I guess I can't simply be happy about it... response:	Disgraceful!
context: Just like you planned, Senketsu!\If a Goku Uniform can transform,\it is unthinkable that I cannot do the same.\That positive outlook of yours is what I love about you, Senketsu!\It's learned to alter its configuration based on battlefield conditions.\I'm impressed, Ryuko.\Still, I guess I can't simply be happy about it...\Disgraceful! response:	That was disgraceful, Ira Gamagoori!
context: If a Goku Uniform can transform,\it is unthinkable that I cannot do the same.\That positive outlook of yours is what I love about you, Senketsu!\It's learned to alter its configuration based on battlefield conditions.\I'm impressed, Ryuko.\Still, I guess I can't simply be happy about it...\Disgraceful!\That was disgraceful, Ira Gamagoori! response:	Lady... Satsuki...
context: it is unthinkable that I cannot do the same.\That positive outlook of yours is what I love about you, Senketsu!\It's learned to alter its configuration based on battlefield conditions.\I'm impressed, Ryuko.\Still, I guess I can't simply be happy about it...\Disgraceful!\That was disgraceful, Ira Gamagoori!\Lady... Satsuki... response:	Wipe away your own tears.
context: That positive outlook of yours is what I love about you, Senketsu!\It's learned to alter its configuration based on battlefield conditions.\I'm impressed, Ryuko.\Still, I guess I can't simply be happy about it...\Disgraceful!\That was disgraceful, Ira Gamagoori!\Lady... Satsuki...\Wipe away your own tears. response:	It's too early to kneel in defeat.
context: It's learned to alter its configuration based on battlefield conditions.\I'm impressed, Ryuko.\Still, I guess I can't simply be happy about it...\Disgraceful!\That was disgraceful, Ira Gamagoori!\Lady... Satsuki...\Wipe away your own tears.\It's too early to kneel in defeat. response:	That's one down, Kiryuin!
context: I'm impressed, Ryuko.\Still, I guess I can't simply be happy about it...\Disgraceful!\That was disgraceful, Ira Gamagoori!\Lady... Satsuki...\Wipe away your own tears.\It's too early to kneel in defeat.\That's one down, Kiryuin! response:	I suppose that means...
context: Still, I guess I can't simply be happy about it...\Disgraceful!\That was disgraceful, Ira Gamagoori!\Lady... Satsuki...\Wipe away your own tears.\It's too early to kneel in defeat.\That's one down, Kiryuin!\I suppose that means... response:	You are free to rest, Matoi!
context: Disgraceful!\That was disgraceful, Ira Gamagoori!\Lady... Satsuki...\Wipe away your own tears.\It's too early to kneel in defeat.\That's one down, Kiryuin!\I suppose that means...\You are free to rest, Matoi! response:	Get real!
context: That was disgraceful, Ira Gamagoori!\Lady... Satsuki...\Wipe away your own tears.\It's too early to kneel in defeat.\That's one down, Kiryuin!\I suppose that means...\You are free to rest, Matoi!\Get real! response:	I gotta waste your chumps and then come after you!
context: Lady... Satsuki...\Wipe away your own tears.\It's too early to kneel in defeat.\That's one down, Kiryuin!\I suppose that means...\You are free to rest, Matoi!\Get real!\I gotta waste your chumps and then come after you! response:	Ryuko...
context: Wipe away your own tears.\It's too early to kneel in defeat.\That's one down, Kiryuin!\I suppose that means...\You are free to rest, Matoi!\Get real!\I gotta waste your chumps and then come after you!\Ryuko... response:	Okay, let's get to it.
context: It's too early to kneel in defeat.\That's one down, Kiryuin!\I suppose that means...\You are free to rest, Matoi!\Get real!\I gotta waste your chumps and then come after you!\Ryuko...\Okay, let's get to it. response:	So impatient...
context: That's one down, Kiryuin!\I suppose that means...\You are free to rest, Matoi!\Get real!\I gotta waste your chumps and then come after you!\Ryuko...\Okay, let's get to it.\So impatient... response:	Still, I hate to waste time, too.
context: I suppose that means...\You are free to rest, Matoi!\Get real!\I gotta waste your chumps and then come after you!\Ryuko...\Okay, let's get to it.\So impatient...\Still, I hate to waste time, too. response:	NEXT EPISODE PREVIEW
context: You are free to rest, Matoi!\Get real!\I gotta waste your chumps and then come after you!\Ryuko...\Okay, let's get to it.\So impatient...\Still, I hate to waste time, too.\NEXT EPISODE PREVIEW response:	To be skilled at searching out information is to be skilled at love.
context: Get real!\I gotta waste your chumps and then come after you!\Ryuko...\Okay, let's get to it.\So impatient...\Still, I hate to waste time, too.\NEXT EPISODE PREVIEW\To be skilled at searching out information is to be skilled at love. response:	Inputting opponent data! To be skilled at analysis is to be skilled at love!
context: I gotta waste your chumps and then come after you!\Ryuko...\Okay, let's get to it.\So impatient...\Still, I hate to waste time, too.\NEXT EPISODE PREVIEW\To be skilled at searching out information is to be skilled at love.\Inputting opponent data! To be skilled at analysis is to be skilled at love! response:	DATA
context: Ryuko...\Okay, let's get to it.\So impatient...\Still, I hate to waste time, too.\NEXT EPISODE PREVIEW\To be skilled at searching out information is to be skilled at love.\Inputting opponent data! To be skilled at analysis is to be skilled at love!\DATA response:	ANALYSIS
context: Okay, let's get to it.\So impatient...\Still, I hate to waste time, too.\NEXT EPISODE PREVIEW\To be skilled at searching out information is to be skilled at love.\Inputting opponent data! To be skilled at analysis is to be skilled at love!\DATA\ANALYSIS response:	Meticulously observe where one's feelings are headed!
context: So impatient...\Still, I hate to waste time, too.\NEXT EPISODE PREVIEW\To be skilled at searching out information is to be skilled at love.\Inputting opponent data! To be skilled at analysis is to be skilled at love!\DATA\ANALYSIS\Meticulously observe where one's feelings are headed! response:	METICULOUSLY
context: Still, I hate to waste time, too.\NEXT EPISODE PREVIEW\To be skilled at searching out information is to be skilled at love.\Inputting opponent data! To be skilled at analysis is to be skilled at love!\DATA\ANALYSIS\Meticulously observe where one's feelings are headed!\METICULOUSLY response:	MAN VERSUS WOMAN
context: NEXT EPISODE PREVIEW\To be skilled at searching out information is to be skilled at love.\Inputting opponent data! To be skilled at analysis is to be skilled at love!\DATA\ANALYSIS\Meticulously observe where one's feelings are headed!\METICULOUSLY\MAN VERSUS WOMAN response:	Man versus woman, who will win?!
context: To be skilled at searching out information is to be skilled at love.\Inputting opponent data! To be skilled at analysis is to be skilled at love!\DATA\ANALYSIS\Meticulously observe where one's feelings are headed!\METICULOUSLY\MAN VERSUS WOMAN\Man versus woman, who will win?! response:	Next time on Kill la Kill, I Want to Know More about You!
context: Inputting opponent data! To be skilled at analysis is to be skilled at love!\DATA\ANALYSIS\Meticulously observe where one's feelings are headed!\METICULOUSLY\MAN VERSUS WOMAN\Man versus woman, who will win?!\Next time on Kill la Kill, I Want to Know More about You! response:	EPISODE 10 I WANT TO KNOW MORE ABOUT YOU
