context: Can't something fun happen for once? response:	Every single day bores me to death.
context: But I won't condone a violent punishment.\As respectable members of our renowned school, we have an established way to resolve conflicts.\Fine, then.\I'll take you up on it!\In the case of irreconcilable differences at our academy,\the two parties are allowed to engage in a fair duel under the watchful eyes of the knight statues.\This is a tradition that goes back to our very founding.\If you win, I will release both the rat and the Grail. response:	But if you lose, both you and the rat will receive judgement, and the Grail will be broken to bits.
context: As respectable members of our renowned school, we have an established way to resolve conflicts.\Fine, then.\I'll take you up on it!\In the case of irreconcilable differences at our academy,\the two parties are allowed to engage in a fair duel under the watchful eyes of the knight statues.\This is a tradition that goes back to our very founding.\If you win, I will release both the rat and the Grail.\But if you lose, both you and the rat will receive judgement, and the Grail will be broken to bits. response:	Amanda, this might be the key to reviving a Word.
context: Fine, then.\I'll take you up on it!\In the case of irreconcilable differences at our academy,\the two parties are allowed to engage in a fair duel under the watchful eyes of the knight statues.\This is a tradition that goes back to our very founding.\If you win, I will release both the rat and the Grail.\But if you lose, both you and the rat will receive judgement, and the Grail will be broken to bits.\Amanda, this might be the key to reviving a Word. response:	For real? It's one of your experiences?
context: I'll take you up on it!\In the case of irreconcilable differences at our academy,\the two parties are allowed to engage in a fair duel under the watchful eyes of the knight statues.\This is a tradition that goes back to our very founding.\If you win, I will release both the rat and the Grail.\But if you lose, both you and the rat will receive judgement, and the Grail will be broken to bits.\Amanda, this might be the key to reviving a Word.\For real? It's one of your experiences? response:	Well...
context: In the case of irreconcilable differences at our academy,\the two parties are allowed to engage in a fair duel under the watchful eyes of the knight statues.\This is a tradition that goes back to our very founding.\If you win, I will release both the rat and the Grail.\But if you lose, both you and the rat will receive judgement, and the Grail will be broken to bits.\Amanda, this might be the key to reviving a Word.\For real? It's one of your experiences?\Well... response:	What are you mumbling about? En garde!
context: the two parties are allowed to engage in a fair duel under the watchful eyes of the knight statues.\This is a tradition that goes back to our very founding.\If you win, I will release both the rat and the Grail.\But if you lose, both you and the rat will receive judgement, and the Grail will be broken to bits.\Amanda, this might be the key to reviving a Word.\For real? It's one of your experiences?\Well...\What are you mumbling about? En garde! response:	We begin when this falls.
context: This is a tradition that goes back to our very founding.\If you win, I will release both the rat and the Grail.\But if you lose, both you and the rat will receive judgement, and the Grail will be broken to bits.\Amanda, this might be the key to reviving a Word.\For real? It's one of your experiences?\Well...\What are you mumbling about? En garde!\We begin when this falls. response:	What the?!
context: If you win, I will release both the rat and the Grail.\But if you lose, both you and the rat will receive judgement, and the Grail will be broken to bits.\Amanda, this might be the key to reviving a Word.\For real? It's one of your experiences?\Well...\What are you mumbling about? En garde!\We begin when this falls.\What the?! response:	The hell're you doing?!
context: But if you lose, both you and the rat will receive judgement, and the Grail will be broken to bits.\Amanda, this might be the key to reviving a Word.\For real? It's one of your experiences?\Well...\What are you mumbling about? En garde!\We begin when this falls.\What the?!\The hell're you doing?! response:	It didn't fall yet!
context: Amanda, this might be the key to reviving a Word.\For real? It's one of your experiences?\Well...\What are you mumbling about? En garde!\We begin when this falls.\What the?!\The hell're you doing?!\It didn't fall yet! response:	There's no need to fight a witch fair and square!
context: For real? It's one of your experiences?\Well...\What are you mumbling about? En garde!\We begin when this falls.\What the?!\The hell're you doing?!\It didn't fall yet!\There's no need to fight a witch fair and square! response:	Amanda!
context: Well...\What are you mumbling about? En garde!\We begin when this falls.\What the?!\The hell're you doing?!\It didn't fall yet!\There's no need to fight a witch fair and square!\Amanda! response:	Fall!
context: What are you mumbling about? En garde!\We begin when this falls.\What the?!\The hell're you doing?!\It didn't fall yet!\There's no need to fight a witch fair and square!\Amanda!\Fall! response:	What's wrong?
context: We begin when this falls.\What the?!\The hell're you doing?!\It didn't fall yet!\There's no need to fight a witch fair and square!\Amanda!\Fall!\What's wrong? response:	Why not use some of your fabled magic?
context: What the?!\The hell're you doing?!\It didn't fall yet!\There's no need to fight a witch fair and square!\Amanda!\Fall!\What's wrong?\Why not use some of your fabled magic? response:	That'd mean wasting it on a bastard like you!
context: The hell're you doing?!\It didn't fall yet!\There's no need to fight a witch fair and square!\Amanda!\Fall!\What's wrong?\Why not use some of your fabled magic?\That'd mean wasting it on a bastard like you! response:	A witch without magic is worth even less than a commoner!
context: It didn't fall yet!\There's no need to fight a witch fair and square!\Amanda!\Fall!\What's wrong?\Why not use some of your fabled magic?\That'd mean wasting it on a bastard like you!\A witch without magic is worth even less than a commoner! response:	Keep babbling! I don't need to answer to you!
context: There's no need to fight a witch fair and square!\Amanda!\Fall!\What's wrong?\Why not use some of your fabled magic?\That'd mean wasting it on a bastard like you!\A witch without magic is worth even less than a commoner!\Keep babbling! I don't need to answer to you! response:	Damn!
context: Amanda!\Fall!\What's wrong?\Why not use some of your fabled magic?\That'd mean wasting it on a bastard like you!\A witch without magic is worth even less than a commoner!\Keep babbling! I don't need to answer to you!\Damn! response:	You're finished!
context: Fall!\What's wrong?\Why not use some of your fabled magic?\That'd mean wasting it on a bastard like you!\A witch without magic is worth even less than a commoner!\Keep babbling! I don't need to answer to you!\Damn!\You're finished! response:	We have a winner, wouldn't you say?
context: What's wrong?\Why not use some of your fabled magic?\That'd mean wasting it on a bastard like you!\A witch without magic is worth even less than a commoner!\Keep babbling! I don't need to answer to you!\Damn!\You're finished!\We have a winner, wouldn't you say? response:	Yay! Amanda, that was so cool!
context: Why not use some of your fabled magic?\That'd mean wasting it on a bastard like you!\A witch without magic is worth even less than a commoner!\Keep babbling! I don't need to answer to you!\Damn!\You're finished!\We have a winner, wouldn't you say?\Yay! Amanda, that was so cool! response:	Was this a good enough experience for the Word?
context: That'd mean wasting it on a bastard like you!\A witch without magic is worth even less than a commoner!\Keep babbling! I don't need to answer to you!\Damn!\You're finished!\We have a winner, wouldn't you say?\Yay! Amanda, that was so cool!\Was this a good enough experience for the Word? response:	Maybe. I dunno.
context: A witch without magic is worth even less than a commoner!\Keep babbling! I don't need to answer to you!\Damn!\You're finished!\We have a winner, wouldn't you say?\Yay! Amanda, that was so cool!\Was this a good enough experience for the Word?\Maybe. I dunno. response:	Huh?!
context: Keep babbling! I don't need to answer to you!\Damn!\You're finished!\We have a winner, wouldn't you say?\Yay! Amanda, that was so cool!\Was this a good enough experience for the Word?\Maybe. I dunno.\Huh?! response:	Shit!
context: Damn!\You're finished!\We have a winner, wouldn't you say?\Yay! Amanda, that was so cool!\Was this a good enough experience for the Word?\Maybe. I dunno.\Huh?!\Shit! response:	As if I'd give this...
context: You're finished!\We have a winner, wouldn't you say?\Yay! Amanda, that was so cool!\Was this a good enough experience for the Word?\Maybe. I dunno.\Huh?!\Shit!\As if I'd give this... response:	Hey, what do you think you're doing?!
context: We have a winner, wouldn't you say?\Yay! Amanda, that was so cool!\Was this a good enough experience for the Word?\Maybe. I dunno.\Huh?!\Shit!\As if I'd give this...\Hey, what do you think you're doing?! response:	To a witch!
context: Yay! Amanda, that was so cool!\Was this a good enough experience for the Word?\Maybe. I dunno.\Huh?!\Shit!\As if I'd give this...\Hey, what do you think you're doing?!\To a witch! response:	What the heck?
context: Was this a good enough experience for the Word?\Maybe. I dunno.\Huh?!\Shit!\As if I'd give this...\Hey, what do you think you're doing?!\To a witch!\What the heck? response:	Huh? What happened?
context: Maybe. I dunno.\Huh?!\Shit!\As if I'd give this...\Hey, what do you think you're doing?!\To a witch!\What the heck?\Huh? What happened? response:	Hey now, is this supposed to be that Word magic?
context: Huh?!\Shit!\As if I'd give this...\Hey, what do you think you're doing?!\To a witch!\What the heck?\Huh? What happened?\Hey now, is this supposed to be that Word magic? response:	Help me!
context: Shit!\As if I'd give this...\Hey, what do you think you're doing?!\To a witch!\What the heck?\Huh? What happened?\Hey now, is this supposed to be that Word magic?\Help me! response:	What is that thing?
context: As if I'd give this...\Hey, what do you think you're doing?!\To a witch!\What the heck?\Huh? What happened?\Hey now, is this supposed to be that Word magic?\Help me!\What is that thing? response:	No, that's not a Word at all!
context: Hey, what do you think you're doing?!\To a witch!\What the heck?\Huh? What happened?\Hey now, is this supposed to be that Word magic?\Help me!\What is that thing?\No, that's not a Word at all! response:	Explain what's going on!
context: To a witch!\What the heck?\Huh? What happened?\Hey now, is this supposed to be that Word magic?\Help me!\What is that thing?\No, that's not a Word at all!\Explain what's going on! response:	Don't ask me! This was your Holy Grail!
context: What the heck?\Huh? What happened?\Hey now, is this supposed to be that Word magic?\Help me!\What is that thing?\No, that's not a Word at all!\Explain what's going on!\Don't ask me! This was your Holy Grail! response:	You're breaking the rules here.
context: Huh? What happened?\Hey now, is this supposed to be that Word magic?\Help me!\What is that thing?\No, that's not a Word at all!\Explain what's going on!\Don't ask me! This was your Holy Grail!\You're breaking the rules here. response:	Shit, if only I could use magic...
context: Hey now, is this supposed to be that Word magic?\Help me!\What is that thing?\No, that's not a Word at all!\Explain what's going on!\Don't ask me! This was your Holy Grail!\You're breaking the rules here.\Shit, if only I could use magic... response:	Crap!
context: Help me!\What is that thing?\No, that's not a Word at all!\Explain what's going on!\Don't ask me! This was your Holy Grail!\You're breaking the rules here.\Shit, if only I could use magic...\Crap! response:	Look out!
context: What is that thing?\No, that's not a Word at all!\Explain what's going on!\Don't ask me! This was your Holy Grail!\You're breaking the rules here.\Shit, if only I could use magic...\Crap!\Look out! response:	Aw man...
context: No, that's not a Word at all!\Explain what's going on!\Don't ask me! This was your Holy Grail!\You're breaking the rules here.\Shit, if only I could use magic...\Crap!\Look out!\Aw man... response:	I-I meant to do that!
context: Explain what's going on!\Don't ask me! This was your Holy Grail!\You're breaking the rules here.\Shit, if only I could use magic...\Crap!\Look out!\Aw man...\I-I meant to do that! response:	Found it!
context: Don't ask me! This was your Holy Grail!\You're breaking the rules here.\Shit, if only I could use magic...\Crap!\Look out!\Aw man...\I-I meant to do that!\Found it! response:	Andrew!
context: You're breaking the rules here.\Shit, if only I could use magic...\Crap!\Look out!\Aw man...\I-I meant to do that!\Found it!\Andrew! response:	Get this to Amanda!
context: Shit, if only I could use magic...\Crap!\Look out!\Aw man...\I-I meant to do that!\Found it!\Andrew!\Get this to Amanda! response:	Amanda!
context: Crap!\Look out!\Aw man...\I-I meant to do that!\Found it!\Andrew!\Get this to Amanda!\Amanda! response:	Catch!
context: Look out!\Aw man...\I-I meant to do that!\Found it!\Andrew!\Get this to Amanda!\Amanda!\Catch! response:	Thanks!
context: Aw man...\I-I meant to do that!\Found it!\Andrew!\Get this to Amanda!\Amanda!\Catch!\Thanks! response:	Now that I've got this...
context: I-I meant to do that!\Found it!\Andrew!\Get this to Amanda!\Amanda!\Catch!\Thanks!\Now that I've got this... response:	Eat this!
context: Found it!\Andrew!\Get this to Amanda!\Amanda!\Catch!\Thanks!\Now that I've got this...\Eat this! response:	Huh? It's those things again...
context: Andrew!\Get this to Amanda!\Amanda!\Catch!\Thanks!\Now that I've got this...\Eat this!\Huh? It's those things again... response:	Well, whatever.
context: Get this to Amanda!\Amanda!\Catch!\Thanks!\Now that I've got this...\Eat this!\Huh? It's those things again...\Well, whatever. response:	You okay?
context: Amanda!\Catch!\Thanks!\Now that I've got this...\Eat this!\Huh? It's those things again...\Well, whatever.\You okay? response:	Th-Thanks...
context: Catch!\Thanks!\Now that I've got this...\Eat this!\Huh? It's those things again...\Well, whatever.\You okay?\Th-Thanks... response:	Amanda!
context: Thanks!\Now that I've got this...\Eat this!\Huh? It's those things again...\Well, whatever.\You okay?\Th-Thanks...\Amanda! response:	Sorry about the Grail, Akko.
context: Now that I've got this...\Eat this!\Huh? It's those things again...\Well, whatever.\You okay?\Th-Thanks...\Amanda!\Sorry about the Grail, Akko. response:	There's no way that thing was related to a Word.
context: Eat this!\Huh? It's those things again...\Well, whatever.\You okay?\Th-Thanks...\Amanda!\Sorry about the Grail, Akko.\There's no way that thing was related to a Word. response:	It must've been a demon sealed inside it a long time ago or something.
context: Huh? It's those things again...\Well, whatever.\You okay?\Th-Thanks...\Amanda!\Sorry about the Grail, Akko.\There's no way that thing was related to a Word.\It must've been a demon sealed inside it a long time ago or something. response:	You sure?
context: Well, whatever.\You okay?\Th-Thanks...\Amanda!\Sorry about the Grail, Akko.\There's no way that thing was related to a Word.\It must've been a demon sealed inside it a long time ago or something.\You sure? response:	More importantly...
context: You okay?\Th-Thanks...\Amanda!\Sorry about the Grail, Akko.\There's no way that thing was related to a Word.\It must've been a demon sealed inside it a long time ago or something.\You sure?\More importantly... response:	This looks pretty bad...
context: Th-Thanks...\Amanda!\Sorry about the Grail, Akko.\There's no way that thing was related to a Word.\It must've been a demon sealed inside it a long time ago or something.\You sure?\More importantly...\This looks pretty bad... response:	What is the meaning of this?!
context: Amanda!\Sorry about the Grail, Akko.\There's no way that thing was related to a Word.\It must've been a demon sealed inside it a long time ago or something.\You sure?\More importantly...\This looks pretty bad...\What is the meaning of this?! response:	Father...
context: Sorry about the Grail, Akko.\There's no way that thing was related to a Word.\It must've been a demon sealed inside it a long time ago or something.\You sure?\More importantly...\This looks pretty bad...\What is the meaning of this?!\Father... response:	A witch? So it was your doing!
context: There's no way that thing was related to a Word.\It must've been a demon sealed inside it a long time ago or something.\You sure?\More importantly...\This looks pretty bad...\What is the meaning of this?!\Father...\A witch? So it was your doing! response:	Oh, Louis! Look what that witch has done to you!
context: It must've been a demon sealed inside it a long time ago or something.\You sure?\More importantly...\This looks pretty bad...\What is the meaning of this?!\Father...\A witch? So it was your doing!\Oh, Louis! Look what that witch has done to you! response:	Capture her at once!
context: You sure?\More importantly...\This looks pretty bad...\What is the meaning of this?!\Father...\A witch? So it was your doing!\Oh, Louis! Look what that witch has done to you!\Capture her at once! response:	Respond! Don't just stand there!
context: More importantly...\This looks pretty bad...\What is the meaning of this?!\Father...\A witch? So it was your doing!\Oh, Louis! Look what that witch has done to you!\Capture her at once!\Respond! Don't just stand there! response:	You're mistaken.
context: This looks pretty bad...\What is the meaning of this?!\Father...\A witch? So it was your doing!\Oh, Louis! Look what that witch has done to you!\Capture her at once!\Respond! Don't just stand there!\You're mistaken. response:	Andrew! Are you protecting the witch?
context: What is the meaning of this?!\Father...\A witch? So it was your doing!\Oh, Louis! Look what that witch has done to you!\Capture her at once!\Respond! Don't just stand there!\You're mistaken.\Andrew! Are you protecting the witch? response:	You may be a Hanbridge, but how will you explain what's happened to my son?!
context: Father...\A witch? So it was your doing!\Oh, Louis! Look what that witch has done to you!\Capture her at once!\Respond! Don't just stand there!\You're mistaken.\Andrew! Are you protecting the witch?\You may be a Hanbridge, but how will you explain what's happened to my son?! response:	It is indeed the case that this girl trespassed on our school grounds.
context: A witch? So it was your doing!\Oh, Louis! Look what that witch has done to you!\Capture her at once!\Respond! Don't just stand there!\You're mistaken.\Andrew! Are you protecting the witch?\You may be a Hanbridge, but how will you explain what's happened to my son?!\It is indeed the case that this girl trespassed on our school grounds. response:	In response, Louis proposed to enact a cruel and unusual punishment.
context: Oh, Louis! Look what that witch has done to you!\Capture her at once!\Respond! Don't just stand there!\You're mistaken.\Andrew! Are you protecting the witch?\You may be a Hanbridge, but how will you explain what's happened to my son?!\It is indeed the case that this girl trespassed on our school grounds.\In response, Louis proposed to enact a cruel and unusual punishment. response:	As you are aware, parties in disagreement may face each other in this place.
context: Capture her at once!\Respond! Don't just stand there!\You're mistaken.\Andrew! Are you protecting the witch?\You may be a Hanbridge, but how will you explain what's happened to my son?!\It is indeed the case that this girl trespassed on our school grounds.\In response, Louis proposed to enact a cruel and unusual punishment.\As you are aware, parties in disagreement may face each other in this place. response:	They simply followed Appleton's tradition.
context: Respond! Don't just stand there!\You're mistaken.\Andrew! Are you protecting the witch?\You may be a Hanbridge, but how will you explain what's happened to my son?!\It is indeed the case that this girl trespassed on our school grounds.\In response, Louis proposed to enact a cruel and unusual punishment.\As you are aware, parties in disagreement may face each other in this place.\They simply followed Appleton's tradition. response:	She ended up winning their duel.
context: You're mistaken.\Andrew! Are you protecting the witch?\You may be a Hanbridge, but how will you explain what's happened to my son?!\It is indeed the case that this girl trespassed on our school grounds.\In response, Louis proposed to enact a cruel and unusual punishment.\As you are aware, parties in disagreement may face each other in this place.\They simply followed Appleton's tradition.\She ended up winning their duel. response:	Were you brainwashed by that witch?
context: Andrew! Are you protecting the witch?\You may be a Hanbridge, but how will you explain what's happened to my son?!\It is indeed the case that this girl trespassed on our school grounds.\In response, Louis proposed to enact a cruel and unusual punishment.\As you are aware, parties in disagreement may face each other in this place.\They simply followed Appleton's tradition.\She ended up winning their duel.\Were you brainwashed by that witch? response:	I wasn't, Father.
context: You may be a Hanbridge, but how will you explain what's happened to my son?!\It is indeed the case that this girl trespassed on our school grounds.\In response, Louis proposed to enact a cruel and unusual punishment.\As you are aware, parties in disagreement may face each other in this place.\They simply followed Appleton's tradition.\She ended up winning their duel.\Were you brainwashed by that witch?\I wasn't, Father. response:	Before I knew what came over me, the situation devolved into chaos and I found myself on the verge of death.
context: It is indeed the case that this girl trespassed on our school grounds.\In response, Louis proposed to enact a cruel and unusual punishment.\As you are aware, parties in disagreement may face each other in this place.\They simply followed Appleton's tradition.\She ended up winning their duel.\Were you brainwashed by that witch?\I wasn't, Father.\Before I knew what came over me, the situation devolved into chaos and I found myself on the verge of death. response:	This girl saved my life.
context: In response, Louis proposed to enact a cruel and unusual punishment.\As you are aware, parties in disagreement may face each other in this place.\They simply followed Appleton's tradition.\She ended up winning their duel.\Were you brainwashed by that witch?\I wasn't, Father.\Before I knew what came over me, the situation devolved into chaos and I found myself on the verge of death.\This girl saved my life. response:	It was all my fault!
context: As you are aware, parties in disagreement may face each other in this place.\They simply followed Appleton's tradition.\She ended up winning their duel.\Were you brainwashed by that witch?\I wasn't, Father.\Before I knew what came over me, the situation devolved into chaos and I found myself on the verge of death.\This girl saved my life.\It was all my fault! response:	Wh-What are you saying?
context: They simply followed Appleton's tradition.\She ended up winning their duel.\Were you brainwashed by that witch?\I wasn't, Father.\Before I knew what came over me, the situation devolved into chaos and I found myself on the verge of death.\This girl saved my life.\It was all my fault!\Wh-What are you saying? response:	I'll take care of the rest. You've finished your business here, haven't you?
context: She ended up winning their duel.\Were you brainwashed by that witch?\I wasn't, Father.\Before I knew what came over me, the situation devolved into chaos and I found myself on the verge of death.\This girl saved my life.\It was all my fault!\Wh-What are you saying?\I'll take care of the rest. You've finished your business here, haven't you? response:	Get going.
context: Were you brainwashed by that witch?\I wasn't, Father.\Before I knew what came over me, the situation devolved into chaos and I found myself on the verge of death.\This girl saved my life.\It was all my fault!\Wh-What are you saying?\I'll take care of the rest. You've finished your business here, haven't you?\Get going. response:	Um, thanks for saving me.
context: I wasn't, Father.\Before I knew what came over me, the situation devolved into chaos and I found myself on the verge of death.\This girl saved my life.\It was all my fault!\Wh-What are you saying?\I'll take care of the rest. You've finished your business here, haven't you?\Get going.\Um, thanks for saving me. response:	Also, uh...
context: Before I knew what came over me, the situation devolved into chaos and I found myself on the verge of death.\This girl saved my life.\It was all my fault!\Wh-What are you saying?\I'll take care of the rest. You've finished your business here, haven't you?\Get going.\Um, thanks for saving me.\Also, uh... response:	Didn't you get what you came for?
context: This girl saved my life.\It was all my fault!\Wh-What are you saying?\I'll take care of the rest. You've finished your business here, haven't you?\Get going.\Um, thanks for saving me.\Also, uh...\Didn't you get what you came for? response:	Go.
context: It was all my fault!\Wh-What are you saying?\I'll take care of the rest. You've finished your business here, haven't you?\Get going.\Um, thanks for saving me.\Also, uh...\Didn't you get what you came for?\Go. response:	Akko, about today... I'm sorry for all the crazy stuff I caused.
context: Wh-What are you saying?\I'll take care of the rest. You've finished your business here, haven't you?\Get going.\Um, thanks for saving me.\Also, uh...\Didn't you get what you came for?\Go.\Akko, about today... I'm sorry for all the crazy stuff I caused. response:	You're actually feeling guilty for once.
context: I'll take care of the rest. You've finished your business here, haven't you?\Get going.\Um, thanks for saving me.\Also, uh...\Didn't you get what you came for?\Go.\Akko, about today... I'm sorry for all the crazy stuff I caused.\You're actually feeling guilty for once. response:	Well, guess I am.
context: Get going.\Um, thanks for saving me.\Also, uh...\Didn't you get what you came for?\Go.\Akko, about today... I'm sorry for all the crazy stuff I caused.\You're actually feeling guilty for once.\Well, guess I am. response:	But you feel refreshed too, now that you got to go wild!
context: Um, thanks for saving me.\Also, uh...\Didn't you get what you came for?\Go.\Akko, about today... I'm sorry for all the crazy stuff I caused.\You're actually feeling guilty for once.\Well, guess I am.\But you feel refreshed too, now that you got to go wild! response:	Can't say I don't! I sure don't get bored when you're around.
context: Also, uh...\Didn't you get what you came for?\Go.\Akko, about today... I'm sorry for all the crazy stuff I caused.\You're actually feeling guilty for once.\Well, guess I am.\But you feel refreshed too, now that you got to go wild!\Can't say I don't! I sure don't get bored when you're around. response:	And it wouldn't be any fun without you around either, so don't even think of quitting!
context: Didn't you get what you came for?\Go.\Akko, about today... I'm sorry for all the crazy stuff I caused.\You're actually feeling guilty for once.\Well, guess I am.\But you feel refreshed too, now that you got to go wild!\Can't say I don't! I sure don't get bored when you're around.\And it wouldn't be any fun without you around either, so don't even think of quitting! response:	Can't make any promises.
context: Go.\Akko, about today... I'm sorry for all the crazy stuff I caused.\You're actually feeling guilty for once.\Well, guess I am.\But you feel refreshed too, now that you got to go wild!\Can't say I don't! I sure don't get bored when you're around.\And it wouldn't be any fun without you around either, so don't even think of quitting!\Can't make any promises. response:	I wanna go on more adventures with you!
context: Akko, about today... I'm sorry for all the crazy stuff I caused.\You're actually feeling guilty for once.\Well, guess I am.\But you feel refreshed too, now that you got to go wild!\Can't say I don't! I sure don't get bored when you're around.\And it wouldn't be any fun without you around either, so don't even think of quitting!\Can't make any promises.\I wanna go on more adventures with you! response:	Like this?
context: You're actually feeling guilty for once.\Well, guess I am.\But you feel refreshed too, now that you got to go wild!\Can't say I don't! I sure don't get bored when you're around.\And it wouldn't be any fun without you around either, so don't even think of quitting!\Can't make any promises.\I wanna go on more adventures with you!\Like this? response:	What're you doing?!
context: Well, guess I am.\But you feel refreshed too, now that you got to go wild!\Can't say I don't! I sure don't get bored when you're around.\And it wouldn't be any fun without you around either, so don't even think of quitting!\Can't make any promises.\I wanna go on more adventures with you!\Like this?\What're you doing?! response:	Case 622: Experiment complete.
context: But you feel refreshed too, now that you got to go wild!\Can't say I don't! I sure don't get bored when you're around.\And it wouldn't be any fun without you around either, so don't even think of quitting!\Can't make any promises.\I wanna go on more adventures with you!\Like this?\What're you doing?!\Case 622: Experiment complete. response:	Even though I just learned another spell
context: Can't say I don't! I sure don't get bored when you're around.\And it wouldn't be any fun without you around either, so don't even think of quitting!\Can't make any promises.\I wanna go on more adventures with you!\Like this?\What're you doing?!\Case 622: Experiment complete.\Even though I just learned another spell response:	oboetate no jumon ja
context: And it wouldn't be any fun without you around either, so don't even think of quitting!\Can't make any promises.\I wanna go on more adventures with you!\Like this?\What're you doing?!\Case 622: Experiment complete.\Even though I just learned another spell\oboetate no jumon ja response:	Even though I just learned another spell
context: Can't make any promises.\I wanna go on more adventures with you!\Like this?\What're you doing?!\Case 622: Experiment complete.\Even though I just learned another spell\oboetate no jumon ja\Even though I just learned another spell response:	oboetate no jumon ja
context: I wanna go on more adventures with you!\Like this?\What're you doing?!\Case 622: Experiment complete.\Even though I just learned another spell\oboetate no jumon ja\Even though I just learned another spell\oboetate no jumon ja response:	The things I want to do are still out of reach
context: Like this?\What're you doing?!\Case 622: Experiment complete.\Even though I just learned another spell\oboetate no jumon ja\Even though I just learned another spell\oboetate no jumon ja\The things I want to do are still out of reach response:	kanawanai koto bakari dakedo
context: What're you doing?!\Case 622: Experiment complete.\Even though I just learned another spell\oboetate no jumon ja\Even though I just learned another spell\oboetate no jumon ja\The things I want to do are still out of reach\kanawanai koto bakari dakedo response:	The things I want to do are still out of reach
context: Case 622: Experiment complete.\Even though I just learned another spell\oboetate no jumon ja\Even though I just learned another spell\oboetate no jumon ja\The things I want to do are still out of reach\kanawanai koto bakari dakedo\The things I want to do are still out of reach response:	kanawanai koto bakari dakedo
context: Even though I just learned another spell\oboetate no jumon ja\Even though I just learned another spell\oboetate no jumon ja\The things I want to do are still out of reach\kanawanai koto bakari dakedo\The things I want to do are still out of reach\kanawanai koto bakari dakedo response:	My skills are no match for my fantasies
context: oboetate no jumon ja\Even though I just learned another spell\oboetate no jumon ja\The things I want to do are still out of reach\kanawanai koto bakari dakedo\The things I want to do are still out of reach\kanawanai koto bakari dakedo\My skills are no match for my fantasies response:	imeeji suru no wa ima yori takaku
context: Even though I just learned another spell\oboetate no jumon ja\The things I want to do are still out of reach\kanawanai koto bakari dakedo\The things I want to do are still out of reach\kanawanai koto bakari dakedo\My skills are no match for my fantasies\imeeji suru no wa ima yori takaku response:	My skills are no match for my fantasies
context: oboetate no jumon ja\The things I want to do are still out of reach\kanawanai koto bakari dakedo\The things I want to do are still out of reach\kanawanai koto bakari dakedo\My skills are no match for my fantasies\imeeji suru no wa ima yori takaku\My skills are no match for my fantasies response:	imeeji suru no wa ima yori takaku
context: The things I want to do are still out of reach\kanawanai koto bakari dakedo\The things I want to do are still out of reach\kanawanai koto bakari dakedo\My skills are no match for my fantasies\imeeji suru no wa ima yori takaku\My skills are no match for my fantasies\imeeji suru no wa ima yori takaku response:	Yet my heart leaps out to meet them
context: kanawanai koto bakari dakedo\The things I want to do are still out of reach\kanawanai koto bakari dakedo\My skills are no match for my fantasies\imeeji suru no wa ima yori takaku\My skills are no match for my fantasies\imeeji suru no wa ima yori takaku\Yet my heart leaps out to meet them response:	tobitachi odoridasu kokoro
context: The things I want to do are still out of reach\kanawanai koto bakari dakedo\My skills are no match for my fantasies\imeeji suru no wa ima yori takaku\My skills are no match for my fantasies\imeeji suru no wa ima yori takaku\Yet my heart leaps out to meet them\tobitachi odoridasu kokoro response:	Yet my heart leaps out to meet them
context: kanawanai koto bakari dakedo\My skills are no match for my fantasies\imeeji suru no wa ima yori takaku\My skills are no match for my fantasies\imeeji suru no wa ima yori takaku\Yet my heart leaps out to meet them\tobitachi odoridasu kokoro\Yet my heart leaps out to meet them response:	tobitachi odoridasu kokoro
context: My skills are no match for my fantasies\imeeji suru no wa ima yori takaku\My skills are no match for my fantasies\imeeji suru no wa ima yori takaku\Yet my heart leaps out to meet them\tobitachi odoridasu kokoro\Yet my heart leaps out to meet them\tobitachi odoridasu kokoro response:	Breaking my tiny shell one layer at a time
context: imeeji suru no wa ima yori takaku\My skills are no match for my fantasies\imeeji suru no wa ima yori takaku\Yet my heart leaps out to meet them\tobitachi odoridasu kokoro\Yet my heart leaps out to meet them\tobitachi odoridasu kokoro\Breaking my tiny shell one layer at a time response:	chiisana kara nandomo nugisutete
context: My skills are no match for my fantasies\imeeji suru no wa ima yori takaku\Yet my heart leaps out to meet them\tobitachi odoridasu kokoro\Yet my heart leaps out to meet them\tobitachi odoridasu kokoro\Breaking my tiny shell one layer at a time\chiisana kara nandomo nugisutete response:	Breaking my tiny shell one layer at a time
context: imeeji suru no wa ima yori takaku\Yet my heart leaps out to meet them\tobitachi odoridasu kokoro\Yet my heart leaps out to meet them\tobitachi odoridasu kokoro\Breaking my tiny shell one layer at a time\chiisana kara nandomo nugisutete\Breaking my tiny shell one layer at a time response:	chiisana kara nandomo nugisutete
context: Yet my heart leaps out to meet them\tobitachi odoridasu kokoro\Yet my heart leaps out to meet them\tobitachi odoridasu kokoro\Breaking my tiny shell one layer at a time\chiisana kara nandomo nugisutete\Breaking my tiny shell one layer at a time\chiisana kara nandomo nugisutete response:	I won't let my reckless abandon go to waste
context: tobitachi odoridasu kokoro\Yet my heart leaps out to meet them\tobitachi odoridasu kokoro\Breaking my tiny shell one layer at a time\chiisana kara nandomo nugisutete\Breaking my tiny shell one layer at a time\chiisana kara nandomo nugisutete\I won't let my reckless abandon go to waste response:	gamushara dake de owarasenai
