context: ReLIFE Experiment Contract response:	ReLIFE Laboratory is an organization that is developing a program
context: Be nice to her.\I was in the same class with her last year,\and she was alone the whole time.\But, like I told you from the start,\after your one-year ReLIFE period is over,\classmates, teachers, and anyone you dealt with will forget about you.\This is because 17-year-old Kaizaki does not exist.\But your own memories will remain, so don't worry. response:	If we erased those, there'd be no point to the ReLIFE.
context: I was in the same class with her last year,\and she was alone the whole time.\But, like I told you from the start,\after your one-year ReLIFE period is over,\classmates, teachers, and anyone you dealt with will forget about you.\This is because 17-year-old Kaizaki does not exist.\But your own memories will remain, so don't worry.\If we erased those, there'd be no point to the ReLIFE. response:	However...
context: and she was alone the whole time.\But, like I told you from the start,\after your one-year ReLIFE period is over,\classmates, teachers, and anyone you dealt with will forget about you.\This is because 17-year-old Kaizaki does not exist.\But your own memories will remain, so don't worry.\If we erased those, there'd be no point to the ReLIFE.\However... response:	If I tell anyone else about ReLIFE,
context: But, like I told you from the start,\after your one-year ReLIFE period is over,\classmates, teachers, and anyone you dealt with will forget about you.\This is because 17-year-old Kaizaki does not exist.\But your own memories will remain, so don't worry.\If we erased those, there'd be no point to the ReLIFE.\However...\If I tell anyone else about ReLIFE, response:	the experiment will end immediately.
context: after your one-year ReLIFE period is over,\classmates, teachers, and anyone you dealt with will forget about you.\This is because 17-year-old Kaizaki does not exist.\But your own memories will remain, so don't worry.\If we erased those, there'd be no point to the ReLIFE.\However...\If I tell anyone else about ReLIFE,\the experiment will end immediately. response:	And you'll wipe my memories and throw me out?
context: classmates, teachers, and anyone you dealt with will forget about you.\This is because 17-year-old Kaizaki does not exist.\But your own memories will remain, so don't worry.\If we erased those, there'd be no point to the ReLIFE.\However...\If I tell anyone else about ReLIFE,\the experiment will end immediately.\And you'll wipe my memories and throw me out? response:	Exactly.
context: This is because 17-year-old Kaizaki does not exist.\But your own memories will remain, so don't worry.\If we erased those, there'd be no point to the ReLIFE.\However...\If I tell anyone else about ReLIFE,\the experiment will end immediately.\And you'll wipe my memories and throw me out?\Exactly. response:	You can't talk about this. Ever.
context: But your own memories will remain, so don't worry.\If we erased those, there'd be no point to the ReLIFE.\However...\If I tell anyone else about ReLIFE,\the experiment will end immediately.\And you'll wipe my memories and throw me out?\Exactly.\You can't talk about this. Ever. response:	If you do, you'll find yourself wondering
context: If we erased those, there'd be no point to the ReLIFE.\However...\If I tell anyone else about ReLIFE,\the experiment will end immediately.\And you'll wipe my memories and throw me out?\Exactly.\You can't talk about this. Ever.\If you do, you'll find yourself wondering response:	how you got to be twenty-eight without remembering it.
context: However...\If I tell anyone else about ReLIFE,\the experiment will end immediately.\And you'll wipe my memories and throw me out?\Exactly.\You can't talk about this. Ever.\If you do, you'll find yourself wondering\how you got to be twenty-eight without remembering it. response:	So be careful, okay?
context: If I tell anyone else about ReLIFE,\the experiment will end immediately.\And you'll wipe my memories and throw me out?\Exactly.\You can't talk about this. Ever.\If you do, you'll find yourself wondering\how you got to be twenty-eight without remembering it.\So be careful, okay? response:	Hishiro Chizuru New message Close View
context: the experiment will end immediately.\And you'll wipe my memories and throw me out?\Exactly.\You can't talk about this. Ever.\If you do, you'll find yourself wondering\how you got to be twenty-eight without remembering it.\So be careful, okay?\Hishiro Chizuru New message Close View response:	Hishiro Chizuru
context: And you'll wipe my memories and throw me out?\Exactly.\You can't talk about this. Ever.\If you do, you'll find yourself wondering\how you got to be twenty-eight without remembering it.\So be careful, okay?\Hishiro Chizuru New message Close View\Hishiro Chizuru response:	Hello. This is Hishiro.
context: Exactly.\You can't talk about this. Ever.\If you do, you'll find yourself wondering\how you got to be twenty-eight without remembering it.\So be careful, okay?\Hishiro Chizuru New message Close View\Hishiro Chizuru\Hello. This is Hishiro. response:	Thank you very much for today.
context: You can't talk about this. Ever.\If you do, you'll find yourself wondering\how you got to be twenty-eight without remembering it.\So be careful, okay?\Hishiro Chizuru New message Close View\Hishiro Chizuru\Hello. This is Hishiro.\Thank you very much for today. response:	I promise to return the 1,000 yen tomorrow.
context: If you do, you'll find yourself wondering\how you got to be twenty-eight without remembering it.\So be careful, okay?\Hishiro Chizuru New message Close View\Hishiro Chizuru\Hello. This is Hishiro.\Thank you very much for today.\I promise to return the 1,000 yen tomorrow. response:	I look forward to knowing you further.
context: how you got to be twenty-eight without remembering it.\So be careful, okay?\Hishiro Chizuru New message Close View\Hishiro Chizuru\Hello. This is Hishiro.\Thank you very much for today.\I promise to return the 1,000 yen tomorrow.\I look forward to knowing you further. response:	Is this a business e-mail?!
context: So be careful, okay?\Hishiro Chizuru New message Close View\Hishiro Chizuru\Hello. This is Hishiro.\Thank you very much for today.\I promise to return the 1,000 yen tomorrow.\I look forward to knowing you further.\Is this a business e-mail?! response:	Whoa, a sticker!
context: Hishiro Chizuru New message Close View\Hishiro Chizuru\Hello. This is Hishiro.\Thank you very much for today.\I promise to return the 1,000 yen tomorrow.\I look forward to knowing you further.\Is this a business e-mail?!\Whoa, a sticker! response:	Surprising.
context: Hishiro Chizuru\Hello. This is Hishiro.\Thank you very much for today.\I promise to return the 1,000 yen tomorrow.\I look forward to knowing you further.\Is this a business e-mail?!\Whoa, a sticker!\Surprising. response:	Likewise.
context: Hello. This is Hishiro.\Thank you very much for today.\I promise to return the 1,000 yen tomorrow.\I look forward to knowing you further.\Is this a business e-mail?!\Whoa, a sticker!\Surprising.\Likewise. response:	Thanks for adding me on LIME.
context: Thank you very much for today.\I promise to return the 1,000 yen tomorrow.\I look forward to knowing you further.\Is this a business e-mail?!\Whoa, a sticker!\Surprising.\Likewise.\Thanks for adding me on LIME. response:	By the way, this sticker of the sorry cat...
context: I promise to return the 1,000 yen tomorrow.\I look forward to knowing you further.\Is this a business e-mail?!\Whoa, a sticker!\Surprising.\Likewise.\Thanks for adding me on LIME.\By the way, this sticker of the sorry cat... response:	It kinda looks like you.
context: I look forward to knowing you further.\Is this a business e-mail?!\Whoa, a sticker!\Surprising.\Likewise.\Thanks for adding me on LIME.\By the way, this sticker of the sorry cat...\It kinda looks like you. response:	Uh oh, she's gonna get mad at me for saying dumb crap again.
context: Is this a business e-mail?!\Whoa, a sticker!\Surprising.\Likewise.\Thanks for adding me on LIME.\By the way, this sticker of the sorry cat...\It kinda looks like you.\Uh oh, she's gonna get mad at me for saying dumb crap again. response:	I didn't mean it in a bad way!
context: Whoa, a sticker!\Surprising.\Likewise.\Thanks for adding me on LIME.\By the way, this sticker of the sorry cat...\It kinda looks like you.\Uh oh, she's gonna get mad at me for saying dumb crap again.\I didn't mean it in a bad way! response:	I dunno if she'll get that...
context: Surprising.\Likewise.\Thanks for adding me on LIME.\By the way, this sticker of the sorry cat...\It kinda looks like you.\Uh oh, she's gonna get mad at me for saying dumb crap again.\I didn't mean it in a bad way!\I dunno if she'll get that... response:	Meow.
context: Likewise.\Thanks for adding me on LIME.\By the way, this sticker of the sorry cat...\It kinda looks like you.\Uh oh, she's gonna get mad at me for saying dumb crap again.\I didn't mean it in a bad way!\I dunno if she'll get that...\Meow. response:	I did not see that coming!
context: Thanks for adding me on LIME.\By the way, this sticker of the sorry cat...\It kinda looks like you.\Uh oh, she's gonna get mad at me for saying dumb crap again.\I didn't mean it in a bad way!\I dunno if she'll get that...\Meow.\I did not see that coming! response:	Yeah, she's pretty weird. And adorable!
context: By the way, this sticker of the sorry cat...\It kinda looks like you.\Uh oh, she's gonna get mad at me for saying dumb crap again.\I didn't mean it in a bad way!\I dunno if she'll get that...\Meow.\I did not see that coming!\Yeah, she's pretty weird. And adorable! response:	NEXT EPISODE
context: It kinda looks like you.\Uh oh, she's gonna get mad at me for saying dumb crap again.\I didn't mean it in a bad way!\I dunno if she'll get that...\Meow.\I did not see that coming!\Yeah, she's pretty weird. And adorable!\NEXT EPISODE response:	Having ramen for lunch, Hishiro-san?
context: Uh oh, she's gonna get mad at me for saying dumb crap again.\I didn't mean it in a bad way!\I dunno if she'll get that...\Meow.\I did not see that coming!\Yeah, she's pretty weird. And adorable!\NEXT EPISODE\Having ramen for lunch, Hishiro-san? response:	I only eat tonkotsu ramen at the cafeteria.
context: I didn't mean it in a bad way!\I dunno if she'll get that...\Meow.\I did not see that coming!\Yeah, she's pretty weird. And adorable!\NEXT EPISODE\Having ramen for lunch, Hishiro-san?\I only eat tonkotsu ramen at the cafeteria. response:	What, every day?
context: I dunno if she'll get that...\Meow.\I did not see that coming!\Yeah, she's pretty weird. And adorable!\NEXT EPISODE\Having ramen for lunch, Hishiro-san?\I only eat tonkotsu ramen at the cafeteria.\What, every day? response:	That's right. But the other day,
context: Meow.\I did not see that coming!\Yeah, she's pretty weird. And adorable!\NEXT EPISODE\Having ramen for lunch, Hishiro-san?\I only eat tonkotsu ramen at the cafeteria.\What, every day?\That's right. But the other day, response:	I ran into some trouble due to not having my silver pin.
context: I did not see that coming!\Yeah, she's pretty weird. And adorable!\NEXT EPISODE\Having ramen for lunch, Hishiro-san?\I only eat tonkotsu ramen at the cafeteria.\What, every day?\That's right. But the other day,\I ran into some trouble due to not having my silver pin. response:	You're Old Now
context: Yeah, she's pretty weird. And adorable!\NEXT EPISODE\Having ramen for lunch, Hishiro-san?\I only eat tonkotsu ramen at the cafeteria.\What, every day?\That's right. But the other day,\I ran into some trouble due to not having my silver pin.\You're Old Now response:	You should be careful, Oga-san.
context: NEXT EPISODE\Having ramen for lunch, Hishiro-san?\I only eat tonkotsu ramen at the cafeteria.\What, every day?\That's right. But the other day,\I ran into some trouble due to not having my silver pin.\You're Old Now\You should be careful, Oga-san. response:	Okay!
