context: She should be at the temple at this hour. response:	The line to see the Lady Cleric is here.
context: Unforgivable!\Boo!\Those lucky bastards!\Piss off!\So vent all the stress you can at the sight of these shitty normies!\Apparently, the host of this event has been betrayed by women countless times.\And the gentlemen who have gathered here have experienced something similar.\Most of them, apparently, don't have any lovers. response:	Death to hot guys!
context: Boo!\Those lucky bastards!\Piss off!\So vent all the stress you can at the sight of these shitty normies!\Apparently, the host of this event has been betrayed by women countless times.\And the gentlemen who have gathered here have experienced something similar.\Most of them, apparently, don't have any lovers.\Death to hot guys! response:	Screw harems!
context: Those lucky bastards!\Piss off!\So vent all the stress you can at the sight of these shitty normies!\Apparently, the host of this event has been betrayed by women countless times.\And the gentlemen who have gathered here have experienced something similar.\Most of them, apparently, don't have any lovers.\Death to hot guys!\Screw harems! response:	Harems are unforgivable!
context: Piss off!\So vent all the stress you can at the sight of these shitty normies!\Apparently, the host of this event has been betrayed by women countless times.\And the gentlemen who have gathered here have experienced something similar.\Most of them, apparently, don't have any lovers.\Death to hot guys!\Screw harems!\Harems are unforgivable! response:	Th-This isn't a pride event... This is slander.
context: So vent all the stress you can at the sight of these shitty normies!\Apparently, the host of this event has been betrayed by women countless times.\And the gentlemen who have gathered here have experienced something similar.\Most of them, apparently, don't have any lovers.\Death to hot guys!\Screw harems!\Harems are unforgivable!\Th-This isn't a pride event... This is slander. response:	Are you ready, my dudes?
context: Apparently, the host of this event has been betrayed by women countless times.\And the gentlemen who have gathered here have experienced something similar.\Most of them, apparently, don't have any lovers.\Death to hot guys!\Screw harems!\Harems are unforgivable!\Th-This isn't a pride event... This is slander.\Are you ready, my dudes? response:	Let the Harem Pride Event commence!
context: And the gentlemen who have gathered here have experienced something similar.\Most of them, apparently, don't have any lovers.\Death to hot guys!\Screw harems!\Harems are unforgivable!\Th-This isn't a pride event... This is slander.\Are you ready, my dudes?\Let the Harem Pride Event commence! response:	I-I think I want to go home now...
context: Most of them, apparently, don't have any lovers.\Death to hot guys!\Screw harems!\Harems are unforgivable!\Th-This isn't a pride event... This is slander.\Are you ready, my dudes?\Let the Harem Pride Event commence!\I-I think I want to go home now... response:	Alice Theater
context: Death to hot guys!\Screw harems!\Harems are unforgivable!\Th-This isn't a pride event... This is slander.\Are you ready, my dudes?\Let the Harem Pride Event commence!\I-I think I want to go home now...\Alice Theater response:	Alice Theater
context: Screw harems!\Harems are unforgivable!\Th-This isn't a pride event... This is slander.\Are you ready, my dudes?\Let the Harem Pride Event commence!\I-I think I want to go home now...\Alice Theater\Alice Theater response:	Alice Theater
context: Harems are unforgivable!\Th-This isn't a pride event... This is slander.\Are you ready, my dudes?\Let the Harem Pride Event commence!\I-I think I want to go home now...\Alice Theater\Alice Theater\Alice Theater response:	Alice Theater
context: Th-This isn't a pride event... This is slander.\Are you ready, my dudes?\Let the Harem Pride Event commence!\I-I think I want to go home now...\Alice Theater\Alice Theater\Alice Theater\Alice Theater response:	Alice Theater
context: Are you ready, my dudes?\Let the Harem Pride Event commence!\I-I think I want to go home now...\Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater response:	Alice Theater
context: Let the Harem Pride Event commence!\I-I think I want to go home now...\Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater response:	Alice Theater
context: I-I think I want to go home now...\Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater response:	Alice Theater
context: Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater response:	Alice Theater
context: Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater response:	Alice Theater
context: Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater response:	Alice Theater
context: Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater response:	Alice Theater
context: Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater response:	Alice Theater
context: Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater response:	Alice Theater
context: Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater response:	Alice Theater.
context: Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater. response:	Big Brother...
context: Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater.\Big Brother... response:	Y-You're back!
context: Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater.\Big Brother...\Y-You're back! response:	What were you doing, Alice?
context: Alice Theater\Alice Theater\Alice Theater\Alice Theater\Alice Theater.\Big Brother...\Y-You're back!\What were you doing, Alice? response:	Th-This is just... um...
context: Alice Theater\Alice Theater\Alice Theater\Alice Theater.\Big Brother...\Y-You're back!\What were you doing, Alice?\Th-This is just... um... response:	I was just fixing your sheets!
context: Alice Theater\Alice Theater\Alice Theater.\Big Brother...\Y-You're back!\What were you doing, Alice?\Th-This is just... um...\I was just fixing your sheets! response:	They seem messier than before.
context: Alice Theater\Alice Theater.\Big Brother...\Y-You're back!\What were you doing, Alice?\Th-This is just... um...\I was just fixing your sheets!\They seem messier than before. response:	Don't worry. I'm just going to sleep in them as-is.
context: Alice Theater.\Big Brother...\Y-You're back!\What were you doing, Alice?\Th-This is just... um...\I was just fixing your sheets!\They seem messier than before.\Don't worry. I'm just going to sleep in them as-is. response:	Huh? Big Brother?
context: Big Brother...\Y-You're back!\What were you doing, Alice?\Th-This is just... um...\I was just fixing your sheets!\They seem messier than before.\Don't worry. I'm just going to sleep in them as-is.\Huh? Big Brother? response:	I mean... we're siblings.
context: Y-You're back!\What were you doing, Alice?\Th-This is just... um...\I was just fixing your sheets!\They seem messier than before.\Don't worry. I'm just going to sleep in them as-is.\Huh? Big Brother?\I mean... we're siblings. response:	We used to sleep together like this all the time.
context: What were you doing, Alice?\Th-This is just... um...\I was just fixing your sheets!\They seem messier than before.\Don't worry. I'm just going to sleep in them as-is.\Huh? Big Brother?\I mean... we're siblings.\We used to sleep together like this all the time. response:	Y-Yes, of course!
context: Th-This is just... um...\I was just fixing your sheets!\They seem messier than before.\Don't worry. I'm just going to sleep in them as-is.\Huh? Big Brother?\I mean... we're siblings.\We used to sleep together like this all the time.\Y-Yes, of course! response:	U-Uh, hello? Alice is your little sister.
context: I was just fixing your sheets!\They seem messier than before.\Don't worry. I'm just going to sleep in them as-is.\Huh? Big Brother?\I mean... we're siblings.\We used to sleep together like this all the time.\Y-Yes, of course!\U-Uh, hello? Alice is your little sister. response:	There's no way... my LP would go up...
context: They seem messier than before.\Don't worry. I'm just going to sleep in them as-is.\Huh? Big Brother?\I mean... we're siblings.\We used to sleep together like this all the time.\Y-Yes, of course!\U-Uh, hello? Alice is your little sister.\There's no way... my LP would go up... response:	Why?
context: Don't worry. I'm just going to sleep in them as-is.\Huh? Big Brother?\I mean... we're siblings.\We used to sleep together like this all the time.\Y-Yes, of course!\U-Uh, hello? Alice is your little sister.\There's no way... my LP would go up...\Why? response:	Next time, The Future of This Harem.
context: Huh? Big Brother?\I mean... we're siblings.\We used to sleep together like this all the time.\Y-Yes, of course!\U-Uh, hello? Alice is your little sister.\There's no way... my LP would go up...\Why?\Next time, The Future of This Harem. response:	Illustration: Fuumi
