context: The Town Along the River (continued) response:	It still hasn't come.
context: When did I stop crying?\How long did it take me to regain my composure?\It's strange. I can't remember.\I've been in a daze for a while...\I've been in a daze ever since that one day.\I couldn't find anything else to do.\Nothing else...\When I left, Akari put the leftover rice and chicken into containers, and gave them to me. response:	Be sure to put them in the fridge when you get home.
context: How long did it take me to regain my composure?\It's strange. I can't remember.\I've been in a daze for a while...\I've been in a daze ever since that one day.\I couldn't find anything else to do.\Nothing else...\When I left, Akari put the leftover rice and chicken into containers, and gave them to me.\Be sure to put them in the fridge when you get home. response:	Heat them in the microwave when you eat them.
context: It's strange. I can't remember.\I've been in a daze for a while...\I've been in a daze ever since that one day.\I couldn't find anything else to do.\Nothing else...\When I left, Akari put the leftover rice and chicken into containers, and gave them to me.\Be sure to put them in the fridge when you get home.\Heat them in the microwave when you eat them. response:	Come over again on Monday, after your match is over.
context: I've been in a daze for a while...\I've been in a daze ever since that one day.\I couldn't find anything else to do.\Nothing else...\When I left, Akari put the leftover rice and chicken into containers, and gave them to me.\Be sure to put them in the fridge when you get home.\Heat them in the microwave when you eat them.\Come over again on Monday, after your match is over. response:	That's the last day of Obon, so I'll make plenty of food.
context: I've been in a daze ever since that one day.\I couldn't find anything else to do.\Nothing else...\When I left, Akari put the leftover rice and chicken into containers, and gave them to me.\Be sure to put them in the fridge when you get home.\Heat them in the microwave when you eat them.\Come over again on Monday, after your match is over.\That's the last day of Obon, so I'll make plenty of food. response:	Having company over...
context: I couldn't find anything else to do.\Nothing else...\When I left, Akari put the leftover rice and chicken into containers, and gave them to me.\Be sure to put them in the fridge when you get home.\Heat them in the microwave when you eat them.\Come over again on Monday, after your match is over.\That's the last day of Obon, so I'll make plenty of food.\Having company over... response:	but her voice was so soft, I couldn't hear her clearly.
context: Nothing else...\When I left, Akari put the leftover rice and chicken into containers, and gave them to me.\Be sure to put them in the fridge when you get home.\Heat them in the microwave when you eat them.\Come over again on Monday, after your match is over.\That's the last day of Obon, so I'll make plenty of food.\Having company over...\but her voice was so soft, I couldn't hear her clearly. response:	On the way home, the wind was strong on the bridge,
context: When I left, Akari put the leftover rice and chicken into containers, and gave them to me.\Be sure to put them in the fridge when you get home.\Heat them in the microwave when you eat them.\Come over again on Monday, after your match is over.\That's the last day of Obon, so I'll make plenty of food.\Having company over...\but her voice was so soft, I couldn't hear her clearly.\On the way home, the wind was strong on the bridge, response:	but the leftovers I held against my stomach was warm, like a small animal.
context: Be sure to put them in the fridge when you get home.\Heat them in the microwave when you eat them.\Come over again on Monday, after your match is over.\That's the last day of Obon, so I'll make plenty of food.\Having company over...\but her voice was so soft, I couldn't hear her clearly.\On the way home, the wind was strong on the bridge,\but the leftovers I held against my stomach was warm, like a small animal. response:	Beyond the Bridge
context: Heat them in the microwave when you eat them.\Come over again on Monday, after your match is over.\That's the last day of Obon, so I'll make plenty of food.\Having company over...\but her voice was so soft, I couldn't hear her clearly.\On the way home, the wind was strong on the bridge,\but the leftovers I held against my stomach was warm, like a small animal.\Beyond the Bridge response:	Next Episode Preview
context: Come over again on Monday, after your match is over.\That's the last day of Obon, so I'll make plenty of food.\Having company over...\but her voice was so soft, I couldn't hear her clearly.\On the way home, the wind was strong on the bridge,\but the leftovers I held against my stomach was warm, like a small animal.\Beyond the Bridge\Next Episode Preview response:	Episode 3
context: That's the last day of Obon, so I'll make plenty of food.\Having company over...\but her voice was so soft, I couldn't hear her clearly.\On the way home, the wind was strong on the bridge,\but the leftovers I held against my stomach was warm, like a small animal.\Beyond the Bridge\Next Episode Preview\Episode 3 response:	Your rival is waiting for you with incredible spirit!
context: Having company over...\but her voice was so soft, I couldn't hear her clearly.\On the way home, the wind was strong on the bridge,\but the leftovers I held against my stomach was warm, like a small animal.\Beyond the Bridge\Next Episode Preview\Episode 3\Your rival is waiting for you with incredible spirit! response:	You're late, Kiriyama! I got tired of waiting for you.
context: but her voice was so soft, I couldn't hear her clearly.\On the way home, the wind was strong on the bridge,\but the leftovers I held against my stomach was warm, like a small animal.\Beyond the Bridge\Next Episode Preview\Episode 3\Your rival is waiting for you with incredible spirit!\You're late, Kiriyama! I got tired of waiting for you. response:	Excuse me, is the air conditioning working?
context: On the way home, the wind was strong on the bridge,\but the leftovers I held against my stomach was warm, like a small animal.\Beyond the Bridge\Next Episode Preview\Episode 3\Your rival is waiting for you with incredible spirit!\You're late, Kiriyama! I got tired of waiting for you.\Excuse me, is the air conditioning working? response:	Let's continue!
context: but the leftovers I held against my stomach was warm, like a small animal.\Beyond the Bridge\Next Episode Preview\Episode 3\Your rival is waiting for you with incredible spirit!\You're late, Kiriyama! I got tired of waiting for you.\Excuse me, is the air conditioning working?\Let's continue! response:	It's heaven compared to the roof of that department store.
context: Beyond the Bridge\Next Episode Preview\Episode 3\Your rival is waiting for you with incredible spirit!\You're late, Kiriyama! I got tired of waiting for you.\Excuse me, is the air conditioning working?\Let's continue!\It's heaven compared to the roof of that department store. response:	The last piece of fried chicken...
context: Next Episode Preview\Episode 3\Your rival is waiting for you with incredible spirit!\You're late, Kiriyama! I got tired of waiting for you.\Excuse me, is the air conditioning working?\Let's continue!\It's heaven compared to the roof of that department store.\The last piece of fried chicken... response:	1, 2...
context: Episode 3\Your rival is waiting for you with incredible spirit!\You're late, Kiriyama! I got tired of waiting for you.\Excuse me, is the air conditioning working?\Let's continue!\It's heaven compared to the roof of that department store.\The last piece of fried chicken...\1, 2... response:	Don't miss the next episode of March Comes in Like a Lion!
context: Your rival is waiting for you with incredible spirit!\You're late, Kiriyama! I got tired of waiting for you.\Excuse me, is the air conditioning working?\Let's continue!\It's heaven compared to the roof of that department store.\The last piece of fried chicken...\1, 2...\Don't miss the next episode of March Comes in Like a Lion! response:	Please look forward to it.
