context: Misawa Batting Center response:	The Year Draws To A Close
context: Huh? Oh!\It's Sasayan!\Oh, you guys are also here?\What's this? You're actually waiting in line?\No one else is with you?\Who are you looking for?\Let's go.\Bye! response:	I don't know how you can talk to him.
context: It's Sasayan!\Oh, you guys are also here?\What's this? You're actually waiting in line?\No one else is with you?\Who are you looking for?\Let's go.\Bye!\I don't know how you can talk to him. response:	Hmm... Too bad.
context: Oh, you guys are also here?\What's this? You're actually waiting in line?\No one else is with you?\Who are you looking for?\Let's go.\Bye!\I don't know how you can talk to him.\Hmm... Too bad. response:	Ten,
context: What's this? You're actually waiting in line?\No one else is with you?\Who are you looking for?\Let's go.\Bye!\I don't know how you can talk to him.\Hmm... Too bad.\Ten, response:	nine,
context: No one else is with you?\Who are you looking for?\Let's go.\Bye!\I don't know how you can talk to him.\Hmm... Too bad.\Ten,\nine, response:	She's not picking up.
context: Who are you looking for?\Let's go.\Bye!\I don't know how you can talk to him.\Hmm... Too bad.\Ten,\nine,\She's not picking up. response:	Sasayan, they've started the countdown!
context: Let's go.\Bye!\I don't know how you can talk to him.\Hmm... Too bad.\Ten,\nine,\She's not picking up.\Sasayan, they've started the countdown! response:	eight,
context: Bye!\I don't know how you can talk to him.\Hmm... Too bad.\Ten,\nine,\She's not picking up.\Sasayan, they've started the countdown!\eight, response:	seven,
context: I don't know how you can talk to him.\Hmm... Too bad.\Ten,\nine,\She's not picking up.\Sasayan, they've started the countdown!\eight,\seven, response:	Yeah!
context: Hmm... Too bad.\Ten,\nine,\She's not picking up.\Sasayan, they've started the countdown!\eight,\seven,\Yeah! response:	six,
context: Ten,\nine,\She's not picking up.\Sasayan, they've started the countdown!\eight,\seven,\Yeah!\six, response:	Oh, well.
context: nine,\She's not picking up.\Sasayan, they've started the countdown!\eight,\seven,\Yeah!\six,\Oh, well. response:	five,
context: She's not picking up.\Sasayan, they've started the countdown!\eight,\seven,\Yeah!\six,\Oh, well.\five, response:	I can try again later.
context: Sasayan, they've started the countdown!\eight,\seven,\Yeah!\six,\Oh, well.\five,\I can try again later. response:	four,
context: eight,\seven,\Yeah!\six,\Oh, well.\five,\I can try again later.\four, response:	Oh, we fell asleep after dinner...
context: seven,\Yeah!\six,\Oh, well.\five,\I can try again later.\four,\Oh, we fell asleep after dinner... response:	We need to clean up.
context: Yeah!\six,\Oh, well.\five,\I can try again later.\four,\Oh, we fell asleep after dinner...\We need to clean up. response:	It's gone! I can't find it!
context: six,\Oh, well.\five,\I can try again later.\four,\Oh, we fell asleep after dinner...\We need to clean up.\It's gone! I can't find it! response:	Haru, calm down.
context: Oh, well.\five,\I can try again later.\four,\Oh, we fell asleep after dinner...\We need to clean up.\It's gone! I can't find it!\Haru, calm down. response:	What's missing?
context: five,\I can try again later.\four,\Oh, we fell asleep after dinner...\We need to clean up.\It's gone! I can't find it!\Haru, calm down.\What's missing? response:	Your TV? Radio?
context: I can try again later.\four,\Oh, we fell asleep after dinner...\We need to clean up.\It's gone! I can't find it!\Haru, calm down.\What's missing?\Your TV? Radio? response:	There shouldn't be that much traffic...
context: four,\Oh, we fell asleep after dinner...\We need to clean up.\It's gone! I can't find it!\Haru, calm down.\What's missing?\Your TV? Radio?\There shouldn't be that much traffic... response:	I can't wait around!
context: Oh, we fell asleep after dinner...\We need to clean up.\It's gone! I can't find it!\Haru, calm down.\What's missing?\Your TV? Radio?\There shouldn't be that much traffic...\I can't wait around! response:	Where are you?!
context: We need to clean up.\It's gone! I can't find it!\Haru, calm down.\What's missing?\Your TV? Radio?\There shouldn't be that much traffic...\I can't wait around!\Where are you?! response:	Next Episode
context: It's gone! I can't find it!\Haru, calm down.\What's missing?\Your TV? Radio?\There shouldn't be that much traffic...\I can't wait around!\Where are you?!\Next Episode response:	Spring Is Near
context: Haru, calm down.\What's missing?\Your TV? Radio?\There shouldn't be that much traffic...\I can't wait around!\Where are you?!\Next Episode\Spring Is Near response:	Nobody ever saw him again.
