context: What are you doing?! response:	You looked cold, so I thought I'd be a blanket for you.
context: and to make it easier to grow rice.\Later.\Be careful now.\Yes!\What's the matter, Kanna-san?\Do you think I'll change, too?\Well, of course you're going to get cuter and cuter!\I'm looking forward to it! response:	Will you change, too?
context: Later.\Be careful now.\Yes!\What's the matter, Kanna-san?\Do you think I'll change, too?\Well, of course you're going to get cuter and cuter!\I'm looking forward to it!\Will you change, too? response:	Yes!
context: Be careful now.\Yes!\What's the matter, Kanna-san?\Do you think I'll change, too?\Well, of course you're going to get cuter and cuter!\I'm looking forward to it!\Will you change, too?\Yes! response:	Obviously I'm going to become a great woman!
context: Yes!\What's the matter, Kanna-san?\Do you think I'll change, too?\Well, of course you're going to get cuter and cuter!\I'm looking forward to it!\Will you change, too?\Yes!\Obviously I'm going to become a great woman! response:	It's really true!
context: What's the matter, Kanna-san?\Do you think I'll change, too?\Well, of course you're going to get cuter and cuter!\I'm looking forward to it!\Will you change, too?\Yes!\Obviously I'm going to become a great woman!\It's really true! response:	There was a monster in the river!
context: Do you think I'll change, too?\Well, of course you're going to get cuter and cuter!\I'm looking forward to it!\Will you change, too?\Yes!\Obviously I'm going to become a great woman!\It's really true!\There was a monster in the river! response:	There's no way something like that exists!
context: Well, of course you're going to get cuter and cuter!\I'm looking forward to it!\Will you change, too?\Yes!\Obviously I'm going to become a great woman!\It's really true!\There was a monster in the river!\There's no way something like that exists! response:	Tell us more.
context: I'm looking forward to it!\Will you change, too?\Yes!\Obviously I'm going to become a great woman!\It's really true!\There was a monster in the river!\There's no way something like that exists!\Tell us more. response:	It was this big
context: Will you change, too?\Yes!\Obviously I'm going to become a great woman!\It's really true!\There was a monster in the river!\There's no way something like that exists!\Tell us more.\It was this big response:	and it was bathing in the river. Right, Kanna-san?
context: Yes!\Obviously I'm going to become a great woman!\It's really true!\There was a monster in the river!\There's no way something like that exists!\Tell us more.\It was this big\and it was bathing in the river. Right, Kanna-san? response:	Saikawa, that was CG.
context: Obviously I'm going to become a great woman!\It's really true!\There was a monster in the river!\There's no way something like that exists!\Tell us more.\It was this big\and it was bathing in the river. Right, Kanna-san?\Saikawa, that was CG. response:	Huh?
context: It's really true!\There was a monster in the river!\There's no way something like that exists!\Tell us more.\It was this big\and it was bathing in the river. Right, Kanna-san?\Saikawa, that was CG.\Huh? response:	It was?
context: There was a monster in the river!\There's no way something like that exists!\Tell us more.\It was this big\and it was bathing in the river. Right, Kanna-san?\Saikawa, that was CG.\Huh?\It was? response:	Huh?
context: There's no way something like that exists!\Tell us more.\It was this big\and it was bathing in the river. Right, Kanna-san?\Saikawa, that was CG.\Huh?\It was?\Huh? response:	So it was AR?
context: Tell us more.\It was this big\and it was bathing in the river. Right, Kanna-san?\Saikawa, that was CG.\Huh?\It was?\Huh?\So it was AR? response:	See, I told you!
context: It was this big\and it was bathing in the river. Right, Kanna-san?\Saikawa, that was CG.\Huh?\It was?\Huh?\So it was AR?\See, I told you! response:	Lame.
context: and it was bathing in the river. Right, Kanna-san?\Saikawa, that was CG.\Huh?\It was?\Huh?\So it was AR?\See, I told you!\Lame. response:	CG?
context: Saikawa, that was CG.\Huh?\It was?\Huh?\So it was AR?\See, I told you!\Lame.\CG? response:	CG.
context: Huh?\It was?\Huh?\So it was AR?\See, I told you!\Lame.\CG?\CG. response:	What?
context: It was?\Huh?\So it was AR?\See, I told you!\Lame.\CG?\CG.\What? response:	Next Episode Preview
context: Huh?\So it was AR?\See, I told you!\Lame.\CG?\CG.\What?\Next Episode Preview response:	Kobayashi-san,
context: So it was AR?\See, I told you!\Lame.\CG?\CG.\What?\Next Episode Preview\Kobayashi-san, response:	good afternoon!
context: See, I told you!\Lame.\CG?\CG.\What?\Next Episode Preview\Kobayashi-san,\good afternoon! response:	Huh?
context: Lame.\CG?\CG.\What?\Next Episode Preview\Kobayashi-san,\good afternoon!\Huh? response:	Huge Melons
context: CG?\CG.\What?\Next Episode Preview\Kobayashi-san,\good afternoon!\Huh?\Huge Melons response:	What's going on, Shouta-kun?
context: CG.\What?\Next Episode Preview\Kobayashi-san,\good afternoon!\Huh?\Huge Melons\What's going on, Shouta-kun? response:	How about it?
context: What?\Next Episode Preview\Kobayashi-san,\good afternoon!\Huh?\Huge Melons\What's going on, Shouta-kun?\How about it? response:	Am I cool?
context: Next Episode Preview\Kobayashi-san,\good afternoon!\Huh?\Huge Melons\What's going on, Shouta-kun?\How about it?\Am I cool? response:	Takiya-kun,
context: Kobayashi-san,\good afternoon!\Huh?\Huge Melons\What's going on, Shouta-kun?\How about it?\Am I cool?\Takiya-kun, response:	what did you do?
context: good afternoon!\Huh?\Huge Melons\What's going on, Shouta-kun?\How about it?\Am I cool?\Takiya-kun,\what did you do? response:	Episode 7
context: Huh?\Huge Melons\What's going on, Shouta-kun?\How about it?\Am I cool?\Takiya-kun,\what did you do?\Episode 7 response:	Common Sense (It's Different For Everyone)
context: Huge Melons\What's going on, Shouta-kun?\How about it?\Am I cool?\Takiya-kun,\what did you do?\Episode 7\Common Sense (It's Different For Everyone) response:	This Week's Who's Rotten?
context: What's going on, Shouta-kun?\How about it?\Am I cool?\Takiya-kun,\what did you do?\Episode 7\Common Sense (It's Different For Everyone)\This Week's Who's Rotten? response:	Taurus
context: How about it?\Am I cool?\Takiya-kun,\what did you do?\Episode 7\Common Sense (It's Different For Everyone)\This Week's Who's Rotten?\Taurus response:	You'll lose connection
context: Am I cool?\Takiya-kun,\what did you do?\Episode 7\Common Sense (It's Different For Everyone)\This Week's Who's Rotten?\Taurus\You'll lose connection response:	Lucky Advice File a claim with the administrators. Be thorough. Get your free gems.
context: Takiya-kun,\what did you do?\Episode 7\Common Sense (It's Different For Everyone)\This Week's Who's Rotten?\Taurus\You'll lose connection\Lucky Advice File a claim with the administrators. Be thorough. Get your free gems. response:	Let's use him as an example of what not do.
context: what did you do?\Episode 7\Common Sense (It's Different For Everyone)\This Week's Who's Rotten?\Taurus\You'll lose connection\Lucky Advice File a claim with the administrators. Be thorough. Get your free gems.\Let's use him as an example of what not do. response:	This week's Who's Rotten?
context: Episode 7\Common Sense (It's Different For Everyone)\This Week's Who's Rotten?\Taurus\You'll lose connection\Lucky Advice File a claim with the administrators. Be thorough. Get your free gems.\Let's use him as an example of what not do.\This week's Who's Rotten? response:	Taurus.
