context: It's huge. response:	When Elder Tale was still a game, we came here a lot, but...
context: I don't think I can do this...\Then you're headed for the Cathedral.\Demikas?\It's just a game... It's all virtual.\They'll just come back to life.\If you're still freaking out over PKing, something's wrong with you.\Hey, don't forget to strip his equipment before he disappears.\Right! response:	Don't drop that.
context: Then you're headed for the Cathedral.\Demikas?\It's just a game... It's all virtual.\They'll just come back to life.\If you're still freaking out over PKing, something's wrong with you.\Hey, don't forget to strip his equipment before he disappears.\Right!\Don't drop that. response:	Keep a tight grip on it, Person of the Land.
context: Demikas?\It's just a game... It's all virtual.\They'll just come back to life.\If you're still freaking out over PKing, something's wrong with you.\Hey, don't forget to strip his equipment before he disappears.\Right!\Don't drop that.\Keep a tight grip on it, Person of the Land. response:	What a riot!
context: It's just a game... It's all virtual.\They'll just come back to life.\If you're still freaking out over PKing, something's wrong with you.\Hey, don't forget to strip his equipment before he disappears.\Right!\Don't drop that.\Keep a tight grip on it, Person of the Land.\What a riot! response:	Hey, I found some more.
context: They'll just come back to life.\If you're still freaking out over PKing, something's wrong with you.\Hey, don't forget to strip his equipment before he disappears.\Right!\Don't drop that.\Keep a tight grip on it, Person of the Land.\What a riot!\Hey, I found some more. response:	Did those players back there hire them?
context: If you're still freaking out over PKing, something's wrong with you.\Hey, don't forget to strip his equipment before he disappears.\Right!\Don't drop that.\Keep a tight grip on it, Person of the Land.\What a riot!\Hey, I found some more.\Did those players back there hire them? response:	Even non-player characters cry?
context: Hey, don't forget to strip his equipment before he disappears.\Right!\Don't drop that.\Keep a tight grip on it, Person of the Land.\What a riot!\Hey, I found some more.\Did those players back there hire them?\Even non-player characters cry? response:	Was that part of the game?
context: Right!\Don't drop that.\Keep a tight grip on it, Person of the Land.\What a riot!\Hey, I found some more.\Did those players back there hire them?\Even non-player characters cry?\Was that part of the game? response:	I don't care.
context: Don't drop that.\Keep a tight grip on it, Person of the Land.\What a riot!\Hey, I found some more.\Did those players back there hire them?\Even non-player characters cry?\Was that part of the game?\I don't care. response:	Do we take them, guild master?
context: Keep a tight grip on it, Person of the Land.\What a riot!\Hey, I found some more.\Did those players back there hire them?\Even non-player characters cry?\Was that part of the game?\I don't care.\Do we take them, guild master? response:	I don't care.
context: What a riot!\Hey, I found some more.\Did those players back there hire them?\Even non-player characters cry?\Was that part of the game?\I don't care.\Do we take them, guild master?\I don't care. response:	I don't care if they're People of the Land or not.
context: Hey, I found some more.\Did those players back there hire them?\Even non-player characters cry?\Was that part of the game?\I don't care.\Do we take them, guild master?\I don't care.\I don't care if they're People of the Land or not. response:	They bore me.
context: Did those players back there hire them?\Even non-player characters cry?\Was that part of the game?\I don't care.\Do we take them, guild master?\I don't care.\I don't care if they're People of the Land or not.\They bore me. response:	So, Londark...
context: Even non-player characters cry?\Was that part of the game?\I don't care.\Do we take them, guild master?\I don't care.\I don't care if they're People of the Land or not.\They bore me.\So, Londark... response:	Where are the cat and the girl?
context: Was that part of the game?\I don't care.\Do we take them, guild master?\I don't care.\I don't care if they're People of the Land or not.\They bore me.\So, Londark...\Where are the cat and the girl? response:	I have men looking for them, but nothing yet.
context: I don't care.\Do we take them, guild master?\I don't care.\I don't care if they're People of the Land or not.\They bore me.\So, Londark...\Where are the cat and the girl?\I have men looking for them, but nothing yet. response:	Why are you still fooling around?!
context: Do we take them, guild master?\I don't care.\I don't care if they're People of the Land or not.\They bore me.\So, Londark...\Where are the cat and the girl?\I have men looking for them, but nothing yet.\Why are you still fooling around?! response:	Find the girl and the cat!
context: I don't care.\I don't care if they're People of the Land or not.\They bore me.\So, Londark...\Where are the cat and the girl?\I have men looking for them, but nothing yet.\Why are you still fooling around?!\Find the girl and the cat! response:	Y-Yes, sir!
context: I don't care if they're People of the Land or not.\They bore me.\So, Londark...\Where are the cat and the girl?\I have men looking for them, but nothing yet.\Why are you still fooling around?!\Find the girl and the cat!\Y-Yes, sir! response:	This is my world.
context: They bore me.\So, Londark...\Where are the cat and the girl?\I have men looking for them, but nothing yet.\Why are you still fooling around?!\Find the girl and the cat!\Y-Yes, sir!\This is my world. response:	I won't allow anything to go against my will.
context: So, Londark...\Where are the cat and the girl?\I have men looking for them, but nothing yet.\Why are you still fooling around?!\Find the girl and the cat!\Y-Yes, sir!\This is my world.\I won't allow anything to go against my will. response:	Just wait, Serara!
context: Where are the cat and the girl?\I have men looking for them, but nothing yet.\Why are you still fooling around?!\Find the girl and the cat!\Y-Yes, sir!\This is my world.\I won't allow anything to go against my will.\Just wait, Serara! response:	Brigandia, a guild that runs Susukino via force.
context: I have men looking for them, but nothing yet.\Why are you still fooling around?!\Find the girl and the cat!\Y-Yes, sir!\This is my world.\I won't allow anything to go against my will.\Just wait, Serara!\Brigandia, a guild that runs Susukino via force. response:	Its guild master, Demikas, rules by fear.
context: Why are you still fooling around?!\Find the girl and the cat!\Y-Yes, sir!\This is my world.\I won't allow anything to go against my will.\Just wait, Serara!\Brigandia, a guild that runs Susukino via force.\Its guild master, Demikas, rules by fear. response:	Shiroe's party meets with Serara, and tries to escape them.
context: Find the girl and the cat!\Y-Yes, sir!\This is my world.\I won't allow anything to go against my will.\Just wait, Serara!\Brigandia, a guild that runs Susukino via force.\Its guild master, Demikas, rules by fear.\Shiroe's party meets with Serara, and tries to escape them. response:	What strategy does Shiroe have?
context: Y-Yes, sir!\This is my world.\I won't allow anything to go against my will.\Just wait, Serara!\Brigandia, a guild that runs Susukino via force.\Its guild master, Demikas, rules by fear.\Shiroe's party meets with Serara, and tries to escape them.\What strategy does Shiroe have? response:	And what does Akatsuki see during the battle?
context: This is my world.\I won't allow anything to go against my will.\Just wait, Serara!\Brigandia, a guild that runs Susukino via force.\Its guild master, Demikas, rules by fear.\Shiroe's party meets with Serara, and tries to escape them.\What strategy does Shiroe have?\And what does Akatsuki see during the battle? response:	Next time: Escape.
context: I won't allow anything to go against my will.\Just wait, Serara!\Brigandia, a guild that runs Susukino via force.\Its guild master, Demikas, rules by fear.\Shiroe's party meets with Serara, and tries to escape them.\What strategy does Shiroe have?\And what does Akatsuki see during the battle?\Next time: Escape. response:	Escape
context: Just wait, Serara!\Brigandia, a guild that runs Susukino via force.\Its guild master, Demikas, rules by fear.\Shiroe's party meets with Serara, and tries to escape them.\What strategy does Shiroe have?\And what does Akatsuki see during the battle?\Next time: Escape.\Escape response:	This is our reality.
