context: provided as-is, barely edited, feel free to do whatever you want with this response:	TWO WEEKS AFTER THE FINAL BATTLE WITH KIRYUUIN RAGYO
context: Nonon Sound Negation!\Well done Mankanshoku!\Just as you've said...!\I will put an end to my own past!\No one knows my weaknesses better... than me.\And smash.\MEN! DOU! KOTE! MEN! DOU! KOTE!\With both my mind and my eyes now open, response:	the Blade Regalia is no match!
context: Well done Mankanshoku!\Just as you've said...!\I will put an end to my own past!\No one knows my weaknesses better... than me.\And smash.\MEN! DOU! KOTE! MEN! DOU! KOTE!\With both my mind and my eyes now open,\the Blade Regalia is no match! response:	Shut up already!
context: Just as you've said...!\I will put an end to my own past!\No one knows my weaknesses better... than me.\And smash.\MEN! DOU! KOTE! MEN! DOU! KOTE!\With both my mind and my eyes now open,\the Blade Regalia is no match!\Shut up already! response:	I guess it's the little sister's job to put her big sis in her place.
context: I will put an end to my own past!\No one knows my weaknesses better... than me.\And smash.\MEN! DOU! KOTE! MEN! DOU! KOTE!\With both my mind and my eyes now open,\the Blade Regalia is no match!\Shut up already!\I guess it's the little sister's job to put her big sis in her place. response:	Stop your pointless resistance!
context: No one knows my weaknesses better... than me.\And smash.\MEN! DOU! KOTE! MEN! DOU! KOTE!\With both my mind and my eyes now open,\the Blade Regalia is no match!\Shut up already!\I guess it's the little sister's job to put her big sis in her place.\Stop your pointless resistance! response:	Without a Kamui, you have no hope of stopping the Final Defense Apparatus!
context: And smash.\MEN! DOU! KOTE! MEN! DOU! KOTE!\With both my mind and my eyes now open,\the Blade Regalia is no match!\Shut up already!\I guess it's the little sister's job to put her big sis in her place.\Stop your pointless resistance!\Without a Kamui, you have no hope of stopping the Final Defense Apparatus! response:	Not gonna happen!
context: MEN! DOU! KOTE! MEN! DOU! KOTE!\With both my mind and my eyes now open,\the Blade Regalia is no match!\Shut up already!\I guess it's the little sister's job to put her big sis in her place.\Stop your pointless resistance!\Without a Kamui, you have no hope of stopping the Final Defense Apparatus!\Not gonna happen! response:	Ryuuko!
context: With both my mind and my eyes now open,\the Blade Regalia is no match!\Shut up already!\I guess it's the little sister's job to put her big sis in her place.\Stop your pointless resistance!\Without a Kamui, you have no hope of stopping the Final Defense Apparatus!\Not gonna happen!\Ryuuko! response:	Matoi!
context: the Blade Regalia is no match!\Shut up already!\I guess it's the little sister's job to put her big sis in her place.\Stop your pointless resistance!\Without a Kamui, you have no hope of stopping the Final Defense Apparatus!\Not gonna happen!\Ryuuko!\Matoi! response:	Ryuuko!
context: Shut up already!\I guess it's the little sister's job to put her big sis in her place.\Stop your pointless resistance!\Without a Kamui, you have no hope of stopping the Final Defense Apparatus!\Not gonna happen!\Ryuuko!\Matoi!\Ryuuko! response:	Ryuuko...!
context: I guess it's the little sister's job to put her big sis in her place.\Stop your pointless resistance!\Without a Kamui, you have no hope of stopping the Final Defense Apparatus!\Not gonna happen!\Ryuuko!\Matoi!\Ryuuko!\Ryuuko...! response:	I can't afford to lose like this...
context: Stop your pointless resistance!\Without a Kamui, you have no hope of stopping the Final Defense Apparatus!\Not gonna happen!\Ryuuko!\Matoi!\Ryuuko!\Ryuuko...!\I can't afford to lose like this... response:	I'm not going to let any more blood be spilled.
context: Without a Kamui, you have no hope of stopping the Final Defense Apparatus!\Not gonna happen!\Ryuuko!\Matoi!\Ryuuko!\Ryuuko...!\I can't afford to lose like this...\I'm not going to let any more blood be spilled. response:	Otherwise, I'd never be able to face Senketsu...!
context: Not gonna happen!\Ryuuko!\Matoi!\Ryuuko!\Ryuuko...!\I can't afford to lose like this...\I'm not going to let any more blood be spilled.\Otherwise, I'd never be able to face Senketsu...! response:	Isn't that right... Senketsu?
context: Ryuuko!\Matoi!\Ryuuko!\Ryuuko...!\I can't afford to lose like this...\I'm not going to let any more blood be spilled.\Otherwise, I'd never be able to face Senketsu...!\Isn't that right... Senketsu? response:	Ryuuko... use this.
context: Matoi!\Ryuuko!\Ryuuko...!\I can't afford to lose like this...\I'm not going to let any more blood be spilled.\Otherwise, I'd never be able to face Senketsu...!\Isn't that right... Senketsu?\Ryuuko... use this. response:	We've got an object coming in from the stratosphere at high speed!
context: Ryuuko!\Ryuuko...!\I can't afford to lose like this...\I'm not going to let any more blood be spilled.\Otherwise, I'd never be able to face Senketsu...!\Isn't that right... Senketsu?\Ryuuko... use this.\We've got an object coming in from the stratosphere at high speed! response:	That's!
context: Ryuuko...!\I can't afford to lose like this...\I'm not going to let any more blood be spilled.\Otherwise, I'd never be able to face Senketsu...!\Isn't that right... Senketsu?\Ryuuko... use this.\We've got an object coming in from the stratosphere at high speed!\That's! response:	Senketsu!
context: I can't afford to lose like this...\I'm not going to let any more blood be spilled.\Otherwise, I'd never be able to face Senketsu...!\Isn't that right... Senketsu?\Ryuuko... use this.\We've got an object coming in from the stratosphere at high speed!\That's!\Senketsu! response:	I guess sailor uniforms really are something you grow out of some day!
context: I'm not going to let any more blood be spilled.\Otherwise, I'd never be able to face Senketsu...!\Isn't that right... Senketsu?\Ryuuko... use this.\We've got an object coming in from the stratosphere at high speed!\That's!\Senketsu!\I guess sailor uniforms really are something you grow out of some day! response:	But the days you spend wearing them don't go anywhere!
context: Otherwise, I'd never be able to face Senketsu...!\Isn't that right... Senketsu?\Ryuuko... use this.\We've got an object coming in from the stratosphere at high speed!\That's!\Senketsu!\I guess sailor uniforms really are something you grow out of some day!\But the days you spend wearing them don't go anywhere! response:	And for that, I'm going to take someone who's stuck in the past...
context: Isn't that right... Senketsu?\Ryuuko... use this.\We've got an object coming in from the stratosphere at high speed!\That's!\Senketsu!\I guess sailor uniforms really are something you grow out of some day!\But the days you spend wearing them don't go anywhere!\And for that, I'm going to take someone who's stuck in the past... response:	And cut them loose from it!
context: Ryuuko... use this.\We've got an object coming in from the stratosphere at high speed!\That's!\Senketsu!\I guess sailor uniforms really are something you grow out of some day!\But the days you spend wearing them don't go anywhere!\And for that, I'm going to take someone who's stuck in the past...\And cut them loose from it! response:	I'm gonna force you to graduate!
context: We've got an object coming in from the stratosphere at high speed!\That's!\Senketsu!\I guess sailor uniforms really are something you grow out of some day!\But the days you spend wearing them don't go anywhere!\And for that, I'm going to take someone who's stuck in the past...\And cut them loose from it!\I'm gonna force you to graduate! response:	That's it, isn't it Senketsu?!
context: That's!\Senketsu!\I guess sailor uniforms really are something you grow out of some day!\But the days you spend wearing them don't go anywhere!\And for that, I'm going to take someone who's stuck in the past...\And cut them loose from it!\I'm gonna force you to graduate!\That's it, isn't it Senketsu?! response:	Yes... exactly, Ryuuko.
context: Senketsu!\I guess sailor uniforms really are something you grow out of some day!\But the days you spend wearing them don't go anywhere!\And for that, I'm going to take someone who's stuck in the past...\And cut them loose from it!\I'm gonna force you to graduate!\That's it, isn't it Senketsu?!\Yes... exactly, Ryuuko. response:	I hear what you meant to tell me!
context: I guess sailor uniforms really are something you grow out of some day!\But the days you spend wearing them don't go anywhere!\And for that, I'm going to take someone who's stuck in the past...\And cut them loose from it!\I'm gonna force you to graduate!\That's it, isn't it Senketsu?!\Yes... exactly, Ryuuko.\I hear what you meant to tell me! response:	What do you think you can accomplish with those scissors?!
context: But the days you spend wearing them don't go anywhere!\And for that, I'm going to take someone who's stuck in the past...\And cut them loose from it!\I'm gonna force you to graduate!\That's it, isn't it Senketsu?!\Yes... exactly, Ryuuko.\I hear what you meant to tell me!\What do you think you can accomplish with those scissors?! response:	Our Great Naked Dagger!
context: And for that, I'm going to take someone who's stuck in the past...\And cut them loose from it!\I'm gonna force you to graduate!\That's it, isn't it Senketsu?!\Yes... exactly, Ryuuko.\I hear what you meant to tell me!\What do you think you can accomplish with those scissors?!\Our Great Naked Dagger! response:	You're done!
context: And cut them loose from it!\I'm gonna force you to graduate!\That's it, isn't it Senketsu?!\Yes... exactly, Ryuuko.\I hear what you meant to tell me!\What do you think you can accomplish with those scissors?!\Our Great Naked Dagger!\You're done! response:	Scissors Blade Final Address Mode!
context: I'm gonna force you to graduate!\That's it, isn't it Senketsu?!\Yes... exactly, Ryuuko.\I hear what you meant to tell me!\What do you think you can accomplish with those scissors?!\Our Great Naked Dagger!\You're done!\Scissors Blade Final Address Mode! response:	Scissor Blade Decommission Mode!
context: That's it, isn't it Senketsu?!\Yes... exactly, Ryuuko.\I hear what you meant to tell me!\What do you think you can accomplish with those scissors?!\Our Great Naked Dagger!\You're done!\Scissors Blade Final Address Mode!\Scissor Blade Decommission Mode! response:	Can you hear me, Hououmaru?!
context: Yes... exactly, Ryuuko.\I hear what you meant to tell me!\What do you think you can accomplish with those scissors?!\Our Great Naked Dagger!\You're done!\Scissors Blade Final Address Mode!\Scissor Blade Decommission Mode!\Can you hear me, Hououmaru?! response:	Stop dwelling on the past!
context: I hear what you meant to tell me!\What do you think you can accomplish with those scissors?!\Our Great Naked Dagger!\You're done!\Scissors Blade Final Address Mode!\Scissor Blade Decommission Mode!\Can you hear me, Hououmaru?!\Stop dwelling on the past! response:	Kiryuuin Ragyo is gone!
context: What do you think you can accomplish with those scissors?!\Our Great Naked Dagger!\You're done!\Scissors Blade Final Address Mode!\Scissor Blade Decommission Mode!\Can you hear me, Hououmaru?!\Stop dwelling on the past!\Kiryuuin Ragyo is gone! response:	This is for you... for Honnoji Academy... for all of us
context: Our Great Naked Dagger!\You're done!\Scissors Blade Final Address Mode!\Scissor Blade Decommission Mode!\Can you hear me, Hououmaru?!\Stop dwelling on the past!\Kiryuuin Ragyo is gone!\This is for you... for Honnoji Academy... for all of us response:	Our graduation from Ragyo!
context: You're done!\Scissors Blade Final Address Mode!\Scissor Blade Decommission Mode!\Can you hear me, Hououmaru?!\Stop dwelling on the past!\Kiryuuin Ragyo is gone!\This is for you... for Honnoji Academy... for all of us\Our graduation from Ragyo! response:	This is the ultimate
context: Scissors Blade Final Address Mode!\Scissor Blade Decommission Mode!\Can you hear me, Hououmaru?!\Stop dwelling on the past!\Kiryuuin Ragyo is gone!\This is for you... for Honnoji Academy... for all of us\Our graduation from Ragyo!\This is the ultimate response:	Graduation Ceremony!
context: Scissor Blade Decommission Mode!\Can you hear me, Hououmaru?!\Stop dwelling on the past!\Kiryuuin Ragyo is gone!\This is for you... for Honnoji Academy... for all of us\Our graduation from Ragyo!\This is the ultimate\Graduation Ceremony! response:	Sen-I-Soshitsu: Graduation Final!
context: Can you hear me, Hououmaru?!\Stop dwelling on the past!\Kiryuuin Ragyo is gone!\This is for you... for Honnoji Academy... for all of us\Our graduation from Ragyo!\This is the ultimate\Graduation Ceremony!\Sen-I-Soshitsu: Graduation Final! response:	Are you alright, Mankanshoku?
context: Stop dwelling on the past!\Kiryuuin Ragyo is gone!\This is for you... for Honnoji Academy... for all of us\Our graduation from Ragyo!\This is the ultimate\Graduation Ceremony!\Sen-I-Soshitsu: Graduation Final!\Are you alright, Mankanshoku? response:	Yeah!
context: Kiryuuin Ragyo is gone!\This is for you... for Honnoji Academy... for all of us\Our graduation from Ragyo!\This is the ultimate\Graduation Ceremony!\Sen-I-Soshitsu: Graduation Final!\Are you alright, Mankanshoku?\Yeah! response:	I won't let you get away!
context: This is for you... for Honnoji Academy... for all of us\Our graduation from Ragyo!\This is the ultimate\Graduation Ceremony!\Sen-I-Soshitsu: Graduation Final!\Are you alright, Mankanshoku?\Yeah!\I won't let you get away! response:	Graduate from Ragyo? This senseless world being beautiful?!
context: Our graduation from Ragyo!\This is the ultimate\Graduation Ceremony!\Sen-I-Soshitsu: Graduation Final!\Are you alright, Mankanshoku?\Yeah!\I won't let you get away!\Graduate from Ragyo? This senseless world being beautiful?! response:	Ridiculous, every last word!
context: This is the ultimate\Graduation Ceremony!\Sen-I-Soshitsu: Graduation Final!\Are you alright, Mankanshoku?\Yeah!\I won't let you get away!\Graduate from Ragyo? This senseless world being beautiful?!\Ridiculous, every last word! response:	It's just the idealistic babble of the privileged!
context: Graduation Ceremony!\Sen-I-Soshitsu: Graduation Final!\Are you alright, Mankanshoku?\Yeah!\I won't let you get away!\Graduate from Ragyo? This senseless world being beautiful?!\Ridiculous, every last word!\It's just the idealistic babble of the privileged! response:	Let me teach you what it feels like to lose everything!
context: Sen-I-Soshitsu: Graduation Final!\Are you alright, Mankanshoku?\Yeah!\I won't let you get away!\Graduate from Ragyo? This senseless world being beautiful?!\Ridiculous, every last word!\It's just the idealistic babble of the privileged!\Let me teach you what it feels like to lose everything! response:	I can't imagine what kind of hell you've lived through...
context: Are you alright, Mankanshoku?\Yeah!\I won't let you get away!\Graduate from Ragyo? This senseless world being beautiful?!\Ridiculous, every last word!\It's just the idealistic babble of the privileged!\Let me teach you what it feels like to lose everything!\I can't imagine what kind of hell you've lived through... response:	But because people don't understand, the world needs you.
context: Yeah!\I won't let you get away!\Graduate from Ragyo? This senseless world being beautiful?!\Ridiculous, every last word!\It's just the idealistic babble of the privileged!\Let me teach you what it feels like to lose everything!\I can't imagine what kind of hell you've lived through...\But because people don't understand, the world needs you. response:	I to do my best to create a world for all people who don't make any sense.
context: I won't let you get away!\Graduate from Ragyo? This senseless world being beautiful?!\Ridiculous, every last word!\It's just the idealistic babble of the privileged!\Let me teach you what it feels like to lose everything!\I can't imagine what kind of hell you've lived through...\But because people don't understand, the world needs you.\I to do my best to create a world for all people who don't make any sense. response:	And to do that, I need your help.
context: Graduate from Ragyo? This senseless world being beautiful?!\Ridiculous, every last word!\It's just the idealistic babble of the privileged!\Let me teach you what it feels like to lose everything!\I can't imagine what kind of hell you've lived through...\But because people don't understand, the world needs you.\I to do my best to create a world for all people who don't make any sense.\And to do that, I need your help. response:	If you have a problem with how I do things, then take my head as you please.
context: Ridiculous, every last word!\It's just the idealistic babble of the privileged!\Let me teach you what it feels like to lose everything!\I can't imagine what kind of hell you've lived through...\But because people don't understand, the world needs you.\I to do my best to create a world for all people who don't make any sense.\And to do that, I need your help.\If you have a problem with how I do things, then take my head as you please. response:	I gladly entrust my life to you.
context: It's just the idealistic babble of the privileged!\Let me teach you what it feels like to lose everything!\I can't imagine what kind of hell you've lived through...\But because people don't understand, the world needs you.\I to do my best to create a world for all people who don't make any sense.\And to do that, I need your help.\If you have a problem with how I do things, then take my head as you please.\I gladly entrust my life to you. response:	What... you're not making any sense...?
context: Let me teach you what it feels like to lose everything!\I can't imagine what kind of hell you've lived through...\But because people don't understand, the world needs you.\I to do my best to create a world for all people who don't make any sense.\And to do that, I need your help.\If you have a problem with how I do things, then take my head as you please.\I gladly entrust my life to you.\What... you're not making any sense...? response:	That's who we are.
context: I can't imagine what kind of hell you've lived through...\But because people don't understand, the world needs you.\I to do my best to create a world for all people who don't make any sense.\And to do that, I need your help.\If you have a problem with how I do things, then take my head as you please.\I gladly entrust my life to you.\What... you're not making any sense...?\That's who we are. response:	Looks like you put that sword away for real, sis.
context: But because people don't understand, the world needs you.\I to do my best to create a world for all people who don't make any sense.\And to do that, I need your help.\If you have a problem with how I do things, then take my head as you please.\I gladly entrust my life to you.\What... you're not making any sense...?\That's who we are.\Looks like you put that sword away for real, sis. response:	Hurry, people!
context: I to do my best to create a world for all people who don't make any sense.\And to do that, I need your help.\If you have a problem with how I do things, then take my head as you please.\I gladly entrust my life to you.\What... you're not making any sense...?\That's who we are.\Looks like you put that sword away for real, sis.\Hurry, people! response:	The evacuation boats are over here!
context: And to do that, I need your help.\If you have a problem with how I do things, then take my head as you please.\I gladly entrust my life to you.\What... you're not making any sense...?\That's who we are.\Looks like you put that sword away for real, sis.\Hurry, people!\The evacuation boats are over here! response:	We've been waiting for you, Lady Satsuki!
context: If you have a problem with how I do things, then take my head as you please.\I gladly entrust my life to you.\What... you're not making any sense...?\That's who we are.\Looks like you put that sword away for real, sis.\Hurry, people!\The evacuation boats are over here!\We've been waiting for you, Lady Satsuki! response:	Take her as well.
context: I gladly entrust my life to you.\What... you're not making any sense...?\That's who we are.\Looks like you put that sword away for real, sis.\Hurry, people!\The evacuation boats are over here!\We've been waiting for you, Lady Satsuki!\Take her as well. response:	Right!
context: What... you're not making any sense...?\That's who we are.\Looks like you put that sword away for real, sis.\Hurry, people!\The evacuation boats are over here!\We've been waiting for you, Lady Satsuki!\Take her as well.\Right! response:	Hey! Mako and Ryuuko!
context: That's who we are.\Looks like you put that sword away for real, sis.\Hurry, people!\The evacuation boats are over here!\We've been waiting for you, Lady Satsuki!\Take her as well.\Right!\Hey! Mako and Ryuuko! response:	Dad!
context: Looks like you put that sword away for real, sis.\Hurry, people!\The evacuation boats are over here!\We've been waiting for you, Lady Satsuki!\Take her as well.\Right!\Hey! Mako and Ryuuko!\Dad! response:	Get on, hurry!
context: Hurry, people!\The evacuation boats are over here!\We've been waiting for you, Lady Satsuki!\Take her as well.\Right!\Hey! Mako and Ryuuko!\Dad!\Get on, hurry! response:	You need to move it before the whole town sinks!
context: The evacuation boats are over here!\We've been waiting for you, Lady Satsuki!\Take her as well.\Right!\Hey! Mako and Ryuuko!\Dad!\Get on, hurry!\You need to move it before the whole town sinks! response:	Got it!
context: We've been waiting for you, Lady Satsuki!\Take her as well.\Right!\Hey! Mako and Ryuuko!\Dad!\Get on, hurry!\You need to move it before the whole town sinks!\Got it! response:	See you, Satsuki.
context: Take her as well.\Right!\Hey! Mako and Ryuuko!\Dad!\Get on, hurry!\You need to move it before the whole town sinks!\Got it!\See you, Satsuki. response:	Right. Take care of yourself, Ryuuko.
context: Right!\Hey! Mako and Ryuuko!\Dad!\Get on, hurry!\You need to move it before the whole town sinks!\Got it!\See you, Satsuki.\Right. Take care of yourself, Ryuuko. response:	Are you sure about this?
context: Hey! Mako and Ryuuko!\Dad!\Get on, hurry!\You need to move it before the whole town sinks!\Got it!\See you, Satsuki.\Right. Take care of yourself, Ryuuko.\Are you sure about this? response:	I can see her whenever I want to.
context: Dad!\Get on, hurry!\You need to move it before the whole town sinks!\Got it!\See you, Satsuki.\Right. Take care of yourself, Ryuuko.\Are you sure about this?\I can see her whenever I want to. response:	Lady Satsuki...
context: Get on, hurry!\You need to move it before the whole town sinks!\Got it!\See you, Satsuki.\Right. Take care of yourself, Ryuuko.\Are you sure about this?\I can see her whenever I want to.\Lady Satsuki... response:	A small offering to our alma mater...
context: You need to move it before the whole town sinks!\Got it!\See you, Satsuki.\Right. Take care of yourself, Ryuuko.\Are you sure about this?\I can see her whenever I want to.\Lady Satsuki...\A small offering to our alma mater... response:	We will pay our respects to Honnouji Academy!
context: Got it!\See you, Satsuki.\Right. Take care of yourself, Ryuuko.\Are you sure about this?\I can see her whenever I want to.\Lady Satsuki...\A small offering to our alma mater...\We will pay our respects to Honnouji Academy! response:	All students: salute!
context: See you, Satsuki.\Right. Take care of yourself, Ryuuko.\Are you sure about this?\I can see her whenever I want to.\Lady Satsuki...\A small offering to our alma mater...\We will pay our respects to Honnouji Academy!\All students: salute! response:	That was a nice graduation.
context: Right. Take care of yourself, Ryuuko.\Are you sure about this?\I can see her whenever I want to.\Lady Satsuki...\A small offering to our alma mater...\We will pay our respects to Honnouji Academy!\All students: salute!\That was a nice graduation. response:	It sure was.
context: Are you sure about this?\I can see her whenever I want to.\Lady Satsuki...\A small offering to our alma mater...\We will pay our respects to Honnouji Academy!\All students: salute!\That was a nice graduation.\It sure was. response:	I guess I really have outgrown sailor uniforms.
context: I can see her whenever I want to.\Lady Satsuki...\A small offering to our alma mater...\We will pay our respects to Honnouji Academy!\All students: salute!\That was a nice graduation.\It sure was.\I guess I really have outgrown sailor uniforms. response:	But Senketsu will always be with you!
context: Lady Satsuki...\A small offering to our alma mater...\We will pay our respects to Honnouji Academy!\All students: salute!\That was a nice graduation.\It sure was.\I guess I really have outgrown sailor uniforms.\But Senketsu will always be with you! response:	He'll always be in your heart!
context: A small offering to our alma mater...\We will pay our respects to Honnouji Academy!\All students: salute!\That was a nice graduation.\It sure was.\I guess I really have outgrown sailor uniforms.\But Senketsu will always be with you!\He'll always be in your heart! response:	Yeah! You're right!
context: We will pay our respects to Honnouji Academy!\All students: salute!\That was a nice graduation.\It sure was.\I guess I really have outgrown sailor uniforms.\But Senketsu will always be with you!\He'll always be in your heart!\Yeah! You're right! response:	It's just like you said.
context: All students: salute!\That was a nice graduation.\It sure was.\I guess I really have outgrown sailor uniforms.\But Senketsu will always be with you!\He'll always be in your heart!\Yeah! You're right!\It's just like you said. response:	Someone laid out this ready made outfit for me
context: That was a nice graduation.\It sure was.\I guess I really have outgrown sailor uniforms.\But Senketsu will always be with you!\He'll always be in your heart!\Yeah! You're right!\It's just like you said.\Someone laid out this ready made outfit for me response:	I stripped it off today and walked on barefoot
context: It sure was.\I guess I really have outgrown sailor uniforms.\But Senketsu will always be with you!\He'll always be in your heart!\Yeah! You're right!\It's just like you said.\Someone laid out this ready made outfit for me\I stripped it off today and walked on barefoot response:	Even if I make mistakes and stumble
context: I guess I really have outgrown sailor uniforms.\But Senketsu will always be with you!\He'll always be in your heart!\Yeah! You're right!\It's just like you said.\Someone laid out this ready made outfit for me\I stripped it off today and walked on barefoot\Even if I make mistakes and stumble response:	The pain that I feel
context: But Senketsu will always be with you!\He'll always be in your heart!\Yeah! You're right!\It's just like you said.\Someone laid out this ready made outfit for me\I stripped it off today and walked on barefoot\Even if I make mistakes and stumble\The pain that I feel response:	Will become a part of an original future
context: He'll always be in your heart!\Yeah! You're right!\It's just like you said.\Someone laid out this ready made outfit for me\I stripped it off today and walked on barefoot\Even if I make mistakes and stumble\The pain that I feel\Will become a part of an original future response:	Held tight in my hand that I've raised in the sky
context: Yeah! You're right!\It's just like you said.\Someone laid out this ready made outfit for me\I stripped it off today and walked on barefoot\Even if I make mistakes and stumble\The pain that I feel\Will become a part of an original future\Held tight in my hand that I've raised in the sky response:	is an oath that becomes a beacon
context: It's just like you said.\Someone laid out this ready made outfit for me\I stripped it off today and walked on barefoot\Even if I make mistakes and stumble\The pain that I feel\Will become a part of an original future\Held tight in my hand that I've raised in the sky\is an oath that becomes a beacon response:	Until the moment the light it shines reaches you
context: Someone laid out this ready made outfit for me\I stripped it off today and walked on barefoot\Even if I make mistakes and stumble\The pain that I feel\Will become a part of an original future\Held tight in my hand that I've raised in the sky\is an oath that becomes a beacon\Until the moment the light it shines reaches you response:	I don't have time to waste crying
context: I stripped it off today and walked on barefoot\Even if I make mistakes and stumble\The pain that I feel\Will become a part of an original future\Held tight in my hand that I've raised in the sky\is an oath that becomes a beacon\Until the moment the light it shines reaches you\I don't have time to waste crying response:	These burning feelings boiling up
context: Even if I make mistakes and stumble\The pain that I feel\Will become a part of an original future\Held tight in my hand that I've raised in the sky\is an oath that becomes a beacon\Until the moment the light it shines reaches you\I don't have time to waste crying\These burning feelings boiling up response:	Will light up the night sky
context: The pain that I feel\Will become a part of an original future\Held tight in my hand that I've raised in the sky\is an oath that becomes a beacon\Until the moment the light it shines reaches you\I don't have time to waste crying\These burning feelings boiling up\Will light up the night sky response:	I think I know what I was born for now
context: Will become a part of an original future\Held tight in my hand that I've raised in the sky\is an oath that becomes a beacon\Until the moment the light it shines reaches you\I don't have time to waste crying\These burning feelings boiling up\Will light up the night sky\I think I know what I was born for now response:	And I'm going to make all my wishes come true
