context: Just like a sickness that continues to progress without any visible symptoms, response:	there was someone hiding in our town of Morioh,
context: Is there anything you want to drink? I'll buy.\You're going to buy it for me?\Then... I want some Calpis Water.\Then drink some.\Ah! Hey! Why are you throwing those away?\They're just worthless junk tickets, like for the year-end lottery.\I told Shigechi to pick them up along with everything else earlier.\You mean the losing New Year's Lottery tickets? response:	How do you know it's a losing ticket?
context: You're going to buy it for me?\Then... I want some Calpis Water.\Then drink some.\Ah! Hey! Why are you throwing those away?\They're just worthless junk tickets, like for the year-end lottery.\I told Shigechi to pick them up along with everything else earlier.\You mean the losing New Year's Lottery tickets?\How do you know it's a losing ticket? response:	No one would throw away a winning ticket, dumbass.
context: Then... I want some Calpis Water.\Then drink some.\Ah! Hey! Why are you throwing those away?\They're just worthless junk tickets, like for the year-end lottery.\I told Shigechi to pick them up along with everything else earlier.\You mean the losing New Year's Lottery tickets?\How do you know it's a losing ticket?\No one would throw away a winning ticket, dumbass. response:	There are lots of people who forget
context: Then drink some.\Ah! Hey! Why are you throwing those away?\They're just worthless junk tickets, like for the year-end lottery.\I told Shigechi to pick them up along with everything else earlier.\You mean the losing New Year's Lottery tickets?\How do you know it's a losing ticket?\No one would throw away a winning ticket, dumbass.\There are lots of people who forget response:	to confirm the numbers and never get their prizes!
context: Ah! Hey! Why are you throwing those away?\They're just worthless junk tickets, like for the year-end lottery.\I told Shigechi to pick them up along with everything else earlier.\You mean the losing New Year's Lottery tickets?\How do you know it's a losing ticket?\No one would throw away a winning ticket, dumbass.\There are lots of people who forget\to confirm the numbers and never get their prizes! response:	If this wins, I'm gonna take half of it.
context: They're just worthless junk tickets, like for the year-end lottery.\I told Shigechi to pick them up along with everything else earlier.\You mean the losing New Year's Lottery tickets?\How do you know it's a losing ticket?\No one would throw away a winning ticket, dumbass.\There are lots of people who forget\to confirm the numbers and never get their prizes!\If this wins, I'm gonna take half of it. response:	Promise me, damn it.
context: I told Shigechi to pick them up along with everything else earlier.\You mean the losing New Year's Lottery tickets?\How do you know it's a losing ticket?\No one would throw away a winning ticket, dumbass.\There are lots of people who forget\to confirm the numbers and never get their prizes!\If this wins, I'm gonna take half of it.\Promise me, damn it. response:	Sure. Half is fine.
context: You mean the losing New Year's Lottery tickets?\How do you know it's a losing ticket?\No one would throw away a winning ticket, dumbass.\There are lots of people who forget\to confirm the numbers and never get their prizes!\If this wins, I'm gonna take half of it.\Promise me, damn it.\Sure. Half is fine. response:	But if you win a sheet of stamps, I don't want it.
context: How do you know it's a losing ticket?\No one would throw away a winning ticket, dumbass.\There are lots of people who forget\to confirm the numbers and never get their prizes!\If this wins, I'm gonna take half of it.\Promise me, damn it.\Sure. Half is fine.\But if you win a sheet of stamps, I don't want it. response:	Exciting Winning Numbers List
context: No one would throw away a winning ticket, dumbass.\There are lots of people who forget\to confirm the numbers and never get their prizes!\If this wins, I'm gonna take half of it.\Promise me, damn it.\Sure. Half is fine.\But if you win a sheet of stamps, I don't want it.\Exciting Winning Numbers List response:	You really like those cheap, annoying ways of gambling.
context: There are lots of people who forget\to confirm the numbers and never get their prizes!\If this wins, I'm gonna take half of it.\Promise me, damn it.\Sure. Half is fine.\But if you win a sheet of stamps, I don't want it.\Exciting Winning Numbers List\You really like those cheap, annoying ways of gambling. response:	Ah, that's no good... How about this one?
context: to confirm the numbers and never get their prizes!\If this wins, I'm gonna take half of it.\Promise me, damn it.\Sure. Half is fine.\But if you win a sheet of stamps, I don't want it.\Exciting Winning Numbers List\You really like those cheap, annoying ways of gambling.\Ah, that's no good... How about this one? response:	I wonder if we're allowed
context: If this wins, I'm gonna take half of it.\Promise me, damn it.\Sure. Half is fine.\But if you win a sheet of stamps, I don't want it.\Exciting Winning Numbers List\You really like those cheap, annoying ways of gambling.\Ah, that's no good... How about this one?\I wonder if we're allowed response:	to claim prizes from the lottery if we're in high school.
context: Promise me, damn it.\Sure. Half is fine.\But if you win a sheet of stamps, I don't want it.\Exciting Winning Numbers List\You really like those cheap, annoying ways of gambling.\Ah, that's no good... How about this one?\I wonder if we're allowed\to claim prizes from the lottery if we're in high school. response:	Lottery?
context: Sure. Half is fine.\But if you win a sheet of stamps, I don't want it.\Exciting Winning Numbers List\You really like those cheap, annoying ways of gambling.\Ah, that's no good... How about this one?\I wonder if we're allowed\to claim prizes from the lottery if we're in high school.\Lottery? response:	It should be fine as long as you have your ID and name stamp.
context: But if you win a sheet of stamps, I don't want it.\Exciting Winning Numbers List\You really like those cheap, annoying ways of gambling.\Ah, that's no good... How about this one?\I wonder if we're allowed\to claim prizes from the lottery if we're in high school.\Lottery?\It should be fine as long as you have your ID and name stamp. response:	SG Group 121314...
context: Exciting Winning Numbers List\You really like those cheap, annoying ways of gambling.\Ah, that's no good... How about this one?\I wonder if we're allowed\to claim prizes from the lottery if we're in high school.\Lottery?\It should be fine as long as you have your ID and name stamp.\SG Group 121314... response:	Group
context: You really like those cheap, annoying ways of gambling.\Ah, that's no good... How about this one?\I wonder if we're allowed\to claim prizes from the lottery if we're in high school.\Lottery?\It should be fine as long as you have your ID and name stamp.\SG Group 121314...\Group response:	Payout Period
context: Ah, that's no good... How about this one?\I wonder if we're allowed\to claim prizes from the lottery if we're in high school.\Lottery?\It should be fine as long as you have your ID and name stamp.\SG Group 121314...\Group\Payout Period response:	From 1/20/1999 To 6/21/1999
context: I wonder if we're allowed\to claim prizes from the lottery if we're in high school.\Lottery?\It should be fine as long as you have your ID and name stamp.\SG Group 121314...\Group\Payout Period\From 1/20/1999 To 6/21/1999 response:	Nope, this one's not a winner.
context: to claim prizes from the lottery if we're in high school.\Lottery?\It should be fine as long as you have your ID and name stamp.\SG Group 121314...\Group\Payout Period\From 1/20/1999 To 6/21/1999\Nope, this one's not a winner. response:	I thought there might be a chance, but...
context: Lottery?\It should be fine as long as you have your ID and name stamp.\SG Group 121314...\Group\Payout Period\From 1/20/1999 To 6/21/1999\Nope, this one's not a winner.\I thought there might be a chance, but... response:	Hm?
context: It should be fine as long as you have your ID and name stamp.\SG Group 121314...\Group\Payout Period\From 1/20/1999 To 6/21/1999\Nope, this one's not a winner.\I thought there might be a chance, but...\Hm? response:	3rd
context: SG Group 121314...\Group\Payout Period\From 1/20/1999 To 6/21/1999\Nope, this one's not a winner.\I thought there might be a chance, but...\Hm?\3rd response:	Group
context: Group\Payout Period\From 1/20/1999 To 6/21/1999\Nope, this one's not a winner.\I thought there might be a chance, but...\Hm?\3rd\Group response:	Group
context: Payout Period\From 1/20/1999 To 6/21/1999\Nope, this one's not a winner.\I thought there might be a chance, but...\Hm?\3rd\Group\Group response:	SG Group 121314... Um...
context: From 1/20/1999 To 6/21/1999\Nope, this one's not a winner.\I thought there might be a chance, but...\Hm?\3rd\Group\Group\SG Group 121314... Um... response:	Hey, maybe, just maybe, if I won...
context: Nope, this one's not a winner.\I thought there might be a chance, but...\Hm?\3rd\Group\Group\SG Group 121314... Um...\Hey, maybe, just maybe, if I won... response:	Do I have to take it to the police?
context: I thought there might be a chance, but...\Hm?\3rd\Group\Group\SG Group 121314... Um...\Hey, maybe, just maybe, if I won...\Do I have to take it to the police? response:	You idiot. There's no reason to take it there.
context: Hm?\3rd\Group\Group\SG Group 121314... Um...\Hey, maybe, just maybe, if I won...\Do I have to take it to the police?\You idiot. There's no reason to take it there. response:	Harvest just picked them up after people threw them away.
context: 3rd\Group\Group\SG Group 121314... Um...\Hey, maybe, just maybe, if I won...\Do I have to take it to the police?\You idiot. There's no reason to take it there.\Harvest just picked them up after people threw them away. response:	And you should only worry about that when you're bragging after you win.
context: Group\Group\SG Group 121314... Um...\Hey, maybe, just maybe, if I won...\Do I have to take it to the police?\You idiot. There's no reason to take it there.\Harvest just picked them up after people threw them away.\And you should only worry about that when you're bragging after you win. response:	Good luck with that.
context: Group\SG Group 121314... Um...\Hey, maybe, just maybe, if I won...\Do I have to take it to the police?\You idiot. There's no reason to take it there.\Harvest just picked them up after people threw them away.\And you should only worry about that when you're bragging after you win.\Good luck with that. response:	What? SG Group 121314?!
context: SG Group 121314... Um...\Hey, maybe, just maybe, if I won...\Do I have to take it to the police?\You idiot. There's no reason to take it there.\Harvest just picked them up after people threw them away.\And you should only worry about that when you're bragging after you win.\Good luck with that.\What? SG Group 121314?! response:	Group
context: Hey, maybe, just maybe, if I won...\Do I have to take it to the police?\You idiot. There's no reason to take it there.\Harvest just picked them up after people threw them away.\And you should only worry about that when you're bragging after you win.\Good luck with that.\What? SG Group 121314?!\Group response:	Payout Period
context: Do I have to take it to the police?\You idiot. There's no reason to take it there.\Harvest just picked them up after people threw them away.\And you should only worry about that when you're bragging after you win.\Good luck with that.\What? SG Group 121314?!\Group\Payout Period response:	From 1/20/1999 To 6/21/1999
context: You idiot. There's no reason to take it there.\Harvest just picked them up after people threw them away.\And you should only worry about that when you're bragging after you win.\Good luck with that.\What? SG Group 121314?!\Group\Payout Period\From 1/20/1999 To 6/21/1999 response:	SG Group 121314?!
context: Harvest just picked them up after people threw them away.\And you should only worry about that when you're bragging after you win.\Good luck with that.\What? SG Group 121314?!\Group\Payout Period\From 1/20/1999 To 6/21/1999\SG Group 121314?! response:	Winning Numbers List
context: And you should only worry about that when you're bragging after you win.\Good luck with that.\What? SG Group 121314?!\Group\Payout Period\From 1/20/1999 To 6/21/1999\SG Group 121314?!\Winning Numbers List response:	SG Group 121314!
context: Good luck with that.\What? SG Group 121314?!\Group\Payout Period\From 1/20/1999 To 6/21/1999\SG Group 121314?!\Winning Numbers List\SG Group 121314! response:	Hey, what are you yelling for?
context: What? SG Group 121314?!\Group\Payout Period\From 1/20/1999 To 6/21/1999\SG Group 121314?!\Winning Numbers List\SG Group 121314!\Hey, what are you yelling for? response:	Prize 5 Million Yen
context: Group\Payout Period\From 1/20/1999 To 6/21/1999\SG Group 121314?!\Winning Numbers List\SG Group 121314!\Hey, what are you yelling for?\Prize 5 Million Yen response:	5 Million Yen
context: Payout Period\From 1/20/1999 To 6/21/1999\SG Group 121314?!\Winning Numbers List\SG Group 121314!\Hey, what are you yelling for?\Prize 5 Million Yen\5 Million Yen response:	5,000,000!
context: From 1/20/1999 To 6/21/1999\SG Group 121314?!\Winning Numbers List\SG Group 121314!\Hey, what are you yelling for?\Prize 5 Million Yen\5 Million Yen\5,000,000! response:	There's no doubt about it! I won!
context: SG Group 121314?!\Winning Numbers List\SG Group 121314!\Hey, what are you yelling for?\Prize 5 Million Yen\5 Million Yen\5,000,000!\There's no doubt about it! I won! response:	What?! You better not be messing around, damn it!
context: Winning Numbers List\SG Group 121314!\Hey, what are you yelling for?\Prize 5 Million Yen\5 Million Yen\5,000,000!\There's no doubt about it! I won!\What?! You better not be messing around, damn it! response:	5 Million Yen
context: SG Group 121314!\Hey, what are you yelling for?\Prize 5 Million Yen\5 Million Yen\5,000,000!\There's no doubt about it! I won!\What?! You better not be messing around, damn it!\5 Million Yen response:	Yes! It's a dream come true! A fantasy!
context: Hey, what are you yelling for?\Prize 5 Million Yen\5 Million Yen\5,000,000!\There's no doubt about it! I won!\What?! You better not be messing around, damn it!\5 Million Yen\Yes! It's a dream come true! A fantasy! response:	There's no other experience like this!
context: Prize 5 Million Yen\5 Million Yen\5,000,000!\There's no doubt about it! I won!\What?! You better not be messing around, damn it!\5 Million Yen\Yes! It's a dream come true! A fantasy!\There's no other experience like this! response:	Wait, wait, wait, wait!
context: 5 Million Yen\5,000,000!\There's no doubt about it! I won!\What?! You better not be messing around, damn it!\5 Million Yen\Yes! It's a dream come true! A fantasy!\There's no other experience like this!\Wait, wait, wait, wait! response:	Calm down, Okuyasu.
context: 5,000,000!\There's no doubt about it! I won!\What?! You better not be messing around, damn it!\5 Million Yen\Yes! It's a dream come true! A fantasy!\There's no other experience like this!\Wait, wait, wait, wait!\Calm down, Okuyasu. response:	Let's confirm it one more time.
context: There's no doubt about it! I won!\What?! You better not be messing around, damn it!\5 Million Yen\Yes! It's a dream come true! A fantasy!\There's no other experience like this!\Wait, wait, wait, wait!\Calm down, Okuyasu.\Let's confirm it one more time. response:	SG Group 121314, prize 5,000,000 yen.
context: What?! You better not be messing around, damn it!\5 Million Yen\Yes! It's a dream come true! A fantasy!\There's no other experience like this!\Wait, wait, wait, wait!\Calm down, Okuyasu.\Let's confirm it one more time.\SG Group 121314, prize 5,000,000 yen. response:	There's no doubt about it!
context: 5 Million Yen\Yes! It's a dream come true! A fantasy!\There's no other experience like this!\Wait, wait, wait, wait!\Calm down, Okuyasu.\Let's confirm it one more time.\SG Group 121314, prize 5,000,000 yen.\There's no doubt about it! response:	It's too good to be true, but it's true!
context: Yes! It's a dream come true! A fantasy!\There's no other experience like this!\Wait, wait, wait, wait!\Calm down, Okuyasu.\Let's confirm it one more time.\SG Group 121314, prize 5,000,000 yen.\There's no doubt about it!\It's too good to be true, but it's true! response:	And it's a lottery ticket that was thrown away,
context: There's no other experience like this!\Wait, wait, wait, wait!\Calm down, Okuyasu.\Let's confirm it one more time.\SG Group 121314, prize 5,000,000 yen.\There's no doubt about it!\It's too good to be true, but it's true!\And it's a lottery ticket that was thrown away, response:	so it would've just gone into the incinerator.
context: Wait, wait, wait, wait!\Calm down, Okuyasu.\Let's confirm it one more time.\SG Group 121314, prize 5,000,000 yen.\There's no doubt about it!\It's too good to be true, but it's true!\And it's a lottery ticket that was thrown away,\so it would've just gone into the incinerator. response:	There's still a few days before it expires.
context: Calm down, Okuyasu.\Let's confirm it one more time.\SG Group 121314, prize 5,000,000 yen.\There's no doubt about it!\It's too good to be true, but it's true!\And it's a lottery ticket that was thrown away,\so it would've just gone into the incinerator.\There's still a few days before it expires. response:	Even if they ask us annoying questions when we go to cash it at the bank,
context: Let's confirm it one more time.\SG Group 121314, prize 5,000,000 yen.\There's no doubt about it!\It's too good to be true, but it's true!\And it's a lottery ticket that was thrown away,\so it would've just gone into the incinerator.\There's still a few days before it expires.\Even if they ask us annoying questions when we go to cash it at the bank, response:	we can just proudly say that we bought it!
context: SG Group 121314, prize 5,000,000 yen.\There's no doubt about it!\It's too good to be true, but it's true!\And it's a lottery ticket that was thrown away,\so it would've just gone into the incinerator.\There's still a few days before it expires.\Even if they ask us annoying questions when we go to cash it at the bank,\we can just proudly say that we bought it! response:	You got that?
context: There's no doubt about it!\It's too good to be true, but it's true!\And it's a lottery ticket that was thrown away,\so it would've just gone into the incinerator.\There's still a few days before it expires.\Even if they ask us annoying questions when we go to cash it at the bank,\we can just proudly say that we bought it!\You got that? response:	Heck yeah, I do!
context: It's too good to be true, but it's true!\And it's a lottery ticket that was thrown away,\so it would've just gone into the incinerator.\There's still a few days before it expires.\Even if they ask us annoying questions when we go to cash it at the bank,\we can just proudly say that we bought it!\You got that?\Heck yeah, I do! response:	Which means it's our 5,000,000 yen!
context: And it's a lottery ticket that was thrown away,\so it would've just gone into the incinerator.\There's still a few days before it expires.\Even if they ask us annoying questions when we go to cash it at the bank,\we can just proudly say that we bought it!\You got that?\Heck yeah, I do!\Which means it's our 5,000,000 yen! response:	I wonder what I should buy.
context: so it would've just gone into the incinerator.\There's still a few days before it expires.\Even if they ask us annoying questions when we go to cash it at the bank,\we can just proudly say that we bought it!\You got that?\Heck yeah, I do!\Which means it's our 5,000,000 yen!\I wonder what I should buy. response:	First, I gotta get some kewl Italian shoes!
context: There's still a few days before it expires.\Even if they ask us annoying questions when we go to cash it at the bank,\we can just proudly say that we bought it!\You got that?\Heck yeah, I do!\Which means it's our 5,000,000 yen!\I wonder what I should buy.\First, I gotta get some kewl Italian shoes! response:	Then I'll buy a high-end suit with a sexy silhouette,
context: Even if they ask us annoying questions when we go to cash it at the bank,\we can just proudly say that we bought it!\You got that?\Heck yeah, I do!\Which means it's our 5,000,000 yen!\I wonder what I should buy.\First, I gotta get some kewl Italian shoes!\Then I'll buy a high-end suit with a sexy silhouette, response:	and go all-out at Tonio's shop and eat the most expensive food!
context: we can just proudly say that we bought it!\You got that?\Heck yeah, I do!\Which means it's our 5,000,000 yen!\I wonder what I should buy.\First, I gotta get some kewl Italian shoes!\Then I'll buy a high-end suit with a sexy silhouette,\and go all-out at Tonio's shop and eat the most expensive food! response:	I also want to go overseas somewhere!
context: You got that?\Heck yeah, I do!\Which means it's our 5,000,000 yen!\I wonder what I should buy.\First, I gotta get some kewl Italian shoes!\Then I'll buy a high-end suit with a sexy silhouette,\and go all-out at Tonio's shop and eat the most expensive food!\I also want to go overseas somewhere! response:	I'm gonna put it in savings!
context: Heck yeah, I do!\Which means it's our 5,000,000 yen!\I wonder what I should buy.\First, I gotta get some kewl Italian shoes!\Then I'll buy a high-end suit with a sexy silhouette,\and go all-out at Tonio's shop and eat the most expensive food!\I also want to go overseas somewhere!\I'm gonna put it in savings! response:	Man, talk about a boring life!
context: Which means it's our 5,000,000 yen!\I wonder what I should buy.\First, I gotta get some kewl Italian shoes!\Then I'll buy a high-end suit with a sexy silhouette,\and go all-out at Tonio's shop and eat the most expensive food!\I also want to go overseas somewhere!\I'm gonna put it in savings!\Man, talk about a boring life! response:	M-My Harvest is the one that picked that up...
context: I wonder what I should buy.\First, I gotta get some kewl Italian shoes!\Then I'll buy a high-end suit with a sexy silhouette,\and go all-out at Tonio's shop and eat the most expensive food!\I also want to go overseas somewhere!\I'm gonna put it in savings!\Man, talk about a boring life!\M-My Harvest is the one that picked that up... response:	Five million... Th-There's no way I'm giving up half of it.
context: First, I gotta get some kewl Italian shoes!\Then I'll buy a high-end suit with a sexy silhouette,\and go all-out at Tonio's shop and eat the most expensive food!\I also want to go overseas somewhere!\I'm gonna put it in savings!\Man, talk about a boring life!\M-My Harvest is the one that picked that up...\Five million... Th-There's no way I'm giving up half of it. response:	Episode 19 Shigechi's Harvest, Part 2
context: Then I'll buy a high-end suit with a sexy silhouette,\and go all-out at Tonio's shop and eat the most expensive food!\I also want to go overseas somewhere!\I'm gonna put it in savings!\Man, talk about a boring life!\M-My Harvest is the one that picked that up...\Five million... Th-There's no way I'm giving up half of it.\Episode 19 Shigechi's Harvest, Part 2 response:	Episode 19 Shige chi's Ha rvest, Part 2
