context: What happened...? response:	Pu-Re-Mi-A-Mu...
context: At anything.\It's no good if yer always lookin' up.\Wait patiently...\And take it once it hits the ground.\You find a mess of opportunities fallen below.\Below...\Ain't many left now, but keep tryin'.\Yasuba! response:	What should I do if I still can't get any?
context: It's no good if yer always lookin' up.\Wait patiently...\And take it once it hits the ground.\You find a mess of opportunities fallen below.\Below...\Ain't many left now, but keep tryin'.\Yasuba!\What should I do if I still can't get any? response:	There's some guy better than me,
context: Wait patiently...\And take it once it hits the ground.\You find a mess of opportunities fallen below.\Below...\Ain't many left now, but keep tryin'.\Yasuba!\What should I do if I still can't get any?\There's some guy better than me, response:	so what if I can't pick mochi at all?
context: And take it once it hits the ground.\You find a mess of opportunities fallen below.\Below...\Ain't many left now, but keep tryin'.\Yasuba!\What should I do if I still can't get any?\There's some guy better than me,\so what if I can't pick mochi at all? response:	Uh, well...
context: You find a mess of opportunities fallen below.\Below...\Ain't many left now, but keep tryin'.\Yasuba!\What should I do if I still can't get any?\There's some guy better than me,\so what if I can't pick mochi at all?\Uh, well... response:	At such times...
context: Below...\Ain't many left now, but keep tryin'.\Yasuba!\What should I do if I still can't get any?\There's some guy better than me,\so what if I can't pick mochi at all?\Uh, well...\At such times... response:	Say, Go on ahead.
context: Ain't many left now, but keep tryin'.\Yasuba!\What should I do if I still can't get any?\There's some guy better than me,\so what if I can't pick mochi at all?\Uh, well...\At such times...\Say, Go on ahead. response:	Let'er go, and try for a plumper mochi.
context: Yasuba!\What should I do if I still can't get any?\There's some guy better than me,\so what if I can't pick mochi at all?\Uh, well...\At such times...\Say, Go on ahead.\Let'er go, and try for a plumper mochi. response:	Never quit yieldin' and pickin'.
context: What should I do if I still can't get any?\There's some guy better than me,\so what if I can't pick mochi at all?\Uh, well...\At such times...\Say, Go on ahead.\Let'er go, and try for a plumper mochi.\Never quit yieldin' and pickin'. response:	And see what y'get!
context: There's some guy better than me,\so what if I can't pick mochi at all?\Uh, well...\At such times...\Say, Go on ahead.\Let'er go, and try for a plumper mochi.\Never quit yieldin' and pickin'.\And see what y'get! response:	Sensei!
context: so what if I can't pick mochi at all?\Uh, well...\At such times...\Say, Go on ahead.\Let'er go, and try for a plumper mochi.\Never quit yieldin' and pickin'.\And see what y'get!\Sensei! response:	Hurry'fore they're all gone!
context: Uh, well...\At such times...\Say, Go on ahead.\Let'er go, and try for a plumper mochi.\Never quit yieldin' and pickin'.\And see what y'get!\Sensei!\Hurry'fore they're all gone! response:	All right!
context: At such times...\Say, Go on ahead.\Let'er go, and try for a plumper mochi.\Never quit yieldin' and pickin'.\And see what y'get!\Sensei!\Hurry'fore they're all gone!\All right! response:	You ready?
context: Say, Go on ahead.\Let'er go, and try for a plumper mochi.\Never quit yieldin' and pickin'.\And see what y'get!\Sensei!\Hurry'fore they're all gone!\All right!\You ready? response:	Let's do it!
context: Let'er go, and try for a plumper mochi.\Never quit yieldin' and pickin'.\And see what y'get!\Sensei!\Hurry'fore they're all gone!\All right!\You ready?\Let's do it! response:	G-Go ahead.
context: Never quit yieldin' and pickin'.\And see what y'get!\Sensei!\Hurry'fore they're all gone!\All right!\You ready?\Let's do it!\G-Go ahead. response:	Was that really for the best...?
context: And see what y'get!\Sensei!\Hurry'fore they're all gone!\All right!\You ready?\Let's do it!\G-Go ahead.\Was that really for the best...? response:	Sensei, how many did you pick?
context: Sensei!\Hurry'fore they're all gone!\All right!\You ready?\Let's do it!\G-Go ahead.\Was that really for the best...?\Sensei, how many did you pick? response:	Don't ask, Naru.
context: Hurry'fore they're all gone!\All right!\You ready?\Let's do it!\G-Go ahead.\Was that really for the best...?\Sensei, how many did you pick?\Don't ask, Naru. response:	He didn't pick a single one.
context: All right!\You ready?\Let's do it!\G-Go ahead.\Was that really for the best...?\Sensei, how many did you pick?\Don't ask, Naru.\He didn't pick a single one. response:	I picked a whole twenty-eight!
context: You ready?\Let's do it!\G-Go ahead.\Was that really for the best...?\Sensei, how many did you pick?\Don't ask, Naru.\He didn't pick a single one.\I picked a whole twenty-eight! response:	Meanwhile, the grown man got zero...
context: Let's do it!\G-Go ahead.\Was that really for the best...?\Sensei, how many did you pick?\Don't ask, Naru.\He didn't pick a single one.\I picked a whole twenty-eight!\Meanwhile, the grown man got zero... response:	No! I really did pick one!
context: G-Go ahead.\Was that really for the best...?\Sensei, how many did you pick?\Don't ask, Naru.\He didn't pick a single one.\I picked a whole twenty-eight!\Meanwhile, the grown man got zero...\No! I really did pick one! response:	It's just that Panchi
context: Was that really for the best...?\Sensei, how many did you pick?\Don't ask, Naru.\He didn't pick a single one.\I picked a whole twenty-eight!\Meanwhile, the grown man got zero...\No! I really did pick one!\It's just that Panchi response:	Liar.
context: Sensei, how many did you pick?\Don't ask, Naru.\He didn't pick a single one.\I picked a whole twenty-eight!\Meanwhile, the grown man got zero...\No! I really did pick one!\It's just that Panchi\Liar. response:	What's this?
context: Don't ask, Naru.\He didn't pick a single one.\I picked a whole twenty-eight!\Meanwhile, the grown man got zero...\No! I really did pick one!\It's just that Panchi\Liar.\What's this? response:	Sweet-bean soup?
context: He didn't pick a single one.\I picked a whole twenty-eight!\Meanwhile, the grown man got zero...\No! I really did pick one!\It's just that Panchi\Liar.\What's this?\Sweet-bean soup? response:	Yeah, that'd be Panchi.
context: I picked a whole twenty-eight!\Meanwhile, the grown man got zero...\No! I really did pick one!\It's just that Panchi\Liar.\What's this?\Sweet-bean soup?\Yeah, that'd be Panchi. response:	She goes berserk during mochi-pickings,
context: Meanwhile, the grown man got zero...\No! I really did pick one!\It's just that Panchi\Liar.\What's this?\Sweet-bean soup?\Yeah, that'd be Panchi.\She goes berserk during mochi-pickings, response:	but afterwards, she drops off food like this.
context: No! I really did pick one!\It's just that Panchi\Liar.\What's this?\Sweet-bean soup?\Yeah, that'd be Panchi.\She goes berserk during mochi-pickings,\but afterwards, she drops off food like this. response:	She gets a lot to distribute them to people who couldn't make it to the picking.
context: It's just that Panchi\Liar.\What's this?\Sweet-bean soup?\Yeah, that'd be Panchi.\She goes berserk during mochi-pickings,\but afterwards, she drops off food like this.\She gets a lot to distribute them to people who couldn't make it to the picking. response:	Even so, don' lose next time.
context: Liar.\What's this?\Sweet-bean soup?\Yeah, that'd be Panchi.\She goes berserk during mochi-pickings,\but afterwards, she drops off food like this.\She gets a lot to distribute them to people who couldn't make it to the picking.\Even so, don' lose next time. response:	This mochi's all wet!
context: What's this?\Sweet-bean soup?\Yeah, that'd be Panchi.\She goes berserk during mochi-pickings,\but afterwards, she drops off food like this.\She gets a lot to distribute them to people who couldn't make it to the picking.\Even so, don' lose next time.\This mochi's all wet! response:	That's one Kenta dropped...
context: Sweet-bean soup?\Yeah, that'd be Panchi.\She goes berserk during mochi-pickings,\but afterwards, she drops off food like this.\She gets a lot to distribute them to people who couldn't make it to the picking.\Even so, don' lose next time.\This mochi's all wet!\That's one Kenta dropped... response:	So's one of mine!
context: Yeah, that'd be Panchi.\She goes berserk during mochi-pickings,\but afterwards, she drops off food like this.\She gets a lot to distribute them to people who couldn't make it to the picking.\Even so, don' lose next time.\This mochi's all wet!\That's one Kenta dropped...\So's one of mine! response:	Even with failure...
context: She goes berserk during mochi-pickings,\but afterwards, she drops off food like this.\She gets a lot to distribute them to people who couldn't make it to the picking.\Even so, don' lose next time.\This mochi's all wet!\That's one Kenta dropped...\So's one of mine!\Even with failure... response:	today was kinda fun for me.
context: but afterwards, she drops off food like this.\She gets a lot to distribute them to people who couldn't make it to the picking.\Even so, don' lose next time.\This mochi's all wet!\That's one Kenta dropped...\So's one of mine!\Even with failure...\today was kinda fun for me. response:	Thanks, guys.
context: She gets a lot to distribute them to people who couldn't make it to the picking.\Even so, don' lose next time.\This mochi's all wet!\That's one Kenta dropped...\So's one of mine!\Even with failure...\today was kinda fun for me.\Thanks, guys. response:	Told ya!
context: Even so, don' lose next time.\This mochi's all wet!\That's one Kenta dropped...\So's one of mine!\Even with failure...\today was kinda fun for me.\Thanks, guys.\Told ya! response:	Yer catchin' crayfish too?
context: This mochi's all wet!\That's one Kenta dropped...\So's one of mine!\Even with failure...\today was kinda fun for me.\Thanks, guys.\Told ya!\Yer catchin' crayfish too? response:	Oh! Schoolmaster!
context: That's one Kenta dropped...\So's one of mine!\Even with failure...\today was kinda fun for me.\Thanks, guys.\Told ya!\Yer catchin' crayfish too?\Oh! Schoolmaster! response:	You don't look at all like an educator.
context: So's one of mine!\Even with failure...\today was kinda fun for me.\Thanks, guys.\Told ya!\Yer catchin' crayfish too?\Oh! Schoolmaster!\You don't look at all like an educator. response:	Schoolmaster, you observin' crayfish too?
context: Even with failure...\today was kinda fun for me.\Thanks, guys.\Told ya!\Yer catchin' crayfish too?\Oh! Schoolmaster!\You don't look at all like an educator.\Schoolmaster, you observin' crayfish too? response:	Nah, why would I?
context: today was kinda fun for me.\Thanks, guys.\Told ya!\Yer catchin' crayfish too?\Oh! Schoolmaster!\You don't look at all like an educator.\Schoolmaster, you observin' crayfish too?\Nah, why would I? response:	I use'em as bait for rock snapper.
context: Thanks, guys.\Told ya!\Yer catchin' crayfish too?\Oh! Schoolmaster!\You don't look at all like an educator.\Schoolmaster, you observin' crayfish too?\Nah, why would I?\I use'em as bait for rock snapper. response:	No!
context: Told ya!\Yer catchin' crayfish too?\Oh! Schoolmaster!\You don't look at all like an educator.\Schoolmaster, you observin' crayfish too?\Nah, why would I?\I use'em as bait for rock snapper.\No! response:	What're you doin', Naru?!
context: Yer catchin' crayfish too?\Oh! Schoolmaster!\You don't look at all like an educator.\Schoolmaster, you observin' crayfish too?\Nah, why would I?\I use'em as bait for rock snapper.\No!\What're you doin', Naru?! response:	Usin' crayfish as bait's mean!
context: Oh! Schoolmaster!\You don't look at all like an educator.\Schoolmaster, you observin' crayfish too?\Nah, why would I?\I use'em as bait for rock snapper.\No!\What're you doin', Naru?!\Usin' crayfish as bait's mean! response:	Naru, if you allow it, you can eat snapper.
context: You don't look at all like an educator.\Schoolmaster, you observin' crayfish too?\Nah, why would I?\I use'em as bait for rock snapper.\No!\What're you doin', Naru?!\Usin' crayfish as bait's mean!\Naru, if you allow it, you can eat snapper. response:	You'd like some, right?
context: Schoolmaster, you observin' crayfish too?\Nah, why would I?\I use'em as bait for rock snapper.\No!\What're you doin', Naru?!\Usin' crayfish as bait's mean!\Naru, if you allow it, you can eat snapper.\You'd like some, right? response:	Then, let's catch crayfish.
context: Nah, why would I?\I use'em as bait for rock snapper.\No!\What're you doin', Naru?!\Usin' crayfish as bait's mean!\Naru, if you allow it, you can eat snapper.\You'd like some, right?\Then, let's catch crayfish. response:	Yeah! Let's fish!
context: I use'em as bait for rock snapper.\No!\What're you doin', Naru?!\Usin' crayfish as bait's mean!\Naru, if you allow it, you can eat snapper.\You'd like some, right?\Then, let's catch crayfish.\Yeah! Let's fish! response:	Schoolmaster, how d'you use them as bait?
context: No!\What're you doin', Naru?!\Usin' crayfish as bait's mean!\Naru, if you allow it, you can eat snapper.\You'd like some, right?\Then, let's catch crayfish.\Yeah! Let's fish!\Schoolmaster, how d'you use them as bait? response:	Well, first...
context: What're you doin', Naru?!\Usin' crayfish as bait's mean!\Naru, if you allow it, you can eat snapper.\You'd like some, right?\Then, let's catch crayfish.\Yeah! Let's fish!\Schoolmaster, how d'you use them as bait?\Well, first... response:	You pull off their claws, like this.
context: Usin' crayfish as bait's mean!\Naru, if you allow it, you can eat snapper.\You'd like some, right?\Then, let's catch crayfish.\Yeah! Let's fish!\Schoolmaster, how d'you use them as bait?\Well, first...\You pull off their claws, like this. response:	No!
context: Naru, if you allow it, you can eat snapper.\You'd like some, right?\Then, let's catch crayfish.\Yeah! Let's fish!\Schoolmaster, how d'you use them as bait?\Well, first...\You pull off their claws, like this.\No! response:	Hey! Naru!
