context: Abe no Seimei? response:	Yes. A powerful onmyoji from the Heian period.
context: Why is this shining?\You idiot!\Why would you touch something when you don't know what it is?\Yeah? I'm kinda busy...\Seo, I just got a call from the police.\You were right. It was mermaid scales that were stolen from Koseidou.\Koseidou\Dirt from an old grave... response:	Could it be?
context: You idiot!\Why would you touch something when you don't know what it is?\Yeah? I'm kinda busy...\Seo, I just got a call from the police.\You were right. It was mermaid scales that were stolen from Koseidou.\Koseidou\Dirt from an old grave...\Could it be? response:	Ow!
context: Why would you touch something when you don't know what it is?\Yeah? I'm kinda busy...\Seo, I just got a call from the police.\You were right. It was mermaid scales that were stolen from Koseidou.\Koseidou\Dirt from an old grave...\Could it be?\Ow! response:	You awake?
context: Yeah? I'm kinda busy...\Seo, I just got a call from the police.\You were right. It was mermaid scales that were stolen from Koseidou.\Koseidou\Dirt from an old grave...\Could it be?\Ow!\You awake? response:	Huh?
context: Seo, I just got a call from the police.\You were right. It was mermaid scales that were stolen from Koseidou.\Koseidou\Dirt from an old grave...\Could it be?\Ow!\You awake?\Huh? response:	Where are we?
context: You were right. It was mermaid scales that were stolen from Koseidou.\Koseidou\Dirt from an old grave...\Could it be?\Ow!\You awake?\Huh?\Where are we? response:	Probably inside Hakoneyama.
context: Koseidou\Dirt from an old grave...\Could it be?\Ow!\You awake?\Huh?\Where are we?\Probably inside Hakoneyama. response:	From the height of the ceiling, we're pretty far down.
context: Dirt from an old grave...\Could it be?\Ow!\You awake?\Huh?\Where are we?\Probably inside Hakoneyama.\From the height of the ceiling, we're pretty far down. response:	And...
context: Could it be?\Ow!\You awake?\Huh?\Where are we?\Probably inside Hakoneyama.\From the height of the ceiling, we're pretty far down.\And... response:	Yes?
context: Ow!\You awake?\Huh?\Where are we?\Probably inside Hakoneyama.\From the height of the ceiling, we're pretty far down.\And...\Yes? response:	Does it not occur to you to check if something's safe before you touch it?
context: You awake?\Huh?\Where are we?\Probably inside Hakoneyama.\From the height of the ceiling, we're pretty far down.\And...\Yes?\Does it not occur to you to check if something's safe before you touch it? response:	S-Sorry...
context: Huh?\Where are we?\Probably inside Hakoneyama.\From the height of the ceiling, we're pretty far down.\And...\Yes?\Does it not occur to you to check if something's safe before you touch it?\S-Sorry... response:	Huh? It's Seimei!
context: Where are we?\Probably inside Hakoneyama.\From the height of the ceiling, we're pretty far down.\And...\Yes?\Does it not occur to you to check if something's safe before you touch it?\S-Sorry...\Huh? It's Seimei! response:	It's been forever.
context: Probably inside Hakoneyama.\From the height of the ceiling, we're pretty far down.\And...\Yes?\Does it not occur to you to check if something's safe before you touch it?\S-Sorry...\Huh? It's Seimei!\It's been forever. response:	An Another?!
context: From the height of the ceiling, we're pretty far down.\And...\Yes?\Does it not occur to you to check if something's safe before you touch it?\S-Sorry...\Huh? It's Seimei!\It's been forever.\An Another?! response:	Good timing.
context: And...\Yes?\Does it not occur to you to check if something's safe before you touch it?\S-Sorry...\Huh? It's Seimei!\It's been forever.\An Another?!\Good timing. response:	My present for you just finished.
context: Yes?\Does it not occur to you to check if something's safe before you touch it?\S-Sorry...\Huh? It's Seimei!\It's been forever.\An Another?!\Good timing.\My present for you just finished. response:	Present?
context: Does it not occur to you to check if something's safe before you touch it?\S-Sorry...\Huh? It's Seimei!\It's been forever.\An Another?!\Good timing.\My present for you just finished.\Present? response:	What do you...
context: S-Sorry...\Huh? It's Seimei!\It's been forever.\An Another?!\Good timing.\My present for you just finished.\Present?\What do you... response:	Good, they're moving.
context: Huh? It's Seimei!\It's been forever.\An Another?!\Good timing.\My present for you just finished.\Present?\What do you...\Good, they're moving. response:	What is that?
context: It's been forever.\An Another?!\Good timing.\My present for you just finished.\Present?\What do you...\Good, they're moving.\What is that? response:	People?
context: An Another?!\Good timing.\My present for you just finished.\Present?\What do you...\Good, they're moving.\What is that?\People? response:	No, those are...
context: Good timing.\My present for you just finished.\Present?\What do you...\Good, they're moving.\What is that?\People?\No, those are... response:	Moving corpses. They're kyoushi!
context: My present for you just finished.\Present?\What do you...\Good, they're moving.\What is that?\People?\No, those are...\Moving corpses. They're kyoushi! response:	They're perfect for my reunion with you, right?
context: Present?\What do you...\Good, they're moving.\What is that?\People?\No, those are...\Moving corpses. They're kyoushi!\They're perfect for my reunion with you, right? response:	Now, have fun, Seimei!
