context: All right! response:	We're done for... This is the end...
context: It's like you're back to your old self.\Alan, I haven't changed at all.\As for the suspect in custody, a housewife, she claims\she doesn't remember anything, including getting into the vehicle.\She is denying any involvement.\However, witnesses say she was upset and scolding\her child right before the incident.\Police believe this incident to be a mass assault response:	It's it.
context: Alan, I haven't changed at all.\As for the suspect in custody, a housewife, she claims\she doesn't remember anything, including getting into the vehicle.\She is denying any involvement.\However, witnesses say she was upset and scolding\her child right before the incident.\Police believe this incident to be a mass assault\It's it. response:	Huh?
context: As for the suspect in custody, a housewife, she claims\she doesn't remember anything, including getting into the vehicle.\She is denying any involvement.\However, witnesses say she was upset and scolding\her child right before the incident.\Police believe this incident to be a mass assault\It's it.\Huh? response:	It's like everyone is stressed out.
context: she doesn't remember anything, including getting into the vehicle.\She is denying any involvement.\However, witnesses say she was upset and scolding\her child right before the incident.\Police believe this incident to be a mass assault\It's it.\Huh?\It's like everyone is stressed out. response:	and are continuing their investigation.
context: She is denying any involvement.\However, witnesses say she was upset and scolding\her child right before the incident.\Police believe this incident to be a mass assault\It's it.\Huh?\It's like everyone is stressed out.\and are continuing their investigation. response:	Oh, look: Expectations Higher Than Ever for GALAX.
context: However, witnesses say she was upset and scolding\her child right before the incident.\Police believe this incident to be a mass assault\It's it.\Huh?\It's like everyone is stressed out.\and are continuing their investigation.\Oh, look: Expectations Higher Than Ever for GALAX. response:	It's like our disaster prevention department might as well not exist.
context: her child right before the incident.\Police believe this incident to be a mass assault\It's it.\Huh?\It's like everyone is stressed out.\and are continuing their investigation.\Oh, look: Expectations Higher Than Ever for GALAX.\It's like our disaster prevention department might as well not exist. response:	Like, we're all fine as long as GALAX exists?
context: Police believe this incident to be a mass assault\It's it.\Huh?\It's like everyone is stressed out.\and are continuing their investigation.\Oh, look: Expectations Higher Than Ever for GALAX.\It's like our disaster prevention department might as well not exist.\Like, we're all fine as long as GALAX exists? response:	It can't be helped.
context: It's it.\Huh?\It's like everyone is stressed out.\and are continuing their investigation.\Oh, look: Expectations Higher Than Ever for GALAX.\It's like our disaster prevention department might as well not exist.\Like, we're all fine as long as GALAX exists?\It can't be helped. response:	The enemy is too strong.
context: Huh?\It's like everyone is stressed out.\and are continuing their investigation.\Oh, look: Expectations Higher Than Ever for GALAX.\It's like our disaster prevention department might as well not exist.\Like, we're all fine as long as GALAX exists?\It can't be helped.\The enemy is too strong. response:	Huh? Enemy?
context: It's like everyone is stressed out.\and are continuing their investigation.\Oh, look: Expectations Higher Than Ever for GALAX.\It's like our disaster prevention department might as well not exist.\Like, we're all fine as long as GALAX exists?\It can't be helped.\The enemy is too strong.\Huh? Enemy? response:	What do you mean, Jou-san?
context: and are continuing their investigation.\Oh, look: Expectations Higher Than Ever for GALAX.\It's like our disaster prevention department might as well not exist.\Like, we're all fine as long as GALAX exists?\It can't be helped.\The enemy is too strong.\Huh? Enemy?\What do you mean, Jou-san? response:	Oh, sorry.
context: Oh, look: Expectations Higher Than Ever for GALAX.\It's like our disaster prevention department might as well not exist.\Like, we're all fine as long as GALAX exists?\It can't be helped.\The enemy is too strong.\Huh? Enemy?\What do you mean, Jou-san?\Oh, sorry. response:	Well, what's the point in us civil servants worrying about it?
context: It's like our disaster prevention department might as well not exist.\Like, we're all fine as long as GALAX exists?\It can't be helped.\The enemy is too strong.\Huh? Enemy?\What do you mean, Jou-san?\Oh, sorry.\Well, what's the point in us civil servants worrying about it? response:	Man, what scary times we live in.
context: Like, we're all fine as long as GALAX exists?\It can't be helped.\The enemy is too strong.\Huh? Enemy?\What do you mean, Jou-san?\Oh, sorry.\Well, what's the point in us civil servants worrying about it?\Man, what scary times we live in. response:	I guess we can only count on GALAX.
context: It can't be helped.\The enemy is too strong.\Huh? Enemy?\What do you mean, Jou-san?\Oh, sorry.\Well, what's the point in us civil servants worrying about it?\Man, what scary times we live in.\I guess we can only count on GALAX. response:	Heroes can't be found anywhere anymore, anyway.
context: The enemy is too strong.\Huh? Enemy?\What do you mean, Jou-san?\Oh, sorry.\Well, what's the point in us civil servants worrying about it?\Man, what scary times we live in.\I guess we can only count on GALAX.\Heroes can't be found anywhere anymore, anyway. response:	Oh, you going home already, Jou?
context: Huh? Enemy?\What do you mean, Jou-san?\Oh, sorry.\Well, what's the point in us civil servants worrying about it?\Man, what scary times we live in.\I guess we can only count on GALAX.\Heroes can't be found anywhere anymore, anyway.\Oh, you going home already, Jou? response:	Huh? You're kidding, right, Jou-san?
context: What do you mean, Jou-san?\Oh, sorry.\Well, what's the point in us civil servants worrying about it?\Man, what scary times we live in.\I guess we can only count on GALAX.\Heroes can't be found anywhere anymore, anyway.\Oh, you going home already, Jou?\Huh? You're kidding, right, Jou-san? response:	The match isn't finished yet.
context: Oh, sorry.\Well, what's the point in us civil servants worrying about it?\Man, what scary times we live in.\I guess we can only count on GALAX.\Heroes can't be found anywhere anymore, anyway.\Oh, you going home already, Jou?\Huh? You're kidding, right, Jou-san?\The match isn't finished yet. response:	Are you running away?
context: Well, what's the point in us civil servants worrying about it?\Man, what scary times we live in.\I guess we can only count on GALAX.\Heroes can't be found anywhere anymore, anyway.\Oh, you going home already, Jou?\Huh? You're kidding, right, Jou-san?\The match isn't finished yet.\Are you running away? response:	Me? Running away?
context: Man, what scary times we live in.\I guess we can only count on GALAX.\Heroes can't be found anywhere anymore, anyway.\Oh, you going home already, Jou?\Huh? You're kidding, right, Jou-san?\The match isn't finished yet.\Are you running away?\Me? Running away? response:	Don't be ridiculous.
context: I guess we can only count on GALAX.\Heroes can't be found anywhere anymore, anyway.\Oh, you going home already, Jou?\Huh? You're kidding, right, Jou-san?\The match isn't finished yet.\Are you running away?\Me? Running away?\Don't be ridiculous. response:	I just have something I've got to do.
context: Heroes can't be found anywhere anymore, anyway.\Oh, you going home already, Jou?\Huh? You're kidding, right, Jou-san?\The match isn't finished yet.\Are you running away?\Me? Running away?\Don't be ridiculous.\I just have something I've got to do. response:	Hey, Jou-san!
context: Oh, you going home already, Jou?\Huh? You're kidding, right, Jou-san?\The match isn't finished yet.\Are you running away?\Me? Running away?\Don't be ridiculous.\I just have something I've got to do.\Hey, Jou-san! response:	There's a hero right here.
context: Huh? You're kidding, right, Jou-san?\The match isn't finished yet.\Are you running away?\Me? Running away?\Don't be ridiculous.\I just have something I've got to do.\Hey, Jou-san!\There's a hero right here. response:	Don't underestimate Gatchaman.
