context: I was wrong. response:	These pieces of shit in this castle are a blight!
context: you won't even be able to cry or laugh.\Yell, Hurray! Minamoto clan! before and after you speak.\Muahahaha\Minamoto clan...?\Wh-What is that...?\We now begin intensive training...\Our goal is to make 10,000 shots out of 100, not 100 shots out of 100.\Steel yourselves. response:	That's impossible. Hurray! Minamoto clan!
context: Yell, Hurray! Minamoto clan! before and after you speak.\Muahahaha\Minamoto clan...?\Wh-What is that...?\We now begin intensive training...\Our goal is to make 10,000 shots out of 100, not 100 shots out of 100.\Steel yourselves.\That's impossible. Hurray! Minamoto clan! response:	When he jokes around, he looks like that,
context: Muahahaha\Minamoto clan...?\Wh-What is that...?\We now begin intensive training...\Our goal is to make 10,000 shots out of 100, not 100 shots out of 100.\Steel yourselves.\That's impossible. Hurray! Minamoto clan!\When he jokes around, he looks like that, response:	but when he is serious, he has a dreadful beauty, doesn't he?
context: Minamoto clan...?\Wh-What is that...?\We now begin intensive training...\Our goal is to make 10,000 shots out of 100, not 100 shots out of 100.\Steel yourselves.\That's impossible. Hurray! Minamoto clan!\When he jokes around, he looks like that,\but when he is serious, he has a dreadful beauty, doesn't he? response:	He is too good to be a Short Ear.
context: Wh-What is that...?\We now begin intensive training...\Our goal is to make 10,000 shots out of 100, not 100 shots out of 100.\Steel yourselves.\That's impossible. Hurray! Minamoto clan!\When he jokes around, he looks like that,\but when he is serious, he has a dreadful beauty, doesn't he?\He is too good to be a Short Ear. response:	I am not sure why you said that.
context: We now begin intensive training...\Our goal is to make 10,000 shots out of 100, not 100 shots out of 100.\Steel yourselves.\That's impossible. Hurray! Minamoto clan!\When he jokes around, he looks like that,\but when he is serious, he has a dreadful beauty, doesn't he?\He is too good to be a Short Ear.\I am not sure why you said that. response:	I am the youngest of eleven brothers of the Nasu clan, yet I am the ugliest.
context: Our goal is to make 10,000 shots out of 100, not 100 shots out of 100.\Steel yourselves.\That's impossible. Hurray! Minamoto clan!\When he jokes around, he looks like that,\but when he is serious, he has a dreadful beauty, doesn't he?\He is too good to be a Short Ear.\I am not sure why you said that.\I am the youngest of eleven brothers of the Nasu clan, yet I am the ugliest. response:	I can't even describe the beauty of my brothers...
context: Steel yourselves.\That's impossible. Hurray! Minamoto clan!\When he jokes around, he looks like that,\but when he is serious, he has a dreadful beauty, doesn't he?\He is too good to be a Short Ear.\I am not sure why you said that.\I am the youngest of eleven brothers of the Nasu clan, yet I am the ugliest.\I can't even describe the beauty of my brothers... response:	Everywhere beauty walks, flowers blossom on the ground,
context: That's impossible. Hurray! Minamoto clan!\When he jokes around, he looks like that,\but when he is serious, he has a dreadful beauty, doesn't he?\He is too good to be a Short Ear.\I am not sure why you said that.\I am the youngest of eleven brothers of the Nasu clan, yet I am the ugliest.\I can't even describe the beauty of my brothers...\Everywhere beauty walks, flowers blossom on the ground, response:	ocean splits,
context: When he jokes around, he looks like that,\but when he is serious, he has a dreadful beauty, doesn't he?\He is too good to be a Short Ear.\I am not sure why you said that.\I am the youngest of eleven brothers of the Nasu clan, yet I am the ugliest.\I can't even describe the beauty of my brothers...\Everywhere beauty walks, flowers blossom on the ground,\ocean splits, response:	and gold falls from the sky.
context: but when he is serious, he has a dreadful beauty, doesn't he?\He is too good to be a Short Ear.\I am not sure why you said that.\I am the youngest of eleven brothers of the Nasu clan, yet I am the ugliest.\I can't even describe the beauty of my brothers...\Everywhere beauty walks, flowers blossom on the ground,\ocean splits,\and gold falls from the sky. response:	That's what we call true beauty.
context: He is too good to be a Short Ear.\I am not sure why you said that.\I am the youngest of eleven brothers of the Nasu clan, yet I am the ugliest.\I can't even describe the beauty of my brothers...\Everywhere beauty walks, flowers blossom on the ground,\ocean splits,\and gold falls from the sky.\That's what we call true beauty. response:	That is absolutely not true. Hurray! Minamoto clan!
context: I am not sure why you said that.\I am the youngest of eleven brothers of the Nasu clan, yet I am the ugliest.\I can't even describe the beauty of my brothers...\Everywhere beauty walks, flowers blossom on the ground,\ocean splits,\and gold falls from the sky.\That's what we call true beauty.\That is absolutely not true. Hurray! Minamoto clan! response:	Hi-yah!
context: I am the youngest of eleven brothers of the Nasu clan, yet I am the ugliest.\I can't even describe the beauty of my brothers...\Everywhere beauty walks, flowers blossom on the ground,\ocean splits,\and gold falls from the sky.\That's what we call true beauty.\That is absolutely not true. Hurray! Minamoto clan!\Hi-yah! response:	This is the Sasshu swordsmanship.
context: I can't even describe the beauty of my brothers...\Everywhere beauty walks, flowers blossom on the ground,\ocean splits,\and gold falls from the sky.\That's what we call true beauty.\That is absolutely not true. Hurray! Minamoto clan!\Hi-yah!\This is the Sasshu swordsmanship. response:	You put all your strength and heart into one stroke.
context: Everywhere beauty walks, flowers blossom on the ground,\ocean splits,\and gold falls from the sky.\That's what we call true beauty.\That is absolutely not true. Hurray! Minamoto clan!\Hi-yah!\This is the Sasshu swordsmanship.\You put all your strength and heart into one stroke. response:	Don't even think about outcome.
context: ocean splits,\and gold falls from the sky.\That's what we call true beauty.\That is absolutely not true. Hurray! Minamoto clan!\Hi-yah!\This is the Sasshu swordsmanship.\You put all your strength and heart into one stroke.\Don't even think about outcome. response:	W-Well...
context: and gold falls from the sky.\That's what we call true beauty.\That is absolutely not true. Hurray! Minamoto clan!\Hi-yah!\This is the Sasshu swordsmanship.\You put all your strength and heart into one stroke.\Don't even think about outcome.\W-Well... response:	If you miss him or he dodges, what then...?
context: That's what we call true beauty.\That is absolutely not true. Hurray! Minamoto clan!\Hi-yah!\This is the Sasshu swordsmanship.\You put all your strength and heart into one stroke.\Don't even think about outcome.\W-Well...\If you miss him or he dodges, what then...? response:	Die without hesitation. It's an advancement to another world.
context: That is absolutely not true. Hurray! Minamoto clan!\Hi-yah!\This is the Sasshu swordsmanship.\You put all your strength and heart into one stroke.\Don't even think about outcome.\W-Well...\If you miss him or he dodges, what then...?\Die without hesitation. It's an advancement to another world. response:	It's an honor.
context: Hi-yah!\This is the Sasshu swordsmanship.\You put all your strength and heart into one stroke.\Don't even think about outcome.\W-Well...\If you miss him or he dodges, what then...?\Die without hesitation. It's an advancement to another world.\It's an honor. response:	I can't teach the Elves my swordsmanship.
context: This is the Sasshu swordsmanship.\You put all your strength and heart into one stroke.\Don't even think about outcome.\W-Well...\If you miss him or he dodges, what then...?\Die without hesitation. It's an advancement to another world.\It's an honor.\I can't teach the Elves my swordsmanship. response:	I don't think they are cut out for this.
context: You put all your strength and heart into one stroke.\Don't even think about outcome.\W-Well...\If you miss him or he dodges, what then...?\Die without hesitation. It's an advancement to another world.\It's an honor.\I can't teach the Elves my swordsmanship.\I don't think they are cut out for this. response:	Hmm.
context: Don't even think about outcome.\W-Well...\If you miss him or he dodges, what then...?\Die without hesitation. It's an advancement to another world.\It's an honor.\I can't teach the Elves my swordsmanship.\I don't think they are cut out for this.\Hmm. response:	They are excellent with a bow. They are like God-sent archers.
context: W-Well...\If you miss him or he dodges, what then...?\Die without hesitation. It's an advancement to another world.\It's an honor.\I can't teach the Elves my swordsmanship.\I don't think they are cut out for this.\Hmm.\They are excellent with a bow. They are like God-sent archers. response:	Earlier, the blacksmiths in the village... Huh?
context: If you miss him or he dodges, what then...?\Die without hesitation. It's an advancement to another world.\It's an honor.\I can't teach the Elves my swordsmanship.\I don't think they are cut out for this.\Hmm.\They are excellent with a bow. They are like God-sent archers.\Earlier, the blacksmiths in the village... Huh? response:	Why do I have such an eerie feeling?
context: Die without hesitation. It's an advancement to another world.\It's an honor.\I can't teach the Elves my swordsmanship.\I don't think they are cut out for this.\Hmm.\They are excellent with a bow. They are like God-sent archers.\Earlier, the blacksmiths in the village... Huh?\Why do I have such an eerie feeling? response:	Huh?
context: It's an honor.\I can't teach the Elves my swordsmanship.\I don't think they are cut out for this.\Hmm.\They are excellent with a bow. They are like God-sent archers.\Earlier, the blacksmiths in the village... Huh?\Why do I have such an eerie feeling?\Huh? response:	Something is coming near.
context: I can't teach the Elves my swordsmanship.\I don't think they are cut out for this.\Hmm.\They are excellent with a bow. They are like God-sent archers.\Earlier, the blacksmiths in the village... Huh?\Why do I have such an eerie feeling?\Huh?\Something is coming near. response:	This feeling I have... It's not the Orte's army.
context: I don't think they are cut out for this.\Hmm.\They are excellent with a bow. They are like God-sent archers.\Earlier, the blacksmiths in the village... Huh?\Why do I have such an eerie feeling?\Huh?\Something is coming near.\This feeling I have... It's not the Orte's army. response:	Something is coming for us.
context: Hmm.\They are excellent with a bow. They are like God-sent archers.\Earlier, the blacksmiths in the village... Huh?\Why do I have such an eerie feeling?\Huh?\Something is coming near.\This feeling I have... It's not the Orte's army.\Something is coming for us. response:	I smell Sekigahara.
context: They are excellent with a bow. They are like God-sent archers.\Earlier, the blacksmiths in the village... Huh?\Why do I have such an eerie feeling?\Huh?\Something is coming near.\This feeling I have... It's not the Orte's army.\Something is coming for us.\I smell Sekigahara. response:	It's the nauseating smell of a bloody battle.
context: Earlier, the blacksmiths in the village... Huh?\Why do I have such an eerie feeling?\Huh?\Something is coming near.\This feeling I have... It's not the Orte's army.\Something is coming for us.\I smell Sekigahara.\It's the nauseating smell of a bloody battle. response:	Find them.
context: Why do I have such an eerie feeling?\Huh?\Something is coming near.\This feeling I have... It's not the Orte's army.\Something is coming for us.\I smell Sekigahara.\It's the nauseating smell of a bloody battle.\Find them. response:	Hunt them down.
context: Huh?\Something is coming near.\This feeling I have... It's not the Orte's army.\Something is coming for us.\I smell Sekigahara.\It's the nauseating smell of a bloody battle.\Find them.\Hunt them down. response:	Let's go, Gilles de Rais.
context: Something is coming near.\This feeling I have... It's not the Orte's army.\Something is coming for us.\I smell Sekigahara.\It's the nauseating smell of a bloody battle.\Find them.\Hunt them down.\Let's go, Gilles de Rais. response:	I can smell them.
context: This feeling I have... It's not the Orte's army.\Something is coming for us.\I smell Sekigahara.\It's the nauseating smell of a bloody battle.\Find them.\Hunt them down.\Let's go, Gilles de Rais.\I can smell them. response:	It's them, the Drifters!
context: Something is coming for us.\I smell Sekigahara.\It's the nauseating smell of a bloody battle.\Find them.\Hunt them down.\Let's go, Gilles de Rais.\I can smell them.\It's them, the Drifters! response:	Kill them.
context: I smell Sekigahara.\It's the nauseating smell of a bloody battle.\Find them.\Hunt them down.\Let's go, Gilles de Rais.\I can smell them.\It's them, the Drifters!\Kill them. response:	Kill those Drifters!
context: It's the nauseating smell of a bloody battle.\Find them.\Hunt them down.\Let's go, Gilles de Rais.\I can smell them.\It's them, the Drifters!\Kill them.\Kill those Drifters! response:	Blight the fig trees...
context: Find them.\Hunt them down.\Let's go, Gilles de Rais.\I can smell them.\It's them, the Drifters!\Kill them.\Kill those Drifters!\Blight the fig trees... response:	Ghost Sorcery
context: Hunt them down.\Let's go, Gilles de Rais.\I can smell them.\It's them, the Drifters!\Kill them.\Kill those Drifters!\Blight the fig trees...\Ghost Sorcery response:	Androgynous Woman
context: Let's go, Gilles de Rais.\I can smell them.\It's them, the Drifters!\Kill them.\Kill those Drifters!\Blight the fig trees...\Ghost Sorcery\Androgynous Woman response:	Olminu of Stone Coffins
context: I can smell them.\It's them, the Drifters!\Kill them.\Kill those Drifters!\Blight the fig trees...\Ghost Sorcery\Androgynous Woman\Olminu of Stone Coffins response:	Act 7 Chaos Diver
