context: GDF Base on the Front Lines Undina Air Space response:	<The primitive beings! Hunt them down to the last one!>
context: How can we win this...?\We really should be running.\Run away? Fight!\Run away. Fight!\Run away...\Fight!\<Destroy that red one!>\Red 5, you're over-exerting it! response:	Izuru, to your right!
context: We really should be running.\Run away? Fight!\Run away. Fight!\Run away...\Fight!\<Destroy that red one!>\Red 5, you're over-exerting it!\Izuru, to your right! response:	Why'd it move on its own?!
context: Run away? Fight!\Run away. Fight!\Run away...\Fight!\<Destroy that red one!>\Red 5, you're over-exerting it!\Izuru, to your right!\Why'd it move on its own?! response:	HEP Cannon: Set.
context: Run away. Fight!\Run away...\Fight!\<Destroy that red one!>\Red 5, you're over-exerting it!\Izuru, to your right!\Why'd it move on its own?!\HEP Cannon: Set. response:	Fire at maximum power!
context: Run away...\Fight!\<Destroy that red one!>\Red 5, you're over-exerting it!\Izuru, to your right!\Why'd it move on its own?!\HEP Cannon: Set.\Fire at maximum power! response:	Red 5 is fully storming the enemy.
context: Fight!\<Destroy that red one!>\Red 5, you're over-exerting it!\Izuru, to your right!\Why'd it move on its own?!\HEP Cannon: Set.\Fire at maximum power!\Red 5 is fully storming the enemy. response:	<Lord Rada, we won't be able to escape if we stay>
context: <Destroy that red one!>\Red 5, you're over-exerting it!\Izuru, to your right!\Why'd it move on its own?!\HEP Cannon: Set.\Fire at maximum power!\Red 5 is fully storming the enemy.\<Lord Rada, we won't be able to escape if we stay> response:	<Enough! I grow weary of this battle. This hunt is over>
context: Red 5, you're over-exerting it!\Izuru, to your right!\Why'd it move on its own?!\HEP Cannon: Set.\Fire at maximum power!\Red 5 is fully storming the enemy.\<Lord Rada, we won't be able to escape if we stay>\<Enough! I grow weary of this battle. This hunt is over> response:	The enemy fleet has retreated.
context: Izuru, to your right!\Why'd it move on its own?!\HEP Cannon: Set.\Fire at maximum power!\Red 5 is fully storming the enemy.\<Lord Rada, we won't be able to escape if we stay>\<Enough! I grow weary of this battle. This hunt is over>\The enemy fleet has retreated. response:	Confirming that all AHSMB units are intact.
context: Why'd it move on its own?!\HEP Cannon: Set.\Fire at maximum power!\Red 5 is fully storming the enemy.\<Lord Rada, we won't be able to escape if we stay>\<Enough! I grow weary of this battle. This hunt is over>\The enemy fleet has retreated.\Confirming that all AHSMB units are intact. response:	The enemy fleet is pulling away from Undina.
context: HEP Cannon: Set.\Fire at maximum power!\Red 5 is fully storming the enemy.\<Lord Rada, we won't be able to escape if we stay>\<Enough! I grow weary of this battle. This hunt is over>\The enemy fleet has retreated.\Confirming that all AHSMB units are intact.\The enemy fleet is pulling away from Undina. response:	They are headed toward Jupiter.
context: Fire at maximum power!\Red 5 is fully storming the enemy.\<Lord Rada, we won't be able to escape if we stay>\<Enough! I grow weary of this battle. This hunt is over>\The enemy fleet has retreated.\Confirming that all AHSMB units are intact.\The enemy fleet is pulling away from Undina.\They are headed toward Jupiter. response:	They protected a base that we were going to abandon?
context: Red 5 is fully storming the enemy.\<Lord Rada, we won't be able to escape if we stay>\<Enough! I grow weary of this battle. This hunt is over>\The enemy fleet has retreated.\Confirming that all AHSMB units are intact.\The enemy fleet is pulling away from Undina.\They are headed toward Jupiter.\They protected a base that we were going to abandon? response:	We did it...
context: <Lord Rada, we won't be able to escape if we stay>\<Enough! I grow weary of this battle. This hunt is over>\The enemy fleet has retreated.\Confirming that all AHSMB units are intact.\The enemy fleet is pulling away from Undina.\They are headed toward Jupiter.\They protected a base that we were going to abandon?\We did it... response:	Heroes are Born
