context: At the end of the 1990's. response:	Japan has reached the most dangerous depths of economic crisis and depression since World War II.
context: And on top of that, Arima likes me.\What? What's with your talking about your love affair? Talking about your love affair?\Arima's world is deeper than mine.\I think that if there is anything that would make me worry or become distressed...\That's what I thought.\That's why I wanted to just make my own world.\I like to be dependent and pampered by Arima...\That's why Arima responds exclusively to Yukino, out of all the girls that he can respond to. response:	You laugh at me, that's not fair.
context: What? What's with your talking about your love affair? Talking about your love affair?\Arima's world is deeper than mine.\I think that if there is anything that would make me worry or become distressed...\That's what I thought.\That's why I wanted to just make my own world.\I like to be dependent and pampered by Arima...\That's why Arima responds exclusively to Yukino, out of all the girls that he can respond to.\You laugh at me, that's not fair. response:	I'm always talking about myself. Why don't you tell me about yourself sometime, Maho-san?
context: Arima's world is deeper than mine.\I think that if there is anything that would make me worry or become distressed...\That's what I thought.\That's why I wanted to just make my own world.\I like to be dependent and pampered by Arima...\That's why Arima responds exclusively to Yukino, out of all the girls that he can respond to.\You laugh at me, that's not fair.\I'm always talking about myself. Why don't you tell me about yourself sometime, Maho-san? response:	No way.
context: I think that if there is anything that would make me worry or become distressed...\That's what I thought.\That's why I wanted to just make my own world.\I like to be dependent and pampered by Arima...\That's why Arima responds exclusively to Yukino, out of all the girls that he can respond to.\You laugh at me, that's not fair.\I'm always talking about myself. Why don't you tell me about yourself sometime, Maho-san?\No way. response:	No way. Aw, come on, talk about it!
context: That's what I thought.\That's why I wanted to just make my own world.\I like to be dependent and pampered by Arima...\That's why Arima responds exclusively to Yukino, out of all the girls that he can respond to.\You laugh at me, that's not fair.\I'm always talking about myself. Why don't you tell me about yourself sometime, Maho-san?\No way.\No way. Aw, come on, talk about it! response:	Aw, come on, talk about it!
context: That's why I wanted to just make my own world.\I like to be dependent and pampered by Arima...\That's why Arima responds exclusively to Yukino, out of all the girls that he can respond to.\You laugh at me, that's not fair.\I'm always talking about myself. Why don't you tell me about yourself sometime, Maho-san?\No way.\No way. Aw, come on, talk about it!\Aw, come on, talk about it! response:	No I don't want to.
context: I like to be dependent and pampered by Arima...\That's why Arima responds exclusively to Yukino, out of all the girls that he can respond to.\You laugh at me, that's not fair.\I'm always talking about myself. Why don't you tell me about yourself sometime, Maho-san?\No way.\No way. Aw, come on, talk about it!\Aw, come on, talk about it!\No I don't want to. response:	Hey, you lezbos over there, the chimes' ringing.
context: That's why Arima responds exclusively to Yukino, out of all the girls that he can respond to.\You laugh at me, that's not fair.\I'm always talking about myself. Why don't you tell me about yourself sometime, Maho-san?\No way.\No way. Aw, come on, talk about it!\Aw, come on, talk about it!\No I don't want to.\Hey, you lezbos over there, the chimes' ringing. response:	Stage 9
context: You laugh at me, that's not fair.\I'm always talking about myself. Why don't you tell me about yourself sometime, Maho-san?\No way.\No way. Aw, come on, talk about it!\Aw, come on, talk about it!\No I don't want to.\Hey, you lezbos over there, the chimes' ringing.\Stage 9 response:	Contemplating.
context: I'm always talking about myself. Why don't you tell me about yourself sometime, Maho-san?\No way.\No way. Aw, come on, talk about it!\Aw, come on, talk about it!\No I don't want to.\Hey, you lezbos over there, the chimes' ringing.\Stage 9\Contemplating. response:	Contemplating. For me to understand Arima-kun
context: No way.\No way. Aw, come on, talk about it!\Aw, come on, talk about it!\No I don't want to.\Hey, you lezbos over there, the chimes' ringing.\Stage 9\Contemplating.\Contemplating. For me to understand Arima-kun response:	For me to understand Arima-kun
context: No way. Aw, come on, talk about it!\Aw, come on, talk about it!\No I don't want to.\Hey, you lezbos over there, the chimes' ringing.\Stage 9\Contemplating.\Contemplating. For me to understand Arima-kun\For me to understand Arima-kun response:	For me to understand Arima-kun Contemplating.
context: Aw, come on, talk about it!\No I don't want to.\Hey, you lezbos over there, the chimes' ringing.\Stage 9\Contemplating.\Contemplating. For me to understand Arima-kun\For me to understand Arima-kun\For me to understand Arima-kun Contemplating. response:	Contemplating. I don't understand the falling in love feelings.
context: No I don't want to.\Hey, you lezbos over there, the chimes' ringing.\Stage 9\Contemplating.\Contemplating. For me to understand Arima-kun\For me to understand Arima-kun\For me to understand Arima-kun Contemplating.\Contemplating. I don't understand the falling in love feelings. response:	I don't understand the falling in love feelings.
context: Hey, you lezbos over there, the chimes' ringing.\Stage 9\Contemplating.\Contemplating. For me to understand Arima-kun\For me to understand Arima-kun\For me to understand Arima-kun Contemplating.\Contemplating. I don't understand the falling in love feelings.\I don't understand the falling in love feelings. response:	Sakura!!
context: Stage 9\Contemplating.\Contemplating. For me to understand Arima-kun\For me to understand Arima-kun\For me to understand Arima-kun Contemplating.\Contemplating. I don't understand the falling in love feelings.\I don't understand the falling in love feelings.\Sakura!! response:	Hi. Doing alright?
context: Contemplating.\Contemplating. For me to understand Arima-kun\For me to understand Arima-kun\For me to understand Arima-kun Contemplating.\Contemplating. I don't understand the falling in love feelings.\I don't understand the falling in love feelings.\Sakura!!\Hi. Doing alright? response:	Don't look the other way.
context: Contemplating. For me to understand Arima-kun\For me to understand Arima-kun\For me to understand Arima-kun Contemplating.\Contemplating. I don't understand the falling in love feelings.\I don't understand the falling in love feelings.\Sakura!!\Hi. Doing alright?\Don't look the other way. response:	Of all the classmates, you and I have the worst affinity.
context: For me to understand Arima-kun\For me to understand Arima-kun Contemplating.\Contemplating. I don't understand the falling in love feelings.\I don't understand the falling in love feelings.\Sakura!!\Hi. Doing alright?\Don't look the other way.\Of all the classmates, you and I have the worst affinity. response:	That's because you're just a facade.
context: For me to understand Arima-kun Contemplating.\Contemplating. I don't understand the falling in love feelings.\I don't understand the falling in love feelings.\Sakura!!\Hi. Doing alright?\Don't look the other way.\Of all the classmates, you and I have the worst affinity.\That's because you're just a facade. response:	Ridiculous!
context: Contemplating. I don't understand the falling in love feelings.\I don't understand the falling in love feelings.\Sakura!!\Hi. Doing alright?\Don't look the other way.\Of all the classmates, you and I have the worst affinity.\That's because you're just a facade.\Ridiculous! response:	I'm not just a facade!
context: I don't understand the falling in love feelings.\Sakura!!\Hi. Doing alright?\Don't look the other way.\Of all the classmates, you and I have the worst affinity.\That's because you're just a facade.\Ridiculous!\I'm not just a facade! response:	You, they say that you only like cute girls.
context: Sakura!!\Hi. Doing alright?\Don't look the other way.\Of all the classmates, you and I have the worst affinity.\That's because you're just a facade.\Ridiculous!\I'm not just a facade!\You, they say that you only like cute girls. response:	I can't stand that kind of attitude.
context: Hi. Doing alright?\Don't look the other way.\Of all the classmates, you and I have the worst affinity.\That's because you're just a facade.\Ridiculous!\I'm not just a facade!\You, they say that you only like cute girls.\I can't stand that kind of attitude. response:	All girls are cute.
context: Don't look the other way.\Of all the classmates, you and I have the worst affinity.\That's because you're just a facade.\Ridiculous!\I'm not just a facade!\You, they say that you only like cute girls.\I can't stand that kind of attitude.\All girls are cute. response:	Aw, shut up. I just like pretty things, that's all.
context: Of all the classmates, you and I have the worst affinity.\That's because you're just a facade.\Ridiculous!\I'm not just a facade!\You, they say that you only like cute girls.\I can't stand that kind of attitude.\All girls are cute.\Aw, shut up. I just like pretty things, that's all. response:	It is because of the cruel discernment, that beauty is beauty.
context: That's because you're just a facade.\Ridiculous!\I'm not just a facade!\You, they say that you only like cute girls.\I can't stand that kind of attitude.\All girls are cute.\Aw, shut up. I just like pretty things, that's all.\It is because of the cruel discernment, that beauty is beauty. response:	It is because of the cruel discernment, that beauty is beauty. Beauty
context: Ridiculous!\I'm not just a facade!\You, they say that you only like cute girls.\I can't stand that kind of attitude.\All girls are cute.\Aw, shut up. I just like pretty things, that's all.\It is because of the cruel discernment, that beauty is beauty.\It is because of the cruel discernment, that beauty is beauty. Beauty response:	Beauty Otherwise, it doesn't accord with reason.
context: I'm not just a facade!\You, they say that you only like cute girls.\I can't stand that kind of attitude.\All girls are cute.\Aw, shut up. I just like pretty things, that's all.\It is because of the cruel discernment, that beauty is beauty.\It is because of the cruel discernment, that beauty is beauty. Beauty\Beauty Otherwise, it doesn't accord with reason. response:	Otherwise, it doesn't accord with reason.
context: You, they say that you only like cute girls.\I can't stand that kind of attitude.\All girls are cute.\Aw, shut up. I just like pretty things, that's all.\It is because of the cruel discernment, that beauty is beauty.\It is because of the cruel discernment, that beauty is beauty. Beauty\Beauty Otherwise, it doesn't accord with reason.\Otherwise, it doesn't accord with reason. response:	It seems that she argues philosophically.
context: I can't stand that kind of attitude.\All girls are cute.\Aw, shut up. I just like pretty things, that's all.\It is because of the cruel discernment, that beauty is beauty.\It is because of the cruel discernment, that beauty is beauty. Beauty\Beauty Otherwise, it doesn't accord with reason.\Otherwise, it doesn't accord with reason.\It seems that she argues philosophically. response:	It seems that she argues philosophically. Not so! Absolutely not so!
context: All girls are cute.\Aw, shut up. I just like pretty things, that's all.\It is because of the cruel discernment, that beauty is beauty.\It is because of the cruel discernment, that beauty is beauty. Beauty\Beauty Otherwise, it doesn't accord with reason.\Otherwise, it doesn't accord with reason.\It seems that she argues philosophically.\It seems that she argues philosophically. Not so! Absolutely not so! response:	What does it matter.
context: Aw, shut up. I just like pretty things, that's all.\It is because of the cruel discernment, that beauty is beauty.\It is because of the cruel discernment, that beauty is beauty. Beauty\Beauty Otherwise, it doesn't accord with reason.\Otherwise, it doesn't accord with reason.\It seems that she argues philosophically.\It seems that she argues philosophically. Not so! Absolutely not so!\What does it matter. response:	Summer clothes are going to be gone this month, so you better get your eyeful.
context: It is because of the cruel discernment, that beauty is beauty.\It is because of the cruel discernment, that beauty is beauty. Beauty\Beauty Otherwise, it doesn't accord with reason.\Otherwise, it doesn't accord with reason.\It seems that she argues philosophically.\It seems that she argues philosophically. Not so! Absolutely not so!\What does it matter.\Summer clothes are going to be gone this month, so you better get your eyeful. response:	Look at them.
context: It is because of the cruel discernment, that beauty is beauty. Beauty\Beauty Otherwise, it doesn't accord with reason.\Otherwise, it doesn't accord with reason.\It seems that she argues philosophically.\It seems that she argues philosophically. Not so! Absolutely not so!\What does it matter.\Summer clothes are going to be gone this month, so you better get your eyeful.\Look at them. response:	Look at the momentary brilliant light of those maidens...
context: Beauty Otherwise, it doesn't accord with reason.\Otherwise, it doesn't accord with reason.\It seems that she argues philosophically.\It seems that she argues philosophically. Not so! Absolutely not so!\What does it matter.\Summer clothes are going to be gone this month, so you better get your eyeful.\Look at them.\Look at the momentary brilliant light of those maidens... response:	Yes, beautiful.
context: Otherwise, it doesn't accord with reason.\It seems that she argues philosophically.\It seems that she argues philosophically. Not so! Absolutely not so!\What does it matter.\Summer clothes are going to be gone this month, so you better get your eyeful.\Look at them.\Look at the momentary brilliant light of those maidens...\Yes, beautiful. response:	And he too was looking.
context: It seems that she argues philosophically.\It seems that she argues philosophically. Not so! Absolutely not so!\What does it matter.\Summer clothes are going to be gone this month, so you better get your eyeful.\Look at them.\Look at the momentary brilliant light of those maidens...\Yes, beautiful.\And he too was looking. response:	And he too was looking
context: It seems that she argues philosophically. Not so! Absolutely not so!\What does it matter.\Summer clothes are going to be gone this month, so you better get your eyeful.\Look at them.\Look at the momentary brilliant light of those maidens...\Yes, beautiful.\And he too was looking.\And he too was looking response:	He was looking.
context: What does it matter.\Summer clothes are going to be gone this month, so you better get your eyeful.\Look at them.\Look at the momentary brilliant light of those maidens...\Yes, beautiful.\And he too was looking.\And he too was looking\He was looking. response:	Another parting.
context: Summer clothes are going to be gone this month, so you better get your eyeful.\Look at them.\Look at the momentary brilliant light of those maidens...\Yes, beautiful.\And he too was looking.\And he too was looking\He was looking.\Another parting. response:	Another parting. Later
context: Look at them.\Look at the momentary brilliant light of those maidens...\Yes, beautiful.\And he too was looking.\And he too was looking\He was looking.\Another parting.\Another parting. Later response:	Another parting.
context: Look at the momentary brilliant light of those maidens...\Yes, beautiful.\And he too was looking.\And he too was looking\He was looking.\Another parting.\Another parting. Later\Another parting. response:	And then, realization.
context: Yes, beautiful.\And he too was looking.\And he too was looking\He was looking.\Another parting.\Another parting. Later\Another parting.\And then, realization. response:	And then, realization. Oh, Tonami.
context: And he too was looking.\And he too was looking\He was looking.\Another parting.\Another parting. Later\Another parting.\And then, realization.\And then, realization. Oh, Tonami. response:	And then, realization.
context: And he too was looking\He was looking.\Another parting.\Another parting. Later\Another parting.\And then, realization.\And then, realization. Oh, Tonami.\And then, realization. response:	And then, an ontological provocation.
context: He was looking.\Another parting.\Another parting. Later\Another parting.\And then, realization.\And then, realization. Oh, Tonami.\And then, realization.\And then, an ontological provocation. response:	And then, an ontological provocation. FOOOL!!
context: Another parting.\Another parting. Later\Another parting.\And then, realization.\And then, realization. Oh, Tonami.\And then, realization.\And then, an ontological provocation.\And then, an ontological provocation. FOOOL!! response:	And then, an ontological provocation.
context: Another parting. Later\Another parting.\And then, realization.\And then, realization. Oh, Tonami.\And then, realization.\And then, an ontological provocation.\And then, an ontological provocation. FOOOL!!\And then, an ontological provocation. response:	Ouch!
context: Another parting.\And then, realization.\And then, realization. Oh, Tonami.\And then, realization.\And then, an ontological provocation.\And then, an ontological provocation. FOOOL!!\And then, an ontological provocation.\Ouch! response:	Ow, what's with your frightening strength? You're not a woman. Shut up. What do you mean by FOOL?
context: And then, realization.\And then, realization. Oh, Tonami.\And then, realization.\And then, an ontological provocation.\And then, an ontological provocation. FOOOL!!\And then, an ontological provocation.\Ouch!\Ow, what's with your frightening strength? You're not a woman. Shut up. What do you mean by FOOL? response:	Shut up, just said it cause I wanted to say it.
context: And then, realization. Oh, Tonami.\And then, realization.\And then, an ontological provocation.\And then, an ontological provocation. FOOOL!!\And then, an ontological provocation.\Ouch!\Ow, what's with your frightening strength? You're not a woman. Shut up. What do you mean by FOOL?\Shut up, just said it cause I wanted to say it. response:	Shut up, just said it cause I wanted to say it. And then, another ontological provocation.
context: And then, realization.\And then, an ontological provocation.\And then, an ontological provocation. FOOOL!!\And then, an ontological provocation.\Ouch!\Ow, what's with your frightening strength? You're not a woman. Shut up. What do you mean by FOOL?\Shut up, just said it cause I wanted to say it.\Shut up, just said it cause I wanted to say it. And then, another ontological provocation. response:	And then, another ontological provocation.
context: And then, an ontological provocation.\And then, an ontological provocation. FOOOL!!\And then, an ontological provocation.\Ouch!\Ow, what's with your frightening strength? You're not a woman. Shut up. What do you mean by FOOL?\Shut up, just said it cause I wanted to say it.\Shut up, just said it cause I wanted to say it. And then, another ontological provocation.\And then, another ontological provocation. response:	And then, another ontological provocation. I pity da foo!
context: And then, an ontological provocation. FOOOL!!\And then, an ontological provocation.\Ouch!\Ow, what's with your frightening strength? You're not a woman. Shut up. What do you mean by FOOL?\Shut up, just said it cause I wanted to say it.\Shut up, just said it cause I wanted to say it. And then, another ontological provocation.\And then, another ontological provocation.\And then, another ontological provocation. I pity da foo! response:	I pity da foo!
context: And then, an ontological provocation.\Ouch!\Ow, what's with your frightening strength? You're not a woman. Shut up. What do you mean by FOOL?\Shut up, just said it cause I wanted to say it.\Shut up, just said it cause I wanted to say it. And then, another ontological provocation.\And then, another ontological provocation.\And then, another ontological provocation. I pity da foo!\I pity da foo! response:	Sparkle
context: Ouch!\Ow, what's with your frightening strength? You're not a woman. Shut up. What do you mean by FOOL?\Shut up, just said it cause I wanted to say it.\Shut up, just said it cause I wanted to say it. And then, another ontological provocation.\And then, another ontological provocation.\And then, another ontological provocation. I pity da foo!\I pity da foo!\Sparkle response:	Dammit, what's with this irritation
context: Ow, what's with your frightening strength? You're not a woman. Shut up. What do you mean by FOOL?\Shut up, just said it cause I wanted to say it.\Shut up, just said it cause I wanted to say it. And then, another ontological provocation.\And then, another ontological provocation.\And then, another ontological provocation. I pity da foo!\I pity da foo!\Sparkle\Dammit, what's with this irritation response:	Dammit, what's with this irritation And then.
context: Shut up, just said it cause I wanted to say it.\Shut up, just said it cause I wanted to say it. And then, another ontological provocation.\And then, another ontological provocation.\And then, another ontological provocation. I pity da foo!\I pity da foo!\Sparkle\Dammit, what's with this irritation\Dammit, what's with this irritation And then. response:	Dammit, what's with this irritation
context: Shut up, just said it cause I wanted to say it. And then, another ontological provocation.\And then, another ontological provocation.\And then, another ontological provocation. I pity da foo!\I pity da foo!\Sparkle\Dammit, what's with this irritation\Dammit, what's with this irritation And then.\Dammit, what's with this irritation response:	Unknown actions.
context: And then, another ontological provocation.\And then, another ontological provocation. I pity da foo!\I pity da foo!\Sparkle\Dammit, what's with this irritation\Dammit, what's with this irritation And then.\Dammit, what's with this irritation\Unknown actions. response:	A vague perspective.
context: And then, another ontological provocation. I pity da foo!\I pity da foo!\Sparkle\Dammit, what's with this irritation\Dammit, what's with this irritation And then.\Dammit, what's with this irritation\Unknown actions.\A vague perspective. response:	Uncertain feelings.
context: I pity da foo!\Sparkle\Dammit, what's with this irritation\Dammit, what's with this irritation And then.\Dammit, what's with this irritation\Unknown actions.\A vague perspective.\Uncertain feelings. response:	This gal
context: Sparkle\Dammit, what's with this irritation\Dammit, what's with this irritation And then.\Dammit, what's with this irritation\Unknown actions.\A vague perspective.\Uncertain feelings.\This gal response:	Was never a kind of person who would be laughing with another guy
context: Dammit, what's with this irritation\Dammit, what's with this irritation And then.\Dammit, what's with this irritation\Unknown actions.\A vague perspective.\Uncertain feelings.\This gal\Was never a kind of person who would be laughing with another guy response:	Was never a kind of person who would be laughing with another guy It's just that her personality has rounded out.
context: Dammit, what's with this irritation And then.\Dammit, what's with this irritation\Unknown actions.\A vague perspective.\Uncertain feelings.\This gal\Was never a kind of person who would be laughing with another guy\Was never a kind of person who would be laughing with another guy It's just that her personality has rounded out. response:	On top of that, she ki...kissed me yesterday.
context: Dammit, what's with this irritation\Unknown actions.\A vague perspective.\Uncertain feelings.\This gal\Was never a kind of person who would be laughing with another guy\Was never a kind of person who would be laughing with another guy It's just that her personality has rounded out.\On top of that, she ki...kissed me yesterday. response:	And she kissed me and...
context: Unknown actions.\A vague perspective.\Uncertain feelings.\This gal\Was never a kind of person who would be laughing with another guy\Was never a kind of person who would be laughing with another guy It's just that her personality has rounded out.\On top of that, she ki...kissed me yesterday.\And she kissed me and... response:	And she kissed me and... Feeling a weird aura from the back
context: A vague perspective.\Uncertain feelings.\This gal\Was never a kind of person who would be laughing with another guy\Was never a kind of person who would be laughing with another guy It's just that her personality has rounded out.\On top of that, she ki...kissed me yesterday.\And she kissed me and...\And she kissed me and... Feeling a weird aura from the back response:	A sudden question.
context: Uncertain feelings.\This gal\Was never a kind of person who would be laughing with another guy\Was never a kind of person who would be laughing with another guy It's just that her personality has rounded out.\On top of that, she ki...kissed me yesterday.\And she kissed me and...\And she kissed me and... Feeling a weird aura from the back\A sudden question. response:	A sudden question. Why did I do such a thing?
context: This gal\Was never a kind of person who would be laughing with another guy\Was never a kind of person who would be laughing with another guy It's just that her personality has rounded out.\On top of that, she ki...kissed me yesterday.\And she kissed me and...\And she kissed me and... Feeling a weird aura from the back\A sudden question.\A sudden question. Why did I do such a thing? response:	Why did I do such a thing?
context: Was never a kind of person who would be laughing with another guy\Was never a kind of person who would be laughing with another guy It's just that her personality has rounded out.\On top of that, she ki...kissed me yesterday.\And she kissed me and...\And she kissed me and... Feeling a weird aura from the back\A sudden question.\A sudden question. Why did I do such a thing?\Why did I do such a thing? response:	Why did I do such a thing? Disbelief.
context: Was never a kind of person who would be laughing with another guy It's just that her personality has rounded out.\On top of that, she ki...kissed me yesterday.\And she kissed me and...\And she kissed me and... Feeling a weird aura from the back\A sudden question.\A sudden question. Why did I do such a thing?\Why did I do such a thing?\Why did I do such a thing? Disbelief. response:	Disbelief.
context: On top of that, she ki...kissed me yesterday.\And she kissed me and...\And she kissed me and... Feeling a weird aura from the back\A sudden question.\A sudden question. Why did I do such a thing?\Why did I do such a thing?\Why did I do such a thing? Disbelief.\Disbelief. response:	Disbelief. No way!
context: And she kissed me and...\And she kissed me and... Feeling a weird aura from the back\A sudden question.\A sudden question. Why did I do such a thing?\Why did I do such a thing?\Why did I do such a thing? Disbelief.\Disbelief.\Disbelief. No way! response:	No way! Deception.
context: And she kissed me and... Feeling a weird aura from the back\A sudden question.\A sudden question. Why did I do such a thing?\Why did I do such a thing?\Why did I do such a thing? Disbelief.\Disbelief.\Disbelief. No way!\No way! Deception. response:	Deception. Am I a person who likes men?
context: A sudden question.\A sudden question. Why did I do such a thing?\Why did I do such a thing?\Why did I do such a thing? Disbelief.\Disbelief.\Disbelief. No way!\No way! Deception.\Deception. Am I a person who likes men? response:	Perplexity.
context: A sudden question. Why did I do such a thing?\Why did I do such a thing?\Why did I do such a thing? Disbelief.\Disbelief.\Disbelief. No way!\No way! Deception.\Deception. Am I a person who likes men?\Perplexity. response:	Revelation.
context: Why did I do such a thing?\Why did I do such a thing? Disbelief.\Disbelief.\Disbelief. No way!\No way! Deception.\Deception. Am I a person who likes men?\Perplexity.\Revelation. response:	Something remembered.
context: Why did I do such a thing? Disbelief.\Disbelief.\Disbelief. No way!\No way! Deception.\Deception. Am I a person who likes men?\Perplexity.\Revelation.\Something remembered. response:	And panic.
context: Disbelief.\Disbelief. No way!\No way! Deception.\Deception. Am I a person who likes men?\Perplexity.\Revelation.\Something remembered.\And panic. response:	Ultimate question.
context: Disbelief. No way!\No way! Deception.\Deception. Am I a person who likes men?\Perplexity.\Revelation.\Something remembered.\And panic.\Ultimate question. response:	Ultimate question. Huh?
context: No way! Deception.\Deception. Am I a person who likes men?\Perplexity.\Revelation.\Something remembered.\And panic.\Ultimate question.\Ultimate question. Huh? response:	Huh?
context: Deception. Am I a person who likes men?\Perplexity.\Revelation.\Something remembered.\And panic.\Ultimate question.\Ultimate question. Huh?\Huh? response:	Huh? Complications of memory.
context: Perplexity.\Revelation.\Something remembered.\And panic.\Ultimate question.\Ultimate question. Huh?\Huh?\Huh? Complications of memory. response:	Complications of memory. Was Sakura like that? Wasn't she a lot more strong looking...
context: Revelation.\Something remembered.\And panic.\Ultimate question.\Ultimate question. Huh?\Huh?\Huh? Complications of memory.\Complications of memory. Was Sakura like that? Wasn't she a lot more strong looking... response:	Was Sakura like that? Wasn't she a lot more strong looking...
context: Something remembered.\And panic.\Ultimate question.\Ultimate question. Huh?\Huh?\Huh? Complications of memory.\Complications of memory. Was Sakura like that? Wasn't she a lot more strong looking...\Was Sakura like that? Wasn't she a lot more strong looking... response:	Was Sakura like that? Wasn't she a lot more strong looking... The moment.
context: And panic.\Ultimate question.\Ultimate question. Huh?\Huh?\Huh? Complications of memory.\Complications of memory. Was Sakura like that? Wasn't she a lot more strong looking...\Was Sakura like that? Wasn't she a lot more strong looking...\Was Sakura like that? Wasn't she a lot more strong looking... The moment. response:	The moment.
context: Ultimate question.\Ultimate question. Huh?\Huh?\Huh? Complications of memory.\Complications of memory. Was Sakura like that? Wasn't she a lot more strong looking...\Was Sakura like that? Wasn't she a lot more strong looking...\Was Sakura like that? Wasn't she a lot more strong looking... The moment.\The moment. response:	The moment. Hmm?
context: Ultimate question. Huh?\Huh?\Huh? Complications of memory.\Complications of memory. Was Sakura like that? Wasn't she a lot more strong looking...\Was Sakura like that? Wasn't she a lot more strong looking...\Was Sakura like that? Wasn't she a lot more strong looking... The moment.\The moment.\The moment. Hmm? response:	Hmm? Eternity
context: Huh?\Huh? Complications of memory.\Complications of memory. Was Sakura like that? Wasn't she a lot more strong looking...\Was Sakura like that? Wasn't she a lot more strong looking...\Was Sakura like that? Wasn't she a lot more strong looking... The moment.\The moment.\The moment. Hmm?\Hmm? Eternity response:	Eternity
context: Huh? Complications of memory.\Complications of memory. Was Sakura like that? Wasn't she a lot more strong looking...\Was Sakura like that? Wasn't she a lot more strong looking...\Was Sakura like that? Wasn't she a lot more strong looking... The moment.\The moment.\The moment. Hmm?\Hmm? Eternity\Eternity response:	Eternity There is a link in my mind that is disconnected.
context: Complications of memory. Was Sakura like that? Wasn't she a lot more strong looking...\Was Sakura like that? Wasn't she a lot more strong looking...\Was Sakura like that? Wasn't she a lot more strong looking... The moment.\The moment.\The moment. Hmm?\Hmm? Eternity\Eternity\Eternity There is a link in my mind that is disconnected. response:	There is a link in my mind that is disconnected. Kindness
context: Was Sakura like that? Wasn't she a lot more strong looking...\Was Sakura like that? Wasn't she a lot more strong looking... The moment.\The moment.\The moment. Hmm?\Hmm? Eternity\Eternity\Eternity There is a link in my mind that is disconnected.\There is a link in my mind that is disconnected. Kindness response:	Kindness
context: Was Sakura like that? Wasn't she a lot more strong looking... The moment.\The moment.\The moment. Hmm?\Hmm? Eternity\Eternity\Eternity There is a link in my mind that is disconnected.\There is a link in my mind that is disconnected. Kindness\Kindness response:	Cruelty.
context: The moment.\The moment. Hmm?\Hmm? Eternity\Eternity\Eternity There is a link in my mind that is disconnected.\There is a link in my mind that is disconnected. Kindness\Kindness\Cruelty. response:	Cruelty. There is something important that is missing.
context: The moment. Hmm?\Hmm? Eternity\Eternity\Eternity There is a link in my mind that is disconnected.\There is a link in my mind that is disconnected. Kindness\Kindness\Cruelty.\Cruelty. There is something important that is missing. response:	There is something important that is missing. Hope.
context: Hmm? Eternity\Eternity\Eternity There is a link in my mind that is disconnected.\There is a link in my mind that is disconnected. Kindness\Kindness\Cruelty.\Cruelty. There is something important that is missing.\There is something important that is missing. Hope. response:	Hope.
context: Eternity\Eternity There is a link in my mind that is disconnected.\There is a link in my mind that is disconnected. Kindness\Kindness\Cruelty.\Cruelty. There is something important that is missing.\There is something important that is missing. Hope.\Hope. response:	Meaninglessness.
context: Eternity There is a link in my mind that is disconnected.\There is a link in my mind that is disconnected. Kindness\Kindness\Cruelty.\Cruelty. There is something important that is missing.\There is something important that is missing. Hope.\Hope.\Meaninglessness. response:	The beginning
context: There is a link in my mind that is disconnected. Kindness\Kindness\Cruelty.\Cruelty. There is something important that is missing.\There is something important that is missing. Hope.\Hope.\Meaninglessness.\The beginning response:	The beginning What
context: Kindness\Cruelty.\Cruelty. There is something important that is missing.\There is something important that is missing. Hope.\Hope.\Meaninglessness.\The beginning\The beginning What response:	What A beginning that started much too slowly.
context: Cruelty.\Cruelty. There is something important that is missing.\There is something important that is missing. Hope.\Hope.\Meaninglessness.\The beginning\The beginning What\What A beginning that started much too slowly. response:	A beginning that started much too slowly.
context: Cruelty. There is something important that is missing.\There is something important that is missing. Hope.\Hope.\Meaninglessness.\The beginning\The beginning What\What A beginning that started much too slowly.\A beginning that started much too slowly. response:	A beginning that started much too slowly. Why is she so light?
context: There is something important that is missing. Hope.\Hope.\Meaninglessness.\The beginning\The beginning What\What A beginning that started much too slowly.\A beginning that started much too slowly.\A beginning that started much too slowly. Why is she so light? response:	Why is she so light?
context: Hope.\Meaninglessness.\The beginning\The beginning What\What A beginning that started much too slowly.\A beginning that started much too slowly.\A beginning that started much too slowly. Why is she so light?\Why is she so light? response:	The beginning of confusion. Were her arms this thin?
context: Meaninglessness.\The beginning\The beginning What\What A beginning that started much too slowly.\A beginning that started much too slowly.\A beginning that started much too slowly. Why is she so light?\Why is she so light?\The beginning of confusion. Were her arms this thin? response:	Were her arms this thin?
context: The beginning\The beginning What\What A beginning that started much too slowly.\A beginning that started much too slowly.\A beginning that started much too slowly. Why is she so light?\Why is she so light?\The beginning of confusion. Were her arms this thin?\Were her arms this thin? response:	Were her arms this thin? The beginning of suffering.
context: The beginning What\What A beginning that started much too slowly.\A beginning that started much too slowly.\A beginning that started much too slowly. Why is she so light?\Why is she so light?\The beginning of confusion. Were her arms this thin?\Were her arms this thin?\Were her arms this thin? The beginning of suffering. response:	Were her arms this thin?
context: What A beginning that started much too slowly.\A beginning that started much too slowly.\A beginning that started much too slowly. Why is she so light?\Why is she so light?\The beginning of confusion. Were her arms this thin?\Were her arms this thin?\Were her arms this thin? The beginning of suffering.\Were her arms this thin? response:	Were her arms this thin? The beginning of joy.
context: A beginning that started much too slowly.\A beginning that started much too slowly. Why is she so light?\Why is she so light?\The beginning of confusion. Were her arms this thin?\Were her arms this thin?\Were her arms this thin? The beginning of suffering.\Were her arms this thin?\Were her arms this thin? The beginning of joy. response:	The beginning of joy.
