context: eye catch response:	Helvetica Standard
context: I spend my days while also helping out the professor.\Professor!\I warmed up the milk -\I don't have any special features, but it seems like I can still feel pain.\Nano, what's wrong?\Professor!\My little toe...!\My little toe was...! response:	Y-Your l-little toe was...!
context: Professor!\I warmed up the milk -\I don't have any special features, but it seems like I can still feel pain.\Nano, what's wrong?\Professor!\My little toe...!\My little toe was...!\Y-Your l-little toe was...! response:	With this, you should be fine for now.
context: I warmed up the milk -\I don't have any special features, but it seems like I can still feel pain.\Nano, what's wrong?\Professor!\My little toe...!\My little toe was...!\Y-Your l-little toe was...!\With this, you should be fine for now. response:	Eh?!
context: I don't have any special features, but it seems like I can still feel pain.\Nano, what's wrong?\Professor!\My little toe...!\My little toe was...!\Y-Your l-little toe was...!\With this, you should be fine for now.\Eh?! response:	I don't have any special features,
context: Nano, what's wrong?\Professor!\My little toe...!\My little toe was...!\Y-Your l-little toe was...!\With this, you should be fine for now.\Eh?!\I don't have any special features, response:	but it seems like you can take off my little toe.
context: Professor!\My little toe...!\My little toe was...!\Y-Your l-little toe was...!\With this, you should be fine for now.\Eh?!\I don't have any special features,\but it seems like you can take off my little toe. response:	Professor, what's this key for?
context: My little toe...!\My little toe was...!\Y-Your l-little toe was...!\With this, you should be fine for now.\Eh?!\I don't have any special features,\but it seems like you can take off my little toe.\Professor, what's this key for? response:	I didn't turn it?
context: My little toe was...!\Y-Your l-little toe was...!\With this, you should be fine for now.\Eh?!\I don't have any special features,\but it seems like you can take off my little toe.\Professor, what's this key for?\I didn't turn it? response:	Ah yes, it turns sometimes.
context: Y-Your l-little toe was...!\With this, you should be fine for now.\Eh?!\I don't have any special features,\but it seems like you can take off my little toe.\Professor, what's this key for?\I didn't turn it?\Ah yes, it turns sometimes. response:	You turn it like this.
context: With this, you should be fine for now.\Eh?!\I don't have any special features,\but it seems like you can take off my little toe.\Professor, what's this key for?\I didn't turn it?\Ah yes, it turns sometimes.\You turn it like this. response:	Ah, what's going on?!
context: Eh?!\I don't have any special features,\but it seems like you can take off my little toe.\Professor, what's this key for?\I didn't turn it?\Ah yes, it turns sometimes.\You turn it like this.\Ah, what's going on?! response:	I'm sorry, I'm full of special features.
context: I don't have any special features,\but it seems like you can take off my little toe.\Professor, what's this key for?\I didn't turn it?\Ah yes, it turns sometimes.\You turn it like this.\Ah, what's going on?!\I'm sorry, I'm full of special features. response:	See, it's something interesting, isn't it?
context: but it seems like you can take off my little toe.\Professor, what's this key for?\I didn't turn it?\Ah yes, it turns sometimes.\You turn it like this.\Ah, what's going on?!\I'm sorry, I'm full of special features.\See, it's something interesting, isn't it? response:	Could it be that you made the key just for this?
context: Professor, what's this key for?\I didn't turn it?\Ah yes, it turns sometimes.\You turn it like this.\Ah, what's going on?!\I'm sorry, I'm full of special features.\See, it's something interesting, isn't it?\Could it be that you made the key just for this? response:	Yup.
context: I didn't turn it?\Ah yes, it turns sometimes.\You turn it like this.\Ah, what's going on?!\I'm sorry, I'm full of special features.\See, it's something interesting, isn't it?\Could it be that you made the key just for this?\Yup. response:	Could it be that you made the key just for this?!
context: Ah yes, it turns sometimes.\You turn it like this.\Ah, what's going on?!\I'm sorry, I'm full of special features.\See, it's something interesting, isn't it?\Could it be that you made the key just for this?\Yup.\Could it be that you made the key just for this?! response:	Yup!
context: You turn it like this.\Ah, what's going on?!\I'm sorry, I'm full of special features.\See, it's something interesting, isn't it?\Could it be that you made the key just for this?\Yup.\Could it be that you made the key just for this?!\Yup! response:	Take it off, please!
context: Ah, what's going on?!\I'm sorry, I'm full of special features.\See, it's something interesting, isn't it?\Could it be that you made the key just for this?\Yup.\Could it be that you made the key just for this?!\Yup!\Take it off, please! response:	No way!
context: I'm sorry, I'm full of special features.\See, it's something interesting, isn't it?\Could it be that you made the key just for this?\Yup.\Could it be that you made the key just for this?!\Yup!\Take it off, please!\No way! response:	Eh?!
context: See, it's something interesting, isn't it?\Could it be that you made the key just for this?\Yup.\Could it be that you made the key just for this?!\Yup!\Take it off, please!\No way!\Eh?! response:	Because it's cute.
context: Could it be that you made the key just for this?\Yup.\Could it be that you made the key just for this?!\Yup!\Take it off, please!\No way!\Eh?!\Because it's cute. response:	Remove it from my back, please!
context: Yup.\Could it be that you made the key just for this?!\Yup!\Take it off, please!\No way!\Eh?!\Because it's cute.\Remove it from my back, please! response:	Eh... But it's cute...
context: Could it be that you made the key just for this?!\Yup!\Take it off, please!\No way!\Eh?!\Because it's cute.\Remove it from my back, please!\Eh... But it's cute... response:	I want to be more normal.
context: Yup!\Take it off, please!\No way!\Eh?!\Because it's cute.\Remove it from my back, please!\Eh... But it's cute...\I want to be more normal. response:	I want to sit on a chair like a normal person,
context: Take it off, please!\No way!\Eh?!\Because it's cute.\Remove it from my back, please!\Eh... But it's cute...\I want to be more normal.\I want to sit on a chair like a normal person, response:	and turn over when I sleep.
context: No way!\Eh?!\Because it's cute.\Remove it from my back, please!\Eh... But it's cute...\I want to be more normal.\I want to sit on a chair like a normal person,\and turn over when I sleep. response:	With this, I can't even go to school.
context: Eh?!\Because it's cute.\Remove it from my back, please!\Eh... But it's cute...\I want to be more normal.\I want to sit on a chair like a normal person,\and turn over when I sleep.\With this, I can't even go to school. response:	I would've been okay with not being a human-type robot at all.
context: Because it's cute.\Remove it from my back, please!\Eh... But it's cute...\I want to be more normal.\I want to sit on a chair like a normal person,\and turn over when I sleep.\With this, I can't even go to school.\I would've been okay with not being a human-type robot at all. response:	Nano...
context: Remove it from my back, please!\Eh... But it's cute...\I want to be more normal.\I want to sit on a chair like a normal person,\and turn over when I sleep.\With this, I can't even go to school.\I would've been okay with not being a human-type robot at all.\Nano... response:	I-It's just a lie!
context: Eh... But it's cute...\I want to be more normal.\I want to sit on a chair like a normal person,\and turn over when I sleep.\With this, I can't even go to school.\I would've been okay with not being a human-type robot at all.\Nano...\I-It's just a lie! response:	A lie!
context: I want to be more normal.\I want to sit on a chair like a normal person,\and turn over when I sleep.\With this, I can't even go to school.\I would've been okay with not being a human-type robot at all.\Nano...\I-It's just a lie!\A lie! response:	Don't take it seriously, Professor!
context: I want to sit on a chair like a normal person,\and turn over when I sleep.\With this, I can't even go to school.\I would've been okay with not being a human-type robot at all.\Nano...\I-It's just a lie!\A lie!\Don't take it seriously, Professor! response:	Then take it...
context: and turn over when I sleep.\With this, I can't even go to school.\I would've been okay with not being a human-type robot at all.\Nano...\I-It's just a lie!\A lie!\Don't take it seriously, Professor!\Then take it... response:	Eh?
context: With this, I can't even go to school.\I would've been okay with not being a human-type robot at all.\Nano...\I-It's just a lie!\A lie!\Don't take it seriously, Professor!\Then take it...\Eh? response:	Go and win the Akutagawa Award for Literature!
context: I would've been okay with not being a human-type robot at all.\Nano...\I-It's just a lie!\A lie!\Don't take it seriously, Professor!\Then take it...\Eh?\Go and win the Akutagawa Award for Literature! response:	Why?!
context: Nano...\I-It's just a lie!\A lie!\Don't take it seriously, Professor!\Then take it...\Eh?\Go and win the Akutagawa Award for Literature!\Why?! response:	Win the Akutagawa Award!
context: I-It's just a lie!\A lie!\Don't take it seriously, Professor!\Then take it...\Eh?\Go and win the Akutagawa Award for Literature!\Why?!\Win the Akutagawa Award! response:	Every day is like that.
context: A lie!\Don't take it seriously, Professor!\Then take it...\Eh?\Go and win the Akutagawa Award for Literature!\Why?!\Win the Akutagawa Award!\Every day is like that. response:	Where am I?
context: Don't take it seriously, Professor!\Then take it...\Eh?\Go and win the Akutagawa Award for Literature!\Why?!\Win the Akutagawa Award!\Every day is like that.\Where am I? response:	Hello!
context: Then take it...\Eh?\Go and win the Akutagawa Award for Literature!\Why?!\Win the Akutagawa Award!\Every day is like that.\Where am I?\Hello! response:	This is Nano-chan's big toe!
context: Eh?\Go and win the Akutagawa Award for Literature!\Why?!\Win the Akutagawa Award!\Every day is like that.\Where am I?\Hello!\This is Nano-chan's big toe! response:	My capacity is one gigabyte.
context: Go and win the Akutagawa Award for Literature!\Why?!\Win the Akutagawa Award!\Every day is like that.\Where am I?\Hello!\This is Nano-chan's big toe!\My capacity is one gigabyte. response:	I would've preferred to be a bit bigger...
context: Why?!\Win the Akutagawa Award!\Every day is like that.\Where am I?\Hello!\This is Nano-chan's big toe!\My capacity is one gigabyte.\I would've preferred to be a bit bigger... response:	The next episode of Nichijou is episode two.
context: Win the Akutagawa Award!\Every day is like that.\Where am I?\Hello!\This is Nano-chan's big toe!\My capacity is one gigabyte.\I would've preferred to be a bit bigger...\The next episode of Nichijou is episode two. response:	Please look forward to it!
