context: Oh, man! Oh, man! response:	Taking off in the middle of the night is pretty exciting!
context: I'm gonna have to change regulars.\Nice receive!\Center!\Left!\I need players who can win a match on the court.\He's the tallest and essential to the team.\All right!\If Tsukishima could become a strong blocker, response:	our defense level would go up a lot.
context: Nice receive!\Center!\Left!\I need players who can win a match on the court.\He's the tallest and essential to the team.\All right!\If Tsukishima could become a strong blocker,\our defense level would go up a lot. response:	I see.
context: Center!\Left!\I need players who can win a match on the court.\He's the tallest and essential to the team.\All right!\If Tsukishima could become a strong blocker,\our defense level would go up a lot.\I see. response:	Cover! Cover!
context: Left!\I need players who can win a match on the court.\He's the tallest and essential to the team.\All right!\If Tsukishima could become a strong blocker,\our defense level would go up a lot.\I see.\Cover! Cover! response:	Karasuno Ubugawa
context: I need players who can win a match on the court.\He's the tallest and essential to the team.\All right!\If Tsukishima could become a strong blocker,\our defense level would go up a lot.\I see.\Cover! Cover!\Karasuno Ubugawa response:	Leave it to me!
context: He's the tallest and essential to the team.\All right!\If Tsukishima could become a strong blocker,\our defense level would go up a lot.\I see.\Cover! Cover!\Karasuno Ubugawa\Leave it to me! response:	Got it!
context: All right!\If Tsukishima could become a strong blocker,\our defense level would go up a lot.\I see.\Cover! Cover!\Karasuno Ubugawa\Leave it to me!\Got it! response:	Sorry!
context: If Tsukishima could become a strong blocker,\our defense level would go up a lot.\I see.\Cover! Cover!\Karasuno Ubugawa\Leave it to me!\Got it!\Sorry! response:	I'm so sorry!
context: our defense level would go up a lot.\I see.\Cover! Cover!\Karasuno Ubugawa\Leave it to me!\Got it!\Sorry!\I'm so sorry! response:	Everyone's so motivated.
context: I see.\Cover! Cover!\Karasuno Ubugawa\Leave it to me!\Got it!\Sorry!\I'm so sorry!\Everyone's so motivated. response:	Everyone's more motivated now than I've ever seen them before,
context: Cover! Cover!\Karasuno Ubugawa\Leave it to me!\Got it!\Sorry!\I'm so sorry!\Everyone's so motivated.\Everyone's more motivated now than I've ever seen them before, response:	but sometimes it's almost scary.
context: Karasuno Ubugawa\Leave it to me!\Got it!\Sorry!\I'm so sorry!\Everyone's so motivated.\Everyone's more motivated now than I've ever seen them before,\but sometimes it's almost scary. response:	Collisions like the one other day can definitely lead to major injuries.
context: Leave it to me!\Got it!\Sorry!\I'm so sorry!\Everyone's so motivated.\Everyone's more motivated now than I've ever seen them before,\but sometimes it's almost scary.\Collisions like the one other day can definitely lead to major injuries. response:	It's coming on the left! 1!
context: Got it!\Sorry!\I'm so sorry!\Everyone's so motivated.\Everyone's more motivated now than I've ever seen them before,\but sometimes it's almost scary.\Collisions like the one other day can definitely lead to major injuries.\It's coming on the left! 1! response:	We're counting on you, Asahi-san!
context: Sorry!\I'm so sorry!\Everyone's so motivated.\Everyone's more motivated now than I've ever seen them before,\but sometimes it's almost scary.\Collisions like the one other day can definitely lead to major injuries.\It's coming on the left! 1!\We're counting on you, Asahi-san! response:	It's a bit short...
context: I'm so sorry!\Everyone's so motivated.\Everyone's more motivated now than I've ever seen them before,\but sometimes it's almost scary.\Collisions like the one other day can definitely lead to major injuries.\It's coming on the left! 1!\We're counting on you, Asahi-san!\It's a bit short... response:	It's my ball!
context: Everyone's so motivated.\Everyone's more motivated now than I've ever seen them before,\but sometimes it's almost scary.\Collisions like the one other day can definitely lead to major injuries.\It's coming on the left! 1!\We're counting on you, Asahi-san!\It's a bit short...\It's my ball! response:	Better than expected...
context: Everyone's more motivated now than I've ever seen them before,\but sometimes it's almost scary.\Collisions like the one other day can definitely lead to major injuries.\It's coming on the left! 1!\We're counting on you, Asahi-san!\It's a bit short...\It's my ball!\Better than expected... response:	Whether you're on the same team or not,
context: but sometimes it's almost scary.\Collisions like the one other day can definitely lead to major injuries.\It's coming on the left! 1!\We're counting on you, Asahi-san!\It's a bit short...\It's my ball!\Better than expected...\Whether you're on the same team or not, response:	the tension you feel as rivals is essential for growth.
context: Collisions like the one other day can definitely lead to major injuries.\It's coming on the left! 1!\We're counting on you, Asahi-san!\It's a bit short...\It's my ball!\Better than expected...\Whether you're on the same team or not,\the tension you feel as rivals is essential for growth. response:	Nice kill, Asahi-san!
context: It's coming on the left! 1!\We're counting on you, Asahi-san!\It's a bit short...\It's my ball!\Better than expected...\Whether you're on the same team or not,\the tension you feel as rivals is essential for growth.\Nice kill, Asahi-san! response:	That was an awesome spike!
context: We're counting on you, Asahi-san!\It's a bit short...\It's my ball!\Better than expected...\Whether you're on the same team or not,\the tension you feel as rivals is essential for growth.\Nice kill, Asahi-san!\That was an awesome spike! response:	Thanks.
context: It's a bit short...\It's my ball!\Better than expected...\Whether you're on the same team or not,\the tension you feel as rivals is essential for growth.\Nice kill, Asahi-san!\That was an awesome spike!\Thanks. response:	However, if the team became lawless, everything would be lost.
context: It's my ball!\Better than expected...\Whether you're on the same team or not,\the tension you feel as rivals is essential for growth.\Nice kill, Asahi-san!\That was an awesome spike!\Thanks.\However, if the team became lawless, everything would be lost. response:	Karasuno's ace managed to hold them together.
context: Better than expected...\Whether you're on the same team or not,\the tension you feel as rivals is essential for growth.\Nice kill, Asahi-san!\That was an awesome spike!\Thanks.\However, if the team became lawless, everything would be lost.\Karasuno's ace managed to hold them together. response:	Maybe I didn't need to worry after all.
context: Whether you're on the same team or not,\the tension you feel as rivals is essential for growth.\Nice kill, Asahi-san!\That was an awesome spike!\Thanks.\However, if the team became lawless, everything would be lost.\Karasuno's ace managed to hold them together.\Maybe I didn't need to worry after all. response:	Go!
context: the tension you feel as rivals is essential for growth.\Nice kill, Asahi-san!\That was an awesome spike!\Thanks.\However, if the team became lawless, everything would be lost.\Karasuno's ace managed to hold them together.\Maybe I didn't need to worry after all.\Go! response:	You okay, Tsukki?
context: Nice kill, Asahi-san!\That was an awesome spike!\Thanks.\However, if the team became lawless, everything would be lost.\Karasuno's ace managed to hold them together.\Maybe I didn't need to worry after all.\Go!\You okay, Tsukki? response:	You can go on ahead. I'm fine.
context: That was an awesome spike!\Thanks.\However, if the team became lawless, everything would be lost.\Karasuno's ace managed to hold them together.\Maybe I didn't need to worry after all.\Go!\You okay, Tsukki?\You can go on ahead. I'm fine. response:	Okay. Then I'll go...
context: Thanks.\However, if the team became lawless, everything would be lost.\Karasuno's ace managed to hold them together.\Maybe I didn't need to worry after all.\Go!\You okay, Tsukki?\You can go on ahead. I'm fine.\Okay. Then I'll go... response:	More free practice!
context: However, if the team became lawless, everything would be lost.\Karasuno's ace managed to hold them together.\Maybe I didn't need to worry after all.\Go!\You okay, Tsukki?\You can go on ahead. I'm fine.\Okay. Then I'll go...\More free practice! response:	Another magnificent total loss today.
context: Karasuno's ace managed to hold them together.\Maybe I didn't need to worry after all.\Go!\You okay, Tsukki?\You can go on ahead. I'm fine.\Okay. Then I'll go...\More free practice!\Another magnificent total loss today. response:	He's as standoffish as usual.
context: Maybe I didn't need to worry after all.\Go!\You okay, Tsukki?\You can go on ahead. I'm fine.\Okay. Then I'll go...\More free practice!\Another magnificent total loss today.\He's as standoffish as usual. response:	Tsukishima?
context: Go!\You okay, Tsukki?\You can go on ahead. I'm fine.\Okay. Then I'll go...\More free practice!\Another magnificent total loss today.\He's as standoffish as usual.\Tsukishima? response:	Yeah.
context: You okay, Tsukki?\You can go on ahead. I'm fine.\Okay. Then I'll go...\More free practice!\Another magnificent total loss today.\He's as standoffish as usual.\Tsukishima?\Yeah. response:	It really seems like he'd be able to do much more if he tried, right?
context: You can go on ahead. I'm fine.\Okay. Then I'll go...\More free practice!\Another magnificent total loss today.\He's as standoffish as usual.\Tsukishima?\Yeah.\It really seems like he'd be able to do much more if he tried, right? response:	Much more?
context: Okay. Then I'll go...\More free practice!\Another magnificent total loss today.\He's as standoffish as usual.\Tsukishima?\Yeah.\It really seems like he'd be able to do much more if he tried, right?\Much more? response:	Yeah, a lot more...
context: More free practice!\Another magnificent total loss today.\He's as standoffish as usual.\Tsukishima?\Yeah.\It really seems like he'd be able to do much more if he tried, right?\Much more?\Yeah, a lot more... response:	His 188 centimeters is such a waste!
context: Another magnificent total loss today.\He's as standoffish as usual.\Tsukishima?\Yeah.\It really seems like he'd be able to do much more if he tried, right?\Much more?\Yeah, a lot more...\His 188 centimeters is such a waste! response:	Hey, four eyes.
context: He's as standoffish as usual.\Tsukishima?\Yeah.\It really seems like he'd be able to do much more if he tried, right?\Much more?\Yeah, a lot more...\His 188 centimeters is such a waste!\Hey, four eyes. response:	Would you help us out with spiking practice again?
context: Tsukishima?\Yeah.\It really seems like he'd be able to do much more if he tried, right?\Much more?\Yeah, a lot more...\His 188 centimeters is such a waste!\Hey, four eyes.\Would you help us out with spiking practice again? response:	I'm sorry. I'll pass.
context: Yeah.\It really seems like he'd be able to do much more if he tried, right?\Much more?\Yeah, a lot more...\His 188 centimeters is such a waste!\Hey, four eyes.\Would you help us out with spiking practice again?\I'm sorry. I'll pass. response:	Oh. Oh, really? Kuroo.
context: It really seems like he'd be able to do much more if he tried, right?\Much more?\Yeah, a lot more...\His 188 centimeters is such a waste!\Hey, four eyes.\Would you help us out with spiking practice again?\I'm sorry. I'll pass.\Oh. Oh, really? Kuroo. response:	Aw, man...
context: Much more?\Yeah, a lot more...\His 188 centimeters is such a waste!\Hey, four eyes.\Would you help us out with spiking practice again?\I'm sorry. I'll pass.\Oh. Oh, really? Kuroo.\Aw, man... response:	I haven't even said anything yet!
context: Yeah, a lot more...\His 188 centimeters is such a waste!\Hey, four eyes.\Would you help us out with spiking practice again?\I'm sorry. I'll pass.\Oh. Oh, really? Kuroo.\Aw, man...\I haven't even said anything yet! response:	Why?! You know the ace from Fukurodani?!
context: His 188 centimeters is such a waste!\Hey, four eyes.\Would you help us out with spiking practice again?\I'm sorry. I'll pass.\Oh. Oh, really? Kuroo.\Aw, man...\I haven't even said anything yet!\Why?! You know the ace from Fukurodani?! response:	No.
context: Hey, four eyes.\Would you help us out with spiking practice again?\I'm sorry. I'll pass.\Oh. Oh, really? Kuroo.\Aw, man...\I haven't even said anything yet!\Why?! You know the ace from Fukurodani?!\No. response:	Why did you refuse? That's such a waste!
context: Would you help us out with spiking practice again?\I'm sorry. I'll pass.\Oh. Oh, really? Kuroo.\Aw, man...\I haven't even said anything yet!\Why?! You know the ace from Fukurodani?!\No.\Why did you refuse? That's such a waste! response:	Shut up.
context: I'm sorry. I'll pass.\Oh. Oh, really? Kuroo.\Aw, man...\I haven't even said anything yet!\Why?! You know the ace from Fukurodani?!\No.\Why did you refuse? That's such a waste!\Shut up. response:	Unlike you, I don't have endless stamina.
context: Oh. Oh, really? Kuroo.\Aw, man...\I haven't even said anything yet!\Why?! You know the ace from Fukurodani?!\No.\Why did you refuse? That's such a waste!\Shut up.\Unlike you, I don't have endless stamina. response:	What the heck?
context: Aw, man...\I haven't even said anything yet!\Why?! You know the ace from Fukurodani?!\No.\Why did you refuse? That's such a waste!\Shut up.\Unlike you, I don't have endless stamina.\What the heck? response:	What's Tsukishima's problem?
context: I haven't even said anything yet!\Why?! You know the ace from Fukurodani?!\No.\Why did you refuse? That's such a waste!\Shut up.\Unlike you, I don't have endless stamina.\What the heck?\What's Tsukishima's problem? response:	The ace from Fukurodani invited him to practice and he declined?
context: Why?! You know the ace from Fukurodani?!\No.\Why did you refuse? That's such a waste!\Shut up.\Unlike you, I don't have endless stamina.\What the heck?\What's Tsukishima's problem?\The ace from Fukurodani invited him to practice and he declined? response:	That's unbelievable!
context: No.\Why did you refuse? That's such a waste!\Shut up.\Unlike you, I don't have endless stamina.\What the heck?\What's Tsukishima's problem?\The ace from Fukurodani invited him to practice and he declined?\That's unbelievable! response:	You know, Hinata...
context: Why did you refuse? That's such a waste!\Shut up.\Unlike you, I don't have endless stamina.\What the heck?\What's Tsukishima's problem?\The ace from Fukurodani invited him to practice and he declined?\That's unbelievable!\You know, Hinata... response:	What would you say to Tsukki right now?
context: Shut up.\Unlike you, I don't have endless stamina.\What the heck?\What's Tsukishima's problem?\The ace from Fukurodani invited him to practice and he declined?\That's unbelievable!\You know, Hinata...\What would you say to Tsukki right now? response:	Huh?
context: Unlike you, I don't have endless stamina.\What the heck?\What's Tsukishima's problem?\The ace from Fukurodani invited him to practice and he declined?\That's unbelievable!\You know, Hinata...\What would you say to Tsukki right now?\Huh? response:	I mean... Like you did with Kageyama and Yachi-san.
context: What the heck?\What's Tsukishima's problem?\The ace from Fukurodani invited him to practice and he declined?\That's unbelievable!\You know, Hinata...\What would you say to Tsukki right now?\Huh?\I mean... Like you did with Kageyama and Yachi-san. response:	I wouldn't say anything.
context: What's Tsukishima's problem?\The ace from Fukurodani invited him to practice and he declined?\That's unbelievable!\You know, Hinata...\What would you say to Tsukki right now?\Huh?\I mean... Like you did with Kageyama and Yachi-san.\I wouldn't say anything. response:	Well, I can't tell if Tsukishima even wants to play volleyball.
context: The ace from Fukurodani invited him to practice and he declined?\That's unbelievable!\You know, Hinata...\What would you say to Tsukki right now?\Huh?\I mean... Like you did with Kageyama and Yachi-san.\I wouldn't say anything.\Well, I can't tell if Tsukishima even wants to play volleyball. response:	There's no point in trying to get a guy to play if he doesn't want to.
context: That's unbelievable!\You know, Hinata...\What would you say to Tsukki right now?\Huh?\I mean... Like you did with Kageyama and Yachi-san.\I wouldn't say anything.\Well, I can't tell if Tsukishima even wants to play volleyball.\There's no point in trying to get a guy to play if he doesn't want to. response:	Damn it! And he's so tall, too!
context: You know, Hinata...\What would you say to Tsukki right now?\Huh?\I mean... Like you did with Kageyama and Yachi-san.\I wouldn't say anything.\Well, I can't tell if Tsukishima even wants to play volleyball.\There's no point in trying to get a guy to play if he doesn't want to.\Damn it! And he's so tall, too! response:	If I was that tall, I'd do this and that...
context: What would you say to Tsukki right now?\Huh?\I mean... Like you did with Kageyama and Yachi-san.\I wouldn't say anything.\Well, I can't tell if Tsukishima even wants to play volleyball.\There's no point in trying to get a guy to play if he doesn't want to.\Damn it! And he's so tall, too!\If I was that tall, I'd do this and that... response:	Tsukki...
context: Huh?\I mean... Like you did with Kageyama and Yachi-san.\I wouldn't say anything.\Well, I can't tell if Tsukishima even wants to play volleyball.\There's no point in trying to get a guy to play if he doesn't want to.\Damn it! And he's so tall, too!\If I was that tall, I'd do this and that...\Tsukki... response:	If he did, he wouldn't have come to Karasuno.
context: I mean... Like you did with Kageyama and Yachi-san.\I wouldn't say anything.\Well, I can't tell if Tsukishima even wants to play volleyball.\There's no point in trying to get a guy to play if he doesn't want to.\Damn it! And he's so tall, too!\If I was that tall, I'd do this and that...\Tsukki...\If he did, he wouldn't have come to Karasuno. response:	What about you, Yamaguchi?
context: I wouldn't say anything.\Well, I can't tell if Tsukishima even wants to play volleyball.\There's no point in trying to get a guy to play if he doesn't want to.\Damn it! And he's so tall, too!\If I was that tall, I'd do this and that...\Tsukki...\If he did, he wouldn't have come to Karasuno.\What about you, Yamaguchi? response:	What would you say to Tsukishima?
context: Well, I can't tell if Tsukishima even wants to play volleyball.\There's no point in trying to get a guy to play if he doesn't want to.\Damn it! And he's so tall, too!\If I was that tall, I'd do this and that...\Tsukki...\If he did, he wouldn't have come to Karasuno.\What about you, Yamaguchi?\What would you say to Tsukishima? response:	Lev! Show me how to spit watermelon seeds really far!
context: There's no point in trying to get a guy to play if he doesn't want to.\Damn it! And he's so tall, too!\If I was that tall, I'd do this and that...\Tsukki...\If he did, he wouldn't have come to Karasuno.\What about you, Yamaguchi?\What would you say to Tsukishima?\Lev! Show me how to spit watermelon seeds really far! response:	First, you purse your lips like you've got a blowgun.
context: Damn it! And he's so tall, too!\If I was that tall, I'd do this and that...\Tsukki...\If he did, he wouldn't have come to Karasuno.\What about you, Yamaguchi?\What would you say to Tsukishima?\Lev! Show me how to spit watermelon seeds really far!\First, you purse your lips like you've got a blowgun. response:	The angle you're gonna spit is 45 degrees.
context: If I was that tall, I'd do this and that...\Tsukki...\If he did, he wouldn't have come to Karasuno.\What about you, Yamaguchi?\What would you say to Tsukishima?\Lev! Show me how to spit watermelon seeds really far!\First, you purse your lips like you've got a blowgun.\The angle you're gonna spit is 45 degrees. response:	I see!
context: Tsukki...\If he did, he wouldn't have come to Karasuno.\What about you, Yamaguchi?\What would you say to Tsukishima?\Lev! Show me how to spit watermelon seeds really far!\First, you purse your lips like you've got a blowgun.\The angle you're gonna spit is 45 degrees.\I see! response:	And then you bring back your body like a whip, and...
context: If he did, he wouldn't have come to Karasuno.\What about you, Yamaguchi?\What would you say to Tsukishima?\Lev! Show me how to spit watermelon seeds really far!\First, you purse your lips like you've got a blowgun.\The angle you're gonna spit is 45 degrees.\I see!\And then you bring back your body like a whip, and... response:	I accidentally swallowed them!
context: What about you, Yamaguchi?\What would you say to Tsukishima?\Lev! Show me how to spit watermelon seeds really far!\First, you purse your lips like you've got a blowgun.\The angle you're gonna spit is 45 degrees.\I see!\And then you bring back your body like a whip, and...\I accidentally swallowed them! response:	Episode 08: Illusionary Hero
context: What would you say to Tsukishima?\Lev! Show me how to spit watermelon seeds really far!\First, you purse your lips like you've got a blowgun.\The angle you're gonna spit is 45 degrees.\I see!\And then you bring back your body like a whip, and...\I accidentally swallowed them!\Episode 08: Illusionary Hero response:	Next time on Haikyu!! : Illusionary Hero.
