context: Kageyama Shigeo, also known as Mob. response:	A second-year in middle school.
context: Just slightly...\I wonder if he's being serious...\It's here. Nearby.\Huh? Really?!\Someone!\What's wrong?\Something was here...\Something was looking in from the top of the door... response:	The windows are locked.
context: I wonder if he's being serious...\It's here. Nearby.\Huh? Really?!\Someone!\What's wrong?\Something was here...\Something was looking in from the top of the door...\The windows are locked. response:	And no one's gone through the exit.
context: It's here. Nearby.\Huh? Really?!\Someone!\What's wrong?\Something was here...\Something was looking in from the top of the door...\The windows are locked.\And no one's gone through the exit. response:	I'm going to follow the spirit.
context: Huh? Really?!\Someone!\What's wrong?\Something was here...\Something was looking in from the top of the door...\The windows are locked.\And no one's gone through the exit.\I'm going to follow the spirit. response:	Nothing so far?
context: Someone!\What's wrong?\Something was here...\Something was looking in from the top of the door...\The windows are locked.\And no one's gone through the exit.\I'm going to follow the spirit.\Nothing so far? response:	We can trust you, right?
context: What's wrong?\Something was here...\Something was looking in from the top of the door...\The windows are locked.\And no one's gone through the exit.\I'm going to follow the spirit.\Nothing so far?\We can trust you, right? response:	Yes.
context: Something was here...\Something was looking in from the top of the door...\The windows are locked.\And no one's gone through the exit.\I'm going to follow the spirit.\Nothing so far?\We can trust you, right?\Yes. response:	You still can't find it?
context: Something was looking in from the top of the door...\The windows are locked.\And no one's gone through the exit.\I'm going to follow the spirit.\Nothing so far?\We can trust you, right?\Yes.\You still can't find it? response:	The spirit's angry.
context: The windows are locked.\And no one's gone through the exit.\I'm going to follow the spirit.\Nothing so far?\We can trust you, right?\Yes.\You still can't find it?\The spirit's angry. response:	Huh?
context: And no one's gone through the exit.\I'm going to follow the spirit.\Nothing so far?\We can trust you, right?\Yes.\You still can't find it?\The spirit's angry.\Huh? response:	If we keep pursuing it, it might try to do something.
context: I'm going to follow the spirit.\Nothing so far?\We can trust you, right?\Yes.\You still can't find it?\The spirit's angry.\Huh?\If we keep pursuing it, it might try to do something. response:	Eek! What are we going to do?
context: Nothing so far?\We can trust you, right?\Yes.\You still can't find it?\The spirit's angry.\Huh?\If we keep pursuing it, it might try to do something.\Eek! What are we going to do? response:	The basketball team is practicing inside.
context: We can trust you, right?\Yes.\You still can't find it?\The spirit's angry.\Huh?\If we keep pursuing it, it might try to do something.\Eek! What are we going to do?\The basketball team is practicing inside. response:	I'm going to end this.
context: Yes.\You still can't find it?\The spirit's angry.\Huh?\If we keep pursuing it, it might try to do something.\Eek! What are we going to do?\The basketball team is practicing inside.\I'm going to end this. response:	I've trapped the spirit.
context: You still can't find it?\The spirit's angry.\Huh?\If we keep pursuing it, it might try to do something.\Eek! What are we going to do?\The basketball team is practicing inside.\I'm going to end this.\I've trapped the spirit. response:	Pass! Pass! Hey!
context: The spirit's angry.\Huh?\If we keep pursuing it, it might try to do something.\Eek! What are we going to do?\The basketball team is practicing inside.\I'm going to end this.\I've trapped the spirit.\Pass! Pass! Hey! response:	I've found you.
context: Huh?\If we keep pursuing it, it might try to do something.\Eek! What are we going to do?\The basketball team is practicing inside.\I'm going to end this.\I've trapped the spirit.\Pass! Pass! Hey!\I've found you. response:	Huh?
context: If we keep pursuing it, it might try to do something.\Eek! What are we going to do?\The basketball team is practicing inside.\I'm going to end this.\I've trapped the spirit.\Pass! Pass! Hey!\I've found you.\Huh? response:	It's huge!
context: Eek! What are we going to do?\The basketball team is practicing inside.\I'm going to end this.\I've trapped the spirit.\Pass! Pass! Hey!\I've found you.\Huh?\It's huge! response:	What is that?! A ghost?!
context: The basketball team is practicing inside.\I'm going to end this.\I've trapped the spirit.\Pass! Pass! Hey!\I've found you.\Huh?\It's huge!\What is that?! A ghost?! response:	Psychic brat...
context: I'm going to end this.\I've trapped the spirit.\Pass! Pass! Hey!\I've found you.\Huh?\It's huge!\What is that?! A ghost?!\Psychic brat... response:	How dare you trap me?
context: I've trapped the spirit.\Pass! Pass! Hey!\I've found you.\Huh?\It's huge!\What is that?! A ghost?!\Psychic brat...\How dare you trap me? response:	Are you going to try to ruin my paradise?
context: Pass! Pass! Hey!\I've found you.\Huh?\It's huge!\What is that?! A ghost?!\Psychic brat...\How dare you trap me?\Are you going to try to ruin my paradise? response:	Evil Spirit: Scent-Ghoul
context: I've found you.\Huh?\It's huge!\What is that?! A ghost?!\Psychic brat...\How dare you trap me?\Are you going to try to ruin my paradise?\Evil Spirit: Scent-Ghoul response:	This is what you get!
context: Huh?\It's huge!\What is that?! A ghost?!\Psychic brat...\How dare you trap me?\Are you going to try to ruin my paradise?\Evil Spirit: Scent-Ghoul\This is what you get! response:	Crap. I underestimated the psychic.
context: It's huge!\What is that?! A ghost?!\Psychic brat...\How dare you trap me?\Are you going to try to ruin my paradise?\Evil Spirit: Scent-Ghoul\This is what you get!\Crap. I underestimated the psychic. response:	If I don't take a hostage, he'll erase me!
context: What is that?! A ghost?!\Psychic brat...\How dare you trap me?\Are you going to try to ruin my paradise?\Evil Spirit: Scent-Ghoul\This is what you get!\Crap. I underestimated the psychic.\If I don't take a hostage, he'll erase me! response:	You smell nice.
context: Psychic brat...\How dare you trap me?\Are you going to try to ruin my paradise?\Evil Spirit: Scent-Ghoul\This is what you get!\Crap. I underestimated the psychic.\If I don't take a hostage, he'll erase me!\You smell nice. response:	I choose you!
context: How dare you trap me?\Are you going to try to ruin my paradise?\Evil Spirit: Scent-Ghoul\This is what you get!\Crap. I underestimated the psychic.\If I don't take a hostage, he'll erase me!\You smell nice.\I choose you! response:	Look out!
context: Are you going to try to ruin my paradise?\Evil Spirit: Scent-Ghoul\This is what you get!\Crap. I underestimated the psychic.\If I don't take a hostage, he'll erase me!\You smell nice.\I choose you!\Look out! response:	Huh?
context: Evil Spirit: Scent-Ghoul\This is what you get!\Crap. I underestimated the psychic.\If I don't take a hostage, he'll erase me!\You smell nice.\I choose you!\Look out!\Huh? response:	It's over.
context: This is what you get!\Crap. I underestimated the psychic.\If I don't take a hostage, he'll erase me!\You smell nice.\I choose you!\Look out!\Huh?\It's over. response:	Wow.
context: Crap. I underestimated the psychic.\If I don't take a hostage, he'll erase me!\You smell nice.\I choose you!\Look out!\Huh?\It's over.\Wow. response:	Want to go home together today?
context: If I don't take a hostage, he'll erase me!\You smell nice.\I choose you!\Look out!\Huh?\It's over.\Wow.\Want to go home together today? response:	How did you do that?
context: You smell nice.\I choose you!\Look out!\Huh?\It's over.\Wow.\Want to go home together today?\How did you do that? response:	What class is she in?
context: I choose you!\Look out!\Huh?\It's over.\Wow.\Want to go home together today?\How did you do that?\What class is she in? response:	So cool!
context: Look out!\Huh?\It's over.\Wow.\Want to go home together today?\How did you do that?\What class is she in?\So cool! response:	Tell me!
context: Huh?\It's over.\Wow.\Want to go home together today?\How did you do that?\What class is she in?\So cool!\Tell me! response:	Listen to them cheer. Good for you.
context: It's over.\Wow.\Want to go home together today?\How did you do that?\What class is she in?\So cool!\Tell me!\Listen to them cheer. Good for you. response:	Thanks. Apparently you were pretty reliable after all.
context: Wow.\Want to go home together today?\How did you do that?\What class is she in?\So cool!\Tell me!\Listen to them cheer. Good for you.\Thanks. Apparently you were pretty reliable after all. response:	Damn it...
context: Want to go home together today?\How did you do that?\What class is she in?\So cool!\Tell me!\Listen to them cheer. Good for you.\Thanks. Apparently you were pretty reliable after all.\Damn it... response:	To think that I was defeated by a loser like you...
context: How did you do that?\What class is she in?\So cool!\Tell me!\Listen to them cheer. Good for you.\Thanks. Apparently you were pretty reliable after all.\Damn it...\To think that I was defeated by a loser like you... response:	And I thought I'd finally be able to be happy.
context: What class is she in?\So cool!\Tell me!\Listen to them cheer. Good for you.\Thanks. Apparently you were pretty reliable after all.\Damn it...\To think that I was defeated by a loser like you...\And I thought I'd finally be able to be happy. response:	You seem to be similar to me.
context: So cool!\Tell me!\Listen to them cheer. Good for you.\Thanks. Apparently you were pretty reliable after all.\Damn it...\To think that I was defeated by a loser like you...\And I thought I'd finally be able to be happy.\You seem to be similar to me. response:	Similar?
context: Tell me!\Listen to them cheer. Good for you.\Thanks. Apparently you were pretty reliable after all.\Damn it...\To think that I was defeated by a loser like you...\And I thought I'd finally be able to be happy.\You seem to be similar to me.\Similar? response:	The way you get nervous around girls...
context: Listen to them cheer. Good for you.\Thanks. Apparently you were pretty reliable after all.\Damn it...\To think that I was defeated by a loser like you...\And I thought I'd finally be able to be happy.\You seem to be similar to me.\Similar?\The way you get nervous around girls... response:	You're playing the loser role in youth just like me, aren't you?
context: Thanks. Apparently you were pretty reliable after all.\Damn it...\To think that I was defeated by a loser like you...\And I thought I'd finally be able to be happy.\You seem to be similar to me.\Similar?\The way you get nervous around girls...\You're playing the loser role in youth just like me, aren't you? response:	Things...
context: Damn it...\To think that I was defeated by a loser like you...\And I thought I'd finally be able to be happy.\You seem to be similar to me.\Similar?\The way you get nervous around girls...\You're playing the loser role in youth just like me, aren't you?\Things... response:	Things finally started to get fun for me after I died.
context: To think that I was defeated by a loser like you...\And I thought I'd finally be able to be happy.\You seem to be similar to me.\Similar?\The way you get nervous around girls...\You're playing the loser role in youth just like me, aren't you?\Things...\Things finally started to get fun for me after I died. response:	I was content.
context: And I thought I'd finally be able to be happy.\You seem to be similar to me.\Similar?\The way you get nervous around girls...\You're playing the loser role in youth just like me, aren't you?\Things...\Things finally started to get fun for me after I died.\I was content. response:	But I guess it's all over now.
context: You seem to be similar to me.\Similar?\The way you get nervous around girls...\You're playing the loser role in youth just like me, aren't you?\Things...\Things finally started to get fun for me after I died.\I was content.\But I guess it's all over now. response:	Hey... Are you living every day to the fullest?
context: Similar?\The way you get nervous around girls...\You're playing the loser role in youth just like me, aren't you?\Things...\Things finally started to get fun for me after I died.\I was content.\But I guess it's all over now.\Hey... Are you living every day to the fullest? response:	What's wrong?
context: The way you get nervous around girls...\You're playing the loser role in youth just like me, aren't you?\Things...\Things finally started to get fun for me after I died.\I was content.\But I guess it's all over now.\Hey... Are you living every day to the fullest?\What's wrong? response:	You seem out of it. Is something troubling you?
context: You're playing the loser role in youth just like me, aren't you?\Things...\Things finally started to get fun for me after I died.\I was content.\But I guess it's all over now.\Hey... Are you living every day to the fullest?\What's wrong?\You seem out of it. Is something troubling you? response:	Huh? No, I'm fine.
context: Things...\Things finally started to get fun for me after I died.\I was content.\But I guess it's all over now.\Hey... Are you living every day to the fullest?\What's wrong?\You seem out of it. Is something troubling you?\Huh? No, I'm fine. response:	All right, then...
context: Things finally started to get fun for me after I died.\I was content.\But I guess it's all over now.\Hey... Are you living every day to the fullest?\What's wrong?\You seem out of it. Is something troubling you?\Huh? No, I'm fine.\All right, then... response:	Mob!
context: I was content.\But I guess it's all over now.\Hey... Are you living every day to the fullest?\What's wrong?\You seem out of it. Is something troubling you?\Huh? No, I'm fine.\All right, then...\Mob! response:	You came!
context: But I guess it's all over now.\Hey... Are you living every day to the fullest?\What's wrong?\You seem out of it. Is something troubling you?\Huh? No, I'm fine.\All right, then...\Mob!\You came! response:	We believed in you, Kageyama-kun!
context: Hey... Are you living every day to the fullest?\What's wrong?\You seem out of it. Is something troubling you?\Huh? No, I'm fine.\All right, then...\Mob!\You came!\We believed in you, Kageyama-kun! response:	Now, hurry up and sign this club admission form.
context: What's wrong?\You seem out of it. Is something troubling you?\Huh? No, I'm fine.\All right, then...\Mob!\You came!\We believed in you, Kageyama-kun!\Now, hurry up and sign this club admission form. response:	You're already here? That was awfully quick...
context: You seem out of it. Is something troubling you?\Huh? No, I'm fine.\All right, then...\Mob!\You came!\We believed in you, Kageyama-kun!\Now, hurry up and sign this club admission form.\You're already here? That was awfully quick... response:	Vice President!
context: Huh? No, I'm fine.\All right, then...\Mob!\You came!\We believed in you, Kageyama-kun!\Now, hurry up and sign this club admission form.\You're already here? That was awfully quick...\Vice President! response:	Well, I had to show this room...
context: All right, then...\Mob!\You came!\We believed in you, Kageyama-kun!\Now, hurry up and sign this club admission form.\You're already here? That was awfully quick...\Vice President!\Well, I had to show this room... response:	to them.
context: Mob!\You came!\We believed in you, Kageyama-kun!\Now, hurry up and sign this club admission form.\You're already here? That was awfully quick...\Vice President!\Well, I had to show this room...\to them. response:	This room will become the club room
context: You came!\We believed in you, Kageyama-kun!\Now, hurry up and sign this club admission form.\You're already here? That was awfully quick...\Vice President!\Well, I had to show this room...\to them.\This room will become the club room response:	for the newly formed Body Improvement Club.
context: We believed in you, Kageyama-kun!\Now, hurry up and sign this club admission form.\You're already here? That was awfully quick...\Vice President!\Well, I had to show this room...\to them.\This room will become the club room\for the newly formed Body Improvement Club. response:	What?! Hey, hold on a sec!
context: Now, hurry up and sign this club admission form.\You're already here? That was awfully quick...\Vice President!\Well, I had to show this room...\to them.\This room will become the club room\for the newly formed Body Improvement Club.\What?! Hey, hold on a sec! response:	The Telepathy Club won't be abolished!
context: You're already here? That was awfully quick...\Vice President!\Well, I had to show this room...\to them.\This room will become the club room\for the newly formed Body Improvement Club.\What?! Hey, hold on a sec!\The Telepathy Club won't be abolished! response:	Kageyama-kun here is just about to join!
context: Vice President!\Well, I had to show this room...\to them.\This room will become the club room\for the newly formed Body Improvement Club.\What?! Hey, hold on a sec!\The Telepathy Club won't be abolished!\Kageyama-kun here is just about to join! response:	What?
context: Well, I had to show this room...\to them.\This room will become the club room\for the newly formed Body Improvement Club.\What?! Hey, hold on a sec!\The Telepathy Club won't be abolished!\Kageyama-kun here is just about to join!\What? response:	Are you insane?
context: to them.\This room will become the club room\for the newly formed Body Improvement Club.\What?! Hey, hold on a sec!\The Telepathy Club won't be abolished!\Kageyama-kun here is just about to join!\What?\Are you insane? response:	Huh?
context: This room will become the club room\for the newly formed Body Improvement Club.\What?! Hey, hold on a sec!\The Telepathy Club won't be abolished!\Kageyama-kun here is just about to join!\What?\Are you insane?\Huh? response:	What grade are you in?
context: for the newly formed Body Improvement Club.\What?! Hey, hold on a sec!\The Telepathy Club won't be abolished!\Kageyama-kun here is just about to join!\What?\Are you insane?\Huh?\What grade are you in? response:	I'm a second-year.
context: What?! Hey, hold on a sec!\The Telepathy Club won't be abolished!\Kageyama-kun here is just about to join!\What?\Are you insane?\Huh?\What grade are you in?\I'm a second-year. response:	Do you have any experience in other clubs?
context: The Telepathy Club won't be abolished!\Kageyama-kun here is just about to join!\What?\Are you insane?\Huh?\What grade are you in?\I'm a second-year.\Do you have any experience in other clubs? response:	No.
context: Kageyama-kun here is just about to join!\What?\Are you insane?\Huh?\What grade are you in?\I'm a second-year.\Do you have any experience in other clubs?\No. response:	Do you have a close friend in the Telepathy Club?
context: What?\Are you insane?\Huh?\What grade are you in?\I'm a second-year.\Do you have any experience in other clubs?\No.\Do you have a close friend in the Telepathy Club? response:	I have an acquaintance.
context: Are you insane?\Huh?\What grade are you in?\I'm a second-year.\Do you have any experience in other clubs?\No.\Do you have a close friend in the Telepathy Club?\I have an acquaintance. response:	Do you go to cram school?
context: Huh?\What grade are you in?\I'm a second-year.\Do you have any experience in other clubs?\No.\Do you have a close friend in the Telepathy Club?\I have an acquaintance.\Do you go to cram school? response:	No.
context: What grade are you in?\I'm a second-year.\Do you have any experience in other clubs?\No.\Do you have a close friend in the Telepathy Club?\I have an acquaintance.\Do you go to cram school?\No. response:	Do you study?
context: I'm a second-year.\Do you have any experience in other clubs?\No.\Do you have a close friend in the Telepathy Club?\I have an acquaintance.\Do you go to cram school?\No.\Do you study? response:	Not really.
context: Do you have any experience in other clubs?\No.\Do you have a close friend in the Telepathy Club?\I have an acquaintance.\Do you go to cram school?\No.\Do you study?\Not really. response:	Do you have any hobbies?
context: No.\Do you have a close friend in the Telepathy Club?\I have an acquaintance.\Do you go to cram school?\No.\Do you study?\Not really.\Do you have any hobbies? response:	Um...
context: Do you have a close friend in the Telepathy Club?\I have an acquaintance.\Do you go to cram school?\No.\Do you study?\Not really.\Do you have any hobbies?\Um... response:	Don't you have anything that you want to do?
context: I have an acquaintance.\Do you go to cram school?\No.\Do you study?\Not really.\Do you have any hobbies?\Um...\Don't you have anything that you want to do? response:	Huh?
context: Do you go to cram school?\No.\Do you study?\Not really.\Do you have any hobbies?\Um...\Don't you have anything that you want to do?\Huh? response:	If you let them goad you into joining despite having no interest in the club at all,
context: No.\Do you study?\Not really.\Do you have any hobbies?\Um...\Don't you have anything that you want to do?\Huh?\If you let them goad you into joining despite having no interest in the club at all, response:	what exactly will you gain from it?
context: Do you study?\Not really.\Do you have any hobbies?\Um...\Don't you have anything that you want to do?\Huh?\If you let them goad you into joining despite having no interest in the club at all,\what exactly will you gain from it? response:	Well, I just want to live every day to the fullest.
context: Not really.\Do you have any hobbies?\Um...\Don't you have anything that you want to do?\Huh?\If you let them goad you into joining despite having no interest in the club at all,\what exactly will you gain from it?\Well, I just want to live every day to the fullest. response:	And will spending your time after school with cola, snacks and video games
context: Do you have any hobbies?\Um...\Don't you have anything that you want to do?\Huh?\If you let them goad you into joining despite having no interest in the club at all,\what exactly will you gain from it?\Well, I just want to live every day to the fullest.\And will spending your time after school with cola, snacks and video games response:	help you do that?
context: Um...\Don't you have anything that you want to do?\Huh?\If you let them goad you into joining despite having no interest in the club at all,\what exactly will you gain from it?\Well, I just want to live every day to the fullest.\And will spending your time after school with cola, snacks and video games\help you do that? response:	If you want to join of your own free will, I will not stop you.
context: Don't you have anything that you want to do?\Huh?\If you let them goad you into joining despite having no interest in the club at all,\what exactly will you gain from it?\Well, I just want to live every day to the fullest.\And will spending your time after school with cola, snacks and video games\help you do that?\If you want to join of your own free will, I will not stop you. response:	However, you should carefully reconsider this.
context: Huh?\If you let them goad you into joining despite having no interest in the club at all,\what exactly will you gain from it?\Well, I just want to live every day to the fullest.\And will spending your time after school with cola, snacks and video games\help you do that?\If you want to join of your own free will, I will not stop you.\However, you should carefully reconsider this. response:	What is it that you really want to do?
context: If you let them goad you into joining despite having no interest in the club at all,\what exactly will you gain from it?\Well, I just want to live every day to the fullest.\And will spending your time after school with cola, snacks and video games\help you do that?\If you want to join of your own free will, I will not stop you.\However, you should carefully reconsider this.\What is it that you really want to do? response:	What I want to do...
context: what exactly will you gain from it?\Well, I just want to live every day to the fullest.\And will spending your time after school with cola, snacks and video games\help you do that?\If you want to join of your own free will, I will not stop you.\However, you should carefully reconsider this.\What is it that you really want to do?\What I want to do... response:	Do I have anything I want to do?
context: Well, I just want to live every day to the fullest.\And will spending your time after school with cola, snacks and video games\help you do that?\If you want to join of your own free will, I will not stop you.\However, you should carefully reconsider this.\What is it that you really want to do?\What I want to do...\Do I have anything I want to do? response:	Does everyone else have something?
context: And will spending your time after school with cola, snacks and video games\help you do that?\If you want to join of your own free will, I will not stop you.\However, you should carefully reconsider this.\What is it that you really want to do?\What I want to do...\Do I have anything I want to do?\Does everyone else have something? response:	Something enjoyable? Something I'm envious of?
context: help you do that?\If you want to join of your own free will, I will not stop you.\However, you should carefully reconsider this.\What is it that you really want to do?\What I want to do...\Do I have anything I want to do?\Does everyone else have something?\Something enjoyable? Something I'm envious of? response:	What are they enjoying?
context: If you want to join of your own free will, I will not stop you.\However, you should carefully reconsider this.\What is it that you really want to do?\What I want to do...\Do I have anything I want to do?\Does everyone else have something?\Something enjoyable? Something I'm envious of?\What are they enjoying? response:	Clubs, hobbies, and studying?
context: However, you should carefully reconsider this.\What is it that you really want to do?\What I want to do...\Do I have anything I want to do?\Does everyone else have something?\Something enjoyable? Something I'm envious of?\What are they enjoying?\Clubs, hobbies, and studying? response:	Hanging out with girls might be fun...
context: What is it that you really want to do?\What I want to do...\Do I have anything I want to do?\Does everyone else have something?\Something enjoyable? Something I'm envious of?\What are they enjoying?\Clubs, hobbies, and studying?\Hanging out with girls might be fun... response:	I did have a dream!
context: What I want to do...\Do I have anything I want to do?\Does everyone else have something?\Something enjoyable? Something I'm envious of?\What are they enjoying?\Clubs, hobbies, and studying?\Hanging out with girls might be fun...\I did have a dream! response:	I wanted to confess my feelings to my first love, Tsubomi-chan,
context: Do I have anything I want to do?\Does everyone else have something?\Something enjoyable? Something I'm envious of?\What are they enjoying?\Clubs, hobbies, and studying?\Hanging out with girls might be fun...\I did have a dream!\I wanted to confess my feelings to my first love, Tsubomi-chan, response:	and walk home together, holding hands.
context: Does everyone else have something?\Something enjoyable? Something I'm envious of?\What are they enjoying?\Clubs, hobbies, and studying?\Hanging out with girls might be fun...\I did have a dream!\I wanted to confess my feelings to my first love, Tsubomi-chan,\and walk home together, holding hands. response:	Look, Tsubomi-chan.
context: Something enjoyable? Something I'm envious of?\What are they enjoying?\Clubs, hobbies, and studying?\Hanging out with girls might be fun...\I did have a dream!\I wanted to confess my feelings to my first love, Tsubomi-chan,\and walk home together, holding hands.\Look, Tsubomi-chan. response:	When you make frogs float, they start swimming.
context: What are they enjoying?\Clubs, hobbies, and studying?\Hanging out with girls might be fun...\I did have a dream!\I wanted to confess my feelings to my first love, Tsubomi-chan,\and walk home together, holding hands.\Look, Tsubomi-chan.\When you make frogs float, they start swimming. response:	Wow, how cute.
context: Clubs, hobbies, and studying?\Hanging out with girls might be fun...\I did have a dream!\I wanted to confess my feelings to my first love, Tsubomi-chan,\and walk home together, holding hands.\Look, Tsubomi-chan.\When you make frogs float, they start swimming.\Wow, how cute. response:	I can make the bar all squishy.
context: Hanging out with girls might be fun...\I did have a dream!\I wanted to confess my feelings to my first love, Tsubomi-chan,\and walk home together, holding hands.\Look, Tsubomi-chan.\When you make frogs float, they start swimming.\Wow, how cute.\I can make the bar all squishy. response:	You're amazing, Mob-kun.
context: I did have a dream!\I wanted to confess my feelings to my first love, Tsubomi-chan,\and walk home together, holding hands.\Look, Tsubomi-chan.\When you make frogs float, they start swimming.\Wow, how cute.\I can make the bar all squishy.\You're amazing, Mob-kun. response:	Look! I'm only showing you, Tsubomi-chan!
context: I wanted to confess my feelings to my first love, Tsubomi-chan,\and walk home together, holding hands.\Look, Tsubomi-chan.\When you make frogs float, they start swimming.\Wow, how cute.\I can make the bar all squishy.\You're amazing, Mob-kun.\Look! I'm only showing you, Tsubomi-chan! response:	I'm bored of that.
context: and walk home together, holding hands.\Look, Tsubomi-chan.\When you make frogs float, they start swimming.\Wow, how cute.\I can make the bar all squishy.\You're amazing, Mob-kun.\Look! I'm only showing you, Tsubomi-chan!\I'm bored of that. response:	The red team is fast!
context: Look, Tsubomi-chan.\When you make frogs float, they start swimming.\Wow, how cute.\I can make the bar all squishy.\You're amazing, Mob-kun.\Look! I'm only showing you, Tsubomi-chan!\I'm bored of that.\The red team is fast! response:	You're so fast, Akira-kun!
context: When you make frogs float, they start swimming.\Wow, how cute.\I can make the bar all squishy.\You're amazing, Mob-kun.\Look! I'm only showing you, Tsubomi-chan!\I'm bored of that.\The red team is fast!\You're so fast, Akira-kun! response:	That's right. If I can change anything by joining a club...
context: Wow, how cute.\I can make the bar all squishy.\You're amazing, Mob-kun.\Look! I'm only showing you, Tsubomi-chan!\I'm bored of that.\The red team is fast!\You're so fast, Akira-kun!\That's right. If I can change anything by joining a club... response:	I'll join!
context: I can make the bar all squishy.\You're amazing, Mob-kun.\Look! I'm only showing you, Tsubomi-chan!\I'm bored of that.\The red team is fast!\You're so fast, Akira-kun!\That's right. If I can change anything by joining a club...\I'll join! response:	Thank you for having me,
context: You're amazing, Mob-kun.\Look! I'm only showing you, Tsubomi-chan!\I'm bored of that.\The red team is fast!\You're so fast, Akira-kun!\That's right. If I can change anything by joining a club...\I'll join!\Thank you for having me, response:	Body Improvement Club!
context: Look! I'm only showing you, Tsubomi-chan!\I'm bored of that.\The red team is fast!\You're so fast, Akira-kun!\That's right. If I can change anything by joining a club...\I'll join!\Thank you for having me,\Body Improvement Club! response:	Huh? You want to join us?
context: I'm bored of that.\The red team is fast!\You're so fast, Akira-kun!\That's right. If I can change anything by joining a club...\I'll join!\Thank you for having me,\Body Improvement Club!\Huh? You want to join us? response:	Huh?
context: The red team is fast!\You're so fast, Akira-kun!\That's right. If I can change anything by joining a club...\I'll join!\Thank you for having me,\Body Improvement Club!\Huh? You want to join us?\Huh? response:	Good to have you!
context: You're so fast, Akira-kun!\That's right. If I can change anything by joining a club...\I'll join!\Thank you for having me,\Body Improvement Club!\Huh? You want to join us?\Huh?\Good to have you! response:	Thank you!
context: That's right. If I can change anything by joining a club...\I'll join!\Thank you for having me,\Body Improvement Club!\Huh? You want to join us?\Huh?\Good to have you!\Thank you! response:	Progress toward
context: I'll join!\Thank you for having me,\Body Improvement Club!\Huh? You want to join us?\Huh?\Good to have you!\Thank you!\Progress toward response:	Mob's Explosion
context: Thank you for having me,\Body Improvement Club!\Huh? You want to join us?\Huh?\Good to have you!\Thank you!\Progress toward\Mob's Explosion response:	Progress toward Mob's Explosion: 40
context: Body Improvement Club!\Huh? You want to join us?\Huh?\Good to have you!\Thank you!\Progress toward\Mob's Explosion\Progress toward Mob's Explosion: 40 response:	Club Admission Form
context: Huh? You want to join us?\Huh?\Good to have you!\Thank you!\Progress toward\Mob's Explosion\Progress toward Mob's Explosion: 40\Club Admission Form response:	I will join the Body Improvement Club.
context: Huh?\Good to have you!\Thank you!\Progress toward\Mob's Explosion\Progress toward Mob's Explosion: 40\Club Admission Form\I will join the Body Improvement Club. response:	Class 2-1 Kageyama Shigeo
context: Good to have you!\Thank you!\Progress toward\Mob's Explosion\Progress toward Mob's Explosion: 40\Club Admission Form\I will join the Body Improvement Club.\Class 2-1 Kageyama Shigeo response:	Contact Information
context: Thank you!\Progress toward\Mob's Explosion\Progress toward Mob's Explosion: 40\Club Admission Form\I will join the Body Improvement Club.\Class 2-1 Kageyama Shigeo\Contact Information response:	Reason for Joining
