context: I'm Gouda Takeo, a first-year in high school. response:	Back in the spring, I started dating.
context: Is he a bear?! A gorilla?! Mountain gorilla?\Huh?\What's wrong?\I'm... I'm just happy.\I knew it, you know?\I knew it.\But when I thought about how you really like me...\I love you! response:	I feel like there are tons of reasons why,
context: Huh?\What's wrong?\I'm... I'm just happy.\I knew it, you know?\I knew it.\But when I thought about how you really like me...\I love you!\I feel like there are tons of reasons why, response:	but also no reason at all.
context: What's wrong?\I'm... I'm just happy.\I knew it, you know?\I knew it.\But when I thought about how you really like me...\I love you!\I feel like there are tons of reasons why,\but also no reason at all. response:	But every time I look into your eyes, I feel it.
context: I'm... I'm just happy.\I knew it, you know?\I knew it.\But when I thought about how you really like me...\I love you!\I feel like there are tons of reasons why,\but also no reason at all.\But every time I look into your eyes, I feel it. response:	I love you, too, Takeo-kun.
context: I knew it, you know?\I knew it.\But when I thought about how you really like me...\I love you!\I feel like there are tons of reasons why,\but also no reason at all.\But every time I look into your eyes, I feel it.\I love you, too, Takeo-kun. response:	My heart's always telling me that I love her.
context: I knew it.\But when I thought about how you really like me...\I love you!\I feel like there are tons of reasons why,\but also no reason at all.\But every time I look into your eyes, I feel it.\I love you, too, Takeo-kun.\My heart's always telling me that I love her. response:	I'm sorry I said not to worry because I'm not popular with girls.
context: But when I thought about how you really like me...\I love you!\I feel like there are tons of reasons why,\but also no reason at all.\But every time I look into your eyes, I feel it.\I love you, too, Takeo-kun.\My heart's always telling me that I love her.\I'm sorry I said not to worry because I'm not popular with girls. response:	I made you worry.
context: I love you!\I feel like there are tons of reasons why,\but also no reason at all.\But every time I look into your eyes, I feel it.\I love you, too, Takeo-kun.\My heart's always telling me that I love her.\I'm sorry I said not to worry because I'm not popular with girls.\I made you worry. response:	I'm sorry.
context: I feel like there are tons of reasons why,\but also no reason at all.\But every time I look into your eyes, I feel it.\I love you, too, Takeo-kun.\My heart's always telling me that I love her.\I'm sorry I said not to worry because I'm not popular with girls.\I made you worry.\I'm sorry. response:	Oh, is that why I was worried?
context: but also no reason at all.\But every time I look into your eyes, I feel it.\I love you, too, Takeo-kun.\My heart's always telling me that I love her.\I'm sorry I said not to worry because I'm not popular with girls.\I made you worry.\I'm sorry.\Oh, is that why I was worried? response:	But it's okay now.
context: But every time I look into your eyes, I feel it.\I love you, too, Takeo-kun.\My heart's always telling me that I love her.\I'm sorry I said not to worry because I'm not popular with girls.\I made you worry.\I'm sorry.\Oh, is that why I was worried?\But it's okay now. response:	I'm not worried.
context: I love you, too, Takeo-kun.\My heart's always telling me that I love her.\I'm sorry I said not to worry because I'm not popular with girls.\I made you worry.\I'm sorry.\Oh, is that why I was worried?\But it's okay now.\I'm not worried. response:	I don't blame Saijou-san for anything.
context: My heart's always telling me that I love her.\I'm sorry I said not to worry because I'm not popular with girls.\I made you worry.\I'm sorry.\Oh, is that why I was worried?\But it's okay now.\I'm not worried.\I don't blame Saijou-san for anything. response:	I think both she and I fought for what we wanted.
context: I'm sorry I said not to worry because I'm not popular with girls.\I made you worry.\I'm sorry.\Oh, is that why I was worried?\But it's okay now.\I'm not worried.\I don't blame Saijou-san for anything.\I think both she and I fought for what we wanted. response:	So we're similar that way.
context: I made you worry.\I'm sorry.\Oh, is that why I was worried?\But it's okay now.\I'm not worried.\I don't blame Saijou-san for anything.\I think both she and I fought for what we wanted.\So we're similar that way. response:	Even though we can't be friends,
context: I'm sorry.\Oh, is that why I was worried?\But it's okay now.\I'm not worried.\I don't blame Saijou-san for anything.\I think both she and I fought for what we wanted.\So we're similar that way.\Even though we can't be friends, response:	I like her.
context: Oh, is that why I was worried?\But it's okay now.\I'm not worried.\I don't blame Saijou-san for anything.\I think both she and I fought for what we wanted.\So we're similar that way.\Even though we can't be friends,\I like her. response:	Yeah.
context: But it's okay now.\I'm not worried.\I don't blame Saijou-san for anything.\I think both she and I fought for what we wanted.\So we're similar that way.\Even though we can't be friends,\I like her.\Yeah. response:	I only realized how I felt
context: I'm not worried.\I don't blame Saijou-san for anything.\I think both she and I fought for what we wanted.\So we're similar that way.\Even though we can't be friends,\I like her.\Yeah.\I only realized how I felt response:	because Saijou told me how she felt.
context: I don't blame Saijou-san for anything.\I think both she and I fought for what we wanted.\So we're similar that way.\Even though we can't be friends,\I like her.\Yeah.\I only realized how I felt\because Saijou told me how she felt. response:	Suna, you knew?
context: I think both she and I fought for what we wanted.\So we're similar that way.\Even though we can't be friends,\I like her.\Yeah.\I only realized how I felt\because Saijou told me how she felt.\Suna, you knew? response:	Sorta.
context: So we're similar that way.\Even though we can't be friends,\I like her.\Yeah.\I only realized how I felt\because Saijou told me how she felt.\Suna, you knew?\Sorta. response:	I knew it. It happened again.
context: Even though we can't be friends,\I like her.\Yeah.\I only realized how I felt\because Saijou told me how she felt.\Suna, you knew?\Sorta.\I knew it. It happened again. response:	I wonder why I'm so oblivious to everything around me...
context: I like her.\Yeah.\I only realized how I felt\because Saijou told me how she felt.\Suna, you knew?\Sorta.\I knew it. It happened again.\I wonder why I'm so oblivious to everything around me... response:	Maybe because you're always looking up.
context: Yeah.\I only realized how I felt\because Saijou told me how she felt.\Suna, you knew?\Sorta.\I knew it. It happened again.\I wonder why I'm so oblivious to everything around me...\Maybe because you're always looking up. response:	But that's what everyone likes about you, so you just have to accept it.
context: I only realized how I felt\because Saijou told me how she felt.\Suna, you knew?\Sorta.\I knew it. It happened again.\I wonder why I'm so oblivious to everything around me...\Maybe because you're always looking up.\But that's what everyone likes about you, so you just have to accept it. response:	Just accept it, huh?
context: because Saijou told me how she felt.\Suna, you knew?\Sorta.\I knew it. It happened again.\I wonder why I'm so oblivious to everything around me...\Maybe because you're always looking up.\But that's what everyone likes about you, so you just have to accept it.\Just accept it, huh? response:	I wonder what it was like, confessing feelings to someone
context: Suna, you knew?\Sorta.\I knew it. It happened again.\I wonder why I'm so oblivious to everything around me...\Maybe because you're always looking up.\But that's what everyone likes about you, so you just have to accept it.\Just accept it, huh?\I wonder what it was like, confessing feelings to someone response:	who already had a girlfriend.
context: Sorta.\I knew it. It happened again.\I wonder why I'm so oblivious to everything around me...\Maybe because you're always looking up.\But that's what everyone likes about you, so you just have to accept it.\Just accept it, huh?\I wonder what it was like, confessing feelings to someone\who already had a girlfriend. response:	Damn it!
context: I knew it. It happened again.\I wonder why I'm so oblivious to everything around me...\Maybe because you're always looking up.\But that's what everyone likes about you, so you just have to accept it.\Just accept it, huh?\I wonder what it was like, confessing feelings to someone\who already had a girlfriend.\Damn it! response:	He's in knots about not responding to her feelings, though he'd like to somehow.
context: I wonder why I'm so oblivious to everything around me...\Maybe because you're always looking up.\But that's what everyone likes about you, so you just have to accept it.\Just accept it, huh?\I wonder what it was like, confessing feelings to someone\who already had a girlfriend.\Damn it!\He's in knots about not responding to her feelings, though he'd like to somehow. response:	He'd like to make her feel better, but that wouldn't work.
context: Maybe because you're always looking up.\But that's what everyone likes about you, so you just have to accept it.\Just accept it, huh?\I wonder what it was like, confessing feelings to someone\who already had a girlfriend.\Damn it!\He's in knots about not responding to her feelings, though he'd like to somehow.\He'd like to make her feel better, but that wouldn't work. response:	He's upset that he can't do anything.
context: But that's what everyone likes about you, so you just have to accept it.\Just accept it, huh?\I wonder what it was like, confessing feelings to someone\who already had a girlfriend.\Damn it!\He's in knots about not responding to her feelings, though he'd like to somehow.\He'd like to make her feel better, but that wouldn't work.\He's upset that he can't do anything. response:	Isn't there anything I can do for her?
context: Just accept it, huh?\I wonder what it was like, confessing feelings to someone\who already had a girlfriend.\Damn it!\He's in knots about not responding to her feelings, though he'd like to somehow.\He'd like to make her feel better, but that wouldn't work.\He's upset that he can't do anything.\Isn't there anything I can do for her? response:	Like I said, you just have to accept it.
context: I wonder what it was like, confessing feelings to someone\who already had a girlfriend.\Damn it!\He's in knots about not responding to her feelings, though he'd like to somehow.\He'd like to make her feel better, but that wouldn't work.\He's upset that he can't do anything.\Isn't there anything I can do for her?\Like I said, you just have to accept it. response:	I see...
context: who already had a girlfriend.\Damn it!\He's in knots about not responding to her feelings, though he'd like to somehow.\He'd like to make her feel better, but that wouldn't work.\He's upset that he can't do anything.\Isn't there anything I can do for her?\Like I said, you just have to accept it.\I see... response:	I'd like us to stay friends,
context: Damn it!\He's in knots about not responding to her feelings, though he'd like to somehow.\He'd like to make her feel better, but that wouldn't work.\He's upset that he can't do anything.\Isn't there anything I can do for her?\Like I said, you just have to accept it.\I see...\I'd like us to stay friends, response:	but I guess it can't work out that way between a guy and a girl.
context: He's in knots about not responding to her feelings, though he'd like to somehow.\He'd like to make her feel better, but that wouldn't work.\He's upset that he can't do anything.\Isn't there anything I can do for her?\Like I said, you just have to accept it.\I see...\I'd like us to stay friends,\but I guess it can't work out that way between a guy and a girl. response:	Master, good morning!
context: He'd like to make her feel better, but that wouldn't work.\He's upset that he can't do anything.\Isn't there anything I can do for her?\Like I said, you just have to accept it.\I see...\I'd like us to stay friends,\but I guess it can't work out that way between a guy and a girl.\Master, good morning! response:	Huh?
context: He's upset that he can't do anything.\Isn't there anything I can do for her?\Like I said, you just have to accept it.\I see...\I'd like us to stay friends,\but I guess it can't work out that way between a guy and a girl.\Master, good morning!\Huh? response:	Saijou...
context: Isn't there anything I can do for her?\Like I said, you just have to accept it.\I see...\I'd like us to stay friends,\but I guess it can't work out that way between a guy and a girl.\Master, good morning!\Huh?\Saijou... response:	I know calling you that is weird, but it's become a habit.
context: Like I said, you just have to accept it.\I see...\I'd like us to stay friends,\but I guess it can't work out that way between a guy and a girl.\Master, good morning!\Huh?\Saijou...\I know calling you that is weird, but it's become a habit. response:	Can I keep calling you that?
context: I see...\I'd like us to stay friends,\but I guess it can't work out that way between a guy and a girl.\Master, good morning!\Huh?\Saijou...\I know calling you that is weird, but it's become a habit.\Can I keep calling you that? response:	Sure!
context: I'd like us to stay friends,\but I guess it can't work out that way between a guy and a girl.\Master, good morning!\Huh?\Saijou...\I know calling you that is weird, but it's become a habit.\Can I keep calling you that?\Sure! response:	Thanks, Saijou!
context: but I guess it can't work out that way between a guy and a girl.\Master, good morning!\Huh?\Saijou...\I know calling you that is weird, but it's become a habit.\Can I keep calling you that?\Sure!\Thanks, Saijou! response:	He said, Thanks.
context: Master, good morning!\Huh?\Saijou...\I know calling you that is weird, but it's become a habit.\Can I keep calling you that?\Sure!\Thanks, Saijou!\He said, Thanks. response:	Last night, he had a hard time sleeping
context: Huh?\Saijou...\I know calling you that is weird, but it's become a habit.\Can I keep calling you that?\Sure!\Thanks, Saijou!\He said, Thanks.\Last night, he had a hard time sleeping response:	because he was torn up about not being friends with you anymore.
context: Saijou...\I know calling you that is weird, but it's become a habit.\Can I keep calling you that?\Sure!\Thanks, Saijou!\He said, Thanks.\Last night, he had a hard time sleeping\because he was torn up about not being friends with you anymore. response:	I think, just now, you made him happy.
context: I know calling you that is weird, but it's become a habit.\Can I keep calling you that?\Sure!\Thanks, Saijou!\He said, Thanks.\Last night, he had a hard time sleeping\because he was torn up about not being friends with you anymore.\I think, just now, you made him happy. response:	Thanks, Saijou.
context: Can I keep calling you that?\Sure!\Thanks, Saijou!\He said, Thanks.\Last night, he had a hard time sleeping\because he was torn up about not being friends with you anymore.\I think, just now, you made him happy.\Thanks, Saijou. response:	Thanks for liking me.
context: Sure!\Thanks, Saijou!\He said, Thanks.\Last night, he had a hard time sleeping\because he was torn up about not being friends with you anymore.\I think, just now, you made him happy.\Thanks, Saijou.\Thanks for liking me. response:	When you fall for someone next time,
context: Thanks, Saijou!\He said, Thanks.\Last night, he had a hard time sleeping\because he was torn up about not being friends with you anymore.\I think, just now, you made him happy.\Thanks, Saijou.\Thanks for liking me.\When you fall for someone next time, response:	I want to help you in any way I can.
context: He said, Thanks.\Last night, he had a hard time sleeping\because he was torn up about not being friends with you anymore.\I think, just now, you made him happy.\Thanks, Saijou.\Thanks for liking me.\When you fall for someone next time,\I want to help you in any way I can. response:	My Christmas
context: Last night, he had a hard time sleeping\because he was torn up about not being friends with you anymore.\I think, just now, you made him happy.\Thanks, Saijou.\Thanks for liking me.\When you fall for someone next time,\I want to help you in any way I can.\My Christmas response:	Next time: My Christmas.
