context: What is this, my lord? response:	Evans/Person of the Land Pursall/Person of the Land
context: New enemy.\Half-moon venom hydrangea.\Shiroe, we've lost three!\Our MP won't last.\I'm prioritizing Richou's group.\Hang in there somehow!\Roger!\AoE attack! response:	Everyone split up!
context: Half-moon venom hydrangea.\Shiroe, we've lost three!\Our MP won't last.\I'm prioritizing Richou's group.\Hang in there somehow!\Roger!\AoE attack!\Everyone split up! response:	No, use the shrine priestess's four-way barrier!
context: Shiroe, we've lost three!\Our MP won't last.\I'm prioritizing Richou's group.\Hang in there somehow!\Roger!\AoE attack!\Everyone split up!\No, use the shrine priestess's four-way barrier! response:	No one has the MP!
context: Our MP won't last.\I'm prioritizing Richou's group.\Hang in there somehow!\Roger!\AoE attack!\Everyone split up!\No, use the shrine priestess's four-way barrier!\No one has the MP! response:	Korou!
context: I'm prioritizing Richou's group.\Hang in there somehow!\Roger!\AoE attack!\Everyone split up!\No, use the shrine priestess's four-way barrier!\No one has the MP!\Korou! response:	Bad status...
context: Hang in there somehow!\Roger!\AoE attack!\Everyone split up!\No, use the shrine priestess's four-way barrier!\No one has the MP!\Korou!\Bad status... response:	Rot! DoT!
context: Roger!\AoE attack!\Everyone split up!\No, use the shrine priestess's four-way barrier!\No one has the MP!\Korou!\Bad status...\Rot! DoT! response:	It's no good! Our HP won't last, either!
context: AoE attack!\Everyone split up!\No, use the shrine priestess's four-way barrier!\No one has the MP!\Korou!\Bad status...\Rot! DoT!\It's no good! Our HP won't last, either! response:	Three lost. Five dead.
context: Everyone split up!\No, use the shrine priestess's four-way barrier!\No one has the MP!\Korou!\Bad status...\Rot! DoT!\It's no good! Our HP won't last, either!\Three lost. Five dead. response:	We've lost a third in such a short time.
context: No, use the shrine priestess's four-way barrier!\No one has the MP!\Korou!\Bad status...\Rot! DoT!\It's no good! Our HP won't last, either!\Three lost. Five dead.\We've lost a third in such a short time. response:	We can't keep going! This is really bad!
context: No one has the MP!\Korou!\Bad status...\Rot! DoT!\It's no good! Our HP won't last, either!\Three lost. Five dead.\We've lost a third in such a short time.\We can't keep going! This is really bad! response:	Shiro...
context: Korou!\Bad status...\Rot! DoT!\It's no good! Our HP won't last, either!\Three lost. Five dead.\We've lost a third in such a short time.\We can't keep going! This is really bad!\Shiro... response:	Give the order to withdraw!
context: Bad status...\Rot! DoT!\It's no good! Our HP won't last, either!\Three lost. Five dead.\We've lost a third in such a short time.\We can't keep going! This is really bad!\Shiro...\Give the order to withdraw! response:	Shiro!
context: Rot! DoT!\It's no good! Our HP won't last, either!\Three lost. Five dead.\We've lost a third in such a short time.\We can't keep going! This is really bad!\Shiro...\Give the order to withdraw!\Shiro! response:	My lord...
context: It's no good! Our HP won't last, either!\Three lost. Five dead.\We've lost a third in such a short time.\We can't keep going! This is really bad!\Shiro...\Give the order to withdraw!\Shiro!\My lord... response:	Flip Gate.
context: Three lost. Five dead.\We've lost a third in such a short time.\We can't keep going! This is really bad!\Shiro...\Give the order to withdraw!\Shiro!\My lord...\Flip Gate. response:	Where are we? A studio?
context: We've lost a third in such a short time.\We can't keep going! This is really bad!\Shiro...\Give the order to withdraw!\Shiro!\My lord...\Flip Gate.\Where are we? A studio? response:	Calling Fortress Safe Zone A Japan Server Shibuya Dungeon/ No Monsters No PvP Skill Use Restricted Entry Restrictions/ None Exit Restrictions/ None
context: We can't keep going! This is really bad!\Shiro...\Give the order to withdraw!\Shiro!\My lord...\Flip Gate.\Where are we? A studio?\Calling Fortress Safe Zone A Japan Server Shibuya Dungeon/ No Monsters No PvP Skill Use Restricted Entry Restrictions/ None Exit Restrictions/ None response:	So this is the revive point... Not the dungeon's entrance?
context: Shiro...\Give the order to withdraw!\Shiro!\My lord...\Flip Gate.\Where are we? A studio?\Calling Fortress Safe Zone A Japan Server Shibuya Dungeon/ No Monsters No PvP Skill Use Restricted Entry Restrictions/ None Exit Restrictions/ None\So this is the revive point... Not the dungeon's entrance? response:	Marie, I'm sorry...
context: Give the order to withdraw!\Shiro!\My lord...\Flip Gate.\Where are we? A studio?\Calling Fortress Safe Zone A Japan Server Shibuya Dungeon/ No Monsters No PvP Skill Use Restricted Entry Restrictions/ None Exit Restrictions/ None\So this is the revive point... Not the dungeon's entrance?\Marie, I'm sorry... response:	I couldn't protect you.
context: Shiro!\My lord...\Flip Gate.\Where are we? A studio?\Calling Fortress Safe Zone A Japan Server Shibuya Dungeon/ No Monsters No PvP Skill Use Restricted Entry Restrictions/ None Exit Restrictions/ None\So this is the revive point... Not the dungeon's entrance?\Marie, I'm sorry...\I couldn't protect you. response:	It's fine.
context: My lord...\Flip Gate.\Where are we? A studio?\Calling Fortress Safe Zone A Japan Server Shibuya Dungeon/ No Monsters No PvP Skill Use Restricted Entry Restrictions/ None Exit Restrictions/ None\So this is the revive point... Not the dungeon's entrance?\Marie, I'm sorry...\I couldn't protect you.\It's fine. response:	I just fell down the hole and ended up here.
context: Flip Gate.\Where are we? A studio?\Calling Fortress Safe Zone A Japan Server Shibuya Dungeon/ No Monsters No PvP Skill Use Restricted Entry Restrictions/ None Exit Restrictions/ None\So this is the revive point... Not the dungeon's entrance?\Marie, I'm sorry...\I couldn't protect you.\It's fine.\I just fell down the hole and ended up here. response:	Does it hurt?
context: Where are we? A studio?\Calling Fortress Safe Zone A Japan Server Shibuya Dungeon/ No Monsters No PvP Skill Use Restricted Entry Restrictions/ None Exit Restrictions/ None\So this is the revive point... Not the dungeon's entrance?\Marie, I'm sorry...\I couldn't protect you.\It's fine.\I just fell down the hole and ended up here.\Does it hurt? response:	Want to see my panties?
context: Calling Fortress Safe Zone A Japan Server Shibuya Dungeon/ No Monsters No PvP Skill Use Restricted Entry Restrictions/ None Exit Restrictions/ None\So this is the revive point... Not the dungeon's entrance?\Marie, I'm sorry...\I couldn't protect you.\It's fine.\I just fell down the hole and ended up here.\Does it hurt?\Want to see my panties? response:	No, I'm fine.
context: So this is the revive point... Not the dungeon's entrance?\Marie, I'm sorry...\I couldn't protect you.\It's fine.\I just fell down the hole and ended up here.\Does it hurt?\Want to see my panties?\No, I'm fine. response:	It's only a scratch.
context: Marie, I'm sorry...\I couldn't protect you.\It's fine.\I just fell down the hole and ended up here.\Does it hurt?\Want to see my panties?\No, I'm fine.\It's only a scratch. response:	Um, thanks for your help back there.
context: I couldn't protect you.\It's fine.\I just fell down the hole and ended up here.\Does it hurt?\Want to see my panties?\No, I'm fine.\It's only a scratch.\Um, thanks for your help back there. response:	It's fine.
context: It's fine.\I just fell down the hole and ended up here.\Does it hurt?\Want to see my panties?\No, I'm fine.\It's only a scratch.\Um, thanks for your help back there.\It's fine. response:	You had more MP left than I did.
context: I just fell down the hole and ended up here.\Does it hurt?\Want to see my panties?\No, I'm fine.\It's only a scratch.\Um, thanks for your help back there.\It's fine.\You had more MP left than I did. response:	I didn't even think about it!
context: Does it hurt?\Want to see my panties?\No, I'm fine.\It's only a scratch.\Um, thanks for your help back there.\It's fine.\You had more MP left than I did.\I didn't even think about it! response:	Marielle!
context: Want to see my panties?\No, I'm fine.\It's only a scratch.\Um, thanks for your help back there.\It's fine.\You had more MP left than I did.\I didn't even think about it!\Marielle! response:	I haven't been on a raid this tough in a long time.
context: No, I'm fine.\It's only a scratch.\Um, thanks for your help back there.\It's fine.\You had more MP left than I did.\I didn't even think about it!\Marielle!\I haven't been on a raid this tough in a long time. response:	That tickles!
context: It's only a scratch.\Um, thanks for your help back there.\It's fine.\You had more MP left than I did.\I didn't even think about it!\Marielle!\I haven't been on a raid this tough in a long time.\That tickles! response:	Hey, get away!
context: Um, thanks for your help back there.\It's fine.\You had more MP left than I did.\I didn't even think about it!\Marielle!\I haven't been on a raid this tough in a long time.\That tickles!\Hey, get away! response:	Um...
context: It's fine.\You had more MP left than I did.\I didn't even think about it!\Marielle!\I haven't been on a raid this tough in a long time.\That tickles!\Hey, get away!\Um... response:	Everyone...
context: You had more MP left than I did.\I didn't even think about it!\Marielle!\I haven't been on a raid this tough in a long time.\That tickles!\Hey, get away!\Um...\Everyone... response:	I'm sorry.
context: I didn't even think about it!\Marielle!\I haven't been on a raid this tough in a long time.\That tickles!\Hey, get away!\Um...\Everyone...\I'm sorry. response:	Shiroe...
context: Marielle!\I haven't been on a raid this tough in a long time.\That tickles!\Hey, get away!\Um...\Everyone...\I'm sorry.\Shiroe... response:	Shiroe?
context: I haven't been on a raid this tough in a long time.\That tickles!\Hey, get away!\Um...\Everyone...\I'm sorry.\Shiroe...\Shiroe? response:	H-Henrietta?
context: That tickles!\Hey, get away!\Um...\Everyone...\I'm sorry.\Shiroe...\Shiroe?\H-Henrietta? response:	My lord...
context: Hey, get away!\Um...\Everyone...\I'm sorry.\Shiroe...\Shiroe?\H-Henrietta?\My lord... response:	Um, Shiroe...
context: Um...\Everyone...\I'm sorry.\Shiroe...\Shiroe?\H-Henrietta?\My lord...\Um, Shiroe... response:	We're staying in this world!
context: Everyone...\I'm sorry.\Shiroe...\Shiroe?\H-Henrietta?\My lord...\Um, Shiroe...\We're staying in this world! response:	I know what you're thinking.
context: I'm sorry.\Shiroe...\Shiroe?\H-Henrietta?\My lord...\Um, Shiroe...\We're staying in this world!\I know what you're thinking. response:	You're worried that if we destroy the antenna,
context: Shiroe...\Shiroe?\H-Henrietta?\My lord...\Um, Shiroe...\We're staying in this world!\I know what you're thinking.\You're worried that if we destroy the antenna, response:	we won't be able to go home, right?
context: Shiroe?\H-Henrietta?\My lord...\Um, Shiroe...\We're staying in this world!\I know what you're thinking.\You're worried that if we destroy the antenna,\we won't be able to go home, right? response:	It isn't that I don't want to go home, but I wasn't really sure about it.
context: H-Henrietta?\My lord...\Um, Shiroe...\We're staying in this world!\I know what you're thinking.\You're worried that if we destroy the antenna,\we won't be able to go home, right?\It isn't that I don't want to go home, but I wasn't really sure about it. response:	If I can have time to think it over, that's just as good.
context: My lord...\Um, Shiroe...\We're staying in this world!\I know what you're thinking.\You're worried that if we destroy the antenna,\we won't be able to go home, right?\It isn't that I don't want to go home, but I wasn't really sure about it.\If I can have time to think it over, that's just as good. response:	It doesn't mean we'll never get home, does it?
context: Um, Shiroe...\We're staying in this world!\I know what you're thinking.\You're worried that if we destroy the antenna,\we won't be able to go home, right?\It isn't that I don't want to go home, but I wasn't really sure about it.\If I can have time to think it over, that's just as good.\It doesn't mean we'll never get home, does it? response:	And we can't just leave the People of the Land.
context: We're staying in this world!\I know what you're thinking.\You're worried that if we destroy the antenna,\we won't be able to go home, right?\It isn't that I don't want to go home, but I wasn't really sure about it.\If I can have time to think it over, that's just as good.\It doesn't mean we'll never get home, does it?\And we can't just leave the People of the Land. response:	It didn't
context: I know what you're thinking.\You're worried that if we destroy the antenna,\we won't be able to go home, right?\It isn't that I don't want to go home, but I wasn't really sure about it.\If I can have time to think it over, that's just as good.\It doesn't mean we'll never get home, does it?\And we can't just leave the People of the Land.\It didn't response:	go well for us in Safil...
context: You're worried that if we destroy the antenna,\we won't be able to go home, right?\It isn't that I don't want to go home, but I wasn't really sure about it.\If I can have time to think it over, that's just as good.\It doesn't mean we'll never get home, does it?\And we can't just leave the People of the Land.\It didn't\go well for us in Safil... response:	Even if they thank us and say we saved them,
context: we won't be able to go home, right?\It isn't that I don't want to go home, but I wasn't really sure about it.\If I can have time to think it over, that's just as good.\It doesn't mean we'll never get home, does it?\And we can't just leave the People of the Land.\It didn't\go well for us in Safil...\Even if they thank us and say we saved them, response:	some people will never make it home.
context: It isn't that I don't want to go home, but I wasn't really sure about it.\If I can have time to think it over, that's just as good.\It doesn't mean we'll never get home, does it?\And we can't just leave the People of the Land.\It didn't\go well for us in Safil...\Even if they thank us and say we saved them,\some people will never make it home. response:	I don't know if we'll be able to go home.
context: If I can have time to think it over, that's just as good.\It doesn't mean we'll never get home, does it?\And we can't just leave the People of the Land.\It didn't\go well for us in Safil...\Even if they thank us and say we saved them,\some people will never make it home.\I don't know if we'll be able to go home. response:	But being able to go home makes you happy, right?
context: It doesn't mean we'll never get home, does it?\And we can't just leave the People of the Land.\It didn't\go well for us in Safil...\Even if they thank us and say we saved them,\some people will never make it home.\I don't know if we'll be able to go home.\But being able to go home makes you happy, right? response:	So we need to make everyone happy!
context: And we can't just leave the People of the Land.\It didn't\go well for us in Safil...\Even if they thank us and say we saved them,\some people will never make it home.\I don't know if we'll be able to go home.\But being able to go home makes you happy, right?\So we need to make everyone happy! response:	We can go home after we do that!
context: It didn't\go well for us in Safil...\Even if they thank us and say we saved them,\some people will never make it home.\I don't know if we'll be able to go home.\But being able to go home makes you happy, right?\So we need to make everyone happy!\We can go home after we do that! response:	You lack resolve, guild master.
context: go well for us in Safil...\Even if they thank us and say we saved them,\some people will never make it home.\I don't know if we'll be able to go home.\But being able to go home makes you happy, right?\So we need to make everyone happy!\We can go home after we do that!\You lack resolve, guild master. response:	Just focus on what you can do!
context: Even if they thank us and say we saved them,\some people will never make it home.\I don't know if we'll be able to go home.\But being able to go home makes you happy, right?\So we need to make everyone happy!\We can go home after we do that!\You lack resolve, guild master.\Just focus on what you can do! response:	I don't know what I can do.
context: some people will never make it home.\I don't know if we'll be able to go home.\But being able to go home makes you happy, right?\So we need to make everyone happy!\We can go home after we do that!\You lack resolve, guild master.\Just focus on what you can do!\I don't know what I can do. response:	But I won't let you bear the burden alone.
context: I don't know if we'll be able to go home.\But being able to go home makes you happy, right?\So we need to make everyone happy!\We can go home after we do that!\You lack resolve, guild master.\Just focus on what you can do!\I don't know what I can do.\But I won't let you bear the burden alone. response:	We...
context: But being able to go home makes you happy, right?\So we need to make everyone happy!\We can go home after we do that!\You lack resolve, guild master.\Just focus on what you can do!\I don't know what I can do.\But I won't let you bear the burden alone.\We... response:	I will bear it with you!
context: So we need to make everyone happy!\We can go home after we do that!\You lack resolve, guild master.\Just focus on what you can do!\I don't know what I can do.\But I won't let you bear the burden alone.\We...\I will bear it with you! response:	So...
context: We can go home after we do that!\You lack resolve, guild master.\Just focus on what you can do!\I don't know what I can do.\But I won't let you bear the burden alone.\We...\I will bear it with you!\So... response:	You heard them.
context: You lack resolve, guild master.\Just focus on what you can do!\I don't know what I can do.\But I won't let you bear the burden alone.\We...\I will bear it with you!\So...\You heard them. response:	Shiroe...
context: Just focus on what you can do!\I don't know what I can do.\But I won't let you bear the burden alone.\We...\I will bear it with you!\So...\You heard them.\Shiroe... response:	But...
context: I don't know what I can do.\But I won't let you bear the burden alone.\We...\I will bear it with you!\So...\You heard them.\Shiroe...\But... response:	It's okay.
context: But I won't let you bear the burden alone.\We...\I will bear it with you!\So...\You heard them.\Shiroe...\But...\It's okay. response:	You'll be fine, no matter what.
context: We...\I will bear it with you!\So...\You heard them.\Shiroe...\But...\It's okay.\You'll be fine, no matter what. response:	Akatsuki...
context: I will bear it with you!\So...\You heard them.\Shiroe...\But...\It's okay.\You'll be fine, no matter what.\Akatsuki... response:	Yes?
context: So...\You heard them.\Shiroe...\But...\It's okay.\You'll be fine, no matter what.\Akatsuki...\Yes? response:	Hey, you're safe?
context: You heard them.\Shiroe...\But...\It's okay.\You'll be fine, no matter what.\Akatsuki...\Yes?\Hey, you're safe? response:	We couldn't reach you with telepathy,
context: Shiroe...\But...\It's okay.\You'll be fine, no matter what.\Akatsuki...\Yes?\Hey, you're safe?\We couldn't reach you with telepathy, response:	so I got worried and came to look
context: But...\It's okay.\You'll be fine, no matter what.\Akatsuki...\Yes?\Hey, you're safe?\We couldn't reach you with telepathy,\so I got worried and came to look response:	Wait.
context: It's okay.\You'll be fine, no matter what.\Akatsuki...\Yes?\Hey, you're safe?\We couldn't reach you with telepathy,\so I got worried and came to look\Wait. response:	Someone's in front of the antenna.
context: You'll be fine, no matter what.\Akatsuki...\Yes?\Hey, you're safe?\We couldn't reach you with telepathy,\so I got worried and came to look\Wait.\Someone's in front of the antenna. response:	I can't see his status from here.
context: Akatsuki...\Yes?\Hey, you're safe?\We couldn't reach you with telepathy,\so I got worried and came to look\Wait.\Someone's in front of the antenna.\I can't see his status from here. response:	But most likely...
context: Yes?\Hey, you're safe?\We couldn't reach you with telepathy,\so I got worried and came to look\Wait.\Someone's in front of the antenna.\I can't see his status from here.\But most likely... response:	Understood.
context: Hey, you're safe?\We couldn't reach you with telepathy,\so I got worried and came to look\Wait.\Someone's in front of the antenna.\I can't see his status from here.\But most likely...\Understood. response:	Woodstock, you return to Akihabara and bolster the defenses.
context: We couldn't reach you with telepathy,\so I got worried and came to look\Wait.\Someone's in front of the antenna.\I can't see his status from here.\But most likely...\Understood.\Woodstock, you return to Akihabara and bolster the defenses. response:	The raid boss.
context: so I got worried and came to look\Wait.\Someone's in front of the antenna.\I can't see his status from here.\But most likely...\Understood.\Woodstock, you return to Akihabara and bolster the defenses.\The raid boss. response:	He wasn't there when we investigated, right?
context: Wait.\Someone's in front of the antenna.\I can't see his status from here.\But most likely...\Understood.\Woodstock, you return to Akihabara and bolster the defenses.\The raid boss.\He wasn't there when we investigated, right? response:	Maybe he spawns when the moon rises?
context: Someone's in front of the antenna.\I can't see his status from here.\But most likely...\Understood.\Woodstock, you return to Akihabara and bolster the defenses.\The raid boss.\He wasn't there when we investigated, right?\Maybe he spawns when the moon rises? response:	Like the eternal moths?
context: I can't see his status from here.\But most likely...\Understood.\Woodstock, you return to Akihabara and bolster the defenses.\The raid boss.\He wasn't there when we investigated, right?\Maybe he spawns when the moon rises?\Like the eternal moths? response:	What a pain.
context: But most likely...\Understood.\Woodstock, you return to Akihabara and bolster the defenses.\The raid boss.\He wasn't there when we investigated, right?\Maybe he spawns when the moon rises?\Like the eternal moths?\What a pain. response:	Which means if we defeat him...
context: Understood.\Woodstock, you return to Akihabara and bolster the defenses.\The raid boss.\He wasn't there when we investigated, right?\Maybe he spawns when the moon rises?\Like the eternal moths?\What a pain.\Which means if we defeat him... response:	The moths might all disappear, too!
context: Woodstock, you return to Akihabara and bolster the defenses.\The raid boss.\He wasn't there when we investigated, right?\Maybe he spawns when the moon rises?\Like the eternal moths?\What a pain.\Which means if we defeat him...\The moths might all disappear, too! response:	I don't know if he'll be that easy to handle...
context: The raid boss.\He wasn't there when we investigated, right?\Maybe he spawns when the moon rises?\Like the eternal moths?\What a pain.\Which means if we defeat him...\The moths might all disappear, too!\I don't know if he'll be that easy to handle... response:	But the weird parts of this are still a game.
context: He wasn't there when we investigated, right?\Maybe he spawns when the moon rises?\Like the eternal moths?\What a pain.\Which means if we defeat him...\The moths might all disappear, too!\I don't know if he'll be that easy to handle...\But the weird parts of this are still a game. response:	Thank you, Henrietta.
context: Maybe he spawns when the moon rises?\Like the eternal moths?\What a pain.\Which means if we defeat him...\The moths might all disappear, too!\I don't know if he'll be that easy to handle...\But the weird parts of this are still a game.\Thank you, Henrietta. response:	Antenna... MP... Raid boss, huh?
context: Like the eternal moths?\What a pain.\Which means if we defeat him...\The moths might all disappear, too!\I don't know if he'll be that easy to handle...\But the weird parts of this are still a game.\Thank you, Henrietta.\Antenna... MP... Raid boss, huh? response:	Meow.
context: What a pain.\Which means if we defeat him...\The moths might all disappear, too!\I don't know if he'll be that easy to handle...\But the weird parts of this are still a game.\Thank you, Henrietta.\Antenna... MP... Raid boss, huh?\Meow. response:	There are thirty-four minutes until moonrise.
context: Which means if we defeat him...\The moths might all disappear, too!\I don't know if he'll be that easy to handle...\But the weird parts of this are still a game.\Thank you, Henrietta.\Antenna... MP... Raid boss, huh?\Meow.\There are thirty-four minutes until moonrise. response:	There's no time
context: The moths might all disappear, too!\I don't know if he'll be that easy to handle...\But the weird parts of this are still a game.\Thank you, Henrietta.\Antenna... MP... Raid boss, huh?\Meow.\There are thirty-four minutes until moonrise.\There's no time response:	Thirty minutes is plenty.
context: I don't know if he'll be that easy to handle...\But the weird parts of this are still a game.\Thank you, Henrietta.\Antenna... MP... Raid boss, huh?\Meow.\There are thirty-four minutes until moonrise.\There's no time\Thirty minutes is plenty. response:	It was never possible to choose either the world or the antenna.
context: But the weird parts of this are still a game.\Thank you, Henrietta.\Antenna... MP... Raid boss, huh?\Meow.\There are thirty-four minutes until moonrise.\There's no time\Thirty minutes is plenty.\It was never possible to choose either the world or the antenna. response:	Pick one? That's impossible.
context: Thank you, Henrietta.\Antenna... MP... Raid boss, huh?\Meow.\There are thirty-four minutes until moonrise.\There's no time\Thirty minutes is plenty.\It was never possible to choose either the world or the antenna.\Pick one? That's impossible. response:	So we won't choose.
context: Antenna... MP... Raid boss, huh?\Meow.\There are thirty-four minutes until moonrise.\There's no time\Thirty minutes is plenty.\It was never possible to choose either the world or the antenna.\Pick one? That's impossible.\So we won't choose. response:	We'll just tear apart this nonsense.
context: Meow.\There are thirty-four minutes until moonrise.\There's no time\Thirty minutes is plenty.\It was never possible to choose either the world or the antenna.\Pick one? That's impossible.\So we won't choose.\We'll just tear apart this nonsense. response:	Let's save them both.
context: There are thirty-four minutes until moonrise.\There's no time\Thirty minutes is plenty.\It was never possible to choose either the world or the antenna.\Pick one? That's impossible.\So we won't choose.\We'll just tear apart this nonsense.\Let's save them both. response:	The world and the antenna.
context: There's no time\Thirty minutes is plenty.\It was never possible to choose either the world or the antenna.\Pick one? That's impossible.\So we won't choose.\We'll just tear apart this nonsense.\Let's save them both.\The world and the antenna. response:	I'll show you what two birds with one stone really means.
context: Thirty minutes is plenty.\It was never possible to choose either the world or the antenna.\Pick one? That's impossible.\So we won't choose.\We'll just tear apart this nonsense.\Let's save them both.\The world and the antenna.\I'll show you what two birds with one stone really means. response:	The counterattack begins.
context: It was never possible to choose either the world or the antenna.\Pick one? That's impossible.\So we won't choose.\We'll just tear apart this nonsense.\Let's save them both.\The world and the antenna.\I'll show you what two birds with one stone really means.\The counterattack begins. response:	Shining glasses and sharpened minds.
context: Pick one? That's impossible.\So we won't choose.\We'll just tear apart this nonsense.\Let's save them both.\The world and the antenna.\I'll show you what two birds with one stone really means.\The counterattack begins.\Shining glasses and sharpened minds. response:	Friends you can believe in.
context: So we won't choose.\We'll just tear apart this nonsense.\Let's save them both.\The world and the antenna.\I'll show you what two birds with one stone really means.\The counterattack begins.\Shining glasses and sharpened minds.\Friends you can believe in. response:	They won't pick just one anymore.
context: We'll just tear apart this nonsense.\Let's save them both.\The world and the antenna.\I'll show you what two birds with one stone really means.\The counterattack begins.\Shining glasses and sharpened minds.\Friends you can believe in.\They won't pick just one anymore. response:	They'll protect everything.
context: Let's save them both.\The world and the antenna.\I'll show you what two birds with one stone really means.\The counterattack begins.\Shining glasses and sharpened minds.\Friends you can believe in.\They won't pick just one anymore.\They'll protect everything. response:	That is their answer.
context: The world and the antenna.\I'll show you what two birds with one stone really means.\The counterattack begins.\Shining glasses and sharpened minds.\Friends you can believe in.\They won't pick just one anymore.\They'll protect everything.\That is their answer. response:	At the end of the battle, they reach a place where Shiroe takes on a new quest.
context: I'll show you what two birds with one stone really means.\The counterattack begins.\Shining glasses and sharpened minds.\Friends you can believe in.\They won't pick just one anymore.\They'll protect everything.\That is their answer.\At the end of the battle, they reach a place where Shiroe takes on a new quest. response:	For the two worlds he loves so much.
context: The counterattack begins.\Shining glasses and sharpened minds.\Friends you can believe in.\They won't pick just one anymore.\They'll protect everything.\That is their answer.\At the end of the battle, they reach a place where Shiroe takes on a new quest.\For the two worlds he loves so much. response:	The Pioneers
context: Shining glasses and sharpened minds.\Friends you can believe in.\They won't pick just one anymore.\They'll protect everything.\That is their answer.\At the end of the battle, they reach a place where Shiroe takes on a new quest.\For the two worlds he loves so much.\The Pioneers response:	Next time: The Pioneers.
context: Friends you can believe in.\They won't pick just one anymore.\They'll protect everything.\That is their answer.\At the end of the battle, they reach a place where Shiroe takes on a new quest.\For the two worlds he loves so much.\The Pioneers\Next time: The Pioneers. response:	Cross over the horizon.
