context: You're kidding... response:	Was this designed to be impossible?
context: I'll come back to everyone.\Let's do this, people!\Let's go plant our flag!\That's right.\I'll return to everyone.\And...\One, two, three, four.\The count sounds. response:	Three raid bosses.
context: Let's do this, people!\Let's go plant our flag!\That's right.\I'll return to everyone.\And...\One, two, three, four.\The count sounds.\Three raid bosses. response:	Preparations are complete.
context: Let's go plant our flag!\That's right.\I'll return to everyone.\And...\One, two, three, four.\The count sounds.\Three raid bosses.\Preparations are complete. response:	Weapons in their hands.
context: That's right.\I'll return to everyone.\And...\One, two, three, four.\The count sounds.\Three raid bosses.\Preparations are complete.\Weapons in their hands. response:	Maps in their eyes.
context: I'll return to everyone.\And...\One, two, three, four.\The count sounds.\Three raid bosses.\Preparations are complete.\Weapons in their hands.\Maps in their eyes. response:	The plan in their heads.
context: And...\One, two, three, four.\The count sounds.\Three raid bosses.\Preparations are complete.\Weapons in their hands.\Maps in their eyes.\The plan in their heads. response:	Their odds of winning are fifteen percent.
context: One, two, three, four.\The count sounds.\Three raid bosses.\Preparations are complete.\Weapons in their hands.\Maps in their eyes.\The plan in their heads.\Their odds of winning are fifteen percent. response:	But their comrades are with them to try again.
context: The count sounds.\Three raid bosses.\Preparations are complete.\Weapons in their hands.\Maps in their eyes.\The plan in their heads.\Their odds of winning are fifteen percent.\But their comrades are with them to try again. response:	Next time: Retry.
context: Three raid bosses.\Preparations are complete.\Weapons in their hands.\Maps in their eyes.\The plan in their heads.\Their odds of winning are fifteen percent.\But their comrades are with them to try again.\Next time: Retry. response:	Retry
context: Preparations are complete.\Weapons in their hands.\Maps in their eyes.\The plan in their heads.\Their odds of winning are fifteen percent.\But their comrades are with them to try again.\Next time: Retry.\Retry response:	Rise up once more.
