context: Another unusable batch retrieved from Vega. response:	The warp transport deteriorated the Rare Iguras. They're completely ruined.
context: kokoro ga koko ni atta hazu no kuudou\motto boku ga ookikereba\kimi wo mirai wo sukueta darou ka\taisetsu na hito wo mamoru sube ga tatta hitotsu shika motenai\sonna anata ga haguretadayou sora\anata ijou no hito ni deaenai\tsuki ni aragau nagai furea\hajimaru mo sezu owaru monogatari response:	kizutsukiuru yawarakasa
context: motto boku ga ookikereba\kimi wo mirai wo sukueta darou ka\taisetsu na hito wo mamoru sube ga tatta hitotsu shika motenai\sonna anata ga haguretadayou sora\anata ijou no hito ni deaenai\tsuki ni aragau nagai furea\hajimaru mo sezu owaru monogatari\kizutsukiuru yawarakasa response:	tojikometa senritsu kanaderu hodo
context: kimi wo mirai wo sukueta darou ka\taisetsu na hito wo mamoru sube ga tatta hitotsu shika motenai\sonna anata ga haguretadayou sora\anata ijou no hito ni deaenai\tsuki ni aragau nagai furea\hajimaru mo sezu owaru monogatari\kizutsukiuru yawarakasa\tojikometa senritsu kanaderu hodo response:	utau hodo kowareru hodo ni
context: taisetsu na hito wo mamoru sube ga tatta hitotsu shika motenai\sonna anata ga haguretadayou sora\anata ijou no hito ni deaenai\tsuki ni aragau nagai furea\hajimaru mo sezu owaru monogatari\kizutsukiuru yawarakasa\tojikometa senritsu kanaderu hodo\utau hodo kowareru hodo ni response:	anata ga koishii
context: sonna anata ga haguretadayou sora\anata ijou no hito ni deaenai\tsuki ni aragau nagai furea\hajimaru mo sezu owaru monogatari\kizutsukiuru yawarakasa\tojikometa senritsu kanaderu hodo\utau hodo kowareru hodo ni\anata ga koishii response:	We weren't spirited away on the wind
context: anata ijou no hito ni deaenai\tsuki ni aragau nagai furea\hajimaru mo sezu owaru monogatari\kizutsukiuru yawarakasa\tojikometa senritsu kanaderu hodo\utau hodo kowareru hodo ni\anata ga koishii\We weren't spirited away on the wind response:	We knew we could never return, and found the courage
context: tsuki ni aragau nagai furea\hajimaru mo sezu owaru monogatari\kizutsukiuru yawarakasa\tojikometa senritsu kanaderu hodo\utau hodo kowareru hodo ni\anata ga koishii\We weren't spirited away on the wind\We knew we could never return, and found the courage response:	to accept the hardship
context: hajimaru mo sezu owaru monogatari\kizutsukiuru yawarakasa\tojikometa senritsu kanaderu hodo\utau hodo kowareru hodo ni\anata ga koishii\We weren't spirited away on the wind\We knew we could never return, and found the courage\to accept the hardship response:	There's an emptiness where my heart used to be
context: kizutsukiuru yawarakasa\tojikometa senritsu kanaderu hodo\utau hodo kowareru hodo ni\anata ga koishii\We weren't spirited away on the wind\We knew we could never return, and found the courage\to accept the hardship\There's an emptiness where my heart used to be response:	If only I was stronger
context: tojikometa senritsu kanaderu hodo\utau hodo kowareru hodo ni\anata ga koishii\We weren't spirited away on the wind\We knew we could never return, and found the courage\to accept the hardship\There's an emptiness where my heart used to be\If only I was stronger response:	I could have saved you, and our future...
context: utau hodo kowareru hodo ni\anata ga koishii\We weren't spirited away on the wind\We knew we could never return, and found the courage\to accept the hardship\There's an emptiness where my heart used to be\If only I was stronger\I could have saved you, and our future... response:	I only know of one way to keep the people I love
context: anata ga koishii\We weren't spirited away on the wind\We knew we could never return, and found the courage\to accept the hardship\There's an emptiness where my heart used to be\If only I was stronger\I could have saved you, and our future...\I only know of one way to keep the people I love response:	And you left me and disappeared into the sky
context: We weren't spirited away on the wind\We knew we could never return, and found the courage\to accept the hardship\There's an emptiness where my heart used to be\If only I was stronger\I could have saved you, and our future...\I only know of one way to keep the people I love\And you left me and disappeared into the sky response:	I'll never find anyone like you again
context: We knew we could never return, and found the courage\to accept the hardship\There's an emptiness where my heart used to be\If only I was stronger\I could have saved you, and our future...\I only know of one way to keep the people I love\And you left me and disappeared into the sky\I'll never find anyone like you again response:	A long flare reaches out against the moon
context: to accept the hardship\There's an emptiness where my heart used to be\If only I was stronger\I could have saved you, and our future...\I only know of one way to keep the people I love\And you left me and disappeared into the sky\I'll never find anyone like you again\A long flare reaches out against the moon response:	The story ends before it could even begin
context: There's an emptiness where my heart used to be\If only I was stronger\I could have saved you, and our future...\I only know of one way to keep the people I love\And you left me and disappeared into the sky\I'll never find anyone like you again\A long flare reaches out against the moon\The story ends before it could even begin response:	So soft, so fragile
context: If only I was stronger\I could have saved you, and our future...\I only know of one way to keep the people I love\And you left me and disappeared into the sky\I'll never find anyone like you again\A long flare reaches out against the moon\The story ends before it could even begin\So soft, so fragile response:	I will call up the melody locked away
context: I could have saved you, and our future...\I only know of one way to keep the people I love\And you left me and disappeared into the sky\I'll never find anyone like you again\A long flare reaches out against the moon\The story ends before it could even begin\So soft, so fragile\I will call up the melody locked away response:	And sing it until I destroy myself
context: I only know of one way to keep the people I love\And you left me and disappeared into the sky\I'll never find anyone like you again\A long flare reaches out against the moon\The story ends before it could even begin\So soft, so fragile\I will call up the melody locked away\And sing it until I destroy myself response:	That's how much I love you
