context: Sun Mon Tue Wed Thu Fri Sat response:	Training Camp
context: Hey, Kenma. What do you think?\I don't care either way.\I knew you'd say that.\But...\Huh?\I'm kind of looking forward to it.\Our match against Karasuno.\Kenma, who has no will to play, is looking forward to a match? response:	Yamamoto, you seem full of energy.
context: I don't care either way.\I knew you'd say that.\But...\Huh?\I'm kind of looking forward to it.\Our match against Karasuno.\Kenma, who has no will to play, is looking forward to a match?\Yamamoto, you seem full of energy. response:	You can practice double the amount if you'd like.
context: I knew you'd say that.\But...\Huh?\I'm kind of looking forward to it.\Our match against Karasuno.\Kenma, who has no will to play, is looking forward to a match?\Yamamoto, you seem full of energy.\You can practice double the amount if you'd like. response:	S-Sorry.
context: But...\Huh?\I'm kind of looking forward to it.\Our match against Karasuno.\Kenma, who has no will to play, is looking forward to a match?\Yamamoto, you seem full of energy.\You can practice double the amount if you'd like.\S-Sorry. response:	Hey, Hinata.
context: Huh?\I'm kind of looking forward to it.\Our match against Karasuno.\Kenma, who has no will to play, is looking forward to a match?\Yamamoto, you seem full of energy.\You can practice double the amount if you'd like.\S-Sorry.\Hey, Hinata. response:	They said it's our turn to bathe.
context: I'm kind of looking forward to it.\Our match against Karasuno.\Kenma, who has no will to play, is looking forward to a match?\Yamamoto, you seem full of energy.\You can practice double the amount if you'd like.\S-Sorry.\Hey, Hinata.\They said it's our turn to bathe. response:	Hey. Don't get all worked up again and barf.
context: Our match against Karasuno.\Kenma, who has no will to play, is looking forward to a match?\Yamamoto, you seem full of energy.\You can practice double the amount if you'd like.\S-Sorry.\Hey, Hinata.\They said it's our turn to bathe.\Hey. Don't get all worked up again and barf. response:	I won't barf.
context: Kenma, who has no will to play, is looking forward to a match?\Yamamoto, you seem full of energy.\You can practice double the amount if you'd like.\S-Sorry.\Hey, Hinata.\They said it's our turn to bathe.\Hey. Don't get all worked up again and barf.\I won't barf. response:	I know it goes without saying, but even if they can't play in the match,
context: Yamamoto, you seem full of energy.\You can practice double the amount if you'd like.\S-Sorry.\Hey, Hinata.\They said it's our turn to bathe.\Hey. Don't get all worked up again and barf.\I won't barf.\I know it goes without saying, but even if they can't play in the match, response:	I know they still want to play.
context: You can practice double the amount if you'd like.\S-Sorry.\Hey, Hinata.\They said it's our turn to bathe.\Hey. Don't get all worked up again and barf.\I won't barf.\I know it goes without saying, but even if they can't play in the match,\I know they still want to play. response:	I'm only allowed to play because of your toss.
context: S-Sorry.\Hey, Hinata.\They said it's our turn to bathe.\Hey. Don't get all worked up again and barf.\I won't barf.\I know it goes without saying, but even if they can't play in the match,\I know they still want to play.\I'm only allowed to play because of your toss. response:	It's frustrating, but I wouldn't be allowed on my own merit.
context: Hey, Hinata.\They said it's our turn to bathe.\Hey. Don't get all worked up again and barf.\I won't barf.\I know it goes without saying, but even if they can't play in the match,\I know they still want to play.\I'm only allowed to play because of your toss.\It's frustrating, but I wouldn't be allowed on my own merit. response:	I'm taking a bath and going to sleep right away.
context: They said it's our turn to bathe.\Hey. Don't get all worked up again and barf.\I won't barf.\I know it goes without saying, but even if they can't play in the match,\I know they still want to play.\I'm only allowed to play because of your toss.\It's frustrating, but I wouldn't be allowed on my own merit.\I'm taking a bath and going to sleep right away. response:	Damn you, bastard... That was a false start!
context: Hey. Don't get all worked up again and barf.\I won't barf.\I know it goes without saying, but even if they can't play in the match,\I know they still want to play.\I'm only allowed to play because of your toss.\It's frustrating, but I wouldn't be allowed on my own merit.\I'm taking a bath and going to sleep right away.\Damn you, bastard... That was a false start! response:	Why must they compete to see who can bathe the fastest?
context: I won't barf.\I know it goes without saying, but even if they can't play in the match,\I know they still want to play.\I'm only allowed to play because of your toss.\It's frustrating, but I wouldn't be allowed on my own merit.\I'm taking a bath and going to sleep right away.\Damn you, bastard... That was a false start!\Why must they compete to see who can bathe the fastest? response:	They're morons.
context: I know it goes without saying, but even if they can't play in the match,\I know they still want to play.\I'm only allowed to play because of your toss.\It's frustrating, but I wouldn't be allowed on my own merit.\I'm taking a bath and going to sleep right away.\Damn you, bastard... That was a false start!\Why must they compete to see who can bathe the fastest?\They're morons. response:	I get tired just watching them.
context: I know they still want to play.\I'm only allowed to play because of your toss.\It's frustrating, but I wouldn't be allowed on my own merit.\I'm taking a bath and going to sleep right away.\Damn you, bastard... That was a false start!\Why must they compete to see who can bathe the fastest?\They're morons.\I get tired just watching them. response:	Hey! Who's running?
context: I'm only allowed to play because of your toss.\It's frustrating, but I wouldn't be allowed on my own merit.\I'm taking a bath and going to sleep right away.\Damn you, bastard... That was a false start!\Why must they compete to see who can bathe the fastest?\They're morons.\I get tired just watching them.\Hey! Who's running? response:	Karasuno High School Volleyball Club
context: It's frustrating, but I wouldn't be allowed on my own merit.\I'm taking a bath and going to sleep right away.\Damn you, bastard... That was a false start!\Why must they compete to see who can bathe the fastest?\They're morons.\I get tired just watching them.\Hey! Who's running?\Karasuno High School Volleyball Club response:	Next Episode Preview
context: I'm taking a bath and going to sleep right away.\Damn you, bastard... That was a false start!\Why must they compete to see who can bathe the fastest?\They're morons.\I get tired just watching them.\Hey! Who's running?\Karasuno High School Volleyball Club\Next Episode Preview response:	The match against Nekoma is around the corner.
context: Damn you, bastard... That was a false start!\Why must they compete to see who can bathe the fastest?\They're morons.\I get tired just watching them.\Hey! Who's running?\Karasuno High School Volleyball Club\Next Episode Preview\The match against Nekoma is around the corner. response:	I must say, that pudding-head, and that comb-head...
context: Why must they compete to see who can bathe the fastest?\They're morons.\I get tired just watching them.\Hey! Who's running?\Karasuno High School Volleyball Club\Next Episode Preview\The match against Nekoma is around the corner.\I must say, that pudding-head, and that comb-head... response:	They're a bunch of unidentified critters.
context: They're morons.\I get tired just watching them.\Hey! Who's running?\Karasuno High School Volleyball Club\Next Episode Preview\The match against Nekoma is around the corner.\I must say, that pudding-head, and that comb-head...\They're a bunch of unidentified critters. response:	Don't worry. They're not that tall.
context: I get tired just watching them.\Hey! Who's running?\Karasuno High School Volleyball Club\Next Episode Preview\The match against Nekoma is around the corner.\I must say, that pudding-head, and that comb-head...\They're a bunch of unidentified critters.\Don't worry. They're not that tall. response:	That means nothing, coming from you.
context: Hey! Who's running?\Karasuno High School Volleyball Club\Next Episode Preview\The match against Nekoma is around the corner.\I must say, that pudding-head, and that comb-head...\They're a bunch of unidentified critters.\Don't worry. They're not that tall.\That means nothing, coming from you. response:	Episode 12: The Neko-Karasu Reunion
context: Karasuno High School Volleyball Club\Next Episode Preview\The match against Nekoma is around the corner.\I must say, that pudding-head, and that comb-head...\They're a bunch of unidentified critters.\Don't worry. They're not that tall.\That means nothing, coming from you.\Episode 12: The Neko-Karasu Reunion response:	Next time on Haikyu!! : The Neko-Karasu Reunion
