context: Mashiro-kun! response:	We did it!
context: Mashiro-kun...\Next time we see each other...\Let's kiss.\What are you saying Azuki!!\Is this all because I held her hand?!\But how does that lead to kissing?!\This isn't like her!\So let's not meet again. response:	Until our dream comes true.
context: Next time we see each other...\Let's kiss.\What are you saying Azuki!!\Is this all because I held her hand?!\But how does that lead to kissing?!\This isn't like her!\So let's not meet again.\Until our dream comes true. response:	That's just like Azuki!
context: Let's kiss.\What are you saying Azuki!!\Is this all because I held her hand?!\But how does that lead to kissing?!\This isn't like her!\So let's not meet again.\Until our dream comes true.\That's just like Azuki! response:	He can't be like that just from seeing her...
context: What are you saying Azuki!!\Is this all because I held her hand?!\But how does that lead to kissing?!\This isn't like her!\So let's not meet again.\Until our dream comes true.\That's just like Azuki!\He can't be like that just from seeing her... response:	I told you, he's just happy she didn't audition.
context: Is this all because I held her hand?!\But how does that lead to kissing?!\This isn't like her!\So let's not meet again.\Until our dream comes true.\That's just like Azuki!\He can't be like that just from seeing her...\I told you, he's just happy she didn't audition. response:	Something else must have happened!
context: But how does that lead to kissing?!\This isn't like her!\So let's not meet again.\Until our dream comes true.\That's just like Azuki!\He can't be like that just from seeing her...\I told you, he's just happy she didn't audition.\Something else must have happened! response:	What do you mean?
context: This isn't like her!\So let's not meet again.\Until our dream comes true.\That's just like Azuki!\He can't be like that just from seeing her...\I told you, he's just happy she didn't audition.\Something else must have happened!\What do you mean? response:	Don't tell me...
context: So let's not meet again.\Until our dream comes true.\That's just like Azuki!\He can't be like that just from seeing her...\I told you, he's just happy she didn't audition.\Something else must have happened!\What do you mean?\Don't tell me... response:	Just watch!
context: Until our dream comes true.\That's just like Azuki!\He can't be like that just from seeing her...\I told you, he's just happy she didn't audition.\Something else must have happened!\What do you mean?\Don't tell me...\Just watch! response:	Idiot!
context: That's just like Azuki!\He can't be like that just from seeing her...\I told you, he's just happy she didn't audition.\Something else must have happened!\What do you mean?\Don't tell me...\Just watch!\Idiot! response:	Don't...
context: He can't be like that just from seeing her...\I told you, he's just happy she didn't audition.\Something else must have happened!\What do you mean?\Don't tell me...\Just watch!\Idiot!\Don't... response:	Mashiro-kun!
context: I told you, he's just happy she didn't audition.\Something else must have happened!\What do you mean?\Don't tell me...\Just watch!\Idiot!\Don't...\Mashiro-kun! response:	Did something happen between you and Miho?
context: Something else must have happened!\What do you mean?\Don't tell me...\Just watch!\Idiot!\Don't...\Mashiro-kun!\Did something happen between you and Miho? response:	I can see it on your face!
context: What do you mean?\Don't tell me...\Just watch!\Idiot!\Don't...\Mashiro-kun!\Did something happen between you and Miho?\I can see it on your face! response:	Eh? My face! No way!
context: Don't tell me...\Just watch!\Idiot!\Don't...\Mashiro-kun!\Did something happen between you and Miho?\I can see it on your face!\Eh? My face! No way! response:	Tell us what happened!
context: Just watch!\Idiot!\Don't...\Mashiro-kun!\Did something happen between you and Miho?\I can see it on your face!\Eh? My face! No way!\Tell us what happened! response:	Oh nothing really.
context: Idiot!\Don't...\Mashiro-kun!\Did something happen between you and Miho?\I can see it on your face!\Eh? My face! No way!\Tell us what happened!\Oh nothing really. response:	Liar! I bet you kissed.
context: Don't...\Mashiro-kun!\Did something happen between you and Miho?\I can see it on your face!\Eh? My face! No way!\Tell us what happened!\Oh nothing really.\Liar! I bet you kissed. response:	Kiss? No way! We didn't kiss!
context: Mashiro-kun!\Did something happen between you and Miho?\I can see it on your face!\Eh? My face! No way!\Tell us what happened!\Oh nothing really.\Liar! I bet you kissed.\Kiss? No way! We didn't kiss! response:	Tell us!
context: Did something happen between you and Miho?\I can see it on your face!\Eh? My face! No way!\Tell us what happened!\Oh nothing really.\Liar! I bet you kissed.\Kiss? No way! We didn't kiss!\Tell us! response:	Hands?
context: I can see it on your face!\Eh? My face! No way!\Tell us what happened!\Oh nothing really.\Liar! I bet you kissed.\Kiss? No way! We didn't kiss!\Tell us!\Hands? response:	All you did was hold hands?!
context: Eh? My face! No way!\Tell us what happened!\Oh nothing really.\Liar! I bet you kissed.\Kiss? No way! We didn't kiss!\Tell us!\Hands?\All you did was hold hands?! response:	That is just like you guys.
context: Tell us what happened!\Oh nothing really.\Liar! I bet you kissed.\Kiss? No way! We didn't kiss!\Tell us!\Hands?\All you did was hold hands?!\That is just like you guys. response:	What are you, in middle school?
context: Oh nothing really.\Liar! I bet you kissed.\Kiss? No way! We didn't kiss!\Tell us!\Hands?\All you did was hold hands?!\That is just like you guys.\What are you, in middle school? response:	Shut up! We're just taking it slow!
context: Liar! I bet you kissed.\Kiss? No way! We didn't kiss!\Tell us!\Hands?\All you did was hold hands?!\That is just like you guys.\What are you, in middle school?\Shut up! We're just taking it slow! response:	Azuki Miho!
context: Kiss? No way! We didn't kiss!\Tell us!\Hands?\All you did was hold hands?!\That is just like you guys.\What are you, in middle school?\Shut up! We're just taking it slow!\Azuki Miho! response:	I won't forgive her!
context: Tell us!\Hands?\All you did was hold hands?!\That is just like you guys.\What are you, in middle school?\Shut up! We're just taking it slow!\Azuki Miho!\I won't forgive her! response:	I'll make sure she regrets leaving my audition.
context: Hands?\All you did was hold hands?!\That is just like you guys.\What are you, in middle school?\Shut up! We're just taking it slow!\Azuki Miho!\I won't forgive her!\I'll make sure she regrets leaving my audition. response:	She'll never have work as a voice actor again!
context: All you did was hold hands?!\That is just like you guys.\What are you, in middle school?\Shut up! We're just taking it slow!\Azuki Miho!\I won't forgive her!\I'll make sure she regrets leaving my audition.\She'll never have work as a voice actor again! response:	I'll drag Ashirogi Muto down!
context: That is just like you guys.\What are you, in middle school?\Shut up! We're just taking it slow!\Azuki Miho!\I won't forgive her!\I'll make sure she regrets leaving my audition.\She'll never have work as a voice actor again!\I'll drag Ashirogi Muto down! response:	No matter what it takes!
context: What are you, in middle school?\Shut up! We're just taking it slow!\Azuki Miho!\I won't forgive her!\I'll make sure she regrets leaving my audition.\She'll never have work as a voice actor again!\I'll drag Ashirogi Muto down!\No matter what it takes! response:	Now spill all of your ideas.
context: Shut up! We're just taking it slow!\Azuki Miho!\I won't forgive her!\I'll make sure she regrets leaving my audition.\She'll never have work as a voice actor again!\I'll drag Ashirogi Muto down!\No matter what it takes!\Now spill all of your ideas. response:	You know Ashirogi-kun isn't just fooling around.
context: Azuki Miho!\I won't forgive her!\I'll make sure she regrets leaving my audition.\She'll never have work as a voice actor again!\I'll drag Ashirogi Muto down!\No matter what it takes!\Now spill all of your ideas.\You know Ashirogi-kun isn't just fooling around. response:	They're very serious.
context: I won't forgive her!\I'll make sure she regrets leaving my audition.\She'll never have work as a voice actor again!\I'll drag Ashirogi Muto down!\No matter what it takes!\Now spill all of your ideas.\You know Ashirogi-kun isn't just fooling around.\They're very serious. response:	You're on their side?!
context: I'll make sure she regrets leaving my audition.\She'll never have work as a voice actor again!\I'll drag Ashirogi Muto down!\No matter what it takes!\Now spill all of your ideas.\You know Ashirogi-kun isn't just fooling around.\They're very serious.\You're on their side?! response:	Come to think of it, you helped them make PCP didn't you...
context: She'll never have work as a voice actor again!\I'll drag Ashirogi Muto down!\No matter what it takes!\Now spill all of your ideas.\You know Ashirogi-kun isn't just fooling around.\They're very serious.\You're on their side?!\Come to think of it, you helped them make PCP didn't you... response:	I am +Natural's editor!
context: I'll drag Ashirogi Muto down!\No matter what it takes!\Now spill all of your ideas.\You know Ashirogi-kun isn't just fooling around.\They're very serious.\You're on their side?!\Come to think of it, you helped them make PCP didn't you...\I am +Natural's editor! response:	I believe in your talent!
context: No matter what it takes!\Now spill all of your ideas.\You know Ashirogi-kun isn't just fooling around.\They're very serious.\You're on their side?!\Come to think of it, you helped them make PCP didn't you...\I am +Natural's editor!\I believe in your talent! response:	Seriously.
context: Now spill all of your ideas.\You know Ashirogi-kun isn't just fooling around.\They're very serious.\You're on their side?!\Come to think of it, you helped them make PCP didn't you...\I am +Natural's editor!\I believe in your talent!\Seriously. response:	Authors should compete with their content.
context: You know Ashirogi-kun isn't just fooling around.\They're very serious.\You're on their side?!\Come to think of it, you helped them make PCP didn't you...\I am +Natural's editor!\I believe in your talent!\Seriously.\Authors should compete with their content. response:	That's the best help I can offer.
context: They're very serious.\You're on their side?!\Come to think of it, you helped them make PCP didn't you...\I am +Natural's editor!\I believe in your talent!\Seriously.\Authors should compete with their content.\That's the best help I can offer. response:	Then give me another idea!
context: You're on their side?!\Come to think of it, you helped them make PCP didn't you...\I am +Natural's editor!\I believe in your talent!\Seriously.\Authors should compete with their content.\That's the best help I can offer.\Then give me another idea! response:	Hattori would have done a much better job.
context: Come to think of it, you helped them make PCP didn't you...\I am +Natural's editor!\I believe in your talent!\Seriously.\Authors should compete with their content.\That's the best help I can offer.\Then give me another idea!\Hattori would have done a much better job. response:	Well! Hurry up!
context: I am +Natural's editor!\I believe in your talent!\Seriously.\Authors should compete with their content.\That's the best help I can offer.\Then give me another idea!\Hattori would have done a much better job.\Well! Hurry up! response:	Ok... Where did we leave off last time?
context: I believe in your talent!\Seriously.\Authors should compete with their content.\That's the best help I can offer.\Then give me another idea!\Hattori would have done a much better job.\Well! Hurry up!\Ok... Where did we leave off last time? response:	You mean you don't remember?
context: Seriously.\Authors should compete with their content.\That's the best help I can offer.\Then give me another idea!\Hattori would have done a much better job.\Well! Hurry up!\Ok... Where did we leave off last time?\You mean you don't remember? response:	Sorry!
context: Authors should compete with their content.\That's the best help I can offer.\Then give me another idea!\Hattori would have done a much better job.\Well! Hurry up!\Ok... Where did we leave off last time?\You mean you don't remember?\Sorry! response:	PCP's third chapter is in fifth place.
context: That's the best help I can offer.\Then give me another idea!\Hattori would have done a much better job.\Well! Hurry up!\Ok... Where did we leave off last time?\You mean you don't remember?\Sorry!\PCP's third chapter is in fifth place. response:	Fourth!
context: Then give me another idea!\Hattori would have done a much better job.\Well! Hurry up!\Ok... Where did we leave off last time?\You mean you don't remember?\Sorry!\PCP's third chapter is in fifth place.\Fourth! response:	As long as we're above PCP that should keep Akina happy.
context: Hattori would have done a much better job.\Well! Hurry up!\Ok... Where did we leave off last time?\You mean you don't remember?\Sorry!\PCP's third chapter is in fifth place.\Fourth!\As long as we're above PCP that should keep Akina happy. response:	Hattori, whats wrong?
context: Well! Hurry up!\Ok... Where did we leave off last time?\You mean you don't remember?\Sorry!\PCP's third chapter is in fifth place.\Fourth!\As long as we're above PCP that should keep Akina happy.\Hattori, whats wrong? response:	PCP's third chapter did great right?
context: Ok... Where did we leave off last time?\You mean you don't remember?\Sorry!\PCP's third chapter is in fifth place.\Fourth!\As long as we're above PCP that should keep Akina happy.\Hattori, whats wrong?\PCP's third chapter did great right? response:	You should hurry up and tell them.
context: You mean you don't remember?\Sorry!\PCP's third chapter is in fifth place.\Fourth!\As long as we're above PCP that should keep Akina happy.\Hattori, whats wrong?\PCP's third chapter did great right?\You should hurry up and tell them. response:	Yeah... You're right.
context: Sorry!\PCP's third chapter is in fifth place.\Fourth!\As long as we're above PCP that should keep Akina happy.\Hattori, whats wrong?\PCP's third chapter did great right?\You should hurry up and tell them.\Yeah... You're right. response:	Chapter three is in fifth place.
context: PCP's third chapter is in fifth place.\Fourth!\As long as we're above PCP that should keep Akina happy.\Hattori, whats wrong?\PCP's third chapter did great right?\You should hurry up and tell them.\Yeah... You're right.\Chapter three is in fifth place. response:	Normally that would be great...
context: Fourth!\As long as we're above PCP that should keep Akina happy.\Hattori, whats wrong?\PCP's third chapter did great right?\You should hurry up and tell them.\Yeah... You're right.\Chapter three is in fifth place.\Normally that would be great... response:	They have six months.
context: As long as we're above PCP that should keep Akina happy.\Hattori, whats wrong?\PCP's third chapter did great right?\You should hurry up and tell them.\Yeah... You're right.\Chapter three is in fifth place.\Normally that would be great...\They have six months. response:	We'll see how it goes until chapter 25.
context: Hattori, whats wrong?\PCP's third chapter did great right?\You should hurry up and tell them.\Yeah... You're right.\Chapter three is in fifth place.\Normally that would be great...\They have six months.\We'll see how it goes until chapter 25. response:	If their rating is low by the seventh chapter.
context: PCP's third chapter did great right?\You should hurry up and tell them.\Yeah... You're right.\Chapter three is in fifth place.\Normally that would be great...\They have six months.\We'll see how it goes until chapter 25.\If their rating is low by the seventh chapter. response:	I won't hesitate to cancel it.
context: You should hurry up and tell them.\Yeah... You're right.\Chapter three is in fifth place.\Normally that would be great...\They have six months.\We'll see how it goes until chapter 25.\If their rating is low by the seventh chapter.\I won't hesitate to cancel it. response:	After 25 chapters,
context: Yeah... You're right.\Chapter three is in fifth place.\Normally that would be great...\They have six months.\We'll see how it goes until chapter 25.\If their rating is low by the seventh chapter.\I won't hesitate to cancel it.\After 25 chapters, response:	If it hasn't surpassed Crow and +Natural...
context: Chapter three is in fifth place.\Normally that would be great...\They have six months.\We'll see how it goes until chapter 25.\If their rating is low by the seventh chapter.\I won't hesitate to cancel it.\After 25 chapters,\If it hasn't surpassed Crow and +Natural... response:	It will be cancelled.
context: Normally that would be great...\They have six months.\We'll see how it goes until chapter 25.\If their rating is low by the seventh chapter.\I won't hesitate to cancel it.\After 25 chapters,\If it hasn't surpassed Crow and +Natural...\It will be cancelled. response:	This is no good.
context: They have six months.\We'll see how it goes until chapter 25.\If their rating is low by the seventh chapter.\I won't hesitate to cancel it.\After 25 chapters,\If it hasn't surpassed Crow and +Natural...\It will be cancelled.\This is no good. response:	At this rate they won't surpass +Natural.
context: We'll see how it goes until chapter 25.\If their rating is low by the seventh chapter.\I won't hesitate to cancel it.\After 25 chapters,\If it hasn't surpassed Crow and +Natural...\It will be cancelled.\This is no good.\At this rate they won't surpass +Natural. response:	We have to keep the rating up.
context: If their rating is low by the seventh chapter.\I won't hesitate to cancel it.\After 25 chapters,\If it hasn't surpassed Crow and +Natural...\It will be cancelled.\This is no good.\At this rate they won't surpass +Natural.\We have to keep the rating up. response:	I have to do something.
context: I won't hesitate to cancel it.\After 25 chapters,\If it hasn't surpassed Crow and +Natural...\It will be cancelled.\This is no good.\At this rate they won't surpass +Natural.\We have to keep the rating up.\I have to do something. response:	When I struggle toward my dream
context: After 25 chapters,\If it hasn't surpassed Crow and +Natural...\It will be cancelled.\This is no good.\At this rate they won't surpass +Natural.\We have to keep the rating up.\I have to do something.\When I struggle toward my dream response:	Those are the moments I love the most
context: If it hasn't surpassed Crow and +Natural...\It will be cancelled.\This is no good.\At this rate they won't surpass +Natural.\We have to keep the rating up.\I have to do something.\When I struggle toward my dream\Those are the moments I love the most response:	I can feel our bond and will to fight
context: It will be cancelled.\This is no good.\At this rate they won't surpass +Natural.\We have to keep the rating up.\I have to do something.\When I struggle toward my dream\Those are the moments I love the most\I can feel our bond and will to fight response:	Our views overlap and electrify us
context: This is no good.\At this rate they won't surpass +Natural.\We have to keep the rating up.\I have to do something.\When I struggle toward my dream\Those are the moments I love the most\I can feel our bond and will to fight\Our views overlap and electrify us response:	Let's improve ourselves, become what we should be
context: At this rate they won't surpass +Natural.\We have to keep the rating up.\I have to do something.\When I struggle toward my dream\Those are the moments I love the most\I can feel our bond and will to fight\Our views overlap and electrify us\Let's improve ourselves, become what we should be response:	You can see the future in our path
context: We have to keep the rating up.\I have to do something.\When I struggle toward my dream\Those are the moments I love the most\I can feel our bond and will to fight\Our views overlap and electrify us\Let's improve ourselves, become what we should be\You can see the future in our path response:	My comrades don't agree with me
context: I have to do something.\When I struggle toward my dream\Those are the moments I love the most\I can feel our bond and will to fight\Our views overlap and electrify us\Let's improve ourselves, become what we should be\You can see the future in our path\My comrades don't agree with me response:	Our pride clashes
context: When I struggle toward my dream\Those are the moments I love the most\I can feel our bond and will to fight\Our views overlap and electrify us\Let's improve ourselves, become what we should be\You can see the future in our path\My comrades don't agree with me\Our pride clashes response:	I can't let it go, I'll follow my heart from now on
context: Those are the moments I love the most\I can feel our bond and will to fight\Our views overlap and electrify us\Let's improve ourselves, become what we should be\You can see the future in our path\My comrades don't agree with me\Our pride clashes\I can't let it go, I'll follow my heart from now on response:	I'm prepared
context: I can feel our bond and will to fight\Our views overlap and electrify us\Let's improve ourselves, become what we should be\You can see the future in our path\My comrades don't agree with me\Our pride clashes\I can't let it go, I'll follow my heart from now on\I'm prepared response:	I'll charge right in
context: Our views overlap and electrify us\Let's improve ourselves, become what we should be\You can see the future in our path\My comrades don't agree with me\Our pride clashes\I can't let it go, I'll follow my heart from now on\I'm prepared\I'll charge right in response:	Unstoppable Pride
context: Let's improve ourselves, become what we should be\You can see the future in our path\My comrades don't agree with me\Our pride clashes\I can't let it go, I'll follow my heart from now on\I'm prepared\I'll charge right in\Unstoppable Pride response:	There's no other choice, this is what I love and this is what I'll do
context: You can see the future in our path\My comrades don't agree with me\Our pride clashes\I can't let it go, I'll follow my heart from now on\I'm prepared\I'll charge right in\Unstoppable Pride\There's no other choice, this is what I love and this is what I'll do response:	I don't know what tomorrow will bring
context: My comrades don't agree with me\Our pride clashes\I can't let it go, I'll follow my heart from now on\I'm prepared\I'll charge right in\Unstoppable Pride\There's no other choice, this is what I love and this is what I'll do\I don't know what tomorrow will bring response:	But I know once again (just to get by),
context: Our pride clashes\I can't let it go, I'll follow my heart from now on\I'm prepared\I'll charge right in\Unstoppable Pride\There's no other choice, this is what I love and this is what I'll do\I don't know what tomorrow will bring\But I know once again (just to get by), response:	We'll do our best
context: I can't let it go, I'll follow my heart from now on\I'm prepared\I'll charge right in\Unstoppable Pride\There's no other choice, this is what I love and this is what I'll do\I don't know what tomorrow will bring\But I know once again (just to get by),\We'll do our best response:	Our new serialization has finally started!
context: I'm prepared\I'll charge right in\Unstoppable Pride\There's no other choice, this is what I love and this is what I'll do\I don't know what tomorrow will bring\But I know once again (just to get by),\We'll do our best\Our new serialization has finally started! response:	But we have some tough conditions!
context: I'll charge right in\Unstoppable Pride\There's no other choice, this is what I love and this is what I'll do\I don't know what tomorrow will bring\But I know once again (just to get by),\We'll do our best\Our new serialization has finally started!\But we have some tough conditions! response:	With our rivals doing their best, can we pull through?
context: Unstoppable Pride\There's no other choice, this is what I love and this is what I'll do\I don't know what tomorrow will bring\But I know once again (just to get by),\We'll do our best\Our new serialization has finally started!\But we have some tough conditions!\With our rivals doing their best, can we pull through? response:	Next: Every Night and Unite.
context: There's no other choice, this is what I love and this is what I'll do\I don't know what tomorrow will bring\But I know once again (just to get by),\We'll do our best\Our new serialization has finally started!\But we have some tough conditions!\With our rivals doing their best, can we pull through?\Next: Every Night and Unite. response:	We'll have to work hard to reach our dreams!
