context: It seems I slightly underrated you, Elfman. response:	When it comes to tenacity and being able to take punishment,
context: Saying it wasn't ready was a lie of convenience, in order to come up with a budget.\Now all we need is a Celestial Spirit Wizard\and Eclipse will have reached the practical stage.\I don't believe it...\You're telling me it's been completed in merely seven years?!\The project shall now proceed to phase 4, plan B.\This time we will absolutely acquire a Celestial Spirit Wizard.\It's already common knowledge that you're opposed to the Eclipse Project. response:	However, we can't be stopped now after coming this far.
context: Now all we need is a Celestial Spirit Wizard\and Eclipse will have reached the practical stage.\I don't believe it...\You're telling me it's been completed in merely seven years?!\The project shall now proceed to phase 4, plan B.\This time we will absolutely acquire a Celestial Spirit Wizard.\It's already common knowledge that you're opposed to the Eclipse Project.\However, we can't be stopped now after coming this far. response:	Are you a devil?!
context: and Eclipse will have reached the practical stage.\I don't believe it...\You're telling me it's been completed in merely seven years?!\The project shall now proceed to phase 4, plan B.\This time we will absolutely acquire a Celestial Spirit Wizard.\It's already common knowledge that you're opposed to the Eclipse Project.\However, we can't be stopped now after coming this far.\Are you a devil?! response:	For the sake of king and country,
context: I don't believe it...\You're telling me it's been completed in merely seven years?!\The project shall now proceed to phase 4, plan B.\This time we will absolutely acquire a Celestial Spirit Wizard.\It's already common knowledge that you're opposed to the Eclipse Project.\However, we can't be stopped now after coming this far.\Are you a devil?!\For the sake of king and country, response:	a man may even become devil or god.
context: You're telling me it's been completed in merely seven years?!\The project shall now proceed to phase 4, plan B.\This time we will absolutely acquire a Celestial Spirit Wizard.\It's already common knowledge that you're opposed to the Eclipse Project.\However, we can't be stopped now after coming this far.\Are you a devil?!\For the sake of king and country,\a man may even become devil or god. response:	Weighed against Eclipse, the gateway that will change the world,
context: The project shall now proceed to phase 4, plan B.\This time we will absolutely acquire a Celestial Spirit Wizard.\It's already common knowledge that you're opposed to the Eclipse Project.\However, we can't be stopped now after coming this far.\Are you a devil?!\For the sake of king and country,\a man may even become devil or god.\Weighed against Eclipse, the gateway that will change the world, response:	the life of one girl is exceedingly cheap.
context: This time we will absolutely acquire a Celestial Spirit Wizard.\It's already common knowledge that you're opposed to the Eclipse Project.\However, we can't be stopped now after coming this far.\Are you a devil?!\For the sake of king and country,\a man may even become devil or god.\Weighed against Eclipse, the gateway that will change the world,\the life of one girl is exceedingly cheap. response:	Alright, the second day of the Grand Magic Games reaches its final match at last!
context: It's already common knowledge that you're opposed to the Eclipse Project.\However, we can't be stopped now after coming this far.\Are you a devil?!\For the sake of king and country,\a man may even become devil or god.\Weighed against Eclipse, the gateway that will change the world,\the life of one girl is exceedingly cheap.\Alright, the second day of the Grand Magic Games reaches its final match at last! response:	Kagura Mikazuchi from Mermaid Heel versus
context: However, we can't be stopped now after coming this far.\Are you a devil?!\For the sake of king and country,\a man may even become devil or god.\Weighed against Eclipse, the gateway that will change the world,\the life of one girl is exceedingly cheap.\Alright, the second day of the Grand Magic Games reaches its final match at last!\Kagura Mikazuchi from Mermaid Heel versus response:	Sabertooth's Yukino Agria!
context: Are you a devil?!\For the sake of king and country,\a man may even become devil or god.\Weighed against Eclipse, the gateway that will change the world,\the life of one girl is exceedingly cheap.\Alright, the second day of the Grand Magic Games reaches its final match at last!\Kagura Mikazuchi from Mermaid Heel versus\Sabertooth's Yukino Agria! response:	We've got another battle of the beauties!
context: For the sake of king and country,\a man may even become devil or god.\Weighed against Eclipse, the gateway that will change the world,\the life of one girl is exceedingly cheap.\Alright, the second day of the Grand Magic Games reaches its final match at last!\Kagura Mikazuchi from Mermaid Heel versus\Sabertooth's Yukino Agria!\We've got another battle of the beauties! response:	Which do you think is going to win?
context: a man may even become devil or god.\Weighed against Eclipse, the gateway that will change the world,\the life of one girl is exceedingly cheap.\Alright, the second day of the Grand Magic Games reaches its final match at last!\Kagura Mikazuchi from Mermaid Heel versus\Sabertooth's Yukino Agria!\We've got another battle of the beauties!\Which do you think is going to win? response:	Yukino-san, of course!
context: Weighed against Eclipse, the gateway that will change the world,\the life of one girl is exceedingly cheap.\Alright, the second day of the Grand Magic Games reaches its final match at last!\Kagura Mikazuchi from Mermaid Heel versus\Sabertooth's Yukino Agria!\We've got another battle of the beauties!\Which do you think is going to win?\Yukino-san, of course! response:	How is it you don't even know that, Frosch?!
context: the life of one girl is exceedingly cheap.\Alright, the second day of the Grand Magic Games reaches its final match at last!\Kagura Mikazuchi from Mermaid Heel versus\Sabertooth's Yukino Agria!\We've got another battle of the beauties!\Which do you think is going to win?\Yukino-san, of course!\How is it you don't even know that, Frosch?! response:	Fro thinks so, too!
context: Alright, the second day of the Grand Magic Games reaches its final match at last!\Kagura Mikazuchi from Mermaid Heel versus\Sabertooth's Yukino Agria!\We've got another battle of the beauties!\Which do you think is going to win?\Yukino-san, of course!\How is it you don't even know that, Frosch?!\Fro thinks so, too! response:	Thanks to somebody, we couldn't get any points in the competition part.
context: Kagura Mikazuchi from Mermaid Heel versus\Sabertooth's Yukino Agria!\We've got another battle of the beauties!\Which do you think is going to win?\Yukino-san, of course!\How is it you don't even know that, Frosch?!\Fro thinks so, too!\Thanks to somebody, we couldn't get any points in the competition part. response:	No.
context: Sabertooth's Yukino Agria!\We've got another battle of the beauties!\Which do you think is going to win?\Yukino-san, of course!\How is it you don't even know that, Frosch?!\Fro thinks so, too!\Thanks to somebody, we couldn't get any points in the competition part.\No. response:	Sting-sama was just unlucky.
context: We've got another battle of the beauties!\Which do you think is going to win?\Yukino-san, of course!\How is it you don't even know that, Frosch?!\Fro thinks so, too!\Thanks to somebody, we couldn't get any points in the competition part.\No.\Sting-sama was just unlucky. response:	If we'd known the competition was going to be on top of a moving vehicle...
context: Which do you think is going to win?\Yukino-san, of course!\How is it you don't even know that, Frosch?!\Fro thinks so, too!\Thanks to somebody, we couldn't get any points in the competition part.\No.\Sting-sama was just unlucky.\If we'd known the competition was going to be on top of a moving vehicle... response:	Never mind about that.
context: Yukino-san, of course!\How is it you don't even know that, Frosch?!\Fro thinks so, too!\Thanks to somebody, we couldn't get any points in the competition part.\No.\Sting-sama was just unlucky.\If we'd known the competition was going to be on top of a moving vehicle...\Never mind about that. response:	You do know what it means to be a member of this team, don't you?
context: How is it you don't even know that, Frosch?!\Fro thinks so, too!\Thanks to somebody, we couldn't get any points in the competition part.\No.\Sting-sama was just unlucky.\If we'd known the competition was going to be on top of a moving vehicle...\Never mind about that.\You do know what it means to be a member of this team, don't you? response:	Sabertooth...
context: Fro thinks so, too!\Thanks to somebody, we couldn't get any points in the competition part.\No.\Sting-sama was just unlucky.\If we'd known the competition was going to be on top of a moving vehicle...\Never mind about that.\You do know what it means to be a member of this team, don't you?\Sabertooth... response:	It means fighting in that name without sullying it
context: Thanks to somebody, we couldn't get any points in the competition part.\No.\Sting-sama was just unlucky.\If we'd known the competition was going to be on top of a moving vehicle...\Never mind about that.\You do know what it means to be a member of this team, don't you?\Sabertooth...\It means fighting in that name without sullying it response:	and winning without question.
context: No.\Sting-sama was just unlucky.\If we'd known the competition was going to be on top of a moving vehicle...\Never mind about that.\You do know what it means to be a member of this team, don't you?\Sabertooth...\It means fighting in that name without sullying it\and winning without question. response:	Good luck, Kagura-chan!
context: Sting-sama was just unlucky.\If we'd known the competition was going to be on top of a moving vehicle...\Never mind about that.\You do know what it means to be a member of this team, don't you?\Sabertooth...\It means fighting in that name without sullying it\and winning without question.\Good luck, Kagura-chan! response:	Win it for me!
context: If we'd known the competition was going to be on top of a moving vehicle...\Never mind about that.\You do know what it means to be a member of this team, don't you?\Sabertooth...\It means fighting in that name without sullying it\and winning without question.\Good luck, Kagura-chan!\Win it for me! response:	Still, her opponent's from Sabertooth...
context: Never mind about that.\You do know what it means to be a member of this team, don't you?\Sabertooth...\It means fighting in that name without sullying it\and winning without question.\Good luck, Kagura-chan!\Win it for me!\Still, her opponent's from Sabertooth... response:	Kagura is stronger than her!
context: You do know what it means to be a member of this team, don't you?\Sabertooth...\It means fighting in that name without sullying it\and winning without question.\Good luck, Kagura-chan!\Win it for me!\Still, her opponent's from Sabertooth...\Kagura is stronger than her! response:	Never fear.
context: Sabertooth...\It means fighting in that name without sullying it\and winning without question.\Good luck, Kagura-chan!\Win it for me!\Still, her opponent's from Sabertooth...\Kagura is stronger than her!\Never fear. response:	I saw the path...
context: It means fighting in that name without sullying it\and winning without question.\Good luck, Kagura-chan!\Win it for me!\Still, her opponent's from Sabertooth...\Kagura is stronger than her!\Never fear.\I saw the path... response:	The destination of my sword...
context: and winning without question.\Good luck, Kagura-chan!\Win it for me!\Still, her opponent's from Sabertooth...\Kagura is stronger than her!\Never fear.\I saw the path...\The destination of my sword... response:	I guess we're done with the pinup model battles?
context: Good luck, Kagura-chan!\Win it for me!\Still, her opponent's from Sabertooth...\Kagura is stronger than her!\Never fear.\I saw the path...\The destination of my sword...\I guess we're done with the pinup model battles? response:	Well, depending on individual taste, it wouldn't be out of the question...
context: Win it for me!\Still, her opponent's from Sabertooth...\Kagura is stronger than her!\Never fear.\I saw the path...\The destination of my sword...\I guess we're done with the pinup model battles?\Well, depending on individual taste, it wouldn't be out of the question... response:	We couldn't ask this cool twosome to do that, right?!
context: Still, her opponent's from Sabertooth...\Kagura is stronger than her!\Never fear.\I saw the path...\The destination of my sword...\I guess we're done with the pinup model battles?\Well, depending on individual taste, it wouldn't be out of the question...\We couldn't ask this cool twosome to do that, right?! response:	Sabertooth...
context: Kagura is stronger than her!\Never fear.\I saw the path...\The destination of my sword...\I guess we're done with the pinup model battles?\Well, depending on individual taste, it wouldn't be out of the question...\We couldn't ask this cool twosome to do that, right?!\Sabertooth... response:	Watch closely.
context: Never fear.\I saw the path...\The destination of my sword...\I guess we're done with the pinup model battles?\Well, depending on individual taste, it wouldn't be out of the question...\We couldn't ask this cool twosome to do that, right?!\Sabertooth...\Watch closely. response:	This is the guild we have to overcome.
context: I saw the path...\The destination of my sword...\I guess we're done with the pinup model battles?\Well, depending on individual taste, it wouldn't be out of the question...\We couldn't ask this cool twosome to do that, right?!\Sabertooth...\Watch closely.\This is the guild we have to overcome. response:	Right!
context: The destination of my sword...\I guess we're done with the pinup model battles?\Well, depending on individual taste, it wouldn't be out of the question...\We couldn't ask this cool twosome to do that, right?!\Sabertooth...\Watch closely.\This is the guild we have to overcome.\Right! response:	All of you already know how strong Kagura is.
context: I guess we're done with the pinup model battles?\Well, depending on individual taste, it wouldn't be out of the question...\We couldn't ask this cool twosome to do that, right?!\Sabertooth...\Watch closely.\This is the guild we have to overcome.\Right!\All of you already know how strong Kagura is. response:	She's Mermaid Heel's strongest wizard
context: Well, depending on individual taste, it wouldn't be out of the question...\We couldn't ask this cool twosome to do that, right?!\Sabertooth...\Watch closely.\This is the guild we have to overcome.\Right!\All of you already know how strong Kagura is.\She's Mermaid Heel's strongest wizard response:	as well as the Weekly Sorcerer's top pick for female wizard!
context: We couldn't ask this cool twosome to do that, right?!\Sabertooth...\Watch closely.\This is the guild we have to overcome.\Right!\All of you already know how strong Kagura is.\She's Mermaid Heel's strongest wizard\as well as the Weekly Sorcerer's top pick for female wizard! response:	Against her is Yukino, who's making her debut today.
context: Sabertooth...\Watch closely.\This is the guild we have to overcome.\Right!\All of you already know how strong Kagura is.\She's Mermaid Heel's strongest wizard\as well as the Weekly Sorcerer's top pick for female wizard!\Against her is Yukino, who's making her debut today. response:	Still, she's a member of the strongest guild, Sabertooth,
context: Watch closely.\This is the guild we have to overcome.\Right!\All of you already know how strong Kagura is.\She's Mermaid Heel's strongest wizard\as well as the Weekly Sorcerer's top pick for female wizard!\Against her is Yukino, who's making her debut today.\Still, she's a member of the strongest guild, Sabertooth, response:	so we can expect her to be pretty strong!
context: This is the guild we have to overcome.\Right!\All of you already know how strong Kagura is.\She's Mermaid Heel's strongest wizard\as well as the Weekly Sorcerer's top pick for female wizard!\Against her is Yukino, who's making her debut today.\Still, she's a member of the strongest guild, Sabertooth,\so we can expect her to be pretty strong! response:	Alright, let the match begin!
context: Right!\All of you already know how strong Kagura is.\She's Mermaid Heel's strongest wizard\as well as the Weekly Sorcerer's top pick for female wizard!\Against her is Yukino, who's making her debut today.\Still, she's a member of the strongest guild, Sabertooth,\so we can expect her to be pretty strong!\Alright, let the match begin! response:	I look forward to doing battle with you.
context: All of you already know how strong Kagura is.\She's Mermaid Heel's strongest wizard\as well as the Weekly Sorcerer's top pick for female wizard!\Against her is Yukino, who's making her debut today.\Still, she's a member of the strongest guild, Sabertooth,\so we can expect her to be pretty strong!\Alright, let the match begin!\I look forward to doing battle with you. response:	As do I.
context: She's Mermaid Heel's strongest wizard\as well as the Weekly Sorcerer's top pick for female wizard!\Against her is Yukino, who's making her debut today.\Still, she's a member of the strongest guild, Sabertooth,\so we can expect her to be pretty strong!\Alright, let the match begin!\I look forward to doing battle with you.\As do I. response:	Before we begin, shall we make a bet too?
context: as well as the Weekly Sorcerer's top pick for female wizard!\Against her is Yukino, who's making her debut today.\Still, she's a member of the strongest guild, Sabertooth,\so we can expect her to be pretty strong!\Alright, let the match begin!\I look forward to doing battle with you.\As do I.\Before we begin, shall we make a bet too? response:	Sorry, but I'm not interested.
context: Against her is Yukino, who's making her debut today.\Still, she's a member of the strongest guild, Sabertooth,\so we can expect her to be pretty strong!\Alright, let the match begin!\I look forward to doing battle with you.\As do I.\Before we begin, shall we make a bet too?\Sorry, but I'm not interested. response:	Is it because you're afraid of losing?
context: Still, she's a member of the strongest guild, Sabertooth,\so we can expect her to be pretty strong!\Alright, let the match begin!\I look forward to doing battle with you.\As do I.\Before we begin, shall we make a bet too?\Sorry, but I'm not interested.\Is it because you're afraid of losing? response:	I don't possess that kind of emotion.
context: so we can expect her to be pretty strong!\Alright, let the match begin!\I look forward to doing battle with you.\As do I.\Before we begin, shall we make a bet too?\Sorry, but I'm not interested.\Is it because you're afraid of losing?\I don't possess that kind of emotion. response:	However, I believe that when one makes a wager, it must be followed through.
context: Alright, let the match begin!\I look forward to doing battle with you.\As do I.\Before we begin, shall we make a bet too?\Sorry, but I'm not interested.\Is it because you're afraid of losing?\I don't possess that kind of emotion.\However, I believe that when one makes a wager, it must be followed through. response:	So I'd like to abstain from any thoughtless diversions.
context: I look forward to doing battle with you.\As do I.\Before we begin, shall we make a bet too?\Sorry, but I'm not interested.\Is it because you're afraid of losing?\I don't possess that kind of emotion.\However, I believe that when one makes a wager, it must be followed through.\So I'd like to abstain from any thoughtless diversions. response:	In that case, let's make a serious bet.
context: As do I.\Before we begin, shall we make a bet too?\Sorry, but I'm not interested.\Is it because you're afraid of losing?\I don't possess that kind of emotion.\However, I believe that when one makes a wager, it must be followed through.\So I'd like to abstain from any thoughtless diversions.\In that case, let's make a serious bet. response:	Let's bet our lives.
context: Before we begin, shall we make a bet too?\Sorry, but I'm not interested.\Is it because you're afraid of losing?\I don't possess that kind of emotion.\However, I believe that when one makes a wager, it must be followed through.\So I'd like to abstain from any thoughtless diversions.\In that case, let's make a serious bet.\Let's bet our lives. response:	The next battle is also between two women, huh?
context: Sorry, but I'm not interested.\Is it because you're afraid of losing?\I don't possess that kind of emotion.\However, I believe that when one makes a wager, it must be followed through.\So I'd like to abstain from any thoughtless diversions.\In that case, let's make a serious bet.\Let's bet our lives.\The next battle is also between two women, huh? response:	Is it gonna be another swimsuit showdown?
context: Is it because you're afraid of losing?\I don't possess that kind of emotion.\However, I believe that when one makes a wager, it must be followed through.\So I'd like to abstain from any thoughtless diversions.\In that case, let's make a serious bet.\Let's bet our lives.\The next battle is also between two women, huh?\Is it gonna be another swimsuit showdown? response:	If it is, the sponsor of this tournament who decides on the match-ups
context: I don't possess that kind of emotion.\However, I believe that when one makes a wager, it must be followed through.\So I'd like to abstain from any thoughtless diversions.\In that case, let's make a serious bet.\Let's bet our lives.\The next battle is also between two women, huh?\Is it gonna be another swimsuit showdown?\If it is, the sponsor of this tournament who decides on the match-ups response:	has a dirty mind!
context: However, I believe that when one makes a wager, it must be followed through.\So I'd like to abstain from any thoughtless diversions.\In that case, let's make a serious bet.\Let's bet our lives.\The next battle is also between two women, huh?\Is it gonna be another swimsuit showdown?\If it is, the sponsor of this tournament who decides on the match-ups\has a dirty mind! response:	But it doesn't feel like that's gonna be the case this time...
context: So I'd like to abstain from any thoughtless diversions.\In that case, let's make a serious bet.\Let's bet our lives.\The next battle is also between two women, huh?\Is it gonna be another swimsuit showdown?\If it is, the sponsor of this tournament who decides on the match-ups\has a dirty mind!\But it doesn't feel like that's gonna be the case this time... response:	Both of them seem like they're straight-laced, right?
context: In that case, let's make a serious bet.\Let's bet our lives.\The next battle is also between two women, huh?\Is it gonna be another swimsuit showdown?\If it is, the sponsor of this tournament who decides on the match-ups\has a dirty mind!\But it doesn't feel like that's gonna be the case this time...\Both of them seem like they're straight-laced, right? response:	It looks like this is gonna be a serious match.
context: Let's bet our lives.\The next battle is also between two women, huh?\Is it gonna be another swimsuit showdown?\If it is, the sponsor of this tournament who decides on the match-ups\has a dirty mind!\But it doesn't feel like that's gonna be the case this time...\Both of them seem like they're straight-laced, right?\It looks like this is gonna be a serious match. response:	In other words, we're not getting any more so-called service scenes, huh?
context: The next battle is also between two women, huh?\Is it gonna be another swimsuit showdown?\If it is, the sponsor of this tournament who decides on the match-ups\has a dirty mind!\But it doesn't feel like that's gonna be the case this time...\Both of them seem like they're straight-laced, right?\It looks like this is gonna be a serious match.\In other words, we're not getting any more so-called service scenes, huh? response:	Next time: Kagura versus Yukino!
context: Is it gonna be another swimsuit showdown?\If it is, the sponsor of this tournament who decides on the match-ups\has a dirty mind!\But it doesn't feel like that's gonna be the case this time...\Both of them seem like they're straight-laced, right?\It looks like this is gonna be a serious match.\In other words, we're not getting any more so-called service scenes, huh?\Next time: Kagura versus Yukino! response:	She said they're gonna bet their lives, but what happens when one loses?
context: If it is, the sponsor of this tournament who decides on the match-ups\has a dirty mind!\But it doesn't feel like that's gonna be the case this time...\Both of them seem like they're straight-laced, right?\It looks like this is gonna be a serious match.\In other words, we're not getting any more so-called service scenes, huh?\Next time: Kagura versus Yukino!\She said they're gonna bet their lives, but what happens when one loses? response:	They go nude in the Sorcerer!
context: has a dirty mind!\But it doesn't feel like that's gonna be the case this time...\Both of them seem like they're straight-laced, right?\It looks like this is gonna be a serious match.\In other words, we're not getting any more so-called service scenes, huh?\Next time: Kagura versus Yukino!\She said they're gonna bet their lives, but what happens when one loses?\They go nude in the Sorcerer! response:	That was for the last match!
