context: Yeah, she got angry at me after all. response:	It was like she was possessed by a demon.
context: douka mata aemasuyouni nante\douka shiteru mitai\nanpeeji mo tsuiyashite\tuzurareta bokura no kibun\doushiteka ichigyou no\kuuhaku wo umerarenai\oshibana no shiori hasande\kimi to korogasu tsukaisute no jitensha response:	wasurekake no renga wo
context: douka shiteru mitai\nanpeeji mo tsuiyashite\tuzurareta bokura no kibun\doushiteka ichigyou no\kuuhaku wo umerarenai\oshibana no shiori hasande\kimi to korogasu tsukaisute no jitensha\wasurekake no renga wo response:	tsumiageta basho ni yukou
context: nanpeeji mo tsuiyashite\tuzurareta bokura no kibun\doushiteka ichigyou no\kuuhaku wo umerarenai\oshibana no shiori hasande\kimi to korogasu tsukaisute no jitensha\wasurekake no renga wo\tsumiageta basho ni yukou response:	umi wo miwatasu saka wo kakenobotte
context: tuzurareta bokura no kibun\doushiteka ichigyou no\kuuhaku wo umerarenai\oshibana no shiori hasande\kimi to korogasu tsukaisute no jitensha\wasurekake no renga wo\tsumiageta basho ni yukou\umi wo miwatasu saka wo kakenobotte response:	kowaikurai ni aoi sora to
context: doushiteka ichigyou no\kuuhaku wo umerarenai\oshibana no shiori hasande\kimi to korogasu tsukaisute no jitensha\wasurekake no renga wo\tsumiageta basho ni yukou\umi wo miwatasu saka wo kakenobotte\kowaikurai ni aoi sora to response:	migite ni saidaa hidarite wa
context: kuuhaku wo umerarenai\oshibana no shiori hasande\kimi to korogasu tsukaisute no jitensha\wasurekake no renga wo\tsumiageta basho ni yukou\umi wo miwatasu saka wo kakenobotte\kowaikurai ni aoi sora to\migite ni saidaa hidarite wa response:	zutto kimi wo sagashiteiru
context: oshibana no shiori hasande\kimi to korogasu tsukaisute no jitensha\wasurekake no renga wo\tsumiageta basho ni yukou\umi wo miwatasu saka wo kakenobotte\kowaikurai ni aoi sora to\migite ni saidaa hidarite wa\zutto kimi wo sagashiteiru response:	souyatte ima wa boku no hou e
context: kimi to korogasu tsukaisute no jitensha\wasurekake no renga wo\tsumiageta basho ni yukou\umi wo miwatasu saka wo kakenobotte\kowaikurai ni aoi sora to\migite ni saidaa hidarite wa\zutto kimi wo sagashiteiru\souyatte ima wa boku no hou e response:	toitsumeru koto mo nakute
context: wasurekake no renga wo\tsumiageta basho ni yukou\umi wo miwatasu saka wo kakenobotte\kowaikurai ni aoi sora to\migite ni saidaa hidarite wa\zutto kimi wo sagashiteiru\souyatte ima wa boku no hou e\toitsumeru koto mo nakute response:	mada futari wa sugu soko ni irunoni
context: tsumiageta basho ni yukou\umi wo miwatasu saka wo kakenobotte\kowaikurai ni aoi sora to\migite ni saidaa hidarite wa\zutto kimi wo sagashiteiru\souyatte ima wa boku no hou e\toitsumeru koto mo nakute\mada futari wa sugu soko ni irunoni response:	douka mata aemasuyouni nante
context: umi wo miwatasu saka wo kakenobotte\kowaikurai ni aoi sora to\migite ni saidaa hidarite wa\zutto kimi wo sagashiteiru\souyatte ima wa boku no hou e\toitsumeru koto mo nakute\mada futari wa sugu soko ni irunoni\douka mata aemasuyouni nante response:	douka shiteru mitai
context: kowaikurai ni aoi sora to\migite ni saidaa hidarite wa\zutto kimi wo sagashiteiru\souyatte ima wa boku no hou e\toitsumeru koto mo nakute\mada futari wa sugu soko ni irunoni\douka mata aemasuyouni nante\douka shiteru mitai response:	Upon pages and pages of entries
context: migite ni saidaa hidarite wa\zutto kimi wo sagashiteiru\souyatte ima wa boku no hou e\toitsumeru koto mo nakute\mada futari wa sugu soko ni irunoni\douka mata aemasuyouni nante\douka shiteru mitai\Upon pages and pages of entries response:	We've put down all our emotions
context: zutto kimi wo sagashiteiru\souyatte ima wa boku no hou e\toitsumeru koto mo nakute\mada futari wa sugu soko ni irunoni\douka mata aemasuyouni nante\douka shiteru mitai\Upon pages and pages of entries\We've put down all our emotions response:	But now I've hit a writer's block
context: souyatte ima wa boku no hou e\toitsumeru koto mo nakute\mada futari wa sugu soko ni irunoni\douka mata aemasuyouni nante\douka shiteru mitai\Upon pages and pages of entries\We've put down all our emotions\But now I've hit a writer's block response:	I don't know how to finish this page anymore
context: toitsumeru koto mo nakute\mada futari wa sugu soko ni irunoni\douka mata aemasuyouni nante\douka shiteru mitai\Upon pages and pages of entries\We've put down all our emotions\But now I've hit a writer's block\I don't know how to finish this page anymore response:	Putting a bookmark in my diary
context: mada futari wa sugu soko ni irunoni\douka mata aemasuyouni nante\douka shiteru mitai\Upon pages and pages of entries\We've put down all our emotions\But now I've hit a writer's block\I don't know how to finish this page anymore\Putting a bookmark in my diary response:	You and I go out to ride the bike we found in the dumpster
context: douka mata aemasuyouni nante\douka shiteru mitai\Upon pages and pages of entries\We've put down all our emotions\But now I've hit a writer's block\I don't know how to finish this page anymore\Putting a bookmark in my diary\You and I go out to ride the bike we found in the dumpster response:	Let's go to our secret place
context: douka shiteru mitai\Upon pages and pages of entries\We've put down all our emotions\But now I've hit a writer's block\I don't know how to finish this page anymore\Putting a bookmark in my diary\You and I go out to ride the bike we found in the dumpster\Let's go to our secret place response:	Where we piled up our bricks of memories
context: Upon pages and pages of entries\We've put down all our emotions\But now I've hit a writer's block\I don't know how to finish this page anymore\Putting a bookmark in my diary\You and I go out to ride the bike we found in the dumpster\Let's go to our secret place\Where we piled up our bricks of memories response:	Run up the hill, where we can see the horizon
context: We've put down all our emotions\But now I've hit a writer's block\I don't know how to finish this page anymore\Putting a bookmark in my diary\You and I go out to ride the bike we found in the dumpster\Let's go to our secret place\Where we piled up our bricks of memories\Run up the hill, where we can see the horizon response:	Where we can see the sky so fearfully blue
context: But now I've hit a writer's block\I don't know how to finish this page anymore\Putting a bookmark in my diary\You and I go out to ride the bike we found in the dumpster\Let's go to our secret place\Where we piled up our bricks of memories\Run up the hill, where we can see the horizon\Where we can see the sky so fearfully blue response:	With cider in my right hand
context: I don't know how to finish this page anymore\Putting a bookmark in my diary\You and I go out to ride the bike we found in the dumpster\Let's go to our secret place\Where we piled up our bricks of memories\Run up the hill, where we can see the horizon\Where we can see the sky so fearfully blue\With cider in my right hand response:	My other hand helps me search for you
context: Putting a bookmark in my diary\You and I go out to ride the bike we found in the dumpster\Let's go to our secret place\Where we piled up our bricks of memories\Run up the hill, where we can see the horizon\Where we can see the sky so fearfully blue\With cider in my right hand\My other hand helps me search for you response:	You used to come find me way back when
context: You and I go out to ride the bike we found in the dumpster\Let's go to our secret place\Where we piled up our bricks of memories\Run up the hill, where we can see the horizon\Where we can see the sky so fearfully blue\With cider in my right hand\My other hand helps me search for you\You used to come find me way back when response:	You used to demand me of so much more
context: Let's go to our secret place\Where we piled up our bricks of memories\Run up the hill, where we can see the horizon\Where we can see the sky so fearfully blue\With cider in my right hand\My other hand helps me search for you\You used to come find me way back when\You used to demand me of so much more response:	You're both still standing right by my side
context: Where we piled up our bricks of memories\Run up the hill, where we can see the horizon\Where we can see the sky so fearfully blue\With cider in my right hand\My other hand helps me search for you\You used to come find me way back when\You used to demand me of so much more\You're both still standing right by my side response:	Yet why do I pray to see you both again?
context: Run up the hill, where we can see the horizon\Where we can see the sky so fearfully blue\With cider in my right hand\My other hand helps me search for you\You used to come find me way back when\You used to demand me of so much more\You're both still standing right by my side\Yet why do I pray to see you both again? response:	There must be something off with me
context: Where we can see the sky so fearfully blue\With cider in my right hand\My other hand helps me search for you\You used to come find me way back when\You used to demand me of so much more\You're both still standing right by my side\Yet why do I pray to see you both again?\There must be something off with me response:	Upon pages and pages of entries
context: With cider in my right hand\My other hand helps me search for you\You used to come find me way back when\You used to demand me of so much more\You're both still standing right by my side\Yet why do I pray to see you both again?\There must be something off with me\Upon pages and pages of entries response:	We've put down all our emotions
context: My other hand helps me search for you\You used to come find me way back when\You used to demand me of so much more\You're both still standing right by my side\Yet why do I pray to see you both again?\There must be something off with me\Upon pages and pages of entries\We've put down all our emotions response:	But now I've hit a writer's block
context: You used to come find me way back when\You used to demand me of so much more\You're both still standing right by my side\Yet why do I pray to see you both again?\There must be something off with me\Upon pages and pages of entries\We've put down all our emotions\But now I've hit a writer's block response:	I don't know how to finish this page anymore
context: You used to demand me of so much more\You're both still standing right by my side\Yet why do I pray to see you both again?\There must be something off with me\Upon pages and pages of entries\We've put down all our emotions\But now I've hit a writer's block\I don't know how to finish this page anymore response:	Putting a bookmark in my diary
context: You're both still standing right by my side\Yet why do I pray to see you both again?\There must be something off with me\Upon pages and pages of entries\We've put down all our emotions\But now I've hit a writer's block\I don't know how to finish this page anymore\Putting a bookmark in my diary response:	You and I go out to ride the bike we found in the dumpster
context: Yet why do I pray to see you both again?\There must be something off with me\Upon pages and pages of entries\We've put down all our emotions\But now I've hit a writer's block\I don't know how to finish this page anymore\Putting a bookmark in my diary\You and I go out to ride the bike we found in the dumpster response:	Let's go to our secret place
context: There must be something off with me\Upon pages and pages of entries\We've put down all our emotions\But now I've hit a writer's block\I don't know how to finish this page anymore\Putting a bookmark in my diary\You and I go out to ride the bike we found in the dumpster\Let's go to our secret place response:	Where we piled up our bricks of memories
context: Upon pages and pages of entries\We've put down all our emotions\But now I've hit a writer's block\I don't know how to finish this page anymore\Putting a bookmark in my diary\You and I go out to ride the bike we found in the dumpster\Let's go to our secret place\Where we piled up our bricks of memories response:	Run up the hill, where we can see the horizon
context: We've put down all our emotions\But now I've hit a writer's block\I don't know how to finish this page anymore\Putting a bookmark in my diary\You and I go out to ride the bike we found in the dumpster\Let's go to our secret place\Where we piled up our bricks of memories\Run up the hill, where we can see the horizon response:	Where we can see the sky so fearfully blue
context: But now I've hit a writer's block\I don't know how to finish this page anymore\Putting a bookmark in my diary\You and I go out to ride the bike we found in the dumpster\Let's go to our secret place\Where we piled up our bricks of memories\Run up the hill, where we can see the horizon\Where we can see the sky so fearfully blue response:	With cider in my right hand
context: I don't know how to finish this page anymore\Putting a bookmark in my diary\You and I go out to ride the bike we found in the dumpster\Let's go to our secret place\Where we piled up our bricks of memories\Run up the hill, where we can see the horizon\Where we can see the sky so fearfully blue\With cider in my right hand response:	My other hand helps me search for you
context: Putting a bookmark in my diary\You and I go out to ride the bike we found in the dumpster\Let's go to our secret place\Where we piled up our bricks of memories\Run up the hill, where we can see the horizon\Where we can see the sky so fearfully blue\With cider in my right hand\My other hand helps me search for you response:	You used to come find me way back when
context: You and I go out to ride the bike we found in the dumpster\Let's go to our secret place\Where we piled up our bricks of memories\Run up the hill, where we can see the horizon\Where we can see the sky so fearfully blue\With cider in my right hand\My other hand helps me search for you\You used to come find me way back when response:	You used to demand me of so much more
context: Let's go to our secret place\Where we piled up our bricks of memories\Run up the hill, where we can see the horizon\Where we can see the sky so fearfully blue\With cider in my right hand\My other hand helps me search for you\You used to come find me way back when\You used to demand me of so much more response:	You're both still standing right by my side
context: Where we piled up our bricks of memories\Run up the hill, where we can see the horizon\Where we can see the sky so fearfully blue\With cider in my right hand\My other hand helps me search for you\You used to come find me way back when\You used to demand me of so much more\You're both still standing right by my side response:	Yet why do I pray to see you both again?
context: Run up the hill, where we can see the horizon\Where we can see the sky so fearfully blue\With cider in my right hand\My other hand helps me search for you\You used to come find me way back when\You used to demand me of so much more\You're both still standing right by my side\Yet why do I pray to see you both again? response:	There must be something off with me
context: Where we can see the sky so fearfully blue\With cider in my right hand\My other hand helps me search for you\You used to come find me way back when\You used to demand me of so much more\You're both still standing right by my side\Yet why do I pray to see you both again?\There must be something off with me response:	deai wa futtoshita shunkan
context: With cider in my right hand\My other hand helps me search for you\You used to come find me way back when\You used to demand me of so much more\You're both still standing right by my side\Yet why do I pray to see you both again?\There must be something off with me\deai wa futtoshita shunkan response:	kaerimichi no kousaten de koe wo kaketekureta ne
context: My other hand helps me search for you\You used to come find me way back when\You used to demand me of so much more\You're both still standing right by my side\Yet why do I pray to see you both again?\There must be something off with me\deai wa futtoshita shunkan\kaerimichi no kousaten de koe wo kaketekureta ne response:	issho ni kaerou
context: You used to come find me way back when\You used to demand me of so much more\You're both still standing right by my side\Yet why do I pray to see you both again?\There must be something off with me\deai wa futtoshita shunkan\kaerimichi no kousaten de koe wo kaketekureta ne\issho ni kaerou response:	We met in an unexpected moment
context: You used to demand me of so much more\You're both still standing right by my side\Yet why do I pray to see you both again?\There must be something off with me\deai wa futtoshita shunkan\kaerimichi no kousaten de koe wo kaketekureta ne\issho ni kaerou\We met in an unexpected moment response:	when you called out to me at the crosswalk,
context: You're both still standing right by my side\Yet why do I pray to see you both again?\There must be something off with me\deai wa futtoshita shunkan\kaerimichi no kousaten de koe wo kaketekureta ne\issho ni kaerou\We met in an unexpected moment\when you called out to me at the crosswalk, response:	Let's walk home together.
context: Yet why do I pray to see you both again?\There must be something off with me\deai wa futtoshita shunkan\kaerimichi no kousaten de koe wo kaketekureta ne\issho ni kaerou\We met in an unexpected moment\when you called out to me at the crosswalk,\Let's walk home together. response:	ureshikute tanoshikute bouken mo iro iro shita ne
context: There must be something off with me\deai wa futtoshita shunkan\kaerimichi no kousaten de koe wo kaketekureta ne\issho ni kaerou\We met in an unexpected moment\when you called out to me at the crosswalk,\Let's walk home together.\ureshikute tanoshikute bouken mo iro iro shita ne response:	futari no himitsu no kichi no naka
context: deai wa futtoshita shunkan\kaerimichi no kousaten de koe wo kaketekureta ne\issho ni kaerou\We met in an unexpected moment\when you called out to me at the crosswalk,\Let's walk home together.\ureshikute tanoshikute bouken mo iro iro shita ne\futari no himitsu no kichi no naka response:	kimi to natsu no owari shourai no yume ookina kibou wasurenai
context: kaerimichi no kousaten de koe wo kaketekureta ne\issho ni kaerou\We met in an unexpected moment\when you called out to me at the crosswalk,\Let's walk home together.\ureshikute tanoshikute bouken mo iro iro shita ne\futari no himitsu no kichi no naka\kimi to natsu no owari shourai no yume ookina kibou wasurenai response:	jyuunen no ato hachigatsu mata deaeru no wo shinjite
context: issho ni kaerou\We met in an unexpected moment\when you called out to me at the crosswalk,\Let's walk home together.\ureshikute tanoshikute bouken mo iro iro shita ne\futari no himitsu no kichi no naka\kimi to natsu no owari shourai no yume ookina kibou wasurenai\jyuunen no ato hachigatsu mata deaeru no wo shinjite response:	kimi ga saigo made kokoro kara arigatou sakendeita koto shitetayo
context: We met in an unexpected moment\when you called out to me at the crosswalk,\Let's walk home together.\ureshikute tanoshikute bouken mo iro iro shita ne\futari no himitsu no kichi no naka\kimi to natsu no owari shourai no yume ookina kibou wasurenai\jyuunen no ato hachigatsu mata deaeru no wo shinjite\kimi ga saigo made kokoro kara arigatou sakendeita koto shitetayo response:	namida wo koraete egao
context: when you called out to me at the crosswalk,\Let's walk home together.\ureshikute tanoshikute bouken mo iro iro shita ne\futari no himitsu no kichi no naka\kimi to natsu no owari shourai no yume ookina kibou wasurenai\jyuunen no ato hachigatsu mata deaeru no wo shinjite\kimi ga saigo made kokoro kara arigatou sakendeita koto shitetayo\namida wo koraete egao response:	de sayounara setsunai yo ne
context: Let's walk home together.\ureshikute tanoshikute bouken mo iro iro shita ne\futari no himitsu no kichi no naka\kimi to natsu no owari shourai no yume ookina kibou wasurenai\jyuunen no ato hachigatsu mata deaeru no wo shinjite\kimi ga saigo made kokoro kara arigatou sakendeita koto shitetayo\namida wo koraete egao\de sayounara setsunai yo ne response:	saikou no omoide wo
context: ureshikute tanoshikute bouken mo iro iro shita ne\futari no himitsu no kichi no naka\kimi to natsu no owari shourai no yume ookina kibou wasurenai\jyuunen no ato hachigatsu mata deaeru no wo shinjite\kimi ga saigo made kokoro kara arigatou sakendeita koto shitetayo\namida wo koraete egao\de sayounara setsunai yo ne\saikou no omoide wo response:	We shared so many happy times and thrilling adventures
context: futari no himitsu no kichi no naka\kimi to natsu no owari shourai no yume ookina kibou wasurenai\jyuunen no ato hachigatsu mata deaeru no wo shinjite\kimi ga saigo made kokoro kara arigatou sakendeita koto shitetayo\namida wo koraete egao\de sayounara setsunai yo ne\saikou no omoide wo\We shared so many happy times and thrilling adventures response:	together in our secret base.
context: kimi to natsu no owari shourai no yume ookina kibou wasurenai\jyuunen no ato hachigatsu mata deaeru no wo shinjite\kimi ga saigo made kokoro kara arigatou sakendeita koto shitetayo\namida wo koraete egao\de sayounara setsunai yo ne\saikou no omoide wo\We shared so many happy times and thrilling adventures\together in our secret base. response:	I will never forget the hopes and dreams we shared during that one summer's end.
context: jyuunen no ato hachigatsu mata deaeru no wo shinjite\kimi ga saigo made kokoro kara arigatou sakendeita koto shitetayo\namida wo koraete egao\de sayounara setsunai yo ne\saikou no omoide wo\We shared so many happy times and thrilling adventures\together in our secret base.\I will never forget the hopes and dreams we shared during that one summer's end. response:	I'm sure we will meet again in another August, in maybe ten years time.
context: kimi ga saigo made kokoro kara arigatou sakendeita koto shitetayo\namida wo koraete egao\de sayounara setsunai yo ne\saikou no omoide wo\We shared so many happy times and thrilling adventures\together in our secret base.\I will never forget the hopes and dreams we shared during that one summer's end.\I'm sure we will meet again in another August, in maybe ten years time. response:	I could feel your heartfelt thanks all the way until the end.
context: namida wo koraete egao\de sayounara setsunai yo ne\saikou no omoide wo\We shared so many happy times and thrilling adventures\together in our secret base.\I will never forget the hopes and dreams we shared during that one summer's end.\I'm sure we will meet again in another August, in maybe ten years time.\I could feel your heartfelt thanks all the way until the end. response:	And I know it must've been painful
context: de sayounara setsunai yo ne\saikou no omoide wo\We shared so many happy times and thrilling adventures\together in our secret base.\I will never forget the hopes and dreams we shared during that one summer's end.\I'm sure we will meet again in another August, in maybe ten years time.\I could feel your heartfelt thanks all the way until the end.\And I know it must've been painful response:	to hold back your tears and say goodbye with a smile.
context: saikou no omoide wo\We shared so many happy times and thrilling adventures\together in our secret base.\I will never forget the hopes and dreams we shared during that one summer's end.\I'm sure we will meet again in another August, in maybe ten years time.\I could feel your heartfelt thanks all the way until the end.\And I know it must've been painful\to hold back your tears and say goodbye with a smile. response:	But those are my best memories.
