context: I figured if they could not become pro after this, response:	there's something seriously wrong with this world.
context: I wanna see you.\Oh, Miss Hachiko, thank you for letting me take a bath.\I'm sorry, Misato. I'm going out for a bit.\Huh? At this hour? Did something happen?\No. It's nothing important, but I won't be coming home tonight.\I'll be going straight to work from there tomorrow.\I'll leave my keys with you,\so leave it in the mailbox downstairs when you go out. response:	Sorry to leave you alone.
context: Oh, Miss Hachiko, thank you for letting me take a bath.\I'm sorry, Misato. I'm going out for a bit.\Huh? At this hour? Did something happen?\No. It's nothing important, but I won't be coming home tonight.\I'll be going straight to work from there tomorrow.\I'll leave my keys with you,\so leave it in the mailbox downstairs when you go out.\Sorry to leave you alone. response:	But I just couldn't make it through the night tonight.
context: I'm sorry, Misato. I'm going out for a bit.\Huh? At this hour? Did something happen?\No. It's nothing important, but I won't be coming home tonight.\I'll be going straight to work from there tomorrow.\I'll leave my keys with you,\so leave it in the mailbox downstairs when you go out.\Sorry to leave you alone.\But I just couldn't make it through the night tonight. response:	Bye, Takumi. I'll come pick you up tomorrow morning at ten.
context: Huh? At this hour? Did something happen?\No. It's nothing important, but I won't be coming home tonight.\I'll be going straight to work from there tomorrow.\I'll leave my keys with you,\so leave it in the mailbox downstairs when you go out.\Sorry to leave you alone.\But I just couldn't make it through the night tonight.\Bye, Takumi. I'll come pick you up tomorrow morning at ten. response:	Don't you dare leave your room until then.
context: No. It's nothing important, but I won't be coming home tonight.\I'll be going straight to work from there tomorrow.\I'll leave my keys with you,\so leave it in the mailbox downstairs when you go out.\Sorry to leave you alone.\But I just couldn't make it through the night tonight.\Bye, Takumi. I'll come pick you up tomorrow morning at ten.\Don't you dare leave your room until then. response:	Yes. Thank you, Take.
context: I'll be going straight to work from there tomorrow.\I'll leave my keys with you,\so leave it in the mailbox downstairs when you go out.\Sorry to leave you alone.\But I just couldn't make it through the night tonight.\Bye, Takumi. I'll come pick you up tomorrow morning at ten.\Don't you dare leave your room until then.\Yes. Thank you, Take. response:	Drop by my place and bring me a change of clothes, okay?
context: I'll leave my keys with you,\so leave it in the mailbox downstairs when you go out.\Sorry to leave you alone.\But I just couldn't make it through the night tonight.\Bye, Takumi. I'll come pick you up tomorrow morning at ten.\Don't you dare leave your room until then.\Yes. Thank you, Take.\Drop by my place and bring me a change of clothes, okay? response:	Sure.
context: so leave it in the mailbox downstairs when you go out.\Sorry to leave you alone.\But I just couldn't make it through the night tonight.\Bye, Takumi. I'll come pick you up tomorrow morning at ten.\Don't you dare leave your room until then.\Yes. Thank you, Take.\Drop by my place and bring me a change of clothes, okay?\Sure. response:	Sorry to keep you waiting, Reira.
context: Sorry to leave you alone.\But I just couldn't make it through the night tonight.\Bye, Takumi. I'll come pick you up tomorrow morning at ten.\Don't you dare leave your room until then.\Yes. Thank you, Take.\Drop by my place and bring me a change of clothes, okay?\Sure.\Sorry to keep you waiting, Reira. response:	Take.
context: But I just couldn't make it through the night tonight.\Bye, Takumi. I'll come pick you up tomorrow morning at ten.\Don't you dare leave your room until then.\Yes. Thank you, Take.\Drop by my place and bring me a change of clothes, okay?\Sure.\Sorry to keep you waiting, Reira.\Take. response:	Huh?
context: Bye, Takumi. I'll come pick you up tomorrow morning at ten.\Don't you dare leave your room until then.\Yes. Thank you, Take.\Drop by my place and bring me a change of clothes, okay?\Sure.\Sorry to keep you waiting, Reira.\Take.\Huh? response:	Get a room for me too. I'm feeling carsick.
context: Don't you dare leave your room until then.\Yes. Thank you, Take.\Drop by my place and bring me a change of clothes, okay?\Sure.\Sorry to keep you waiting, Reira.\Take.\Huh?\Get a room for me too. I'm feeling carsick. response:	The price on the meter is getting pretty high.
context: Yes. Thank you, Take.\Drop by my place and bring me a change of clothes, okay?\Sure.\Sorry to keep you waiting, Reira.\Take.\Huh?\Get a room for me too. I'm feeling carsick.\The price on the meter is getting pretty high. response:	By the time I get there, it could be as high as my wages for tomorrow.
context: Drop by my place and bring me a change of clothes, okay?\Sure.\Sorry to keep you waiting, Reira.\Take.\Huh?\Get a room for me too. I'm feeling carsick.\The price on the meter is getting pretty high.\By the time I get there, it could be as high as my wages for tomorrow. response:	ROOM 2015 JUST SO YOU KNOW, IT'S NOT A SUITE. THOSE ARE SPECIAL FOR FIRST AND LAST STAYS ONLY.
context: Sure.\Sorry to keep you waiting, Reira.\Take.\Huh?\Get a room for me too. I'm feeling carsick.\The price on the meter is getting pretty high.\By the time I get there, it could be as high as my wages for tomorrow.\ROOM 2015 JUST SO YOU KNOW, IT'S NOT A SUITE. THOSE ARE SPECIAL FOR FIRST AND LAST STAYS ONLY. response:	Which means this isn't the last time, right?
context: Sorry to keep you waiting, Reira.\Take.\Huh?\Get a room for me too. I'm feeling carsick.\The price on the meter is getting pretty high.\By the time I get there, it could be as high as my wages for tomorrow.\ROOM 2015 JUST SO YOU KNOW, IT'S NOT A SUITE. THOSE ARE SPECIAL FOR FIRST AND LAST STAYS ONLY.\Which means this isn't the last time, right? response:	Nobu, you were more popular than me tonight.
context: Take.\Huh?\Get a room for me too. I'm feeling carsick.\The price on the meter is getting pretty high.\By the time I get there, it could be as high as my wages for tomorrow.\ROOM 2015 JUST SO YOU KNOW, IT'S NOT A SUITE. THOSE ARE SPECIAL FOR FIRST AND LAST STAYS ONLY.\Which means this isn't the last time, right?\Nobu, you were more popular than me tonight. response:	- Thank you very much, Mr. Kawano. - I don't understand.
context: Huh?\Get a room for me too. I'm feeling carsick.\The price on the meter is getting pretty high.\By the time I get there, it could be as high as my wages for tomorrow.\ROOM 2015 JUST SO YOU KNOW, IT'S NOT A SUITE. THOSE ARE SPECIAL FOR FIRST AND LAST STAYS ONLY.\Which means this isn't the last time, right?\Nobu, you were more popular than me tonight.\- Thank you very much, Mr. Kawano. - I don't understand. response:	The meal was exceptional.
context: Get a room for me too. I'm feeling carsick.\The price on the meter is getting pretty high.\By the time I get there, it could be as high as my wages for tomorrow.\ROOM 2015 JUST SO YOU KNOW, IT'S NOT A SUITE. THOSE ARE SPECIAL FOR FIRST AND LAST STAYS ONLY.\Which means this isn't the last time, right?\Nobu, you were more popular than me tonight.\- Thank you very much, Mr. Kawano. - I don't understand.\The meal was exceptional. response:	How about another drink somewhere around here?
context: The price on the meter is getting pretty high.\By the time I get there, it could be as high as my wages for tomorrow.\ROOM 2015 JUST SO YOU KNOW, IT'S NOT A SUITE. THOSE ARE SPECIAL FOR FIRST AND LAST STAYS ONLY.\Which means this isn't the last time, right?\Nobu, you were more popular than me tonight.\- Thank you very much, Mr. Kawano. - I don't understand.\The meal was exceptional.\How about another drink somewhere around here? response:	No thank you, I have to go to work tomorrow.
context: By the time I get there, it could be as high as my wages for tomorrow.\ROOM 2015 JUST SO YOU KNOW, IT'S NOT A SUITE. THOSE ARE SPECIAL FOR FIRST AND LAST STAYS ONLY.\Which means this isn't the last time, right?\Nobu, you were more popular than me tonight.\- Thank you very much, Mr. Kawano. - I don't understand.\The meal was exceptional.\How about another drink somewhere around here?\No thank you, I have to go to work tomorrow. response:	Right, you're working at a law firm, right?
context: ROOM 2015 JUST SO YOU KNOW, IT'S NOT A SUITE. THOSE ARE SPECIAL FOR FIRST AND LAST STAYS ONLY.\Which means this isn't the last time, right?\Nobu, you were more popular than me tonight.\- Thank you very much, Mr. Kawano. - I don't understand.\The meal was exceptional.\How about another drink somewhere around here?\No thank you, I have to go to work tomorrow.\Right, you're working at a law firm, right? response:	What are you gonna do about that?
context: Which means this isn't the last time, right?\Nobu, you were more popular than me tonight.\- Thank you very much, Mr. Kawano. - I don't understand.\The meal was exceptional.\How about another drink somewhere around here?\No thank you, I have to go to work tomorrow.\Right, you're working at a law firm, right?\What are you gonna do about that? response:	I'll give it some serious thought along with this issue about our contract.
context: Nobu, you were more popular than me tonight.\- Thank you very much, Mr. Kawano. - I don't understand.\The meal was exceptional.\How about another drink somewhere around here?\No thank you, I have to go to work tomorrow.\Right, you're working at a law firm, right?\What are you gonna do about that?\I'll give it some serious thought along with this issue about our contract. response:	I see. I'm hoping for a positive reply.
context: - Thank you very much, Mr. Kawano. - I don't understand.\The meal was exceptional.\How about another drink somewhere around here?\No thank you, I have to go to work tomorrow.\Right, you're working at a law firm, right?\What are you gonna do about that?\I'll give it some serious thought along with this issue about our contract.\I see. I'm hoping for a positive reply. response:	TAXI STOP
context: The meal was exceptional.\How about another drink somewhere around here?\No thank you, I have to go to work tomorrow.\Right, you're working at a law firm, right?\What are you gonna do about that?\I'll give it some serious thought along with this issue about our contract.\I see. I'm hoping for a positive reply.\TAXI STOP response:	TAXI STOP Yasu, I'm gonna take a taxi with Nobu and Shin.
context: How about another drink somewhere around here?\No thank you, I have to go to work tomorrow.\Right, you're working at a law firm, right?\What are you gonna do about that?\I'll give it some serious thought along with this issue about our contract.\I see. I'm hoping for a positive reply.\TAXI STOP\TAXI STOP Yasu, I'm gonna take a taxi with Nobu and Shin. response:	Yasu, I'm gonna take a taxi with Nobu and Shin.
context: No thank you, I have to go to work tomorrow.\Right, you're working at a law firm, right?\What are you gonna do about that?\I'll give it some serious thought along with this issue about our contract.\I see. I'm hoping for a positive reply.\TAXI STOP\TAXI STOP Yasu, I'm gonna take a taxi with Nobu and Shin.\Yasu, I'm gonna take a taxi with Nobu and Shin. response:	Hachiko said she's working from the morning tomorrow,
context: Right, you're working at a law firm, right?\What are you gonna do about that?\I'll give it some serious thought along with this issue about our contract.\I see. I'm hoping for a positive reply.\TAXI STOP\TAXI STOP Yasu, I'm gonna take a taxi with Nobu and Shin.\Yasu, I'm gonna take a taxi with Nobu and Shin.\Hachiko said she's working from the morning tomorrow, response:	so I'll drop by to see her tonight.
context: What are you gonna do about that?\I'll give it some serious thought along with this issue about our contract.\I see. I'm hoping for a positive reply.\TAXI STOP\TAXI STOP Yasu, I'm gonna take a taxi with Nobu and Shin.\Yasu, I'm gonna take a taxi with Nobu and Shin.\Hachiko said she's working from the morning tomorrow,\so I'll drop by to see her tonight. response:	Yeah, that would be good.
context: I'll give it some serious thought along with this issue about our contract.\I see. I'm hoping for a positive reply.\TAXI STOP\TAXI STOP Yasu, I'm gonna take a taxi with Nobu and Shin.\Yasu, I'm gonna take a taxi with Nobu and Shin.\Hachiko said she's working from the morning tomorrow,\so I'll drop by to see her tonight.\Yeah, that would be good. response:	Send her my apologies for not being able to make it
context: I see. I'm hoping for a positive reply.\TAXI STOP\TAXI STOP Yasu, I'm gonna take a taxi with Nobu and Shin.\Yasu, I'm gonna take a taxi with Nobu and Shin.\Hachiko said she's working from the morning tomorrow,\so I'll drop by to see her tonight.\Yeah, that would be good.\Send her my apologies for not being able to make it response:	to the after-party.
context: TAXI STOP\TAXI STOP Yasu, I'm gonna take a taxi with Nobu and Shin.\Yasu, I'm gonna take a taxi with Nobu and Shin.\Hachiko said she's working from the morning tomorrow,\so I'll drop by to see her tonight.\Yeah, that would be good.\Send her my apologies for not being able to make it\to the after-party. response:	Mr. Kawano is such a laid-back type of man, don't you think?
context: TAXI STOP Yasu, I'm gonna take a taxi with Nobu and Shin.\Yasu, I'm gonna take a taxi with Nobu and Shin.\Hachiko said she's working from the morning tomorrow,\so I'll drop by to see her tonight.\Yeah, that would be good.\Send her my apologies for not being able to make it\to the after-party.\Mr. Kawano is such a laid-back type of man, don't you think? response:	At this rate, it's gonna take us one hundred years before our debut.
context: Yasu, I'm gonna take a taxi with Nobu and Shin.\Hachiko said she's working from the morning tomorrow,\so I'll drop by to see her tonight.\Yeah, that would be good.\Send her my apologies for not being able to make it\to the after-party.\Mr. Kawano is such a laid-back type of man, don't you think?\At this rate, it's gonna take us one hundred years before our debut. response:	Does a man like that really understand the likes of rock and punk?
context: Hachiko said she's working from the morning tomorrow,\so I'll drop by to see her tonight.\Yeah, that would be good.\Send her my apologies for not being able to make it\to the after-party.\Mr. Kawano is such a laid-back type of man, don't you think?\At this rate, it's gonna take us one hundred years before our debut.\Does a man like that really understand the likes of rock and punk? response:	Sure, he said that he was moved, but...
context: so I'll drop by to see her tonight.\Yeah, that would be good.\Send her my apologies for not being able to make it\to the after-party.\Mr. Kawano is such a laid-back type of man, don't you think?\At this rate, it's gonna take us one hundred years before our debut.\Does a man like that really understand the likes of rock and punk?\Sure, he said that he was moved, but... response:	Still, he gave us money for the cab, so I'm sure he's a good man.
context: Yeah, that would be good.\Send her my apologies for not being able to make it\to the after-party.\Mr. Kawano is such a laid-back type of man, don't you think?\At this rate, it's gonna take us one hundred years before our debut.\Does a man like that really understand the likes of rock and punk?\Sure, he said that he was moved, but...\Still, he gave us money for the cab, so I'm sure he's a good man. response:	I'm not sure if that determines whether or not he's a good man.
context: Send her my apologies for not being able to make it\to the after-party.\Mr. Kawano is such a laid-back type of man, don't you think?\At this rate, it's gonna take us one hundred years before our debut.\Does a man like that really understand the likes of rock and punk?\Sure, he said that he was moved, but...\Still, he gave us money for the cab, so I'm sure he's a good man.\I'm not sure if that determines whether or not he's a good man. response:	Let's split the change.
context: to the after-party.\Mr. Kawano is such a laid-back type of man, don't you think?\At this rate, it's gonna take us one hundred years before our debut.\Does a man like that really understand the likes of rock and punk?\Sure, he said that he was moved, but...\Still, he gave us money for the cab, so I'm sure he's a good man.\I'm not sure if that determines whether or not he's a good man.\Let's split the change. response:	Excuse me! Stop here!
context: Mr. Kawano is such a laid-back type of man, don't you think?\At this rate, it's gonna take us one hundred years before our debut.\Does a man like that really understand the likes of rock and punk?\Sure, he said that he was moved, but...\Still, he gave us money for the cab, so I'm sure he's a good man.\I'm not sure if that determines whether or not he's a good man.\Let's split the change.\Excuse me! Stop here! response:	What is it?!
context: At this rate, it's gonna take us one hundred years before our debut.\Does a man like that really understand the likes of rock and punk?\Sure, he said that he was moved, but...\Still, he gave us money for the cab, so I'm sure he's a good man.\I'm not sure if that determines whether or not he's a good man.\Let's split the change.\Excuse me! Stop here!\What is it?! response:	Work? Where do you get all that energy?
context: Does a man like that really understand the likes of rock and punk?\Sure, he said that he was moved, but...\Still, he gave us money for the cab, so I'm sure he's a good man.\I'm not sure if that determines whether or not he's a good man.\Let's split the change.\Excuse me! Stop here!\What is it?!\Work? Where do you get all that energy? response:	Say hi to Hachi for me, Nobu.
context: Sure, he said that he was moved, but...\Still, he gave us money for the cab, so I'm sure he's a good man.\I'm not sure if that determines whether or not he's a good man.\Let's split the change.\Excuse me! Stop here!\What is it?!\Work? Where do you get all that energy?\Say hi to Hachi for me, Nobu. response:	Are you planning on coming too?
context: Still, he gave us money for the cab, so I'm sure he's a good man.\I'm not sure if that determines whether or not he's a good man.\Let's split the change.\Excuse me! Stop here!\What is it?!\Work? Where do you get all that energy?\Say hi to Hachi for me, Nobu.\Are you planning on coming too? response:	I'm not.
context: I'm not sure if that determines whether or not he's a good man.\Let's split the change.\Excuse me! Stop here!\What is it?!\Work? Where do you get all that energy?\Say hi to Hachi for me, Nobu.\Are you planning on coming too?\I'm not. response:	I give up. There are lots of women out there.
context: Let's split the change.\Excuse me! Stop here!\What is it?!\Work? Where do you get all that energy?\Say hi to Hachi for me, Nobu.\Are you planning on coming too?\I'm not.\I give up. There are lots of women out there. response:	And I'm pretty popular with the girls.
context: Excuse me! Stop here!\What is it?!\Work? Where do you get all that energy?\Say hi to Hachi for me, Nobu.\Are you planning on coming too?\I'm not.\I give up. There are lots of women out there.\And I'm pretty popular with the girls. response:	At least grow your hair, Nobuo.
context: What is it?!\Work? Where do you get all that energy?\Say hi to Hachi for me, Nobu.\Are you planning on coming too?\I'm not.\I give up. There are lots of women out there.\And I'm pretty popular with the girls.\At least grow your hair, Nobuo. response:	I'll get no pleasure winning her over in that department!
context: Work? Where do you get all that energy?\Say hi to Hachi for me, Nobu.\Are you planning on coming too?\I'm not.\I give up. There are lots of women out there.\And I'm pretty popular with the girls.\At least grow your hair, Nobuo.\I'll get no pleasure winning her over in that department! response:	Actually I don't think it'll look good on you.
context: Say hi to Hachi for me, Nobu.\Are you planning on coming too?\I'm not.\I give up. There are lots of women out there.\And I'm pretty popular with the girls.\At least grow your hair, Nobuo.\I'll get no pleasure winning her over in that department!\Actually I don't think it'll look good on you. response:	Then don't say it!
context: Are you planning on coming too?\I'm not.\I give up. There are lots of women out there.\And I'm pretty popular with the girls.\At least grow your hair, Nobuo.\I'll get no pleasure winning her over in that department!\Actually I don't think it'll look good on you.\Then don't say it! response:	I'm back.
context: I'm not.\I give up. There are lots of women out there.\And I'm pretty popular with the girls.\At least grow your hair, Nobuo.\I'll get no pleasure winning her over in that department!\Actually I don't think it'll look good on you.\Then don't say it!\I'm back. response:	Sorry for waking you.
context: I give up. There are lots of women out there.\And I'm pretty popular with the girls.\At least grow your hair, Nobuo.\I'll get no pleasure winning her over in that department!\Actually I don't think it'll look good on you.\Then don't say it!\I'm back.\Sorry for waking you. response:	I forgot my key at my friend's place.
context: And I'm pretty popular with the girls.\At least grow your hair, Nobuo.\I'll get no pleasure winning her over in that department!\Actually I don't think it'll look good on you.\Then don't say it!\I'm back.\Sorry for waking you.\I forgot my key at my friend's place. response:	Ren's place? I forgot my key at my friend's place.
context: At least grow your hair, Nobuo.\I'll get no pleasure winning her over in that department!\Actually I don't think it'll look good on you.\Then don't say it!\I'm back.\Sorry for waking you.\I forgot my key at my friend's place.\Ren's place? I forgot my key at my friend's place. response:	Ren's place?
context: I'll get no pleasure winning her over in that department!\Actually I don't think it'll look good on you.\Then don't say it!\I'm back.\Sorry for waking you.\I forgot my key at my friend's place.\Ren's place? I forgot my key at my friend's place.\Ren's place? response:	Ren's place? No, it's fine. I was still awake.
context: Actually I don't think it'll look good on you.\Then don't say it!\I'm back.\Sorry for waking you.\I forgot my key at my friend's place.\Ren's place? I forgot my key at my friend's place.\Ren's place?\Ren's place? No, it's fine. I was still awake. response:	No, it's fine. I was still awake.
context: Then don't say it!\I'm back.\Sorry for waking you.\I forgot my key at my friend's place.\Ren's place? I forgot my key at my friend's place.\Ren's place?\Ren's place? No, it's fine. I was still awake.\No, it's fine. I was still awake. response:	What about Hachi? Has she gone to bed?
context: I'm back.\Sorry for waking you.\I forgot my key at my friend's place.\Ren's place? I forgot my key at my friend's place.\Ren's place?\Ren's place? No, it's fine. I was still awake.\No, it's fine. I was still awake.\What about Hachi? Has she gone to bed? response:	Ah...
context: Sorry for waking you.\I forgot my key at my friend's place.\Ren's place? I forgot my key at my friend's place.\Ren's place?\Ren's place? No, it's fine. I was still awake.\No, it's fine. I was still awake.\What about Hachi? Has she gone to bed?\Ah... response:	Miss Hachiko went out a short while ago.
context: I forgot my key at my friend's place.\Ren's place? I forgot my key at my friend's place.\Ren's place?\Ren's place? No, it's fine. I was still awake.\No, it's fine. I was still awake.\What about Hachi? Has she gone to bed?\Ah...\Miss Hachiko went out a short while ago. response:	Huh? Where could she have gone at this hour?
context: Ren's place? I forgot my key at my friend's place.\Ren's place?\Ren's place? No, it's fine. I was still awake.\No, it's fine. I was still awake.\What about Hachi? Has she gone to bed?\Ah...\Miss Hachiko went out a short while ago.\Huh? Where could she have gone at this hour? response:	I'm not sure but she suddenly left in a flurry,
context: Ren's place?\Ren's place? No, it's fine. I was still awake.\No, it's fine. I was still awake.\What about Hachi? Has she gone to bed?\Ah...\Miss Hachiko went out a short while ago.\Huh? Where could she have gone at this hour?\I'm not sure but she suddenly left in a flurry, response:	saying she wouldn't be returning tonight.
context: Ren's place? No, it's fine. I was still awake.\No, it's fine. I was still awake.\What about Hachi? Has she gone to bed?\Ah...\Miss Hachiko went out a short while ago.\Huh? Where could she have gone at this hour?\I'm not sure but she suddenly left in a flurry,\saying she wouldn't be returning tonight. response:	I might've done something to upset her again.
context: No, it's fine. I was still awake.\What about Hachi? Has she gone to bed?\Ah...\Miss Hachiko went out a short while ago.\Huh? Where could she have gone at this hour?\I'm not sure but she suddenly left in a flurry,\saying she wouldn't be returning tonight.\I might've done something to upset her again. response:	No, it's not that. I'm sure it's a guy.
context: What about Hachi? Has she gone to bed?\Ah...\Miss Hachiko went out a short while ago.\Huh? Where could she have gone at this hour?\I'm not sure but she suddenly left in a flurry,\saying she wouldn't be returning tonight.\I might've done something to upset her again.\No, it's not that. I'm sure it's a guy. response:	I'll bet she went to see her boyfriend.
context: Ah...\Miss Hachiko went out a short while ago.\Huh? Where could she have gone at this hour?\I'm not sure but she suddenly left in a flurry,\saying she wouldn't be returning tonight.\I might've done something to upset her again.\No, it's not that. I'm sure it's a guy.\I'll bet she went to see her boyfriend. response:	Don't worry.
context: Miss Hachiko went out a short while ago.\Huh? Where could she have gone at this hour?\I'm not sure but she suddenly left in a flurry,\saying she wouldn't be returning tonight.\I might've done something to upset her again.\No, it's not that. I'm sure it's a guy.\I'll bet she went to see her boyfriend.\Don't worry. response:	Huh?
context: Huh? Where could she have gone at this hour?\I'm not sure but she suddenly left in a flurry,\saying she wouldn't be returning tonight.\I might've done something to upset her again.\No, it's not that. I'm sure it's a guy.\I'll bet she went to see her boyfriend.\Don't worry.\Huh? response:	Is the beer cold?
context: I'm not sure but she suddenly left in a flurry,\saying she wouldn't be returning tonight.\I might've done something to upset her again.\No, it's not that. I'm sure it's a guy.\I'll bet she went to see her boyfriend.\Don't worry.\Huh?\Is the beer cold? response:	Yes.
context: saying she wouldn't be returning tonight.\I might've done something to upset her again.\No, it's not that. I'm sure it's a guy.\I'll bet she went to see her boyfriend.\Don't worry.\Huh?\Is the beer cold?\Yes. response:	So, Miss Hachiko has a boyfriend?
context: I might've done something to upset her again.\No, it's not that. I'm sure it's a guy.\I'll bet she went to see her boyfriend.\Don't worry.\Huh?\Is the beer cold?\Yes.\So, Miss Hachiko has a boyfriend? response:	Why? Does it surprise you?
context: No, it's not that. I'm sure it's a guy.\I'll bet she went to see her boyfriend.\Don't worry.\Huh?\Is the beer cold?\Yes.\So, Miss Hachiko has a boyfriend?\Why? Does it surprise you? response:	Yes!
context: I'll bet she went to see her boyfriend.\Don't worry.\Huh?\Is the beer cold?\Yes.\So, Miss Hachiko has a boyfriend?\Why? Does it surprise you?\Yes! response:	Yes, she says.
context: Don't worry.\Huh?\Is the beer cold?\Yes.\So, Miss Hachiko has a boyfriend?\Why? Does it surprise you?\Yes!\Yes, she says. response:	Because to me, it seemed that Miss Hachiko thinks only of you, Nana.
context: Huh?\Is the beer cold?\Yes.\So, Miss Hachiko has a boyfriend?\Why? Does it surprise you?\Yes!\Yes, she says.\Because to me, it seemed that Miss Hachiko thinks only of you, Nana. response:	There's no way.
context: Is the beer cold?\Yes.\So, Miss Hachiko has a boyfriend?\Why? Does it surprise you?\Yes!\Yes, she says.\Because to me, it seemed that Miss Hachiko thinks only of you, Nana.\There's no way. response:	But I think only of you, Nana.
context: Yes.\So, Miss Hachiko has a boyfriend?\Why? Does it surprise you?\Yes!\Yes, she says.\Because to me, it seemed that Miss Hachiko thinks only of you, Nana.\There's no way.\But I think only of you, Nana. response:	Making remarks like that as if it were impossible hurts my feelings.
context: So, Miss Hachiko has a boyfriend?\Why? Does it surprise you?\Yes!\Yes, she says.\Because to me, it seemed that Miss Hachiko thinks only of you, Nana.\There's no way.\But I think only of you, Nana.\Making remarks like that as if it were impossible hurts my feelings. response:	I'm sorry.
context: Why? Does it surprise you?\Yes!\Yes, she says.\Because to me, it seemed that Miss Hachiko thinks only of you, Nana.\There's no way.\But I think only of you, Nana.\Making remarks like that as if it were impossible hurts my feelings.\I'm sorry. response:	What's this?
context: Yes!\Yes, she says.\Because to me, it seemed that Miss Hachiko thinks only of you, Nana.\There's no way.\But I think only of you, Nana.\Making remarks like that as if it were impossible hurts my feelings.\I'm sorry.\What's this? response:	Oh, it's a microwave.
context: Yes, she says.\Because to me, it seemed that Miss Hachiko thinks only of you, Nana.\There's no way.\But I think only of you, Nana.\Making remarks like that as if it were impossible hurts my feelings.\I'm sorry.\What's this?\Oh, it's a microwave. response:	Well, I can tell that by looking at it, but...
context: Because to me, it seemed that Miss Hachiko thinks only of you, Nana.\There's no way.\But I think only of you, Nana.\Making remarks like that as if it were impossible hurts my feelings.\I'm sorry.\What's this?\Oh, it's a microwave.\Well, I can tell that by looking at it, but... response:	She said she got a loan to buy it.
context: There's no way.\But I think only of you, Nana.\Making remarks like that as if it were impossible hurts my feelings.\I'm sorry.\What's this?\Oh, it's a microwave.\Well, I can tell that by looking at it, but...\She said she got a loan to buy it. response:	Apparently that was the only place she could put it.
context: But I think only of you, Nana.\Making remarks like that as if it were impossible hurts my feelings.\I'm sorry.\What's this?\Oh, it's a microwave.\Well, I can tell that by looking at it, but...\She said she got a loan to buy it.\Apparently that was the only place she could put it. response:	If she had that kinda money, why not get an air conditioner?
context: Making remarks like that as if it were impossible hurts my feelings.\I'm sorry.\What's this?\Oh, it's a microwave.\Well, I can tell that by looking at it, but...\She said she got a loan to buy it.\Apparently that was the only place she could put it.\If she had that kinda money, why not get an air conditioner? response:	Geez, that Hachi.
context: I'm sorry.\What's this?\Oh, it's a microwave.\Well, I can tell that by looking at it, but...\She said she got a loan to buy it.\Apparently that was the only place she could put it.\If she had that kinda money, why not get an air conditioner?\Geez, that Hachi. response:	Say, what's with this mountain of leftovers in the fridge?
context: What's this?\Oh, it's a microwave.\Well, I can tell that by looking at it, but...\She said she got a loan to buy it.\Apparently that was the only place she could put it.\If she had that kinda money, why not get an air conditioner?\Geez, that Hachi.\Say, what's with this mountain of leftovers in the fridge? response:	That... Actually, Miss Hachiko figured tonight would be a night to celebrate,
context: Oh, it's a microwave.\Well, I can tell that by looking at it, but...\She said she got a loan to buy it.\Apparently that was the only place she could put it.\If she had that kinda money, why not get an air conditioner?\Geez, that Hachi.\Say, what's with this mountain of leftovers in the fridge?\That... Actually, Miss Hachiko figured tonight would be a night to celebrate, response:	and she had already prepared this before I arrived here.
context: Well, I can tell that by looking at it, but...\She said she got a loan to buy it.\Apparently that was the only place she could put it.\If she had that kinda money, why not get an air conditioner?\Geez, that Hachi.\Say, what's with this mountain of leftovers in the fridge?\That... Actually, Miss Hachiko figured tonight would be a night to celebrate,\and she had already prepared this before I arrived here. response:	Did you already make preparations for our after-party?
context: She said she got a loan to buy it.\Apparently that was the only place she could put it.\If she had that kinda money, why not get an air conditioner?\Geez, that Hachi.\Say, what's with this mountain of leftovers in the fridge?\That... Actually, Miss Hachiko figured tonight would be a night to celebrate,\and she had already prepared this before I arrived here.\Did you already make preparations for our after-party? response:	No, not yet. Don't worry about us and go.
context: Apparently that was the only place she could put it.\If she had that kinda money, why not get an air conditioner?\Geez, that Hachi.\Say, what's with this mountain of leftovers in the fridge?\That... Actually, Miss Hachiko figured tonight would be a night to celebrate,\and she had already prepared this before I arrived here.\Did you already make preparations for our after-party?\No, not yet. Don't worry about us and go. response:	I'm sorry.
context: If she had that kinda money, why not get an air conditioner?\Geez, that Hachi.\Say, what's with this mountain of leftovers in the fridge?\That... Actually, Miss Hachiko figured tonight would be a night to celebrate,\and she had already prepared this before I arrived here.\Did you already make preparations for our after-party?\No, not yet. Don't worry about us and go.\I'm sorry. response:	No, you couldn't help it, Nana.
context: Geez, that Hachi.\Say, what's with this mountain of leftovers in the fridge?\That... Actually, Miss Hachiko figured tonight would be a night to celebrate,\and she had already prepared this before I arrived here.\Did you already make preparations for our after-party?\No, not yet. Don't worry about us and go.\I'm sorry.\No, you couldn't help it, Nana. response:	Um, so how did it go with the record company?
context: Say, what's with this mountain of leftovers in the fridge?\That... Actually, Miss Hachiko figured tonight would be a night to celebrate,\and she had already prepared this before I arrived here.\Did you already make preparations for our after-party?\No, not yet. Don't worry about us and go.\I'm sorry.\No, you couldn't help it, Nana.\Um, so how did it go with the record company? response:	Hey, Nana...
context: That... Actually, Miss Hachiko figured tonight would be a night to celebrate,\and she had already prepared this before I arrived here.\Did you already make preparations for our after-party?\No, not yet. Don't worry about us and go.\I'm sorry.\No, you couldn't help it, Nana.\Um, so how did it go with the record company?\Hey, Nana... response:	For instance, if we were lovers,
