context: If you're listening to this, then you're somehow related to Hei. response:	If the past hasn't changed, that is.
context: It's something everyone holds dear to them, deep inside.\Oh my, you've become a splendid adult to say that, Matsukichi.\Thanks, mom!\Gah! How do you know my real name?!\Hey! Wait!\I'm so happy, Shion!\Kureteku yuubae ni senaka osarete\My back is pressed by the darkening glow of dusk response:	Arukidasu kage ga shimesu hou e
context: Oh my, you've become a splendid adult to say that, Matsukichi.\Thanks, mom!\Gah! How do you know my real name?!\Hey! Wait!\I'm so happy, Shion!\Kureteku yuubae ni senaka osarete\My back is pressed by the darkening glow of dusk\Arukidasu kage ga shimesu hou e response:	I start walking toward where my shadow points
context: Thanks, mom!\Gah! How do you know my real name?!\Hey! Wait!\I'm so happy, Shion!\Kureteku yuubae ni senaka osarete\My back is pressed by the darkening glow of dusk\Arukidasu kage ga shimesu hou e\I start walking toward where my shadow points response:	Taenai ikutsu mo no deai to wakare o
context: Gah! How do you know my real name?!\Hey! Wait!\I'm so happy, Shion!\Kureteku yuubae ni senaka osarete\My back is pressed by the darkening glow of dusk\Arukidasu kage ga shimesu hou e\I start walking toward where my shadow points\Taenai ikutsu mo no deai to wakare o response:	Repeating the many, ceaseless encounters and partings
context: Hey! Wait!\I'm so happy, Shion!\Kureteku yuubae ni senaka osarete\My back is pressed by the darkening glow of dusk\Arukidasu kage ga shimesu hou e\I start walking toward where my shadow points\Taenai ikutsu mo no deai to wakare o\Repeating the many, ceaseless encounters and partings response:	Kurikaeshi doko e mukau no ka
context: I'm so happy, Shion!\Kureteku yuubae ni senaka osarete\My back is pressed by the darkening glow of dusk\Arukidasu kage ga shimesu hou e\I start walking toward where my shadow points\Taenai ikutsu mo no deai to wakare o\Repeating the many, ceaseless encounters and partings\Kurikaeshi doko e mukau no ka response:	Where do I head to?
context: Kureteku yuubae ni senaka osarete\My back is pressed by the darkening glow of dusk\Arukidasu kage ga shimesu hou e\I start walking toward where my shadow points\Taenai ikutsu mo no deai to wakare o\Repeating the many, ceaseless encounters and partings\Kurikaeshi doko e mukau no ka\Where do I head to? response:	Hito wa dare mo mayoinagara
context: My back is pressed by the darkening glow of dusk\Arukidasu kage ga shimesu hou e\I start walking toward where my shadow points\Taenai ikutsu mo no deai to wakare o\Repeating the many, ceaseless encounters and partings\Kurikaeshi doko e mukau no ka\Where do I head to?\Hito wa dare mo mayoinagara response:	For all people, while they are lost,
context: Arukidasu kage ga shimesu hou e\I start walking toward where my shadow points\Taenai ikutsu mo no deai to wakare o\Repeating the many, ceaseless encounters and partings\Kurikaeshi doko e mukau no ka\Where do I head to?\Hito wa dare mo mayoinagara\For all people, while they are lost, response:	tsumi to iu na no sadame o seotte
context: I start walking toward where my shadow points\Taenai ikutsu mo no deai to wakare o\Repeating the many, ceaseless encounters and partings\Kurikaeshi doko e mukau no ka\Where do I head to?\Hito wa dare mo mayoinagara\For all people, while they are lost,\tsumi to iu na no sadame o seotte response:	they bear the fate known as sin
context: Taenai ikutsu mo no deai to wakare o\Repeating the many, ceaseless encounters and partings\Kurikaeshi doko e mukau no ka\Where do I head to?\Hito wa dare mo mayoinagara\For all people, while they are lost,\tsumi to iu na no sadame o seotte\they bear the fate known as sin response:	Sore de mo nao ikiru imi o shiru darou
context: Repeating the many, ceaseless encounters and partings\Kurikaeshi doko e mukau no ka\Where do I head to?\Hito wa dare mo mayoinagara\For all people, while they are lost,\tsumi to iu na no sadame o seotte\they bear the fate known as sin\Sore de mo nao ikiru imi o shiru darou response:	Nevertheless, I'll still learn of the meaning to live, right?
context: Kurikaeshi doko e mukau no ka\Where do I head to?\Hito wa dare mo mayoinagara\For all people, while they are lost,\tsumi to iu na no sadame o seotte\they bear the fate known as sin\Sore de mo nao ikiru imi o shiru darou\Nevertheless, I'll still learn of the meaning to live, right? response:	Bokura wa sou Day by Day
context: Where do I head to?\Hito wa dare mo mayoinagara\For all people, while they are lost,\tsumi to iu na no sadame o seotte\they bear the fate known as sin\Sore de mo nao ikiru imi o shiru darou\Nevertheless, I'll still learn of the meaning to live, right?\Bokura wa sou Day by Day response:	That's right, Day by Day,
context: Hito wa dare mo mayoinagara\For all people, while they are lost,\tsumi to iu na no sadame o seotte\they bear the fate known as sin\Sore de mo nao ikiru imi o shiru darou\Nevertheless, I'll still learn of the meaning to live, right?\Bokura wa sou Day by Day\That's right, Day by Day, response:	ashita e tsuzuku michi no tochuu de
context: For all people, while they are lost,\tsumi to iu na no sadame o seotte\they bear the fate known as sin\Sore de mo nao ikiru imi o shiru darou\Nevertheless, I'll still learn of the meaning to live, right?\Bokura wa sou Day by Day\That's right, Day by Day,\ashita e tsuzuku michi no tochuu de response:	we're midway on the road leading to tomorrow
context: tsumi to iu na no sadame o seotte\they bear the fate known as sin\Sore de mo nao ikiru imi o shiru darou\Nevertheless, I'll still learn of the meaning to live, right?\Bokura wa sou Day by Day\That's right, Day by Day,\ashita e tsuzuku michi no tochuu de\we're midway on the road leading to tomorrow response:	Now Say It Again kimi to futari no mama
context: they bear the fate known as sin\Sore de mo nao ikiru imi o shiru darou\Nevertheless, I'll still learn of the meaning to live, right?\Bokura wa sou Day by Day\That's right, Day by Day,\ashita e tsuzuku michi no tochuu de\we're midway on the road leading to tomorrow\Now Say It Again kimi to futari no mama response:	Now Say It Again, though it'd be great if
context: Sore de mo nao ikiru imi o shiru darou\Nevertheless, I'll still learn of the meaning to live, right?\Bokura wa sou Day by Day\That's right, Day by Day,\ashita e tsuzuku michi no tochuu de\we're midway on the road leading to tomorrow\Now Say It Again kimi to futari no mama\Now Say It Again, though it'd be great if response:	irareta nara ii no ni naa...
context: Nevertheless, I'll still learn of the meaning to live, right?\Bokura wa sou Day by Day\That's right, Day by Day,\ashita e tsuzuku michi no tochuu de\we're midway on the road leading to tomorrow\Now Say It Again kimi to futari no mama\Now Say It Again, though it'd be great if\irareta nara ii no ni naa... response:	I could remain together with you...
context: Bokura wa sou Day by Day\That's right, Day by Day,\ashita e tsuzuku michi no tochuu de\we're midway on the road leading to tomorrow\Now Say It Again kimi to futari no mama\Now Say It Again, though it'd be great if\irareta nara ii no ni naa...\I could remain together with you... response:	What do you want to eat?
context: That's right, Day by Day,\ashita e tsuzuku michi no tochuu de\we're midway on the road leading to tomorrow\Now Say It Again kimi to futari no mama\Now Say It Again, though it'd be great if\irareta nara ii no ni naa...\I could remain together with you...\What do you want to eat? response:	What do you like, Shion?
context: ashita e tsuzuku michi no tochuu de\we're midway on the road leading to tomorrow\Now Say It Again kimi to futari no mama\Now Say It Again, though it'd be great if\irareta nara ii no ni naa...\I could remain together with you...\What do you want to eat?\What do you like, Shion? response:	You got it wrong again, Mama.
context: we're midway on the road leading to tomorrow\Now Say It Again kimi to futari no mama\Now Say It Again, though it'd be great if\irareta nara ii no ni naa...\I could remain together with you...\What do you want to eat?\What do you like, Shion?\You got it wrong again, Mama. response:	Maybe it's because of my clothes.
context: Now Say It Again kimi to futari no mama\Now Say It Again, though it'd be great if\irareta nara ii no ni naa...\I could remain together with you...\What do you want to eat?\What do you like, Shion?\You got it wrong again, Mama.\Maybe it's because of my clothes. response:	I'm not Shion.
context: Now Say It Again, though it'd be great if\irareta nara ii no ni naa...\I could remain together with you...\What do you want to eat?\What do you like, Shion?\You got it wrong again, Mama.\Maybe it's because of my clothes.\I'm not Shion. response:	You can't be...
context: irareta nara ii no ni naa...\I could remain together with you...\What do you want to eat?\What do you like, Shion?\You got it wrong again, Mama.\Maybe it's because of my clothes.\I'm not Shion.\You can't be... response:	I told you, I'm Suou!
context: I could remain together with you...\What do you want to eat?\What do you like, Shion?\You got it wrong again, Mama.\Maybe it's because of my clothes.\I'm not Shion.\You can't be...\I told you, I'm Suou! response:	No way!
context: What do you want to eat?\What do you like, Shion?\You got it wrong again, Mama.\Maybe it's because of my clothes.\I'm not Shion.\You can't be...\I told you, I'm Suou!\No way! response:	You're not Suou!
context: What do you like, Shion?\You got it wrong again, Mama.\Maybe it's because of my clothes.\I'm not Shion.\You can't be...\I told you, I'm Suou!\No way!\You're not Suou! response:	You can't be her...
context: You got it wrong again, Mama.\Maybe it's because of my clothes.\I'm not Shion.\You can't be...\I told you, I'm Suou!\No way!\You're not Suou!\You can't be her... response:	because she died... eight years ago!
context: Maybe it's because of my clothes.\I'm not Shion.\You can't be...\I told you, I'm Suou!\No way!\You're not Suou!\You can't be her...\because she died... eight years ago! response:	When she was about to learn the truth, there was nothing left.
context: I'm not Shion.\You can't be...\I told you, I'm Suou!\No way!\You're not Suou!\You can't be her...\because she died... eight years ago!\When she was about to learn the truth, there was nothing left. response:	Mother, father...
context: You can't be...\I told you, I'm Suou!\No way!\You're not Suou!\You can't be her...\because she died... eight years ago!\When she was about to learn the truth, there was nothing left.\Mother, father... response:	the memories of her siblings, everything...
context: I told you, I'm Suou!\No way!\You're not Suou!\You can't be her...\because she died... eight years ago!\When she was about to learn the truth, there was nothing left.\Mother, father...\the memories of her siblings, everything... response:	When she knew everything was a lie,
context: No way!\You're not Suou!\You can't be her...\because she died... eight years ago!\When she was about to learn the truth, there was nothing left.\Mother, father...\the memories of her siblings, everything...\When she knew everything was a lie, response:	she begins to run into a dark cave.
context: You're not Suou!\You can't be her...\because she died... eight years ago!\When she was about to learn the truth, there was nothing left.\Mother, father...\the memories of her siblings, everything...\When she knew everything was a lie,\she begins to run into a dark cave. response:	Into the void of nothing.
context: You can't be her...\because she died... eight years ago!\When she was about to learn the truth, there was nothing left.\Mother, father...\the memories of her siblings, everything...\When she knew everything was a lie,\she begins to run into a dark cave.\Into the void of nothing. response:	Seeking for the light.
context: because she died... eight years ago!\When she was about to learn the truth, there was nothing left.\Mother, father...\the memories of her siblings, everything...\When she knew everything was a lie,\she begins to run into a dark cave.\Into the void of nothing.\Seeking for the light. response:	Just running recklessly.
context: When she was about to learn the truth, there was nothing left.\Mother, father...\the memories of her siblings, everything...\When she knew everything was a lie,\she begins to run into a dark cave.\Into the void of nothing.\Seeking for the light.\Just running recklessly. response:	And then... she holds onto something.
