context: What's wrong? Everything okay, Akari? response:	Yeah. It's nothing.
context: It's the best climax!\Akari!\That was too close! We almost died!\Akari, you're bleeding!\I'm fine.\What are you talking about?\A woman's life depends on her face. And her hair!\A woman's life depends on all sorts of things! response:	Someone's there!
context: Akari!\That was too close! We almost died!\Akari, you're bleeding!\I'm fine.\What are you talking about?\A woman's life depends on her face. And her hair!\A woman's life depends on all sorts of things!\Someone's there! response:	It's the helicopter pilot!
context: That was too close! We almost died!\Akari, you're bleeding!\I'm fine.\What are you talking about?\A woman's life depends on her face. And her hair!\A woman's life depends on all sorts of things!\Someone's there!\It's the helicopter pilot! response:	I'm glad he's alive.
context: Akari, you're bleeding!\I'm fine.\What are you talking about?\A woman's life depends on her face. And her hair!\A woman's life depends on all sorts of things!\Someone's there!\It's the helicopter pilot!\I'm glad he's alive. response:	Oh, he's a cutie!
context: I'm fine.\What are you talking about?\A woman's life depends on her face. And her hair!\A woman's life depends on all sorts of things!\Someone's there!\It's the helicopter pilot!\I'm glad he's alive.\Oh, he's a cutie! response:	You can leave this one to me.
context: What are you talking about?\A woman's life depends on her face. And her hair!\A woman's life depends on all sorts of things!\Someone's there!\It's the helicopter pilot!\I'm glad he's alive.\Oh, he's a cutie!\You can leave this one to me. response:	Sh-She's fast.
context: A woman's life depends on her face. And her hair!\A woman's life depends on all sorts of things!\Someone's there!\It's the helicopter pilot!\I'm glad he's alive.\Oh, he's a cutie!\You can leave this one to me.\Sh-She's fast. response:	Ow...
context: A woman's life depends on all sorts of things!\Someone's there!\It's the helicopter pilot!\I'm glad he's alive.\Oh, he's a cutie!\You can leave this one to me.\Sh-She's fast.\Ow... response:	Oh, man! My favorite dress is in tatters!
context: Someone's there!\It's the helicopter pilot!\I'm glad he's alive.\Oh, he's a cutie!\You can leave this one to me.\Sh-She's fast.\Ow...\Oh, man! My favorite dress is in tatters! response:	Liberty!
context: It's the helicopter pilot!\I'm glad he's alive.\Oh, he's a cutie!\You can leave this one to me.\Sh-She's fast.\Ow...\Oh, man! My favorite dress is in tatters!\Liberty! response:	Oh, you're that bear's owner, aren't you?
context: I'm glad he's alive.\Oh, he's a cutie!\You can leave this one to me.\Sh-She's fast.\Ow...\Oh, man! My favorite dress is in tatters!\Liberty!\Oh, you're that bear's owner, aren't you? response:	Liberty, you're behind all this chaos, right?
context: Oh, he's a cutie!\You can leave this one to me.\Sh-She's fast.\Ow...\Oh, man! My favorite dress is in tatters!\Liberty!\Oh, you're that bear's owner, aren't you?\Liberty, you're behind all this chaos, right? response:	I might be!
context: You can leave this one to me.\Sh-She's fast.\Ow...\Oh, man! My favorite dress is in tatters!\Liberty!\Oh, you're that bear's owner, aren't you?\Liberty, you're behind all this chaos, right?\I might be! response:	Sorry.
context: Sh-She's fast.\Ow...\Oh, man! My favorite dress is in tatters!\Liberty!\Oh, you're that bear's owner, aren't you?\Liberty, you're behind all this chaos, right?\I might be!\Sorry. response:	Really?!
context: Ow...\Oh, man! My favorite dress is in tatters!\Liberty!\Oh, you're that bear's owner, aren't you?\Liberty, you're behind all this chaos, right?\I might be!\Sorry.\Really?! response:	I said I was sorry.
context: Oh, man! My favorite dress is in tatters!\Liberty!\Oh, you're that bear's owner, aren't you?\Liberty, you're behind all this chaos, right?\I might be!\Sorry.\Really?!\I said I was sorry. response:	To make up for it, kinda...
context: Liberty!\Oh, you're that bear's owner, aren't you?\Liberty, you're behind all this chaos, right?\I might be!\Sorry.\Really?!\I said I was sorry.\To make up for it, kinda... response:	So, officer, are you a good shot?
context: Oh, you're that bear's owner, aren't you?\Liberty, you're behind all this chaos, right?\I might be!\Sorry.\Really?!\I said I was sorry.\To make up for it, kinda...\So, officer, are you a good shot? response:	What do you mean?
context: Liberty, you're behind all this chaos, right?\I might be!\Sorry.\Really?!\I said I was sorry.\To make up for it, kinda...\So, officer, are you a good shot?\What do you mean? response:	Akari?
context: I might be!\Sorry.\Really?!\I said I was sorry.\To make up for it, kinda...\So, officer, are you a good shot?\What do you mean?\Akari? response:	Wait, where are you going?!
context: Sorry.\Really?!\I said I was sorry.\To make up for it, kinda...\So, officer, are you a good shot?\What do you mean?\Akari?\Wait, where are you going?! response:	I need a favor from you.
context: Really?!\I said I was sorry.\To make up for it, kinda...\So, officer, are you a good shot?\What do you mean?\Akari?\Wait, where are you going?!\I need a favor from you. response:	During the fight earlier, there was a spot he was desperately guarding.
context: I said I was sorry.\To make up for it, kinda...\So, officer, are you a good shot?\What do you mean?\Akari?\Wait, where are you going?!\I need a favor from you.\During the fight earlier, there was a spot he was desperately guarding. response:	Long story short, it's where he's vulnerable.
context: To make up for it, kinda...\So, officer, are you a good shot?\What do you mean?\Akari?\Wait, where are you going?!\I need a favor from you.\During the fight earlier, there was a spot he was desperately guarding.\Long story short, it's where he's vulnerable. response:	His weak point.
context: So, officer, are you a good shot?\What do you mean?\Akari?\Wait, where are you going?!\I need a favor from you.\During the fight earlier, there was a spot he was desperately guarding.\Long story short, it's where he's vulnerable.\His weak point. response:	It's the eyeball inside his mouth.
context: What do you mean?\Akari?\Wait, where are you going?!\I need a favor from you.\During the fight earlier, there was a spot he was desperately guarding.\Long story short, it's where he's vulnerable.\His weak point.\It's the eyeball inside his mouth. response:	But his defense is essentially perfect.
context: Akari?\Wait, where are you going?!\I need a favor from you.\During the fight earlier, there was a spot he was desperately guarding.\Long story short, it's where he's vulnerable.\His weak point.\It's the eyeball inside his mouth.\But his defense is essentially perfect. response:	That's why I want you to shoot that eyeball with your gun
context: Wait, where are you going?!\I need a favor from you.\During the fight earlier, there was a spot he was desperately guarding.\Long story short, it's where he's vulnerable.\His weak point.\It's the eyeball inside his mouth.\But his defense is essentially perfect.\That's why I want you to shoot that eyeball with your gun response:	while the bear and I face off with his arms.
context: I need a favor from you.\During the fight earlier, there was a spot he was desperately guarding.\Long story short, it's where he's vulnerable.\His weak point.\It's the eyeball inside his mouth.\But his defense is essentially perfect.\That's why I want you to shoot that eyeball with your gun\while the bear and I face off with his arms. response:	Akari!
context: During the fight earlier, there was a spot he was desperately guarding.\Long story short, it's where he's vulnerable.\His weak point.\It's the eyeball inside his mouth.\But his defense is essentially perfect.\That's why I want you to shoot that eyeball with your gun\while the bear and I face off with his arms.\Akari! response:	Huh?
context: Long story short, it's where he's vulnerable.\His weak point.\It's the eyeball inside his mouth.\But his defense is essentially perfect.\That's why I want you to shoot that eyeball with your gun\while the bear and I face off with his arms.\Akari!\Huh? response:	Wow!
context: His weak point.\It's the eyeball inside his mouth.\But his defense is essentially perfect.\That's why I want you to shoot that eyeball with your gun\while the bear and I face off with his arms.\Akari!\Huh?\Wow! response:	Liberty!
context: It's the eyeball inside his mouth.\But his defense is essentially perfect.\That's why I want you to shoot that eyeball with your gun\while the bear and I face off with his arms.\Akari!\Huh?\Wow!\Liberty! response:	What the?!
context: But his defense is essentially perfect.\That's why I want you to shoot that eyeball with your gun\while the bear and I face off with his arms.\Akari!\Huh?\Wow!\Liberty!\What the?! response:	I did it!
context: That's why I want you to shoot that eyeball with your gun\while the bear and I face off with his arms.\Akari!\Huh?\Wow!\Liberty!\What the?!\I did it! response:	Not yet! It didn't reach!
context: while the bear and I face off with his arms.\Akari!\Huh?\Wow!\Liberty!\What the?!\I did it!\Not yet! It didn't reach! response:	Apple!
context: Akari!\Huh?\Wow!\Liberty!\What the?!\I did it!\Not yet! It didn't reach!\Apple! response:	Akari!
context: Huh?\Wow!\Liberty!\What the?!\I did it!\Not yet! It didn't reach!\Apple!\Akari! response:	Liberty!
context: Wow!\Liberty!\What the?!\I did it!\Not yet! It didn't reach!\Apple!\Akari!\Liberty! response:	Now, Akari!
context: Liberty!\What the?!\I did it!\Not yet! It didn't reach!\Apple!\Akari!\Liberty!\Now, Akari! response:	Right!
context: What the?!\I did it!\Not yet! It didn't reach!\Apple!\Akari!\Liberty!\Now, Akari!\Right! response:	Nice!
context: I did it!\Not yet! It didn't reach!\Apple!\Akari!\Liberty!\Now, Akari!\Right!\Nice! response:	Apple! Liberty!
context: Not yet! It didn't reach!\Apple!\Akari!\Liberty!\Now, Akari!\Right!\Nice!\Apple! Liberty! response:	Let's do this, Apple.
context: Apple!\Akari!\Liberty!\Now, Akari!\Right!\Nice!\Apple! Liberty!\Let's do this, Apple. response:	Yeah.
context: Akari!\Liberty!\Now, Akari!\Right!\Nice!\Apple! Liberty!\Let's do this, Apple.\Yeah. response:	Apple!
context: Liberty!\Now, Akari!\Right!\Nice!\Apple! Liberty!\Let's do this, Apple.\Yeah.\Apple! response:	I'm going to protect New York and Akari!
context: Now, Akari!\Right!\Nice!\Apple! Liberty!\Let's do this, Apple.\Yeah.\Apple!\I'm going to protect New York and Akari! response:	The lights!
context: Right!\Nice!\Apple! Liberty!\Let's do this, Apple.\Yeah.\Apple!\I'm going to protect New York and Akari!\The lights! response:	Yay!
context: Nice!\Apple! Liberty!\Let's do this, Apple.\Yeah.\Apple!\I'm going to protect New York and Akari!\The lights!\Yay! response:	The electricity he absorbed is back.
context: Apple! Liberty!\Let's do this, Apple.\Yeah.\Apple!\I'm going to protect New York and Akari!\The lights!\Yay!\The electricity he absorbed is back. response:	The city is shining again.
context: Let's do this, Apple.\Yeah.\Apple!\I'm going to protect New York and Akari!\The lights!\Yay!\The electricity he absorbed is back.\The city is shining again. response:	I'm honestly very sorry.
context: Yeah.\Apple!\I'm going to protect New York and Akari!\The lights!\Yay!\The electricity he absorbed is back.\The city is shining again.\I'm honestly very sorry. response:	This was all my fault.
context: Apple!\I'm going to protect New York and Akari!\The lights!\Yay!\The electricity he absorbed is back.\The city is shining again.\I'm honestly very sorry.\This was all my fault. response:	Look, if sorry was enough, we wouldn't need the NYPD.
context: I'm going to protect New York and Akari!\The lights!\Yay!\The electricity he absorbed is back.\The city is shining again.\I'm honestly very sorry.\This was all my fault.\Look, if sorry was enough, we wouldn't need the NYPD. response:	Hey, Liberty, what did you mean when you said everyone's Christmas?
context: The lights!\Yay!\The electricity he absorbed is back.\The city is shining again.\I'm honestly very sorry.\This was all my fault.\Look, if sorry was enough, we wouldn't need the NYPD.\Hey, Liberty, what did you mean when you said everyone's Christmas? response:	Ever since I was a kid,
context: Yay!\The electricity he absorbed is back.\The city is shining again.\I'm honestly very sorry.\This was all my fault.\Look, if sorry was enough, we wouldn't need the NYPD.\Hey, Liberty, what did you mean when you said everyone's Christmas?\Ever since I was a kid, response:	I've loved this shining city.
context: The electricity he absorbed is back.\The city is shining again.\I'm honestly very sorry.\This was all my fault.\Look, if sorry was enough, we wouldn't need the NYPD.\Hey, Liberty, what did you mean when you said everyone's Christmas?\Ever since I was a kid,\I've loved this shining city. response:	I've loved the shining smiles on people's faces.
context: The city is shining again.\I'm honestly very sorry.\This was all my fault.\Look, if sorry was enough, we wouldn't need the NYPD.\Hey, Liberty, what did you mean when you said everyone's Christmas?\Ever since I was a kid,\I've loved this shining city.\I've loved the shining smiles on people's faces. response:	And above all else, I've loved this city's Christmas.
context: I'm honestly very sorry.\This was all my fault.\Look, if sorry was enough, we wouldn't need the NYPD.\Hey, Liberty, what did you mean when you said everyone's Christmas?\Ever since I was a kid,\I've loved this shining city.\I've loved the shining smiles on people's faces.\And above all else, I've loved this city's Christmas. response:	Thank you.
context: This was all my fault.\Look, if sorry was enough, we wouldn't need the NYPD.\Hey, Liberty, what did you mean when you said everyone's Christmas?\Ever since I was a kid,\I've loved this shining city.\I've loved the shining smiles on people's faces.\And above all else, I've loved this city's Christmas.\Thank you. response:	That man protected me when I was all alone.
context: Look, if sorry was enough, we wouldn't need the NYPD.\Hey, Liberty, what did you mean when you said everyone's Christmas?\Ever since I was a kid,\I've loved this shining city.\I've loved the shining smiles on people's faces.\And above all else, I've loved this city's Christmas.\Thank you.\That man protected me when I was all alone. response:	It was just for a brief moment, but he brought me happiness.
context: Hey, Liberty, what did you mean when you said everyone's Christmas?\Ever since I was a kid,\I've loved this shining city.\I've loved the shining smiles on people's faces.\And above all else, I've loved this city's Christmas.\Thank you.\That man protected me when I was all alone.\It was just for a brief moment, but he brought me happiness. response:	Yes, almost like he was Santa.
context: Ever since I was a kid,\I've loved this shining city.\I've loved the shining smiles on people's faces.\And above all else, I've loved this city's Christmas.\Thank you.\That man protected me when I was all alone.\It was just for a brief moment, but he brought me happiness.\Yes, almost like he was Santa. response:	But I was so happy and embarrassed that I ran away.
context: I've loved this shining city.\I've loved the shining smiles on people's faces.\And above all else, I've loved this city's Christmas.\Thank you.\That man protected me when I was all alone.\It was just for a brief moment, but he brought me happiness.\Yes, almost like he was Santa.\But I was so happy and embarrassed that I ran away. response:	I haven't been able to find him since.
context: I've loved the shining smiles on people's faces.\And above all else, I've loved this city's Christmas.\Thank you.\That man protected me when I was all alone.\It was just for a brief moment, but he brought me happiness.\Yes, almost like he was Santa.\But I was so happy and embarrassed that I ran away.\I haven't been able to find him since. response:	That's why I decided that I'd make everyone in this city happy in his stead.
context: And above all else, I've loved this city's Christmas.\Thank you.\That man protected me when I was all alone.\It was just for a brief moment, but he brought me happiness.\Yes, almost like he was Santa.\But I was so happy and embarrassed that I ran away.\I haven't been able to find him since.\That's why I decided that I'd make everyone in this city happy in his stead. response:	So that children like me wouldn't have to feel sad on Christmas Eve.
context: Thank you.\That man protected me when I was all alone.\It was just for a brief moment, but he brought me happiness.\Yes, almost like he was Santa.\But I was so happy and embarrassed that I ran away.\I haven't been able to find him since.\That's why I decided that I'd make everyone in this city happy in his stead.\So that children like me wouldn't have to feel sad on Christmas Eve. response:	Even so, your methods were too extreme!
context: That man protected me when I was all alone.\It was just for a brief moment, but he brought me happiness.\Yes, almost like he was Santa.\But I was so happy and embarrassed that I ran away.\I haven't been able to find him since.\That's why I decided that I'd make everyone in this city happy in his stead.\So that children like me wouldn't have to feel sad on Christmas Eve.\Even so, your methods were too extreme! response:	Emma...
context: It was just for a brief moment, but he brought me happiness.\Yes, almost like he was Santa.\But I was so happy and embarrassed that I ran away.\I haven't been able to find him since.\That's why I decided that I'd make everyone in this city happy in his stead.\So that children like me wouldn't have to feel sad on Christmas Eve.\Even so, your methods were too extreme!\Emma... response:	And he was a really kind and cool Santa.
context: Yes, almost like he was Santa.\But I was so happy and embarrassed that I ran away.\I haven't been able to find him since.\That's why I decided that I'd make everyone in this city happy in his stead.\So that children like me wouldn't have to feel sad on Christmas Eve.\Even so, your methods were too extreme!\Emma...\And he was a really kind and cool Santa. response:	As I ran away, he called out to me,
context: But I was so happy and embarrassed that I ran away.\I haven't been able to find him since.\That's why I decided that I'd make everyone in this city happy in his stead.\So that children like me wouldn't have to feel sad on Christmas Eve.\Even so, your methods were too extreme!\Emma...\And he was a really kind and cool Santa.\As I ran away, he called out to me, response:	Don't worry. It'll be all right. I'm going to protect this city.
context: I haven't been able to find him since.\That's why I decided that I'd make everyone in this city happy in his stead.\So that children like me wouldn't have to feel sad on Christmas Eve.\Even so, your methods were too extreme!\Emma...\And he was a really kind and cool Santa.\As I ran away, he called out to me,\Don't worry. It'll be all right. I'm going to protect this city. response:	That was Akari's dad!
context: That's why I decided that I'd make everyone in this city happy in his stead.\So that children like me wouldn't have to feel sad on Christmas Eve.\Even so, your methods were too extreme!\Emma...\And he was a really kind and cool Santa.\As I ran away, he called out to me,\Don't worry. It'll be all right. I'm going to protect this city.\That was Akari's dad! response:	I guess your dad protected Liberty's Christmas that day.
context: So that children like me wouldn't have to feel sad on Christmas Eve.\Even so, your methods were too extreme!\Emma...\And he was a really kind and cool Santa.\As I ran away, he called out to me,\Don't worry. It'll be all right. I'm going to protect this city.\That was Akari's dad!\I guess your dad protected Liberty's Christmas that day. response:	Yeah.
context: Even so, your methods were too extreme!\Emma...\And he was a really kind and cool Santa.\As I ran away, he called out to me,\Don't worry. It'll be all right. I'm going to protect this city.\That was Akari's dad!\I guess your dad protected Liberty's Christmas that day.\Yeah. response:	I feel like I understand what he meant now.
context: Emma...\And he was a really kind and cool Santa.\As I ran away, he called out to me,\Don't worry. It'll be all right. I'm going to protect this city.\That was Akari's dad!\I guess your dad protected Liberty's Christmas that day.\Yeah.\I feel like I understand what he meant now. response:	This is the city that he wanted to protect.
context: And he was a really kind and cool Santa.\As I ran away, he called out to me,\Don't worry. It'll be all right. I'm going to protect this city.\That was Akari's dad!\I guess your dad protected Liberty's Christmas that day.\Yeah.\I feel like I understand what he meant now.\This is the city that he wanted to protect. response:	Right?
context: As I ran away, he called out to me,\Don't worry. It'll be all right. I'm going to protect this city.\That was Akari's dad!\I guess your dad protected Liberty's Christmas that day.\Yeah.\I feel like I understand what he meant now.\This is the city that he wanted to protect.\Right? response:	Yeah.
context: Don't worry. It'll be all right. I'm going to protect this city.\That was Akari's dad!\I guess your dad protected Liberty's Christmas that day.\Yeah.\I feel like I understand what he meant now.\This is the city that he wanted to protect.\Right?\Yeah. response:	I think I can fall in love with New York's Christmas again.
context: That was Akari's dad!\I guess your dad protected Liberty's Christmas that day.\Yeah.\I feel like I understand what he meant now.\This is the city that he wanted to protect.\Right?\Yeah.\I think I can fall in love with New York's Christmas again. response:	Just like I did when I was a kid.
context: I guess your dad protected Liberty's Christmas that day.\Yeah.\I feel like I understand what he meant now.\This is the city that he wanted to protect.\Right?\Yeah.\I think I can fall in love with New York's Christmas again.\Just like I did when I was a kid. response:	Yeah!
context: Yeah.\I feel like I understand what he meant now.\This is the city that he wanted to protect.\Right?\Yeah.\I think I can fall in love with New York's Christmas again.\Just like I did when I was a kid.\Yeah! response:	Merry Christmas, Dad.
context: I feel like I understand what he meant now.\This is the city that he wanted to protect.\Right?\Yeah.\I think I can fall in love with New York's Christmas again.\Just like I did when I was a kid.\Yeah!\Merry Christmas, Dad. response:	Merry Christmas, Apple.
