context: It's been getting pretty hot lately, hasn't it? response:	There, there!
context: Those pieces we shared, one each\kakera kimi to hitotsuzutsu\Those pieces we shared, one each\ashita wa tenki ni nare\I hope tomorrow will be sunny\ashita wa tenki ni nare\I hope tomorrow will be sunny\hoshi no mukou ikeru kana response:	Can we go beyond the stars?
context: kakera kimi to hitotsuzutsu\Those pieces we shared, one each\ashita wa tenki ni nare\I hope tomorrow will be sunny\ashita wa tenki ni nare\I hope tomorrow will be sunny\hoshi no mukou ikeru kana\Can we go beyond the stars? response:	hoshi no mukou ikeru kana
context: Those pieces we shared, one each\ashita wa tenki ni nare\I hope tomorrow will be sunny\ashita wa tenki ni nare\I hope tomorrow will be sunny\hoshi no mukou ikeru kana\Can we go beyond the stars?\hoshi no mukou ikeru kana response:	Can we go beyond the stars?
context: ashita wa tenki ni nare\I hope tomorrow will be sunny\ashita wa tenki ni nare\I hope tomorrow will be sunny\hoshi no mukou ikeru kana\Can we go beyond the stars?\hoshi no mukou ikeru kana\Can we go beyond the stars? response:	sora mitsumete aruku hitohikari
context: I hope tomorrow will be sunny\ashita wa tenki ni nare\I hope tomorrow will be sunny\hoshi no mukou ikeru kana\Can we go beyond the stars?\hoshi no mukou ikeru kana\Can we go beyond the stars?\sora mitsumete aruku hitohikari response:	Walking, looking at the sky, a single light
context: ashita wa tenki ni nare\I hope tomorrow will be sunny\hoshi no mukou ikeru kana\Can we go beyond the stars?\hoshi no mukou ikeru kana\Can we go beyond the stars?\sora mitsumete aruku hitohikari\Walking, looking at the sky, a single light response:	sora mitsumete aruku hitohikari
context: I hope tomorrow will be sunny\hoshi no mukou ikeru kana\Can we go beyond the stars?\hoshi no mukou ikeru kana\Can we go beyond the stars?\sora mitsumete aruku hitohikari\Walking, looking at the sky, a single light\sora mitsumete aruku hitohikari response:	Walking, looking at the sky, a single light
context: hoshi no mukou ikeru kana\Can we go beyond the stars?\hoshi no mukou ikeru kana\Can we go beyond the stars?\sora mitsumete aruku hitohikari\Walking, looking at the sky, a single light\sora mitsumete aruku hitohikari\Walking, looking at the sky, a single light response:	tsuki no ue hitori demo
context: Can we go beyond the stars?\hoshi no mukou ikeru kana\Can we go beyond the stars?\sora mitsumete aruku hitohikari\Walking, looking at the sky, a single light\sora mitsumete aruku hitohikari\Walking, looking at the sky, a single light\tsuki no ue hitori demo response:	Even alone, on the face of the moon,
context: hoshi no mukou ikeru kana\Can we go beyond the stars?\sora mitsumete aruku hitohikari\Walking, looking at the sky, a single light\sora mitsumete aruku hitohikari\Walking, looking at the sky, a single light\tsuki no ue hitori demo\Even alone, on the face of the moon, response:	tsuki no ue hitori demo
context: Can we go beyond the stars?\sora mitsumete aruku hitohikari\Walking, looking at the sky, a single light\sora mitsumete aruku hitohikari\Walking, looking at the sky, a single light\tsuki no ue hitori demo\Even alone, on the face of the moon,\tsuki no ue hitori demo response:	Even alone, on the face of the moon,
context: sora mitsumete aruku hitohikari\Walking, looking at the sky, a single light\sora mitsumete aruku hitohikari\Walking, looking at the sky, a single light\tsuki no ue hitori demo\Even alone, on the face of the moon,\tsuki no ue hitori demo\Even alone, on the face of the moon, response:	rasen no hate he kaketeyuku yo
context: Walking, looking at the sky, a single light\sora mitsumete aruku hitohikari\Walking, looking at the sky, a single light\tsuki no ue hitori demo\Even alone, on the face of the moon,\tsuki no ue hitori demo\Even alone, on the face of the moon,\rasen no hate he kaketeyuku yo response:	Run right past the end of the circle
context: sora mitsumete aruku hitohikari\Walking, looking at the sky, a single light\tsuki no ue hitori demo\Even alone, on the face of the moon,\tsuki no ue hitori demo\Even alone, on the face of the moon,\rasen no hate he kaketeyuku yo\Run right past the end of the circle response:	rasen no hate he kaketeyuku yo
context: Walking, looking at the sky, a single light\tsuki no ue hitori demo\Even alone, on the face of the moon,\tsuki no ue hitori demo\Even alone, on the face of the moon,\rasen no hate he kaketeyuku yo\Run right past the end of the circle\rasen no hate he kaketeyuku yo response:	Run right past the end of the circle
context: tsuki no ue hitori demo\Even alone, on the face of the moon,\tsuki no ue hitori demo\Even alone, on the face of the moon,\rasen no hate he kaketeyuku yo\Run right past the end of the circle\rasen no hate he kaketeyuku yo\Run right past the end of the circle response:	kimi wa naita ato waraeru
context: Even alone, on the face of the moon,\tsuki no ue hitori demo\Even alone, on the face of the moon,\rasen no hate he kaketeyuku yo\Run right past the end of the circle\rasen no hate he kaketeyuku yo\Run right past the end of the circle\kimi wa naita ato waraeru response:	You'll be able to smile after you cry,
context: tsuki no ue hitori demo\Even alone, on the face of the moon,\rasen no hate he kaketeyuku yo\Run right past the end of the circle\rasen no hate he kaketeyuku yo\Run right past the end of the circle\kimi wa naita ato waraeru\You'll be able to smile after you cry, response:	kimi wa naita ato waraeru
context: Even alone, on the face of the moon,\rasen no hate he kaketeyuku yo\Run right past the end of the circle\rasen no hate he kaketeyuku yo\Run right past the end of the circle\kimi wa naita ato waraeru\You'll be able to smile after you cry,\kimi wa naita ato waraeru response:	You'll be able to smile after you cry,
context: rasen no hate he kaketeyuku yo\Run right past the end of the circle\rasen no hate he kaketeyuku yo\Run right past the end of the circle\kimi wa naita ato waraeru\You'll be able to smile after you cry,\kimi wa naita ato waraeru\You'll be able to smile after you cry, response:	hazu dakara tte ittan da
context: Run right past the end of the circle\rasen no hate he kaketeyuku yo\Run right past the end of the circle\kimi wa naita ato waraeru\You'll be able to smile after you cry,\kimi wa naita ato waraeru\You'll be able to smile after you cry,\hazu dakara tte ittan da response:	I said that because I know you can
context: rasen no hate he kaketeyuku yo\Run right past the end of the circle\kimi wa naita ato waraeru\You'll be able to smile after you cry,\kimi wa naita ato waraeru\You'll be able to smile after you cry,\hazu dakara tte ittan da\I said that because I know you can response:	hazu dakara tte ittan da
context: Run right past the end of the circle\kimi wa naita ato waraeru\You'll be able to smile after you cry,\kimi wa naita ato waraeru\You'll be able to smile after you cry,\hazu dakara tte ittan da\I said that because I know you can\hazu dakara tte ittan da response:	I said that because I know you can
context: kimi wa naita ato waraeru\You'll be able to smile after you cry,\kimi wa naita ato waraeru\You'll be able to smile after you cry,\hazu dakara tte ittan da\I said that because I know you can\hazu dakara tte ittan da\I said that because I know you can response:	bokura no tabi wasuretari shinai yo
context: You'll be able to smile after you cry,\kimi wa naita ato waraeru\You'll be able to smile after you cry,\hazu dakara tte ittan da\I said that because I know you can\hazu dakara tte ittan da\I said that because I know you can\bokura no tabi wasuretari shinai yo response:	You'll never forget our journey, even for a moment
context: kimi wa naita ato waraeru\You'll be able to smile after you cry,\hazu dakara tte ittan da\I said that because I know you can\hazu dakara tte ittan da\I said that because I know you can\bokura no tabi wasuretari shinai yo\You'll never forget our journey, even for a moment response:	bokura no tabi wasuretari shinai yo
context: You'll be able to smile after you cry,\hazu dakara tte ittan da\I said that because I know you can\hazu dakara tte ittan da\I said that because I know you can\bokura no tabi wasuretari shinai yo\You'll never forget our journey, even for a moment\bokura no tabi wasuretari shinai yo response:	You'll never forget our journey, even for a moment
context: hazu dakara tte ittan da\I said that because I know you can\hazu dakara tte ittan da\I said that because I know you can\bokura no tabi wasuretari shinai yo\You'll never forget our journey, even for a moment\bokura no tabi wasuretari shinai yo\You'll never forget our journey, even for a moment response:	nakusanai you ni mahou kakete
context: I said that because I know you can\hazu dakara tte ittan da\I said that because I know you can\bokura no tabi wasuretari shinai yo\You'll never forget our journey, even for a moment\bokura no tabi wasuretari shinai yo\You'll never forget our journey, even for a moment\nakusanai you ni mahou kakete response:	I'll cast a little magic so you never lose it,
context: hazu dakara tte ittan da\I said that because I know you can\bokura no tabi wasuretari shinai yo\You'll never forget our journey, even for a moment\bokura no tabi wasuretari shinai yo\You'll never forget our journey, even for a moment\nakusanai you ni mahou kakete\I'll cast a little magic so you never lose it, response:	nakusanai you ni mahou kakete
context: I said that because I know you can\bokura no tabi wasuretari shinai yo\You'll never forget our journey, even for a moment\bokura no tabi wasuretari shinai yo\You'll never forget our journey, even for a moment\nakusanai you ni mahou kakete\I'll cast a little magic so you never lose it,\nakusanai you ni mahou kakete response:	I'll cast a little magic so you never lose it,
context: bokura no tabi wasuretari shinai yo\You'll never forget our journey, even for a moment\bokura no tabi wasuretari shinai yo\You'll never forget our journey, even for a moment\nakusanai you ni mahou kakete\I'll cast a little magic so you never lose it,\nakusanai you ni mahou kakete\I'll cast a little magic so you never lose it, response:	sayonara wo tsutaenai
context: You'll never forget our journey, even for a moment\bokura no tabi wasuretari shinai yo\You'll never forget our journey, even for a moment\nakusanai you ni mahou kakete\I'll cast a little magic so you never lose it,\nakusanai you ni mahou kakete\I'll cast a little magic so you never lose it,\sayonara wo tsutaenai response:	And I won't say good-bye
context: bokura no tabi wasuretari shinai yo\You'll never forget our journey, even for a moment\nakusanai you ni mahou kakete\I'll cast a little magic so you never lose it,\nakusanai you ni mahou kakete\I'll cast a little magic so you never lose it,\sayonara wo tsutaenai\And I won't say good-bye response:	sayonara wo tsutaenai
context: You'll never forget our journey, even for a moment\nakusanai you ni mahou kakete\I'll cast a little magic so you never lose it,\nakusanai you ni mahou kakete\I'll cast a little magic so you never lose it,\sayonara wo tsutaenai\And I won't say good-bye\sayonara wo tsutaenai response:	And I won't say good-bye
context: nakusanai you ni mahou kakete\I'll cast a little magic so you never lose it,\nakusanai you ni mahou kakete\I'll cast a little magic so you never lose it,\sayonara wo tsutaenai\And I won't say good-bye\sayonara wo tsutaenai\And I won't say good-bye response:	arukidasu yo mata itsuka
context: I'll cast a little magic so you never lose it,\nakusanai you ni mahou kakete\I'll cast a little magic so you never lose it,\sayonara wo tsutaenai\And I won't say good-bye\sayonara wo tsutaenai\And I won't say good-bye\arukidasu yo mata itsuka response:	You'll start walking again one day
context: nakusanai you ni mahou kakete\I'll cast a little magic so you never lose it,\sayonara wo tsutaenai\And I won't say good-bye\sayonara wo tsutaenai\And I won't say good-bye\arukidasu yo mata itsuka\You'll start walking again one day response:	arukidasu yo mata itsuka
context: I'll cast a little magic so you never lose it,\sayonara wo tsutaenai\And I won't say good-bye\sayonara wo tsutaenai\And I won't say good-bye\arukidasu yo mata itsuka\You'll start walking again one day\arukidasu yo mata itsuka response:	You'll start walking again one day
context: sayonara wo tsutaenai\And I won't say good-bye\sayonara wo tsutaenai\And I won't say good-bye\arukidasu yo mata itsuka\You'll start walking again one day\arukidasu yo mata itsuka\You'll start walking again one day response:	Episode 11
context: And I won't say good-bye\sayonara wo tsutaenai\And I won't say good-bye\arukidasu yo mata itsuka\You'll start walking again one day\arukidasu yo mata itsuka\You'll start walking again one day\Episode 11 response:	Episode 11
context: sayonara wo tsutaenai\And I won't say good-bye\arukidasu yo mata itsuka\You'll start walking again one day\arukidasu yo mata itsuka\You'll start walking again one day\Episode 11\Episode 11 response:	Episode 11
context: And I won't say good-bye\arukidasu yo mata itsuka\You'll start walking again one day\arukidasu yo mata itsuka\You'll start walking again one day\Episode 11\Episode 11\Episode 11 response:	See, There Ain't No Ghosts
context: arukidasu yo mata itsuka\You'll start walking again one day\arukidasu yo mata itsuka\You'll start walking again one day\Episode 11\Episode 11\Episode 11\See, There Ain't No Ghosts response:	See, There Ain't No Ghosts
context: You'll start walking again one day\arukidasu yo mata itsuka\You'll start walking again one day\Episode 11\Episode 11\Episode 11\See, There Ain't No Ghosts\See, There Ain't No Ghosts response:	See, There Ain't No Ghosts
context: arukidasu yo mata itsuka\You'll start walking again one day\Episode 11\Episode 11\Episode 11\See, There Ain't No Ghosts\See, There Ain't No Ghosts\See, There Ain't No Ghosts response:	7 School Horrors
context: You'll start walking again one day\Episode 11\Episode 11\Episode 11\See, There Ain't No Ghosts\See, There Ain't No Ghosts\See, There Ain't No Ghosts\7 School Horrors response:	7 School Horrors
context: Episode 11\Episode 11\Episode 11\See, There Ain't No Ghosts\See, There Ain't No Ghosts\See, There Ain't No Ghosts\7 School Horrors\7 School Horrors response:	7 School Horrors
context: Episode 11\Episode 11\See, There Ain't No Ghosts\See, There Ain't No Ghosts\See, There Ain't No Ghosts\7 School Horrors\7 School Horrors\7 School Horrors response:	Science Room
context: Episode 11\See, There Ain't No Ghosts\See, There Ain't No Ghosts\See, There Ain't No Ghosts\7 School Horrors\7 School Horrors\7 School Horrors\Science Room response:	Fine Arts Room
context: See, There Ain't No Ghosts\See, There Ain't No Ghosts\See, There Ain't No Ghosts\7 School Horrors\7 School Horrors\7 School Horrors\Science Room\Fine Arts Room response:	Principal
context: See, There Ain't No Ghosts\See, There Ain't No Ghosts\7 School Horrors\7 School Horrors\7 School Horrors\Science Room\Fine Arts Room\Principal response:	The re's no response.
context: See, There Ain't No Ghosts\7 School Horrors\7 School Horrors\7 School Horrors\Science Room\Fine Arts Room\Principal\The re's no response. response:	The re's no response.
context: 7 School Horrors\7 School Horrors\7 School Horrors\Science Room\Fine Arts Room\Principal\The re's no response.\The re's no response. response:	There's no response.
context: 7 School Horrors\7 School Horrors\Science Room\Fine Arts Room\Principal\The re's no response.\The re's no response.\There's no response. response:	There's no res ponse.
context: 7 School Horrors\Science Room\Fine Arts Room\Principal\The re's no response.\The re's no response.\There's no response.\There's no res ponse. response:	There's no res pon se.
context: Science Room\Fine Arts Room\Principal\The re's no response.\The re's no response.\There's no response.\There's no res ponse.\There's no res pon se. response:	There's no res pon se.
context: Fine Arts Room\Principal\The re's no response.\The re's no response.\There's no response.\There's no res ponse.\There's no res pon se.\There's no res pon se. response:	There's no res pon se.
context: Principal\The re's no response.\The re's no response.\There's no response.\There's no res ponse.\There's no res pon se.\There's no res pon se.\There's no res pon se. response:	It's just a corpse.
context: The re's no response.\The re's no response.\There's no response.\There's no res ponse.\There's no res pon se.\There's no res pon se.\There's no res pon se.\It's just a corpse. response:	It's just a corpse.
context: The re's no response.\There's no response.\There's no res ponse.\There's no res pon se.\There's no res pon se.\There's no res pon se.\It's just a corpse.\It's just a corpse. response:	It's just a co rpse.
context: There's no response.\There's no res ponse.\There's no res pon se.\There's no res pon se.\There's no res pon se.\It's just a corpse.\It's just a corpse.\It's just a co rpse. response:	It's just a co rps e.
context: There's no res ponse.\There's no res pon se.\There's no res pon se.\There's no res pon se.\It's just a corpse.\It's just a corpse.\It's just a co rpse.\It's just a co rps e. response:	It's just a co rps e.
context: There's no res pon se.\There's no res pon se.\There's no res pon se.\It's just a corpse.\It's just a corpse.\It's just a co rpse.\It's just a co rps e.\It's just a co rps e. response:	The re's no response.
context: There's no res pon se.\There's no res pon se.\It's just a corpse.\It's just a corpse.\It's just a co rpse.\It's just a co rps e.\It's just a co rps e.\The re's no response. response:	There's no response.
context: There's no res pon se.\It's just a corpse.\It's just a corpse.\It's just a co rpse.\It's just a co rps e.\It's just a co rps e.\The re's no response.\There's no response. response:	There's no res ponse.
context: It's just a corpse.\It's just a corpse.\It's just a co rpse.\It's just a co rps e.\It's just a co rps e.\The re's no response.\There's no response.\There's no res ponse. response:	There's no res pon se.
context: It's just a corpse.\It's just a co rpse.\It's just a co rps e.\It's just a co rps e.\The re's no response.\There's no response.\There's no res ponse.\There's no res pon se. response:	There's no res pon se.
context: It's just a co rpse.\It's just a co rps e.\It's just a co rps e.\The re's no response.\There's no response.\There's no res ponse.\There's no res pon se.\There's no res pon se. response:	There's no res pon se.
context: It's just a co rps e.\It's just a co rps e.\The re's no response.\There's no response.\There's no res ponse.\There's no res pon se.\There's no res pon se.\There's no res pon se. response:	It's just a corpse.
context: It's just a co rps e.\The re's no response.\There's no response.\There's no res ponse.\There's no res pon se.\There's no res pon se.\There's no res pon se.\It's just a corpse. response:	It's just a corpse.
context: The re's no response.\There's no response.\There's no res ponse.\There's no res pon se.\There's no res pon se.\There's no res pon se.\It's just a corpse.\It's just a corpse. response:	It's just a co rpse.
context: There's no response.\There's no res ponse.\There's no res pon se.\There's no res pon se.\There's no res pon se.\It's just a corpse.\It's just a corpse.\It's just a co rpse. response:	It's just a co rps e.
context: There's no res ponse.\There's no res pon se.\There's no res pon se.\There's no res pon se.\It's just a corpse.\It's just a corpse.\It's just a co rpse.\It's just a co rps e. response:	It's just a co rps e.
context: There's no res pon se.\There's no res pon se.\There's no res pon se.\It's just a corpse.\It's just a corpse.\It's just a co rpse.\It's just a co rps e.\It's just a co rps e. response:	Fine Arts Room
context: There's no res pon se.\There's no res pon se.\It's just a corpse.\It's just a corpse.\It's just a co rpse.\It's just a co rps e.\It's just a co rps e.\Fine Arts Room response:	Message Received
context: There's no res pon se.\It's just a corpse.\It's just a corpse.\It's just a co rpse.\It's just a co rps e.\It's just a co rps e.\Fine Arts Room\Message Received response:	Riki
context: It's just a corpse.\It's just a corpse.\It's just a co rpse.\It's just a co rps e.\It's just a co rps e.\Fine Arts Room\Message Received\Riki response:	Emergency
context: It's just a corpse.\It's just a co rpse.\It's just a co rps e.\It's just a co rps e.\Fine Arts Room\Message Received\Riki\Emergency response:	Message Received
context: It's just a co rpse.\It's just a co rps e.\It's just a co rps e.\Fine Arts Room\Message Received\Riki\Emergency\Message Received response:	Riki
context: It's just a co rps e.\It's just a co rps e.\Fine Arts Room\Message Received\Riki\Emergency\Message Received\Riki response:	Emergency
context: It's just a co rps e.\Fine Arts Room\Message Received\Riki\Emergency\Message Received\Riki\Emergency response:	Message Received
context: Fine Arts Room\Message Received\Riki\Emergency\Message Received\Riki\Emergency\Message Received response:	Riki
context: Message Received\Riki\Emergency\Message Received\Riki\Emergency\Message Received\Riki response:	Emergency
