context: I'm gonna go on ahead! response:	Wait a minute! You're forgetting something!
context: Big Brother Yu, you're part of the student council?\Didn't I tell you!\This is the first I'm hearing of it!\Then, please eat Ayu's special Rolling Vegetable Curry\to refresh yourself and rid today's fatigue!\If I have a special ability, there is the possibility that Ayumi has an ability as well...\If I were to be captured... Ayumi will end up just like Tomori...\It's done! response:	I'll have some.
context: Didn't I tell you!\This is the first I'm hearing of it!\Then, please eat Ayu's special Rolling Vegetable Curry\to refresh yourself and rid today's fatigue!\If I have a special ability, there is the possibility that Ayumi has an ability as well...\If I were to be captured... Ayumi will end up just like Tomori...\It's done!\I'll have some. response:	I'll have some!
context: This is the first I'm hearing of it!\Then, please eat Ayu's special Rolling Vegetable Curry\to refresh yourself and rid today's fatigue!\If I have a special ability, there is the possibility that Ayumi has an ability as well...\If I were to be captured... Ayumi will end up just like Tomori...\It's done!\I'll have some.\I'll have some! response:	So sweet!
context: Then, please eat Ayu's special Rolling Vegetable Curry\to refresh yourself and rid today's fatigue!\If I have a special ability, there is the possibility that Ayumi has an ability as well...\If I were to be captured... Ayumi will end up just like Tomori...\It's done!\I'll have some.\I'll have some!\So sweet! response:	Well, um... this curry... can it be that the secret ingredient...
context: to refresh yourself and rid today's fatigue!\If I have a special ability, there is the possibility that Ayumi has an ability as well...\If I were to be captured... Ayumi will end up just like Tomori...\It's done!\I'll have some.\I'll have some!\So sweet!\Well, um... this curry... can it be that the secret ingredient... response:	It's the secret recipe of the Otosaka household - the pizza sauce!
context: If I have a special ability, there is the possibility that Ayumi has an ability as well...\If I were to be captured... Ayumi will end up just like Tomori...\It's done!\I'll have some.\I'll have some!\So sweet!\Well, um... this curry... can it be that the secret ingredient...\It's the secret recipe of the Otosaka household - the pizza sauce! response:	At this point, I can't think this tastes any different from the omelet rice...
context: If I were to be captured... Ayumi will end up just like Tomori...\It's done!\I'll have some.\I'll have some!\So sweet!\Well, um... this curry... can it be that the secret ingredient...\It's the secret recipe of the Otosaka household - the pizza sauce!\At this point, I can't think this tastes any different from the omelet rice... response:	I don't know if it's part of your daily routine or not, but hurry up and go to sleep.
context: It's done!\I'll have some.\I'll have some!\So sweet!\Well, um... this curry... can it be that the secret ingredient...\It's the secret recipe of the Otosaka household - the pizza sauce!\At this point, I can't think this tastes any different from the omelet rice...\I don't know if it's part of your daily routine or not, but hurry up and go to sleep. response:	I was able to see a comet today, so I am deeply moved, and go to sleep in excitement!
context: I'll have some.\I'll have some!\So sweet!\Well, um... this curry... can it be that the secret ingredient...\It's the secret recipe of the Otosaka household - the pizza sauce!\At this point, I can't think this tastes any different from the omelet rice...\I don't know if it's part of your daily routine or not, but hurry up and go to sleep.\I was able to see a comet today, so I am deeply moved, and go to sleep in excitement! response:	That's pretty skillful of you.
context: I'll have some!\So sweet!\Well, um... this curry... can it be that the secret ingredient...\It's the secret recipe of the Otosaka household - the pizza sauce!\At this point, I can't think this tastes any different from the omelet rice...\I don't know if it's part of your daily routine or not, but hurry up and go to sleep.\I was able to see a comet today, so I am deeply moved, and go to sleep in excitement!\That's pretty skillful of you. response:	But, the comet I really want to see is a different one!
context: So sweet!\Well, um... this curry... can it be that the secret ingredient...\It's the secret recipe of the Otosaka household - the pizza sauce!\At this point, I can't think this tastes any different from the omelet rice...\I don't know if it's part of your daily routine or not, but hurry up and go to sleep.\I was able to see a comet today, so I am deeply moved, and go to sleep in excitement!\That's pretty skillful of you.\But, the comet I really want to see is a different one! response:	I see...
context: Well, um... this curry... can it be that the secret ingredient...\It's the secret recipe of the Otosaka household - the pizza sauce!\At this point, I can't think this tastes any different from the omelet rice...\I don't know if it's part of your daily routine or not, but hurry up and go to sleep.\I was able to see a comet today, so I am deeply moved, and go to sleep in excitement!\That's pretty skillful of you.\But, the comet I really want to see is a different one!\I see... response:	It's a comet with a long orbit!
context: It's the secret recipe of the Otosaka household - the pizza sauce!\At this point, I can't think this tastes any different from the omelet rice...\I don't know if it's part of your daily routine or not, but hurry up and go to sleep.\I was able to see a comet today, so I am deeply moved, and go to sleep in excitement!\That's pretty skillful of you.\But, the comet I really want to see is a different one!\I see...\It's a comet with a long orbit! response:	What's that?
context: At this point, I can't think this tastes any different from the omelet rice...\I don't know if it's part of your daily routine or not, but hurry up and go to sleep.\I was able to see a comet today, so I am deeply moved, and go to sleep in excitement!\That's pretty skillful of you.\But, the comet I really want to see is a different one!\I see...\It's a comet with a long orbit!\What's that? response:	It's a comet that swings by only once every few centuries!
context: I don't know if it's part of your daily routine or not, but hurry up and go to sleep.\I was able to see a comet today, so I am deeply moved, and go to sleep in excitement!\That's pretty skillful of you.\But, the comet I really want to see is a different one!\I see...\It's a comet with a long orbit!\What's that?\It's a comet that swings by only once every few centuries! response:	They have comets like that, huh...
