context: The long age of drifting ended, response:	and humanity found a home in the wide reaches of the galaxy.
context: What the hell are you saying?\Who are you?\What are you doing?\Screw you!\Wait!\Damn it! Let me go! Let me go!\What?\I cannot find any logic in your actions. response:	If I take a hostage they won't attack me on sight.
context: Who are you?\What are you doing?\Screw you!\Wait!\Damn it! Let me go! Let me go!\What?\I cannot find any logic in your actions.\If I take a hostage they won't attack me on sight. response:	I hope, anyway.
context: What are you doing?\Screw you!\Wait!\Damn it! Let me go! Let me go!\What?\I cannot find any logic in your actions.\If I take a hostage they won't attack me on sight.\I hope, anyway. response:	First we need to know the layout of this place.
context: Screw you!\Wait!\Damn it! Let me go! Let me go!\What?\I cannot find any logic in your actions.\If I take a hostage they won't attack me on sight.\I hope, anyway.\First we need to know the layout of this place. response:	Until then I can't activate you.
context: Wait!\Damn it! Let me go! Let me go!\What?\I cannot find any logic in your actions.\If I take a hostage they won't attack me on sight.\I hope, anyway.\First we need to know the layout of this place.\Until then I can't activate you. response:	Roger.
context: Damn it! Let me go! Let me go!\What?\I cannot find any logic in your actions.\If I take a hostage they won't attack me on sight.\I hope, anyway.\First we need to know the layout of this place.\Until then I can't activate you.\Roger. response:	Recording and analyzing footage.
context: What?\I cannot find any logic in your actions.\If I take a hostage they won't attack me on sight.\I hope, anyway.\First we need to know the layout of this place.\Until then I can't activate you.\Roger.\Recording and analyzing footage. response:	Please move over as wide an area as possible.
context: I cannot find any logic in your actions.\If I take a hostage they won't attack me on sight.\I hope, anyway.\First we need to know the layout of this place.\Until then I can't activate you.\Roger.\Recording and analyzing footage.\Please move over as wide an area as possible. response:	You still can't understand what they're saying?
context: If I take a hostage they won't attack me on sight.\I hope, anyway.\First we need to know the layout of this place.\Until then I can't activate you.\Roger.\Recording and analyzing footage.\Please move over as wide an area as possible.\You still can't understand what they're saying? response:	Analysis estimated to be 40 complete.
context: I hope, anyway.\First we need to know the layout of this place.\Until then I can't activate you.\Roger.\Recording and analyzing footage.\Please move over as wide an area as possible.\You still can't understand what they're saying?\Analysis estimated to be 40 complete. response:	More vocabulary samples are needed.
context: First we need to know the layout of this place.\Until then I can't activate you.\Roger.\Recording and analyzing footage.\Please move over as wide an area as possible.\You still can't understand what they're saying?\Analysis estimated to be 40 complete.\More vocabulary samples are needed. response:	You heard him. Keep talking.
context: Until then I can't activate you.\Roger.\Recording and analyzing footage.\Please move over as wide an area as possible.\You still can't understand what they're saying?\Analysis estimated to be 40 complete.\More vocabulary samples are needed.\You heard him. Keep talking. response:	It's not a fire?
context: Roger.\Recording and analyzing footage.\Please move over as wide an area as possible.\You still can't understand what they're saying?\Analysis estimated to be 40 complete.\More vocabulary samples are needed.\You heard him. Keep talking.\It's not a fire? response:	What do you mean?
context: Recording and analyzing footage.\Please move over as wide an area as possible.\You still can't understand what they're saying?\Analysis estimated to be 40 complete.\More vocabulary samples are needed.\You heard him. Keep talking.\It's not a fire?\What do you mean? response:	Ridget, there's an intruder!
context: Please move over as wide an area as possible.\You still can't understand what they're saying?\Analysis estimated to be 40 complete.\More vocabulary samples are needed.\You heard him. Keep talking.\It's not a fire?\What do you mean?\Ridget, there's an intruder! response:	He's got some weird gun!
context: You still can't understand what they're saying?\Analysis estimated to be 40 complete.\More vocabulary samples are needed.\You heard him. Keep talking.\It's not a fire?\What do you mean?\Ridget, there's an intruder!\He's got some weird gun! response:	He kidnapped Amy!
context: Analysis estimated to be 40 complete.\More vocabulary samples are needed.\You heard him. Keep talking.\It's not a fire?\What do you mean?\Ridget, there's an intruder!\He's got some weird gun!\He kidnapped Amy! response:	An intruder?
context: More vocabulary samples are needed.\You heard him. Keep talking.\It's not a fire?\What do you mean?\Ridget, there's an intruder!\He's got some weird gun!\He kidnapped Amy!\An intruder? response:	Where did he come from?
context: You heard him. Keep talking.\It's not a fire?\What do you mean?\Ridget, there's an intruder!\He's got some weird gun!\He kidnapped Amy!\An intruder?\Where did he come from? response:	How the hell should I know?!
context: It's not a fire?\What do you mean?\Ridget, there's an intruder!\He's got some weird gun!\He kidnapped Amy!\An intruder?\Where did he come from?\How the hell should I know?! response:	He just showed up in the hangar!
context: What do you mean?\Ridget, there's an intruder!\He's got some weird gun!\He kidnapped Amy!\An intruder?\Where did he come from?\How the hell should I know?!\He just showed up in the hangar! response:	Those were statements regarding reproduction with one's mother,
context: Ridget, there's an intruder!\He's got some weird gun!\He kidnapped Amy!\An intruder?\Where did he come from?\How the hell should I know?!\He just showed up in the hangar!\Those were statements regarding reproduction with one's mother, response:	as well as sanctified excrement.
context: He's got some weird gun!\He kidnapped Amy!\An intruder?\Where did he come from?\How the hell should I know?!\He just showed up in the hangar!\Those were statements regarding reproduction with one's mother,\as well as sanctified excrement. response:	Just as I thought, they're savages!
context: He kidnapped Amy!\An intruder?\Where did he come from?\How the hell should I know?!\He just showed up in the hangar!\Those were statements regarding reproduction with one's mother,\as well as sanctified excrement.\Just as I thought, they're savages! response:	This is the problem with wandering tribes!
context: An intruder?\Where did he come from?\How the hell should I know?!\He just showed up in the hangar!\Those were statements regarding reproduction with one's mother,\as well as sanctified excrement.\Just as I thought, they're savages!\This is the problem with wandering tribes! response:	Statement of doubt: We cannot assume these people are a wandering tribe.
context: Where did he come from?\How the hell should I know?!\He just showed up in the hangar!\Those were statements regarding reproduction with one's mother,\as well as sanctified excrement.\Just as I thought, they're savages!\This is the problem with wandering tribes!\Statement of doubt: We cannot assume these people are a wandering tribe. response:	Why, Chamber?
context: How the hell should I know?!\He just showed up in the hangar!\Those were statements regarding reproduction with one's mother,\as well as sanctified excrement.\Just as I thought, they're savages!\This is the problem with wandering tribes!\Statement of doubt: We cannot assume these people are a wandering tribe.\Why, Chamber? response:	No recorded footage displays precautions taken
context: He just showed up in the hangar!\Those were statements regarding reproduction with one's mother,\as well as sanctified excrement.\Just as I thought, they're savages!\This is the problem with wandering tribes!\Statement of doubt: We cannot assume these people are a wandering tribe.\Why, Chamber?\No recorded footage displays precautions taken response:	for gravity fluctuations, radiation, or air loss.
context: Those were statements regarding reproduction with one's mother,\as well as sanctified excrement.\Just as I thought, they're savages!\This is the problem with wandering tribes!\Statement of doubt: We cannot assume these people are a wandering tribe.\Why, Chamber?\No recorded footage displays precautions taken\for gravity fluctuations, radiation, or air loss. response:	This facility must have been constructed without concern for vacuum and zero-gravity.
context: as well as sanctified excrement.\Just as I thought, they're savages!\This is the problem with wandering tribes!\Statement of doubt: We cannot assume these people are a wandering tribe.\Why, Chamber?\No recorded footage displays precautions taken\for gravity fluctuations, radiation, or air loss.\This facility must have been constructed without concern for vacuum and zero-gravity. response:	No way!
context: Just as I thought, they're savages!\This is the problem with wandering tribes!\Statement of doubt: We cannot assume these people are a wandering tribe.\Why, Chamber?\No recorded footage displays precautions taken\for gravity fluctuations, radiation, or air loss.\This facility must have been constructed without concern for vacuum and zero-gravity.\No way! response:	That's impossible.
context: This is the problem with wandering tribes!\Statement of doubt: We cannot assume these people are a wandering tribe.\Why, Chamber?\No recorded footage displays precautions taken\for gravity fluctuations, radiation, or air loss.\This facility must have been constructed without concern for vacuum and zero-gravity.\No way!\That's impossible. response:	Agreed.
context: Statement of doubt: We cannot assume these people are a wandering tribe.\Why, Chamber?\No recorded footage displays precautions taken\for gravity fluctuations, radiation, or air loss.\This facility must have been constructed without concern for vacuum and zero-gravity.\No way!\That's impossible.\Agreed. response:	But there is one historical example that would fit those criteria.
context: Why, Chamber?\No recorded footage displays precautions taken\for gravity fluctuations, radiation, or air loss.\This facility must have been constructed without concern for vacuum and zero-gravity.\No way!\That's impossible.\Agreed.\But there is one historical example that would fit those criteria. response:	W-What is this?
context: No recorded footage displays precautions taken\for gravity fluctuations, radiation, or air loss.\This facility must have been constructed without concern for vacuum and zero-gravity.\No way!\That's impossible.\Agreed.\But there is one historical example that would fit those criteria.\W-What is this? response:	What?
context: for gravity fluctuations, radiation, or air loss.\This facility must have been constructed without concern for vacuum and zero-gravity.\No way!\That's impossible.\Agreed.\But there is one historical example that would fit those criteria.\W-What is this?\What? response:	What is this place?
context: This facility must have been constructed without concern for vacuum and zero-gravity.\No way!\That's impossible.\Agreed.\But there is one historical example that would fit those criteria.\W-What is this?\What?\What is this place? response:	Grace!
context: No way!\That's impossible.\Agreed.\But there is one historical example that would fit those criteria.\W-What is this?\What?\What is this place?\Grace! response:	I don't have a choice.
context: That's impossible.\Agreed.\But there is one historical example that would fit those criteria.\W-What is this?\What?\What is this place?\Grace!\I don't have a choice. response:	Chamber!
context: Agreed.\But there is one historical example that would fit those criteria.\W-What is this?\What?\What is this place?\Grace!\I don't have a choice.\Chamber! response:	What's going on here, Chamber?
context: But there is one historical example that would fit those criteria.\W-What is this?\What?\What is this place?\Grace!\I don't have a choice.\Chamber!\What's going on here, Chamber? response:	It appears we are on the surface of a planet where respiration is possible.
context: W-What is this?\What?\What is this place?\Grace!\I don't have a choice.\Chamber!\What's going on here, Chamber?\It appears we are on the surface of a planet where respiration is possible. response:	But that's impossible.
context: What?\What is this place?\Grace!\I don't have a choice.\Chamber!\What's going on here, Chamber?\It appears we are on the surface of a planet where respiration is possible.\But that's impossible. response:	Matching data with observed celestial bodies.
context: What is this place?\Grace!\I don't have a choice.\Chamber!\What's going on here, Chamber?\It appears we are on the surface of a planet where respiration is possible.\But that's impossible.\Matching data with observed celestial bodies. response:	Assurance: There is only one set of matching data.
context: Grace!\I don't have a choice.\Chamber!\What's going on here, Chamber?\It appears we are on the surface of a planet where respiration is possible.\But that's impossible.\Matching data with observed celestial bodies.\Assurance: There is only one set of matching data. response:	The third planet of the solar system, Earth.
context: I don't have a choice.\Chamber!\What's going on here, Chamber?\It appears we are on the surface of a planet where respiration is possible.\But that's impossible.\Matching data with observed celestial bodies.\Assurance: There is only one set of matching data.\The third planet of the solar system, Earth. response:	The birthplace of humanity,
context: Chamber!\What's going on here, Chamber?\It appears we are on the surface of a planet where respiration is possible.\But that's impossible.\Matching data with observed celestial bodies.\Assurance: There is only one set of matching data.\The third planet of the solar system, Earth.\The birthplace of humanity, response:	the existence of which has, until now, only been suggested in records.
