context: This being the first civilian Antarctic expedition, response:	some are saying that this brings Antarctica closer to the average person.
context: Well, let's all introduce ourselves one by one!\But first...\what you've all been waiting for, let's introduce our passengers!\Come on in!\Don't look at the floor.\But...\They're in high school!\They're not Goto or Yajima in drag! response:	They're real high school girls!
context: But first...\what you've all been waiting for, let's introduce our passengers!\Come on in!\Don't look at the floor.\But...\They're in high school!\They're not Goto or Yajima in drag!\They're real high school girls! response:	Now, a warning they're not legal.
context: what you've all been waiting for, let's introduce our passengers!\Come on in!\Don't look at the floor.\But...\They're in high school!\They're not Goto or Yajima in drag!\They're real high school girls!\Now, a warning they're not legal. response:	I'll say it one more time. They're not legal.
context: Come on in!\Don't look at the floor.\But...\They're in high school!\They're not Goto or Yajima in drag!\They're real high school girls!\Now, a warning they're not legal.\I'll say it one more time. They're not legal. response:	Toshio, you hear me?
context: Don't look at the floor.\But...\They're in high school!\They're not Goto or Yajima in drag!\They're real high school girls!\Now, a warning they're not legal.\I'll say it one more time. They're not legal.\Toshio, you hear me? response:	Why'd you single me out?!
context: But...\They're in high school!\They're not Goto or Yajima in drag!\They're real high school girls!\Now, a warning they're not legal.\I'll say it one more time. They're not legal.\Toshio, you hear me?\Why'd you single me out?! response:	All of our members who made that promise three years ago have returned.
context: They're in high school!\They're not Goto or Yajima in drag!\They're real high school girls!\Now, a warning they're not legal.\I'll say it one more time. They're not legal.\Toshio, you hear me?\Why'd you single me out?!\All of our members who made that promise three years ago have returned. response:	And with our new members, all of us here,
context: They're not Goto or Yajima in drag!\They're real high school girls!\Now, a warning they're not legal.\I'll say it one more time. They're not legal.\Toshio, you hear me?\Why'd you single me out?!\All of our members who made that promise three years ago have returned.\And with our new members, all of us here, response:	these members, are going to the station.
context: They're real high school girls!\Now, a warning they're not legal.\I'll say it one more time. They're not legal.\Toshio, you hear me?\Why'd you single me out?!\All of our members who made that promise three years ago have returned.\And with our new members, all of us here,\these members, are going to the station. response:	We're going to Antarctica!
context: Now, a warning they're not legal.\I'll say it one more time. They're not legal.\Toshio, you hear me?\Why'd you single me out?!\All of our members who made that promise three years ago have returned.\And with our new members, all of us here,\these members, are going to the station.\We're going to Antarctica! response:	All right! From right to left, let's have some introductions.
context: I'll say it one more time. They're not legal.\Toshio, you hear me?\Why'd you single me out?!\All of our members who made that promise three years ago have returned.\And with our new members, all of us here,\these members, are going to the station.\We're going to Antarctica!\All right! From right to left, let's have some introductions. response:	I'm Tamaki Mari. Please call me Kimari!
context: Toshio, you hear me?\Why'd you single me out?!\All of our members who made that promise three years ago have returned.\And with our new members, all of us here,\these members, are going to the station.\We're going to Antarctica!\All right! From right to left, let's have some introductions.\I'm Tamaki Mari. Please call me Kimari! response:	Um, I wanted to go somewhere new,
context: Why'd you single me out?!\All of our members who made that promise three years ago have returned.\And with our new members, all of us here,\these members, are going to the station.\We're going to Antarctica!\All right! From right to left, let's have some introductions.\I'm Tamaki Mari. Please call me Kimari!\Um, I wanted to go somewhere new, response:	to make a real change in my life...
context: All of our members who made that promise three years ago have returned.\And with our new members, all of us here,\these members, are going to the station.\We're going to Antarctica!\All right! From right to left, let's have some introductions.\I'm Tamaki Mari. Please call me Kimari!\Um, I wanted to go somewhere new,\to make a real change in my life... response:	And the next thing I knew, I was heading for Antarctica.
context: And with our new members, all of us here,\these members, are going to the station.\We're going to Antarctica!\All right! From right to left, let's have some introductions.\I'm Tamaki Mari. Please call me Kimari!\Um, I wanted to go somewhere new,\to make a real change in my life...\And the next thing I knew, I was heading for Antarctica. response:	I don't have any idea what I am doing, but I look forward to working with you!
context: these members, are going to the station.\We're going to Antarctica!\All right! From right to left, let's have some introductions.\I'm Tamaki Mari. Please call me Kimari!\Um, I wanted to go somewhere new,\to make a real change in my life...\And the next thing I knew, I was heading for Antarctica.\I don't have any idea what I am doing, but I look forward to working with you! response:	Shiraishi Yuzuki here.
context: We're going to Antarctica!\All right! From right to left, let's have some introductions.\I'm Tamaki Mari. Please call me Kimari!\Um, I wanted to go somewhere new,\to make a real change in my life...\And the next thing I knew, I was heading for Antarctica.\I don't have any idea what I am doing, but I look forward to working with you!\Shiraishi Yuzuki here. response:	I'm a year younger than the others here, in my first year in high school.
context: All right! From right to left, let's have some introductions.\I'm Tamaki Mari. Please call me Kimari!\Um, I wanted to go somewhere new,\to make a real change in my life...\And the next thing I knew, I was heading for Antarctica.\I don't have any idea what I am doing, but I look forward to working with you!\Shiraishi Yuzuki here.\I'm a year younger than the others here, in my first year in high school. response:	I ended up on this boat for work.
context: I'm Tamaki Mari. Please call me Kimari!\Um, I wanted to go somewhere new,\to make a real change in my life...\And the next thing I knew, I was heading for Antarctica.\I don't have any idea what I am doing, but I look forward to working with you!\Shiraishi Yuzuki here.\I'm a year younger than the others here, in my first year in high school.\I ended up on this boat for work. response:	The truth is, I really didn't want to come...
context: Um, I wanted to go somewhere new,\to make a real change in my life...\And the next thing I knew, I was heading for Antarctica.\I don't have any idea what I am doing, but I look forward to working with you!\Shiraishi Yuzuki here.\I'm a year younger than the others here, in my first year in high school.\I ended up on this boat for work.\The truth is, I really didn't want to come... response:	but I came here wanting to do something with other people.
context: to make a real change in my life...\And the next thing I knew, I was heading for Antarctica.\I don't have any idea what I am doing, but I look forward to working with you!\Shiraishi Yuzuki here.\I'm a year younger than the others here, in my first year in high school.\I ended up on this boat for work.\The truth is, I really didn't want to come...\but I came here wanting to do something with other people. response:	I look forward to working with you!
context: And the next thing I knew, I was heading for Antarctica.\I don't have any idea what I am doing, but I look forward to working with you!\Shiraishi Yuzuki here.\I'm a year younger than the others here, in my first year in high school.\I ended up on this boat for work.\The truth is, I really didn't want to come...\but I came here wanting to do something with other people.\I look forward to working with you! response:	Miyake Hinata here!
context: I don't have any idea what I am doing, but I look forward to working with you!\Shiraishi Yuzuki here.\I'm a year younger than the others here, in my first year in high school.\I ended up on this boat for work.\The truth is, I really didn't want to come...\but I came here wanting to do something with other people.\I look forward to working with you!\Miyake Hinata here! response:	I'm cheerful and energetic.
context: Shiraishi Yuzuki here.\I'm a year younger than the others here, in my first year in high school.\I ended up on this boat for work.\The truth is, I really didn't want to come...\but I came here wanting to do something with other people.\I look forward to working with you!\Miyake Hinata here!\I'm cheerful and energetic. response:	I came here because I wanted to do something big
context: I'm a year younger than the others here, in my first year in high school.\I ended up on this boat for work.\The truth is, I really didn't want to come...\but I came here wanting to do something with other people.\I look forward to working with you!\Miyake Hinata here!\I'm cheerful and energetic.\I came here because I wanted to do something big response:	before I took my entrance exams.
context: I ended up on this boat for work.\The truth is, I really didn't want to come...\but I came here wanting to do something with other people.\I look forward to working with you!\Miyake Hinata here!\I'm cheerful and energetic.\I came here because I wanted to do something big\before I took my entrance exams. response:	I might be little, but I've got a big heart!
context: The truth is, I really didn't want to come...\but I came here wanting to do something with other people.\I look forward to working with you!\Miyake Hinata here!\I'm cheerful and energetic.\I came here because I wanted to do something big\before I took my entrance exams.\I might be little, but I've got a big heart! response:	I look forward to working with you!
context: but I came here wanting to do something with other people.\I look forward to working with you!\Miyake Hinata here!\I'm cheerful and energetic.\I came here because I wanted to do something big\before I took my entrance exams.\I might be little, but I've got a big heart!\I look forward to working with you! response:	I'm... Kobuchizawa Shirase.
context: I look forward to working with you!\Miyake Hinata here!\I'm cheerful and energetic.\I came here because I wanted to do something big\before I took my entrance exams.\I might be little, but I've got a big heart!\I look forward to working with you!\I'm... Kobuchizawa Shirase. response:	Shirase-chan...
context: Miyake Hinata here!\I'm cheerful and energetic.\I came here because I wanted to do something big\before I took my entrance exams.\I might be little, but I've got a big heart!\I look forward to working with you!\I'm... Kobuchizawa Shirase.\Shirase-chan... response:	I boarded this ship to do catchy, witty, sensational reporting!
context: I'm cheerful and energetic.\I came here because I wanted to do something big\before I took my entrance exams.\I might be little, but I've got a big heart!\I look forward to working with you!\I'm... Kobuchizawa Shirase.\Shirase-chan...\I boarded this ship to do catchy, witty, sensational reporting! response:	I want to open the treasure chest of Antarctica
context: I came here because I wanted to do something big\before I took my entrance exams.\I might be little, but I've got a big heart!\I look forward to working with you!\I'm... Kobuchizawa Shirase.\Shirase-chan...\I boarded this ship to do catchy, witty, sensational reporting!\I want to open the treasure chest of Antarctica response:	that my mother wrote about with my own hands!
context: before I took my entrance exams.\I might be little, but I've got a big heart!\I look forward to working with you!\I'm... Kobuchizawa Shirase.\Shirase-chan...\I boarded this ship to do catchy, witty, sensational reporting!\I want to open the treasure chest of Antarctica\that my mother wrote about with my own hands! response:	Everyone, let's go to Antarctica together!
