context: A man died while fighting the monsters. response:	And just like in the game, he revived at the Cathedral.
context: What is that, my lord?\Those are griffons.\Well, yeah.\You didn't think we were going to get to the far north on horses, did you?\But these monsters...\Hand.\Wait... W-We're riding them?\Good! response:	We are, Miss Akatsuki.
context: Those are griffons.\Well, yeah.\You didn't think we were going to get to the far north on horses, did you?\But these monsters...\Hand.\Wait... W-We're riding them?\Good!\We are, Miss Akatsuki. response:	Hey! Stop that!
context: Well, yeah.\You didn't think we were going to get to the far north on horses, did you?\But these monsters...\Hand.\Wait... W-We're riding them?\Good!\We are, Miss Akatsuki.\Hey! Stop that! response:	It's Akatsuki.
context: You didn't think we were going to get to the far north on horses, did you?\But these monsters...\Hand.\Wait... W-We're riding them?\Good!\We are, Miss Akatsuki.\Hey! Stop that!\It's Akatsuki. response:	A-Akatsuki... You'll ride behind me.
context: But these monsters...\Hand.\Wait... W-We're riding them?\Good!\We are, Miss Akatsuki.\Hey! Stop that!\It's Akatsuki.\A-Akatsuki... You'll ride behind me. response:	Okay?
context: Hand.\Wait... W-We're riding them?\Good!\We are, Miss Akatsuki.\Hey! Stop that!\It's Akatsuki.\A-Akatsuki... You'll ride behind me.\Okay? response:	All right.
context: Wait... W-We're riding them?\Good!\We are, Miss Akatsuki.\Hey! Stop that!\It's Akatsuki.\A-Akatsuki... You'll ride behind me.\Okay?\All right. response:	However...
context: Good!\We are, Miss Akatsuki.\Hey! Stop that!\It's Akatsuki.\A-Akatsuki... You'll ride behind me.\Okay?\All right.\However... response:	I've heard of summon flutes like those.
context: We are, Miss Akatsuki.\Hey! Stop that!\It's Akatsuki.\A-Akatsuki... You'll ride behind me.\Okay?\All right.\However...\I've heard of summon flutes like those. response:	That they're only given to players
context: Hey! Stop that!\It's Akatsuki.\A-Akatsuki... You'll ride behind me.\Okay?\All right.\However...\I've heard of summon flutes like those.\That they're only given to players response:	who've won the Hades Breath raid on the Fields of Death.
context: It's Akatsuki.\A-Akatsuki... You'll ride behind me.\Okay?\All right.\However...\I've heard of summon flutes like those.\That they're only given to players\who've won the Hades Breath raid on the Fields of Death. response:	Yeah, a long time ago...
context: A-Akatsuki... You'll ride behind me.\Okay?\All right.\However...\I've heard of summon flutes like those.\That they're only given to players\who've won the Hades Breath raid on the Fields of Death.\Yeah, a long time ago... response:	It's a great trick to surprise people with!
context: Okay?\All right.\However...\I've heard of summon flutes like those.\That they're only given to players\who've won the Hades Breath raid on the Fields of Death.\Yeah, a long time ago...\It's a great trick to surprise people with! response:	Hop on, Akatsuki.
context: All right.\However...\I've heard of summon flutes like those.\That they're only given to players\who've won the Hades Breath raid on the Fields of Death.\Yeah, a long time ago...\It's a great trick to surprise people with!\Hop on, Akatsuki. response:	All set?
context: However...\I've heard of summon flutes like those.\That they're only given to players\who've won the Hades Breath raid on the Fields of Death.\Yeah, a long time ago...\It's a great trick to surprise people with!\Hop on, Akatsuki.\All set? response:	Yes, my lord, no problem...
context: I've heard of summon flutes like those.\That they're only given to players\who've won the Hades Breath raid on the Fields of Death.\Yeah, a long time ago...\It's a great trick to surprise people with!\Hop on, Akatsuki.\All set?\Yes, my lord, no problem... response:	Okay, hang on tight.
context: That they're only given to players\who've won the Hades Breath raid on the Fields of Death.\Yeah, a long time ago...\It's a great trick to surprise people with!\Hop on, Akatsuki.\All set?\Yes, my lord, no problem...\Okay, hang on tight. response:	Wait, don't grab my stomach...
context: who've won the Hades Breath raid on the Fields of Death.\Yeah, a long time ago...\It's a great trick to surprise people with!\Hop on, Akatsuki.\All set?\Yes, my lord, no problem...\Okay, hang on tight.\Wait, don't grab my stomach... response:	I'll go first!
context: Yeah, a long time ago...\It's a great trick to surprise people with!\Hop on, Akatsuki.\All set?\Yes, my lord, no problem...\Okay, hang on tight.\Wait, don't grab my stomach...\I'll go first! response:	Yahoo!
context: It's a great trick to surprise people with!\Hop on, Akatsuki.\All set?\Yes, my lord, no problem...\Okay, hang on tight.\Wait, don't grab my stomach...\I'll go first!\Yahoo! response:	Jeez.
context: Hop on, Akatsuki.\All set?\Yes, my lord, no problem...\Okay, hang on tight.\Wait, don't grab my stomach...\I'll go first!\Yahoo!\Jeez. response:	Ready, Akatsuki?
context: All set?\Yes, my lord, no problem...\Okay, hang on tight.\Wait, don't grab my stomach...\I'll go first!\Yahoo!\Jeez.\Ready, Akatsuki? response:	Then, we'll get going, too.
context: Yes, my lord, no problem...\Okay, hang on tight.\Wait, don't grab my stomach...\I'll go first!\Yahoo!\Jeez.\Ready, Akatsuki?\Then, we'll get going, too. response:	It's a great view.
context: Okay, hang on tight.\Wait, don't grab my stomach...\I'll go first!\Yahoo!\Jeez.\Ready, Akatsuki?\Then, we'll get going, too.\It's a great view. response:	Are you okay?
context: Wait, don't grab my stomach...\I'll go first!\Yahoo!\Jeez.\Ready, Akatsuki?\Then, we'll get going, too.\It's a great view.\Are you okay? response:	Yeah.
context: I'll go first!\Yahoo!\Jeez.\Ready, Akatsuki?\Then, we'll get going, too.\It's a great view.\Are you okay?\Yeah. response:	My lord... This is amazing!
context: Yahoo!\Jeez.\Ready, Akatsuki?\Then, we'll get going, too.\It's a great view.\Are you okay?\Yeah.\My lord... This is amazing! response:	It's like we're floating in the sky!
context: Jeez.\Ready, Akatsuki?\Then, we'll get going, too.\It's a great view.\Are you okay?\Yeah.\My lord... This is amazing!\It's like we're floating in the sky! response:	Isn't this great?
context: Ready, Akatsuki?\Then, we'll get going, too.\It's a great view.\Are you okay?\Yeah.\My lord... This is amazing!\It's like we're floating in the sky!\Isn't this great? response:	It's amazing... This is amazing!
context: Then, we'll get going, too.\It's a great view.\Are you okay?\Yeah.\My lord... This is amazing!\It's like we're floating in the sky!\Isn't this great?\It's amazing... This is amazing! response:	The sky is so blue and clear!
context: It's a great view.\Are you okay?\Yeah.\My lord... This is amazing!\It's like we're floating in the sky!\Isn't this great?\It's amazing... This is amazing!\The sky is so blue and clear! response:	Shiroe's party heads toward Susukino, through the underground labyrinth.
context: Are you okay?\Yeah.\My lord... This is amazing!\It's like we're floating in the sky!\Isn't this great?\It's amazing... This is amazing!\The sky is so blue and clear!\Shiroe's party heads toward Susukino, through the underground labyrinth. response:	Awaiting them are phantoms of the past
context: Yeah.\My lord... This is amazing!\It's like we're floating in the sky!\Isn't this great?\It's amazing... This is amazing!\The sky is so blue and clear!\Shiroe's party heads toward Susukino, through the underground labyrinth.\Awaiting them are phantoms of the past response:	and a horde of rat-men.
context: My lord... This is amazing!\It's like we're floating in the sky!\Isn't this great?\It's amazing... This is amazing!\The sky is so blue and clear!\Shiroe's party heads toward Susukino, through the underground labyrinth.\Awaiting them are phantoms of the past\and a horde of rat-men. response:	When Shiroe was a solo player, he once had friends he held very dear.
context: It's like we're floating in the sky!\Isn't this great?\It's amazing... This is amazing!\The sky is so blue and clear!\Shiroe's party heads toward Susukino, through the underground labyrinth.\Awaiting them are phantoms of the past\and a horde of rat-men.\When Shiroe was a solo player, he once had friends he held very dear. response:	They were called the Debauchery Tea Party.
context: Isn't this great?\It's amazing... This is amazing!\The sky is so blue and clear!\Shiroe's party heads toward Susukino, through the underground labyrinth.\Awaiting them are phantoms of the past\and a horde of rat-men.\When Shiroe was a solo player, he once had friends he held very dear.\They were called the Debauchery Tea Party. response:	The Depths of Palm
context: It's amazing... This is amazing!\The sky is so blue and clear!\Shiroe's party heads toward Susukino, through the underground labyrinth.\Awaiting them are phantoms of the past\and a horde of rat-men.\When Shiroe was a solo player, he once had friends he held very dear.\They were called the Debauchery Tea Party.\The Depths of Palm response:	Next time: The Depths of Palm.
context: The sky is so blue and clear!\Shiroe's party heads toward Susukino, through the underground labyrinth.\Awaiting them are phantoms of the past\and a horde of rat-men.\When Shiroe was a solo player, he once had friends he held very dear.\They were called the Debauchery Tea Party.\The Depths of Palm\Next time: The Depths of Palm. response:	This is our reality.
