context: The one before him yelled out, Oh no! response:	If you'd like to know what happens next, come listen again next time.
context: After 60 years, he may return to the ranks of the immortals.\- Yes. - Yes.\No...\No, no! Father! Father, help me! Father! Father!\- Please withdraw your command, Father! - I really didn't do it!\- Yuan Zhen has a gentle nature. - I didn't do it!\He does not indulge in lust!\A father knows his son best. He would never do such a thing! response:	Please investigate, Father.
context: - Yes. - Yes.\No...\No, no! Father! Father, help me! Father! Father!\- Please withdraw your command, Father! - I really didn't do it!\- Yuan Zhen has a gentle nature. - I didn't do it!\He does not indulge in lust!\A father knows his son best. He would never do such a thing!\Please investigate, Father. response:	- Please investigate, Father! - Save me, Father!
context: No...\No, no! Father! Father, help me! Father! Father!\- Please withdraw your command, Father! - I really didn't do it!\- Yuan Zhen has a gentle nature. - I didn't do it!\He does not indulge in lust!\A father knows his son best. He would never do such a thing!\Please investigate, Father.\- Please investigate, Father! - Save me, Father! response:	Back in the day
context: No, no! Father! Father, help me! Father! Father!\- Please withdraw your command, Father! - I really didn't do it!\- Yuan Zhen has a gentle nature. - I didn't do it!\He does not indulge in lust!\A father knows his son best. He would never do such a thing!\Please investigate, Father.\- Please investigate, Father! - Save me, Father!\Back in the day response:	I also thought you had a gentle nature and didn't indulge in lust.
context: - Please withdraw your command, Father! - I really didn't do it!\- Yuan Zhen has a gentle nature. - I didn't do it!\He does not indulge in lust!\A father knows his son best. He would never do such a thing!\Please investigate, Father.\- Please investigate, Father! - Save me, Father!\Back in the day\I also thought you had a gentle nature and didn't indulge in lust. response:	Did you not do such a disgraceful thing as well?
context: - Yuan Zhen has a gentle nature. - I didn't do it!\He does not indulge in lust!\A father knows his son best. He would never do such a thing!\Please investigate, Father.\- Please investigate, Father! - Save me, Father!\Back in the day\I also thought you had a gentle nature and didn't indulge in lust.\Did you not do such a disgraceful thing as well? response:	Take him away!
context: He does not indulge in lust!\A father knows his son best. He would never do such a thing!\Please investigate, Father.\- Please investigate, Father! - Save me, Father!\Back in the day\I also thought you had a gentle nature and didn't indulge in lust.\Did you not do such a disgraceful thing as well?\Take him away! response:	- No, no! Father, save me! - Yuan Zhen!
context: A father knows his son best. He would never do such a thing!\Please investigate, Father.\- Please investigate, Father! - Save me, Father!\Back in the day\I also thought you had a gentle nature and didn't indulge in lust.\Did you not do such a disgraceful thing as well?\Take him away!\- No, no! Father, save me! - Yuan Zhen! response:	Father! Father, save me! Father!
context: Please investigate, Father.\- Please investigate, Father! - Save me, Father!\Back in the day\I also thought you had a gentle nature and didn't indulge in lust.\Did you not do such a disgraceful thing as well?\Take him away!\- No, no! Father, save me! - Yuan Zhen!\Father! Father, save me! Father! response:	Father!
context: - Please investigate, Father! - Save me, Father!\Back in the day\I also thought you had a gentle nature and didn't indulge in lust.\Did you not do such a disgraceful thing as well?\Take him away!\- No, no! Father, save me! - Yuan Zhen!\Father! Father, save me! Father!\Father! response:	I did not do anything!
context: Back in the day\I also thought you had a gentle nature and didn't indulge in lust.\Did you not do such a disgraceful thing as well?\Take him away!\- No, no! Father, save me! - Yuan Zhen!\Father! Father, save me! Father!\Father!\I did not do anything! response:	This child falls asleep so easily.
context: I also thought you had a gentle nature and didn't indulge in lust.\Did you not do such a disgraceful thing as well?\Take him away!\- No, no! Father, save me! - Yuan Zhen!\Father! Father, save me! Father!\Father!\I did not do anything!\This child falls asleep so easily. response:	Ye Hua is so lucky to have a son like you.
context: Did you not do such a disgraceful thing as well?\Take him away!\- No, no! Father, save me! - Yuan Zhen!\Father! Father, save me! Father!\Father!\I did not do anything!\This child falls asleep so easily.\Ye Hua is so lucky to have a son like you. response:	Your Highness, please grant me death so I may prove my innocence.
context: Take him away!\- No, no! Father, save me! - Yuan Zhen!\Father! Father, save me! Father!\Father!\I did not do anything!\This child falls asleep so easily.\Ye Hua is so lucky to have a son like you.\Your Highness, please grant me death so I may prove my innocence. response:	Your Highness!
context: - No, no! Father, save me! - Yuan Zhen!\Father! Father, save me! Father!\Father!\I did not do anything!\This child falls asleep so easily.\Ye Hua is so lucky to have a son like you.\Your Highness, please grant me death so I may prove my innocence.\Your Highness! response:	What act are you playing out today?
context: Father! Father, save me! Father!\Father!\I did not do anything!\This child falls asleep so easily.\Ye Hua is so lucky to have a son like you.\Your Highness, please grant me death so I may prove my innocence.\Your Highness!\What act are you playing out today? response:	What does Your Highness mean?
context: Father!\I did not do anything!\This child falls asleep so easily.\Ye Hua is so lucky to have a son like you.\Your Highness, please grant me death so I may prove my innocence.\Your Highness!\What act are you playing out today?\What does Your Highness mean? response:	Could it be... Your Highness suspects I would sully my own innocence?
context: I did not do anything!\This child falls asleep so easily.\Ye Hua is so lucky to have a son like you.\Your Highness, please grant me death so I may prove my innocence.\Your Highness!\What act are you playing out today?\What does Your Highness mean?\Could it be... Your Highness suspects I would sully my own innocence? response:	Is there any woman in the world who would do such a thing?
context: This child falls asleep so easily.\Ye Hua is so lucky to have a son like you.\Your Highness, please grant me death so I may prove my innocence.\Your Highness!\What act are you playing out today?\What does Your Highness mean?\Could it be... Your Highness suspects I would sully my own innocence?\Is there any woman in the world who would do such a thing? response:	Moreover, I have always loved only Your Highness.
context: Ye Hua is so lucky to have a son like you.\Your Highness, please grant me death so I may prove my innocence.\Your Highness!\What act are you playing out today?\What does Your Highness mean?\Could it be... Your Highness suspects I would sully my own innocence?\Is there any woman in the world who would do such a thing?\Moreover, I have always loved only Your Highness. response:	Does Your Highness not know?
context: Your Highness, please grant me death so I may prove my innocence.\Your Highness!\What act are you playing out today?\What does Your Highness mean?\Could it be... Your Highness suspects I would sully my own innocence?\Is there any woman in the world who would do such a thing?\Moreover, I have always loved only Your Highness.\Does Your Highness not know? response:	Once, you framed Su Su just like this.
context: Your Highness!\What act are you playing out today?\What does Your Highness mean?\Could it be... Your Highness suspects I would sully my own innocence?\Is there any woman in the world who would do such a thing?\Moreover, I have always loved only Your Highness.\Does Your Highness not know?\Once, you framed Su Su just like this. response:	Did you really think I could not see through your lies?
context: What act are you playing out today?\What does Your Highness mean?\Could it be... Your Highness suspects I would sully my own innocence?\Is there any woman in the world who would do such a thing?\Moreover, I have always loved only Your Highness.\Does Your Highness not know?\Once, you framed Su Su just like this.\Did you really think I could not see through your lies? response:	Your Highness wrongly accuses me!
context: What does Your Highness mean?\Could it be... Your Highness suspects I would sully my own innocence?\Is there any woman in the world who would do such a thing?\Moreover, I have always loved only Your Highness.\Does Your Highness not know?\Once, you framed Su Su just like this.\Did you really think I could not see through your lies?\Your Highness wrongly accuses me! response:	Do you know why I have let you live?
context: Could it be... Your Highness suspects I would sully my own innocence?\Is there any woman in the world who would do such a thing?\Moreover, I have always loved only Your Highness.\Does Your Highness not know?\Once, you framed Su Su just like this.\Did you really think I could not see through your lies?\Your Highness wrongly accuses me!\Do you know why I have let you live? response:	First, it is because of the Soul-gathering Lamp.
context: Is there any woman in the world who would do such a thing?\Moreover, I have always loved only Your Highness.\Does Your Highness not know?\Once, you framed Su Su just like this.\Did you really think I could not see through your lies?\Your Highness wrongly accuses me!\Do you know why I have let you live?\First, it is because of the Soul-gathering Lamp. response:	I only spared you from death for that lamp.
context: Moreover, I have always loved only Your Highness.\Does Your Highness not know?\Once, you framed Su Su just like this.\Did you really think I could not see through your lies?\Your Highness wrongly accuses me!\Do you know why I have let you live?\First, it is because of the Soul-gathering Lamp.\I only spared you from death for that lamp. response:	Second...
context: Does Your Highness not know?\Once, you framed Su Su just like this.\Did you really think I could not see through your lies?\Your Highness wrongly accuses me!\Do you know why I have let you live?\First, it is because of the Soul-gathering Lamp.\I only spared you from death for that lamp.\Second... response:	It is because you are taking care of Su Su's eyes in your eye sockets.
context: Once, you framed Su Su just like this.\Did you really think I could not see through your lies?\Your Highness wrongly accuses me!\Do you know why I have let you live?\First, it is because of the Soul-gathering Lamp.\I only spared you from death for that lamp.\Second...\It is because you are taking care of Su Su's eyes in your eye sockets. response:	If you die, Su Su's eyes would die as well.
context: Did you really think I could not see through your lies?\Your Highness wrongly accuses me!\Do you know why I have let you live?\First, it is because of the Soul-gathering Lamp.\I only spared you from death for that lamp.\Second...\It is because you are taking care of Su Su's eyes in your eye sockets.\If you die, Su Su's eyes would die as well. response:	However...
context: Your Highness wrongly accuses me!\Do you know why I have let you live?\First, it is because of the Soul-gathering Lamp.\I only spared you from death for that lamp.\Second...\It is because you are taking care of Su Su's eyes in your eye sockets.\If you die, Su Su's eyes would die as well.\However... response:	Should you continue digging your own grave
context: Do you know why I have let you live?\First, it is because of the Soul-gathering Lamp.\I only spared you from death for that lamp.\Second...\It is because you are taking care of Su Su's eyes in your eye sockets.\If you die, Su Su's eyes would die as well.\However...\Should you continue digging your own grave response:	then do not blame me for showing you no mercy.
context: First, it is because of the Soul-gathering Lamp.\I only spared you from death for that lamp.\Second...\It is because you are taking care of Su Su's eyes in your eye sockets.\If you die, Su Su's eyes would die as well.\However...\Should you continue digging your own grave\then do not blame me for showing you no mercy. response:	Su Jin, even if you were to die
context: I only spared you from death for that lamp.\Second...\It is because you are taking care of Su Su's eyes in your eye sockets.\If you die, Su Su's eyes would die as well.\However...\Should you continue digging your own grave\then do not blame me for showing you no mercy.\Su Jin, even if you were to die response:	I would still be able to find a new owner for those eyes.
context: Second...\It is because you are taking care of Su Su's eyes in your eye sockets.\If you die, Su Su's eyes would die as well.\However...\Should you continue digging your own grave\then do not blame me for showing you no mercy.\Su Jin, even if you were to die\I would still be able to find a new owner for those eyes. response:	My Lord. My Lord!
context: It is because you are taking care of Su Su's eyes in your eye sockets.\If you die, Su Su's eyes would die as well.\However...\Should you continue digging your own grave\then do not blame me for showing you no mercy.\Su Jin, even if you were to die\I would still be able to find a new owner for those eyes.\My Lord. My Lord! response:	I stayed by Your Highness's side for so many years.
context: If you die, Su Su's eyes would die as well.\However...\Should you continue digging your own grave\then do not blame me for showing you no mercy.\Su Jin, even if you were to die\I would still be able to find a new owner for those eyes.\My Lord. My Lord!\I stayed by Your Highness's side for so many years. response:	Could it be that...
context: However...\Should you continue digging your own grave\then do not blame me for showing you no mercy.\Su Jin, even if you were to die\I would still be able to find a new owner for those eyes.\My Lord. My Lord!\I stayed by Your Highness's side for so many years.\Could it be that... response:	it truly meant nothing to you?
context: Should you continue digging your own grave\then do not blame me for showing you no mercy.\Su Jin, even if you were to die\I would still be able to find a new owner for those eyes.\My Lord. My Lord!\I stayed by Your Highness's side for so many years.\Could it be that...\it truly meant nothing to you? response:	That's right.
context: then do not blame me for showing you no mercy.\Su Jin, even if you were to die\I would still be able to find a new owner for those eyes.\My Lord. My Lord!\I stayed by Your Highness's side for so many years.\Could it be that...\it truly meant nothing to you?\That's right. response:	Nothing at all.
context: Su Jin, even if you were to die\I would still be able to find a new owner for those eyes.\My Lord. My Lord!\I stayed by Your Highness's side for so many years.\Could it be that...\it truly meant nothing to you?\That's right.\Nothing at all. response:	- In my opinion- - It was a scheme devised by Su Jin.
context: I would still be able to find a new owner for those eyes.\My Lord. My Lord!\I stayed by Your Highness's side for so many years.\Could it be that...\it truly meant nothing to you?\That's right.\Nothing at all.\- In my opinion- - It was a scheme devised by Su Jin. response:	The Heavenly Lord used the chance to further suppress Second Uncle.
context: My Lord. My Lord!\I stayed by Your Highness's side for so many years.\Could it be that...\it truly meant nothing to you?\That's right.\Nothing at all.\- In my opinion- - It was a scheme devised by Su Jin.\The Heavenly Lord used the chance to further suppress Second Uncle. response:	You are seeing things even more clearly now.
context: I stayed by Your Highness's side for so many years.\Could it be that...\it truly meant nothing to you?\That's right.\Nothing at all.\- In my opinion- - It was a scheme devised by Su Jin.\The Heavenly Lord used the chance to further suppress Second Uncle.\You are seeing things even more clearly now. response:	It is just unfortunate that Yuan Zhen has fallen on bad luck.
context: Could it be that...\it truly meant nothing to you?\That's right.\Nothing at all.\- In my opinion- - It was a scheme devised by Su Jin.\The Heavenly Lord used the chance to further suppress Second Uncle.\You are seeing things even more clearly now.\It is just unfortunate that Yuan Zhen has fallen on bad luck. response:	Second Brother was careless as well.
context: it truly meant nothing to you?\That's right.\Nothing at all.\- In my opinion- - It was a scheme devised by Su Jin.\The Heavenly Lord used the chance to further suppress Second Uncle.\You are seeing things even more clearly now.\It is just unfortunate that Yuan Zhen has fallen on bad luck.\Second Brother was careless as well. response:	It was because of that snake that Father demoted him to the North Sea.
context: That's right.\Nothing at all.\- In my opinion- - It was a scheme devised by Su Jin.\The Heavenly Lord used the chance to further suppress Second Uncle.\You are seeing things even more clearly now.\It is just unfortunate that Yuan Zhen has fallen on bad luck.\Second Brother was careless as well.\It was because of that snake that Father demoted him to the North Sea. response:	Second Brother and his wife have even deeper affections for each other now.
context: Nothing at all.\- In my opinion- - It was a scheme devised by Su Jin.\The Heavenly Lord used the chance to further suppress Second Uncle.\You are seeing things even more clearly now.\It is just unfortunate that Yuan Zhen has fallen on bad luck.\Second Brother was careless as well.\It was because of that snake that Father demoted him to the North Sea.\Second Brother and his wife have even deeper affections for each other now. response:	They're about to have their fourth child.
context: - In my opinion- - It was a scheme devised by Su Jin.\The Heavenly Lord used the chance to further suppress Second Uncle.\You are seeing things even more clearly now.\It is just unfortunate that Yuan Zhen has fallen on bad luck.\Second Brother was careless as well.\It was because of that snake that Father demoted him to the North Sea.\Second Brother and his wife have even deeper affections for each other now.\They're about to have their fourth child. response:	Isn't that an affront to Father in front of the whole world?
context: The Heavenly Lord used the chance to further suppress Second Uncle.\You are seeing things even more clearly now.\It is just unfortunate that Yuan Zhen has fallen on bad luck.\Second Brother was careless as well.\It was because of that snake that Father demoted him to the North Sea.\Second Brother and his wife have even deeper affections for each other now.\They're about to have their fourth child.\Isn't that an affront to Father in front of the whole world? response:	Yuan Zhen has been made a scapegoat for his parents.
context: You are seeing things even more clearly now.\It is just unfortunate that Yuan Zhen has fallen on bad luck.\Second Brother was careless as well.\It was because of that snake that Father demoted him to the North Sea.\Second Brother and his wife have even deeper affections for each other now.\They're about to have their fourth child.\Isn't that an affront to Father in front of the whole world?\Yuan Zhen has been made a scapegoat for his parents. response:	That may not be a bad thing.
context: It is just unfortunate that Yuan Zhen has fallen on bad luck.\Second Brother was careless as well.\It was because of that snake that Father demoted him to the North Sea.\Second Brother and his wife have even deeper affections for each other now.\They're about to have their fourth child.\Isn't that an affront to Father in front of the whole world?\Yuan Zhen has been made a scapegoat for his parents.\That may not be a bad thing. response:	I'll advise Second Brother to exercise restraint.
context: Second Brother was careless as well.\It was because of that snake that Father demoted him to the North Sea.\Second Brother and his wife have even deeper affections for each other now.\They're about to have their fourth child.\Isn't that an affront to Father in front of the whole world?\Yuan Zhen has been made a scapegoat for his parents.\That may not be a bad thing.\I'll advise Second Brother to exercise restraint. response:	His love and affections must be kept hidden.
context: It was because of that snake that Father demoted him to the North Sea.\Second Brother and his wife have even deeper affections for each other now.\They're about to have their fourth child.\Isn't that an affront to Father in front of the whole world?\Yuan Zhen has been made a scapegoat for his parents.\That may not be a bad thing.\I'll advise Second Brother to exercise restraint.\His love and affections must be kept hidden. response:	If Father feels disrespected
context: Second Brother and his wife have even deeper affections for each other now.\They're about to have their fourth child.\Isn't that an affront to Father in front of the whole world?\Yuan Zhen has been made a scapegoat for his parents.\That may not be a bad thing.\I'll advise Second Brother to exercise restraint.\His love and affections must be kept hidden.\If Father feels disrespected response:	Second Brother won't have an easy life either.
context: They're about to have their fourth child.\Isn't that an affront to Father in front of the whole world?\Yuan Zhen has been made a scapegoat for his parents.\That may not be a bad thing.\I'll advise Second Brother to exercise restraint.\His love and affections must be kept hidden.\If Father feels disrespected\Second Brother won't have an easy life either. response:	Is there something that you can't tell me, Third Uncle?
context: Isn't that an affront to Father in front of the whole world?\Yuan Zhen has been made a scapegoat for his parents.\That may not be a bad thing.\I'll advise Second Brother to exercise restraint.\His love and affections must be kept hidden.\If Father feels disrespected\Second Brother won't have an easy life either.\Is there something that you can't tell me, Third Uncle? response:	I just find it strange.
context: Yuan Zhen has been made a scapegoat for his parents.\That may not be a bad thing.\I'll advise Second Brother to exercise restraint.\His love and affections must be kept hidden.\If Father feels disrespected\Second Brother won't have an easy life either.\Is there something that you can't tell me, Third Uncle?\I just find it strange. response:	Since you already know Su Su is Bai Qian
context: That may not be a bad thing.\I'll advise Second Brother to exercise restraint.\His love and affections must be kept hidden.\If Father feels disrespected\Second Brother won't have an easy life either.\Is there something that you can't tell me, Third Uncle?\I just find it strange.\Since you already know Su Su is Bai Qian response:	why aren't you bringing her back to the Celestial Palace as soon as you can?
context: I'll advise Second Brother to exercise restraint.\His love and affections must be kept hidden.\If Father feels disrespected\Second Brother won't have an easy life either.\Is there something that you can't tell me, Third Uncle?\I just find it strange.\Since you already know Su Su is Bai Qian\why aren't you bringing her back to the Celestial Palace as soon as you can? response:	She has a marriage arrangement with you.
context: His love and affections must be kept hidden.\If Father feels disrespected\Second Brother won't have an easy life either.\Is there something that you can't tell me, Third Uncle?\I just find it strange.\Since you already know Su Su is Bai Qian\why aren't you bringing her back to the Celestial Palace as soon as you can?\She has a marriage arrangement with you. response:	Haven't I said that she has completely forgotten about me?
context: If Father feels disrespected\Second Brother won't have an easy life either.\Is there something that you can't tell me, Third Uncle?\I just find it strange.\Since you already know Su Su is Bai Qian\why aren't you bringing her back to the Celestial Palace as soon as you can?\She has a marriage arrangement with you.\Haven't I said that she has completely forgotten about me? response:	She's really forgotten?
context: Second Brother won't have an easy life either.\Is there something that you can't tell me, Third Uncle?\I just find it strange.\Since you already know Su Su is Bai Qian\why aren't you bringing her back to the Celestial Palace as soon as you can?\She has a marriage arrangement with you.\Haven't I said that she has completely forgotten about me?\She's really forgotten? response:	It must be Zhe Yan's amnesia potion.
context: Is there something that you can't tell me, Third Uncle?\I just find it strange.\Since you already know Su Su is Bai Qian\why aren't you bringing her back to the Celestial Palace as soon as you can?\She has a marriage arrangement with you.\Haven't I said that she has completely forgotten about me?\She's really forgotten?\It must be Zhe Yan's amnesia potion. response:	She must have remembered you took out her eyes
context: I just find it strange.\Since you already know Su Su is Bai Qian\why aren't you bringing her back to the Celestial Palace as soon as you can?\She has a marriage arrangement with you.\Haven't I said that she has completely forgotten about me?\She's really forgotten?\It must be Zhe Yan's amnesia potion.\She must have remembered you took out her eyes response:	so that's why she chose to remove you from her memory.
context: Since you already know Su Su is Bai Qian\why aren't you bringing her back to the Celestial Palace as soon as you can?\She has a marriage arrangement with you.\Haven't I said that she has completely forgotten about me?\She's really forgotten?\It must be Zhe Yan's amnesia potion.\She must have remembered you took out her eyes\so that's why she chose to remove you from her memory. response:	Now that you are staying in Qing Qiu, what are your plans?
context: why aren't you bringing her back to the Celestial Palace as soon as you can?\She has a marriage arrangement with you.\Haven't I said that she has completely forgotten about me?\She's really forgotten?\It must be Zhe Yan's amnesia potion.\She must have remembered you took out her eyes\so that's why she chose to remove you from her memory.\Now that you are staying in Qing Qiu, what are your plans? response:	I want to... start all over again.
context: She has a marriage arrangement with you.\Haven't I said that she has completely forgotten about me?\She's really forgotten?\It must be Zhe Yan's amnesia potion.\She must have remembered you took out her eyes\so that's why she chose to remove you from her memory.\Now that you are staying in Qing Qiu, what are your plans?\I want to... start all over again. response:	Start all over again?
context: Haven't I said that she has completely forgotten about me?\She's really forgotten?\It must be Zhe Yan's amnesia potion.\She must have remembered you took out her eyes\so that's why she chose to remove you from her memory.\Now that you are staying in Qing Qiu, what are your plans?\I want to... start all over again.\Start all over again? response:	When she was Su Su...
context: She's really forgotten?\It must be Zhe Yan's amnesia potion.\She must have remembered you took out her eyes\so that's why she chose to remove you from her memory.\Now that you are staying in Qing Qiu, what are your plans?\I want to... start all over again.\Start all over again?\When she was Su Su... response:	she did not have any good memories of the Celestial Palace.
context: It must be Zhe Yan's amnesia potion.\She must have remembered you took out her eyes\so that's why she chose to remove you from her memory.\Now that you are staying in Qing Qiu, what are your plans?\I want to... start all over again.\Start all over again?\When she was Su Su...\she did not have any good memories of the Celestial Palace. response:	Since that is the case...
context: She must have remembered you took out her eyes\so that's why she chose to remove you from her memory.\Now that you are staying in Qing Qiu, what are your plans?\I want to... start all over again.\Start all over again?\When she was Su Su...\she did not have any good memories of the Celestial Palace.\Since that is the case... response:	then let the memories be forgotten.
context: so that's why she chose to remove you from her memory.\Now that you are staying in Qing Qiu, what are your plans?\I want to... start all over again.\Start all over again?\When she was Su Su...\she did not have any good memories of the Celestial Palace.\Since that is the case...\then let the memories be forgotten. response:	I just have to take things slowly and find my way into her heart.
context: Now that you are staying in Qing Qiu, what are your plans?\I want to... start all over again.\Start all over again?\When she was Su Su...\she did not have any good memories of the Celestial Palace.\Since that is the case...\then let the memories be forgotten.\I just have to take things slowly and find my way into her heart. response:	This time, there will be no obstacles.
context: I want to... start all over again.\Start all over again?\When she was Su Su...\she did not have any good memories of the Celestial Palace.\Since that is the case...\then let the memories be forgotten.\I just have to take things slowly and find my way into her heart.\This time, there will be no obstacles. response:	I will be able to rightfully take her as my wife.
context: Start all over again?\When she was Su Su...\she did not have any good memories of the Celestial Palace.\Since that is the case...\then let the memories be forgotten.\I just have to take things slowly and find my way into her heart.\This time, there will be no obstacles.\I will be able to rightfully take her as my wife. response:	Good. This may be a good idea.
context: When she was Su Su...\she did not have any good memories of the Celestial Palace.\Since that is the case...\then let the memories be forgotten.\I just have to take things slowly and find my way into her heart.\This time, there will be no obstacles.\I will be able to rightfully take her as my wife.\Good. This may be a good idea. response:	Your Ladyship, the wind is picking up. Hurry back inside.
context: she did not have any good memories of the Celestial Palace.\Since that is the case...\then let the memories be forgotten.\I just have to take things slowly and find my way into her heart.\This time, there will be no obstacles.\I will be able to rightfully take her as my wife.\Good. This may be a good idea.\Your Ladyship, the wind is picking up. Hurry back inside. response:	It's been two years. His Majesty still has not come to see me.
context: Since that is the case...\then let the memories be forgotten.\I just have to take things slowly and find my way into her heart.\This time, there will be no obstacles.\I will be able to rightfully take her as my wife.\Good. This may be a good idea.\Your Ladyship, the wind is picking up. Hurry back inside.\It's been two years. His Majesty still has not come to see me. response:	Your Ladyship was framed by villains.
context: then let the memories be forgotten.\I just have to take things slowly and find my way into her heart.\This time, there will be no obstacles.\I will be able to rightfully take her as my wife.\Good. This may be a good idea.\Your Ladyship, the wind is picking up. Hurry back inside.\It's been two years. His Majesty still has not come to see me.\Your Ladyship was framed by villains. response:	Word has spread throughout the palace
context: I just have to take things slowly and find my way into her heart.\This time, there will be no obstacles.\I will be able to rightfully take her as my wife.\Good. This may be a good idea.\Your Ladyship, the wind is picking up. Hurry back inside.\It's been two years. His Majesty still has not come to see me.\Your Ladyship was framed by villains.\Word has spread throughout the palace response:	that the plumed cockscomb on your forehead is a demonic flower.
context: This time, there will be no obstacles.\I will be able to rightfully take her as my wife.\Good. This may be a good idea.\Your Ladyship, the wind is picking up. Hurry back inside.\It's been two years. His Majesty still has not come to see me.\Your Ladyship was framed by villains.\Word has spread throughout the palace\that the plumed cockscomb on your forehead is a demonic flower. response:	His Majesty would naturally not come to see you after he heard that.
context: I will be able to rightfully take her as my wife.\Good. This may be a good idea.\Your Ladyship, the wind is picking up. Hurry back inside.\It's been two years. His Majesty still has not come to see me.\Your Ladyship was framed by villains.\Word has spread throughout the palace\that the plumed cockscomb on your forehead is a demonic flower.\His Majesty would naturally not come to see you after he heard that. response:	So it is because of this birthmark.
context: Good. This may be a good idea.\Your Ladyship, the wind is picking up. Hurry back inside.\It's been two years. His Majesty still has not come to see me.\Your Ladyship was framed by villains.\Word has spread throughout the palace\that the plumed cockscomb on your forehead is a demonic flower.\His Majesty would naturally not come to see you after he heard that.\So it is because of this birthmark. response:	This birthmark was Aunt's favorite.
context: Your Ladyship, the wind is picking up. Hurry back inside.\It's been two years. His Majesty still has not come to see me.\Your Ladyship was framed by villains.\Word has spread throughout the palace\that the plumed cockscomb on your forehead is a demonic flower.\His Majesty would naturally not come to see you after he heard that.\So it is because of this birthmark.\This birthmark was Aunt's favorite. response:	Do not be sad, Your Ladyship. The rumors will be forgotten one day.
context: It's been two years. His Majesty still has not come to see me.\Your Ladyship was framed by villains.\Word has spread throughout the palace\that the plumed cockscomb on your forehead is a demonic flower.\His Majesty would naturally not come to see you after he heard that.\So it is because of this birthmark.\This birthmark was Aunt's favorite.\Do not be sad, Your Ladyship. The rumors will be forgotten one day. response:	Your Ladyship is still young.
context: Your Ladyship was framed by villains.\Word has spread throughout the palace\that the plumed cockscomb on your forehead is a demonic flower.\His Majesty would naturally not come to see you after he heard that.\So it is because of this birthmark.\This birthmark was Aunt's favorite.\Do not be sad, Your Ladyship. The rumors will be forgotten one day.\Your Ladyship is still young. response:	Do not fear that you will not receive favor.
context: Word has spread throughout the palace\that the plumed cockscomb on your forehead is a demonic flower.\His Majesty would naturally not come to see you after he heard that.\So it is because of this birthmark.\This birthmark was Aunt's favorite.\Do not be sad, Your Ladyship. The rumors will be forgotten one day.\Your Ladyship is still young.\Do not fear that you will not receive favor. response:	But if I am unable to see him
context: that the plumed cockscomb on your forehead is a demonic flower.\His Majesty would naturally not come to see you after he heard that.\So it is because of this birthmark.\This birthmark was Aunt's favorite.\Do not be sad, Your Ladyship. The rumors will be forgotten one day.\Your Ladyship is still young.\Do not fear that you will not receive favor.\But if I am unable to see him response:	how can I offer him a sincere heart and fulfill his wish?
context: His Majesty would naturally not come to see you after he heard that.\So it is because of this birthmark.\This birthmark was Aunt's favorite.\Do not be sad, Your Ladyship. The rumors will be forgotten one day.\Your Ladyship is still young.\Do not fear that you will not receive favor.\But if I am unable to see him\how can I offer him a sincere heart and fulfill his wish? response:	Your Majesty.
context: So it is because of this birthmark.\This birthmark was Aunt's favorite.\Do not be sad, Your Ladyship. The rumors will be forgotten one day.\Your Ladyship is still young.\Do not fear that you will not receive favor.\But if I am unable to see him\how can I offer him a sincere heart and fulfill his wish?\Your Majesty. response:	Sit.
context: This birthmark was Aunt's favorite.\Do not be sad, Your Ladyship. The rumors will be forgotten one day.\Your Ladyship is still young.\Do not fear that you will not receive favor.\But if I am unable to see him\how can I offer him a sincere heart and fulfill his wish?\Your Majesty.\Sit. response:	I do not dare.
context: Do not be sad, Your Ladyship. The rumors will be forgotten one day.\Your Ladyship is still young.\Do not fear that you will not receive favor.\But if I am unable to see him\how can I offer him a sincere heart and fulfill his wish?\Your Majesty.\Sit.\I do not dare. response:	I allow you to sit.
context: Your Ladyship is still young.\Do not fear that you will not receive favor.\But if I am unable to see him\how can I offer him a sincere heart and fulfill his wish?\Your Majesty.\Sit.\I do not dare.\I allow you to sit. response:	Yes.
context: Do not fear that you will not receive favor.\But if I am unable to see him\how can I offer him a sincere heart and fulfill his wish?\Your Majesty.\Sit.\I do not dare.\I allow you to sit.\Yes. response:	Noble Consort still refuses to return to the palace.
context: But if I am unable to see him\how can I offer him a sincere heart and fulfill his wish?\Your Majesty.\Sit.\I do not dare.\I allow you to sit.\Yes.\Noble Consort still refuses to return to the palace. response:	Noble Consort?
context: how can I offer him a sincere heart and fulfill his wish?\Your Majesty.\Sit.\I do not dare.\I allow you to sit.\Yes.\Noble Consort still refuses to return to the palace.\Noble Consort? response:	Noble Consort entered the palace when she was 15 years old.
context: Your Majesty.\Sit.\I do not dare.\I allow you to sit.\Yes.\Noble Consort still refuses to return to the palace.\Noble Consort?\Noble Consort entered the palace when she was 15 years old. response:	I always favored her.
context: Sit.\I do not dare.\I allow you to sit.\Yes.\Noble Consort still refuses to return to the palace.\Noble Consort?\Noble Consort entered the palace when she was 15 years old.\I always favored her. response:	I never expected that after giving birth to the crown prince, Yuan Zhen
context: I do not dare.\I allow you to sit.\Yes.\Noble Consort still refuses to return to the palace.\Noble Consort?\Noble Consort entered the palace when she was 15 years old.\I always favored her.\I never expected that after giving birth to the crown prince, Yuan Zhen response:	she would keep saying she wanted to become a nun.
