context: I'm sorry. I couldn't make breakfast... response:	Don't be stupid. You have such a high fever!
context: H-Hold on a second!\If right after getting better is bad, how about we go on the weekend...\You really don't get it, do you... you've been denied once already. Just give up!\Outta my way! I'm going to make my way back through from here!\Oh, shut up, shut up!\I'll do something with this guy, so Ayucchi, you can go on ahead.\Thanks, Nomu-chan.\Wait, hold on, O-Otosaka! response:	You don't stand a chance anymore!
context: If right after getting better is bad, how about we go on the weekend...\You really don't get it, do you... you've been denied once already. Just give up!\Outta my way! I'm going to make my way back through from here!\Oh, shut up, shut up!\I'll do something with this guy, so Ayucchi, you can go on ahead.\Thanks, Nomu-chan.\Wait, hold on, O-Otosaka!\You don't stand a chance anymore! response:	Hey, wait, where are you going?
context: You really don't get it, do you... you've been denied once already. Just give up!\Outta my way! I'm going to make my way back through from here!\Oh, shut up, shut up!\I'll do something with this guy, so Ayucchi, you can go on ahead.\Thanks, Nomu-chan.\Wait, hold on, O-Otosaka!\You don't stand a chance anymore!\Hey, wait, where are you going? response:	It's a shortcut.
context: Outta my way! I'm going to make my way back through from here!\Oh, shut up, shut up!\I'll do something with this guy, so Ayucchi, you can go on ahead.\Thanks, Nomu-chan.\Wait, hold on, O-Otosaka!\You don't stand a chance anymore!\Hey, wait, where are you going?\It's a shortcut. response:	Konishi?
context: Oh, shut up, shut up!\I'll do something with this guy, so Ayucchi, you can go on ahead.\Thanks, Nomu-chan.\Wait, hold on, O-Otosaka!\You don't stand a chance anymore!\Hey, wait, where are you going?\It's a shortcut.\Konishi? response:	It's because you showed up...
context: I'll do something with this guy, so Ayucchi, you can go on ahead.\Thanks, Nomu-chan.\Wait, hold on, O-Otosaka!\You don't stand a chance anymore!\Hey, wait, where are you going?\It's a shortcut.\Konishi?\It's because you showed up... response:	What is?
context: Thanks, Nomu-chan.\Wait, hold on, O-Otosaka!\You don't stand a chance anymore!\Hey, wait, where are you going?\It's a shortcut.\Konishi?\It's because you showed up...\What is? response:	With Oikawa...
context: Wait, hold on, O-Otosaka!\You don't stand a chance anymore!\Hey, wait, where are you going?\It's a shortcut.\Konishi?\It's because you showed up...\What is?\With Oikawa... response:	With Oikawa?
context: You don't stand a chance anymore!\Hey, wait, where are you going?\It's a shortcut.\Konishi?\It's because you showed up...\What is?\With Oikawa...\With Oikawa? response:	With Oikawa... I used to eat lunch all alone. We were supposedly dating.
context: Hey, wait, where are you going?\It's a shortcut.\Konishi?\It's because you showed up...\What is?\With Oikawa...\With Oikawa?\With Oikawa... I used to eat lunch all alone. We were supposedly dating. response:	But ever since you showed up, Oikawa... Oikawa...
context: It's a shortcut.\Konishi?\It's because you showed up...\What is?\With Oikawa...\With Oikawa?\With Oikawa... I used to eat lunch all alone. We were supposedly dating.\But ever since you showed up, Oikawa... Oikawa... response:	It's as if he's completely forgotten about me! He looks at just you all of the time!
context: Konishi?\It's because you showed up...\What is?\With Oikawa...\With Oikawa?\With Oikawa... I used to eat lunch all alone. We were supposedly dating.\But ever since you showed up, Oikawa... Oikawa...\It's as if he's completely forgotten about me! He looks at just you all of the time! response:	Wait, let's talk it out! I'm sure it's just a misunderstanding!
context: It's because you showed up...\What is?\With Oikawa...\With Oikawa?\With Oikawa... I used to eat lunch all alone. We were supposedly dating.\But ever since you showed up, Oikawa... Oikawa...\It's as if he's completely forgotten about me! He looks at just you all of the time!\Wait, let's talk it out! I'm sure it's just a misunderstanding! response:	So put that cutter knife away!
context: What is?\With Oikawa...\With Oikawa?\With Oikawa... I used to eat lunch all alone. We were supposedly dating.\But ever since you showed up, Oikawa... Oikawa...\It's as if he's completely forgotten about me! He looks at just you all of the time!\Wait, let's talk it out! I'm sure it's just a misunderstanding!\So put that cutter knife away! response:	It's your fault...
context: With Oikawa...\With Oikawa?\With Oikawa... I used to eat lunch all alone. We were supposedly dating.\But ever since you showed up, Oikawa... Oikawa...\It's as if he's completely forgotten about me! He looks at just you all of the time!\Wait, let's talk it out! I'm sure it's just a misunderstanding!\So put that cutter knife away!\It's your fault... response:	It's your fault...
context: With Oikawa?\With Oikawa... I used to eat lunch all alone. We were supposedly dating.\But ever since you showed up, Oikawa... Oikawa...\It's as if he's completely forgotten about me! He looks at just you all of the time!\Wait, let's talk it out! I'm sure it's just a misunderstanding!\So put that cutter knife away!\It's your fault...\It's your fault... response:	It's your fault...
context: With Oikawa... I used to eat lunch all alone. We were supposedly dating.\But ever since you showed up, Oikawa... Oikawa...\It's as if he's completely forgotten about me! He looks at just you all of the time!\Wait, let's talk it out! I'm sure it's just a misunderstanding!\So put that cutter knife away!\It's your fault...\It's your fault...\It's your fault... response:	It's your fault...
context: But ever since you showed up, Oikawa... Oikawa...\It's as if he's completely forgotten about me! He looks at just you all of the time!\Wait, let's talk it out! I'm sure it's just a misunderstanding!\So put that cutter knife away!\It's your fault...\It's your fault...\It's your fault...\It's your fault... response:	That's not true!
context: It's as if he's completely forgotten about me! He looks at just you all of the time!\Wait, let's talk it out! I'm sure it's just a misunderstanding!\So put that cutter knife away!\It's your fault...\It's your fault...\It's your fault...\It's your fault...\That's not true! response:	That's why... you're going to see some pain!
context: Wait, let's talk it out! I'm sure it's just a misunderstanding!\So put that cutter knife away!\It's your fault...\It's your fault...\It's your fault...\It's your fault...\That's not true!\That's why... you're going to see some pain! response:	Help... someone...
context: So put that cutter knife away!\It's your fault...\It's your fault...\It's your fault...\It's your fault...\That's not true!\That's why... you're going to see some pain!\Help... someone... response:	Someone..!
context: It's your fault...\It's your fault...\It's your fault...\It's your fault...\That's not true!\That's why... you're going to see some pain!\Help... someone...\Someone..! response:	Help me!
context: It's your fault...\It's your fault...\It's your fault...\That's not true!\That's why... you're going to see some pain!\Help... someone...\Someone..!\Help me! response:	This is... the collapse...
context: It's your fault...\It's your fault...\That's not true!\That's why... you're going to see some pain!\Help... someone...\Someone..!\Help me!\This is... the collapse... response:	I guess we didn't make it in time...
context: It's your fault...\That's not true!\That's why... you're going to see some pain!\Help... someone...\Someone..!\Help me!\This is... the collapse...\I guess we didn't make it in time... response:	- I'm going in! - You can't! It's too dangerous!
context: That's not true!\That's why... you're going to see some pain!\Help... someone...\Someone..!\Help me!\This is... the collapse...\I guess we didn't make it in time...\- I'm going in! - You can't! It's too dangerous! response:	Ayumi...
context: That's why... you're going to see some pain!\Help... someone...\Someone..!\Help me!\This is... the collapse...\I guess we didn't make it in time...\- I'm going in! - You can't! It's too dangerous!\Ayumi... response:	Ayumi!
context: Help... someone...\Someone..!\Help me!\This is... the collapse...\I guess we didn't make it in time...\- I'm going in! - You can't! It's too dangerous!\Ayumi...\Ayumi! response:	Don't go! You'll get roped into it!
context: Someone..!\Help me!\This is... the collapse...\I guess we didn't make it in time...\- I'm going in! - You can't! It's too dangerous!\Ayumi...\Ayumi!\Don't go! You'll get roped into it! response:	Ayumi!
context: Help me!\This is... the collapse...\I guess we didn't make it in time...\- I'm going in! - You can't! It's too dangerous!\Ayumi...\Ayumi!\Don't go! You'll get roped into it!\Ayumi! response:	You there! Get away! It's dangerous!
context: This is... the collapse...\I guess we didn't make it in time...\- I'm going in! - You can't! It's too dangerous!\Ayumi...\Ayumi!\Don't go! You'll get roped into it!\Ayumi!\You there! Get away! It's dangerous! response:	Ayumi... Ayumi...
