context: Kiss Him, Not Me response:	The Strange Room And The Four High School Boys
context: You punks! Yeah, you guys! You four over there!\Allow me, her older brother Takuro,\to give you guys a warning, man-to-man!\You were probably lured here by her looks, but don't let that fool you!\This girl is a seriously crazy otaku!\Uh, we know.\It's okay.\We even gave our condolences to Shion-san earlier. response:	Gosh!
context: Allow me, her older brother Takuro,\to give you guys a warning, man-to-man!\You were probably lured here by her looks, but don't let that fool you!\This girl is a seriously crazy otaku!\Uh, we know.\It's okay.\We even gave our condolences to Shion-san earlier.\Gosh! response:	What's your problem, Nii-chan?!
context: to give you guys a warning, man-to-man!\You were probably lured here by her looks, but don't let that fool you!\This girl is a seriously crazy otaku!\Uh, we know.\It's okay.\We even gave our condolences to Shion-san earlier.\Gosh!\What's your problem, Nii-chan?! response:	Not everyone is narrow-minded like you!
context: You were probably lured here by her looks, but don't let that fool you!\This girl is a seriously crazy otaku!\Uh, we know.\It's okay.\We even gave our condolences to Shion-san earlier.\Gosh!\What's your problem, Nii-chan?!\Not everyone is narrow-minded like you! response:	Get out!
context: This girl is a seriously crazy otaku!\Uh, we know.\It's okay.\We even gave our condolences to Shion-san earlier.\Gosh!\What's your problem, Nii-chan?!\Not everyone is narrow-minded like you!\Get out! response:	Narrow-minded. Narrow-minded.
context: Uh, we know.\It's okay.\We even gave our condolences to Shion-san earlier.\Gosh!\What's your problem, Nii-chan?!\Not everyone is narrow-minded like you!\Get out!\Narrow-minded. Narrow-minded. response:	Narrow-minded
context: It's okay.\We even gave our condolences to Shion-san earlier.\Gosh!\What's your problem, Nii-chan?!\Not everyone is narrow-minded like you!\Get out!\Narrow-minded. Narrow-minded.\Narrow-minded response:	You'll say that...
context: We even gave our condolences to Shion-san earlier.\Gosh!\What's your problem, Nii-chan?!\Not everyone is narrow-minded like you!\Get out!\Narrow-minded. Narrow-minded.\Narrow-minded\You'll say that... response:	even after seeing this?!
context: Gosh!\What's your problem, Nii-chan?!\Not everyone is narrow-minded like you!\Get out!\Narrow-minded. Narrow-minded.\Narrow-minded\You'll say that...\even after seeing this?! response:	It's...
context: What's your problem, Nii-chan?!\Not everyone is narrow-minded like you!\Get out!\Narrow-minded. Narrow-minded.\Narrow-minded\You'll say that...\even after seeing this?!\It's... response:	Look! Otaku are gross!
context: Not everyone is narrow-minded like you!\Get out!\Narrow-minded. Narrow-minded.\Narrow-minded\You'll say that...\even after seeing this?!\It's...\Look! Otaku are gross! response:	So what?! There isn't a girl out there who hates gay guys!
context: Get out!\Narrow-minded. Narrow-minded.\Narrow-minded\You'll say that...\even after seeing this?!\It's...\Look! Otaku are gross!\So what?! There isn't a girl out there who hates gay guys! response:	Mu Nana Iga Shi
context: Narrow-minded. Narrow-minded.\Narrow-minded\You'll say that...\even after seeing this?!\It's...\Look! Otaku are gross!\So what?! There isn't a girl out there who hates gay guys!\Mu Nana Iga Shi response:	Oh. It's BL.
context: Narrow-minded\You'll say that...\even after seeing this?!\It's...\Look! Otaku are gross!\So what?! There isn't a girl out there who hates gay guys!\Mu Nana Iga Shi\Oh. It's BL. response:	I hate you!
context: You'll say that...\even after seeing this?!\It's...\Look! Otaku are gross!\So what?! There isn't a girl out there who hates gay guys!\Mu Nana Iga Shi\Oh. It's BL.\I hate you! response:	Shut up!
context: even after seeing this?!\It's...\Look! Otaku are gross!\So what?! There isn't a girl out there who hates gay guys!\Mu Nana Iga Shi\Oh. It's BL.\I hate you!\Shut up! response:	Onii-san.
context: It's...\Look! Otaku are gross!\So what?! There isn't a girl out there who hates gay guys!\Mu Nana Iga Shi\Oh. It's BL.\I hate you!\Shut up!\Onii-san. response:	We're studying here, so if you don't mind...
context: Look! Otaku are gross!\So what?! There isn't a girl out there who hates gay guys!\Mu Nana Iga Shi\Oh. It's BL.\I hate you!\Shut up!\Onii-san.\We're studying here, so if you don't mind... response:	Come, now.
context: So what?! There isn't a girl out there who hates gay guys!\Mu Nana Iga Shi\Oh. It's BL.\I hate you!\Shut up!\Onii-san.\We're studying here, so if you don't mind...\Come, now. response:	Hey, Wai
context: Mu Nana Iga Shi\Oh. It's BL.\I hate you!\Shut up!\Onii-san.\We're studying here, so if you don't mind...\Come, now.\Hey, Wai response:	Excuse us.
context: Oh. It's BL.\I hate you!\Shut up!\Onii-san.\We're studying here, so if you don't mind...\Come, now.\Hey, Wai\Excuse us. response:	Th-Thank you.
context: I hate you!\Shut up!\Onii-san.\We're studying here, so if you don't mind...\Come, now.\Hey, Wai\Excuse us.\Th-Thank you. response:	Okay, everyone. First, let's tidy up these books.
context: Shut up!\Onii-san.\We're studying here, so if you don't mind...\Come, now.\Hey, Wai\Excuse us.\Th-Thank you.\Okay, everyone. First, let's tidy up these books. response:	Uh, sure.
context: Onii-san.\We're studying here, so if you don't mind...\Come, now.\Hey, Wai\Excuse us.\Th-Thank you.\Okay, everyone. First, let's tidy up these books.\Uh, sure. response:	O-Oh, it's fine! I can take care of it on my own!
context: We're studying here, so if you don't mind...\Come, now.\Hey, Wai\Excuse us.\Th-Thank you.\Okay, everyone. First, let's tidy up these books.\Uh, sure.\O-Oh, it's fine! I can take care of it on my own! response:	Wait.
context: Come, now.\Hey, Wai\Excuse us.\Th-Thank you.\Okay, everyone. First, let's tidy up these books.\Uh, sure.\O-Oh, it's fine! I can take care of it on my own!\Wait. response:	Don't be so rough with them.
context: Hey, Wai\Excuse us.\Th-Thank you.\Okay, everyone. First, let's tidy up these books.\Uh, sure.\O-Oh, it's fine! I can take care of it on my own!\Wait.\Don't be so rough with them. response:	They're important to you, aren't they?
context: Excuse us.\Th-Thank you.\Okay, everyone. First, let's tidy up these books.\Uh, sure.\O-Oh, it's fine! I can take care of it on my own!\Wait.\Don't be so rough with them.\They're important to you, aren't they? response:	Yes.
context: Th-Thank you.\Okay, everyone. First, let's tidy up these books.\Uh, sure.\O-Oh, it's fine! I can take care of it on my own!\Wait.\Don't be so rough with them.\They're important to you, aren't they?\Yes. response:	Thanks for having us over.
context: Okay, everyone. First, let's tidy up these books.\Uh, sure.\O-Oh, it's fine! I can take care of it on my own!\Wait.\Don't be so rough with them.\They're important to you, aren't they?\Yes.\Thanks for having us over. response:	Mutsumi-senpai, thank you so much for today.
context: Uh, sure.\O-Oh, it's fine! I can take care of it on my own!\Wait.\Don't be so rough with them.\They're important to you, aren't they?\Yes.\Thanks for having us over.\Mutsumi-senpai, thank you so much for today. response:	It was nothing. Tell your brother I'm sorry, will you?
context: O-Oh, it's fine! I can take care of it on my own!\Wait.\Don't be so rough with them.\They're important to you, aren't they?\Yes.\Thanks for having us over.\Mutsumi-senpai, thank you so much for today.\It was nothing. Tell your brother I'm sorry, will you? response:	I acted rudely back there.
context: Wait.\Don't be so rough with them.\They're important to you, aren't they?\Yes.\Thanks for having us over.\Mutsumi-senpai, thank you so much for today.\It was nothing. Tell your brother I'm sorry, will you?\I acted rudely back there. response:	Not at all! He had it coming!
context: Don't be so rough with them.\They're important to you, aren't they?\Yes.\Thanks for having us over.\Mutsumi-senpai, thank you so much for today.\It was nothing. Tell your brother I'm sorry, will you?\I acted rudely back there.\Not at all! He had it coming! response:	Serinuma-san, take this.
context: They're important to you, aren't they?\Yes.\Thanks for having us over.\Mutsumi-senpai, thank you so much for today.\It was nothing. Tell your brother I'm sorry, will you?\I acted rudely back there.\Not at all! He had it coming!\Serinuma-san, take this. response:	It's for the test.
context: Yes.\Thanks for having us over.\Mutsumi-senpai, thank you so much for today.\It was nothing. Tell your brother I'm sorry, will you?\I acted rudely back there.\Not at all! He had it coming!\Serinuma-san, take this.\It's for the test. response:	If you find yourself at a loss, this will help you decide.
context: Thanks for having us over.\Mutsumi-senpai, thank you so much for today.\It was nothing. Tell your brother I'm sorry, will you?\I acted rudely back there.\Not at all! He had it coming!\Serinuma-san, take this.\It's for the test.\If you find yourself at a loss, this will help you decide. response:	Luck is a skill, too.
context: Mutsumi-senpai, thank you so much for today.\It was nothing. Tell your brother I'm sorry, will you?\I acted rudely back there.\Not at all! He had it coming!\Serinuma-san, take this.\It's for the test.\If you find yourself at a loss, this will help you decide.\Luck is a skill, too. response:	Thank you!
context: It was nothing. Tell your brother I'm sorry, will you?\I acted rudely back there.\Not at all! He had it coming!\Serinuma-san, take this.\It's for the test.\If you find yourself at a loss, this will help you decide.\Luck is a skill, too.\Thank you! response:	Oh, you three.
context: I acted rudely back there.\Not at all! He had it coming!\Serinuma-san, take this.\It's for the test.\If you find yourself at a loss, this will help you decide.\Luck is a skill, too.\Thank you!\Oh, you three. response:	I've got one for each of you, too. Good luck on your test.
context: Not at all! He had it coming!\Serinuma-san, take this.\It's for the test.\If you find yourself at a loss, this will help you decide.\Luck is a skill, too.\Thank you!\Oh, you three.\I've got one for each of you, too. Good luck on your test. response:	S-Senpai...
context: Serinuma-san, take this.\It's for the test.\If you find yourself at a loss, this will help you decide.\Luck is a skill, too.\Thank you!\Oh, you three.\I've got one for each of you, too. Good luck on your test.\S-Senpai... response:	That's the first time I've been so excited in a girl's room,
context: It's for the test.\If you find yourself at a loss, this will help you decide.\Luck is a skill, too.\Thank you!\Oh, you three.\I've got one for each of you, too. Good luck on your test.\S-Senpai...\That's the first time I've been so excited in a girl's room, response:	so to speak.
context: If you find yourself at a loss, this will help you decide.\Luck is a skill, too.\Thank you!\Oh, you three.\I've got one for each of you, too. Good luck on your test.\S-Senpai...\That's the first time I've been so excited in a girl's room,\so to speak. response:	Damn, that was fun!
context: Luck is a skill, too.\Thank you!\Oh, you three.\I've got one for each of you, too. Good luck on your test.\S-Senpai...\That's the first time I've been so excited in a girl's room,\so to speak.\Damn, that was fun! response:	So, this is his way of apologizing?
context: Thank you!\Oh, you three.\I've got one for each of you, too. Good luck on your test.\S-Senpai...\That's the first time I've been so excited in a girl's room,\so to speak.\Damn, that was fun!\So, this is his way of apologizing? response:	Yes! All clear! Summer break, come on!
context: Oh, you three.\I've got one for each of you, too. Good luck on your test.\S-Senpai...\That's the first time I've been so excited in a girl's room,\so to speak.\Damn, that was fun!\So, this is his way of apologizing?\Yes! All clear! Summer break, come on! response:	Congratulations!
context: I've got one for each of you, too. Good luck on your test.\S-Senpai...\That's the first time I've been so excited in a girl's room,\so to speak.\Damn, that was fun!\So, this is his way of apologizing?\Yes! All clear! Summer break, come on!\Congratulations! response:	Serinuma, let's go to the pool.
context: S-Senpai...\That's the first time I've been so excited in a girl's room,\so to speak.\Damn, that was fun!\So, this is his way of apologizing?\Yes! All clear! Summer break, come on!\Congratulations!\Serinuma, let's go to the pool. response:	That sounds like a good idea!
context: That's the first time I've been so excited in a girl's room,\so to speak.\Damn, that was fun!\So, this is his way of apologizing?\Yes! All clear! Summer break, come on!\Congratulations!\Serinuma, let's go to the pool.\That sounds like a good idea! response:	Just the two of us!
context: so to speak.\Damn, that was fun!\So, this is his way of apologizing?\Yes! All clear! Summer break, come on!\Congratulations!\Serinuma, let's go to the pool.\That sounds like a good idea!\Just the two of us! response:	The Charm of Japanese Castles
context: Damn, that was fun!\So, this is his way of apologizing?\Yes! All clear! Summer break, come on!\Congratulations!\Serinuma, let's go to the pool.\That sounds like a good idea!\Just the two of us!\The Charm of Japanese Castles response:	Let's go to a castle mentioned in this.
context: So, this is his way of apologizing?\Yes! All clear! Summer break, come on!\Congratulations!\Serinuma, let's go to the pool.\That sounds like a good idea!\Just the two of us!\The Charm of Japanese Castles\Let's go to a castle mentioned in this. response:	And so I...
context: Yes! All clear! Summer break, come on!\Congratulations!\Serinuma, let's go to the pool.\That sounds like a good idea!\Just the two of us!\The Charm of Japanese Castles\Let's go to a castle mentioned in this.\And so I... response:	Prince-sama!
context: Congratulations!\Serinuma, let's go to the pool.\That sounds like a good idea!\Just the two of us!\The Charm of Japanese Castles\Let's go to a castle mentioned in this.\And so I...\Prince-sama! response:	Set all the otaku events as top priority!
context: Serinuma, let's go to the pool.\That sounds like a good idea!\Just the two of us!\The Charm of Japanese Castles\Let's go to a castle mentioned in this.\And so I...\Prince-sama!\Set all the otaku events as top priority! response:	I was a gloomy kid when I was younger.
context: That sounds like a good idea!\Just the two of us!\The Charm of Japanese Castles\Let's go to a castle mentioned in this.\And so I...\Prince-sama!\Set all the otaku events as top priority!\I was a gloomy kid when I was younger. response:	Why?
context: Just the two of us!\The Charm of Japanese Castles\Let's go to a castle mentioned in this.\And so I...\Prince-sama!\Set all the otaku events as top priority!\I was a gloomy kid when I was younger.\Why? response:	Everyone said I was delicate, and girls would tease me.
context: The Charm of Japanese Castles\Let's go to a castle mentioned in this.\And so I...\Prince-sama!\Set all the otaku events as top priority!\I was a gloomy kid when I was younger.\Why?\Everyone said I was delicate, and girls would tease me. response:	I was popular! Because I played soccer! Igarashi was still more popular, though.
context: Let's go to a castle mentioned in this.\And so I...\Prince-sama!\Set all the otaku events as top priority!\I was a gloomy kid when I was younger.\Why?\Everyone said I was delicate, and girls would tease me.\I was popular! Because I played soccer! Igarashi was still more popular, though. response:	You should have played in high school, too.
context: And so I...\Prince-sama!\Set all the otaku events as top priority!\I was a gloomy kid when I was younger.\Why?\Everyone said I was delicate, and girls would tease me.\I was popular! Because I played soccer! Igarashi was still more popular, though.\You should have played in high school, too. response:	Nana, why'd you quit?
context: Prince-sama!\Set all the otaku events as top priority!\I was a gloomy kid when I was younger.\Why?\Everyone said I was delicate, and girls would tease me.\I was popular! Because I played soccer! Igarashi was still more popular, though.\You should have played in high school, too.\Nana, why'd you quit? response:	It wears you out!
context: Set all the otaku events as top priority!\I was a gloomy kid when I was younger.\Why?\Everyone said I was delicate, and girls would tease me.\I was popular! Because I played soccer! Igarashi was still more popular, though.\You should have played in high school, too.\Nana, why'd you quit?\It wears you out! response:	I wanna enjoy the school festivals like normal, then go home.
context: I was a gloomy kid when I was younger.\Why?\Everyone said I was delicate, and girls would tease me.\I was popular! Because I played soccer! Igarashi was still more popular, though.\You should have played in high school, too.\Nana, why'd you quit?\It wears you out!\I wanna enjoy the school festivals like normal, then go home. response:	The cultural festival is fun.
context: Why?\Everyone said I was delicate, and girls would tease me.\I was popular! Because I played soccer! Igarashi was still more popular, though.\You should have played in high school, too.\Nana, why'd you quit?\It wears you out!\I wanna enjoy the school festivals like normal, then go home.\The cultural festival is fun. response:	You get to see your efforts pay off.
context: Everyone said I was delicate, and girls would tease me.\I was popular! Because I played soccer! Igarashi was still more popular, though.\You should have played in high school, too.\Nana, why'd you quit?\It wears you out!\I wanna enjoy the school festivals like normal, then go home.\The cultural festival is fun.\You get to see your efforts pay off. response:	I wonder what's supposed to be fun about seeing me cross dress.
context: I was popular! Because I played soccer! Igarashi was still more popular, though.\You should have played in high school, too.\Nana, why'd you quit?\It wears you out!\I wanna enjoy the school festivals like normal, then go home.\The cultural festival is fun.\You get to see your efforts pay off.\I wonder what's supposed to be fun about seeing me cross dress. response:	I bet you'd look good!
context: You should have played in high school, too.\Nana, why'd you quit?\It wears you out!\I wanna enjoy the school festivals like normal, then go home.\The cultural festival is fun.\You get to see your efforts pay off.\I wonder what's supposed to be fun about seeing me cross dress.\I bet you'd look good! response:	Next time: The Clear and Blue Autumn Sky, and Passionate Otome
context: Nana, why'd you quit?\It wears you out!\I wanna enjoy the school festivals like normal, then go home.\The cultural festival is fun.\You get to see your efforts pay off.\I wonder what's supposed to be fun about seeing me cross dress.\I bet you'd look good!\Next time: The Clear and Blue Autumn Sky, and Passionate Otome response:	Look forward to it!!
context: It wears you out!\I wanna enjoy the school festivals like normal, then go home.\The cultural festival is fun.\You get to see your efforts pay off.\I wonder what's supposed to be fun about seeing me cross dress.\I bet you'd look good!\Next time: The Clear and Blue Autumn Sky, and Passionate Otome\Look forward to it!! response:	You wanna fight?!
context: I wanna enjoy the school festivals like normal, then go home.\The cultural festival is fun.\You get to see your efforts pay off.\I wonder what's supposed to be fun about seeing me cross dress.\I bet you'd look good!\Next time: The Clear and Blue Autumn Sky, and Passionate Otome\Look forward to it!!\You wanna fight?! response:	No, no. Cross dressers are the flowers of any cultural festival.
