context: What is it, Akatsuki? response:	N-Nothing, just...
context: That's almost no time at all!\It'll be fine.\Leave it to your strategist, Marie.\Air glasses?\I've got it all planned out.\I call it...\Ta-da!\Scale Festival Plan response:	The Scale Festival?
context: It'll be fine.\Leave it to your strategist, Marie.\Air glasses?\I've got it all planned out.\I call it...\Ta-da!\Scale Festival Plan\The Scale Festival? response:	Two forks are offered to you...
context: Leave it to your strategist, Marie.\Air glasses?\I've got it all planned out.\I call it...\Ta-da!\Scale Festival Plan\The Scale Festival?\Two forks are offered to you... response:	Two bites of cake on them.
context: Air glasses?\I've got it all planned out.\I call it...\Ta-da!\Scale Festival Plan\The Scale Festival?\Two forks are offered to you...\Two bites of cake on them. response:	Which will you eat, and which won't you?
context: I've got it all planned out.\I call it...\Ta-da!\Scale Festival Plan\The Scale Festival?\Two forks are offered to you...\Two bites of cake on them.\Which will you eat, and which won't you? response:	Jealous glares and a demon's spell.
context: I call it...\Ta-da!\Scale Festival Plan\The Scale Festival?\Two forks are offered to you...\Two bites of cake on them.\Which will you eat, and which won't you?\Jealous glares and a demon's spell. response:	Say, Ahh.
context: Ta-da!\Scale Festival Plan\The Scale Festival?\Two forks are offered to you...\Two bites of cake on them.\Which will you eat, and which won't you?\Jealous glares and a demon's spell.\Say, Ahh. response:	An all-you-can-eat cake buffet is the young girls' battlefield,
context: Scale Festival Plan\The Scale Festival?\Two forks are offered to you...\Two bites of cake on them.\Which will you eat, and which won't you?\Jealous glares and a demon's spell.\Say, Ahh.\An all-you-can-eat cake buffet is the young girls' battlefield, response:	where Shiroe's reality suddenly explodes.
context: The Scale Festival?\Two forks are offered to you...\Two bites of cake on them.\Which will you eat, and which won't you?\Jealous glares and a demon's spell.\Say, Ahh.\An all-you-can-eat cake buffet is the young girls' battlefield,\where Shiroe's reality suddenly explodes. response:	Swallow and Young Starling
context: Two forks are offered to you...\Two bites of cake on them.\Which will you eat, and which won't you?\Jealous glares and a demon's spell.\Say, Ahh.\An all-you-can-eat cake buffet is the young girls' battlefield,\where Shiroe's reality suddenly explodes.\Swallow and Young Starling response:	Next time: Swallow and Young Starling.
context: Two bites of cake on them.\Which will you eat, and which won't you?\Jealous glares and a demon's spell.\Say, Ahh.\An all-you-can-eat cake buffet is the young girls' battlefield,\where Shiroe's reality suddenly explodes.\Swallow and Young Starling\Next time: Swallow and Young Starling. response:	We will change the world...
