context: How many years has it been since I last stepped on this soil? response:	Oh, my God,
context: You don't even have a normal daily life.\Eh? Maka, what's up?\Err... Well, Papa.\T-This Sunday, do you want to... go on a date?\T-This Sunday, do you want to... go on a date?\When I thought I was going to be relocated somewhere...\Papa, strawberry or banana, which is better?\Say, Papa, which one suits me more? response:	It's getting chilly.
context: Eh? Maka, what's up?\Err... Well, Papa.\T-This Sunday, do you want to... go on a date?\T-This Sunday, do you want to... go on a date?\When I thought I was going to be relocated somewhere...\Papa, strawberry or banana, which is better?\Say, Papa, which one suits me more?\It's getting chilly. response:	Thanks, Papa. It's warm.
context: Err... Well, Papa.\T-This Sunday, do you want to... go on a date?\T-This Sunday, do you want to... go on a date?\When I thought I was going to be relocated somewhere...\Papa, strawberry or banana, which is better?\Say, Papa, which one suits me more?\It's getting chilly.\Thanks, Papa. It's warm. response:	I-I never expected such an abnormal day to jump on me like this!
context: T-This Sunday, do you want to... go on a date?\T-This Sunday, do you want to... go on a date?\When I thought I was going to be relocated somewhere...\Papa, strawberry or banana, which is better?\Say, Papa, which one suits me more?\It's getting chilly.\Thanks, Papa. It's warm.\I-I never expected such an abnormal day to jump on me like this! response:	Papa?
context: T-This Sunday, do you want to... go on a date?\When I thought I was going to be relocated somewhere...\Papa, strawberry or banana, which is better?\Say, Papa, which one suits me more?\It's getting chilly.\Thanks, Papa. It's warm.\I-I never expected such an abnormal day to jump on me like this!\Papa? response:	Wait, Papa? Are you okay?
context: When I thought I was going to be relocated somewhere...\Papa, strawberry or banana, which is better?\Say, Papa, which one suits me more?\It's getting chilly.\Thanks, Papa. It's warm.\I-I never expected such an abnormal day to jump on me like this!\Papa?\Wait, Papa? Are you okay? response:	Sorry. I'm just too happy.
context: Papa, strawberry or banana, which is better?\Say, Papa, which one suits me more?\It's getting chilly.\Thanks, Papa. It's warm.\I-I never expected such an abnormal day to jump on me like this!\Papa?\Wait, Papa? Are you okay?\Sorry. I'm just too happy. response:	Wait here. I'll get the stomach medicine.
context: Say, Papa, which one suits me more?\It's getting chilly.\Thanks, Papa. It's warm.\I-I never expected such an abnormal day to jump on me like this!\Papa?\Wait, Papa? Are you okay?\Sorry. I'm just too happy.\Wait here. I'll get the stomach medicine. response:	It's okay, I'm fine!
context: It's getting chilly.\Thanks, Papa. It's warm.\I-I never expected such an abnormal day to jump on me like this!\Papa?\Wait, Papa? Are you okay?\Sorry. I'm just too happy.\Wait here. I'll get the stomach medicine.\It's okay, I'm fine! response:	How shameful of me...
context: Thanks, Papa. It's warm.\I-I never expected such an abnormal day to jump on me like this!\Papa?\Wait, Papa? Are you okay?\Sorry. I'm just too happy.\Wait here. I'll get the stomach medicine.\It's okay, I'm fine!\How shameful of me... response:	He's vomiting happiness?
context: I-I never expected such an abnormal day to jump on me like this!\Papa?\Wait, Papa? Are you okay?\Sorry. I'm just too happy.\Wait here. I'll get the stomach medicine.\It's okay, I'm fine!\How shameful of me...\He's vomiting happiness? response:	Even I won't be able to understand that.
context: Papa?\Wait, Papa? Are you okay?\Sorry. I'm just too happy.\Wait here. I'll get the stomach medicine.\It's okay, I'm fine!\How shameful of me...\He's vomiting happiness?\Even I won't be able to understand that. response:	Shinigami-sama.
context: Wait, Papa? Are you okay?\Sorry. I'm just too happy.\Wait here. I'll get the stomach medicine.\It's okay, I'm fine!\How shameful of me...\He's vomiting happiness?\Even I won't be able to understand that.\Shinigami-sama. response:	About your decision on the Devil Sword... What are we going to do?
context: Sorry. I'm just too happy.\Wait here. I'll get the stomach medicine.\It's okay, I'm fine!\How shameful of me...\He's vomiting happiness?\Even I won't be able to understand that.\Shinigami-sama.\About your decision on the Devil Sword... What are we going to do? response:	Well, I think we should let her attend school at Shibusen!
context: Wait here. I'll get the stomach medicine.\It's okay, I'm fine!\How shameful of me...\He's vomiting happiness?\Even I won't be able to understand that.\Shinigami-sama.\About your decision on the Devil Sword... What are we going to do?\Well, I think we should let her attend school at Shibusen! response:	Are you serious?
context: It's okay, I'm fine!\How shameful of me...\He's vomiting happiness?\Even I won't be able to understand that.\Shinigami-sama.\About your decision on the Devil Sword... What are we going to do?\Well, I think we should let her attend school at Shibusen!\Are you serious? response:	Yes, I'm serious.
context: How shameful of me...\He's vomiting happiness?\Even I won't be able to understand that.\Shinigami-sama.\About your decision on the Devil Sword... What are we going to do?\Well, I think we should let her attend school at Shibusen!\Are you serious?\Yes, I'm serious. response:	I'm not going to joke about this.
context: He's vomiting happiness?\Even I won't be able to understand that.\Shinigami-sama.\About your decision on the Devil Sword... What are we going to do?\Well, I think we should let her attend school at Shibusen!\Are you serious?\Yes, I'm serious.\I'm not going to joke about this. response:	That kid does have problems.
context: Even I won't be able to understand that.\Shinigami-sama.\About your decision on the Devil Sword... What are we going to do?\Well, I think we should let her attend school at Shibusen!\Are you serious?\Yes, I'm serious.\I'm not going to joke about this.\That kid does have problems. response:	But, if we can give her some proper guidance, she'll become a fighting force of Shibusen.
context: Shinigami-sama.\About your decision on the Devil Sword... What are we going to do?\Well, I think we should let her attend school at Shibusen!\Are you serious?\Yes, I'm serious.\I'm not going to joke about this.\That kid does have problems.\But, if we can give her some proper guidance, she'll become a fighting force of Shibusen. response:	But, what if she's not yet in the condition to attend Shibusen?
context: About your decision on the Devil Sword... What are we going to do?\Well, I think we should let her attend school at Shibusen!\Are you serious?\Yes, I'm serious.\I'm not going to joke about this.\That kid does have problems.\But, if we can give her some proper guidance, she'll become a fighting force of Shibusen.\But, what if she's not yet in the condition to attend Shibusen? response:	You're right...
context: Well, I think we should let her attend school at Shibusen!\Are you serious?\Yes, I'm serious.\I'm not going to joke about this.\That kid does have problems.\But, if we can give her some proper guidance, she'll become a fighting force of Shibusen.\But, what if she's not yet in the condition to attend Shibusen?\You're right... response:	In that case, starting tomorrow,
context: Are you serious?\Yes, I'm serious.\I'm not going to joke about this.\That kid does have problems.\But, if we can give her some proper guidance, she'll become a fighting force of Shibusen.\But, what if she's not yet in the condition to attend Shibusen?\You're right...\In that case, starting tomorrow, response:	Number eight: Marie Mjolnir.
context: Yes, I'm serious.\I'm not going to joke about this.\That kid does have problems.\But, if we can give her some proper guidance, she'll become a fighting force of Shibusen.\But, what if she's not yet in the condition to attend Shibusen?\You're right...\In that case, starting tomorrow,\Number eight: Marie Mjolnir. response:	I punch Azusa.
context: I'm not going to joke about this.\That kid does have problems.\But, if we can give her some proper guidance, she'll become a fighting force of Shibusen.\But, what if she's not yet in the condition to attend Shibusen?\You're right...\In that case, starting tomorrow,\Number eight: Marie Mjolnir.\I punch Azusa. response:	Number nine: Marie Mjolnir.
context: That kid does have problems.\But, if we can give her some proper guidance, she'll become a fighting force of Shibusen.\But, what if she's not yet in the condition to attend Shibusen?\You're right...\In that case, starting tomorrow,\Number eight: Marie Mjolnir.\I punch Azusa.\Number nine: Marie Mjolnir. response:	I punch Azusa!
context: But, if we can give her some proper guidance, she'll become a fighting force of Shibusen.\But, what if she's not yet in the condition to attend Shibusen?\You're right...\In that case, starting tomorrow,\Number eight: Marie Mjolnir.\I punch Azusa.\Number nine: Marie Mjolnir.\I punch Azusa! response:	Number ten: Marie Mjolnir.
context: But, what if she's not yet in the condition to attend Shibusen?\You're right...\In that case, starting tomorrow,\Number eight: Marie Mjolnir.\I punch Azusa.\Number nine: Marie Mjolnir.\I punch Azusa!\Number ten: Marie Mjolnir. response:	I feel like sleeping already.
context: You're right...\In that case, starting tomorrow,\Number eight: Marie Mjolnir.\I punch Azusa.\Number nine: Marie Mjolnir.\I punch Azusa!\Number ten: Marie Mjolnir.\I feel like sleeping already. response:	Let's go! Marie Mjolnir Top-Ten Battles!
context: In that case, starting tomorrow,\Number eight: Marie Mjolnir.\I punch Azusa.\Number nine: Marie Mjolnir.\I punch Azusa!\Number ten: Marie Mjolnir.\I feel like sleeping already.\Let's go! Marie Mjolnir Top-Ten Battles! response:	Were you introduced to my charming points?
context: Number eight: Marie Mjolnir.\I punch Azusa.\Number nine: Marie Mjolnir.\I punch Azusa!\Number ten: Marie Mjolnir.\I feel like sleeping already.\Let's go! Marie Mjolnir Top-Ten Battles!\Were you introduced to my charming points? response:	I think what you introduced to people was your ridiculous strength.
context: I punch Azusa.\Number nine: Marie Mjolnir.\I punch Azusa!\Number ten: Marie Mjolnir.\I feel like sleeping already.\Let's go! Marie Mjolnir Top-Ten Battles!\Were you introduced to my charming points?\I think what you introduced to people was your ridiculous strength. response:	From now on, I think I'll use my adult charms to appeal with a bang!
context: Number nine: Marie Mjolnir.\I punch Azusa!\Number ten: Marie Mjolnir.\I feel like sleeping already.\Let's go! Marie Mjolnir Top-Ten Battles!\Were you introduced to my charming points?\I think what you introduced to people was your ridiculous strength.\From now on, I think I'll use my adult charms to appeal with a bang! response:	You mean you'll punch me with a bang...
context: I punch Azusa!\Number ten: Marie Mjolnir.\I feel like sleeping already.\Let's go! Marie Mjolnir Top-Ten Battles!\Were you introduced to my charming points?\I think what you introduced to people was your ridiculous strength.\From now on, I think I'll use my adult charms to appeal with a bang!\You mean you'll punch me with a bang... response:	That's just one aspect -
context: Number ten: Marie Mjolnir.\I feel like sleeping already.\Let's go! Marie Mjolnir Top-Ten Battles!\Were you introduced to my charming points?\I think what you introduced to people was your ridiculous strength.\From now on, I think I'll use my adult charms to appeal with a bang!\You mean you'll punch me with a bang...\That's just one aspect - response:	No, it's too late.
context: I feel like sleeping already.\Let's go! Marie Mjolnir Top-Ten Battles!\Were you introduced to my charming points?\I think what you introduced to people was your ridiculous strength.\From now on, I think I'll use my adult charms to appeal with a bang!\You mean you'll punch me with a bang...\That's just one aspect -\No, it's too late. response:	Senpai, you have been branded as a character with enormous strength.
context: Let's go! Marie Mjolnir Top-Ten Battles!\Were you introduced to my charming points?\I think what you introduced to people was your ridiculous strength.\From now on, I think I'll use my adult charms to appeal with a bang!\You mean you'll punch me with a bang...\That's just one aspect -\No, it's too late.\Senpai, you have been branded as a character with enormous strength. response:	Just because of that, Senpai will -
context: Were you introduced to my charming points?\I think what you introduced to people was your ridiculous strength.\From now on, I think I'll use my adult charms to appeal with a bang!\You mean you'll punch me with a bang...\That's just one aspect -\No, it's too late.\Senpai, you have been branded as a character with enormous strength.\Just because of that, Senpai will - response:	Punch Azusa!
