context: In Elder Tale, a quest is a type of mission. response:	There are many types,
context: but the details were vague.\She once tried and failed to make an alliance\of smaller guilds, but...\I don't know if they're true,\but the stories about the guy working with her bother me.\You mean Log Horizon?\Yes...\It's Shiroe, from the Tea Party. response:	We humbly request your presence at a meeting to determine Akihabara's future. Crescent Moon Alliance Guild Master Marielle Log Horizon Guild Master Shiroe
context: She once tried and failed to make an alliance\of smaller guilds, but...\I don't know if they're true,\but the stories about the guy working with her bother me.\You mean Log Horizon?\Yes...\It's Shiroe, from the Tea Party.\We humbly request your presence at a meeting to determine Akihabara's future. Crescent Moon Alliance Guild Master Marielle Log Horizon Guild Master Shiroe response:	Then does this mean the next raid is canceled, my lord?
context: of smaller guilds, but...\I don't know if they're true,\but the stories about the guy working with her bother me.\You mean Log Horizon?\Yes...\It's Shiroe, from the Tea Party.\We humbly request your presence at a meeting to determine Akihabara's future. Crescent Moon Alliance Guild Master Marielle Log Horizon Guild Master Shiroe\Then does this mean the next raid is canceled, my lord? response:	Yes...
context: I don't know if they're true,\but the stories about the guy working with her bother me.\You mean Log Horizon?\Yes...\It's Shiroe, from the Tea Party.\We humbly request your presence at a meeting to determine Akihabara's future. Crescent Moon Alliance Guild Master Marielle Log Horizon Guild Master Shiroe\Then does this mean the next raid is canceled, my lord?\Yes... response:	Unfortunately, the dates overlap.
context: but the stories about the guy working with her bother me.\You mean Log Horizon?\Yes...\It's Shiroe, from the Tea Party.\We humbly request your presence at a meeting to determine Akihabara's future. Crescent Moon Alliance Guild Master Marielle Log Horizon Guild Master Shiroe\Then does this mean the next raid is canceled, my lord?\Yes...\Unfortunately, the dates overlap. response:	Is this conference that important?
context: You mean Log Horizon?\Yes...\It's Shiroe, from the Tea Party.\We humbly request your presence at a meeting to determine Akihabara's future. Crescent Moon Alliance Guild Master Marielle Log Horizon Guild Master Shiroe\Then does this mean the next raid is canceled, my lord?\Yes...\Unfortunately, the dates overlap.\Is this conference that important? response:	I'm less interested in the conference itself
context: Yes...\It's Shiroe, from the Tea Party.\We humbly request your presence at a meeting to determine Akihabara's future. Crescent Moon Alliance Guild Master Marielle Log Horizon Guild Master Shiroe\Then does this mean the next raid is canceled, my lord?\Yes...\Unfortunately, the dates overlap.\Is this conference that important?\I'm less interested in the conference itself response:	than in the one holding it.
context: It's Shiroe, from the Tea Party.\We humbly request your presence at a meeting to determine Akihabara's future. Crescent Moon Alliance Guild Master Marielle Log Horizon Guild Master Shiroe\Then does this mean the next raid is canceled, my lord?\Yes...\Unfortunately, the dates overlap.\Is this conference that important?\I'm less interested in the conference itself\than in the one holding it. response:	I'm doing it tomorrow.
context: We humbly request your presence at a meeting to determine Akihabara's future. Crescent Moon Alliance Guild Master Marielle Log Horizon Guild Master Shiroe\Then does this mean the next raid is canceled, my lord?\Yes...\Unfortunately, the dates overlap.\Is this conference that important?\I'm less interested in the conference itself\than in the one holding it.\I'm doing it tomorrow. response:	I promised I'd come and save you, right?
context: Then does this mean the next raid is canceled, my lord?\Yes...\Unfortunately, the dates overlap.\Is this conference that important?\I'm less interested in the conference itself\than in the one holding it.\I'm doing it tomorrow.\I promised I'd come and save you, right? response:	Shiroe
context: Yes...\Unfortunately, the dates overlap.\Is this conference that important?\I'm less interested in the conference itself\than in the one holding it.\I'm doing it tomorrow.\I promised I'd come and save you, right?\Shiroe response:	So that's okay, right?
context: Unfortunately, the dates overlap.\Is this conference that important?\I'm less interested in the conference itself\than in the one holding it.\I'm doing it tomorrow.\I promised I'd come and save you, right?\Shiroe\So that's okay, right? response:	Tohya said he wanted to be like Shiroe.
context: Is this conference that important?\I'm less interested in the conference itself\than in the one holding it.\I'm doing it tomorrow.\I promised I'd come and save you, right?\Shiroe\So that's okay, right?\Tohya said he wanted to be like Shiroe. response:	He wants to open new paths, like Shiroe.
context: I'm less interested in the conference itself\than in the one holding it.\I'm doing it tomorrow.\I promised I'd come and save you, right?\Shiroe\So that's okay, right?\Tohya said he wanted to be like Shiroe.\He wants to open new paths, like Shiroe. response:	That is what he wants!
context: than in the one holding it.\I'm doing it tomorrow.\I promised I'd come and save you, right?\Shiroe\So that's okay, right?\Tohya said he wanted to be like Shiroe.\He wants to open new paths, like Shiroe.\That is what he wants! response:	And I do, too.
context: I'm doing it tomorrow.\I promised I'd come and save you, right?\Shiroe\So that's okay, right?\Tohya said he wanted to be like Shiroe.\He wants to open new paths, like Shiroe.\That is what he wants!\And I do, too. response:	It's time, Shiro.
context: I promised I'd come and save you, right?\Shiroe\So that's okay, right?\Tohya said he wanted to be like Shiroe.\He wants to open new paths, like Shiroe.\That is what he wants!\And I do, too.\It's time, Shiro. response:	Yes.
context: Shiroe\So that's okay, right?\Tohya said he wanted to be like Shiroe.\He wants to open new paths, like Shiroe.\That is what he wants!\And I do, too.\It's time, Shiro.\Yes. response:	Now it's my turn...
context: So that's okay, right?\Tohya said he wanted to be like Shiroe.\He wants to open new paths, like Shiroe.\That is what he wants!\And I do, too.\It's time, Shiro.\Yes.\Now it's my turn... response:	to fight.
context: Tohya said he wanted to be like Shiroe.\He wants to open new paths, like Shiroe.\That is what he wants!\And I do, too.\It's time, Shiro.\Yes.\Now it's my turn...\to fight. response:	At the guild building, twelve masters gather.
context: He wants to open new paths, like Shiroe.\That is what he wants!\And I do, too.\It's time, Shiro.\Yes.\Now it's my turn...\to fight.\At the guild building, twelve masters gather. response:	The battle begins, as Shiroe fights weaponless.
context: That is what he wants!\And I do, too.\It's time, Shiro.\Yes.\Now it's my turn...\to fight.\At the guild building, twelve masters gather.\The battle begins, as Shiroe fights weaponless. response:	And the new players trapped by Hamelin,
context: And I do, too.\It's time, Shiro.\Yes.\Now it's my turn...\to fight.\At the guild building, twelve masters gather.\The battle begins, as Shiroe fights weaponless.\And the new players trapped by Hamelin, response:	Minori and Tohya, are about to begin their fight, as well.
context: It's time, Shiro.\Yes.\Now it's my turn...\to fight.\At the guild building, twelve masters gather.\The battle begins, as Shiroe fights weaponless.\And the new players trapped by Hamelin,\Minori and Tohya, are about to begin their fight, as well. response:	To open the door to hope...
context: Yes.\Now it's my turn...\to fight.\At the guild building, twelve masters gather.\The battle begins, as Shiroe fights weaponless.\And the new players trapped by Hamelin,\Minori and Tohya, are about to begin their fight, as well.\To open the door to hope... response:	Round Table Conference
context: Now it's my turn...\to fight.\At the guild building, twelve masters gather.\The battle begins, as Shiroe fights weaponless.\And the new players trapped by Hamelin,\Minori and Tohya, are about to begin their fight, as well.\To open the door to hope...\Round Table Conference response:	Next time: Round Table Conference.
context: to fight.\At the guild building, twelve masters gather.\The battle begins, as Shiroe fights weaponless.\And the new players trapped by Hamelin,\Minori and Tohya, are about to begin their fight, as well.\To open the door to hope...\Round Table Conference\Next time: Round Table Conference. response:	This is our reality.
