context: No matter how close we are as friends, response:	and no matter how often I commute to the studio to see them practice,
context: So that I can learn from you.\What about?\About Reira.\Didn't you get jealous after hearing Takumi's beliefs?\Yeah, I got jealous. Real jealous.\Really?\I was jealous of his talent,\his confidence and his reckless personality. response:	Reira was in love with Takumi.
context: What about?\About Reira.\Didn't you get jealous after hearing Takumi's beliefs?\Yeah, I got jealous. Real jealous.\Really?\I was jealous of his talent,\his confidence and his reckless personality.\Reira was in love with Takumi. response:	Even before we started going out, for some reason,
context: About Reira.\Didn't you get jealous after hearing Takumi's beliefs?\Yeah, I got jealous. Real jealous.\Really?\I was jealous of his talent,\his confidence and his reckless personality.\Reira was in love with Takumi.\Even before we started going out, for some reason, response:	she liked to stick around me.
context: Didn't you get jealous after hearing Takumi's beliefs?\Yeah, I got jealous. Real jealous.\Really?\I was jealous of his talent,\his confidence and his reckless personality.\Reira was in love with Takumi.\Even before we started going out, for some reason,\she liked to stick around me. response:	I'm a year older than her, so I was like an older brother to her.
context: Yeah, I got jealous. Real jealous.\Really?\I was jealous of his talent,\his confidence and his reckless personality.\Reira was in love with Takumi.\Even before we started going out, for some reason,\she liked to stick around me.\I'm a year older than her, so I was like an older brother to her. response:	Takumi has always been a womanizer, but he never approached Reira.
context: Really?\I was jealous of his talent,\his confidence and his reckless personality.\Reira was in love with Takumi.\Even before we started going out, for some reason,\she liked to stick around me.\I'm a year older than her, so I was like an older brother to her.\Takumi has always been a womanizer, but he never approached Reira. response:	I guess you could say she was really important to him,
context: I was jealous of his talent,\his confidence and his reckless personality.\Reira was in love with Takumi.\Even before we started going out, for some reason,\she liked to stick around me.\I'm a year older than her, so I was like an older brother to her.\Takumi has always been a womanizer, but he never approached Reira.\I guess you could say she was really important to him, response:	but only as his diva.
context: his confidence and his reckless personality.\Reira was in love with Takumi.\Even before we started going out, for some reason,\she liked to stick around me.\I'm a year older than her, so I was like an older brother to her.\Takumi has always been a womanizer, but he never approached Reira.\I guess you could say she was really important to him,\but only as his diva. response:	I love to sing, and would love to become a singing machine.
context: Reira was in love with Takumi.\Even before we started going out, for some reason,\she liked to stick around me.\I'm a year older than her, so I was like an older brother to her.\Takumi has always been a womanizer, but he never approached Reira.\I guess you could say she was really important to him,\but only as his diva.\I love to sing, and would love to become a singing machine. response:	A machine that has no desire or feels any jealousy.
context: Even before we started going out, for some reason,\she liked to stick around me.\I'm a year older than her, so I was like an older brother to her.\Takumi has always been a womanizer, but he never approached Reira.\I guess you could say she was really important to him,\but only as his diva.\I love to sing, and would love to become a singing machine.\A machine that has no desire or feels any jealousy. response:	A high-performance machine that will never feel tired.
context: she liked to stick around me.\I'm a year older than her, so I was like an older brother to her.\Takumi has always been a womanizer, but he never approached Reira.\I guess you could say she was really important to him,\but only as his diva.\I love to sing, and would love to become a singing machine.\A machine that has no desire or feels any jealousy.\A high-performance machine that will never feel tired. response:	But if I throw away my emotions,
context: I'm a year older than her, so I was like an older brother to her.\Takumi has always been a womanizer, but he never approached Reira.\I guess you could say she was really important to him,\but only as his diva.\I love to sing, and would love to become a singing machine.\A machine that has no desire or feels any jealousy.\A high-performance machine that will never feel tired.\But if I throw away my emotions, response:	it would be impossible to sing beautifully, wouldn't it?
context: Takumi has always been a womanizer, but he never approached Reira.\I guess you could say she was really important to him,\but only as his diva.\I love to sing, and would love to become a singing machine.\A machine that has no desire or feels any jealousy.\A high-performance machine that will never feel tired.\But if I throw away my emotions,\it would be impossible to sing beautifully, wouldn't it? response:	Being human is exhausting.
context: I guess you could say she was really important to him,\but only as his diva.\I love to sing, and would love to become a singing machine.\A machine that has no desire or feels any jealousy.\A high-performance machine that will never feel tired.\But if I throw away my emotions,\it would be impossible to sing beautifully, wouldn't it?\Being human is exhausting. response:	She captured my heart.
context: but only as his diva.\I love to sing, and would love to become a singing machine.\A machine that has no desire or feels any jealousy.\A high-performance machine that will never feel tired.\But if I throw away my emotions,\it would be impossible to sing beautifully, wouldn't it?\Being human is exhausting.\She captured my heart. response:	So then, I convinced her to give up on him
context: I love to sing, and would love to become a singing machine.\A machine that has no desire or feels any jealousy.\A high-performance machine that will never feel tired.\But if I throw away my emotions,\it would be impossible to sing beautifully, wouldn't it?\Being human is exhausting.\She captured my heart.\So then, I convinced her to give up on him response:	and go out with me.
context: A machine that has no desire or feels any jealousy.\A high-performance machine that will never feel tired.\But if I throw away my emotions,\it would be impossible to sing beautifully, wouldn't it?\Being human is exhausting.\She captured my heart.\So then, I convinced her to give up on him\and go out with me. response:	You convinced her.
context: A high-performance machine that will never feel tired.\But if I throw away my emotions,\it would be impossible to sing beautifully, wouldn't it?\Being human is exhausting.\She captured my heart.\So then, I convinced her to give up on him\and go out with me.\You convinced her. response:	But then when I started dating her,
context: But if I throw away my emotions,\it would be impossible to sing beautifully, wouldn't it?\Being human is exhausting.\She captured my heart.\So then, I convinced her to give up on him\and go out with me.\You convinced her.\But then when I started dating her, response:	I felt even stronger that I could not compete against Takumi.
context: it would be impossible to sing beautifully, wouldn't it?\Being human is exhausting.\She captured my heart.\So then, I convinced her to give up on him\and go out with me.\You convinced her.\But then when I started dating her,\I felt even stronger that I could not compete against Takumi. response:	Looking back, I know it was just petty jealousy.
context: Being human is exhausting.\She captured my heart.\So then, I convinced her to give up on him\and go out with me.\You convinced her.\But then when I started dating her,\I felt even stronger that I could not compete against Takumi.\Looking back, I know it was just petty jealousy. response:	I couldn't bring myself to be there for Reira
context: She captured my heart.\So then, I convinced her to give up on him\and go out with me.\You convinced her.\But then when I started dating her,\I felt even stronger that I could not compete against Takumi.\Looking back, I know it was just petty jealousy.\I couldn't bring myself to be there for Reira response:	when she had issues with the band
context: So then, I convinced her to give up on him\and go out with me.\You convinced her.\But then when I started dating her,\I felt even stronger that I could not compete against Takumi.\Looking back, I know it was just petty jealousy.\I couldn't bring myself to be there for Reira\when she had issues with the band response:	and when she was worried about moving to Tokyo.
context: and go out with me.\You convinced her.\But then when I started dating her,\I felt even stronger that I could not compete against Takumi.\Looking back, I know it was just petty jealousy.\I couldn't bring myself to be there for Reira\when she had issues with the band\and when she was worried about moving to Tokyo. response:	I couldn't support her when she needed me the most.
context: You convinced her.\But then when I started dating her,\I felt even stronger that I could not compete against Takumi.\Looking back, I know it was just petty jealousy.\I couldn't bring myself to be there for Reira\when she had issues with the band\and when she was worried about moving to Tokyo.\I couldn't support her when she needed me the most. response:	So not surprisingly, we broke up.
context: But then when I started dating her,\I felt even stronger that I could not compete against Takumi.\Looking back, I know it was just petty jealousy.\I couldn't bring myself to be there for Reira\when she had issues with the band\and when she was worried about moving to Tokyo.\I couldn't support her when she needed me the most.\So not surprisingly, we broke up. response:	But couldn't you support her now, Yasu?
context: I felt even stronger that I could not compete against Takumi.\Looking back, I know it was just petty jealousy.\I couldn't bring myself to be there for Reira\when she had issues with the band\and when she was worried about moving to Tokyo.\I couldn't support her when she needed me the most.\So not surprisingly, we broke up.\But couldn't you support her now, Yasu? response:	No. I doubt she needs my support anymore.
context: Looking back, I know it was just petty jealousy.\I couldn't bring myself to be there for Reira\when she had issues with the band\and when she was worried about moving to Tokyo.\I couldn't support her when she needed me the most.\So not surprisingly, we broke up.\But couldn't you support her now, Yasu?\No. I doubt she needs my support anymore. response:	And besides, my hands are full taking care of you guys right now.
context: I couldn't bring myself to be there for Reira\when she had issues with the band\and when she was worried about moving to Tokyo.\I couldn't support her when she needed me the most.\So not surprisingly, we broke up.\But couldn't you support her now, Yasu?\No. I doubt she needs my support anymore.\And besides, my hands are full taking care of you guys right now. response:	I hafta say goodbye to Takumi.
context: when she had issues with the band\and when she was worried about moving to Tokyo.\I couldn't support her when she needed me the most.\So not surprisingly, we broke up.\But couldn't you support her now, Yasu?\No. I doubt she needs my support anymore.\And besides, my hands are full taking care of you guys right now.\I hafta say goodbye to Takumi. response:	If I can't do that, then I must free myself from these arms.
context: and when she was worried about moving to Tokyo.\I couldn't support her when she needed me the most.\So not surprisingly, we broke up.\But couldn't you support her now, Yasu?\No. I doubt she needs my support anymore.\And besides, my hands are full taking care of you guys right now.\I hafta say goodbye to Takumi.\If I can't do that, then I must free myself from these arms. response:	I can say goodbye, can't I? I can.
context: I couldn't support her when she needed me the most.\So not surprisingly, we broke up.\But couldn't you support her now, Yasu?\No. I doubt she needs my support anymore.\And besides, my hands are full taking care of you guys right now.\I hafta say goodbye to Takumi.\If I can't do that, then I must free myself from these arms.\I can say goodbye, can't I? I can. response:	It'll be okay.
context: So not surprisingly, we broke up.\But couldn't you support her now, Yasu?\No. I doubt she needs my support anymore.\And besides, my hands are full taking care of you guys right now.\I hafta say goodbye to Takumi.\If I can't do that, then I must free myself from these arms.\I can say goodbye, can't I? I can.\It'll be okay. response:	And this time for sure, I'll be really happy.
context: But couldn't you support her now, Yasu?\No. I doubt she needs my support anymore.\And besides, my hands are full taking care of you guys right now.\I hafta say goodbye to Takumi.\If I can't do that, then I must free myself from these arms.\I can say goodbye, can't I? I can.\It'll be okay.\And this time for sure, I'll be really happy. response:	Because in these arms is all the future I ever wanted.
context: No. I doubt she needs my support anymore.\And besides, my hands are full taking care of you guys right now.\I hafta say goodbye to Takumi.\If I can't do that, then I must free myself from these arms.\I can say goodbye, can't I? I can.\It'll be okay.\And this time for sure, I'll be really happy.\Because in these arms is all the future I ever wanted. response:	That's what I believe.
context: And besides, my hands are full taking care of you guys right now.\I hafta say goodbye to Takumi.\If I can't do that, then I must free myself from these arms.\I can say goodbye, can't I? I can.\It'll be okay.\And this time for sure, I'll be really happy.\Because in these arms is all the future I ever wanted.\That's what I believe. response:	Where's Hachiko?
context: I hafta say goodbye to Takumi.\If I can't do that, then I must free myself from these arms.\I can say goodbye, can't I? I can.\It'll be okay.\And this time for sure, I'll be really happy.\Because in these arms is all the future I ever wanted.\That's what I believe.\Where's Hachiko? response:	Oh, she went to buy some stuff.
context: If I can't do that, then I must free myself from these arms.\I can say goodbye, can't I? I can.\It'll be okay.\And this time for sure, I'll be really happy.\Because in these arms is all the future I ever wanted.\That's what I believe.\Where's Hachiko?\Oh, she went to buy some stuff. response:	Gimme a break. Did I just miss her again?
context: I can say goodbye, can't I? I can.\It'll be okay.\And this time for sure, I'll be really happy.\Because in these arms is all the future I ever wanted.\That's what I believe.\Where's Hachiko?\Oh, she went to buy some stuff.\Gimme a break. Did I just miss her again? response:	And after speeding to get here faster.
context: It'll be okay.\And this time for sure, I'll be really happy.\Because in these arms is all the future I ever wanted.\That's what I believe.\Where's Hachiko?\Oh, she went to buy some stuff.\Gimme a break. Did I just miss her again?\And after speeding to get here faster. response:	She'll be back soon.
context: And this time for sure, I'll be really happy.\Because in these arms is all the future I ever wanted.\That's what I believe.\Where's Hachiko?\Oh, she went to buy some stuff.\Gimme a break. Did I just miss her again?\And after speeding to get here faster.\She'll be back soon. response:	She might be a while.
context: Because in these arms is all the future I ever wanted.\That's what I believe.\Where's Hachiko?\Oh, she went to buy some stuff.\Gimme a break. Did I just miss her again?\And after speeding to get here faster.\She'll be back soon.\She might be a while. response:	Why?
context: That's what I believe.\Where's Hachiko?\Oh, she went to buy some stuff.\Gimme a break. Did I just miss her again?\And after speeding to get here faster.\She'll be back soon.\She might be a while.\Why? response:	We sent her out with Nobu.
context: Where's Hachiko?\Oh, she went to buy some stuff.\Gimme a break. Did I just miss her again?\And after speeding to get here faster.\She'll be back soon.\She might be a while.\Why?\We sent her out with Nobu. response:	Really?! Way to go, Shin!
context: Oh, she went to buy some stuff.\Gimme a break. Did I just miss her again?\And after speeding to get here faster.\She'll be back soon.\She might be a while.\Why?\We sent her out with Nobu.\Really?! Way to go, Shin! response:	Don't come back until the morning! I'm counting on you, Nobuo!
context: Gimme a break. Did I just miss her again?\And after speeding to get here faster.\She'll be back soon.\She might be a while.\Why?\We sent her out with Nobu.\Really?! Way to go, Shin!\Don't come back until the morning! I'm counting on you, Nobuo! response:	Huh?!
context: And after speeding to get here faster.\She'll be back soon.\She might be a while.\Why?\We sent her out with Nobu.\Really?! Way to go, Shin!\Don't come back until the morning! I'm counting on you, Nobuo!\Huh?! response:	But I thought Miss Hachiko has a boyfriend.
context: She'll be back soon.\She might be a while.\Why?\We sent her out with Nobu.\Really?! Way to go, Shin!\Don't come back until the morning! I'm counting on you, Nobuo!\Huh?!\But I thought Miss Hachiko has a boyfriend. response:	I bet 10,000 yen that they'll do it.
context: She might be a while.\Why?\We sent her out with Nobu.\Really?! Way to go, Shin!\Don't come back until the morning! I'm counting on you, Nobuo!\Huh?!\But I thought Miss Hachiko has a boyfriend.\I bet 10,000 yen that they'll do it. response:	I bet 10,000 yen that they won't.
context: Why?\We sent her out with Nobu.\Really?! Way to go, Shin!\Don't come back until the morning! I'm counting on you, Nobuo!\Huh?!\But I thought Miss Hachiko has a boyfriend.\I bet 10,000 yen that they'll do it.\I bet 10,000 yen that they won't. response:	I bet 100 yen that he'll come before they even do it!
context: We sent her out with Nobu.\Really?! Way to go, Shin!\Don't come back until the morning! I'm counting on you, Nobuo!\Huh?!\But I thought Miss Hachiko has a boyfriend.\I bet 10,000 yen that they'll do it.\I bet 10,000 yen that they won't.\I bet 100 yen that he'll come before they even do it! response:	You're so cheap.
context: Really?! Way to go, Shin!\Don't come back until the morning! I'm counting on you, Nobuo!\Huh?!\But I thought Miss Hachiko has a boyfriend.\I bet 10,000 yen that they'll do it.\I bet 10,000 yen that they won't.\I bet 100 yen that he'll come before they even do it!\You're so cheap. response:	Hey, Nana.
context: Don't come back until the morning! I'm counting on you, Nobuo!\Huh?!\But I thought Miss Hachiko has a boyfriend.\I bet 10,000 yen that they'll do it.\I bet 10,000 yen that they won't.\I bet 100 yen that he'll come before they even do it!\You're so cheap.\Hey, Nana. response:	The feelings I swore that night still remain unfaded in my heart.
context: Huh?!\But I thought Miss Hachiko has a boyfriend.\I bet 10,000 yen that they'll do it.\I bet 10,000 yen that they won't.\I bet 100 yen that he'll come before they even do it!\You're so cheap.\Hey, Nana.\The feelings I swore that night still remain unfaded in my heart. response:	Those shining dreams we had back then, please don't forget them.
context: But I thought Miss Hachiko has a boyfriend.\I bet 10,000 yen that they'll do it.\I bet 10,000 yen that they won't.\I bet 100 yen that he'll come before they even do it!\You're so cheap.\Hey, Nana.\The feelings I swore that night still remain unfaded in my heart.\Those shining dreams we had back then, please don't forget them. response:	I reached into the sky
context: I bet 10,000 yen that they'll do it.\I bet 10,000 yen that they won't.\I bet 100 yen that he'll come before they even do it!\You're so cheap.\Hey, Nana.\The feelings I swore that night still remain unfaded in my heart.\Those shining dreams we had back then, please don't forget them.\I reached into the sky response:	But I couldn't reach what I wanted
context: I bet 10,000 yen that they won't.\I bet 100 yen that he'll come before they even do it!\You're so cheap.\Hey, Nana.\The feelings I swore that night still remain unfaded in my heart.\Those shining dreams we had back then, please don't forget them.\I reached into the sky\But I couldn't reach what I wanted response:	They grew smaller and disappeared into the sky
context: I bet 100 yen that he'll come before they even do it!\You're so cheap.\Hey, Nana.\The feelings I swore that night still remain unfaded in my heart.\Those shining dreams we had back then, please don't forget them.\I reached into the sky\But I couldn't reach what I wanted\They grew smaller and disappeared into the sky response:	Like colorful balloons
context: You're so cheap.\Hey, Nana.\The feelings I swore that night still remain unfaded in my heart.\Those shining dreams we had back then, please don't forget them.\I reached into the sky\But I couldn't reach what I wanted\They grew smaller and disappeared into the sky\Like colorful balloons response:	I'm alone
context: Hey, Nana.\The feelings I swore that night still remain unfaded in my heart.\Those shining dreams we had back then, please don't forget them.\I reached into the sky\But I couldn't reach what I wanted\They grew smaller and disappeared into the sky\Like colorful balloons\I'm alone response:	My hand had no place to go
context: The feelings I swore that night still remain unfaded in my heart.\Those shining dreams we had back then, please don't forget them.\I reached into the sky\But I couldn't reach what I wanted\They grew smaller and disappeared into the sky\Like colorful balloons\I'm alone\My hand had no place to go response:	And gently you took it
context: Those shining dreams we had back then, please don't forget them.\I reached into the sky\But I couldn't reach what I wanted\They grew smaller and disappeared into the sky\Like colorful balloons\I'm alone\My hand had no place to go\And gently you took it response:	Starless night
context: I reached into the sky\But I couldn't reach what I wanted\They grew smaller and disappeared into the sky\Like colorful balloons\I'm alone\My hand had no place to go\And gently you took it\Starless night response:	I won't look back at the shadow of my past
context: But I couldn't reach what I wanted\They grew smaller and disappeared into the sky\Like colorful balloons\I'm alone\My hand had no place to go\And gently you took it\Starless night\I won't look back at the shadow of my past response:	I want to feel your warmth
context: They grew smaller and disappeared into the sky\Like colorful balloons\I'm alone\My hand had no place to go\And gently you took it\Starless night\I won't look back at the shadow of my past\I want to feel your warmth response:	Tears are falling down
context: Like colorful balloons\I'm alone\My hand had no place to go\And gently you took it\Starless night\I won't look back at the shadow of my past\I want to feel your warmth\Tears are falling down response:	Even if I'm unsure I won't let go
context: I'm alone\My hand had no place to go\And gently you took it\Starless night\I won't look back at the shadow of my past\I want to feel your warmth\Tears are falling down\Even if I'm unsure I won't let go response:	Of your hand holding mine
