context: May, Five years ago response:	Karasuno Sports Park Gymnasium
context: Time, once more.\Hinata, I want you to relax.\Yes.\I'm s-sorry. I've missed so many.\What are you saying?\It's because of you I get to freely spike.\It's okay to have matches in which I look cooler than you.\Although Asahi-san's scoring more. response:	Shut up. Anyway, it's fine. Right, Asahi-san?
context: Hinata, I want you to relax.\Yes.\I'm s-sorry. I've missed so many.\What are you saying?\It's because of you I get to freely spike.\It's okay to have matches in which I look cooler than you.\Although Asahi-san's scoring more.\Shut up. Anyway, it's fine. Right, Asahi-san? response:	Huh? Oh, right, right.
context: Yes.\I'm s-sorry. I've missed so many.\What are you saying?\It's because of you I get to freely spike.\It's okay to have matches in which I look cooler than you.\Although Asahi-san's scoring more.\Shut up. Anyway, it's fine. Right, Asahi-san?\Huh? Oh, right, right. response:	We'll make up for lost points.
context: I'm s-sorry. I've missed so many.\What are you saying?\It's because of you I get to freely spike.\It's okay to have matches in which I look cooler than you.\Although Asahi-san's scoring more.\Shut up. Anyway, it's fine. Right, Asahi-san?\Huh? Oh, right, right.\We'll make up for lost points. response:	Although you might get switched, if you keep blowing it.
context: What are you saying?\It's because of you I get to freely spike.\It's okay to have matches in which I look cooler than you.\Although Asahi-san's scoring more.\Shut up. Anyway, it's fine. Right, Asahi-san?\Huh? Oh, right, right.\We'll make up for lost points.\Although you might get switched, if you keep blowing it. response:	Tsukishima.
context: It's because of you I get to freely spike.\It's okay to have matches in which I look cooler than you.\Although Asahi-san's scoring more.\Shut up. Anyway, it's fine. Right, Asahi-san?\Huh? Oh, right, right.\We'll make up for lost points.\Although you might get switched, if you keep blowing it.\Tsukishima. response:	If you're learning something, then give it all you got.
context: It's okay to have matches in which I look cooler than you.\Although Asahi-san's scoring more.\Shut up. Anyway, it's fine. Right, Asahi-san?\Huh? Oh, right, right.\We'll make up for lost points.\Although you might get switched, if you keep blowing it.\Tsukishima.\If you're learning something, then give it all you got. response:	You're alone when you jump,
context: Although Asahi-san's scoring more.\Shut up. Anyway, it's fine. Right, Asahi-san?\Huh? Oh, right, right.\We'll make up for lost points.\Although you might get switched, if you keep blowing it.\Tsukishima.\If you're learning something, then give it all you got.\You're alone when you jump, response:	but remember that we're all behind you.
context: Shut up. Anyway, it's fine. Right, Asahi-san?\Huh? Oh, right, right.\We'll make up for lost points.\Although you might get switched, if you keep blowing it.\Tsukishima.\If you're learning something, then give it all you got.\You're alone when you jump,\but remember that we're all behind you. response:	Besides, the ace says he'll make up for lost points.
context: Huh? Oh, right, right.\We'll make up for lost points.\Although you might get switched, if you keep blowing it.\Tsukishima.\If you're learning something, then give it all you got.\You're alone when you jump,\but remember that we're all behind you.\Besides, the ace says he'll make up for lost points. response:	Daichi, don't put pressure on Asahi.
context: We'll make up for lost points.\Although you might get switched, if you keep blowing it.\Tsukishima.\If you're learning something, then give it all you got.\You're alone when you jump,\but remember that we're all behind you.\Besides, the ace says he'll make up for lost points.\Daichi, don't put pressure on Asahi. response:	What if he gets hurt?
context: Although you might get switched, if you keep blowing it.\Tsukishima.\If you're learning something, then give it all you got.\You're alone when you jump,\but remember that we're all behind you.\Besides, the ace says he'll make up for lost points.\Daichi, don't put pressure on Asahi.\What if he gets hurt? response:	That's right. His heart is made of glass.
context: Tsukishima.\If you're learning something, then give it all you got.\You're alone when you jump,\but remember that we're all behind you.\Besides, the ace says he'll make up for lost points.\Daichi, don't put pressure on Asahi.\What if he gets hurt?\That's right. His heart is made of glass. response:	Please stop ganging up on him.
context: If you're learning something, then give it all you got.\You're alone when you jump,\but remember that we're all behind you.\Besides, the ace says he'll make up for lost points.\Daichi, don't put pressure on Asahi.\What if he gets hurt?\That's right. His heart is made of glass.\Please stop ganging up on him. response:	Asahi-san.
context: You're alone when you jump,\but remember that we're all behind you.\Besides, the ace says he'll make up for lost points.\Daichi, don't put pressure on Asahi.\What if he gets hurt?\That's right. His heart is made of glass.\Please stop ganging up on him.\Asahi-san. response:	Left.
context: but remember that we're all behind you.\Besides, the ace says he'll make up for lost points.\Daichi, don't put pressure on Asahi.\What if he gets hurt?\That's right. His heart is made of glass.\Please stop ganging up on him.\Asahi-san.\Left. response:	Go.
context: Besides, the ace says he'll make up for lost points.\Daichi, don't put pressure on Asahi.\What if he gets hurt?\That's right. His heart is made of glass.\Please stop ganging up on him.\Asahi-san.\Left.\Go. response:	Nice course.
context: Daichi, don't put pressure on Asahi.\What if he gets hurt?\That's right. His heart is made of glass.\Please stop ganging up on him.\Asahi-san.\Left.\Go.\Nice course. response:	Karasuno Nekoma
context: What if he gets hurt?\That's right. His heart is made of glass.\Please stop ganging up on him.\Asahi-san.\Left.\Go.\Nice course.\Karasuno Nekoma response:	Again, all he can do is hit returns.
context: That's right. His heart is made of glass.\Please stop ganging up on him.\Asahi-san.\Left.\Go.\Nice course.\Karasuno Nekoma\Again, all he can do is hit returns. response:	What can we do to help him improve?
context: Please stop ganging up on him.\Asahi-san.\Left.\Go.\Nice course.\Karasuno Nekoma\Again, all he can do is hit returns.\What can we do to help him improve? response:	It's only natural he can't do a play he's never done before.
context: Asahi-san.\Left.\Go.\Nice course.\Karasuno Nekoma\Again, all he can do is hit returns.\What can we do to help him improve?\It's only natural he can't do a play he's never done before. response:	Bring it on.
context: Left.\Go.\Nice course.\Karasuno Nekoma\Again, all he can do is hit returns.\What can we do to help him improve?\It's only natural he can't do a play he's never done before.\Bring it on. response:	But everything you learn, you learn by doing.
context: Go.\Nice course.\Karasuno Nekoma\Again, all he can do is hit returns.\What can we do to help him improve?\It's only natural he can't do a play he's never done before.\Bring it on.\But everything you learn, you learn by doing. response:	Remember Karasuno's Little Giant?
context: Nice course.\Karasuno Nekoma\Again, all he can do is hit returns.\What can we do to help him improve?\It's only natural he can't do a play he's never done before.\Bring it on.\But everything you learn, you learn by doing.\Remember Karasuno's Little Giant? response:	The ace Hinata-kun idolizes?
context: Karasuno Nekoma\Again, all he can do is hit returns.\What can we do to help him improve?\It's only natural he can't do a play he's never done before.\Bring it on.\But everything you learn, you learn by doing.\Remember Karasuno's Little Giant?\The ace Hinata-kun idolizes? response:	He lived up to his name. He was only 170 cm tall.
context: Again, all he can do is hit returns.\What can we do to help him improve?\It's only natural he can't do a play he's never done before.\Bring it on.\But everything you learn, you learn by doing.\Remember Karasuno's Little Giant?\The ace Hinata-kun idolizes?\He lived up to his name. He was only 170 cm tall. response:	In the beginning, he was constantly blocked.
context: What can we do to help him improve?\It's only natural he can't do a play he's never done before.\Bring it on.\But everything you learn, you learn by doing.\Remember Karasuno's Little Giant?\The ace Hinata-kun idolizes?\He lived up to his name. He was only 170 cm tall.\In the beginning, he was constantly blocked. response:	But in the latter half of his second year,
context: It's only natural he can't do a play he's never done before.\Bring it on.\But everything you learn, you learn by doing.\Remember Karasuno's Little Giant?\The ace Hinata-kun idolizes?\He lived up to his name. He was only 170 cm tall.\In the beginning, he was constantly blocked.\But in the latter half of his second year, response:	he was peerless when it came to battling mid-air.
context: Bring it on.\But everything you learn, you learn by doing.\Remember Karasuno's Little Giant?\The ace Hinata-kun idolizes?\He lived up to his name. He was only 170 cm tall.\In the beginning, he was constantly blocked.\But in the latter half of his second year,\he was peerless when it came to battling mid-air. response:	He couldn't overcome the blockers' height,
context: But everything you learn, you learn by doing.\Remember Karasuno's Little Giant?\The ace Hinata-kun idolizes?\He lived up to his name. He was only 170 cm tall.\In the beginning, he was constantly blocked.\But in the latter half of his second year,\he was peerless when it came to battling mid-air.\He couldn't overcome the blockers' height, response:	so he aimed at spaces in between them.
context: Remember Karasuno's Little Giant?\The ace Hinata-kun idolizes?\He lived up to his name. He was only 170 cm tall.\In the beginning, he was constantly blocked.\But in the latter half of his second year,\he was peerless when it came to battling mid-air.\He couldn't overcome the blockers' height,\so he aimed at spaces in between them. response:	He'd make the ball touch the blockers' fingertips on purpose,
context: The ace Hinata-kun idolizes?\He lived up to his name. He was only 170 cm tall.\In the beginning, he was constantly blocked.\But in the latter half of his second year,\he was peerless when it came to battling mid-air.\He couldn't overcome the blockers' height,\so he aimed at spaces in between them.\He'd make the ball touch the blockers' fingertips on purpose, response:	and make it ricochet.
context: He lived up to his name. He was only 170 cm tall.\In the beginning, he was constantly blocked.\But in the latter half of his second year,\he was peerless when it came to battling mid-air.\He couldn't overcome the blockers' height,\so he aimed at spaces in between them.\He'd make the ball touch the blockers' fingertips on purpose,\and make it ricochet. response:	That's how he conceived his own style of battle as a short player.
context: In the beginning, he was constantly blocked.\But in the latter half of his second year,\he was peerless when it came to battling mid-air.\He couldn't overcome the blockers' height,\so he aimed at spaces in between them.\He'd make the ball touch the blockers' fingertips on purpose,\and make it ricochet.\That's how he conceived his own style of battle as a short player. response:	I'm just repeating the story my granddad told me.
context: But in the latter half of his second year,\he was peerless when it came to battling mid-air.\He couldn't overcome the blockers' height,\so he aimed at spaces in between them.\He'd make the ball touch the blockers' fingertips on purpose,\and make it ricochet.\That's how he conceived his own style of battle as a short player.\I'm just repeating the story my granddad told me. response:	Former Coach Ukai?
context: he was peerless when it came to battling mid-air.\He couldn't overcome the blockers' height,\so he aimed at spaces in between them.\He'd make the ball touch the blockers' fingertips on purpose,\and make it ricochet.\That's how he conceived his own style of battle as a short player.\I'm just repeating the story my granddad told me.\Former Coach Ukai? response:	Yeah. I remember everything my granddad told me really well.
context: He couldn't overcome the blockers' height,\so he aimed at spaces in between them.\He'd make the ball touch the blockers' fingertips on purpose,\and make it ricochet.\That's how he conceived his own style of battle as a short player.\I'm just repeating the story my granddad told me.\Former Coach Ukai?\Yeah. I remember everything my granddad told me really well. response:	Because people don't have wings...
context: so he aimed at spaces in between them.\He'd make the ball touch the blockers' fingertips on purpose,\and make it ricochet.\That's how he conceived his own style of battle as a short player.\I'm just repeating the story my granddad told me.\Former Coach Ukai?\Yeah. I remember everything my granddad told me really well.\Because people don't have wings... response:	We look for ways to fly.
context: He'd make the ball touch the blockers' fingertips on purpose,\and make it ricochet.\That's how he conceived his own style of battle as a short player.\I'm just repeating the story my granddad told me.\Former Coach Ukai?\Yeah. I remember everything my granddad told me really well.\Because people don't have wings...\We look for ways to fly. response:	Shucks, that was out.
context: and make it ricochet.\That's how he conceived his own style of battle as a short player.\I'm just repeating the story my granddad told me.\Former Coach Ukai?\Yeah. I remember everything my granddad told me really well.\Because people don't have wings...\We look for ways to fly.\Shucks, that was out. response:	That was awesome.
context: That's how he conceived his own style of battle as a short player.\I'm just repeating the story my granddad told me.\Former Coach Ukai?\Yeah. I remember everything my granddad told me really well.\Because people don't have wings...\We look for ways to fly.\Shucks, that was out.\That was awesome. response:	That was awesome, Shoyo.
context: I'm just repeating the story my granddad told me.\Former Coach Ukai?\Yeah. I remember everything my granddad told me really well.\Because people don't have wings...\We look for ways to fly.\Shucks, that was out.\That was awesome.\That was awesome, Shoyo. response:	One more.
context: Former Coach Ukai?\Yeah. I remember everything my granddad told me really well.\Because people don't have wings...\We look for ways to fly.\Shucks, that was out.\That was awesome.\That was awesome, Shoyo.\One more. response:	Next Episode Preview
context: Yeah. I remember everything my granddad told me really well.\Because people don't have wings...\We look for ways to fly.\Shucks, that was out.\That was awesome.\That was awesome, Shoyo.\One more.\Next Episode Preview response:	Your shrimp-chan was quite amazing.
context: Because people don't have wings...\We look for ways to fly.\Shucks, that was out.\That was awesome.\That was awesome, Shoyo.\One more.\Next Episode Preview\Your shrimp-chan was quite amazing. response:	Though his last spike was out.
context: We look for ways to fly.\Shucks, that was out.\That was awesome.\That was awesome, Shoyo.\One more.\Next Episode Preview\Your shrimp-chan was quite amazing.\Though his last spike was out. response:	Oh, no. Your Inuoka-kun was even more amazing.
context: Shucks, that was out.\That was awesome.\That was awesome, Shoyo.\One more.\Next Episode Preview\Your shrimp-chan was quite amazing.\Though his last spike was out.\Oh, no. Your Inuoka-kun was even more amazing. response:	Though he was naturally quite impressed.
context: That was awesome.\That was awesome, Shoyo.\One more.\Next Episode Preview\Your shrimp-chan was quite amazing.\Though his last spike was out.\Oh, no. Your Inuoka-kun was even more amazing.\Though he was naturally quite impressed. response:	Um, I'm kind of scared...
context: That was awesome, Shoyo.\One more.\Next Episode Preview\Your shrimp-chan was quite amazing.\Though his last spike was out.\Oh, no. Your Inuoka-kun was even more amazing.\Though he was naturally quite impressed.\Um, I'm kind of scared... response:	Episode 13: Rival
context: One more.\Next Episode Preview\Your shrimp-chan was quite amazing.\Though his last spike was out.\Oh, no. Your Inuoka-kun was even more amazing.\Though he was naturally quite impressed.\Um, I'm kind of scared...\Episode 13: Rival response:	Next time on Haikyu!! : Rival
