context: Hunt them to extinction! response:	Those in Lutiel's fleet are now under my command.
context: as well as one who shares the\genes of the rightful ruler of the galaxy, Eguzes Galkie.\Those who hear my voice,\Retreat immediately.\Teoria?!\She's pretty...\She's like a goddess.\Don't try to flirt with her. response:	She waited for the best possible timing!
context: genes of the rightful ruler of the galaxy, Eguzes Galkie.\Those who hear my voice,\Retreat immediately.\Teoria?!\She's pretty...\She's like a goddess.\Don't try to flirt with her.\She waited for the best possible timing! response:	You knew about this?
context: Those who hear my voice,\Retreat immediately.\Teoria?!\She's pretty...\She's like a goddess.\Don't try to flirt with her.\She waited for the best possible timing!\You knew about this? response:	You should have shown yourself sooner!
context: Retreat immediately.\Teoria?!\She's pretty...\She's like a goddess.\Don't try to flirt with her.\She waited for the best possible timing!\You knew about this?\You should have shown yourself sooner! response:	Teoria?!
context: Teoria?!\She's pretty...\She's like a goddess.\Don't try to flirt with her.\She waited for the best possible timing!\You knew about this?\You should have shown yourself sooner!\Teoria?! response:	Teoria!
context: She's pretty...\She's like a goddess.\Don't try to flirt with her.\She waited for the best possible timing!\You knew about this?\You should have shown yourself sooner!\Teoria?!\Teoria! response:	Not happening!
context: She's like a goddess.\Don't try to flirt with her.\She waited for the best possible timing!\You knew about this?\You should have shown yourself sooner!\Teoria?!\Teoria!\Not happening! response:	I swear I will protect Teoria!
context: Don't try to flirt with her.\She waited for the best possible timing!\You knew about this?\You should have shown yourself sooner!\Teoria?!\Teoria!\Not happening!\I swear I will protect Teoria! response:	I never expected that I would take you seriously...
context: She waited for the best possible timing!\You knew about this?\You should have shown yourself sooner!\Teoria?!\Teoria!\Not happening!\I swear I will protect Teoria!\I never expected that I would take you seriously... response:	Hear the throbbing pulse of my genes!
context: You knew about this?\You should have shown yourself sooner!\Teoria?!\Teoria!\Not happening!\I swear I will protect Teoria!\I never expected that I would take you seriously...\Hear the throbbing pulse of my genes! response:	Like I'm gonna let you get away!
context: You should have shown yourself sooner!\Teoria?!\Teoria!\Not happening!\I swear I will protect Teoria!\I never expected that I would take you seriously...\Hear the throbbing pulse of my genes!\Like I'm gonna let you get away! response:	Damn it! You're a lame coward the way you're so freaking quick to run!
context: Teoria?!\Teoria!\Not happening!\I swear I will protect Teoria!\I never expected that I would take you seriously...\Hear the throbbing pulse of my genes!\Like I'm gonna let you get away!\Damn it! You're a lame coward the way you're so freaking quick to run! response:	What a pity!
context: Teoria!\Not happening!\I swear I will protect Teoria!\I never expected that I would take you seriously...\Hear the throbbing pulse of my genes!\Like I'm gonna let you get away!\Damn it! You're a lame coward the way you're so freaking quick to run!\What a pity! response:	You shoulda gotten here sooner, slowpoke!
context: Not happening!\I swear I will protect Teoria!\I never expected that I would take you seriously...\Hear the throbbing pulse of my genes!\Like I'm gonna let you get away!\Damn it! You're a lame coward the way you're so freaking quick to run!\What a pity!\You shoulda gotten here sooner, slowpoke! response:	We're going to hit him from both sides.
context: I swear I will protect Teoria!\I never expected that I would take you seriously...\Hear the throbbing pulse of my genes!\Like I'm gonna let you get away!\Damn it! You're a lame coward the way you're so freaking quick to run!\What a pity!\You shoulda gotten here sooner, slowpoke!\We're going to hit him from both sides. response:	Stay out of my line of fire!
context: I never expected that I would take you seriously...\Hear the throbbing pulse of my genes!\Like I'm gonna let you get away!\Damn it! You're a lame coward the way you're so freaking quick to run!\What a pity!\You shoulda gotten here sooner, slowpoke!\We're going to hit him from both sides.\Stay out of my line of fire! response:	Don't order me around!
context: Hear the throbbing pulse of my genes!\Like I'm gonna let you get away!\Damn it! You're a lame coward the way you're so freaking quick to run!\What a pity!\You shoulda gotten here sooner, slowpoke!\We're going to hit him from both sides.\Stay out of my line of fire!\Don't order me around! response:	You are doing this of your own free will, aren't you?
context: Like I'm gonna let you get away!\Damn it! You're a lame coward the way you're so freaking quick to run!\What a pity!\You shoulda gotten here sooner, slowpoke!\We're going to hit him from both sides.\Stay out of my line of fire!\Don't order me around!\You are doing this of your own free will, aren't you? response:	What's goin' on?
context: Damn it! You're a lame coward the way you're so freaking quick to run!\What a pity!\You shoulda gotten here sooner, slowpoke!\We're going to hit him from both sides.\Stay out of my line of fire!\Don't order me around!\You are doing this of your own free will, aren't you?\What's goin' on? response:	A path to our goal just opened up. Charge full speed ahead!
context: What a pity!\You shoulda gotten here sooner, slowpoke!\We're going to hit him from both sides.\Stay out of my line of fire!\Don't order me around!\You are doing this of your own free will, aren't you?\What's goin' on?\A path to our goal just opened up. Charge full speed ahead! response:	Roger that!
context: You shoulda gotten here sooner, slowpoke!\We're going to hit him from both sides.\Stay out of my line of fire!\Don't order me around!\You are doing this of your own free will, aren't you?\What's goin' on?\A path to our goal just opened up. Charge full speed ahead!\Roger that! response:	What are you doing?! Everyone, return to your posts!
context: We're going to hit him from both sides.\Stay out of my line of fire!\Don't order me around!\You are doing this of your own free will, aren't you?\What's goin' on?\A path to our goal just opened up. Charge full speed ahead!\Roger that!\What are you doing?! Everyone, return to your posts! response:	You're up against me!
context: Stay out of my line of fire!\Don't order me around!\You are doing this of your own free will, aren't you?\What's goin' on?\A path to our goal just opened up. Charge full speed ahead!\Roger that!\What are you doing?! Everyone, return to your posts!\You're up against me! response:	Don't forget about me! Stay in formation.
context: Don't order me around!\You are doing this of your own free will, aren't you?\What's goin' on?\A path to our goal just opened up. Charge full speed ahead!\Roger that!\What are you doing?! Everyone, return to your posts!\You're up against me!\Don't forget about me! Stay in formation. response:	I already told you, don't order me around!
context: You are doing this of your own free will, aren't you?\What's goin' on?\A path to our goal just opened up. Charge full speed ahead!\Roger that!\What are you doing?! Everyone, return to your posts!\You're up against me!\Don't forget about me! Stay in formation.\I already told you, don't order me around! response:	Release the final safety lock.
context: What's goin' on?\A path to our goal just opened up. Charge full speed ahead!\Roger that!\What are you doing?! Everyone, return to your posts!\You're up against me!\Don't forget about me! Stay in formation.\I already told you, don't order me around!\Release the final safety lock. response:	Rate of convergence: 500.
context: A path to our goal just opened up. Charge full speed ahead!\Roger that!\What are you doing?! Everyone, return to your posts!\You're up against me!\Don't forget about me! Stay in formation.\I already told you, don't order me around!\Release the final safety lock.\Rate of convergence: 500. response:	Go!
context: Roger that!\What are you doing?! Everyone, return to your posts!\You're up against me!\Don't forget about me! Stay in formation.\I already told you, don't order me around!\Release the final safety lock.\Rate of convergence: 500.\Go! response:	I'm counting on you!
context: What are you doing?! Everyone, return to your posts!\You're up against me!\Don't forget about me! Stay in formation.\I already told you, don't order me around!\Release the final safety lock.\Rate of convergence: 500.\Go!\I'm counting on you! response:	Tamaki, come back!
context: You're up against me!\Don't forget about me! Stay in formation.\I already told you, don't order me around!\Release the final safety lock.\Rate of convergence: 500.\Go!\I'm counting on you!\Tamaki, come back! response:	Roger!
context: Don't forget about me! Stay in formation.\I already told you, don't order me around!\Release the final safety lock.\Rate of convergence: 500.\Go!\I'm counting on you!\Tamaki, come back!\Roger! response:	Nine, eight, seven,
context: I already told you, don't order me around!\Release the final safety lock.\Rate of convergence: 500.\Go!\I'm counting on you!\Tamaki, come back!\Roger!\Nine, eight, seven, response:	six, five, four,
context: Release the final safety lock.\Rate of convergence: 500.\Go!\I'm counting on you!\Tamaki, come back!\Roger!\Nine, eight, seven,\six, five, four, response:	three, two!
context: Rate of convergence: 500.\Go!\I'm counting on you!\Tamaki, come back!\Roger!\Nine, eight, seven,\six, five, four,\three, two! response:	We did it!
context: Go!\I'm counting on you!\Tamaki, come back!\Roger!\Nine, eight, seven,\six, five, four,\three, two!\We did it! response:	Fire the Straggle Laser!
context: I'm counting on you!\Tamaki, come back!\Roger!\Nine, eight, seven,\six, five, four,\three, two!\We did it!\Fire the Straggle Laser! response:	Will this do it?
context: Tamaki, come back!\Roger!\Nine, eight, seven,\six, five, four,\three, two!\We did it!\Fire the Straggle Laser!\Will this do it? response:	The Straggle Laser has been hit!
context: Roger!\Nine, eight, seven,\six, five, four,\three, two!\We did it!\Fire the Straggle Laser!\Will this do it?\The Straggle Laser has been hit! response:	Isn't that... Dolgana's unit?
context: Nine, eight, seven,\six, five, four,\three, two!\We did it!\Fire the Straggle Laser!\Will this do it?\The Straggle Laser has been hit!\Isn't that... Dolgana's unit? response:	The Straggle Laser has been completely destroyed.
context: six, five, four,\three, two!\We did it!\Fire the Straggle Laser!\Will this do it?\The Straggle Laser has been hit!\Isn't that... Dolgana's unit?\The Straggle Laser has been completely destroyed. response:	We've... run out of options.
context: three, two!\We did it!\Fire the Straggle Laser!\Will this do it?\The Straggle Laser has been hit!\Isn't that... Dolgana's unit?\The Straggle Laser has been completely destroyed.\We've... run out of options. response:	No, we still have one left.
context: We did it!\Fire the Straggle Laser!\Will this do it?\The Straggle Laser has been hit!\Isn't that... Dolgana's unit?\The Straggle Laser has been completely destroyed.\We've... run out of options.\No, we still have one left. response:	He's completely awoken...?
context: Fire the Straggle Laser!\Will this do it?\The Straggle Laser has been hit!\Isn't that... Dolgana's unit?\The Straggle Laser has been completely destroyed.\We've... run out of options.\No, we still have one left.\He's completely awoken...? response:	The awakened Red 5 will illuminate the path.
context: Will this do it?\The Straggle Laser has been hit!\Isn't that... Dolgana's unit?\The Straggle Laser has been completely destroyed.\We've... run out of options.\No, we still have one left.\He's completely awoken...?\The awakened Red 5 will illuminate the path. response:	We will hit the gate with the largest body of mobile mass we have.
context: The Straggle Laser has been hit!\Isn't that... Dolgana's unit?\The Straggle Laser has been completely destroyed.\We've... run out of options.\No, we still have one left.\He's completely awoken...?\The awakened Red 5 will illuminate the path.\We will hit the gate with the largest body of mobile mass we have. response:	Roger!
context: Isn't that... Dolgana's unit?\The Straggle Laser has been completely destroyed.\We've... run out of options.\No, we still have one left.\He's completely awoken...?\The awakened Red 5 will illuminate the path.\We will hit the gate with the largest body of mobile mass we have.\Roger! response:	All crew, quickly abandon the ship from both sides-
context: The Straggle Laser has been completely destroyed.\We've... run out of options.\No, we still have one left.\He's completely awoken...?\The awakened Red 5 will illuminate the path.\We will hit the gate with the largest body of mobile mass we have.\Roger!\All crew, quickly abandon the ship from both sides- response:	Amane's ship is to stay as it is!
context: We've... run out of options.\No, we still have one left.\He's completely awoken...?\The awakened Red 5 will illuminate the path.\We will hit the gate with the largest body of mobile mass we have.\Roger!\All crew, quickly abandon the ship from both sides-\Amane's ship is to stay as it is! response:	The Star Rose's crew is to abandon ship on the double!
context: No, we still have one left.\He's completely awoken...?\The awakened Red 5 will illuminate the path.\We will hit the gate with the largest body of mobile mass we have.\Roger!\All crew, quickly abandon the ship from both sides-\Amane's ship is to stay as it is!\The Star Rose's crew is to abandon ship on the double! response:	I'm going to ram the Star Rose into the gate.
context: He's completely awoken...?\The awakened Red 5 will illuminate the path.\We will hit the gate with the largest body of mobile mass we have.\Roger!\All crew, quickly abandon the ship from both sides-\Amane's ship is to stay as it is!\The Star Rose's crew is to abandon ship on the double!\I'm going to ram the Star Rose into the gate. response:	Flowers Falling in Space
