context: Let's see... My dear Dark Kingdom, response:	as of today, I, Sailor Moon
context: Jupiter...\That's...\If I hated her,\I wouldn't be watching something this important for her!\Sailor Mars feels the same as we all do.\Mars, I'm sorry.\Die!\Sailor Moon! response:	Everyone, don't come!
context: That's...\If I hated her,\I wouldn't be watching something this important for her!\Sailor Mars feels the same as we all do.\Mars, I'm sorry.\Die!\Sailor Moon!\Everyone, don't come! response:	I can't let them do this anymore!
context: If I hated her,\I wouldn't be watching something this important for her!\Sailor Mars feels the same as we all do.\Mars, I'm sorry.\Die!\Sailor Moon!\Everyone, don't come!\I can't let them do this anymore! response:	Man, she's so arbitrary.
context: I wouldn't be watching something this important for her!\Sailor Mars feels the same as we all do.\Mars, I'm sorry.\Die!\Sailor Moon!\Everyone, don't come!\I can't let them do this anymore!\Man, she's so arbitrary. response:	Stop right there!
context: Sailor Mars feels the same as we all do.\Mars, I'm sorry.\Die!\Sailor Moon!\Everyone, don't come!\I can't let them do this anymore!\Man, she's so arbitrary.\Stop right there! response:	Baban?
context: Mars, I'm sorry.\Die!\Sailor Moon!\Everyone, don't come!\I can't let them do this anymore!\Man, she's so arbitrary.\Stop right there!\Baban? response:	Sailor Mars!
context: Die!\Sailor Moon!\Everyone, don't come!\I can't let them do this anymore!\Man, she's so arbitrary.\Stop right there!\Baban?\Sailor Mars! response:	Sailor Mercury!
context: Sailor Moon!\Everyone, don't come!\I can't let them do this anymore!\Man, she's so arbitrary.\Stop right there!\Baban?\Sailor Mars!\Sailor Mercury! response:	Sailor Jupiter!
context: Everyone, don't come!\I can't let them do this anymore!\Man, she's so arbitrary.\Stop right there!\Baban?\Sailor Mars!\Sailor Mercury!\Sailor Jupiter! response:	Sailor Venus!
context: I can't let them do this anymore!\Man, she's so arbitrary.\Stop right there!\Baban?\Sailor Mars!\Sailor Mercury!\Sailor Jupiter!\Sailor Venus! response:	That's the end of our charade!
context: Man, she's so arbitrary.\Stop right there!\Baban?\Sailor Mars!\Sailor Mercury!\Sailor Jupiter!\Sailor Venus!\That's the end of our charade! response:	Prepare yourselves!
context: Stop right there!\Baban?\Sailor Mars!\Sailor Mercury!\Sailor Jupiter!\Sailor Venus!\That's the end of our charade!\Prepare yourselves! response:	Everyone!
context: Baban?\Sailor Mars!\Sailor Mercury!\Sailor Jupiter!\Sailor Venus!\That's the end of our charade!\Prepare yourselves!\Everyone! response:	Fools! I had seen through your monkey business long before!
context: Sailor Mars!\Sailor Mercury!\Sailor Jupiter!\Sailor Venus!\That's the end of our charade!\Prepare yourselves!\Everyone!\Fools! I had seen through your monkey business long before! response:	Anyway, release Sailor Moon!
context: Sailor Mercury!\Sailor Jupiter!\Sailor Venus!\That's the end of our charade!\Prepare yourselves!\Everyone!\Fools! I had seen through your monkey business long before!\Anyway, release Sailor Moon! response:	I'm angry now!
context: Sailor Jupiter!\Sailor Venus!\That's the end of our charade!\Prepare yourselves!\Everyone!\Fools! I had seen through your monkey business long before!\Anyway, release Sailor Moon!\I'm angry now! response:	Fire
context: Sailor Venus!\That's the end of our charade!\Prepare yourselves!\Everyone!\Fools! I had seen through your monkey business long before!\Anyway, release Sailor Moon!\I'm angry now!\Fire response:	Soul!
context: That's the end of our charade!\Prepare yourselves!\Everyone!\Fools! I had seen through your monkey business long before!\Anyway, release Sailor Moon!\I'm angry now!\Fire\Soul! response:	Baban!
context: Prepare yourselves!\Everyone!\Fools! I had seen through your monkey business long before!\Anyway, release Sailor Moon!\I'm angry now!\Fire\Soul!\Baban! response:	Supreme
context: Everyone!\Fools! I had seen through your monkey business long before!\Anyway, release Sailor Moon!\I'm angry now!\Fire\Soul!\Baban!\Supreme response:	Crescent
context: Fools! I had seen through your monkey business long before!\Anyway, release Sailor Moon!\I'm angry now!\Fire\Soul!\Baban!\Supreme\Crescent response:	Thunder!
context: Anyway, release Sailor Moon!\I'm angry now!\Fire\Soul!\Baban!\Supreme\Crescent\Thunder! response:	Beam!
context: I'm angry now!\Fire\Soul!\Baban!\Supreme\Crescent\Thunder!\Beam! response:	If you want to trick me,
context: Fire\Soul!\Baban!\Supreme\Crescent\Thunder!\Beam!\If you want to trick me, response:	you should study acting a little more!
context: Soul!\Baban!\Supreme\Crescent\Thunder!\Beam!\If you want to trick me,\you should study acting a little more! response:	Baban!
context: Baban!\Supreme\Crescent\Thunder!\Beam!\If you want to trick me,\you should study acting a little more!\Baban! response:	It is time for you to die!
context: Supreme\Crescent\Thunder!\Beam!\If you want to trick me,\you should study acting a little more!\Baban!\It is time for you to die! response:	Ban! Baban!
context: Crescent\Thunder!\Beam!\If you want to trick me,\you should study acting a little more!\Baban!\It is time for you to die!\Ban! Baban! response:	Sailor Moon!
context: Thunder!\Beam!\If you want to trick me,\you should study acting a little more!\Baban!\It is time for you to die!\Ban! Baban!\Sailor Moon! response:	Die!
context: Beam!\If you want to trick me,\you should study acting a little more!\Baban!\It is time for you to die!\Ban! Baban!\Sailor Moon!\Die! response:	What?!
context: If you want to trick me,\you should study acting a little more!\Baban!\It is time for you to die!\Ban! Baban!\Sailor Moon!\Die!\What?! response:	You better just give up!
context: you should study acting a little more!\Baban!\It is time for you to die!\Ban! Baban!\Sailor Moon!\Die!\What?!\You better just give up! response:	Why you!
context: Baban!\It is time for you to die!\Ban! Baban!\Sailor Moon!\Die!\What?!\You better just give up!\Why you! response:	Ban, ban, ban, ban, ban, ban, ban, ban!
context: It is time for you to die!\Ban! Baban!\Sailor Moon!\Die!\What?!\You better just give up!\Why you!\Ban, ban, ban, ban, ban, ban, ban, ban! response:	We will chop you to pieces! Banban!
context: Ban! Baban!\Sailor Moon!\Die!\What?!\You better just give up!\Why you!\Ban, ban, ban, ban, ban, ban, ban, ban!\We will chop you to pieces! Banban! response:	Not so fast!
context: Sailor Moon!\Die!\What?!\You better just give up!\Why you!\Ban, ban, ban, ban, ban, ban, ban, ban!\We will chop you to pieces! Banban!\Not so fast! response:	Bubble
context: Die!\What?!\You better just give up!\Why you!\Ban, ban, ban, ban, ban, ban, ban, ban!\We will chop you to pieces! Banban!\Not so fast!\Bubble response:	Spray!
context: What?!\You better just give up!\Why you!\Ban, ban, ban, ban, ban, ban, ban, ban!\We will chop you to pieces! Banban!\Not so fast!\Bubble\Spray! response:	What is this?!
context: You better just give up!\Why you!\Ban, ban, ban, ban, ban, ban, ban, ban!\We will chop you to pieces! Banban!\Not so fast!\Bubble\Spray!\What is this?! response:	I pulled all-nighters to come up with this plan
context: Why you!\Ban, ban, ban, ban, ban, ban, ban, ban!\We will chop you to pieces! Banban!\Not so fast!\Bubble\Spray!\What is this?!\I pulled all-nighters to come up with this plan response:	and you saw through it that easily?!
context: Ban, ban, ban, ban, ban, ban, ban, ban!\We will chop you to pieces! Banban!\Not so fast!\Bubble\Spray!\What is this?!\I pulled all-nighters to come up with this plan\and you saw through it that easily?! response:	That's outrageous! Rhododendrons are beautiful!
context: We will chop you to pieces! Banban!\Not so fast!\Bubble\Spray!\What is this?!\I pulled all-nighters to come up with this plan\and you saw through it that easily?!\That's outrageous! Rhododendrons are beautiful! response:	What are you talking about?!
context: Not so fast!\Bubble\Spray!\What is this?!\I pulled all-nighters to come up with this plan\and you saw through it that easily?!\That's outrageous! Rhododendrons are beautiful!\What are you talking about?! response:	Anyway, in the name of the moon, I will punish you!
context: Bubble\Spray!\What is this?!\I pulled all-nighters to come up with this plan\and you saw through it that easily?!\That's outrageous! Rhododendrons are beautiful!\What are you talking about?!\Anyway, in the name of the moon, I will punish you! response:	Impudence!
context: Spray!\What is this?!\I pulled all-nighters to come up with this plan\and you saw through it that easily?!\That's outrageous! Rhododendrons are beautiful!\What are you talking about?!\Anyway, in the name of the moon, I will punish you!\Impudence! response:	Shut up!
context: What is this?!\I pulled all-nighters to come up with this plan\and you saw through it that easily?!\That's outrageous! Rhododendrons are beautiful!\What are you talking about?!\Anyway, in the name of the moon, I will punish you!\Impudence!\Shut up! response:	Fire
context: I pulled all-nighters to come up with this plan\and you saw through it that easily?!\That's outrageous! Rhododendrons are beautiful!\What are you talking about?!\Anyway, in the name of the moon, I will punish you!\Impudence!\Shut up!\Fire response:	Soul!
context: and you saw through it that easily?!\That's outrageous! Rhododendrons are beautiful!\What are you talking about?!\Anyway, in the name of the moon, I will punish you!\Impudence!\Shut up!\Fire\Soul! response:	Ouch! That is hot, hot, hot!
context: That's outrageous! Rhododendrons are beautiful!\What are you talking about?!\Anyway, in the name of the moon, I will punish you!\Impudence!\Shut up!\Fire\Soul!\Ouch! That is hot, hot, hot! response:	Now, for the finish!
context: What are you talking about?!\Anyway, in the name of the moon, I will punish you!\Impudence!\Shut up!\Fire\Soul!\Ouch! That is hot, hot, hot!\Now, for the finish! response:	Moon Healing Escalation!
context: Anyway, in the name of the moon, I will punish you!\Impudence!\Shut up!\Fire\Soul!\Ouch! That is hot, hot, hot!\Now, for the finish!\Moon Healing Escalation! response:	Refresh!
context: Impudence!\Shut up!\Fire\Soul!\Ouch! That is hot, hot, hot!\Now, for the finish!\Moon Healing Escalation!\Refresh! response:	We did it!
context: Shut up!\Fire\Soul!\Ouch! That is hot, hot, hot!\Now, for the finish!\Moon Healing Escalation!\Refresh!\We did it! response:	Yeah!
context: Fire\Soul!\Ouch! That is hot, hot, hot!\Now, for the finish!\Moon Healing Escalation!\Refresh!\We did it!\Yeah! response:	Hey, why did you guys show up?
context: Soul!\Ouch! That is hot, hot, hot!\Now, for the finish!\Moon Healing Escalation!\Refresh!\We did it!\Yeah!\Hey, why did you guys show up? response:	I was doing perfectly fine on my own!
context: Ouch! That is hot, hot, hot!\Now, for the finish!\Moon Healing Escalation!\Refresh!\We did it!\Yeah!\Hey, why did you guys show up?\I was doing perfectly fine on my own! response:	Because you were crying like a little baby!
context: Now, for the finish!\Moon Healing Escalation!\Refresh!\We did it!\Yeah!\Hey, why did you guys show up?\I was doing perfectly fine on my own!\Because you were crying like a little baby! response:	When was I crying like a little baby?!
context: Moon Healing Escalation!\Refresh!\We did it!\Yeah!\Hey, why did you guys show up?\I was doing perfectly fine on my own!\Because you were crying like a little baby!\When was I crying like a little baby?! response:	Today, at 11 o'clock, 16 minutes, and 28 seconds!
context: Refresh!\We did it!\Yeah!\Hey, why did you guys show up?\I was doing perfectly fine on my own!\Because you were crying like a little baby!\When was I crying like a little baby?!\Today, at 11 o'clock, 16 minutes, and 28 seconds! response:	The way you say it is mean!
context: We did it!\Yeah!\Hey, why did you guys show up?\I was doing perfectly fine on my own!\Because you were crying like a little baby!\When was I crying like a little baby?!\Today, at 11 o'clock, 16 minutes, and 28 seconds!\The way you say it is mean! response:	I don't know how they keep this up.
context: Yeah!\Hey, why did you guys show up?\I was doing perfectly fine on my own!\Because you were crying like a little baby!\When was I crying like a little baby?!\Today, at 11 o'clock, 16 minutes, and 28 seconds!\The way you say it is mean!\I don't know how they keep this up. response:	Won't someone please stop them?
context: Hey, why did you guys show up?\I was doing perfectly fine on my own!\Because you were crying like a little baby!\When was I crying like a little baby?!\Today, at 11 o'clock, 16 minutes, and 28 seconds!\The way you say it is mean!\I don't know how they keep this up.\Won't someone please stop them? response:	Hey, I heard rumors that the sailor warriors were breaking up!
context: I was doing perfectly fine on my own!\Because you were crying like a little baby!\When was I crying like a little baby?!\Today, at 11 o'clock, 16 minutes, and 28 seconds!\The way you say it is mean!\I don't know how they keep this up.\Won't someone please stop them?\Hey, I heard rumors that the sailor warriors were breaking up! response:	Is it true? So, how about it?
context: Because you were crying like a little baby!\When was I crying like a little baby?!\Today, at 11 o'clock, 16 minutes, and 28 seconds!\The way you say it is mean!\I don't know how they keep this up.\Won't someone please stop them?\Hey, I heard rumors that the sailor warriors were breaking up!\Is it true? So, how about it? response:	I'm sick of this! Is it true? So, how about it?
context: When was I crying like a little baby?!\Today, at 11 o'clock, 16 minutes, and 28 seconds!\The way you say it is mean!\I don't know how they keep this up.\Won't someone please stop them?\Hey, I heard rumors that the sailor warriors were breaking up!\Is it true? So, how about it?\I'm sick of this! Is it true? So, how about it? response:	I'm sick of this!
context: Today, at 11 o'clock, 16 minutes, and 28 seconds!\The way you say it is mean!\I don't know how they keep this up.\Won't someone please stop them?\Hey, I heard rumors that the sailor warriors were breaking up!\Is it true? So, how about it?\I'm sick of this! Is it true? So, how about it?\I'm sick of this! response:	During the day, the fragrance of flowers
context: The way you say it is mean!\I don't know how they keep this up.\Won't someone please stop them?\Hey, I heard rumors that the sailor warriors were breaking up!\Is it true? So, how about it?\I'm sick of this! Is it true? So, how about it?\I'm sick of this!\During the day, the fragrance of flowers response:	During the night, the twinkle of the stars
context: I don't know how they keep this up.\Won't someone please stop them?\Hey, I heard rumors that the sailor warriors were breaking up!\Is it true? So, how about it?\I'm sick of this! Is it true? So, how about it?\I'm sick of this!\During the day, the fragrance of flowers\During the night, the twinkle of the stars response:	It's a world no one knows about
context: Won't someone please stop them?\Hey, I heard rumors that the sailor warriors were breaking up!\Is it true? So, how about it?\I'm sick of this! Is it true? So, how about it?\I'm sick of this!\During the day, the fragrance of flowers\During the night, the twinkle of the stars\It's a world no one knows about response:	With white shoes clicking
context: Hey, I heard rumors that the sailor warriors were breaking up!\Is it true? So, how about it?\I'm sick of this! Is it true? So, how about it?\I'm sick of this!\During the day, the fragrance of flowers\During the night, the twinkle of the stars\It's a world no one knows about\With white shoes clicking response:	Cross the white moon bridge
context: Is it true? So, how about it?\I'm sick of this! Is it true? So, how about it?\I'm sick of this!\During the day, the fragrance of flowers\During the night, the twinkle of the stars\It's a world no one knows about\With white shoes clicking\Cross the white moon bridge response:	And there lives a princess, dreaming of a sweet kiss
context: I'm sick of this! Is it true? So, how about it?\I'm sick of this!\During the day, the fragrance of flowers\During the night, the twinkle of the stars\It's a world no one knows about\With white shoes clicking\Cross the white moon bridge\And there lives a princess, dreaming of a sweet kiss response:	Offer a prayer to the moon
context: I'm sick of this!\During the day, the fragrance of flowers\During the night, the twinkle of the stars\It's a world no one knows about\With white shoes clicking\Cross the white moon bridge\And there lives a princess, dreaming of a sweet kiss\Offer a prayer to the moon response:	It will surely bring you happiness
context: During the day, the fragrance of flowers\During the night, the twinkle of the stars\It's a world no one knows about\With white shoes clicking\Cross the white moon bridge\And there lives a princess, dreaming of a sweet kiss\Offer a prayer to the moon\It will surely bring you happiness response:	Go round and round, the moon's merry-go-round
context: During the night, the twinkle of the stars\It's a world no one knows about\With white shoes clicking\Cross the white moon bridge\And there lives a princess, dreaming of a sweet kiss\Offer a prayer to the moon\It will surely bring you happiness\Go round and round, the moon's merry-go-round response:	Make that serene dress made of glass flutter in the wind
context: It's a world no one knows about\With white shoes clicking\Cross the white moon bridge\And there lives a princess, dreaming of a sweet kiss\Offer a prayer to the moon\It will surely bring you happiness\Go round and round, the moon's merry-go-round\Make that serene dress made of glass flutter in the wind response:	She's always watching over us
context: With white shoes clicking\Cross the white moon bridge\And there lives a princess, dreaming of a sweet kiss\Offer a prayer to the moon\It will surely bring you happiness\Go round and round, the moon's merry-go-round\Make that serene dress made of glass flutter in the wind\She's always watching over us response:	Moon, moon princess
