context: At 18:00 Space Standard Time, response:	a GDF Special Forces unit set up transmission satellites
context: Roger.\Commander Simon, what will you be doing?\I will remain on standby here.\Understood. That would make things less strenuous on me as well.\I will be careful with how I inform the Vice Chief of Staff.\Where is Simon?\He is on standby at Headquarters.\Well, it was merely his job to nurse the MJP. response:	It is our job to properly utilize them.
context: Commander Simon, what will you be doing?\I will remain on standby here.\Understood. That would make things less strenuous on me as well.\I will be careful with how I inform the Vice Chief of Staff.\Where is Simon?\He is on standby at Headquarters.\Well, it was merely his job to nurse the MJP.\It is our job to properly utilize them. response:	Takeoff in T minus 30 seconds.
context: I will remain on standby here.\Understood. That would make things less strenuous on me as well.\I will be careful with how I inform the Vice Chief of Staff.\Where is Simon?\He is on standby at Headquarters.\Well, it was merely his job to nurse the MJP.\It is our job to properly utilize them.\Takeoff in T minus 30 seconds. response:	Heavy armor?
context: Understood. That would make things less strenuous on me as well.\I will be careful with how I inform the Vice Chief of Staff.\Where is Simon?\He is on standby at Headquarters.\Well, it was merely his job to nurse the MJP.\It is our job to properly utilize them.\Takeoff in T minus 30 seconds.\Heavy armor? response:	Are we getting fully outfitted'cause the Vice Chief of Staff is in command?
context: I will be careful with how I inform the Vice Chief of Staff.\Where is Simon?\He is on standby at Headquarters.\Well, it was merely his job to nurse the MJP.\It is our job to properly utilize them.\Takeoff in T minus 30 seconds.\Heavy armor?\Are we getting fully outfitted'cause the Vice Chief of Staff is in command? response:	The grill ads are gone!
context: Where is Simon?\He is on standby at Headquarters.\Well, it was merely his job to nurse the MJP.\It is our job to properly utilize them.\Takeoff in T minus 30 seconds.\Heavy armor?\Are we getting fully outfitted'cause the Vice Chief of Staff is in command?\The grill ads are gone! response:	Probably because this isn't getting aired.
context: He is on standby at Headquarters.\Well, it was merely his job to nurse the MJP.\It is our job to properly utilize them.\Takeoff in T minus 30 seconds.\Heavy armor?\Are we getting fully outfitted'cause the Vice Chief of Staff is in command?\The grill ads are gone!\Probably because this isn't getting aired. response:	That or we've lost our sponsors.
context: Well, it was merely his job to nurse the MJP.\It is our job to properly utilize them.\Takeoff in T minus 30 seconds.\Heavy armor?\Are we getting fully outfitted'cause the Vice Chief of Staff is in command?\The grill ads are gone!\Probably because this isn't getting aired.\That or we've lost our sponsors. response:	Already?
context: It is our job to properly utilize them.\Takeoff in T minus 30 seconds.\Heavy armor?\Are we getting fully outfitted'cause the Vice Chief of Staff is in command?\The grill ads are gone!\Probably because this isn't getting aired.\That or we've lost our sponsors.\Already? response:	May I not goof up this time! May I not goof up this time!
context: Takeoff in T minus 30 seconds.\Heavy armor?\Are we getting fully outfitted'cause the Vice Chief of Staff is in command?\The grill ads are gone!\Probably because this isn't getting aired.\That or we've lost our sponsors.\Already?\May I not goof up this time! May I not goof up this time! response:	I've confirmed that the Pits are in position for blast off.
context: Heavy armor?\Are we getting fully outfitted'cause the Vice Chief of Staff is in command?\The grill ads are gone!\Probably because this isn't getting aired.\That or we've lost our sponsors.\Already?\May I not goof up this time! May I not goof up this time!\I've confirmed that the Pits are in position for blast off. response:	All vessels are prepared for blast off.
context: Are we getting fully outfitted'cause the Vice Chief of Staff is in command?\The grill ads are gone!\Probably because this isn't getting aired.\That or we've lost our sponsors.\Already?\May I not goof up this time! May I not goof up this time!\I've confirmed that the Pits are in position for blast off.\All vessels are prepared for blast off. response:	All ships: Blast off!
context: The grill ads are gone!\Probably because this isn't getting aired.\That or we've lost our sponsors.\Already?\May I not goof up this time! May I not goof up this time!\I've confirmed that the Pits are in position for blast off.\All vessels are prepared for blast off.\All ships: Blast off! response:	Thank you.
context: Probably because this isn't getting aired.\That or we've lost our sponsors.\Already?\May I not goof up this time! May I not goof up this time!\I've confirmed that the Pits are in position for blast off.\All vessels are prepared for blast off.\All ships: Blast off!\Thank you. response:	I hear they went to a resort.
context: That or we've lost our sponsors.\Already?\May I not goof up this time! May I not goof up this time!\I've confirmed that the Pits are in position for blast off.\All vessels are prepared for blast off.\All ships: Blast off!\Thank you.\I hear they went to a resort. response:	When do you think we'll get to go?
context: Already?\May I not goof up this time! May I not goof up this time!\I've confirmed that the Pits are in position for blast off.\All vessels are prepared for blast off.\All ships: Blast off!\Thank you.\I hear they went to a resort.\When do you think we'll get to go? response:	Wulgaru ships spotted at Point D7.
context: May I not goof up this time! May I not goof up this time!\I've confirmed that the Pits are in position for blast off.\All vessels are prepared for blast off.\All ships: Blast off!\Thank you.\I hear they went to a resort.\When do you think we'll get to go?\Wulgaru ships spotted at Point D7. response:	All units, get into battle formation!
context: I've confirmed that the Pits are in position for blast off.\All vessels are prepared for blast off.\All ships: Blast off!\Thank you.\I hear they went to a resort.\When do you think we'll get to go?\Wulgaru ships spotted at Point D7.\All units, get into battle formation! response:	I'm putting them on the screen.
context: All vessels are prepared for blast off.\All ships: Blast off!\Thank you.\I hear they went to a resort.\When do you think we'll get to go?\Wulgaru ships spotted at Point D7.\All units, get into battle formation!\I'm putting them on the screen. response:	A supply fleet? Really?
context: All ships: Blast off!\Thank you.\I hear they went to a resort.\When do you think we'll get to go?\Wulgaru ships spotted at Point D7.\All units, get into battle formation!\I'm putting them on the screen.\A supply fleet? Really? response:	What are those?
context: Thank you.\I hear they went to a resort.\When do you think we'll get to go?\Wulgaru ships spotted at Point D7.\All units, get into battle formation!\I'm putting them on the screen.\A supply fleet? Really?\What are those? response:	They don't appear to be supply ships.
context: I hear they went to a resort.\When do you think we'll get to go?\Wulgaru ships spotted at Point D7.\All units, get into battle formation!\I'm putting them on the screen.\A supply fleet? Really?\What are those?\They don't appear to be supply ships. response:	Then what are they?
context: When do you think we'll get to go?\Wulgaru ships spotted at Point D7.\All units, get into battle formation!\I'm putting them on the screen.\A supply fleet? Really?\What are those?\They don't appear to be supply ships.\Then what are they? response:	I believe this is an armed reconnaissance squadron.
context: Wulgaru ships spotted at Point D7.\All units, get into battle formation!\I'm putting them on the screen.\A supply fleet? Really?\What are those?\They don't appear to be supply ships.\Then what are they?\I believe this is an armed reconnaissance squadron. response:	Wasn't this a supply route?!
context: All units, get into battle formation!\I'm putting them on the screen.\A supply fleet? Really?\What are those?\They don't appear to be supply ships.\Then what are they?\I believe this is an armed reconnaissance squadron.\Wasn't this a supply route?! response:	That was merely speculation.
context: I'm putting them on the screen.\A supply fleet? Really?\What are those?\They don't appear to be supply ships.\Then what are they?\I believe this is an armed reconnaissance squadron.\Wasn't this a supply route?!\That was merely speculation. response:	You are the one who determined it to be a supply route.
context: A supply fleet? Really?\What are those?\They don't appear to be supply ships.\Then what are they?\I believe this is an armed reconnaissance squadron.\Wasn't this a supply route?!\That was merely speculation.\You are the one who determined it to be a supply route. response:	We should avoid contact.
context: What are those?\They don't appear to be supply ships.\Then what are they?\I believe this is an armed reconnaissance squadron.\Wasn't this a supply route?!\That was merely speculation.\You are the one who determined it to be a supply route.\We should avoid contact. response:	Are you saying to pull back without achieving anything?!
context: They don't appear to be supply ships.\Then what are they?\I believe this is an armed reconnaissance squadron.\Wasn't this a supply route?!\That was merely speculation.\You are the one who determined it to be a supply route.\We should avoid contact.\Are you saying to pull back without achieving anything?! response:	Doesn't the JURIA-SYSTEM demonstrate its prowess best in situations like this?!
context: Then what are they?\I believe this is an armed reconnaissance squadron.\Wasn't this a supply route?!\That was merely speculation.\You are the one who determined it to be a supply route.\We should avoid contact.\Are you saying to pull back without achieving anything?!\Doesn't the JURIA-SYSTEM demonstrate its prowess best in situations like this?! response:	Commence Operation Night Blow!
context: I believe this is an armed reconnaissance squadron.\Wasn't this a supply route?!\That was merely speculation.\You are the one who determined it to be a supply route.\We should avoid contact.\Are you saying to pull back without achieving anything?!\Doesn't the JURIA-SYSTEM demonstrate its prowess best in situations like this?!\Commence Operation Night Blow! response:	Commence the operation!
context: Wasn't this a supply route?!\That was merely speculation.\You are the one who determined it to be a supply route.\We should avoid contact.\Are you saying to pull back without achieving anything?!\Doesn't the JURIA-SYSTEM demonstrate its prowess best in situations like this?!\Commence Operation Night Blow!\Commence the operation! response:	Mission: Start!
context: That was merely speculation.\You are the one who determined it to be a supply route.\We should avoid contact.\Are you saying to pull back without achieving anything?!\Doesn't the JURIA-SYSTEM demonstrate its prowess best in situations like this?!\Commence Operation Night Blow!\Commence the operation!\Mission: Start! response:	I had the units fully outfitted just to be safe
context: You are the one who determined it to be a supply route.\We should avoid contact.\Are you saying to pull back without achieving anything?!\Doesn't the JURIA-SYSTEM demonstrate its prowess best in situations like this?!\Commence Operation Night Blow!\Commence the operation!\Mission: Start!\I had the units fully outfitted just to be safe response:	as we were unsure what type of enemy vessels they may encounter.
context: We should avoid contact.\Are you saying to pull back without achieving anything?!\Doesn't the JURIA-SYSTEM demonstrate its prowess best in situations like this?!\Commence Operation Night Blow!\Commence the operation!\Mission: Start!\I had the units fully outfitted just to be safe\as we were unsure what type of enemy vessels they may encounter. response:	That's a given!
context: Are you saying to pull back without achieving anything?!\Doesn't the JURIA-SYSTEM demonstrate its prowess best in situations like this?!\Commence Operation Night Blow!\Commence the operation!\Mission: Start!\I had the units fully outfitted just to be safe\as we were unsure what type of enemy vessels they may encounter.\That's a given! response:	Attack!
context: Doesn't the JURIA-SYSTEM demonstrate its prowess best in situations like this?!\Commence Operation Night Blow!\Commence the operation!\Mission: Start!\I had the units fully outfitted just to be safe\as we were unsure what type of enemy vessels they may encounter.\That's a given!\Attack! response:	Orders to attack?
context: Commence Operation Night Blow!\Commence the operation!\Mission: Start!\I had the units fully outfitted just to be safe\as we were unsure what type of enemy vessels they may encounter.\That's a given!\Attack!\Orders to attack? response:	My AHSMB is terrified!
context: Commence the operation!\Mission: Start!\I had the units fully outfitted just to be safe\as we were unsure what type of enemy vessels they may encounter.\That's a given!\Attack!\Orders to attack?\My AHSMB is terrified! response:	You mean you are!
context: Mission: Start!\I had the units fully outfitted just to be safe\as we were unsure what type of enemy vessels they may encounter.\That's a given!\Attack!\Orders to attack?\My AHSMB is terrified!\You mean you are! response:	No!
context: I had the units fully outfitted just to be safe\as we were unsure what type of enemy vessels they may encounter.\That's a given!\Attack!\Orders to attack?\My AHSMB is terrified!\You mean you are!\No! response:	Don't run from a fight! Attack!
context: as we were unsure what type of enemy vessels they may encounter.\That's a given!\Attack!\Orders to attack?\My AHSMB is terrified!\You mean you are!\No!\Don't run from a fight! Attack! response:	I'll cover you!
context: That's a given!\Attack!\Orders to attack?\My AHSMB is terrified!\You mean you are!\No!\Don't run from a fight! Attack!\I'll cover you! response:	They're quick!
context: Attack!\Orders to attack?\My AHSMB is terrified!\You mean you are!\No!\Don't run from a fight! Attack!\I'll cover you!\They're quick! response:	They're fast! This squadron is using cutting-edge units!
context: Orders to attack?\My AHSMB is terrified!\You mean you are!\No!\Don't run from a fight! Attack!\I'll cover you!\They're quick!\They're fast! This squadron is using cutting-edge units! response:	Incoming attack from the front right!
context: My AHSMB is terrified!\You mean you are!\No!\Don't run from a fight! Attack!\I'll cover you!\They're quick!\They're fast! This squadron is using cutting-edge units!\Incoming attack from the front right! response:	They're quick to dodge.
context: You mean you are!\No!\Don't run from a fight! Attack!\I'll cover you!\They're quick!\They're fast! This squadron is using cutting-edge units!\Incoming attack from the front right!\They're quick to dodge. response:	Here's the next attack!
context: No!\Don't run from a fight! Attack!\I'll cover you!\They're quick!\They're fast! This squadron is using cutting-edge units!\Incoming attack from the front right!\They're quick to dodge.\Here's the next attack! response:	And they're good at defense.
context: Don't run from a fight! Attack!\I'll cover you!\They're quick!\They're fast! This squadron is using cutting-edge units!\Incoming attack from the front right!\They're quick to dodge.\Here's the next attack!\And they're good at defense. response:	They can't win! Issue a retreat.
context: I'll cover you!\They're quick!\They're fast! This squadron is using cutting-edge units!\Incoming attack from the front right!\They're quick to dodge.\Here's the next attack!\And they're good at defense.\They can't win! Issue a retreat. response:	I can't do that!
context: They're quick!\They're fast! This squadron is using cutting-edge units!\Incoming attack from the front right!\They're quick to dodge.\Here's the next attack!\And they're good at defense.\They can't win! Issue a retreat.\I can't do that! response:	We are clearly at a disadvantage!
context: They're fast! This squadron is using cutting-edge units!\Incoming attack from the front right!\They're quick to dodge.\Here's the next attack!\And they're good at defense.\They can't win! Issue a retreat.\I can't do that!\We are clearly at a disadvantage! response:	If you're going to state your opinion, give information to back it!
context: Incoming attack from the front right!\They're quick to dodge.\Here's the next attack!\And they're good at defense.\They can't win! Issue a retreat.\I can't do that!\We are clearly at a disadvantage!\If you're going to state your opinion, give information to back it! response:	How are they at a disadvantage?!
context: They're quick to dodge.\Here's the next attack!\And they're good at defense.\They can't win! Issue a retreat.\I can't do that!\We are clearly at a disadvantage!\If you're going to state your opinion, give information to back it!\How are they at a disadvantage?! response:	Can't you see that for yourself?
context: Here's the next attack!\And they're good at defense.\They can't win! Issue a retreat.\I can't do that!\We are clearly at a disadvantage!\If you're going to state your opinion, give information to back it!\How are they at a disadvantage?!\Can't you see that for yourself? response:	I can't hit'em!
context: And they're good at defense.\They can't win! Issue a retreat.\I can't do that!\We are clearly at a disadvantage!\If you're going to state your opinion, give information to back it!\How are they at a disadvantage?!\Can't you see that for yourself?\I can't hit'em! response:	How are we supposed to fight them?!
context: They can't win! Issue a retreat.\I can't do that!\We are clearly at a disadvantage!\If you're going to state your opinion, give information to back it!\How are they at a disadvantage?!\Can't you see that for yourself?\I can't hit'em!\How are we supposed to fight them?! response:	Rose 3!
context: I can't do that!\We are clearly at a disadvantage!\If you're going to state your opinion, give information to back it!\How are they at a disadvantage?!\Can't you see that for yourself?\I can't hit'em!\How are we supposed to fight them?!\Rose 3! response:	S-sir!
context: We are clearly at a disadvantage!\If you're going to state your opinion, give information to back it!\How are they at a disadvantage?!\Can't you see that for yourself?\I can't hit'em!\How are we supposed to fight them?!\Rose 3!\S-sir! response:	What are you doing?! Charge!
context: If you're going to state your opinion, give information to back it!\How are they at a disadvantage?!\Can't you see that for yourself?\I can't hit'em!\How are we supposed to fight them?!\Rose 3!\S-sir!\What are you doing?! Charge! response:	Didn't you hear me? Charge at full speed!
context: How are they at a disadvantage?!\Can't you see that for yourself?\I can't hit'em!\How are we supposed to fight them?!\Rose 3!\S-sir!\What are you doing?! Charge!\Didn't you hear me? Charge at full speed! response:	Uh, okay!
context: Can't you see that for yourself?\I can't hit'em!\How are we supposed to fight them?!\Rose 3!\S-sir!\What are you doing?! Charge!\Didn't you hear me? Charge at full speed!\Uh, okay! response:	Wait, Tamaki!
context: I can't hit'em!\How are we supposed to fight them?!\Rose 3!\S-sir!\What are you doing?! Charge!\Didn't you hear me? Charge at full speed!\Uh, okay!\Wait, Tamaki! response:	Rose 3, activate shields!
context: How are we supposed to fight them?!\Rose 3!\S-sir!\What are you doing?! Charge!\Didn't you hear me? Charge at full speed!\Uh, okay!\Wait, Tamaki!\Rose 3, activate shields! response:	Tamaki?!
context: Rose 3!\S-sir!\What are you doing?! Charge!\Didn't you hear me? Charge at full speed!\Uh, okay!\Wait, Tamaki!\Rose 3, activate shields!\Tamaki?! response:	My shields...!
context: S-sir!\What are you doing?! Charge!\Didn't you hear me? Charge at full speed!\Uh, okay!\Wait, Tamaki!\Rose 3, activate shields!\Tamaki?!\My shields...! response:	Tamaki!
context: What are you doing?! Charge!\Didn't you hear me? Charge at full speed!\Uh, okay!\Wait, Tamaki!\Rose 3, activate shields!\Tamaki?!\My shields...!\Tamaki! response:	Loss
