context: As a present for our classmate Futa's birthday, response:	I went to Waka's house to bake a ball-shaped cake.
context: The Earth really is a giant magnet! Next Episode: Franklin's Spirit of Defiance\This is an incredible discovery! Next Episode: Franklin's Spirit of Defiance\Next Episode: Franklin's Spirit of Defiance\Mari and Waka's Quick Science\Mari and Waka's Quick Science! Mari and Waka's Quick Science\Mr. Gilbert said Earth was a giant magnet.\But I have no idea what he's talking about.\Me neither! response:	Crust Mantle Outer Core Inner Core
context: This is an incredible discovery! Next Episode: Franklin's Spirit of Defiance\Next Episode: Franklin's Spirit of Defiance\Mari and Waka's Quick Science\Mari and Waka's Quick Science! Mari and Waka's Quick Science\Mr. Gilbert said Earth was a giant magnet.\But I have no idea what he's talking about.\Me neither!\Crust Mantle Outer Core Inner Core response:	The Earth is made up of four layers. Crust Mantle Outer Core Inner Core
context: Next Episode: Franklin's Spirit of Defiance\Mari and Waka's Quick Science\Mari and Waka's Quick Science! Mari and Waka's Quick Science\Mr. Gilbert said Earth was a giant magnet.\But I have no idea what he's talking about.\Me neither!\Crust Mantle Outer Core Inner Core\The Earth is made up of four layers. Crust Mantle Outer Core Inner Core response:	The outer core is believed to contain iron, nickel, and other things, Crust Mantle Outer Core Inner Core
context: Mari and Waka's Quick Science\Mari and Waka's Quick Science! Mari and Waka's Quick Science\Mr. Gilbert said Earth was a giant magnet.\But I have no idea what he's talking about.\Me neither!\Crust Mantle Outer Core Inner Core\The Earth is made up of four layers. Crust Mantle Outer Core Inner Core\The outer core is believed to contain iron, nickel, and other things, Crust Mantle Outer Core Inner Core response:	liquefied at high temperatures. Crust Mantle Outer Core Inner Core
context: Mari and Waka's Quick Science! Mari and Waka's Quick Science\Mr. Gilbert said Earth was a giant magnet.\But I have no idea what he's talking about.\Me neither!\Crust Mantle Outer Core Inner Core\The Earth is made up of four layers. Crust Mantle Outer Core Inner Core\The outer core is believed to contain iron, nickel, and other things, Crust Mantle Outer Core Inner Core\liquefied at high temperatures. Crust Mantle Outer Core Inner Core response:	Crust Mantle Outer Core Inner Core
context: Mr. Gilbert said Earth was a giant magnet.\But I have no idea what he's talking about.\Me neither!\Crust Mantle Outer Core Inner Core\The Earth is made up of four layers. Crust Mantle Outer Core Inner Core\The outer core is believed to contain iron, nickel, and other things, Crust Mantle Outer Core Inner Core\liquefied at high temperatures. Crust Mantle Outer Core Inner Core\Crust Mantle Outer Core Inner Core response:	Outer Core
context: But I have no idea what he's talking about.\Me neither!\Crust Mantle Outer Core Inner Core\The Earth is made up of four layers. Crust Mantle Outer Core Inner Core\The outer core is believed to contain iron, nickel, and other things, Crust Mantle Outer Core Inner Core\liquefied at high temperatures. Crust Mantle Outer Core Inner Core\Crust Mantle Outer Core Inner Core\Outer Core response:	Outer Core When the liquefied iron and nickel in the outer core moves, it creates an electric charge.
context: Me neither!\Crust Mantle Outer Core Inner Core\The Earth is made up of four layers. Crust Mantle Outer Core Inner Core\The outer core is believed to contain iron, nickel, and other things, Crust Mantle Outer Core Inner Core\liquefied at high temperatures. Crust Mantle Outer Core Inner Core\Crust Mantle Outer Core Inner Core\Outer Core\Outer Core When the liquefied iron and nickel in the outer core moves, it creates an electric charge. response:	Outer Core This electricity flows in a ring through the outer core, producing a magnetic charge.
context: Crust Mantle Outer Core Inner Core\The Earth is made up of four layers. Crust Mantle Outer Core Inner Core\The outer core is believed to contain iron, nickel, and other things, Crust Mantle Outer Core Inner Core\liquefied at high temperatures. Crust Mantle Outer Core Inner Core\Crust Mantle Outer Core Inner Core\Outer Core\Outer Core When the liquefied iron and nickel in the outer core moves, it creates an electric charge.\Outer Core This electricity flows in a ring through the outer core, producing a magnetic charge. response:	This electricity flows in a ring through the outer core, producing a magnetic charge.
context: The Earth is made up of four layers. Crust Mantle Outer Core Inner Core\The outer core is believed to contain iron, nickel, and other things, Crust Mantle Outer Core Inner Core\liquefied at high temperatures. Crust Mantle Outer Core Inner Core\Crust Mantle Outer Core Inner Core\Outer Core\Outer Core When the liquefied iron and nickel in the outer core moves, it creates an electric charge.\Outer Core This electricity flows in a ring through the outer core, producing a magnetic charge.\This electricity flows in a ring through the outer core, producing a magnetic charge. response:	This is why the Earth is like a magnet.
context: The outer core is believed to contain iron, nickel, and other things, Crust Mantle Outer Core Inner Core\liquefied at high temperatures. Crust Mantle Outer Core Inner Core\Crust Mantle Outer Core Inner Core\Outer Core\Outer Core When the liquefied iron and nickel in the outer core moves, it creates an electric charge.\Outer Core This electricity flows in a ring through the outer core, producing a magnetic charge.\This electricity flows in a ring through the outer core, producing a magnetic charge.\This is why the Earth is like a magnet. response:	Oh, I thought there was just a big magnet buried in there.
context: liquefied at high temperatures. Crust Mantle Outer Core Inner Core\Crust Mantle Outer Core Inner Core\Outer Core\Outer Core When the liquefied iron and nickel in the outer core moves, it creates an electric charge.\Outer Core This electricity flows in a ring through the outer core, producing a magnetic charge.\This electricity flows in a ring through the outer core, producing a magnetic charge.\This is why the Earth is like a magnet.\Oh, I thought there was just a big magnet buried in there. response:	If you have a magnetized metal,
context: Crust Mantle Outer Core Inner Core\Outer Core\Outer Core When the liquefied iron and nickel in the outer core moves, it creates an electric charge.\Outer Core This electricity flows in a ring through the outer core, producing a magnetic charge.\This electricity flows in a ring through the outer core, producing a magnetic charge.\This is why the Earth is like a magnet.\Oh, I thought there was just a big magnet buried in there.\If you have a magnetized metal, response:	it loses its magnetic charge at very high temperatures.
context: Outer Core\Outer Core When the liquefied iron and nickel in the outer core moves, it creates an electric charge.\Outer Core This electricity flows in a ring through the outer core, producing a magnetic charge.\This electricity flows in a ring through the outer core, producing a magnetic charge.\This is why the Earth is like a magnet.\Oh, I thought there was just a big magnet buried in there.\If you have a magnetized metal,\it loses its magnetic charge at very high temperatures. response:	Oh, really?
context: Outer Core When the liquefied iron and nickel in the outer core moves, it creates an electric charge.\Outer Core This electricity flows in a ring through the outer core, producing a magnetic charge.\This electricity flows in a ring through the outer core, producing a magnetic charge.\This is why the Earth is like a magnet.\Oh, I thought there was just a big magnet buried in there.\If you have a magnetized metal,\it loses its magnetic charge at very high temperatures.\Oh, really? response:	We should experiment and see if it's true!
context: Outer Core This electricity flows in a ring through the outer core, producing a magnetic charge.\This electricity flows in a ring through the outer core, producing a magnetic charge.\This is why the Earth is like a magnet.\Oh, I thought there was just a big magnet buried in there.\If you have a magnetized metal,\it loses its magnetic charge at very high temperatures.\Oh, really?\We should experiment and see if it's true! response:	It's not sticking.
context: This electricity flows in a ring through the outer core, producing a magnetic charge.\This is why the Earth is like a magnet.\Oh, I thought there was just a big magnet buried in there.\If you have a magnetized metal,\it loses its magnetic charge at very high temperatures.\Oh, really?\We should experiment and see if it's true!\It's not sticking. response:	If we magnetize this nail with a magnet...
context: This is why the Earth is like a magnet.\Oh, I thought there was just a big magnet buried in there.\If you have a magnetized metal,\it loses its magnetic charge at very high temperatures.\Oh, really?\We should experiment and see if it's true!\It's not sticking.\If we magnetize this nail with a magnet... response:	Now let's heat this nail with a gas burner.
context: Oh, I thought there was just a big magnet buried in there.\If you have a magnetized metal,\it loses its magnetic charge at very high temperatures.\Oh, really?\We should experiment and see if it's true!\It's not sticking.\If we magnetize this nail with a magnet...\Now let's heat this nail with a gas burner. response:	They fell!
context: If you have a magnetized metal,\it loses its magnetic charge at very high temperatures.\Oh, really?\We should experiment and see if it's true!\It's not sticking.\If we magnetize this nail with a magnet...\Now let's heat this nail with a gas burner.\They fell! response:	The heat took away the magnet's power!
context: it loses its magnetic charge at very high temperatures.\Oh, really?\We should experiment and see if it's true!\It's not sticking.\If we magnetize this nail with a magnet...\Now let's heat this nail with a gas burner.\They fell!\The heat took away the magnet's power! response:	And since the center of the Earth is really hot,
context: Oh, really?\We should experiment and see if it's true!\It's not sticking.\If we magnetize this nail with a magnet...\Now let's heat this nail with a gas burner.\They fell!\The heat took away the magnet's power!\And since the center of the Earth is really hot, response:	that proves there can't be a giant magnet buried there!
