context: Rendezvous in the blue sky, cuckoo response:	Discovery of the Suspect's Body
context: Why would the murderer go out of their way\to hand over that suitcase in front of the victim's home?\It was so the person who lived there wouldn't be suspected, right, Osada An?\I wanted to sing...\I'm sure.\Your singing is wonderful...\I was a child when Yonagahime was formed, so I didn't really understand.\It didn't bother me that my voice was being used for Anzai Eri. response:	Since I could hear my voice on TV every day...
context: to hand over that suitcase in front of the victim's home?\It was so the person who lived there wouldn't be suspected, right, Osada An?\I wanted to sing...\I'm sure.\Your singing is wonderful...\I was a child when Yonagahime was formed, so I didn't really understand.\It didn't bother me that my voice was being used for Anzai Eri.\Since I could hear my voice on TV every day... response:	But after the war was over, the feeling behind my songs,
context: It was so the person who lived there wouldn't be suspected, right, Osada An?\I wanted to sing...\I'm sure.\Your singing is wonderful...\I was a child when Yonagahime was formed, so I didn't really understand.\It didn't bother me that my voice was being used for Anzai Eri.\Since I could hear my voice on TV every day...\But after the war was over, the feeling behind my songs, response:	to cheer up a gloomy Japan in the face of defeat in war, all but disappeared...
context: I wanted to sing...\I'm sure.\Your singing is wonderful...\I was a child when Yonagahime was formed, so I didn't really understand.\It didn't bother me that my voice was being used for Anzai Eri.\Since I could hear my voice on TV every day...\But after the war was over, the feeling behind my songs,\to cheer up a gloomy Japan in the face of defeat in war, all but disappeared... response:	But even so, Mom told me I couldn't sing!
context: I'm sure.\Your singing is wonderful...\I was a child when Yonagahime was formed, so I didn't really understand.\It didn't bother me that my voice was being used for Anzai Eri.\Since I could hear my voice on TV every day...\But after the war was over, the feeling behind my songs,\to cheer up a gloomy Japan in the face of defeat in war, all but disappeared...\But even so, Mom told me I couldn't sing! response:	Talk about me becoming a singer was all thrown out!
context: Your singing is wonderful...\I was a child when Yonagahime was formed, so I didn't really understand.\It didn't bother me that my voice was being used for Anzai Eri.\Since I could hear my voice on TV every day...\But after the war was over, the feeling behind my songs,\to cheer up a gloomy Japan in the face of defeat in war, all but disappeared...\But even so, Mom told me I couldn't sing!\Talk about me becoming a singer was all thrown out! response:	But I didn't want to give in!
context: I was a child when Yonagahime was formed, so I didn't really understand.\It didn't bother me that my voice was being used for Anzai Eri.\Since I could hear my voice on TV every day...\But after the war was over, the feeling behind my songs,\to cheer up a gloomy Japan in the face of defeat in war, all but disappeared...\But even so, Mom told me I couldn't sing!\Talk about me becoming a singer was all thrown out!\But I didn't want to give in! response:	I wanted to have faith that my dream would come true!
context: It didn't bother me that my voice was being used for Anzai Eri.\Since I could hear my voice on TV every day...\But after the war was over, the feeling behind my songs,\to cheer up a gloomy Japan in the face of defeat in war, all but disappeared...\But even so, Mom told me I couldn't sing!\Talk about me becoming a singer was all thrown out!\But I didn't want to give in!\I wanted to have faith that my dream would come true! response:	That's why I thought the Dol-pli data would be okay,
context: Since I could hear my voice on TV every day...\But after the war was over, the feeling behind my songs,\to cheer up a gloomy Japan in the face of defeat in war, all but disappeared...\But even so, Mom told me I couldn't sing!\Talk about me becoming a singer was all thrown out!\But I didn't want to give in!\I wanted to have faith that my dream would come true!\That's why I thought the Dol-pli data would be okay, response:	since my name wouldn't be on it...
context: But after the war was over, the feeling behind my songs,\to cheer up a gloomy Japan in the face of defeat in war, all but disappeared...\But even so, Mom told me I couldn't sing!\Talk about me becoming a singer was all thrown out!\But I didn't want to give in!\I wanted to have faith that my dream would come true!\That's why I thought the Dol-pli data would be okay,\since my name wouldn't be on it... response:	But she said I couldn't do that either...
context: to cheer up a gloomy Japan in the face of defeat in war, all but disappeared...\But even so, Mom told me I couldn't sing!\Talk about me becoming a singer was all thrown out!\But I didn't want to give in!\I wanted to have faith that my dream would come true!\That's why I thought the Dol-pli data would be okay,\since my name wouldn't be on it...\But she said I couldn't do that either... response:	She said if somebody figured out it was the voice of Eri,
context: But even so, Mom told me I couldn't sing!\Talk about me becoming a singer was all thrown out!\But I didn't want to give in!\I wanted to have faith that my dream would come true!\That's why I thought the Dol-pli data would be okay,\since my name wouldn't be on it...\But she said I couldn't do that either...\She said if somebody figured out it was the voice of Eri, response:	the girl who was supposed to be dead, it would cause trouble for some people.
context: Talk about me becoming a singer was all thrown out!\But I didn't want to give in!\I wanted to have faith that my dream would come true!\That's why I thought the Dol-pli data would be okay,\since my name wouldn't be on it...\But she said I couldn't do that either...\She said if somebody figured out it was the voice of Eri,\the girl who was supposed to be dead, it would cause trouble for some people. response:	Mom stole my songs... and Yonagahime from me!
context: But I didn't want to give in!\I wanted to have faith that my dream would come true!\That's why I thought the Dol-pli data would be okay,\since my name wouldn't be on it...\But she said I couldn't do that either...\She said if somebody figured out it was the voice of Eri,\the girl who was supposed to be dead, it would cause trouble for some people.\Mom stole my songs... and Yonagahime from me! response:	For eternity,
context: I wanted to have faith that my dream would come true!\That's why I thought the Dol-pli data would be okay,\since my name wouldn't be on it...\But she said I couldn't do that either...\She said if somebody figured out it was the voice of Eri,\the girl who was supposed to be dead, it would cause trouble for some people.\Mom stole my songs... and Yonagahime from me!\For eternity, response:	We are kept in solitude
context: That's why I thought the Dol-pli data would be okay,\since my name wouldn't be on it...\But she said I couldn't do that either...\She said if somebody figured out it was the voice of Eri,\the girl who was supposed to be dead, it would cause trouble for some people.\Mom stole my songs... and Yonagahime from me!\For eternity,\We are kept in solitude response:	We're gonna protect the young girl who keeps praying
context: since my name wouldn't be on it...\But she said I couldn't do that either...\She said if somebody figured out it was the voice of Eri,\the girl who was supposed to be dead, it would cause trouble for some people.\Mom stole my songs... and Yonagahime from me!\For eternity,\We are kept in solitude\We're gonna protect the young girl who keeps praying response:	Making those eyes glisten
context: But she said I couldn't do that either...\She said if somebody figured out it was the voice of Eri,\the girl who was supposed to be dead, it would cause trouble for some people.\Mom stole my songs... and Yonagahime from me!\For eternity,\We are kept in solitude\We're gonna protect the young girl who keeps praying\Making those eyes glisten response:	Is the biggest sin
context: She said if somebody figured out it was the voice of Eri,\the girl who was supposed to be dead, it would cause trouble for some people.\Mom stole my songs... and Yonagahime from me!\For eternity,\We are kept in solitude\We're gonna protect the young girl who keeps praying\Making those eyes glisten\Is the biggest sin response:	Wave her flag of courage with love...
context: the girl who was supposed to be dead, it would cause trouble for some people.\Mom stole my songs... and Yonagahime from me!\For eternity,\We are kept in solitude\We're gonna protect the young girl who keeps praying\Making those eyes glisten\Is the biggest sin\Wave her flag of courage with love... response:	But even that last phone call shot down my chance at becoming a singer.
context: Mom stole my songs... and Yonagahime from me!\For eternity,\We are kept in solitude\We're gonna protect the young girl who keeps praying\Making those eyes glisten\Is the biggest sin\Wave her flag of courage with love...\But even that last phone call shot down my chance at becoming a singer. response:	The suspect, Aramaki, was found dead.
context: For eternity,\We are kept in solitude\We're gonna protect the young girl who keeps praying\Making those eyes glisten\Is the biggest sin\Wave her flag of courage with love...\But even that last phone call shot down my chance at becoming a singer.\The suspect, Aramaki, was found dead. response:	It was a crime of passion.
context: We are kept in solitude\We're gonna protect the young girl who keeps praying\Making those eyes glisten\Is the biggest sin\Wave her flag of courage with love...\But even that last phone call shot down my chance at becoming a singer.\The suspect, Aramaki, was found dead.\It was a crime of passion. response:	Aramaki Toshiji
context: We're gonna protect the young girl who keeps praying\Making those eyes glisten\Is the biggest sin\Wave her flag of courage with love...\But even that last phone call shot down my chance at becoming a singer.\The suspect, Aramaki, was found dead.\It was a crime of passion.\Aramaki Toshiji response:	The Victim's Lover
context: Making those eyes glisten\Is the biggest sin\Wave her flag of courage with love...\But even that last phone call shot down my chance at becoming a singer.\The suspect, Aramaki, was found dead.\It was a crime of passion.\Aramaki Toshiji\The Victim's Lover response:	When he realized that he couldn't escape, he committed suicide.
context: Is the biggest sin\Wave her flag of courage with love...\But even that last phone call shot down my chance at becoming a singer.\The suspect, Aramaki, was found dead.\It was a crime of passion.\Aramaki Toshiji\The Victim's Lover\When he realized that he couldn't escape, he committed suicide. response:	You killed him?
context: Wave her flag of courage with love...\But even that last phone call shot down my chance at becoming a singer.\The suspect, Aramaki, was found dead.\It was a crime of passion.\Aramaki Toshiji\The Victim's Lover\When he realized that he couldn't escape, he committed suicide.\You killed him? response:	Kaishou's deduction...
context: But even that last phone call shot down my chance at becoming a singer.\The suspect, Aramaki, was found dead.\It was a crime of passion.\Aramaki Toshiji\The Victim's Lover\When he realized that he couldn't escape, he committed suicide.\You killed him?\Kaishou's deduction... response:	The murderer was Aramaki.
context: The suspect, Aramaki, was found dead.\It was a crime of passion.\Aramaki Toshiji\The Victim's Lover\When he realized that he couldn't escape, he committed suicide.\You killed him?\Kaishou's deduction...\The murderer was Aramaki. response:	Still, as before, Osada An's voice will not be made public.
context: It was a crime of passion.\Aramaki Toshiji\The Victim's Lover\When he realized that he couldn't escape, he committed suicide.\You killed him?\Kaishou's deduction...\The murderer was Aramaki.\Still, as before, Osada An's voice will not be made public. response:	It's a measure we're taking under the New Internet Privacy and Protection Act.
context: Aramaki Toshiji\The Victim's Lover\When he realized that he couldn't escape, he committed suicide.\You killed him?\Kaishou's deduction...\The murderer was Aramaki.\Still, as before, Osada An's voice will not be made public.\It's a measure we're taking under the New Internet Privacy and Protection Act. response:	But...
context: The Victim's Lover\When he realized that he couldn't escape, he committed suicide.\You killed him?\Kaishou's deduction...\The murderer was Aramaki.\Still, as before, Osada An's voice will not be made public.\It's a measure we're taking under the New Internet Privacy and Protection Act.\But... response:	If that's the case, then what did I kill Mom for?!
context: When he realized that he couldn't escape, he committed suicide.\You killed him?\Kaishou's deduction...\The murderer was Aramaki.\Still, as before, Osada An's voice will not be made public.\It's a measure we're taking under the New Internet Privacy and Protection Act.\But...\If that's the case, then what did I kill Mom for?! response:	Huh? Have you suffered a breakdown?
context: You killed him?\Kaishou's deduction...\The murderer was Aramaki.\Still, as before, Osada An's voice will not be made public.\It's a measure we're taking under the New Internet Privacy and Protection Act.\But...\If that's the case, then what did I kill Mom for?!\Huh? Have you suffered a breakdown? response:	Of course.
context: Kaishou's deduction...\The murderer was Aramaki.\Still, as before, Osada An's voice will not be made public.\It's a measure we're taking under the New Internet Privacy and Protection Act.\But...\If that's the case, then what did I kill Mom for?!\Huh? Have you suffered a breakdown?\Of course. response:	People die. Things break down.
context: The murderer was Aramaki.\Still, as before, Osada An's voice will not be made public.\It's a measure we're taking under the New Internet Privacy and Protection Act.\But...\If that's the case, then what did I kill Mom for?!\Huh? Have you suffered a breakdown?\Of course.\People die. Things break down. response:	Nothing is unbreakable.
context: Still, as before, Osada An's voice will not be made public.\It's a measure we're taking under the New Internet Privacy and Protection Act.\But...\If that's the case, then what did I kill Mom for?!\Huh? Have you suffered a breakdown?\Of course.\People die. Things break down.\Nothing is unbreakable. response:	And of course, I will break as well.
context: It's a measure we're taking under the New Internet Privacy and Protection Act.\But...\If that's the case, then what did I kill Mom for?!\Huh? Have you suffered a breakdown?\Of course.\People die. Things break down.\Nothing is unbreakable.\And of course, I will break as well. response:	I'm just searching.
context: But...\If that's the case, then what did I kill Mom for?!\Huh? Have you suffered a breakdown?\Of course.\People die. Things break down.\Nothing is unbreakable.\And of course, I will break as well.\I'm just searching. response:	Why am I searching?
context: If that's the case, then what did I kill Mom for?!\Huh? Have you suffered a breakdown?\Of course.\People die. Things break down.\Nothing is unbreakable.\And of course, I will break as well.\I'm just searching.\Why am I searching? response:	Because I'm not so important to exist without looking for something.
context: Huh? Have you suffered a breakdown?\Of course.\People die. Things break down.\Nothing is unbreakable.\And of course, I will break as well.\I'm just searching.\Why am I searching?\Because I'm not so important to exist without looking for something. response:	I search.
context: Of course.\People die. Things break down.\Nothing is unbreakable.\And of course, I will break as well.\I'm just searching.\Why am I searching?\Because I'm not so important to exist without looking for something.\I search. response:	Kaishou Rinroku!
context: People die. Things break down.\Nothing is unbreakable.\And of course, I will break as well.\I'm just searching.\Why am I searching?\Because I'm not so important to exist without looking for something.\I search.\Kaishou Rinroku! response:	You people created the story
context: Nothing is unbreakable.\And of course, I will break as well.\I'm just searching.\Why am I searching?\Because I'm not so important to exist without looking for something.\I search.\Kaishou Rinroku!\You people created the story response:	that Anzai Eri was a victim of terrorism, didn't you?!
context: And of course, I will break as well.\I'm just searching.\Why am I searching?\Because I'm not so important to exist without looking for something.\I search.\Kaishou Rinroku!\You people created the story\that Anzai Eri was a victim of terrorism, didn't you?! response:	The footage of Eri was faked, too.
context: I'm just searching.\Why am I searching?\Because I'm not so important to exist without looking for something.\I search.\Kaishou Rinroku!\You people created the story\that Anzai Eri was a victim of terrorism, didn't you?!\The footage of Eri was faked, too. response:	Yonagahime was an idol group formed to raise spirits during the war.
context: Why am I searching?\Because I'm not so important to exist without looking for something.\I search.\Kaishou Rinroku!\You people created the story\that Anzai Eri was a victim of terrorism, didn't you?!\The footage of Eri was faked, too.\Yonagahime was an idol group formed to raise spirits during the war. response:	But after the war, it would've caused you trouble if that trick were exposed.
context: Because I'm not so important to exist without looking for something.\I search.\Kaishou Rinroku!\You people created the story\that Anzai Eri was a victim of terrorism, didn't you?!\The footage of Eri was faked, too.\Yonagahime was an idol group formed to raise spirits during the war.\But after the war, it would've caused you trouble if that trick were exposed. response:	That's why you people...
context: I search.\Kaishou Rinroku!\You people created the story\that Anzai Eri was a victim of terrorism, didn't you?!\The footage of Eri was faked, too.\Yonagahime was an idol group formed to raise spirits during the war.\But after the war, it would've caused you trouble if that trick were exposed.\That's why you people... response:	Oh, come on. A conspiracy theory?
context: Kaishou Rinroku!\You people created the story\that Anzai Eri was a victim of terrorism, didn't you?!\The footage of Eri was faked, too.\Yonagahime was an idol group formed to raise spirits during the war.\But after the war, it would've caused you trouble if that trick were exposed.\That's why you people...\Oh, come on. A conspiracy theory? response:	All right! Get started!
context: You people created the story\that Anzai Eri was a victim of terrorism, didn't you?!\The footage of Eri was faked, too.\Yonagahime was an idol group formed to raise spirits during the war.\But after the war, it would've caused you trouble if that trick were exposed.\That's why you people...\Oh, come on. A conspiracy theory?\All right! Get started! response:	Illegal Data Detected File Has Been Deleted
context: that Anzai Eri was a victim of terrorism, didn't you?!\The footage of Eri was faked, too.\Yonagahime was an idol group formed to raise spirits during the war.\But after the war, it would've caused you trouble if that trick were exposed.\That's why you people...\Oh, come on. A conspiracy theory?\All right! Get started!\Illegal Data Detected File Has Been Deleted response:	Shit!
context: The footage of Eri was faked, too.\Yonagahime was an idol group formed to raise spirits during the war.\But after the war, it would've caused you trouble if that trick were exposed.\That's why you people...\Oh, come on. A conspiracy theory?\All right! Get started!\Illegal Data Detected File Has Been Deleted\Shit! response:	What the hell?
context: Yonagahime was an idol group formed to raise spirits during the war.\But after the war, it would've caused you trouble if that trick were exposed.\That's why you people...\Oh, come on. A conspiracy theory?\All right! Get started!\Illegal Data Detected File Has Been Deleted\Shit!\What the hell? response:	The lights of the city are so pretty... Yokohama.
context: But after the war, it would've caused you trouble if that trick were exposed.\That's why you people...\Oh, come on. A conspiracy theory?\All right! Get started!\Illegal Data Detected File Has Been Deleted\Shit!\What the hell?\The lights of the city are so pretty... Yokohama. response:	Blue Light Yokohama with you...
context: That's why you people...\Oh, come on. A conspiracy theory?\All right! Get started!\Illegal Data Detected File Has Been Deleted\Shit!\What the hell?\The lights of the city are so pretty... Yokohama.\Blue Light Yokohama with you... response:	The murderer of the wealthy Yokohama woman
context: Oh, come on. A conspiracy theory?\All right! Get started!\Illegal Data Detected File Has Been Deleted\Shit!\What the hell?\The lights of the city are so pretty... Yokohama.\Blue Light Yokohama with you...\The murderer of the wealthy Yokohama woman response:	was correctly deduced by Kaishou Rinroku,
context: All right! Get started!\Illegal Data Detected File Has Been Deleted\Shit!\What the hell?\The lights of the city are so pretty... Yokohama.\Blue Light Yokohama with you...\The murderer of the wealthy Yokohama woman\was correctly deduced by Kaishou Rinroku, response:	the Chairman of JJ Network System Holdings.
context: Illegal Data Detected File Has Been Deleted\Shit!\What the hell?\The lights of the city are so pretty... Yokohama.\Blue Light Yokohama with you...\The murderer of the wealthy Yokohama woman\was correctly deduced by Kaishou Rinroku,\the Chairman of JJ Network System Holdings. response:	Detective?
context: Shit!\What the hell?\The lights of the city are so pretty... Yokohama.\Blue Light Yokohama with you...\The murderer of the wealthy Yokohama woman\was correctly deduced by Kaishou Rinroku,\the Chairman of JJ Network System Holdings.\Detective? response:	Our usual word of love, Yokohama
context: What the hell?\The lights of the city are so pretty... Yokohama.\Blue Light Yokohama with you...\The murderer of the wealthy Yokohama woman\was correctly deduced by Kaishou Rinroku,\the Chairman of JJ Network System Holdings.\Detective?\Our usual word of love, Yokohama response:	Wherever we walk, wherever we walk
context: The lights of the city are so pretty... Yokohama.\Blue Light Yokohama with you...\The murderer of the wealthy Yokohama woman\was correctly deduced by Kaishou Rinroku,\the Chairman of JJ Network System Holdings.\Detective?\Our usual word of love, Yokohama\Wherever we walk, wherever we walk response:	It's like being in a small boat
context: Blue Light Yokohama with you...\The murderer of the wealthy Yokohama woman\was correctly deduced by Kaishou Rinroku,\the Chairman of JJ Network System Holdings.\Detective?\Our usual word of love, Yokohama\Wherever we walk, wherever we walk\It's like being in a small boat response:	The way I rock
context: The murderer of the wealthy Yokohama woman\was correctly deduced by Kaishou Rinroku,\the Chairman of JJ Network System Holdings.\Detective?\Our usual word of love, Yokohama\Wherever we walk, wherever we walk\It's like being in a small boat\The way I rock response:	The way I rock in your arms
context: was correctly deduced by Kaishou Rinroku,\the Chairman of JJ Network System Holdings.\Detective?\Our usual word of love, Yokohama\Wherever we walk, wherever we walk\It's like being in a small boat\The way I rock\The way I rock in your arms response:	In the pale morning mist, a whispered prayer
context: the Chairman of JJ Network System Holdings.\Detective?\Our usual word of love, Yokohama\Wherever we walk, wherever we walk\It's like being in a small boat\The way I rock\The way I rock in your arms\In the pale morning mist, a whispered prayer response:	I'm gonna follow this twisted landscape with you
context: Detective?\Our usual word of love, Yokohama\Wherever we walk, wherever we walk\It's like being in a small boat\The way I rock\The way I rock in your arms\In the pale morning mist, a whispered prayer\I'm gonna follow this twisted landscape with you response:	Looking for the truth, a'lie' will do is it?
context: Our usual word of love, Yokohama\Wherever we walk, wherever we walk\It's like being in a small boat\The way I rock\The way I rock in your arms\In the pale morning mist, a whispered prayer\I'm gonna follow this twisted landscape with you\Looking for the truth, a'lie' will do is it? response:	Tracing it as if we can see through
context: Wherever we walk, wherever we walk\It's like being in a small boat\The way I rock\The way I rock in your arms\In the pale morning mist, a whispered prayer\I'm gonna follow this twisted landscape with you\Looking for the truth, a'lie' will do is it?\Tracing it as if we can see through response:	Looking for, beyond words
context: It's like being in a small boat\The way I rock\The way I rock in your arms\In the pale morning mist, a whispered prayer\I'm gonna follow this twisted landscape with you\Looking for the truth, a'lie' will do is it?\Tracing it as if we can see through\Looking for, beyond words response:	Like a falling feather
context: The way I rock\The way I rock in your arms\In the pale morning mist, a whispered prayer\I'm gonna follow this twisted landscape with you\Looking for the truth, a'lie' will do is it?\Tracing it as if we can see through\Looking for, beyond words\Like a falling feather response:	Looking for, find it
context: The way I rock in your arms\In the pale morning mist, a whispered prayer\I'm gonna follow this twisted landscape with you\Looking for the truth, a'lie' will do is it?\Tracing it as if we can see through\Looking for, beyond words\Like a falling feather\Looking for, find it response:	So we can cuddle close together here
context: In the pale morning mist, a whispered prayer\I'm gonna follow this twisted landscape with you\Looking for the truth, a'lie' will do is it?\Tracing it as if we can see through\Looking for, beyond words\Like a falling feather\Looking for, find it\So we can cuddle close together here response:	Looking for, unravel it
context: I'm gonna follow this twisted landscape with you\Looking for the truth, a'lie' will do is it?\Tracing it as if we can see through\Looking for, beyond words\Like a falling feather\Looking for, find it\So we can cuddle close together here\Looking for, unravel it response:	Like a tattered cloud
context: Looking for the truth, a'lie' will do is it?\Tracing it as if we can see through\Looking for, beyond words\Like a falling feather\Looking for, find it\So we can cuddle close together here\Looking for, unravel it\Like a tattered cloud response:	Looking for, find it
context: Tracing it as if we can see through\Looking for, beyond words\Like a falling feather\Looking for, find it\So we can cuddle close together here\Looking for, unravel it\Like a tattered cloud\Looking for, find it response:	So we can cuddle close together here
context: Looking for, beyond words\Like a falling feather\Looking for, find it\So we can cuddle close together here\Looking for, unravel it\Like a tattered cloud\Looking for, find it\So we can cuddle close together here response:	It says the next episode is based on Masked Mansion
context: Like a falling feather\Looking for, find it\So we can cuddle close together here\Looking for, unravel it\Like a tattered cloud\Looking for, find it\So we can cuddle close together here\It says the next episode is based on Masked Mansion response:	from Ango Detective Stories.
context: Looking for, find it\So we can cuddle close together here\Looking for, unravel it\Like a tattered cloud\Looking for, find it\So we can cuddle close together here\It says the next episode is based on Masked Mansion\from Ango Detective Stories. response:	I'm gonna read it!
context: So we can cuddle close together here\Looking for, unravel it\Like a tattered cloud\Looking for, find it\So we can cuddle close together here\It says the next episode is based on Masked Mansion\from Ango Detective Stories.\I'm gonna read it! response:	Huh! There's a Mitsuko, Fumihiko, and Kigihiko in the original, too!
context: Looking for, unravel it\Like a tattered cloud\Looking for, find it\So we can cuddle close together here\It says the next episode is based on Masked Mansion\from Ango Detective Stories.\I'm gonna read it!\Huh! There's a Mitsuko, Fumihiko, and Kigihiko in the original, too! response:	And Komamori, Inamori, Mizuhiko, Tsuchihiko...
context: Like a tattered cloud\Looking for, find it\So we can cuddle close together here\It says the next episode is based on Masked Mansion\from Ango Detective Stories.\I'm gonna read it!\Huh! There's a Mitsuko, Fumihiko, and Kigihiko in the original, too!\And Komamori, Inamori, Mizuhiko, Tsuchihiko... response:	How many relatives are there in here?!
context: Looking for, find it\So we can cuddle close together here\It says the next episode is based on Masked Mansion\from Ango Detective Stories.\I'm gonna read it!\Huh! There's a Mitsuko, Fumihiko, and Kigihiko in the original, too!\And Komamori, Inamori, Mizuhiko, Tsuchihiko...\How many relatives are there in here?! response:	Says they've got a disease that makes them collapse if they see someone's face,
context: So we can cuddle close together here\It says the next episode is based on Masked Mansion\from Ango Detective Stories.\I'm gonna read it!\Huh! There's a Mitsuko, Fumihiko, and Kigihiko in the original, too!\And Komamori, Inamori, Mizuhiko, Tsuchihiko...\How many relatives are there in here?!\Says they've got a disease that makes them collapse if they see someone's face, response:	so they were raised wearing masks...
context: It says the next episode is based on Masked Mansion\from Ango Detective Stories.\I'm gonna read it!\Huh! There's a Mitsuko, Fumihiko, and Kigihiko in the original, too!\And Komamori, Inamori, Mizuhiko, Tsuchihiko...\How many relatives are there in here?!\Says they've got a disease that makes them collapse if they see someone's face,\so they were raised wearing masks... response:	What a fresh idea! That's Ango Sakaguchi for you.
context: from Ango Detective Stories.\I'm gonna read it!\Huh! There's a Mitsuko, Fumihiko, and Kigihiko in the original, too!\And Komamori, Inamori, Mizuhiko, Tsuchihiko...\How many relatives are there in here?!\Says they've got a disease that makes them collapse if they see someone's face,\so they were raised wearing masks...\What a fresh idea! That's Ango Sakaguchi for you. response:	I mean, is it okay to do that?!
context: I'm gonna read it!\Huh! There's a Mitsuko, Fumihiko, and Kigihiko in the original, too!\And Komamori, Inamori, Mizuhiko, Tsuchihiko...\How many relatives are there in here?!\Says they've got a disease that makes them collapse if they see someone's face,\so they were raised wearing masks...\What a fresh idea! That's Ango Sakaguchi for you.\I mean, is it okay to do that?! response:	Episode 3
context: Huh! There's a Mitsuko, Fumihiko, and Kigihiko in the original, too!\And Komamori, Inamori, Mizuhiko, Tsuchihiko...\How many relatives are there in here?!\Says they've got a disease that makes them collapse if they see someone's face,\so they were raised wearing masks...\What a fresh idea! That's Ango Sakaguchi for you.\I mean, is it okay to do that?!\Episode 3 response:	Masked Mansion
context: And Komamori, Inamori, Mizuhiko, Tsuchihiko...\How many relatives are there in here?!\Says they've got a disease that makes them collapse if they see someone's face,\so they were raised wearing masks...\What a fresh idea! That's Ango Sakaguchi for you.\I mean, is it okay to do that?!\Episode 3\Masked Mansion response:	Inspired by from Ango Sakaguchi's Meijikaika Ango Torimonochou (Meiji-era Ango Detective Stories) Shoplifting Family and Masked Mansion
context: How many relatives are there in here?!\Says they've got a disease that makes them collapse if they see someone's face,\so they were raised wearing masks...\What a fresh idea! That's Ango Sakaguchi for you.\I mean, is it okay to do that?!\Episode 3\Masked Mansion\Inspired by from Ango Sakaguchi's Meijikaika Ango Torimonochou (Meiji-era Ango Detective Stories) Shoplifting Family and Masked Mansion response:	Next Episode Preview
context: Says they've got a disease that makes them collapse if they see someone's face,\so they were raised wearing masks...\What a fresh idea! That's Ango Sakaguchi for you.\I mean, is it okay to do that?!\Episode 3\Masked Mansion\Inspired by from Ango Sakaguchi's Meijikaika Ango Torimonochou (Meiji-era Ango Detective Stories) Shoplifting Family and Masked Mansion\Next Episode Preview response:	Masked Mansion!
context: so they were raised wearing masks...\What a fresh idea! That's Ango Sakaguchi for you.\I mean, is it okay to do that?!\Episode 3\Masked Mansion\Inspired by from Ango Sakaguchi's Meijikaika Ango Torimonochou (Meiji-era Ango Detective Stories) Shoplifting Family and Masked Mansion\Next Episode Preview\Masked Mansion! response:	So who's Kazamori?
