context: That bastard! Where the hell did he go? response:	If I go into the alley, I'll only get cornered.
context: Yeah, same here.\All right, then,\let's go for it all, you and I!\Why don't we take everything we've ever wanted?\Without missing a single one, right?\So we meet at last, Ayato Amagiri!\I have been looking forward to this day!\As I'm always hearing about you from my master, response:	I expect great things of you!
context: All right, then,\let's go for it all, you and I!\Why don't we take everything we've ever wanted?\Without missing a single one, right?\So we meet at last, Ayato Amagiri!\I have been looking forward to this day!\As I'm always hearing about you from my master,\I expect great things of you! response:	Please trigger more exhilaration in me than Kirin Toudou did!
context: let's go for it all, you and I!\Why don't we take everything we've ever wanted?\Without missing a single one, right?\So we meet at last, Ayato Amagiri!\I have been looking forward to this day!\As I'm always hearing about you from my master,\I expect great things of you!\Please trigger more exhilaration in me than Kirin Toudou did! response:	Unfortunately, I can't guarantee that I will.
context: Why don't we take everything we've ever wanted?\Without missing a single one, right?\So we meet at last, Ayato Amagiri!\I have been looking forward to this day!\As I'm always hearing about you from my master,\I expect great things of you!\Please trigger more exhilaration in me than Kirin Toudou did!\Unfortunately, I can't guarantee that I will. response:	But this match...
context: Without missing a single one, right?\So we meet at last, Ayato Amagiri!\I have been looking forward to this day!\As I'm always hearing about you from my master,\I expect great things of you!\Please trigger more exhilaration in me than Kirin Toudou did!\Unfortunately, I can't guarantee that I will.\But this match... response:	Victory will be ours!
context: So we meet at last, Ayato Amagiri!\I have been looking forward to this day!\As I'm always hearing about you from my master,\I expect great things of you!\Please trigger more exhilaration in me than Kirin Toudou did!\Unfortunately, I can't guarantee that I will.\But this match...\Victory will be ours! response:	No matter what!
context: I have been looking forward to this day!\As I'm always hearing about you from my master,\I expect great things of you!\Please trigger more exhilaration in me than Kirin Toudou did!\Unfortunately, I can't guarantee that I will.\But this match...\Victory will be ours!\No matter what! response:	These surging emotions... I cannot hold them back!
context: As I'm always hearing about you from my master,\I expect great things of you!\Please trigger more exhilaration in me than Kirin Toudou did!\Unfortunately, I can't guarantee that I will.\But this match...\Victory will be ours!\No matter what!\These surging emotions... I cannot hold them back! response:	Ayato Amagiri!
context: I expect great things of you!\Please trigger more exhilaration in me than Kirin Toudou did!\Unfortunately, I can't guarantee that I will.\But this match...\Victory will be ours!\No matter what!\These surging emotions... I cannot hold them back!\Ayato Amagiri! response:	I have waited so long to battle you
context: Please trigger more exhilaration in me than Kirin Toudou did!\Unfortunately, I can't guarantee that I will.\But this match...\Victory will be ours!\No matter what!\These surging emotions... I cannot hold them back!\Ayato Amagiri!\I have waited so long to battle you response:	Be silent, you good-for-nothing.
context: Unfortunately, I can't guarantee that I will.\But this match...\Victory will be ours!\No matter what!\These surging emotions... I cannot hold them back!\Ayato Amagiri!\I have waited so long to battle you\Be silent, you good-for-nothing. response:	Episode 20 The Phoenix Showdown
context: But this match...\Victory will be ours!\No matter what!\These surging emotions... I cannot hold them back!\Ayato Amagiri!\I have waited so long to battle you\Be silent, you good-for-nothing.\Episode 20 The Phoenix Showdown response:	There isn't sufficient time during this preview to waste on useless prattle.
