context: Thank you, Lucy-san! response:	I can't hold a candle to Cancer, but I'm pretty good if I do say so myself!
context: It's impossible! Between Pegasus and Lamia...\Sabertooth isn't our only enemy!\Incidentally, in past festivals, we were always in last place.\Don't be proud of that!\We'll take that crummy record and destroy it!\Sabertooth, huh? I'm fired up!\That's annoying!\When is that tournament? response:	Three months from now.
context: Sabertooth isn't our only enemy!\Incidentally, in past festivals, we were always in last place.\Don't be proud of that!\We'll take that crummy record and destroy it!\Sabertooth, huh? I'm fired up!\That's annoying!\When is that tournament?\Three months from now. response:	Plenty of time!
context: Incidentally, in past festivals, we were always in last place.\Don't be proud of that!\We'll take that crummy record and destroy it!\Sabertooth, huh? I'm fired up!\That's annoying!\When is that tournament?\Three months from now.\Plenty of time! response:	By then, we'll be lean and mean,
context: Don't be proud of that!\We'll take that crummy record and destroy it!\Sabertooth, huh? I'm fired up!\That's annoying!\When is that tournament?\Three months from now.\Plenty of time!\By then, we'll be lean and mean, response:	and Fairy Tail will become Fiore's number one guild again!
context: We'll take that crummy record and destroy it!\Sabertooth, huh? I'm fired up!\That's annoying!\When is that tournament?\Three months from now.\Plenty of time!\By then, we'll be lean and mean,\and Fairy Tail will become Fiore's number one guild again! response:	Sounds good.
context: Sabertooth, huh? I'm fired up!\That's annoying!\When is that tournament?\Three months from now.\Plenty of time!\By then, we'll be lean and mean,\and Fairy Tail will become Fiore's number one guild again!\Sounds good. response:	Yeah! If everyone joins their power as one...
context: That's annoying!\When is that tournament?\Three months from now.\Plenty of time!\By then, we'll be lean and mean,\and Fairy Tail will become Fiore's number one guild again!\Sounds good.\Yeah! If everyone joins their power as one... response:	That's how long I have to learn the magic I got from Grandine!
context: When is that tournament?\Three months from now.\Plenty of time!\By then, we'll be lean and mean,\and Fairy Tail will become Fiore's number one guild again!\Sounds good.\Yeah! If everyone joins their power as one...\That's how long I have to learn the magic I got from Grandine! response:	A festival, Carla!
context: Three months from now.\Plenty of time!\By then, we'll be lean and mean,\and Fairy Tail will become Fiore's number one guild again!\Sounds good.\Yeah! If everyone joins their power as one...\That's how long I have to learn the magic I got from Grandine!\A festival, Carla! response:	Isn't that what this guild is like all year'round?
context: Plenty of time!\By then, we'll be lean and mean,\and Fairy Tail will become Fiore's number one guild again!\Sounds good.\Yeah! If everyone joins their power as one...\That's how long I have to learn the magic I got from Grandine!\A festival, Carla!\Isn't that what this guild is like all year'round? response:	A festival! A festival!
context: By then, we'll be lean and mean,\and Fairy Tail will become Fiore's number one guild again!\Sounds good.\Yeah! If everyone joins their power as one...\That's how long I have to learn the magic I got from Grandine!\A festival, Carla!\Isn't that what this guild is like all year'round?\A festival! A festival! response:	Man! When it comes to festivals, Man!
context: and Fairy Tail will become Fiore's number one guild again!\Sounds good.\Yeah! If everyone joins their power as one...\That's how long I have to learn the magic I got from Grandine!\A festival, Carla!\Isn't that what this guild is like all year'round?\A festival! A festival!\Man! When it comes to festivals, Man! response:	It looks like we'll be able to achieve Gildarts' wish earlier than expected, huh?
context: Sounds good.\Yeah! If everyone joins their power as one...\That's how long I have to learn the magic I got from Grandine!\A festival, Carla!\Isn't that what this guild is like all year'round?\A festival! A festival!\Man! When it comes to festivals, Man!\It looks like we'll be able to achieve Gildarts' wish earlier than expected, huh? response:	Seriously?
context: Yeah! If everyone joins their power as one...\That's how long I have to learn the magic I got from Grandine!\A festival, Carla!\Isn't that what this guild is like all year'round?\A festival! A festival!\Man! When it comes to festivals, Man!\It looks like we'll be able to achieve Gildarts' wish earlier than expected, huh?\Seriously? response:	Are we really gonna participate?
context: That's how long I have to learn the magic I got from Grandine!\A festival, Carla!\Isn't that what this guild is like all year'round?\A festival! A festival!\Man! When it comes to festivals, Man!\It looks like we'll be able to achieve Gildarts' wish earlier than expected, huh?\Seriously?\Are we really gonna participate? response:	Sure, why not give it a shot?
context: A festival, Carla!\Isn't that what this guild is like all year'round?\A festival! A festival!\Man! When it comes to festivals, Man!\It looks like we'll be able to achieve Gildarts' wish earlier than expected, huh?\Seriously?\Are we really gonna participate?\Sure, why not give it a shot? response:	I-I really don't think we should go through with it...
context: Isn't that what this guild is like all year'round?\A festival! A festival!\Man! When it comes to festivals, Man!\It looks like we'll be able to achieve Gildarts' wish earlier than expected, huh?\Seriously?\Are we really gonna participate?\Sure, why not give it a shot?\I-I really don't think we should go through with it... response:	It's a little different than the battle festival you're thinking of, Natsu...
context: A festival! A festival!\Man! When it comes to festivals, Man!\It looks like we'll be able to achieve Gildarts' wish earlier than expected, huh?\Seriously?\Are we really gonna participate?\Sure, why not give it a shot?\I-I really don't think we should go through with it...\It's a little different than the battle festival you're thinking of, Natsu... response:	It's not that?!
context: Man! When it comes to festivals, Man!\It looks like we'll be able to achieve Gildarts' wish earlier than expected, huh?\Seriously?\Are we really gonna participate?\Sure, why not give it a shot?\I-I really don't think we should go through with it...\It's a little different than the battle festival you're thinking of, Natsu...\It's not that?! response:	It's hell.
context: It looks like we'll be able to achieve Gildarts' wish earlier than expected, huh?\Seriously?\Are we really gonna participate?\Sure, why not give it a shot?\I-I really don't think we should go through with it...\It's a little different than the battle festival you're thinking of, Natsu...\It's not that?!\It's hell. response:	I've already decided we're gonna do it, so there's no point in complaining!
context: Seriously?\Are we really gonna participate?\Sure, why not give it a shot?\I-I really don't think we should go through with it...\It's a little different than the battle festival you're thinking of, Natsu...\It's not that?!\It's hell.\I've already decided we're gonna do it, so there's no point in complaining! response:	Let's aim for the 30 million... ahem, I mean, aim for Fiore's number one!
context: Are we really gonna participate?\Sure, why not give it a shot?\I-I really don't think we should go through with it...\It's a little different than the battle festival you're thinking of, Natsu...\It's not that?!\It's hell.\I've already decided we're gonna do it, so there's no point in complaining!\Let's aim for the 30 million... ahem, I mean, aim for Fiore's number one! response:	Team Fairy Tail is going to enter the Grand Magic Games!
context: Sure, why not give it a shot?\I-I really don't think we should go through with it...\It's a little different than the battle festival you're thinking of, Natsu...\It's not that?!\It's hell.\I've already decided we're gonna do it, so there's no point in complaining!\Let's aim for the 30 million... ahem, I mean, aim for Fiore's number one!\Team Fairy Tail is going to enter the Grand Magic Games! response:	The beach! Swimsuits! Training camp! The Celestial Spirit world!
context: I-I really don't think we should go through with it...\It's a little different than the battle festival you're thinking of, Natsu...\It's not that?!\It's hell.\I've already decided we're gonna do it, so there's no point in complaining!\Let's aim for the 30 million... ahem, I mean, aim for Fiore's number one!\Team Fairy Tail is going to enter the Grand Magic Games!\The beach! Swimsuits! Training camp! The Celestial Spirit world! response:	Don't say that like it's nothing!
context: It's a little different than the battle festival you're thinking of, Natsu...\It's not that?!\It's hell.\I've already decided we're gonna do it, so there's no point in complaining!\Let's aim for the 30 million... ahem, I mean, aim for Fiore's number one!\Team Fairy Tail is going to enter the Grand Magic Games!\The beach! Swimsuits! Training camp! The Celestial Spirit world!\Don't say that like it's nothing! response:	It's incredible! We've come to the Celestial Spirit world!
context: It's not that?!\It's hell.\I've already decided we're gonna do it, so there's no point in complaining!\Let's aim for the 30 million... ahem, I mean, aim for Fiore's number one!\Team Fairy Tail is going to enter the Grand Magic Games!\The beach! Swimsuits! Training camp! The Celestial Spirit world!\Don't say that like it's nothing!\It's incredible! We've come to the Celestial Spirit world! response:	It's been a long time since we've met the cow, the shrimp, and the girl with the horns!
context: It's hell.\I've already decided we're gonna do it, so there's no point in complaining!\Let's aim for the 30 million... ahem, I mean, aim for Fiore's number one!\Team Fairy Tail is going to enter the Grand Magic Games!\The beach! Swimsuits! Training camp! The Celestial Spirit world!\Don't say that like it's nothing!\It's incredible! We've come to the Celestial Spirit world!\It's been a long time since we've met the cow, the shrimp, and the girl with the horns! response:	And there are lots of Celestial Spirits we've never seen before!
context: I've already decided we're gonna do it, so there's no point in complaining!\Let's aim for the 30 million... ahem, I mean, aim for Fiore's number one!\Team Fairy Tail is going to enter the Grand Magic Games!\The beach! Swimsuits! Training camp! The Celestial Spirit world!\Don't say that like it's nothing!\It's incredible! We've come to the Celestial Spirit world!\It's been a long time since we've met the cow, the shrimp, and the girl with the horns!\And there are lots of Celestial Spirits we've never seen before! response:	And tons of Plues!
context: Let's aim for the 30 million... ahem, I mean, aim for Fiore's number one!\Team Fairy Tail is going to enter the Grand Magic Games!\The beach! Swimsuits! Training camp! The Celestial Spirit world!\Don't say that like it's nothing!\It's incredible! We've come to the Celestial Spirit world!\It's been a long time since we've met the cow, the shrimp, and the girl with the horns!\And there are lots of Celestial Spirits we've never seen before!\And tons of Plues! response:	Next time: Song of the Stars!
context: Team Fairy Tail is going to enter the Grand Magic Games!\The beach! Swimsuits! Training camp! The Celestial Spirit world!\Don't say that like it's nothing!\It's incredible! We've come to the Celestial Spirit world!\It's been a long time since we've met the cow, the shrimp, and the girl with the horns!\And there are lots of Celestial Spirits we've never seen before!\And tons of Plues!\Next time: Song of the Stars! response:	Natsu, help me... A strange Plue is clinging to me and I can't get away...
context: The beach! Swimsuits! Training camp! The Celestial Spirit world!\Don't say that like it's nothing!\It's incredible! We've come to the Celestial Spirit world!\It's been a long time since we've met the cow, the shrimp, and the girl with the horns!\And there are lots of Celestial Spirits we've never seen before!\And tons of Plues!\Next time: Song of the Stars!\Natsu, help me... A strange Plue is clinging to me and I can't get away... response:	Make a contract with it.
