context: So what if you brought them over? So what if you have Drifters? response:	No matter how many of those idiots you transport here...
context: Once we claim a state, we only have two choices.\Either utterly destroy it,\or hand over everything as you would to pacify a crying princess.\Orte forty years ago would've been\a major ally in the fight against the Black King,\but present-day Orte is...\They didn't do either, leaving the grudges of the occupied to fester.\Furthermore, it has been forty years. response:	It was as if they started a wildfire in a withered field.
context: Either utterly destroy it,\or hand over everything as you would to pacify a crying princess.\Orte forty years ago would've been\a major ally in the fight against the Black King,\but present-day Orte is...\They didn't do either, leaving the grudges of the occupied to fester.\Furthermore, it has been forty years.\It was as if they started a wildfire in a withered field. response:	Everybody and his brother is filled with resentment.
context: or hand over everything as you would to pacify a crying princess.\Orte forty years ago would've been\a major ally in the fight against the Black King,\but present-day Orte is...\They didn't do either, leaving the grudges of the occupied to fester.\Furthermore, it has been forty years.\It was as if they started a wildfire in a withered field.\Everybody and his brother is filled with resentment. response:	That explains why those fools acted recklessly.
context: Orte forty years ago would've been\a major ally in the fight against the Black King,\but present-day Orte is...\They didn't do either, leaving the grudges of the occupied to fester.\Furthermore, it has been forty years.\It was as if they started a wildfire in a withered field.\Everybody and his brother is filled with resentment.\That explains why those fools acted recklessly. response:	If Orte doesn't teach them a lesson, they will become uncontrollable.
context: a major ally in the fight against the Black King,\but present-day Orte is...\They didn't do either, leaving the grudges of the occupied to fester.\Furthermore, it has been forty years.\It was as if they started a wildfire in a withered field.\Everybody and his brother is filled with resentment.\That explains why those fools acted recklessly.\If Orte doesn't teach them a lesson, they will become uncontrollable. response:	That is why Orte will definitely come to
context: but present-day Orte is...\They didn't do either, leaving the grudges of the occupied to fester.\Furthermore, it has been forty years.\It was as if they started a wildfire in a withered field.\Everybody and his brother is filled with resentment.\That explains why those fools acted recklessly.\If Orte doesn't teach them a lesson, they will become uncontrollable.\That is why Orte will definitely come to response:	slaughter everyone as a warning to others.
context: They didn't do either, leaving the grudges of the occupied to fester.\Furthermore, it has been forty years.\It was as if they started a wildfire in a withered field.\Everybody and his brother is filled with resentment.\That explains why those fools acted recklessly.\If Orte doesn't teach them a lesson, they will become uncontrollable.\That is why Orte will definitely come to\slaughter everyone as a warning to others. response:	What will you do now, Toyohisa?
context: Furthermore, it has been forty years.\It was as if they started a wildfire in a withered field.\Everybody and his brother is filled with resentment.\That explains why those fools acted recklessly.\If Orte doesn't teach them a lesson, they will become uncontrollable.\That is why Orte will definitely come to\slaughter everyone as a warning to others.\What will you do now, Toyohisa? response:	As commander, what are you going to do about it?
context: It was as if they started a wildfire in a withered field.\Everybody and his brother is filled with resentment.\That explains why those fools acted recklessly.\If Orte doesn't teach them a lesson, they will become uncontrollable.\That is why Orte will definitely come to\slaughter everyone as a warning to others.\What will you do now, Toyohisa?\As commander, what are you going to do about it? response:	Show me the tactics of the Shimazu clan, will you?
context: Everybody and his brother is filled with resentment.\That explains why those fools acted recklessly.\If Orte doesn't teach them a lesson, they will become uncontrollable.\That is why Orte will definitely come to\slaughter everyone as a warning to others.\What will you do now, Toyohisa?\As commander, what are you going to do about it?\Show me the tactics of the Shimazu clan, will you? response:	We are going to let them in.
context: That explains why those fools acted recklessly.\If Orte doesn't teach them a lesson, they will become uncontrollable.\That is why Orte will definitely come to\slaughter everyone as a warning to others.\What will you do now, Toyohisa?\As commander, what are you going to do about it?\Show me the tactics of the Shimazu clan, will you?\We are going to let them in. response:	Isn't it overkill, dispatching 200 troops to destroy one Elven village?
context: If Orte doesn't teach them a lesson, they will become uncontrollable.\That is why Orte will definitely come to\slaughter everyone as a warning to others.\What will you do now, Toyohisa?\As commander, what are you going to do about it?\Show me the tactics of the Shimazu clan, will you?\We are going to let them in.\Isn't it overkill, dispatching 200 troops to destroy one Elven village? response:	I heard that Aram and his patrol were all killed.
context: That is why Orte will definitely come to\slaughter everyone as a warning to others.\What will you do now, Toyohisa?\As commander, what are you going to do about it?\Show me the tactics of the Shimazu clan, will you?\We are going to let them in.\Isn't it overkill, dispatching 200 troops to destroy one Elven village?\I heard that Aram and his patrol were all killed. response:	Are you kidding me?!
context: slaughter everyone as a warning to others.\What will you do now, Toyohisa?\As commander, what are you going to do about it?\Show me the tactics of the Shimazu clan, will you?\We are going to let them in.\Isn't it overkill, dispatching 200 troops to destroy one Elven village?\I heard that Aram and his patrol were all killed.\Are you kidding me?! response:	No way those Elves have the guts to do that!
context: What will you do now, Toyohisa?\As commander, what are you going to do about it?\Show me the tactics of the Shimazu clan, will you?\We are going to let them in.\Isn't it overkill, dispatching 200 troops to destroy one Elven village?\I heard that Aram and his patrol were all killed.\Are you kidding me?!\No way those Elves have the guts to do that! response:	There were rumors that they were killed by the Drifters.
context: As commander, what are you going to do about it?\Show me the tactics of the Shimazu clan, will you?\We are going to let them in.\Isn't it overkill, dispatching 200 troops to destroy one Elven village?\I heard that Aram and his patrol were all killed.\Are you kidding me?!\No way those Elves have the guts to do that!\There were rumors that they were killed by the Drifters. response:	Drifters?!
context: Show me the tactics of the Shimazu clan, will you?\We are going to let them in.\Isn't it overkill, dispatching 200 troops to destroy one Elven village?\I heard that Aram and his patrol were all killed.\Are you kidding me?!\No way those Elves have the guts to do that!\There were rumors that they were killed by the Drifters.\Drifters?! response:	Even so, there were just a few of them, right?
context: We are going to let them in.\Isn't it overkill, dispatching 200 troops to destroy one Elven village?\I heard that Aram and his patrol were all killed.\Are you kidding me?!\No way those Elves have the guts to do that!\There were rumors that they were killed by the Drifters.\Drifters?!\Even so, there were just a few of them, right? response:	Are the Drifters... really that strong?
context: Isn't it overkill, dispatching 200 troops to destroy one Elven village?\I heard that Aram and his patrol were all killed.\Are you kidding me?!\No way those Elves have the guts to do that!\There were rumors that they were killed by the Drifters.\Drifters?!\Even so, there were just a few of them, right?\Are the Drifters... really that strong? response:	They are not here!
context: I heard that Aram and his patrol were all killed.\Are you kidding me?!\No way those Elves have the guts to do that!\There were rumors that they were killed by the Drifters.\Drifters?!\Even so, there were just a few of them, right?\Are the Drifters... really that strong?\They are not here! response:	There is nobody here either.
context: Are you kidding me?!\No way those Elves have the guts to do that!\There were rumors that they were killed by the Drifters.\Drifters?!\Even so, there were just a few of them, right?\Are the Drifters... really that strong?\They are not here!\There is nobody here either. response:	The place is completely empty.
context: No way those Elves have the guts to do that!\There were rumors that they were killed by the Drifters.\Drifters?!\Even so, there were just a few of them, right?\Are the Drifters... really that strong?\They are not here!\There is nobody here either.\The place is completely empty. response:	What on earth is going on?!
context: There were rumors that they were killed by the Drifters.\Drifters?!\Even so, there were just a few of them, right?\Are the Drifters... really that strong?\They are not here!\There is nobody here either.\The place is completely empty.\What on earth is going on?! response:	Where did they disappear to?!
context: Drifters?!\Even so, there were just a few of them, right?\Are the Drifters... really that strong?\They are not here!\There is nobody here either.\The place is completely empty.\What on earth is going on?!\Where did they disappear to?! response:	What's happening here?!
context: Even so, there were just a few of them, right?\Are the Drifters... really that strong?\They are not here!\There is nobody here either.\The place is completely empty.\What on earth is going on?!\Where did they disappear to?!\What's happening here?! response:	I am going to kill all of them tonight.
context: Are the Drifters... really that strong?\They are not here!\There is nobody here either.\The place is completely empty.\What on earth is going on?!\Where did they disappear to?!\What's happening here?!\I am going to kill all of them tonight. response:	I will take everyone's head.
context: They are not here!\There is nobody here either.\The place is completely empty.\What on earth is going on?!\Where did they disappear to?!\What's happening here?!\I am going to kill all of them tonight.\I will take everyone's head. response:	Boobienu Orgaization
context: There is nobody here either.\The place is completely empty.\What on earth is going on?!\Where did they disappear to?!\What's happening here?!\I am going to kill all of them tonight.\I will take everyone's head.\Boobienu Orgaization response:	Power of Shit
context: The place is completely empty.\What on earth is going on?!\Where did they disappear to?!\What's happening here?!\I am going to kill all of them tonight.\I will take everyone's head.\Boobienu Orgaization\Power of Shit response:	Monkey Yell
context: What on earth is going on?!\Where did they disappear to?!\What's happening here?!\I am going to kill all of them tonight.\I will take everyone's head.\Boobienu Orgaization\Power of Shit\Monkey Yell response:	Act 5 Bring Back Love
