context: There's nothing in there. Both pockets are empty. response:	Other than this piece of paper...
context: I-I'll rip it!\Yuya Fungami is in this piece of paper!\Act 3! 3 Freeze!\S-So heavy...\Let's see, what was it?\There was something that I was supposed to remember about you...\Oh, that's right. I remember.\I said that I would kill you. response:	That's right... I definitely said that.
context: Yuya Fungami is in this piece of paper!\Act 3! 3 Freeze!\S-So heavy...\Let's see, what was it?\There was something that I was supposed to remember about you...\Oh, that's right. I remember.\I said that I would kill you.\That's right... I definitely said that. response:	I said I would never forgive guys like you, right?
context: Act 3! 3 Freeze!\S-So heavy...\Let's see, what was it?\There was something that I was supposed to remember about you...\Oh, that's right. I remember.\I said that I would kill you.\That's right... I definitely said that.\I said I would never forgive guys like you, right? response:	Guys like you
context: S-So heavy...\Let's see, what was it?\There was something that I was supposed to remember about you...\Oh, that's right. I remember.\I said that I would kill you.\That's right... I definitely said that.\I said I would never forgive guys like you, right?\Guys like you response:	who take hostages and try to threaten people emotionally...
context: Let's see, what was it?\There was something that I was supposed to remember about you...\Oh, that's right. I remember.\I said that I would kill you.\That's right... I definitely said that.\I said I would never forgive guys like you, right?\Guys like you\who take hostages and try to threaten people emotionally... response:	W-Wait a minute!
context: There was something that I was supposed to remember about you...\Oh, that's right. I remember.\I said that I would kill you.\That's right... I definitely said that.\I said I would never forgive guys like you, right?\Guys like you\who take hostages and try to threaten people emotionally...\W-Wait a minute! response:	I just liked observing other people getting scared!
context: Oh, that's right. I remember.\I said that I would kill you.\That's right... I definitely said that.\I said I would never forgive guys like you, right?\Guys like you\who take hostages and try to threaten people emotionally...\W-Wait a minute!\I just liked observing other people getting scared! response:	I just recently got this Stand, so I got cocky.
context: I said that I would kill you.\That's right... I definitely said that.\I said I would never forgive guys like you, right?\Guys like you\who take hostages and try to threaten people emotionally...\W-Wait a minute!\I just liked observing other people getting scared!\I just recently got this Stand, so I got cocky. response:	I-I apologize. I feel really bad.
context: That's right... I definitely said that.\I said I would never forgive guys like you, right?\Guys like you\who take hostages and try to threaten people emotionally...\W-Wait a minute!\I just liked observing other people getting scared!\I just recently got this Stand, so I got cocky.\I-I apologize. I feel really bad. response:	There's something I realized after watching you...
context: I said I would never forgive guys like you, right?\Guys like you\who take hostages and try to threaten people emotionally...\W-Wait a minute!\I just liked observing other people getting scared!\I just recently got this Stand, so I got cocky.\I-I apologize. I feel really bad.\There's something I realized after watching you... response:	Huh?
context: Guys like you\who take hostages and try to threaten people emotionally...\W-Wait a minute!\I just liked observing other people getting scared!\I just recently got this Stand, so I got cocky.\I-I apologize. I feel really bad.\There's something I realized after watching you...\Huh? response:	You have a habit of closing one eye when you get scared, don't you?
context: who take hostages and try to threaten people emotionally...\W-Wait a minute!\I just liked observing other people getting scared!\I just recently got this Stand, so I got cocky.\I-I apologize. I feel really bad.\There's something I realized after watching you...\Huh?\You have a habit of closing one eye when you get scared, don't you? response:	That's a habit, right?
context: W-Wait a minute!\I just liked observing other people getting scared!\I just recently got this Stand, so I got cocky.\I-I apologize. I feel really bad.\There's something I realized after watching you...\Huh?\You have a habit of closing one eye when you get scared, don't you?\That's a habit, right? response:	But...
context: I just liked observing other people getting scared!\I just recently got this Stand, so I got cocky.\I-I apologize. I feel really bad.\There's something I realized after watching you...\Huh?\You have a habit of closing one eye when you get scared, don't you?\That's a habit, right?\But... response:	When you're even more scared, you close both.
context: I just recently got this Stand, so I got cocky.\I-I apologize. I feel really bad.\There's something I realized after watching you...\Huh?\You have a habit of closing one eye when you get scared, don't you?\That's a habit, right?\But...\When you're even more scared, you close both. response:	You like observing? Then keep doing it.
context: I-I apologize. I feel really bad.\There's something I realized after watching you...\Huh?\You have a habit of closing one eye when you get scared, don't you?\That's a habit, right?\But...\When you're even more scared, you close both.\You like observing? Then keep doing it. response:	Quietly and calmly keep observing.
context: There's something I realized after watching you...\Huh?\You have a habit of closing one eye when you get scared, don't you?\That's a habit, right?\But...\When you're even more scared, you close both.\You like observing? Then keep doing it.\Quietly and calmly keep observing. response:	I-I'm a book...
context: Huh?\You have a habit of closing one eye when you get scared, don't you?\That's a habit, right?\But...\When you're even more scared, you close both.\You like observing? Then keep doing it.\Quietly and calmly keep observing.\I-I'm a book... response:	The Misterioso boy, Terunosuke Miyamoto,
context: You have a habit of closing one eye when you get scared, don't you?\That's a habit, right?\But...\When you're even more scared, you close both.\You like observing? Then keep doing it.\Quietly and calmly keep observing.\I-I'm a book...\The Misterioso boy, Terunosuke Miyamoto, response:	became a book and is thus unable to fight.
context: That's a habit, right?\But...\When you're even more scared, you close both.\You like observing? Then keep doing it.\Quietly and calmly keep observing.\I-I'm a book...\The Misterioso boy, Terunosuke Miyamoto,\became a book and is thus unable to fight. response:	Josuke didn't read the contents of the book,
context: But...\When you're even more scared, you close both.\You like observing? Then keep doing it.\Quietly and calmly keep observing.\I-I'm a book...\The Misterioso boy, Terunosuke Miyamoto,\became a book and is thus unable to fight.\Josuke didn't read the contents of the book, response:	but the book is at Morioh Library.
context: When you're even more scared, you close both.\You like observing? Then keep doing it.\Quietly and calmly keep observing.\I-I'm a book...\The Misterioso boy, Terunosuke Miyamoto,\became a book and is thus unable to fight.\Josuke didn't read the contents of the book,\but the book is at Morioh Library. response:	If you give the staff the title Misterioso,
context: You like observing? Then keep doing it.\Quietly and calmly keep observing.\I-I'm a book...\The Misterioso boy, Terunosuke Miyamoto,\became a book and is thus unable to fight.\Josuke didn't read the contents of the book,\but the book is at Morioh Library.\If you give the staff the title Misterioso, response:	they'll bring it for you, though you can't take it home.
context: Quietly and calmly keep observing.\I-I'm a book...\The Misterioso boy, Terunosuke Miyamoto,\became a book and is thus unable to fight.\Josuke didn't read the contents of the book,\but the book is at Morioh Library.\If you give the staff the title Misterioso,\they'll bring it for you, though you can't take it home. response:	When reading this book, you sometimes feel like you can hear a voice.
context: I-I'm a book...\The Misterioso boy, Terunosuke Miyamoto,\became a book and is thus unable to fight.\Josuke didn't read the contents of the book,\but the book is at Morioh Library.\If you give the staff the title Misterioso,\they'll bring it for you, though you can't take it home.\When reading this book, you sometimes feel like you can hear a voice. response:	Well, that's that.
context: The Misterioso boy, Terunosuke Miyamoto,\became a book and is thus unable to fight.\Josuke didn't read the contents of the book,\but the book is at Morioh Library.\If you give the staff the title Misterioso,\they'll bring it for you, though you can't take it home.\When reading this book, you sometimes feel like you can hear a voice.\Well, that's that. response:	Morioh Library
context: became a book and is thus unable to fight.\Josuke didn't read the contents of the book,\but the book is at Morioh Library.\If you give the staff the title Misterioso,\they'll bring it for you, though you can't take it home.\When reading this book, you sometimes feel like you can hear a voice.\Well, that's that.\Morioh Library response:	Or probably not at all.
context: Josuke didn't read the contents of the book,\but the book is at Morioh Library.\If you give the staff the title Misterioso,\they'll bring it for you, though you can't take it home.\When reading this book, you sometimes feel like you can hear a voice.\Well, that's that.\Morioh Library\Or probably not at all. response:	Maybe this means that we're getting closer to Yoshikage Kira.
context: but the book is at Morioh Library.\If you give the staff the title Misterioso,\they'll bring it for you, though you can't take it home.\When reading this book, you sometimes feel like you can hear a voice.\Well, that's that.\Morioh Library\Or probably not at all.\Maybe this means that we're getting closer to Yoshikage Kira. response:	Though we don't know anything.
context: If you give the staff the title Misterioso,\they'll bring it for you, though you can't take it home.\When reading this book, you sometimes feel like you can hear a voice.\Well, that's that.\Morioh Library\Or probably not at all.\Maybe this means that we're getting closer to Yoshikage Kira.\Though we don't know anything. response:	Curses... Those resilient bastards!
context: they'll bring it for you, though you can't take it home.\When reading this book, you sometimes feel like you can hear a voice.\Well, that's that.\Morioh Library\Or probably not at all.\Maybe this means that we're getting closer to Yoshikage Kira.\Though we don't know anything.\Curses... Those resilient bastards! response:	July 15th (Thurs) 4:10 PM
context: When reading this book, you sometimes feel like you can hear a voice.\Well, that's that.\Morioh Library\Or probably not at all.\Maybe this means that we're getting closer to Yoshikage Kira.\Though we don't know anything.\Curses... Those resilient bastards!\July 15th (Thurs) 4:10 PM response:	It's no use calling for help.
context: Well, that's that.\Morioh Library\Or probably not at all.\Maybe this means that we're getting closer to Yoshikage Kira.\Though we don't know anything.\Curses... Those resilient bastards!\July 15th (Thurs) 4:10 PM\It's no use calling for help. response:	Hurry up and burn the pictures, okay?
context: Morioh Library\Or probably not at all.\Maybe this means that we're getting closer to Yoshikage Kira.\Though we don't know anything.\Curses... Those resilient bastards!\July 15th (Thurs) 4:10 PM\It's no use calling for help.\Hurry up and burn the pictures, okay? response:	July 15th (Thurs) 4:30 PM
context: Or probably not at all.\Maybe this means that we're getting closer to Yoshikage Kira.\Though we don't know anything.\Curses... Those resilient bastards!\July 15th (Thurs) 4:10 PM\It's no use calling for help.\Hurry up and burn the pictures, okay?\July 15th (Thurs) 4:30 PM response:	All right, I'm heading out for a bit.
context: Maybe this means that we're getting closer to Yoshikage Kira.\Though we don't know anything.\Curses... Those resilient bastards!\July 15th (Thurs) 4:10 PM\It's no use calling for help.\Hurry up and burn the pictures, okay?\July 15th (Thurs) 4:30 PM\All right, I'm heading out for a bit. response:	Where are you going?
context: Though we don't know anything.\Curses... Those resilient bastards!\July 15th (Thurs) 4:10 PM\It's no use calling for help.\Hurry up and burn the pictures, okay?\July 15th (Thurs) 4:30 PM\All right, I'm heading out for a bit.\Where are you going? response:	To find out what he's going to do even quicker,
context: Curses... Those resilient bastards!\July 15th (Thurs) 4:10 PM\It's no use calling for help.\Hurry up and burn the pictures, okay?\July 15th (Thurs) 4:30 PM\All right, I'm heading out for a bit.\Where are you going?\To find out what he's going to do even quicker, response:	I'll check out the surroundings of the missing people listed here.
context: July 15th (Thurs) 4:10 PM\It's no use calling for help.\Hurry up and burn the pictures, okay?\July 15th (Thurs) 4:30 PM\All right, I'm heading out for a bit.\Where are you going?\To find out what he's going to do even quicker,\I'll check out the surroundings of the missing people listed here. response:	People cannot escape the fate into which they were born.
context: It's no use calling for help.\Hurry up and burn the pictures, okay?\July 15th (Thurs) 4:30 PM\All right, I'm heading out for a bit.\Where are you going?\To find out what he's going to do even quicker,\I'll check out the surroundings of the missing people listed here.\People cannot escape the fate into which they were born. response:	He'll definitely make his move.
context: Hurry up and burn the pictures, okay?\July 15th (Thurs) 4:30 PM\All right, I'm heading out for a bit.\Where are you going?\To find out what he's going to do even quicker,\I'll check out the surroundings of the missing people listed here.\People cannot escape the fate into which they were born.\He'll definitely make his move. response:	July 15th (Thurs) 4:52 PM
context: July 15th (Thurs) 4:30 PM\All right, I'm heading out for a bit.\Where are you going?\To find out what he's going to do even quicker,\I'll check out the surroundings of the missing people listed here.\People cannot escape the fate into which they were born.\He'll definitely make his move.\July 15th (Thurs) 4:52 PM response:	I'm going to film it...
context: All right, I'm heading out for a bit.\Where are you going?\To find out what he's going to do even quicker,\I'll check out the surroundings of the missing people listed here.\People cannot escape the fate into which they were born.\He'll definitely make his move.\July 15th (Thurs) 4:52 PM\I'm going to film it... response:	I'll film the proof that Dad isn't Dad.
context: Where are you going?\To find out what he's going to do even quicker,\I'll check out the surroundings of the missing people listed here.\People cannot escape the fate into which they were born.\He'll definitely make his move.\July 15th (Thurs) 4:52 PM\I'm going to film it...\I'll film the proof that Dad isn't Dad. response:	No matter what.
context: To find out what he's going to do even quicker,\I'll check out the surroundings of the missing people listed here.\People cannot escape the fate into which they were born.\He'll definitely make his move.\July 15th (Thurs) 4:52 PM\I'm going to film it...\I'll film the proof that Dad isn't Dad.\No matter what. response:	Episode 34 July 15th (Thurs), Part 4
context: I'll check out the surroundings of the missing people listed here.\People cannot escape the fate into which they were born.\He'll definitely make his move.\July 15th (Thurs) 4:52 PM\I'm going to film it...\I'll film the proof that Dad isn't Dad.\No matter what.\Episode 34 July 15th (Thurs), Part 4 response:	Episode 34 July 15th ( Thurs ), Part 4
