context: Yes, this is Control. response:	Yeah, it's Marude! Give me a situation report!
context: Amore!\Heartbreak!\Imagine, my best friend Kaneki, facing danger\at the hands of some irrational bunch!\No kidding!\Though the city sleeps, its buildings are always\under construction\Urban planning carries on response:	Its belt lines morphing, snakes interlocking,
context: Heartbreak!\Imagine, my best friend Kaneki, facing danger\at the hands of some irrational bunch!\No kidding!\Though the city sleeps, its buildings are always\under construction\Urban planning carries on\Its belt lines morphing, snakes interlocking, response:	stirring up endorphins, and off you go, go, go
context: Imagine, my best friend Kaneki, facing danger\at the hands of some irrational bunch!\No kidding!\Though the city sleeps, its buildings are always\under construction\Urban planning carries on\Its belt lines morphing, snakes interlocking,\stirring up endorphins, and off you go, go, go response:	Souls ascend up into the night sky
context: at the hands of some irrational bunch!\No kidding!\Though the city sleeps, its buildings are always\under construction\Urban planning carries on\Its belt lines morphing, snakes interlocking,\stirring up endorphins, and off you go, go, go\Souls ascend up into the night sky response:	Their procession and their faith both resembling
context: No kidding!\Though the city sleeps, its buildings are always\under construction\Urban planning carries on\Its belt lines morphing, snakes interlocking,\stirring up endorphins, and off you go, go, go\Souls ascend up into the night sky\Their procession and their faith both resembling response:	an aberrant riddle
context: Though the city sleeps, its buildings are always\under construction\Urban planning carries on\Its belt lines morphing, snakes interlocking,\stirring up endorphins, and off you go, go, go\Souls ascend up into the night sky\Their procession and their faith both resembling\an aberrant riddle response:	Our as-yet-empty tomorrows
context: under construction\Urban planning carries on\Its belt lines morphing, snakes interlocking,\stirring up endorphins, and off you go, go, go\Souls ascend up into the night sky\Their procession and their faith both resembling\an aberrant riddle\Our as-yet-empty tomorrows response:	are an all but black shade of gray
context: Urban planning carries on\Its belt lines morphing, snakes interlocking,\stirring up endorphins, and off you go, go, go\Souls ascend up into the night sky\Their procession and their faith both resembling\an aberrant riddle\Our as-yet-empty tomorrows\are an all but black shade of gray response:	Without any possibilities
context: Its belt lines morphing, snakes interlocking,\stirring up endorphins, and off you go, go, go\Souls ascend up into the night sky\Their procession and their faith both resembling\an aberrant riddle\Our as-yet-empty tomorrows\are an all but black shade of gray\Without any possibilities response:	an all but black shade of gray
context: stirring up endorphins, and off you go, go, go\Souls ascend up into the night sky\Their procession and their faith both resembling\an aberrant riddle\Our as-yet-empty tomorrows\are an all but black shade of gray\Without any possibilities\an all but black shade of gray response:	Ah, tonight, you're the one I want
context: Souls ascend up into the night sky\Their procession and their faith both resembling\an aberrant riddle\Our as-yet-empty tomorrows\are an all but black shade of gray\Without any possibilities\an all but black shade of gray\Ah, tonight, you're the one I want response:	Saints
context: Their procession and their faith both resembling\an aberrant riddle\Our as-yet-empty tomorrows\are an all but black shade of gray\Without any possibilities\an all but black shade of gray\Ah, tonight, you're the one I want\Saints response:	Ah, I want you to signal the end
context: an aberrant riddle\Our as-yet-empty tomorrows\are an all but black shade of gray\Without any possibilities\an all but black shade of gray\Ah, tonight, you're the one I want\Saints\Ah, I want you to signal the end response:	Saints
context: Our as-yet-empty tomorrows\are an all but black shade of gray\Without any possibilities\an all but black shade of gray\Ah, tonight, you're the one I want\Saints\Ah, I want you to signal the end\Saints response:	Saints
context: are an all but black shade of gray\Without any possibilities\an all but black shade of gray\Ah, tonight, you're the one I want\Saints\Ah, I want you to signal the end\Saints\Saints response:	Saints
context: Without any possibilities\an all but black shade of gray\Ah, tonight, you're the one I want\Saints\Ah, I want you to signal the end\Saints\Saints\Saints response:	Jiro, how does Miss Rize feel about me, do you think?
context: an all but black shade of gray\Ah, tonight, you're the one I want\Saints\Ah, I want you to signal the end\Saints\Saints\Saints\Jiro, how does Miss Rize feel about me, do you think? response:	Where's this coming from all of a sudden?
context: Ah, tonight, you're the one I want\Saints\Ah, I want you to signal the end\Saints\Saints\Saints\Jiro, how does Miss Rize feel about me, do you think?\Where's this coming from all of a sudden? response:	If you want to get on her good side, why not give her a present?
context: Saints\Ah, I want you to signal the end\Saints\Saints\Saints\Jiro, how does Miss Rize feel about me, do you think?\Where's this coming from all of a sudden?\If you want to get on her good side, why not give her a present? response:	A present? Oh, but I couldn't ask her directly.
context: Ah, I want you to signal the end\Saints\Saints\Saints\Jiro, how does Miss Rize feel about me, do you think?\Where's this coming from all of a sudden?\If you want to get on her good side, why not give her a present?\A present? Oh, but I couldn't ask her directly. response:	-It would ruin the surprise.
context: Saints\Saints\Saints\Jiro, how does Miss Rize feel about me, do you think?\Where's this coming from all of a sudden?\If you want to get on her good side, why not give her a present?\A present? Oh, but I couldn't ask her directly.\-It would ruin the surprise. response:	-He's going to have me go ask her. -It would ruin the surprise.
context: Saints\Saints\Jiro, how does Miss Rize feel about me, do you think?\Where's this coming from all of a sudden?\If you want to get on her good side, why not give her a present?\A present? Oh, but I couldn't ask her directly.\-It would ruin the surprise.\-He's going to have me go ask her. -It would ruin the surprise. response:	How gutless.
context: Saints\Jiro, how does Miss Rize feel about me, do you think?\Where's this coming from all of a sudden?\If you want to get on her good side, why not give her a present?\A present? Oh, but I couldn't ask her directly.\-It would ruin the surprise.\-He's going to have me go ask her. -It would ruin the surprise.\How gutless. response:	Miss Rize, Miss Rize, I have a question for you.
context: Jiro, how does Miss Rize feel about me, do you think?\Where's this coming from all of a sudden?\If you want to get on her good side, why not give her a present?\A present? Oh, but I couldn't ask her directly.\-It would ruin the surprise.\-He's going to have me go ask her. -It would ruin the surprise.\How gutless.\Miss Rize, Miss Rize, I have a question for you. response:	She says she likes any and all internal organs.
context: Where's this coming from all of a sudden?\If you want to get on her good side, why not give her a present?\A present? Oh, but I couldn't ask her directly.\-It would ruin the surprise.\-He's going to have me go ask her. -It would ruin the surprise.\How gutless.\Miss Rize, Miss Rize, I have a question for you.\She says she likes any and all internal organs. response:	Next time:'High Spirits'
context: If you want to get on her good side, why not give her a present?\A present? Oh, but I couldn't ask her directly.\-It would ruin the surprise.\-He's going to have me go ask her. -It would ruin the surprise.\How gutless.\Miss Rize, Miss Rize, I have a question for you.\She says she likes any and all internal organs.\Next time:'High Spirits' response:	I see. Thanks.
context: A present? Oh, but I couldn't ask her directly.\-It would ruin the surprise.\-He's going to have me go ask her. -It would ruin the surprise.\How gutless.\Miss Rize, Miss Rize, I have a question for you.\She says she likes any and all internal organs.\Next time:'High Spirits'\I see. Thanks. response:	Layout: Katsuya Yamada
