context: Hey! What are you looking for today? response:	Non-player characters...
context: We can do it.\Yeah.\After a while, those wounds will heal on their own, but...\Every day is rough for you, Tohya.\What about you, Minori?\These injuries...\I spend the whole day sewing.\Why did we join this guild? response:	We couldn't do anything else.
context: Yeah.\After a while, those wounds will heal on their own, but...\Every day is rough for you, Tohya.\What about you, Minori?\These injuries...\I spend the whole day sewing.\Why did we join this guild?\We couldn't do anything else. response:	There's so much we didn't know.
context: After a while, those wounds will heal on their own, but...\Every day is rough for you, Tohya.\What about you, Minori?\These injuries...\I spend the whole day sewing.\Why did we join this guild?\We couldn't do anything else.\There's so much we didn't know. response:	It's time...
context: Every day is rough for you, Tohya.\What about you, Minori?\These injuries...\I spend the whole day sewing.\Why did we join this guild?\We couldn't do anything else.\There's so much we didn't know.\It's time... response:	Show us what you've got.
context: What about you, Minori?\These injuries...\I spend the whole day sewing.\Why did we join this guild?\We couldn't do anything else.\There's so much we didn't know.\It's time...\Show us what you've got. response:	You're lucky...
context: These injuries...\I spend the whole day sewing.\Why did we join this guild?\We couldn't do anything else.\There's so much we didn't know.\It's time...\Show us what you've got.\You're lucky... response:	You're useless, but you can still earn three meals a day.
context: I spend the whole day sewing.\Why did we join this guild?\We couldn't do anything else.\There's so much we didn't know.\It's time...\Show us what you've got.\You're lucky...\You're useless, but you can still earn three meals a day. response:	At a time like this, what would he do?
context: Why did we join this guild?\We couldn't do anything else.\There's so much we didn't know.\It's time...\Show us what you've got.\You're lucky...\You're useless, but you can still earn three meals a day.\At a time like this, what would he do? response:	What would Shiroe do?
context: We couldn't do anything else.\There's so much we didn't know.\It's time...\Show us what you've got.\You're lucky...\You're useless, but you can still earn three meals a day.\At a time like this, what would he do?\What would Shiroe do? response:	Shiroe...
context: There's so much we didn't know.\It's time...\Show us what you've got.\You're lucky...\You're useless, but you can still earn three meals a day.\At a time like this, what would he do?\What would Shiroe do?\Shiroe... response:	Okay, everyone's here.
context: It's time...\Show us what you've got.\You're lucky...\You're useless, but you can still earn three meals a day.\At a time like this, what would he do?\What would Shiroe do?\Shiroe...\Okay, everyone's here. response:	Let's go. Don't screw up today.
context: Show us what you've got.\You're lucky...\You're useless, but you can still earn three meals a day.\At a time like this, what would he do?\What would Shiroe do?\Shiroe...\Okay, everyone's here.\Let's go. Don't screw up today. response:	Got it?
context: You're lucky...\You're useless, but you can still earn three meals a day.\At a time like this, what would he do?\What would Shiroe do?\Shiroe...\Okay, everyone's here.\Let's go. Don't screw up today.\Got it? response:	Serara! I'm so glad you're all right! Thanks, Shiro!
context: You're useless, but you can still earn three meals a day.\At a time like this, what would he do?\What would Shiroe do?\Shiroe...\Okay, everyone's here.\Let's go. Don't screw up today.\Got it?\Serara! I'm so glad you're all right! Thanks, Shiro! response:	Thank you!
context: At a time like this, what would he do?\What would Shiroe do?\Shiroe...\Okay, everyone's here.\Let's go. Don't screw up today.\Got it?\Serara! I'm so glad you're all right! Thanks, Shiro!\Thank you! response:	You don't need to thank me, Mari.
context: What would Shiroe do?\Shiroe...\Okay, everyone's here.\Let's go. Don't screw up today.\Got it?\Serara! I'm so glad you're all right! Thanks, Shiro!\Thank you!\You don't need to thank me, Mari. response:	That voice... It must be.
context: Shiroe...\Okay, everyone's here.\Let's go. Don't screw up today.\Got it?\Serara! I'm so glad you're all right! Thanks, Shiro!\Thank you!\You don't need to thank me, Mari.\That voice... It must be. response:	It's Shiroe!
context: Okay, everyone's here.\Let's go. Don't screw up today.\Got it?\Serara! I'm so glad you're all right! Thanks, Shiro!\Thank you!\You don't need to thank me, Mari.\That voice... It must be.\It's Shiroe! response:	Hey! What are you doing?
context: Let's go. Don't screw up today.\Got it?\Serara! I'm so glad you're all right! Thanks, Shiro!\Thank you!\You don't need to thank me, Mari.\That voice... It must be.\It's Shiroe!\Hey! What are you doing? response:	Come on!
context: Got it?\Serara! I'm so glad you're all right! Thanks, Shiro!\Thank you!\You don't need to thank me, Mari.\That voice... It must be.\It's Shiroe!\Hey! What are you doing?\Come on! response:	We returned to Akihabara,
context: Serara! I'm so glad you're all right! Thanks, Shiro!\Thank you!\You don't need to thank me, Mari.\That voice... It must be.\It's Shiroe!\Hey! What are you doing?\Come on!\We returned to Akihabara, response:	which seemed to be regaining a measure of peace.
context: Thank you!\You don't need to thank me, Mari.\That voice... It must be.\It's Shiroe!\Hey! What are you doing?\Come on!\We returned to Akihabara,\which seemed to be regaining a measure of peace. response:	But it was a false peace, in which the powerful stole from the weak.
context: You don't need to thank me, Mari.\That voice... It must be.\It's Shiroe!\Hey! What are you doing?\Come on!\We returned to Akihabara,\which seemed to be regaining a measure of peace.\But it was a false peace, in which the powerful stole from the weak. response:	Are there some who realize it, but can do nothing?
context: That voice... It must be.\It's Shiroe!\Hey! What are you doing?\Come on!\We returned to Akihabara,\which seemed to be regaining a measure of peace.\But it was a false peace, in which the powerful stole from the weak.\Are there some who realize it, but can do nothing? response:	Is Shiroe one of them?
context: It's Shiroe!\Hey! What are you doing?\Come on!\We returned to Akihabara,\which seemed to be regaining a measure of peace.\But it was a false peace, in which the powerful stole from the weak.\Are there some who realize it, but can do nothing?\Is Shiroe one of them? response:	Can he do nothing but watch, as the world becomes twisted?
context: Hey! What are you doing?\Come on!\We returned to Akihabara,\which seemed to be regaining a measure of peace.\But it was a false peace, in which the powerful stole from the weak.\Are there some who realize it, but can do nothing?\Is Shiroe one of them?\Can he do nothing but watch, as the world becomes twisted? response:	Resolve
context: Come on!\We returned to Akihabara,\which seemed to be regaining a measure of peace.\But it was a false peace, in which the powerful stole from the weak.\Are there some who realize it, but can do nothing?\Is Shiroe one of them?\Can he do nothing but watch, as the world becomes twisted?\Resolve response:	Next time: Resolve.
context: We returned to Akihabara,\which seemed to be regaining a measure of peace.\But it was a false peace, in which the powerful stole from the weak.\Are there some who realize it, but can do nothing?\Is Shiroe one of them?\Can he do nothing but watch, as the world becomes twisted?\Resolve\Next time: Resolve. response:	This is our reality.
