context: On the night of Christmas Eve, response:	I made up with Shiina,
context: I wish you'd waited until I got out of the bath.\There's one thing I need to teach you...\about life while I still have breath in my body!\Opportunity waits for no man!\I got it already! I wanted to talk about Yuko!\She seems to be taking studying seriously,\so can't you at least let her apply to Suimei?\If she tries and fails, Yuko will accept that, won't she? response:	Then, if she ends up attending a school here, won't that put your mind at ease?
context: There's one thing I need to teach you...\about life while I still have breath in my body!\Opportunity waits for no man!\I got it already! I wanted to talk about Yuko!\She seems to be taking studying seriously,\so can't you at least let her apply to Suimei?\If she tries and fails, Yuko will accept that, won't she?\Then, if she ends up attending a school here, won't that put your mind at ease? response:	You've grown, a little.
context: about life while I still have breath in my body!\Opportunity waits for no man!\I got it already! I wanted to talk about Yuko!\She seems to be taking studying seriously,\so can't you at least let her apply to Suimei?\If she tries and fails, Yuko will accept that, won't she?\Then, if she ends up attending a school here, won't that put your mind at ease?\You've grown, a little. response:	Hey! Who are you talking to?!
context: Opportunity waits for no man!\I got it already! I wanted to talk about Yuko!\She seems to be taking studying seriously,\so can't you at least let her apply to Suimei?\If she tries and fails, Yuko will accept that, won't she?\Then, if she ends up attending a school here, won't that put your mind at ease?\You've grown, a little.\Hey! Who are you talking to?! response:	My son.
context: I got it already! I wanted to talk about Yuko!\She seems to be taking studying seriously,\so can't you at least let her apply to Suimei?\If she tries and fails, Yuko will accept that, won't she?\Then, if she ends up attending a school here, won't that put your mind at ease?\You've grown, a little.\Hey! Who are you talking to?!\My son. response:	Please just die already!
context: She seems to be taking studying seriously,\so can't you at least let her apply to Suimei?\If she tries and fails, Yuko will accept that, won't she?\Then, if she ends up attending a school here, won't that put your mind at ease?\You've grown, a little.\Hey! Who are you talking to?!\My son.\Please just die already! response:	So, which girl are you serious about?
context: so can't you at least let her apply to Suimei?\If she tries and fails, Yuko will accept that, won't she?\Then, if she ends up attending a school here, won't that put your mind at ease?\You've grown, a little.\Hey! Who are you talking to?!\My son.\Please just die already!\So, which girl are you serious about? response:	You just don't give up, do you?!
context: If she tries and fails, Yuko will accept that, won't she?\Then, if she ends up attending a school here, won't that put your mind at ease?\You've grown, a little.\Hey! Who are you talking to?!\My son.\Please just die already!\So, which girl are you serious about?\You just don't give up, do you?! response:	Why are you asking me questions like we're kids at a sleepover?
context: Then, if she ends up attending a school here, won't that put your mind at ease?\You've grown, a little.\Hey! Who are you talking to?!\My son.\Please just die already!\So, which girl are you serious about?\You just don't give up, do you?!\Why are you asking me questions like we're kids at a sleepover? response:	You shouldn't be so indecisive!
context: You've grown, a little.\Hey! Who are you talking to?!\My son.\Please just die already!\So, which girl are you serious about?\You just don't give up, do you?!\Why are you asking me questions like we're kids at a sleepover?\You shouldn't be so indecisive! response:	I don't remember raising such a girly-ass son!
context: Hey! Who are you talking to?!\My son.\Please just die already!\So, which girl are you serious about?\You just don't give up, do you?!\Why are you asking me questions like we're kids at a sleepover?\You shouldn't be so indecisive!\I don't remember raising such a girly-ass son! response:	Can you just stop now?!
context: My son.\Please just die already!\So, which girl are you serious about?\You just don't give up, do you?!\Why are you asking me questions like we're kids at a sleepover?\You shouldn't be so indecisive!\I don't remember raising such a girly-ass son!\Can you just stop now?! response:	But it's your life.
context: Please just die already!\So, which girl are you serious about?\You just don't give up, do you?!\Why are you asking me questions like we're kids at a sleepover?\You shouldn't be so indecisive!\I don't remember raising such a girly-ass son!\Can you just stop now?!\But it's your life. response:	Live it how you want to.
context: So, which girl are you serious about?\You just don't give up, do you?!\Why are you asking me questions like we're kids at a sleepover?\You shouldn't be so indecisive!\I don't remember raising such a girly-ass son!\Can you just stop now?!\But it's your life.\Live it how you want to. response:	If you intend to go to college, don't worry.
context: You just don't give up, do you?!\Why are you asking me questions like we're kids at a sleepover?\You shouldn't be so indecisive!\I don't remember raising such a girly-ass son!\Can you just stop now?!\But it's your life.\Live it how you want to.\If you intend to go to college, don't worry. response:	I'll make enough money to pay for your and Yuko's tuition.
context: Why are you asking me questions like we're kids at a sleepover?\You shouldn't be so indecisive!\I don't remember raising such a girly-ass son!\Can you just stop now?!\But it's your life.\Live it how you want to.\If you intend to go to college, don't worry.\I'll make enough money to pay for your and Yuko's tuition. response:	I won't say it again.
context: You shouldn't be so indecisive!\I don't remember raising such a girly-ass son!\Can you just stop now?!\But it's your life.\Live it how you want to.\If you intend to go to college, don't worry.\I'll make enough money to pay for your and Yuko's tuition.\I won't say it again. response:	Dad.
context: I don't remember raising such a girly-ass son!\Can you just stop now?!\But it's your life.\Live it how you want to.\If you intend to go to college, don't worry.\I'll make enough money to pay for your and Yuko's tuition.\I won't say it again.\Dad. response:	Well, in Yuko's case, it's probably...
context: Can you just stop now?!\But it's your life.\Live it how you want to.\If you intend to go to college, don't worry.\I'll make enough money to pay for your and Yuko's tuition.\I won't say it again.\Dad.\Well, in Yuko's case, it's probably... response:	impossible for her to get into Suimei.
context: But it's your life.\Live it how you want to.\If you intend to go to college, don't worry.\I'll make enough money to pay for your and Yuko's tuition.\I won't say it again.\Dad.\Well, in Yuko's case, it's probably...\impossible for her to get into Suimei. response:	I think so, too.
context: Live it how you want to.\If you intend to go to college, don't worry.\I'll make enough money to pay for your and Yuko's tuition.\I won't say it again.\Dad.\Well, in Yuko's case, it's probably...\impossible for her to get into Suimei.\I think so, too. response:	Hey, Sorata.
context: If you intend to go to college, don't worry.\I'll make enough money to pay for your and Yuko's tuition.\I won't say it again.\Dad.\Well, in Yuko's case, it's probably...\impossible for her to get into Suimei.\I think so, too.\Hey, Sorata. response:	What?
context: I'll make enough money to pay for your and Yuko's tuition.\I won't say it again.\Dad.\Well, in Yuko's case, it's probably...\impossible for her to get into Suimei.\I think so, too.\Hey, Sorata.\What? response:	I stayed in too long, and now I can't move. Help me.
context: I won't say it again.\Dad.\Well, in Yuko's case, it's probably...\impossible for her to get into Suimei.\I think so, too.\Hey, Sorata.\What?\I stayed in too long, and now I can't move. Help me. response:	Apologize first!
context: Dad.\Well, in Yuko's case, it's probably...\impossible for her to get into Suimei.\I think so, too.\Hey, Sorata.\What?\I stayed in too long, and now I can't move. Help me.\Apologize first! response:	Apologize for making me think you were even a little cool!
context: Well, in Yuko's case, it's probably...\impossible for her to get into Suimei.\I think so, too.\Hey, Sorata.\What?\I stayed in too long, and now I can't move. Help me.\Apologize first!\Apologize for making me think you were even a little cool! response:	It was probably a mistake to drink.
context: impossible for her to get into Suimei.\I think so, too.\Hey, Sorata.\What?\I stayed in too long, and now I can't move. Help me.\Apologize first!\Apologize for making me think you were even a little cool!\It was probably a mistake to drink. response:	Don't get into the bath drunk!
context: I think so, too.\Hey, Sorata.\What?\I stayed in too long, and now I can't move. Help me.\Apologize first!\Apologize for making me think you were even a little cool!\It was probably a mistake to drink.\Don't get into the bath drunk! response:	Don't be stupid.
context: Hey, Sorata.\What?\I stayed in too long, and now I can't move. Help me.\Apologize first!\Apologize for making me think you were even a little cool!\It was probably a mistake to drink.\Don't get into the bath drunk!\Don't be stupid. response:	What man could talk to his own son sober?
context: What?\I stayed in too long, and now I can't move. Help me.\Apologize first!\Apologize for making me think you were even a little cool!\It was probably a mistake to drink.\Don't get into the bath drunk!\Don't be stupid.\What man could talk to his own son sober? response:	You're the girly-ass!
context: I stayed in too long, and now I can't move. Help me.\Apologize first!\Apologize for making me think you were even a little cool!\It was probably a mistake to drink.\Don't get into the bath drunk!\Don't be stupid.\What man could talk to his own son sober?\You're the girly-ass! response:	Sorata...
context: Apologize first!\Apologize for making me think you were even a little cool!\It was probably a mistake to drink.\Don't get into the bath drunk!\Don't be stupid.\What man could talk to his own son sober?\You're the girly-ass!\Sorata... response:	There's more?!
context: Apologize for making me think you were even a little cool!\It was probably a mistake to drink.\Don't get into the bath drunk!\Don't be stupid.\What man could talk to his own son sober?\You're the girly-ass!\Sorata...\There's more?! response:	Happy New Year.
context: It was probably a mistake to drink.\Don't get into the bath drunk!\Don't be stupid.\What man could talk to his own son sober?\You're the girly-ass!\Sorata...\There's more?!\Happy New Year. response:	I'm not in any mood to celebrate the new year!
context: Don't get into the bath drunk!\Don't be stupid.\What man could talk to his own son sober?\You're the girly-ass!\Sorata...\There's more?!\Happy New Year.\I'm not in any mood to celebrate the new year! response:	Staying up to watch the sunrise is a bit over-the-top for a New Year's celebration.
context: Don't be stupid.\What man could talk to his own son sober?\You're the girly-ass!\Sorata...\There's more?!\Happy New Year.\I'm not in any mood to celebrate the new year!\Staying up to watch the sunrise is a bit over-the-top for a New Year's celebration. response:	And the man who suggested it passed out.
context: What man could talk to his own son sober?\You're the girly-ass!\Sorata...\There's more?!\Happy New Year.\I'm not in any mood to celebrate the new year!\Staying up to watch the sunrise is a bit over-the-top for a New Year's celebration.\And the man who suggested it passed out. response:	What does Jin love about me?
context: You're the girly-ass!\Sorata...\There's more?!\Happy New Year.\I'm not in any mood to celebrate the new year!\Staying up to watch the sunrise is a bit over-the-top for a New Year's celebration.\And the man who suggested it passed out.\What does Jin love about me? response:	Onii-chan, thanks for talking to Dad.
context: Sorata...\There's more?!\Happy New Year.\I'm not in any mood to celebrate the new year!\Staying up to watch the sunrise is a bit over-the-top for a New Year's celebration.\And the man who suggested it passed out.\What does Jin love about me?\Onii-chan, thanks for talking to Dad. response:	It sounded like he would have allowed it even if I hadn't said anything.
context: There's more?!\Happy New Year.\I'm not in any mood to celebrate the new year!\Staying up to watch the sunrise is a bit over-the-top for a New Year's celebration.\And the man who suggested it passed out.\What does Jin love about me?\Onii-chan, thanks for talking to Dad.\It sounded like he would have allowed it even if I hadn't said anything. response:	Yeah, but thanks anyway.
context: Happy New Year.\I'm not in any mood to celebrate the new year!\Staying up to watch the sunrise is a bit over-the-top for a New Year's celebration.\And the man who suggested it passed out.\What does Jin love about me?\Onii-chan, thanks for talking to Dad.\It sounded like he would have allowed it even if I hadn't said anything.\Yeah, but thanks anyway. response:	I'm glad you're my brother.
context: I'm not in any mood to celebrate the new year!\Staying up to watch the sunrise is a bit over-the-top for a New Year's celebration.\And the man who suggested it passed out.\What does Jin love about me?\Onii-chan, thanks for talking to Dad.\It sounded like he would have allowed it even if I hadn't said anything.\Yeah, but thanks anyway.\I'm glad you're my brother. response:	Wh-What's that supposed to mean?
context: Staying up to watch the sunrise is a bit over-the-top for a New Year's celebration.\And the man who suggested it passed out.\What does Jin love about me?\Onii-chan, thanks for talking to Dad.\It sounded like he would have allowed it even if I hadn't said anything.\Yeah, but thanks anyway.\I'm glad you're my brother.\Wh-What's that supposed to mean? response:	Mashiron, thank you.
context: And the man who suggested it passed out.\What does Jin love about me?\Onii-chan, thanks for talking to Dad.\It sounded like he would have allowed it even if I hadn't said anything.\Yeah, but thanks anyway.\I'm glad you're my brother.\Wh-What's that supposed to mean?\Mashiron, thank you. response:	I can't stop animating.
context: What does Jin love about me?\Onii-chan, thanks for talking to Dad.\It sounded like he would have allowed it even if I hadn't said anything.\Yeah, but thanks anyway.\I'm glad you're my brother.\Wh-What's that supposed to mean?\Mashiron, thank you.\I can't stop animating. response:	I just end up doing it.
context: Onii-chan, thanks for talking to Dad.\It sounded like he would have allowed it even if I hadn't said anything.\Yeah, but thanks anyway.\I'm glad you're my brother.\Wh-What's that supposed to mean?\Mashiron, thank you.\I can't stop animating.\I just end up doing it. response:	Even now, I want to go back to Sakura Hall and make more.
context: It sounded like he would have allowed it even if I hadn't said anything.\Yeah, but thanks anyway.\I'm glad you're my brother.\Wh-What's that supposed to mean?\Mashiron, thank you.\I can't stop animating.\I just end up doing it.\Even now, I want to go back to Sakura Hall and make more. response:	My head's full of thoughts of background animations for this shot,
context: Yeah, but thanks anyway.\I'm glad you're my brother.\Wh-What's that supposed to mean?\Mashiron, thank you.\I can't stop animating.\I just end up doing it.\Even now, I want to go back to Sakura Hall and make more.\My head's full of thoughts of background animations for this shot, response:	and original screen splashes of that character!
context: I'm glad you're my brother.\Wh-What's that supposed to mean?\Mashiron, thank you.\I can't stop animating.\I just end up doing it.\Even now, I want to go back to Sakura Hall and make more.\My head's full of thoughts of background animations for this shot,\and original screen splashes of that character! response:	Jin said he liked that about me!
context: Wh-What's that supposed to mean?\Mashiron, thank you.\I can't stop animating.\I just end up doing it.\Even now, I want to go back to Sakura Hall and make more.\My head's full of thoughts of background animations for this shot,\and original screen splashes of that character!\Jin said he liked that about me! response:	I like you the way you always are, too.
context: Mashiron, thank you.\I can't stop animating.\I just end up doing it.\Even now, I want to go back to Sakura Hall and make more.\My head's full of thoughts of background animations for this shot,\and original screen splashes of that character!\Jin said he liked that about me!\I like you the way you always are, too. response:	S-So do I!
context: I can't stop animating.\I just end up doing it.\Even now, I want to go back to Sakura Hall and make more.\My head's full of thoughts of background animations for this shot,\and original screen splashes of that character!\Jin said he liked that about me!\I like you the way you always are, too.\S-So do I! response:	Me, too!
context: I just end up doing it.\Even now, I want to go back to Sakura Hall and make more.\My head's full of thoughts of background animations for this shot,\and original screen splashes of that character!\Jin said he liked that about me!\I like you the way you always are, too.\S-So do I!\Me, too! response:	Yeah! I love myself, too!
context: Even now, I want to go back to Sakura Hall and make more.\My head's full of thoughts of background animations for this shot,\and original screen splashes of that character!\Jin said he liked that about me!\I like you the way you always are, too.\S-So do I!\Me, too!\Yeah! I love myself, too! response:	Sorry for making you all worry!
context: My head's full of thoughts of background animations for this shot,\and original screen splashes of that character!\Jin said he liked that about me!\I like you the way you always are, too.\S-So do I!\Me, too!\Yeah! I love myself, too!\Sorry for making you all worry! response:	But I'm okay!
context: and original screen splashes of that character!\Jin said he liked that about me!\I like you the way you always are, too.\S-So do I!\Me, too!\Yeah! I love myself, too!\Sorry for making you all worry!\But I'm okay! response:	Misaki-senpai.
context: Jin said he liked that about me!\I like you the way you always are, too.\S-So do I!\Me, too!\Yeah! I love myself, too!\Sorry for making you all worry!\But I'm okay!\Misaki-senpai. response:	I'll make Jin's anime!
context: I like you the way you always are, too.\S-So do I!\Me, too!\Yeah! I love myself, too!\Sorry for making you all worry!\But I'm okay!\Misaki-senpai.\I'll make Jin's anime! response:	Using the script Jin wrote, I'll make an animation myself!
context: S-So do I!\Me, too!\Yeah! I love myself, too!\Sorry for making you all worry!\But I'm okay!\Misaki-senpai.\I'll make Jin's anime!\Using the script Jin wrote, I'll make an animation myself! response:	Let's do this!
context: Me, too!\Yeah! I love myself, too!\Sorry for making you all worry!\But I'm okay!\Misaki-senpai.\I'll make Jin's anime!\Using the script Jin wrote, I'll make an animation myself!\Let's do this! response:	I'll make Jin look at me this time!
context: Yeah! I love myself, too!\Sorry for making you all worry!\But I'm okay!\Misaki-senpai.\I'll make Jin's anime!\Using the script Jin wrote, I'll make an animation myself!\Let's do this!\I'll make Jin look at me this time! response:	I'll make my presentation a success!
context: Sorry for making you all worry!\But I'm okay!\Misaki-senpai.\I'll make Jin's anime!\Using the script Jin wrote, I'll make an animation myself!\Let's do this!\I'll make Jin look at me this time!\I'll make my presentation a success! response:	I-I'll pass my audition!
context: But I'm okay!\Misaki-senpai.\I'll make Jin's anime!\Using the script Jin wrote, I'll make an animation myself!\Let's do this!\I'll make Jin look at me this time!\I'll make my presentation a success!\I-I'll pass my audition! response:	Huh? Oh!
context: Misaki-senpai.\I'll make Jin's anime!\Using the script Jin wrote, I'll make an animation myself!\Let's do this!\I'll make Jin look at me this time!\I'll make my presentation a success!\I-I'll pass my audition!\Huh? Oh! response:	I'll get into Suimei!
context: I'll make Jin's anime!\Using the script Jin wrote, I'll make an animation myself!\Let's do this!\I'll make Jin look at me this time!\I'll make my presentation a success!\I-I'll pass my audition!\Huh? Oh!\I'll get into Suimei! response:	Meatball beam, meow!
context: Using the script Jin wrote, I'll make an animation myself!\Let's do this!\I'll make Jin look at me this time!\I'll make my presentation a success!\I-I'll pass my audition!\Huh? Oh!\I'll get into Suimei!\Meatball beam, meow! response:	Don't use your special ability!
context: Let's do this!\I'll make Jin look at me this time!\I'll make my presentation a success!\I-I'll pass my audition!\Huh? Oh!\I'll get into Suimei!\Meatball beam, meow!\Don't use your special ability! response:	I like meatballs.
context: I'll make Jin look at me this time!\I'll make my presentation a success!\I-I'll pass my audition!\Huh? Oh!\I'll get into Suimei!\Meatball beam, meow!\Don't use your special ability!\I like meatballs. response:	I hope Jin gets accepted.
context: I'll make my presentation a success!\I-I'll pass my audition!\Huh? Oh!\I'll get into Suimei!\Meatball beam, meow!\Don't use your special ability!\I like meatballs.\I hope Jin gets accepted. response:	All right! Let's sprint towards the rising sun!
context: I-I'll pass my audition!\Huh? Oh!\I'll get into Suimei!\Meatball beam, meow!\Don't use your special ability!\I like meatballs.\I hope Jin gets accepted.\All right! Let's sprint towards the rising sun! response:	Misaki-san, there's a cliff over there!
context: Huh? Oh!\I'll get into Suimei!\Meatball beam, meow!\Don't use your special ability!\I like meatballs.\I hope Jin gets accepted.\All right! Let's sprint towards the rising sun!\Misaki-san, there's a cliff over there! response:	Let's shout Geronimo and take the plunge!
context: I'll get into Suimei!\Meatball beam, meow!\Don't use your special ability!\I like meatballs.\I hope Jin gets accepted.\All right! Let's sprint towards the rising sun!\Misaki-san, there's a cliff over there!\Let's shout Geronimo and take the plunge! response:	Is she a monster?!
context: Meatball beam, meow!\Don't use your special ability!\I like meatballs.\I hope Jin gets accepted.\All right! Let's sprint towards the rising sun!\Misaki-san, there's a cliff over there!\Let's shout Geronimo and take the plunge!\Is she a monster?! response:	A paratrooper?!
context: Don't use your special ability!\I like meatballs.\I hope Jin gets accepted.\All right! Let's sprint towards the rising sun!\Misaki-san, there's a cliff over there!\Let's shout Geronimo and take the plunge!\Is she a monster?!\A paratrooper?! response:	A superhero?!
context: I like meatballs.\I hope Jin gets accepted.\All right! Let's sprint towards the rising sun!\Misaki-san, there's a cliff over there!\Let's shout Geronimo and take the plunge!\Is she a monster?!\A paratrooper?!\A superhero?! response:	This girl's just plain weird!
context: I hope Jin gets accepted.\All right! Let's sprint towards the rising sun!\Misaki-san, there's a cliff over there!\Let's shout Geronimo and take the plunge!\Is she a monster?!\A paratrooper?!\A superhero?!\This girl's just plain weird! response:	The three days after Misaki-senpai's revival flew by...
context: All right! Let's sprint towards the rising sun!\Misaki-san, there's a cliff over there!\Let's shout Geronimo and take the plunge!\Is she a monster?!\A paratrooper?!\A superhero?!\This girl's just plain weird!\The three days after Misaki-senpai's revival flew by... response:	And the day came for us to return to Sakura Hall.
context: Misaki-san, there's a cliff over there!\Let's shout Geronimo and take the plunge!\Is she a monster?!\A paratrooper?!\A superhero?!\This girl's just plain weird!\The three days after Misaki-senpai's revival flew by...\And the day came for us to return to Sakura Hall. response:	Onii-chan, I'll be coming next month for the entrance exam!
context: Let's shout Geronimo and take the plunge!\Is she a monster?!\A paratrooper?!\A superhero?!\This girl's just plain weird!\The three days after Misaki-senpai's revival flew by...\And the day came for us to return to Sakura Hall.\Onii-chan, I'll be coming next month for the entrance exam! response:	Kashiwameshi Bento
context: Is she a monster?!\A paratrooper?!\A superhero?!\This girl's just plain weird!\The three days after Misaki-senpai's revival flew by...\And the day came for us to return to Sakura Hall.\Onii-chan, I'll be coming next month for the entrance exam!\Kashiwameshi Bento response:	Our winter break's finally over.
context: A paratrooper?!\A superhero?!\This girl's just plain weird!\The three days after Misaki-senpai's revival flew by...\And the day came for us to return to Sakura Hall.\Onii-chan, I'll be coming next month for the entrance exam!\Kashiwameshi Bento\Our winter break's finally over. response:	Yeah.
context: A superhero?!\This girl's just plain weird!\The three days after Misaki-senpai's revival flew by...\And the day came for us to return to Sakura Hall.\Onii-chan, I'll be coming next month for the entrance exam!\Kashiwameshi Bento\Our winter break's finally over.\Yeah. response:	Are you nervous?
context: This girl's just plain weird!\The three days after Misaki-senpai's revival flew by...\And the day came for us to return to Sakura Hall.\Onii-chan, I'll be coming next month for the entrance exam!\Kashiwameshi Bento\Our winter break's finally over.\Yeah.\Are you nervous? response:	Are you?
context: The three days after Misaki-senpai's revival flew by...\And the day came for us to return to Sakura Hall.\Onii-chan, I'll be coming next month for the entrance exam!\Kashiwameshi Bento\Our winter break's finally over.\Yeah.\Are you nervous?\Are you? response:	Things are just getting started.
context: And the day came for us to return to Sakura Hall.\Onii-chan, I'll be coming next month for the entrance exam!\Kashiwameshi Bento\Our winter break's finally over.\Yeah.\Are you nervous?\Are you?\Things are just getting started. response:	Yeah.
context: Onii-chan, I'll be coming next month for the entrance exam!\Kashiwameshi Bento\Our winter break's finally over.\Yeah.\Are you nervous?\Are you?\Things are just getting started.\Yeah. response:	I'll have to face that nervousness again...
context: Kashiwameshi Bento\Our winter break's finally over.\Yeah.\Are you nervous?\Are you?\Things are just getting started.\Yeah.\I'll have to face that nervousness again... response:	But this time, I'm even looking forward to it.
context: Our winter break's finally over.\Yeah.\Are you nervous?\Are you?\Things are just getting started.\Yeah.\I'll have to face that nervousness again...\But this time, I'm even looking forward to it. response:	Both of us living together.
context: Yeah.\Are you nervous?\Are you?\Things are just getting started.\Yeah.\I'll have to face that nervousness again...\But this time, I'm even looking forward to it.\Both of us living together. response:	It's my job to make dinner.
context: Are you nervous?\Are you?\Things are just getting started.\Yeah.\I'll have to face that nervousness again...\But this time, I'm even looking forward to it.\Both of us living together.\It's my job to make dinner. response:	She stuffs her face with my potato and onion miso soup.
context: Are you?\Things are just getting started.\Yeah.\I'll have to face that nervousness again...\But this time, I'm even looking forward to it.\Both of us living together.\It's my job to make dinner.\She stuffs her face with my potato and onion miso soup. response:	Every time I see that smile, I...
