context: What's the point of a building this big? response:	Eastern Federation Elkia Embassy
context: We won't let you refuse.\I'm not sure I understand.\But\are you challenging me to a fight, Sora and Shiro?\A fight? No way.\Izuna-tan, let's play a game next time!\I won't lose.\Sorry, but you will. response:	Blank never loses.
context: I'm not sure I understand.\But\are you challenging me to a fight, Sora and Shiro?\A fight? No way.\Izuna-tan, let's play a game next time!\I won't lose.\Sorry, but you will.\Blank never loses. response:	See you soon, Izuna-tan.
context: But\are you challenging me to a fight, Sora and Shiro?\A fight? No way.\Izuna-tan, let's play a game next time!\I won't lose.\Sorry, but you will.\Blank never loses.\See you soon, Izuna-tan. response:	What were you thinking?!
context: are you challenging me to a fight, Sora and Shiro?\A fight? No way.\Izuna-tan, let's play a game next time!\I won't lose.\Sorry, but you will.\Blank never loses.\See you soon, Izuna-tan.\What were you thinking?! response:	Do you realize what you've done?
context: A fight? No way.\Izuna-tan, let's play a game next time!\I won't lose.\Sorry, but you will.\Blank never loses.\See you soon, Izuna-tan.\What were you thinking?!\Do you realize what you've done? response:	How are you going to take responsibility if you lose?
context: Izuna-tan, let's play a game next time!\I won't lose.\Sorry, but you will.\Blank never loses.\See you soon, Izuna-tan.\What were you thinking?!\Do you realize what you've done?\How are you going to take responsibility if you lose? response:	Responsibility?
context: I won't lose.\Sorry, but you will.\Blank never loses.\See you soon, Izuna-tan.\What were you thinking?!\Do you realize what you've done?\How are you going to take responsibility if you lose?\Responsibility? response:	If we lose, we're all screwed. There's no responsibility to it.
context: Sorry, but you will.\Blank never loses.\See you soon, Izuna-tan.\What were you thinking?!\Do you realize what you've done?\How are you going to take responsibility if you lose?\Responsibility?\If we lose, we're all screwed. There's no responsibility to it. response:	If we lose, it's game over for us and three million people.
context: Blank never loses.\See you soon, Izuna-tan.\What were you thinking?!\Do you realize what you've done?\How are you going to take responsibility if you lose?\Responsibility?\If we lose, we're all screwed. There's no responsibility to it.\If we lose, it's game over for us and three million people. response:	If we win, we get the animal girls and the territory.
context: See you soon, Izuna-tan.\What were you thinking?!\Do you realize what you've done?\How are you going to take responsibility if you lose?\Responsibility?\If we lose, we're all screwed. There's no responsibility to it.\If we lose, it's game over for us and three million people.\If we win, we get the animal girls and the territory. response:	All or nothing.
context: What were you thinking?!\Do you realize what you've done?\How are you going to take responsibility if you lose?\Responsibility?\If we lose, we're all screwed. There's no responsibility to it.\If we lose, it's game over for us and three million people.\If we win, we get the animal girls and the territory.\All or nothing. response:	Isn't it exciting, Shiro?
context: Do you realize what you've done?\How are you going to take responsibility if you lose?\Responsibility?\If we lose, we're all screwed. There's no responsibility to it.\If we lose, it's game over for us and three million people.\If we win, we get the animal girls and the territory.\All or nothing.\Isn't it exciting, Shiro? response:	It's so exciting!
context: How are you going to take responsibility if you lose?\Responsibility?\If we lose, we're all screwed. There's no responsibility to it.\If we lose, it's game over for us and three million people.\If we win, we get the animal girls and the territory.\All or nothing.\Isn't it exciting, Shiro?\It's so exciting! response:	Y-You're mad!
context: Responsibility?\If we lose, we're all screwed. There's no responsibility to it.\If we lose, it's game over for us and three million people.\If we win, we get the animal girls and the territory.\All or nothing.\Isn't it exciting, Shiro?\It's so exciting!\Y-You're mad! response:	Calm down, Steph.
context: If we lose, we're all screwed. There's no responsibility to it.\If we lose, it's game over for us and three million people.\If we win, we get the animal girls and the territory.\All or nothing.\Isn't it exciting, Shiro?\It's so exciting!\Y-You're mad!\Calm down, Steph. response:	It's a game.
context: If we lose, it's game over for us and three million people.\If we win, we get the animal girls and the territory.\All or nothing.\Isn't it exciting, Shiro?\It's so exciting!\Y-You're mad!\Calm down, Steph.\It's a game. response:	I knew it! It was wrong to entrust
context: If we win, we get the animal girls and the territory.\All or nothing.\Isn't it exciting, Shiro?\It's so exciting!\Y-You're mad!\Calm down, Steph.\It's a game.\I knew it! It was wrong to entrust response:	these people with my grandfather's hopes!
context: All or nothing.\Isn't it exciting, Shiro?\It's so exciting!\Y-You're mad!\Calm down, Steph.\It's a game.\I knew it! It was wrong to entrust\these people with my grandfather's hopes! response:	Then I'll ask you, Dola-chan.
context: Isn't it exciting, Shiro?\It's so exciting!\Y-You're mad!\Calm down, Steph.\It's a game.\I knew it! It was wrong to entrust\these people with my grandfather's hopes!\Then I'll ask you, Dola-chan. response:	If the masters win,
context: It's so exciting!\Y-You're mad!\Calm down, Steph.\It's a game.\I knew it! It was wrong to entrust\these people with my grandfather's hopes!\Then I'll ask you, Dola-chan.\If the masters win, response:	every Warbeast on the continent will be stripped of their rights
context: Y-You're mad!\Calm down, Steph.\It's a game.\I knew it! It was wrong to entrust\these people with my grandfather's hopes!\Then I'll ask you, Dola-chan.\If the masters win,\every Warbeast on the continent will be stripped of their rights response:	and possibly killed.
context: Calm down, Steph.\It's a game.\I knew it! It was wrong to entrust\these people with my grandfather's hopes!\Then I'll ask you, Dola-chan.\If the masters win,\every Warbeast on the continent will be stripped of their rights\and possibly killed. response:	Who should take responsibility for that?
context: It's a game.\I knew it! It was wrong to entrust\these people with my grandfather's hopes!\Then I'll ask you, Dola-chan.\If the masters win,\every Warbeast on the continent will be stripped of their rights\and possibly killed.\Who should take responsibility for that? response:	We rule each other and kill each other with games instead of violence.
context: I knew it! It was wrong to entrust\these people with my grandfather's hopes!\Then I'll ask you, Dola-chan.\If the masters win,\every Warbeast on the continent will be stripped of their rights\and possibly killed.\Who should take responsibility for that?\We rule each other and kill each other with games instead of violence. response:	If you lose, you're exploited, enslaved, and killed.
context: these people with my grandfather's hopes!\Then I'll ask you, Dola-chan.\If the masters win,\every Warbeast on the continent will be stripped of their rights\and possibly killed.\Who should take responsibility for that?\We rule each other and kill each other with games instead of violence.\If you lose, you're exploited, enslaved, and killed. response:	That's what the ten pledges mean.
context: Then I'll ask you, Dola-chan.\If the masters win,\every Warbeast on the continent will be stripped of their rights\and possibly killed.\Who should take responsibility for that?\We rule each other and kill each other with games instead of violence.\If you lose, you're exploited, enslaved, and killed.\That's what the ten pledges mean. response:	The boldness needed to risk the lives of your people
context: If the masters win,\every Warbeast on the continent will be stripped of their rights\and possibly killed.\Who should take responsibility for that?\We rule each other and kill each other with games instead of violence.\If you lose, you're exploited, enslaved, and killed.\That's what the ten pledges mean.\The boldness needed to risk the lives of your people response:	as well as your own, even for an instant,
context: every Warbeast on the continent will be stripped of their rights\and possibly killed.\Who should take responsibility for that?\We rule each other and kill each other with games instead of violence.\If you lose, you're exploited, enslaved, and killed.\That's what the ten pledges mean.\The boldness needed to risk the lives of your people\as well as your own, even for an instant, response:	for a sure chance to slay your enemy...
context: and possibly killed.\Who should take responsibility for that?\We rule each other and kill each other with games instead of violence.\If you lose, you're exploited, enslaved, and killed.\That's what the ten pledges mean.\The boldness needed to risk the lives of your people\as well as your own, even for an instant,\for a sure chance to slay your enemy... response:	That's what we need in a ruler.
context: Who should take responsibility for that?\We rule each other and kill each other with games instead of violence.\If you lose, you're exploited, enslaved, and killed.\That's what the ten pledges mean.\The boldness needed to risk the lives of your people\as well as your own, even for an instant,\for a sure chance to slay your enemy...\That's what we need in a ruler. response:	Huh? What are you talking about?
context: We rule each other and kill each other with games instead of violence.\If you lose, you're exploited, enslaved, and killed.\That's what the ten pledges mean.\The boldness needed to risk the lives of your people\as well as your own, even for an instant,\for a sure chance to slay your enemy...\That's what we need in a ruler.\Huh? What are you talking about? response:	What?
context: If you lose, you're exploited, enslaved, and killed.\That's what the ten pledges mean.\The boldness needed to risk the lives of your people\as well as your own, even for an instant,\for a sure chance to slay your enemy...\That's what we need in a ruler.\Huh? What are you talking about?\What? response:	Wait, you mean you guys haven't figured it out?
context: That's what the ten pledges mean.\The boldness needed to risk the lives of your people\as well as your own, even for an instant,\for a sure chance to slay your enemy...\That's what we need in a ruler.\Huh? What are you talking about?\What?\Wait, you mean you guys haven't figured it out? response:	The way to beat this world.
context: The boldness needed to risk the lives of your people\as well as your own, even for an instant,\for a sure chance to slay your enemy...\That's what we need in a ruler.\Huh? What are you talking about?\What?\Wait, you mean you guys haven't figured it out?\The way to beat this world. response:	The way to beat this world?
context: as well as your own, even for an instant,\for a sure chance to slay your enemy...\That's what we need in a ruler.\Huh? What are you talking about?\What?\Wait, you mean you guys haven't figured it out?\The way to beat this world.\The way to beat this world? response:	That explains it. No wonder God's so bored.
context: for a sure chance to slay your enemy...\That's what we need in a ruler.\Huh? What are you talking about?\What?\Wait, you mean you guys haven't figured it out?\The way to beat this world.\The way to beat this world?\That explains it. No wonder God's so bored. response:	Poor Tet.
context: That's what we need in a ruler.\Huh? What are you talking about?\What?\Wait, you mean you guys haven't figured it out?\The way to beat this world.\The way to beat this world?\That explains it. No wonder God's so bored.\Poor Tet. response:	Don't worry, we'll conquer the world just like we promised.
context: Huh? What are you talking about?\What?\Wait, you mean you guys haven't figured it out?\The way to beat this world.\The way to beat this world?\That explains it. No wonder God's so bored.\Poor Tet.\Don't worry, we'll conquer the world just like we promised. response:	The whole thing.
context: What?\Wait, you mean you guys haven't figured it out?\The way to beat this world.\The way to beat this world?\That explains it. No wonder God's so bored.\Poor Tet.\Don't worry, we'll conquer the world just like we promised.\The whole thing. response:	And as for what we'll do if we lose...
context: Wait, you mean you guys haven't figured it out?\The way to beat this world.\The way to beat this world?\That explains it. No wonder God's so bored.\Poor Tet.\Don't worry, we'll conquer the world just like we promised.\The whole thing.\And as for what we'll do if we lose... response:	I told you there was no chance we'd lose, didn't I?
context: The way to beat this world.\The way to beat this world?\That explains it. No wonder God's so bored.\Poor Tet.\Don't worry, we'll conquer the world just like we promised.\The whole thing.\And as for what we'll do if we lose...\I told you there was no chance we'd lose, didn't I? response:	Checkmate!
context: The way to beat this world?\That explains it. No wonder God's so bored.\Poor Tet.\Don't worry, we'll conquer the world just like we promised.\The whole thing.\And as for what we'll do if we lose...\I told you there was no chance we'd lose, didn't I?\Checkmate! response:	Bring down the foolish king!
context: That explains it. No wonder God's so bored.\Poor Tet.\Don't worry, we'll conquer the world just like we promised.\The whole thing.\And as for what we'll do if we lose...\I told you there was no chance we'd lose, didn't I?\Checkmate!\Bring down the foolish king! response:	He's using us all in his stupid bet!
context: Poor Tet.\Don't worry, we'll conquer the world just like we promised.\The whole thing.\And as for what we'll do if we lose...\I told you there was no chance we'd lose, didn't I?\Checkmate!\Bring down the foolish king!\He's using us all in his stupid bet! response:	They're working with the Eastern Federation!
context: Don't worry, we'll conquer the world just like we promised.\The whole thing.\And as for what we'll do if we lose...\I told you there was no chance we'd lose, didn't I?\Checkmate!\Bring down the foolish king!\He's using us all in his stupid bet!\They're working with the Eastern Federation! response:	I knew something was off from the start!
context: The whole thing.\And as for what we'll do if we lose...\I told you there was no chance we'd lose, didn't I?\Checkmate!\Bring down the foolish king!\He's using us all in his stupid bet!\They're working with the Eastern Federation!\I knew something was off from the start! response:	There's no way an Imanity could beat an elf!
context: And as for what we'll do if we lose...\I told you there was no chance we'd lose, didn't I?\Checkmate!\Bring down the foolish king!\He's using us all in his stupid bet!\They're working with the Eastern Federation!\I knew something was off from the start!\There's no way an Imanity could beat an elf! response:	It's fascinating how quickly they've turned on you.
context: I told you there was no chance we'd lose, didn't I?\Checkmate!\Bring down the foolish king!\He's using us all in his stupid bet!\They're working with the Eastern Federation!\I knew something was off from the start!\There's no way an Imanity could beat an elf!\It's fascinating how quickly they've turned on you. response:	They've all received a death sentence.
context: Checkmate!\Bring down the foolish king!\He's using us all in his stupid bet!\They're working with the Eastern Federation!\I knew something was off from the start!\There's no way an Imanity could beat an elf!\It's fascinating how quickly they've turned on you.\They've all received a death sentence. response:	Of course they're upset.
context: Bring down the foolish king!\He's using us all in his stupid bet!\They're working with the Eastern Federation!\I knew something was off from the start!\There's no way an Imanity could beat an elf!\It's fascinating how quickly they've turned on you.\They've all received a death sentence.\Of course they're upset. response:	It's actually strange to be calm at a time like this.
context: He's using us all in his stupid bet!\They're working with the Eastern Federation!\I knew something was off from the start!\There's no way an Imanity could beat an elf!\It's fascinating how quickly they've turned on you.\They've all received a death sentence.\Of course they're upset.\It's actually strange to be calm at a time like this. response:	What are you going to do about them?
context: They're working with the Eastern Federation!\I knew something was off from the start!\There's no way an Imanity could beat an elf!\It's fascinating how quickly they've turned on you.\They've all received a death sentence.\Of course they're upset.\It's actually strange to be calm at a time like this.\What are you going to do about them? response:	If they don't like it,
context: I knew something was off from the start!\There's no way an Imanity could beat an elf!\It's fascinating how quickly they've turned on you.\They've all received a death sentence.\Of course they're upset.\It's actually strange to be calm at a time like this.\What are you going to do about them?\If they don't like it, response:	they can take our position as representative from us.
context: There's no way an Imanity could beat an elf!\It's fascinating how quickly they've turned on you.\They've all received a death sentence.\Of course they're upset.\It's actually strange to be calm at a time like this.\What are you going to do about them?\If they don't like it,\they can take our position as representative from us. response:	Day 19
context: It's fascinating how quickly they've turned on you.\They've all received a death sentence.\Of course they're upset.\It's actually strange to be calm at a time like this.\What are you going to do about them?\If they don't like it,\they can take our position as representative from us.\Day 19 response:	Hold
context: They've all received a death sentence.\Of course they're upset.\It's actually strange to be calm at a time like this.\What are you going to do about them?\If they don't like it,\they can take our position as representative from us.\Day 19\Hold response:	Let the people who don't have the guts to challenge us whine all they want.
context: Of course they're upset.\It's actually strange to be calm at a time like this.\What are you going to do about them?\If they don't like it,\they can take our position as representative from us.\Day 19\Hold\Let the people who don't have the guts to challenge us whine all they want. response:	Day 19
context: It's actually strange to be calm at a time like this.\What are you going to do about them?\If they don't like it,\they can take our position as representative from us.\Day 19\Hold\Let the people who don't have the guts to challenge us whine all they want.\Day 19 response:	More importantly, they're late.
context: What are you going to do about them?\If they don't like it,\they can take our position as representative from us.\Day 19\Hold\Let the people who don't have the guts to challenge us whine all they want.\Day 19\More importantly, they're late. response:	It's been a week.
context: If they don't like it,\they can take our position as representative from us.\Day 19\Hold\Let the people who don't have the guts to challenge us whine all they want.\Day 19\More importantly, they're late.\It's been a week. response:	You mean the Eastern Federation's naming of a date for the game?
context: they can take our position as representative from us.\Day 19\Hold\Let the people who don't have the guts to challenge us whine all they want.\Day 19\More importantly, they're late.\It's been a week.\You mean the Eastern Federation's naming of a date for the game? response:	A whole continent's at stake, so it's going to take time.
context: Day 19\Hold\Let the people who don't have the guts to challenge us whine all they want.\Day 19\More importantly, they're late.\It's been a week.\You mean the Eastern Federation's naming of a date for the game?\A whole continent's at stake, so it's going to take time. response:	Yup. So before that...
context: Hold\Let the people who don't have the guts to challenge us whine all they want.\Day 19\More importantly, they're late.\It's been a week.\You mean the Eastern Federation's naming of a date for the game?\A whole continent's at stake, so it's going to take time.\Yup. So before that... response:	I'm waiting for someone with more backbone.
context: Let the people who don't have the guts to challenge us whine all they want.\Day 19\More importantly, they're late.\It's been a week.\You mean the Eastern Federation's naming of a date for the game?\A whole continent's at stake, so it's going to take time.\Yup. So before that...\I'm waiting for someone with more backbone. response:	They're finally here.
context: Day 19\More importantly, they're late.\It's been a week.\You mean the Eastern Federation's naming of a date for the game?\A whole continent's at stake, so it's going to take time.\Yup. So before that...\I'm waiting for someone with more backbone.\They're finally here. response:	You kept me waiting too long.
context: More importantly, they're late.\It's been a week.\You mean the Eastern Federation's naming of a date for the game?\A whole continent's at stake, so it's going to take time.\Yup. So before that...\I'm waiting for someone with more backbone.\They're finally here.\You kept me waiting too long. response:	Yeah, I know what you want.
context: It's been a week.\You mean the Eastern Federation's naming of a date for the game?\A whole continent's at stake, so it's going to take time.\Yup. So before that...\I'm waiting for someone with more backbone.\They're finally here.\You kept me waiting too long.\Yeah, I know what you want. response:	Anytime is fine.
context: You mean the Eastern Federation's naming of a date for the game?\A whole continent's at stake, so it's going to take time.\Yup. So before that...\I'm waiting for someone with more backbone.\They're finally here.\You kept me waiting too long.\Yeah, I know what you want.\Anytime is fine. response:	Shiro, listen to me carefully.
context: A whole continent's at stake, so it's going to take time.\Yup. So before that...\I'm waiting for someone with more backbone.\They're finally here.\You kept me waiting too long.\Yeah, I know what you want.\Anytime is fine.\Shiro, listen to me carefully. response:	I believe in you.
context: Yup. So before that...\I'm waiting for someone with more backbone.\They're finally here.\You kept me waiting too long.\Yeah, I know what you want.\Anytime is fine.\Shiro, listen to me carefully.\I believe in you. response:	I believe in you, too.
context: I'm waiting for someone with more backbone.\They're finally here.\You kept me waiting too long.\Yeah, I know what you want.\Anytime is fine.\Shiro, listen to me carefully.\I believe in you.\I believe in you, too. response:	Shiro, the two of us are always one.
context: They're finally here.\You kept me waiting too long.\Yeah, I know what you want.\Anytime is fine.\Shiro, listen to me carefully.\I believe in you.\I believe in you, too.\Shiro, the two of us are always one. response:	Shiro, we're bound by a promise.
context: You kept me waiting too long.\Yeah, I know what you want.\Anytime is fine.\Shiro, listen to me carefully.\I believe in you.\I believe in you, too.\Shiro, the two of us are always one.\Shiro, we're bound by a promise. response:	Shiro, we're not the heroes of a boy's manga.
context: Yeah, I know what you want.\Anytime is fine.\Shiro, listen to me carefully.\I believe in you.\I believe in you, too.\Shiro, the two of us are always one.\Shiro, we're bound by a promise.\Shiro, we're not the heroes of a boy's manga. response:	Shiro, we always win a game before we start.
context: Anytime is fine.\Shiro, listen to me carefully.\I believe in you.\I believe in you, too.\Shiro, the two of us are always one.\Shiro, we're bound by a promise.\Shiro, we're not the heroes of a boy's manga.\Shiro, we always win a game before we start. response:	Brother?
context: Shiro, listen to me carefully.\I believe in you.\I believe in you, too.\Shiro, the two of us are always one.\Shiro, we're bound by a promise.\Shiro, we're not the heroes of a boy's manga.\Shiro, we always win a game before we start.\Brother? response:	I'm going to get the last piece we need to bring over the Eastern Federation.
context: I believe in you.\I believe in you, too.\Shiro, the two of us are always one.\Shiro, we're bound by a promise.\Shiro, we're not the heroes of a boy's manga.\Shiro, we always win a game before we start.\Brother?\I'm going to get the last piece we need to bring over the Eastern Federation. response:	Brother?
context: I believe in you, too.\Shiro, the two of us are always one.\Shiro, we're bound by a promise.\Shiro, we're not the heroes of a boy's manga.\Shiro, we always win a game before we start.\Brother?\I'm going to get the last piece we need to bring over the Eastern Federation.\Brother? response:	Brother, wait
context: Shiro, the two of us are always one.\Shiro, we're bound by a promise.\Shiro, we're not the heroes of a boy's manga.\Shiro, we always win a game before we start.\Brother?\I'm going to get the last piece we need to bring over the Eastern Federation.\Brother?\Brother, wait response:	Now, let's begin the game.
context: Shiro, we're bound by a promise.\Shiro, we're not the heroes of a boy's manga.\Shiro, we always win a game before we start.\Brother?\I'm going to get the last piece we need to bring over the Eastern Federation.\Brother?\Brother, wait\Now, let's begin the game. response:	Brother?
context: Shiro, we're not the heroes of a boy's manga.\Shiro, we always win a game before we start.\Brother?\I'm going to get the last piece we need to bring over the Eastern Federation.\Brother?\Brother, wait\Now, let's begin the game.\Brother? response:	Shiro?
context: Shiro, we always win a game before we start.\Brother?\I'm going to get the last piece we need to bring over the Eastern Federation.\Brother?\Brother, wait\Now, let's begin the game.\Brother?\Shiro? response:	It's morni Huh?
context: Brother?\I'm going to get the last piece we need to bring over the Eastern Federation.\Brother?\Brother, wait\Now, let's begin the game.\Brother?\Shiro?\It's morni Huh? response:	Wh-What's wrong, Shiro?
context: I'm going to get the last piece we need to bring over the Eastern Federation.\Brother?\Brother, wait\Now, let's begin the game.\Brother?\Shiro?\It's morni Huh?\Wh-What's wrong, Shiro? response:	Brother... Come out, Brother.
context: Brother?\Brother, wait\Now, let's begin the game.\Brother?\Shiro?\It's morni Huh?\Wh-What's wrong, Shiro?\Brother... Come out, Brother. response:	Don't leave me alone...
context: Brother, wait\Now, let's begin the game.\Brother?\Shiro?\It's morni Huh?\Wh-What's wrong, Shiro?\Brother... Come out, Brother.\Don't leave me alone... response:	Wh-Who's Brother?
context: Now, let's begin the game.\Brother?\Shiro?\It's morni Huh?\Wh-What's wrong, Shiro?\Brother... Come out, Brother.\Don't leave me alone...\Wh-Who's Brother? response:	Should I bring him?
context: Brother?\Shiro?\It's morni Huh?\Wh-What's wrong, Shiro?\Brother... Come out, Brother.\Don't leave me alone...\Wh-Who's Brother?\Should I bring him? response:	Number of Contacts
context: Shiro?\It's morni Huh?\Wh-What's wrong, Shiro?\Brother... Come out, Brother.\Don't leave me alone...\Wh-Who's Brother?\Should I bring him?\Number of Contacts response:	No...
context: It's morni Huh?\Wh-What's wrong, Shiro?\Brother... Come out, Brother.\Don't leave me alone...\Wh-Who's Brother?\Should I bring him?\Number of Contacts\No... response:	No!
context: Wh-What's wrong, Shiro?\Brother... Come out, Brother.\Don't leave me alone...\Wh-Who's Brother?\Should I bring him?\Number of Contacts\No...\No! response:	Shiro? What's wrong?
context: Brother... Come out, Brother.\Don't leave me alone...\Wh-Who's Brother?\Should I bring him?\Number of Contacts\No...\No!\Shiro? What's wrong? response:	Steph...
context: Don't leave me alone...\Wh-Who's Brother?\Should I bring him?\Number of Contacts\No...\No!\Shiro? What's wrong?\Steph... response:	Where's Brother...
context: Wh-Who's Brother?\Should I bring him?\Number of Contacts\No...\No!\Shiro? What's wrong?\Steph...\Where's Brother... response:	Where's Sora?
context: Should I bring him?\Number of Contacts\No...\No!\Shiro? What's wrong?\Steph...\Where's Brother...\Where's Sora? response:	Sora?
context: Number of Contacts\No...\No!\Shiro? What's wrong?\Steph...\Where's Brother...\Where's Sora?\Sora? response:	That's a name, right?
context: No...\No!\Shiro? What's wrong?\Steph...\Where's Brother...\Where's Sora?\Sora?\That's a name, right? response:	Who is that?
context: No!\Shiro? What's wrong?\Steph...\Where's Brother...\Where's Sora?\Sora?\That's a name, right?\Who is that? response:	Sky Walk
context: Shiro? What's wrong?\Steph...\Where's Brother...\Where's Sora?\Sora?\That's a name, right?\Who is that?\Sky Walk response:	I won't let go of your hand, Brother,
context: Steph...\Where's Brother...\Where's Sora?\Sora?\That's a name, right?\Who is that?\Sky Walk\I won't let go of your hand, Brother, response:	because I think you'd take my soul with you.
