context: I'm back. response:	I spent my summer at a place in the mountains.
context: Today Nanami's Sou-kun's older sister.\Points for Knight-san!\She broke through the limit!\She might as well have won already.\No complaints here!\Winner\So that makes Nanami Knight Bladefield-san the winner!\What?! response:	Okay, Nanami-chan, congratulations.
context: Points for Knight-san!\She broke through the limit!\She might as well have won already.\No complaints here!\Winner\So that makes Nanami Knight Bladefield-san the winner!\What?!\Okay, Nanami-chan, congratulations. response:	Huh?
context: She broke through the limit!\She might as well have won already.\No complaints here!\Winner\So that makes Nanami Knight Bladefield-san the winner!\What?!\Okay, Nanami-chan, congratulations.\Huh? response:	What is this even?!
context: She might as well have won already.\No complaints here!\Winner\So that makes Nanami Knight Bladefield-san the winner!\What?!\Okay, Nanami-chan, congratulations.\Huh?\What is this even?! response:	Due to Knight-san's victory she wins the
context: No complaints here!\Winner\So that makes Nanami Knight Bladefield-san the winner!\What?!\Okay, Nanami-chan, congratulations.\Huh?\What is this even?!\Due to Knight-san's victory she wins the response:	right to a date with Souta-kun for the school fair
context: Winner\So that makes Nanami Knight Bladefield-san the winner!\What?!\Okay, Nanami-chan, congratulations.\Huh?\What is this even?!\Due to Knight-san's victory she wins the\right to a date with Souta-kun for the school fair response:	and a free pass to the refreshment stand.
context: So that makes Nanami Knight Bladefield-san the winner!\What?!\Okay, Nanami-chan, congratulations.\Huh?\What is this even?!\Due to Knight-san's victory she wins the\right to a date with Souta-kun for the school fair\and a free pass to the refreshment stand. response:	Hatate Souta
context: What?!\Okay, Nanami-chan, congratulations.\Huh?\What is this even?!\Due to Knight-san's victory she wins the\right to a date with Souta-kun for the school fair\and a free pass to the refreshment stand.\Hatate Souta response:	You've been eating quite a bit.
context: Okay, Nanami-chan, congratulations.\Huh?\What is this even?!\Due to Knight-san's victory she wins the\right to a date with Souta-kun for the school fair\and a free pass to the refreshment stand.\Hatate Souta\You've been eating quite a bit. response:	Hmph. I'm going to have the most fun I can.
context: Huh?\What is this even?!\Due to Knight-san's victory she wins the\right to a date with Souta-kun for the school fair\and a free pass to the refreshment stand.\Hatate Souta\You've been eating quite a bit.\Hmph. I'm going to have the most fun I can. response:	I mean, you made me say all that stuff.
context: What is this even?!\Due to Knight-san's victory she wins the\right to a date with Souta-kun for the school fair\and a free pass to the refreshment stand.\Hatate Souta\You've been eating quite a bit.\Hmph. I'm going to have the most fun I can.\I mean, you made me say all that stuff. response:	Hey!
context: Due to Knight-san's victory she wins the\right to a date with Souta-kun for the school fair\and a free pass to the refreshment stand.\Hatate Souta\You've been eating quite a bit.\Hmph. I'm going to have the most fun I can.\I mean, you made me say all that stuff.\Hey! response:	Please...
context: right to a date with Souta-kun for the school fair\and a free pass to the refreshment stand.\Hatate Souta\You've been eating quite a bit.\Hmph. I'm going to have the most fun I can.\I mean, you made me say all that stuff.\Hey!\Please... response:	Please hide me!
context: and a free pass to the refreshment stand.\Hatate Souta\You've been eating quite a bit.\Hmph. I'm going to have the most fun I can.\I mean, you made me say all that stuff.\Hey!\Please...\Please hide me! response:	Huh?
context: Hatate Souta\You've been eating quite a bit.\Hmph. I'm going to have the most fun I can.\I mean, you made me say all that stuff.\Hey!\Please...\Please hide me!\Huh? response:	Roar! Gawo!
context: You've been eating quite a bit.\Hmph. I'm going to have the most fun I can.\I mean, you made me say all that stuff.\Hey!\Please...\Please hide me!\Huh?\Roar! Gawo! response:	It's time for me to come into the story!
context: Hmph. I'm going to have the most fun I can.\I mean, you made me say all that stuff.\Hey!\Please...\Please hide me!\Huh?\Roar! Gawo!\It's time for me to come into the story! response:	Huh? What was that?
context: I mean, you made me say all that stuff.\Hey!\Please...\Please hide me!\Huh?\Roar! Gawo!\It's time for me to come into the story!\Huh? What was that? response:	I said it was finally time for me to be here!
context: Hey!\Please...\Please hide me!\Huh?\Roar! Gawo!\It's time for me to come into the story!\Huh? What was that?\I said it was finally time for me to be here! response:	Sorry, could you say that a bit louder?
context: Please...\Please hide me!\Huh?\Roar! Gawo!\It's time for me to come into the story!\Huh? What was that?\I said it was finally time for me to be here!\Sorry, could you say that a bit louder? response:	My turn to be here!
context: Please hide me!\Huh?\Roar! Gawo!\It's time for me to come into the story!\Huh? What was that?\I said it was finally time for me to be here!\Sorry, could you say that a bit louder?\My turn to be here! response:	Sorry, I can't hear you. One more time.
context: Huh?\Roar! Gawo!\It's time for me to come into the story!\Huh? What was that?\I said it was finally time for me to be here!\Sorry, could you say that a bit louder?\My turn to be here!\Sorry, I can't hear you. One more time. response:	Blah! Why aren't you going to introduce me?
context: Roar! Gawo!\It's time for me to come into the story!\Huh? What was that?\I said it was finally time for me to be here!\Sorry, could you say that a bit louder?\My turn to be here!\Sorry, I can't hear you. One more time.\Blah! Why aren't you going to introduce me? response:	Sorry, but there's no flag to spoil what's going to happen next episode.
context: It's time for me to come into the story!\Huh? What was that?\I said it was finally time for me to be here!\Sorry, could you say that a bit louder?\My turn to be here!\Sorry, I can't hear you. One more time.\Blah! Why aren't you going to introduce me?\Sorry, but there's no flag to spoil what's going to happen next episode. response:	Flag 11
context: Huh? What was that?\I said it was finally time for me to be here!\Sorry, could you say that a bit louder?\My turn to be here!\Sorry, I can't hear you. One more time.\Blah! Why aren't you going to introduce me?\Sorry, but there's no flag to spoil what's going to happen next episode.\Flag 11 response:	We Don't all Have to Dance. I can Dance by Myself
context: I said it was finally time for me to be here!\Sorry, could you say that a bit louder?\My turn to be here!\Sorry, I can't hear you. One more time.\Blah! Why aren't you going to introduce me?\Sorry, but there's no flag to spoil what's going to happen next episode.\Flag 11\We Don't all Have to Dance. I can Dance by Myself response:	Roar! Gawo!
context: Sorry, could you say that a bit louder?\My turn to be here!\Sorry, I can't hear you. One more time.\Blah! Why aren't you going to introduce me?\Sorry, but there's no flag to spoil what's going to happen next episode.\Flag 11\We Don't all Have to Dance. I can Dance by Myself\Roar! Gawo! response:	If Her Flag Breaks
context: My turn to be here!\Sorry, I can't hear you. One more time.\Blah! Why aren't you going to introduce me?\Sorry, but there's no flag to spoil what's going to happen next episode.\Flag 11\We Don't all Have to Dance. I can Dance by Myself\Roar! Gawo!\If Her Flag Breaks response:	See you next time!
context: Sorry, I can't hear you. One more time.\Blah! Why aren't you going to introduce me?\Sorry, but there's no flag to spoil what's going to happen next episode.\Flag 11\We Don't all Have to Dance. I can Dance by Myself\Roar! Gawo!\If Her Flag Breaks\See you next time! response:	Illustration: Okazaki Takeshi
