context: The old woman in Egypt, Enyaba, told me response:	to shoot the arrow at those it desires.
context: You won because you cheated, you coward!\Let the baby go.\Fight me one more time!\Then I won't do anything to this baby.\And I'm telling you to let the baby go.\I'll fight you.\I'll make you lose! Janken, hoi! Hoi! Hoi!\I-I-I can't win! response:	D-Damn it! I made you into a Stand user and you still lost!
context: Let the baby go.\Fight me one more time!\Then I won't do anything to this baby.\And I'm telling you to let the baby go.\I'll fight you.\I'll make you lose! Janken, hoi! Hoi! Hoi!\I-I-I can't win!\D-Damn it! I made you into a Stand user and you still lost! response:	See ya!
context: Fight me one more time!\Then I won't do anything to this baby.\And I'm telling you to let the baby go.\I'll fight you.\I'll make you lose! Janken, hoi! Hoi! Hoi!\I-I-I can't win!\D-Damn it! I made you into a Stand user and you still lost!\See ya! response:	You won't die.
context: Then I won't do anything to this baby.\And I'm telling you to let the baby go.\I'll fight you.\I'll make you lose! Janken, hoi! Hoi! Hoi!\I-I-I can't win!\D-Damn it! I made you into a Stand user and you still lost!\See ya!\You won't die. response:	I'm just going to destroy your Stand.
context: And I'm telling you to let the baby go.\I'll fight you.\I'll make you lose! Janken, hoi! Hoi! Hoi!\I-I-I can't win!\D-Damn it! I made you into a Stand user and you still lost!\See ya!\You won't die.\I'm just going to destroy your Stand. response:	If...
context: I'll fight you.\I'll make you lose! Janken, hoi! Hoi! Hoi!\I-I-I can't win!\D-Damn it! I made you into a Stand user and you still lost!\See ya!\You won't die.\I'm just going to destroy your Stand.\If... response:	If I have to obey what you write...
context: I'll make you lose! Janken, hoi! Hoi! Hoi!\I-I-I can't win!\D-Damn it! I made you into a Stand user and you still lost!\See ya!\You won't die.\I'm just going to destroy your Stand.\If...\If I have to obey what you write... response:	If I'm going to be mentally controlled by you...
context: I-I-I can't win!\D-Damn it! I made you into a Stand user and you still lost!\See ya!\You won't die.\I'm just going to destroy your Stand.\If...\If I have to obey what you write...\If I'm going to be mentally controlled by you... response:	I'd rather die like this!
context: D-Damn it! I made you into a Stand user and you still lost!\See ya!\You won't die.\I'm just going to destroy your Stand.\If...\If I have to obey what you write...\If I'm going to be mentally controlled by you...\I'd rather die like this! response:	Take that, Rohan Kishibe!
context: See ya!\You won't die.\I'm just going to destroy your Stand.\If...\If I have to obey what you write...\If I'm going to be mentally controlled by you...\I'd rather die like this!\Take that, Rohan Kishibe! response:	Pfft
context: You won't die.\I'm just going to destroy your Stand.\If...\If I have to obey what you write...\If I'm going to be mentally controlled by you...\I'd rather die like this!\Take that, Rohan Kishibe!\Pfft response:	Nice. I like you, kid.
context: I'm just going to destroy your Stand.\If...\If I have to obey what you write...\If I'm going to be mentally controlled by you...\I'd rather die like this!\Take that, Rohan Kishibe!\Pfft\Nice. I like you, kid. response:	I feel moved when I see people who are...
context: If...\If I have to obey what you write...\If I'm going to be mentally controlled by you...\I'd rather die like this!\Take that, Rohan Kishibe!\Pfft\Nice. I like you, kid.\I feel moved when I see people who are... response:	Dash
context: If I have to obey what you write...\If I'm going to be mentally controlled by you...\I'd rather die like this!\Take that, Rohan Kishibe!\Pfft\Nice. I like you, kid.\I feel moved when I see people who are...\Dash response:	dramatic like you!
context: If I'm going to be mentally controlled by you...\I'd rather die like this!\Take that, Rohan Kishibe!\Pfft\Nice. I like you, kid.\I feel moved when I see people who are...\Dash\dramatic like you! response:	Wha?!
context: I'd rather die like this!\Take that, Rohan Kishibe!\Pfft\Nice. I like you, kid.\I feel moved when I see people who are...\Dash\dramatic like you!\Wha?! response:	Y-You'll be run over, too!
context: Take that, Rohan Kishibe!\Pfft\Nice. I like you, kid.\I feel moved when I see people who are...\Dash\dramatic like you!\Wha?!\Y-You'll be run over, too! response:	You think so?
context: Pfft\Nice. I like you, kid.\I feel moved when I see people who are...\Dash\dramatic like you!\Wha?!\Y-You'll be run over, too!\You think so? response:	What the? Th-The wind!
context: Nice. I like you, kid.\I feel moved when I see people who are...\Dash\dramatic like you!\Wha?!\Y-You'll be run over, too!\You think so?\What the? Th-The wind! response:	Whoa, what the hell is this picture?!
context: I feel moved when I see people who are...\Dash\dramatic like you!\Wha?!\Y-You'll be run over, too!\You think so?\What the? Th-The wind!\Whoa, what the hell is this picture?! response:	I-I can't see in front of me!
context: Dash\dramatic like you!\Wha?!\Y-You'll be run over, too!\You think so?\What the? Th-The wind!\Whoa, what the hell is this picture?!\I-I can't see in front of me! response:	I-It avoided us and drove by?
context: dramatic like you!\Wha?!\Y-You'll be run over, too!\You think so?\What the? Th-The wind!\Whoa, what the hell is this picture?!\I-I can't see in front of me!\I-It avoided us and drove by? response:	Y-You could have died, too, but you did that for me...
context: Wha?!\Y-You'll be run over, too!\You think so?\What the? Th-The wind!\Whoa, what the hell is this picture?!\I-I can't see in front of me!\I-It avoided us and drove by?\Y-You could have died, too, but you did that for me... response:	Was it strong luck?
context: Y-You'll be run over, too!\You think so?\What the? Th-The wind!\Whoa, what the hell is this picture?!\I-I can't see in front of me!\I-It avoided us and drove by?\Y-You could have died, too, but you did that for me...\Was it strong luck? response:	You've become quite impressive in such a short time.
context: You think so?\What the? Th-The wind!\Whoa, what the hell is this picture?!\I-I can't see in front of me!\I-It avoided us and drove by?\Y-You could have died, too, but you did that for me...\Was it strong luck?\You've become quite impressive in such a short time. response:	I won't knock you out.
context: What the? Th-The wind!\Whoa, what the hell is this picture?!\I-I can't see in front of me!\I-It avoided us and drove by?\Y-You could have died, too, but you did that for me...\Was it strong luck?\You've become quite impressive in such a short time.\I won't knock you out. response:	However, don't use that Stand for evil anymore.
context: Whoa, what the hell is this picture?!\I-I can't see in front of me!\I-It avoided us and drove by?\Y-You could have died, too, but you did that for me...\Was it strong luck?\You've become quite impressive in such a short time.\I won't knock you out.\However, don't use that Stand for evil anymore. response:	I carelessly bumped into it, damn it!
context: I-I can't see in front of me!\I-It avoided us and drove by?\Y-You could have died, too, but you did that for me...\Was it strong luck?\You've become quite impressive in such a short time.\I won't knock you out.\However, don't use that Stand for evil anymore.\I carelessly bumped into it, damn it! response:	I lost. I've completely lost.
context: I-It avoided us and drove by?\Y-You could have died, too, but you did that for me...\Was it strong luck?\You've become quite impressive in such a short time.\I won't knock you out.\However, don't use that Stand for evil anymore.\I carelessly bumped into it, damn it!\I lost. I've completely lost. response:	Hey, Rohan!
context: Y-You could have died, too, but you did that for me...\Was it strong luck?\You've become quite impressive in such a short time.\I won't knock you out.\However, don't use that Stand for evil anymore.\I carelessly bumped into it, damn it!\I lost. I've completely lost.\Hey, Rohan! response:	D-Did you see the baby?
context: Was it strong luck?\You've become quite impressive in such a short time.\I won't knock you out.\However, don't use that Stand for evil anymore.\I carelessly bumped into it, damn it!\I lost. I've completely lost.\Hey, Rohan!\D-Did you see the baby? response:	She's missing, Sensei!
context: You've become quite impressive in such a short time.\I won't knock you out.\However, don't use that Stand for evil anymore.\I carelessly bumped into it, damn it!\I lost. I've completely lost.\Hey, Rohan!\D-Did you see the baby?\She's missing, Sensei! response:	N-No, it might be that we just can't see her.
context: I won't knock you out.\However, don't use that Stand for evil anymore.\I carelessly bumped into it, damn it!\I lost. I've completely lost.\Hey, Rohan!\D-Did you see the baby?\She's missing, Sensei!\N-No, it might be that we just can't see her. response:	C-Crap...
context: However, don't use that Stand for evil anymore.\I carelessly bumped into it, damn it!\I lost. I've completely lost.\Hey, Rohan!\D-Did you see the baby?\She's missing, Sensei!\N-No, it might be that we just can't see her.\C-Crap... response:	She's gone.
context: I carelessly bumped into it, damn it!\I lost. I've completely lost.\Hey, Rohan!\D-Did you see the baby?\She's missing, Sensei!\N-No, it might be that we just can't see her.\C-Crap...\She's gone. response:	Hey, where are you?
context: I lost. I've completely lost.\Hey, Rohan!\D-Did you see the baby?\She's missing, Sensei!\N-No, it might be that we just can't see her.\C-Crap...\She's gone.\Hey, where are you? response:	I'll just pretend I don't know and look with them...
context: Hey, Rohan!\D-Did you see the baby?\She's missing, Sensei!\N-No, it might be that we just can't see her.\C-Crap...\She's gone.\Hey, where are you?\I'll just pretend I don't know and look with them... response:	Wh-Where did you go? Where are you?
context: D-Did you see the baby?\She's missing, Sensei!\N-No, it might be that we just can't see her.\C-Crap...\She's gone.\Hey, where are you?\I'll just pretend I don't know and look with them...\Wh-Where did you go? Where are you? response:	Janken Kid. Real name: Ken Oyanagi.
context: She's missing, Sensei!\N-No, it might be that we just can't see her.\C-Crap...\She's gone.\Hey, where are you?\I'll just pretend I don't know and look with them...\Wh-Where did you go? Where are you?\Janken Kid. Real name: Ken Oyanagi. response:	Hey!
context: N-No, it might be that we just can't see her.\C-Crap...\She's gone.\Hey, where are you?\I'll just pretend I don't know and look with them...\Wh-Where did you go? Where are you?\Janken Kid. Real name: Ken Oyanagi.\Hey! response:	Stand name: Boys Man Man.
context: C-Crap...\She's gone.\Hey, where are you?\I'll just pretend I don't know and look with them...\Wh-Where did you go? Where are you?\Janken Kid. Real name: Ken Oyanagi.\Hey!\Stand name: Boys Man Man. response:	Unable to fight.
context: She's gone.\Hey, where are you?\I'll just pretend I don't know and look with them...\Wh-Where did you go? Where are you?\Janken Kid. Real name: Ken Oyanagi.\Hey!\Stand name: Boys Man Man.\Unable to fight. response:	For some reason, the hole in his cheek is still there.
context: Hey, where are you?\I'll just pretend I don't know and look with them...\Wh-Where did you go? Where are you?\Janken Kid. Real name: Ken Oyanagi.\Hey!\Stand name: Boys Man Man.\Unable to fight.\For some reason, the hole in his cheek is still there. response:	Episode 27 I'm an Alien
context: I'll just pretend I don't know and look with them...\Wh-Where did you go? Where are you?\Janken Kid. Real name: Ken Oyanagi.\Hey!\Stand name: Boys Man Man.\Unable to fight.\For some reason, the hole in his cheek is still there.\Episode 27 I'm an Alien response:	Episode 27 I'm an Alie n
