context: It was difficult to write calligraphy on a boat, response:	so it was a good experience.
context: Hey... Sensei!\Honestly!\You did nothing but dangerous stuff!\Sorry, Sensei.\We won't do it no more, so don't be mad.\Hey, c'mon...\Sensei!\I've never felt like this before. response:	Before I came to this island, all I ever really had to worry about was myself.
context: Honestly!\You did nothing but dangerous stuff!\Sorry, Sensei.\We won't do it no more, so don't be mad.\Hey, c'mon...\Sensei!\I've never felt like this before.\Before I came to this island, all I ever really had to worry about was myself. response:	This is the first time I've been so worried about someone else!
context: You did nothing but dangerous stuff!\Sorry, Sensei.\We won't do it no more, so don't be mad.\Hey, c'mon...\Sensei!\I've never felt like this before.\Before I came to this island, all I ever really had to worry about was myself.\This is the first time I've been so worried about someone else! response:	Damn it!
context: Sorry, Sensei.\We won't do it no more, so don't be mad.\Hey, c'mon...\Sensei!\I've never felt like this before.\Before I came to this island, all I ever really had to worry about was myself.\This is the first time I've been so worried about someone else!\Damn it! response:	I'm going home!
context: We won't do it no more, so don't be mad.\Hey, c'mon...\Sensei!\I've never felt like this before.\Before I came to this island, all I ever really had to worry about was myself.\This is the first time I've been so worried about someone else!\Damn it!\I'm going home! response:	Sensei!
context: Hey, c'mon...\Sensei!\I've never felt like this before.\Before I came to this island, all I ever really had to worry about was myself.\This is the first time I've been so worried about someone else!\Damn it!\I'm going home!\Sensei! response:	Hey...
context: Sensei!\I've never felt like this before.\Before I came to this island, all I ever really had to worry about was myself.\This is the first time I've been so worried about someone else!\Damn it!\I'm going home!\Sensei!\Hey... response:	Sensei, I won't make you worry again!
context: I've never felt like this before.\Before I came to this island, all I ever really had to worry about was myself.\This is the first time I've been so worried about someone else!\Damn it!\I'm going home!\Sensei!\Hey...\Sensei, I won't make you worry again! response:	Me neither!
context: Before I came to this island, all I ever really had to worry about was myself.\This is the first time I've been so worried about someone else!\Damn it!\I'm going home!\Sensei!\Hey...\Sensei, I won't make you worry again!\Me neither! response:	Me either!
context: This is the first time I've been so worried about someone else!\Damn it!\I'm going home!\Sensei!\Hey...\Sensei, I won't make you worry again!\Me neither!\Me either! response:	Me neither!
context: Damn it!\I'm going home!\Sensei!\Hey...\Sensei, I won't make you worry again!\Me neither!\Me either!\Me neither! response:	You guys...
context: I'm going home!\Sensei!\Hey...\Sensei, I won't make you worry again!\Me neither!\Me either!\Me neither!\You guys... response:	Sensei!
context: Sensei!\Hey...\Sensei, I won't make you worry again!\Me neither!\Me either!\Me neither!\You guys...\Sensei! response:	I won't do nothin' dangerous no more!
context: Hey...\Sensei, I won't make you worry again!\Me neither!\Me either!\Me neither!\You guys...\Sensei!\I won't do nothin' dangerous no more! response:	I won't either!
context: Sensei, I won't make you worry again!\Me neither!\Me either!\Me neither!\You guys...\Sensei!\I won't do nothin' dangerous no more!\I won't either! response:	Sensei! Sensei! Sensei!
context: Me neither!\Me either!\Me neither!\You guys...\Sensei!\I won't do nothin' dangerous no more!\I won't either!\Sensei! Sensei! Sensei! response:	The outsider's totally one of the gang now.
context: Me either!\Me neither!\You guys...\Sensei!\I won't do nothin' dangerous no more!\I won't either!\Sensei! Sensei! Sensei!\The outsider's totally one of the gang now. response:	Stare...
context: Me neither!\You guys...\Sensei!\I won't do nothin' dangerous no more!\I won't either!\Sensei! Sensei! Sensei!\The outsider's totally one of the gang now.\Stare... response:	Don't expect me to join in.
context: You guys...\Sensei!\I won't do nothin' dangerous no more!\I won't either!\Sensei! Sensei! Sensei!\The outsider's totally one of the gang now.\Stare...\Don't expect me to join in. response:	Sigh
context: Sensei!\I won't do nothin' dangerous no more!\I won't either!\Sensei! Sensei! Sensei!\The outsider's totally one of the gang now.\Stare...\Don't expect me to join in.\Sigh response:	Aww...
context: I won't do nothin' dangerous no more!\I won't either!\Sensei! Sensei! Sensei!\The outsider's totally one of the gang now.\Stare...\Don't expect me to join in.\Sigh\Aww... response:	Don't look disappointed!
context: I won't either!\Sensei! Sensei! Sensei!\The outsider's totally one of the gang now.\Stare...\Don't expect me to join in.\Sigh\Aww...\Don't look disappointed! response:	Cool Breeze
context: Sensei! Sensei! Sensei!\The outsider's totally one of the gang now.\Stare...\Don't expect me to join in.\Sigh\Aww...\Don't look disappointed!\Cool Breeze response:	Missed Call 1 Kawafuji
context: The outsider's totally one of the gang now.\Stare...\Don't expect me to join in.\Sigh\Aww...\Don't look disappointed!\Cool Breeze\Missed Call 1 Kawafuji response:	Fukue Airport
context: Stare...\Don't expect me to join in.\Sigh\Aww...\Don't look disappointed!\Cool Breeze\Missed Call 1 Kawafuji\Fukue Airport response:	No use...
context: Don't expect me to join in.\Sigh\Aww...\Don't look disappointed!\Cool Breeze\Missed Call 1 Kawafuji\Fukue Airport\No use... response:	He's not answering his cell.
context: Sigh\Aww...\Don't look disappointed!\Cool Breeze\Missed Call 1 Kawafuji\Fukue Airport\No use...\He's not answering his cell. response:	Out of Range
context: Aww...\Don't look disappointed!\Cool Breeze\Missed Call 1 Kawafuji\Fukue Airport\No use...\He's not answering his cell.\Out of Range response:	I'm out of range again.
context: Don't look disappointed!\Cool Breeze\Missed Call 1 Kawafuji\Fukue Airport\No use...\He's not answering his cell.\Out of Range\I'm out of range again. response:	What'll we do?
context: Cool Breeze\Missed Call 1 Kawafuji\Fukue Airport\No use...\He's not answering his cell.\Out of Range\I'm out of range again.\What'll we do? response:	Sheesh, this place is inconvenient.
context: Missed Call 1 Kawafuji\Fukue Airport\No use...\He's not answering his cell.\Out of Range\I'm out of range again.\What'll we do?\Sheesh, this place is inconvenient. response:	I kinda like it here.
context: Fukue Airport\No use...\He's not answering his cell.\Out of Range\I'm out of range again.\What'll we do?\Sheesh, this place is inconvenient.\I kinda like it here. response:	It's like everything is miniature. Teeny-weeny!
context: No use...\He's not answering his cell.\Out of Range\I'm out of range again.\What'll we do?\Sheesh, this place is inconvenient.\I kinda like it here.\It's like everything is miniature. Teeny-weeny! response:	Kyousuke, are you making fun of it?
context: He's not answering his cell.\Out of Range\I'm out of range again.\What'll we do?\Sheesh, this place is inconvenient.\I kinda like it here.\It's like everything is miniature. Teeny-weeny!\Kyousuke, are you making fun of it? response:	It's fine.
context: Out of Range\I'm out of range again.\What'll we do?\Sheesh, this place is inconvenient.\I kinda like it here.\It's like everything is miniature. Teeny-weeny!\Kyousuke, are you making fun of it?\It's fine. response:	I'll go anywhere,
context: I'm out of range again.\What'll we do?\Sheesh, this place is inconvenient.\I kinda like it here.\It's like everything is miniature. Teeny-weeny!\Kyousuke, are you making fun of it?\It's fine.\I'll go anywhere, response:	to meet Handa-san.
context: What'll we do?\Sheesh, this place is inconvenient.\I kinda like it here.\It's like everything is miniature. Teeny-weeny!\Kyousuke, are you making fun of it?\It's fine.\I'll go anywhere,\to meet Handa-san. response:	Miwa-chan! Miwa-chan!
context: Sheesh, this place is inconvenient.\I kinda like it here.\It's like everything is miniature. Teeny-weeny!\Kyousuke, are you making fun of it?\It's fine.\I'll go anywhere,\to meet Handa-san.\Miwa-chan! Miwa-chan! response:	Your hair's really wild!
context: I kinda like it here.\It's like everything is miniature. Teeny-weeny!\Kyousuke, are you making fun of it?\It's fine.\I'll go anywhere,\to meet Handa-san.\Miwa-chan! Miwa-chan!\Your hair's really wild! response:	It's'cuz it's been so humid lately.
context: It's like everything is miniature. Teeny-weeny!\Kyousuke, are you making fun of it?\It's fine.\I'll go anywhere,\to meet Handa-san.\Miwa-chan! Miwa-chan!\Your hair's really wild!\It's'cuz it's been so humid lately. response:	You always did have unruly hair.
context: Kyousuke, are you making fun of it?\It's fine.\I'll go anywhere,\to meet Handa-san.\Miwa-chan! Miwa-chan!\Your hair's really wild!\It's'cuz it's been so humid lately.\You always did have unruly hair. response:	Scruffy
context: It's fine.\I'll go anywhere,\to meet Handa-san.\Miwa-chan! Miwa-chan!\Your hair's really wild!\It's'cuz it's been so humid lately.\You always did have unruly hair.\Scruffy response:	He's just like me!
context: I'll go anywhere,\to meet Handa-san.\Miwa-chan! Miwa-chan!\Your hair's really wild!\It's'cuz it's been so humid lately.\You always did have unruly hair.\Scruffy\He's just like me! response:	Oh, did you girls come to fish, too?
context: to meet Handa-san.\Miwa-chan! Miwa-chan!\Your hair's really wild!\It's'cuz it's been so humid lately.\You always did have unruly hair.\Scruffy\He's just like me!\Oh, did you girls come to fish, too? response:	Sensei, your hair is intense...
context: Miwa-chan! Miwa-chan!\Your hair's really wild!\It's'cuz it's been so humid lately.\You always did have unruly hair.\Scruffy\He's just like me!\Oh, did you girls come to fish, too?\Sensei, your hair is intense... response:	Really?
context: Your hair's really wild!\It's'cuz it's been so humid lately.\You always did have unruly hair.\Scruffy\He's just like me!\Oh, did you girls come to fish, too?\Sensei, your hair is intense...\Really? response:	It gets like this when I'm in good condition.
context: It's'cuz it's been so humid lately.\You always did have unruly hair.\Scruffy\He's just like me!\Oh, did you girls come to fish, too?\Sensei, your hair is intense...\Really?\It gets like this when I'm in good condition. response:	No, ain't it'cuz of the humidity?
context: You always did have unruly hair.\Scruffy\He's just like me!\Oh, did you girls come to fish, too?\Sensei, your hair is intense...\Really?\It gets like this when I'm in good condition.\No, ain't it'cuz of the humidity? response:	You both have similar hair qualities.
context: Scruffy\He's just like me!\Oh, did you girls come to fish, too?\Sensei, your hair is intense...\Really?\It gets like this when I'm in good condition.\No, ain't it'cuz of the humidity?\You both have similar hair qualities. response:	Even your hairstyle's the same.
context: He's just like me!\Oh, did you girls come to fish, too?\Sensei, your hair is intense...\Really?\It gets like this when I'm in good condition.\No, ain't it'cuz of the humidity?\You both have similar hair qualities.\Even your hairstyle's the same. response:	Sensei, don't copy me!
context: Oh, did you girls come to fish, too?\Sensei, your hair is intense...\Really?\It gets like this when I'm in good condition.\No, ain't it'cuz of the humidity?\You both have similar hair qualities.\Even your hairstyle's the same.\Sensei, don't copy me! response:	Copy...
context: Sensei, your hair is intense...\Really?\It gets like this when I'm in good condition.\No, ain't it'cuz of the humidity?\You both have similar hair qualities.\Even your hairstyle's the same.\Sensei, don't copy me!\Copy... response:	Maybe try goin' close-cropped?
context: Really?\It gets like this when I'm in good condition.\No, ain't it'cuz of the humidity?\You both have similar hair qualities.\Even your hairstyle's the same.\Sensei, don't copy me!\Copy...\Maybe try goin' close-cropped? response:	No, that won't look good on me.
context: It gets like this when I'm in good condition.\No, ain't it'cuz of the humidity?\You both have similar hair qualities.\Even your hairstyle's the same.\Sensei, don't copy me!\Copy...\Maybe try goin' close-cropped?\No, that won't look good on me. response:	Oh, there's a bunch here today!
context: No, ain't it'cuz of the humidity?\You both have similar hair qualities.\Even your hairstyle's the same.\Sensei, don't copy me!\Copy...\Maybe try goin' close-cropped?\No, that won't look good on me.\Oh, there's a bunch here today! response:	Mind if yer teacher joins ya?
context: You both have similar hair qualities.\Even your hairstyle's the same.\Sensei, don't copy me!\Copy...\Maybe try goin' close-cropped?\No, that won't look good on me.\Oh, there's a bunch here today!\Mind if yer teacher joins ya? response:	Scruffy
context: Even your hairstyle's the same.\Sensei, don't copy me!\Copy...\Maybe try goin' close-cropped?\No, that won't look good on me.\Oh, there's a bunch here today!\Mind if yer teacher joins ya?\Scruffy response:	Boy, it's tough when it's this muggy.
context: Sensei, don't copy me!\Copy...\Maybe try goin' close-cropped?\No, that won't look good on me.\Oh, there's a bunch here today!\Mind if yer teacher joins ya?\Scruffy\Boy, it's tough when it's this muggy. response:	The same as the teacher?!
context: Copy...\Maybe try goin' close-cropped?\No, that won't look good on me.\Oh, there's a bunch here today!\Mind if yer teacher joins ya?\Scruffy\Boy, it's tough when it's this muggy.\The same as the teacher?! response:	So glad I have straight hair...
context: Maybe try goin' close-cropped?\No, that won't look good on me.\Oh, there's a bunch here today!\Mind if yer teacher joins ya?\Scruffy\Boy, it's tough when it's this muggy.\The same as the teacher?!\So glad I have straight hair... response:	Just close-cropped isn't enough,
context: No, that won't look good on me.\Oh, there's a bunch here today!\Mind if yer teacher joins ya?\Scruffy\Boy, it's tough when it's this muggy.\The same as the teacher?!\So glad I have straight hair...\Just close-cropped isn't enough, response:	obviously...
context: Oh, there's a bunch here today!\Mind if yer teacher joins ya?\Scruffy\Boy, it's tough when it's this muggy.\The same as the teacher?!\So glad I have straight hair...\Just close-cropped isn't enough,\obviously... response:	Ya got tengusa head!
context: Mind if yer teacher joins ya?\Scruffy\Boy, it's tough when it's this muggy.\The same as the teacher?!\So glad I have straight hair...\Just close-cropped isn't enough,\obviously...\Ya got tengusa head! response:	Huh?
context: Scruffy\Boy, it's tough when it's this muggy.\The same as the teacher?!\So glad I have straight hair...\Just close-cropped isn't enough,\obviously...\Ya got tengusa head!\Huh? response:	Tengusa (red algae)
