context: Up until now, I've insisted on using One For All. response:	I should've turned the switch on throughout from the beginning!
context: Near Hosu City\Um, this train won't arrive until night. Is that okay?\That's why it's good!\There'll be more skirmishes then, so it'll be more fun!\It doesn't sound fun, but I guess I understand.\Using his smartphone with someone next to him! Kids these days!\See you tomorrow! (read) Yeah! See you tomorrow, then! (read)\Today I'll be passing near Hosu!! How are things going with you, Iida? (read) response:	(read)
context: Um, this train won't arrive until night. Is that okay?\That's why it's good!\There'll be more skirmishes then, so it'll be more fun!\It doesn't sound fun, but I guess I understand.\Using his smartphone with someone next to him! Kids these days!\See you tomorrow! (read) Yeah! See you tomorrow, then! (read)\Today I'll be passing near Hosu!! How are things going with you, Iida? (read)\(read) response:	He read the message but didn't reply...
context: That's why it's good!\There'll be more skirmishes then, so it'll be more fun!\It doesn't sound fun, but I guess I understand.\Using his smartphone with someone next to him! Kids these days!\See you tomorrow! (read) Yeah! See you tomorrow, then! (read)\Today I'll be passing near Hosu!! How are things going with you, Iida? (read)\(read)\He read the message but didn't reply... response:	Iida usually responds within three minutes of reading the message...
context: There'll be more skirmishes then, so it'll be more fun!\It doesn't sound fun, but I guess I understand.\Using his smartphone with someone next to him! Kids these days!\See you tomorrow! (read) Yeah! See you tomorrow, then! (read)\Today I'll be passing near Hosu!! How are things going with you, Iida? (read)\(read)\He read the message but didn't reply...\Iida usually responds within three minutes of reading the message... response:	We're almost at Hosu Station, huh?
context: It doesn't sound fun, but I guess I understand.\Using his smartphone with someone next to him! Kids these days!\See you tomorrow! (read) Yeah! See you tomorrow, then! (read)\Today I'll be passing near Hosu!! How are things going with you, Iida? (read)\(read)\He read the message but didn't reply...\Iida usually responds within three minutes of reading the message...\We're almost at Hosu Station, huh? response:	If you ever feel hopeless, make sure you let us know.
context: Using his smartphone with someone next to him! Kids these days!\See you tomorrow! (read) Yeah! See you tomorrow, then! (read)\Today I'll be passing near Hosu!! How are things going with you, Iida? (read)\(read)\He read the message but didn't reply...\Iida usually responds within three minutes of reading the message...\We're almost at Hosu Station, huh?\If you ever feel hopeless, make sure you let us know. response:	We're friends, right?
context: See you tomorrow! (read) Yeah! See you tomorrow, then! (read)\Today I'll be passing near Hosu!! How are things going with you, Iida? (read)\(read)\He read the message but didn't reply...\Iida usually responds within three minutes of reading the message...\We're almost at Hosu Station, huh?\If you ever feel hopeless, make sure you let us know.\We're friends, right? response:	Yeah.
context: Today I'll be passing near Hosu!! How are things going with you, Iida? (read)\(read)\He read the message but didn't reply...\Iida usually responds within three minutes of reading the message...\We're almost at Hosu Station, huh?\If you ever feel hopeless, make sure you let us know.\We're friends, right?\Yeah. response:	Hey, look at that!
context: (read)\He read the message but didn't reply...\Iida usually responds within three minutes of reading the message...\We're almost at Hosu Station, huh?\If you ever feel hopeless, make sure you let us know.\We're friends, right?\Yeah.\Hey, look at that! response:	That building just exploded!
context: He read the message but didn't reply...\Iida usually responds within three minutes of reading the message...\We're almost at Hosu Station, huh?\If you ever feel hopeless, make sure you let us know.\We're friends, right?\Yeah.\Hey, look at that!\That building just exploded! response:	Where? Where?
context: Iida usually responds within three minutes of reading the message...\We're almost at Hosu Station, huh?\If you ever feel hopeless, make sure you let us know.\We're friends, right?\Yeah.\Hey, look at that!\That building just exploded!\Where? Where? response:	-What's going on? -You're right! There's smoke!
context: We're almost at Hosu Station, huh?\If you ever feel hopeless, make sure you let us know.\We're friends, right?\Yeah.\Hey, look at that!\That building just exploded!\Where? Where?\-What's going on? -You're right! There's smoke! response:	-Could it be a fire? -You're right! There's smoke!
context: If you ever feel hopeless, make sure you let us know.\We're friends, right?\Yeah.\Hey, look at that!\That building just exploded!\Where? Where?\-What's going on? -You're right! There's smoke!\-Could it be a fire? -You're right! There's smoke! response:	Passengers, please hold onto your seats.
context: We're friends, right?\Yeah.\Hey, look at that!\That building just exploded!\Where? Where?\-What's going on? -You're right! There's smoke!\-Could it be a fire? -You're right! There's smoke!\Passengers, please hold onto your seats. response:	What's with that-?!
context: Yeah.\Hey, look at that!\That building just exploded!\Where? Where?\-What's going on? -You're right! There's smoke!\-Could it be a fire? -You're right! There's smoke!\Passengers, please hold onto your seats.\What's with that-?! response:	A hero?!
context: Hey, look at that!\That building just exploded!\Where? Where?\-What's going on? -You're right! There's smoke!\-Could it be a fire? -You're right! There's smoke!\Passengers, please hold onto your seats.\What's with that-?!\A hero?! response:	Nomu!
context: That building just exploded!\Where? Where?\-What's going on? -You're right! There's smoke!\-Could it be a fire? -You're right! There's smoke!\Passengers, please hold onto your seats.\What's with that-?!\A hero?!\Nomu! response:	Kid, sit down!
context: Where? Where?\-What's going on? -You're right! There's smoke!\-Could it be a fire? -You're right! There's smoke!\Passengers, please hold onto your seats.\What's with that-?!\A hero?!\Nomu!\Kid, sit down! response:	Grand Torino?!
context: -What's going on? -You're right! There's smoke!\-Could it be a fire? -You're right! There's smoke!\Passengers, please hold onto your seats.\What's with that-?!\A hero?!\Nomu!\Kid, sit down!\Grand Torino?! response:	Grand Torino!
context: -Could it be a fire? -You're right! There's smoke!\Passengers, please hold onto your seats.\What's with that-?!\A hero?!\Nomu!\Kid, sit down!\Grand Torino?!\Grand Torino! response:	Wh-What is it...?
context: Passengers, please hold onto your seats.\What's with that-?!\A hero?!\Nomu!\Kid, sit down!\Grand Torino?!\Grand Torino!\Wh-What is it...? response:	What's going on?!
context: What's with that-?!\A hero?!\Nomu!\Kid, sit down!\Grand Torino?!\Grand Torino!\Wh-What is it...?\What's going on?! response:	This is good. Let's make this flashy!
context: A hero?!\Nomu!\Kid, sit down!\Grand Torino?!\Grand Torino!\Wh-What is it...?\What's going on?!\This is good. Let's make this flashy! response:	What did you say? A villain appeared?!
context: Nomu!\Kid, sit down!\Grand Torino?!\Grand Torino!\Wh-What is it...?\What's going on?!\This is good. Let's make this flashy!\What did you say? A villain appeared?! response:	All right. We'll head over right away!
context: Kid, sit down!\Grand Torino?!\Grand Torino!\Wh-What is it...?\What's going on?!\This is good. Let's make this flashy!\What did you say? A villain appeared?!\All right. We'll head over right away! response:	Tenya!
context: Grand Torino?!\Grand Torino!\Wh-What is it...?\What's going on?!\This is good. Let's make this flashy!\What did you say? A villain appeared?!\All right. We'll head over right away!\Tenya! response:	We're gonna run!
context: Grand Torino!\Wh-What is it...?\What's going on?!\This is good. Let's make this flashy!\What did you say? A villain appeared?!\All right. We'll head over right away!\Tenya!\We're gonna run! response:	Don't tell me...
context: Wh-What is it...?\What's going on?!\This is good. Let's make this flashy!\What did you say? A villain appeared?!\All right. We'll head over right away!\Tenya!\We're gonna run!\Don't tell me... response:	No, this is different.
context: What's going on?!\This is good. Let's make this flashy!\What did you say? A villain appeared?!\All right. We'll head over right away!\Tenya!\We're gonna run!\Don't tell me...\No, this is different. response:	That guy wouldn't be so flashy...
context: This is good. Let's make this flashy!\What did you say? A villain appeared?!\All right. We'll head over right away!\Tenya!\We're gonna run!\Don't tell me...\No, this is different.\That guy wouldn't be so flashy... response:	So noisy...
context: What did you say? A villain appeared?!\All right. We'll head over right away!\Tenya!\We're gonna run!\Don't tell me...\No, this is different.\That guy wouldn't be so flashy...\So noisy... response:	The idiots have come out, huh?
context: All right. We'll head over right away!\Tenya!\We're gonna run!\Don't tell me...\No, this is different.\That guy wouldn't be so flashy...\So noisy...\The idiots have come out, huh? response:	I'll dispose of them later.
context: Tenya!\We're gonna run!\Don't tell me...\No, this is different.\That guy wouldn't be so flashy...\So noisy...\The idiots have come out, huh?\I'll dispose of them later. response:	Right now...
context: We're gonna run!\Don't tell me...\No, this is different.\That guy wouldn't be so flashy...\So noisy...\The idiots have come out, huh?\I'll dispose of them later.\Right now... response:	I will do what I should be doing.
context: Don't tell me...\No, this is different.\That guy wouldn't be so flashy...\So noisy...\The idiots have come out, huh?\I'll dispose of them later.\Right now...\I will do what I should be doing. response:	My body... won't move...
context: No, this is different.\That guy wouldn't be so flashy...\So noisy...\The idiots have come out, huh?\I'll dispose of them later.\Right now...\I will do what I should be doing.\My body... won't move... response:	Pro Hero - Native
context: That guy wouldn't be so flashy...\So noisy...\The idiots have come out, huh?\I'll dispose of them later.\Right now...\I will do what I should be doing.\My body... won't move...\Pro Hero - Native response:	You bastard...!
context: So noisy...\The idiots have come out, huh?\I'll dispose of them later.\Right now...\I will do what I should be doing.\My body... won't move...\Pro Hero - Native\You bastard...! response:	Die...!
context: The idiots have come out, huh?\I'll dispose of them later.\Right now...\I will do what I should be doing.\My body... won't move...\Pro Hero - Native\You bastard...!\Die...! response:	If you call yourself a hero,
context: I'll dispose of them later.\Right now...\I will do what I should be doing.\My body... won't move...\Pro Hero - Native\You bastard...!\Die...!\If you call yourself a hero, response:	you should choose your last words carefully.
context: Right now...\I will do what I should be doing.\My body... won't move...\Pro Hero - Native\You bastard...!\Die...!\If you call yourself a hero,\you should choose your last words carefully. response:	A child wearing a suit...
context: I will do what I should be doing.\My body... won't move...\Pro Hero - Native\You bastard...!\Die...!\If you call yourself a hero,\you should choose your last words carefully.\A child wearing a suit... response:	Who is he?
context: My body... won't move...\Pro Hero - Native\You bastard...!\Die...!\If you call yourself a hero,\you should choose your last words carefully.\A child wearing a suit...\Who is he? response:	Go away. This is not a place for children.
context: Pro Hero - Native\You bastard...!\Die...!\If you call yourself a hero,\you should choose your last words carefully.\A child wearing a suit...\Who is he?\Go away. This is not a place for children. response:	A scarf as red as blood, carrying blades all over your body...
context: You bastard...!\Die...!\If you call yourself a hero,\you should choose your last words carefully.\A child wearing a suit...\Who is he?\Go away. This is not a place for children.\A scarf as red as blood, carrying blades all over your body... response:	You must be the Hero Killer: Stain!
context: Die...!\If you call yourself a hero,\you should choose your last words carefully.\A child wearing a suit...\Who is he?\Go away. This is not a place for children.\A scarf as red as blood, carrying blades all over your body...\You must be the Hero Killer: Stain! response:	You are, aren't you?
context: If you call yourself a hero,\you should choose your last words carefully.\A child wearing a suit...\Who is he?\Go away. This is not a place for children.\A scarf as red as blood, carrying blades all over your body...\You must be the Hero Killer: Stain!\You are, aren't you? response:	I have been chasing you!
context: you should choose your last words carefully.\A child wearing a suit...\Who is he?\Go away. This is not a place for children.\A scarf as red as blood, carrying blades all over your body...\You must be the Hero Killer: Stain!\You are, aren't you?\I have been chasing you! response:	I did not think I would find you so soon!
context: A child wearing a suit...\Who is he?\Go away. This is not a place for children.\A scarf as red as blood, carrying blades all over your body...\You must be the Hero Killer: Stain!\You are, aren't you?\I have been chasing you!\I did not think I would find you so soon! response:	I am...
context: Who is he?\Go away. This is not a place for children.\A scarf as red as blood, carrying blades all over your body...\You must be the Hero Killer: Stain!\You are, aren't you?\I have been chasing you!\I did not think I would find you so soon!\I am... response:	Your eyes... Are you here for vengeance?
context: Go away. This is not a place for children.\A scarf as red as blood, carrying blades all over your body...\You must be the Hero Killer: Stain!\You are, aren't you?\I have been chasing you!\I did not think I would find you so soon!\I am...\Your eyes... Are you here for vengeance? response:	Be careful of what you say.
context: A scarf as red as blood, carrying blades all over your body...\You must be the Hero Killer: Stain!\You are, aren't you?\I have been chasing you!\I did not think I would find you so soon!\I am...\Your eyes... Are you here for vengeance?\Be careful of what you say. response:	Depending on the situation, even children may become my targets.
context: You must be the Hero Killer: Stain!\You are, aren't you?\I have been chasing you!\I did not think I would find you so soon!\I am...\Your eyes... Are you here for vengeance?\Be careful of what you say.\Depending on the situation, even children may become my targets. response:	Are you saying that I am... not even a target?
context: You are, aren't you?\I have been chasing you!\I did not think I would find you so soon!\I am...\Your eyes... Are you here for vengeance?\Be careful of what you say.\Depending on the situation, even children may become my targets.\Are you saying that I am... not even a target? response:	Then listen, criminal!
context: I have been chasing you!\I did not think I would find you so soon!\I am...\Your eyes... Are you here for vengeance?\Be careful of what you say.\Depending on the situation, even children may become my targets.\Are you saying that I am... not even a target?\Then listen, criminal! response:	I am the younger brother of a hero you attacked.
context: I did not think I would find you so soon!\I am...\Your eyes... Are you here for vengeance?\Be careful of what you say.\Depending on the situation, even children may become my targets.\Are you saying that I am... not even a target?\Then listen, criminal!\I am the younger brother of a hero you attacked. response:	The younger brother of a most excellent older brother!
context: I am...\Your eyes... Are you here for vengeance?\Be careful of what you say.\Depending on the situation, even children may become my targets.\Are you saying that I am... not even a target?\Then listen, criminal!\I am the younger brother of a hero you attacked.\The younger brother of a most excellent older brother! response:	I have come to stop you in his place!
context: Your eyes... Are you here for vengeance?\Be careful of what you say.\Depending on the situation, even children may become my targets.\Are you saying that I am... not even a target?\Then listen, criminal!\I am the younger brother of a hero you attacked.\The younger brother of a most excellent older brother!\I have come to stop you in his place! response:	Will you take this name for me?
context: Be careful of what you say.\Depending on the situation, even children may become my targets.\Are you saying that I am... not even a target?\Then listen, criminal!\I am the younger brother of a hero you attacked.\The younger brother of a most excellent older brother!\I have come to stop you in his place!\Will you take this name for me? response:	Remember my name for as long as you live!
context: Depending on the situation, even children may become my targets.\Are you saying that I am... not even a target?\Then listen, criminal!\I am the younger brother of a hero you attacked.\The younger brother of a most excellent older brother!\I have come to stop you in his place!\Will you take this name for me?\Remember my name for as long as you live! response:	Ingenium. It is the name of the hero who will defeat you!
context: Are you saying that I am... not even a target?\Then listen, criminal!\I am the younger brother of a hero you attacked.\The younger brother of a most excellent older brother!\I have come to stop you in his place!\Will you take this name for me?\Remember my name for as long as you live!\Ingenium. It is the name of the hero who will defeat you! response:	I see.
context: Then listen, criminal!\I am the younger brother of a hero you attacked.\The younger brother of a most excellent older brother!\I have come to stop you in his place!\Will you take this name for me?\Remember my name for as long as you live!\Ingenium. It is the name of the hero who will defeat you!\I see. response:	Die.
context: I am the younger brother of a hero you attacked.\The younger brother of a most excellent older brother!\I have come to stop you in his place!\Will you take this name for me?\Remember my name for as long as you live!\Ingenium. It is the name of the hero who will defeat you!\I see.\Die. response:	Preview
context: The younger brother of a most excellent older brother!\I have come to stop you in his place!\Will you take this name for me?\Remember my name for as long as you live!\Ingenium. It is the name of the hero who will defeat you!\I see.\Die.\Preview response:	Here's the preview!
context: I have come to stop you in his place!\Will you take this name for me?\Remember my name for as long as you live!\Ingenium. It is the name of the hero who will defeat you!\I see.\Die.\Preview\Here's the preview! response:	Hosu City is under attack by villains, where...
context: Will you take this name for me?\Remember my name for as long as you live!\Ingenium. It is the name of the hero who will defeat you!\I see.\Die.\Preview\Here's the preview!\Hosu City is under attack by villains, where... response:	I have found you, Hero Killer: Stain!
context: Remember my name for as long as you live!\Ingenium. It is the name of the hero who will defeat you!\I see.\Die.\Preview\Here's the preview!\Hosu City is under attack by villains, where...\I have found you, Hero Killer: Stain! response:	I am the younger brother of a hero you attacked!
context: Ingenium. It is the name of the hero who will defeat you!\I see.\Die.\Preview\Here's the preview!\Hosu City is under attack by villains, where...\I have found you, Hero Killer: Stain!\I am the younger brother of a hero you attacked! response:	So this is the reason why Iida chose this internship...
context: I see.\Die.\Preview\Here's the preview!\Hosu City is under attack by villains, where...\I have found you, Hero Killer: Stain!\I am the younger brother of a hero you attacked!\So this is the reason why Iida chose this internship... response:	My older brother was an upstanding hero!
context: Die.\Preview\Here's the preview!\Hosu City is under attack by villains, where...\I have found you, Hero Killer: Stain!\I am the younger brother of a hero you attacked!\So this is the reason why Iida chose this internship...\My older brother was an upstanding hero! response:	I will not forgive you. I'll... I'll kill you!
context: Preview\Here's the preview!\Hosu City is under attack by villains, where...\I have found you, Hero Killer: Stain!\I am the younger brother of a hero you attacked!\So this is the reason why Iida chose this internship...\My older brother was an upstanding hero!\I will not forgive you. I'll... I'll kill you! response:	Next time, Hero Killer: Stain vs U.A. Students.
context: Here's the preview!\Hosu City is under attack by villains, where...\I have found you, Hero Killer: Stain!\I am the younger brother of a hero you attacked!\So this is the reason why Iida chose this internship...\My older brother was an upstanding hero!\I will not forgive you. I'll... I'll kill you!\Next time, Hero Killer: Stain vs U.A. Students. response:	Ingenium. It is the name of the hero who will defeat you!
context: Hosu City is under attack by villains, where...\I have found you, Hero Killer: Stain!\I am the younger brother of a hero you attacked!\So this is the reason why Iida chose this internship...\My older brother was an upstanding hero!\I will not forgive you. I'll... I'll kill you!\Next time, Hero Killer: Stain vs U.A. Students.\Ingenium. It is the name of the hero who will defeat you! response:	Go beyond!
context: I have found you, Hero Killer: Stain!\I am the younger brother of a hero you attacked!\So this is the reason why Iida chose this internship...\My older brother was an upstanding hero!\I will not forgive you. I'll... I'll kill you!\Next time, Hero Killer: Stain vs U.A. Students.\Ingenium. It is the name of the hero who will defeat you!\Go beyond! response:	Next time: Hero Killer: Stain vs U.A. Students
context: I am the younger brother of a hero you attacked!\So this is the reason why Iida chose this internship...\My older brother was an upstanding hero!\I will not forgive you. I'll... I'll kill you!\Next time, Hero Killer: Stain vs U.A. Students.\Ingenium. It is the name of the hero who will defeat you!\Go beyond!\Next time: Hero Killer: Stain vs U.A. Students response:	Plus Ultra!
