context: 29th Suimei University of the Arts High School Graduation Ceremony response:	Yeah, everything's fine here.
context: You make it sound like some kind of awful scam.\It doesn't just sound like one...\Well, it all worked out, Nanamin!\Sakura Hall will never be destroyed!\Yeah! Sakura Hall is indestructible!\Just stand there in silence!\It's Sorata's fault we got in trouble.\Kanda, keep your mouth shut. response:	Kanda-kun, hush.
context: It doesn't just sound like one...\Well, it all worked out, Nanamin!\Sakura Hall will never be destroyed!\Yeah! Sakura Hall is indestructible!\Just stand there in silence!\It's Sorata's fault we got in trouble.\Kanda, keep your mouth shut.\Kanda-kun, hush. response:	You're not going to yell at Misaki-senpai?
context: Well, it all worked out, Nanamin!\Sakura Hall will never be destroyed!\Yeah! Sakura Hall is indestructible!\Just stand there in silence!\It's Sorata's fault we got in trouble.\Kanda, keep your mouth shut.\Kanda-kun, hush.\You're not going to yell at Misaki-senpai? response:	There's something wrong there...
context: Sakura Hall will never be destroyed!\Yeah! Sakura Hall is indestructible!\Just stand there in silence!\It's Sorata's fault we got in trouble.\Kanda, keep your mouth shut.\Kanda-kun, hush.\You're not going to yell at Misaki-senpai?\There's something wrong there... response:	This song...
context: Yeah! Sakura Hall is indestructible!\Just stand there in silence!\It's Sorata's fault we got in trouble.\Kanda, keep your mouth shut.\Kanda-kun, hush.\You're not going to yell at Misaki-senpai?\There's something wrong there...\This song... response:	We asked Hauhau to play it.
context: Just stand there in silence!\It's Sorata's fault we got in trouble.\Kanda, keep your mouth shut.\Kanda-kun, hush.\You're not going to yell at Misaki-senpai?\There's something wrong there...\This song...\We asked Hauhau to play it. response:	Let's be friends forever.
context: It's Sorata's fault we got in trouble.\Kanda, keep your mouth shut.\Kanda-kun, hush.\You're not going to yell at Misaki-senpai?\There's something wrong there...\This song...\We asked Hauhau to play it.\Let's be friends forever. response:	Don't they play this song at elementary school graduations?
context: Kanda, keep your mouth shut.\Kanda-kun, hush.\You're not going to yell at Misaki-senpai?\There's something wrong there...\This song...\We asked Hauhau to play it.\Let's be friends forever.\Don't they play this song at elementary school graduations? response:	But it's a wonderful song.
context: Kanda-kun, hush.\You're not going to yell at Misaki-senpai?\There's something wrong there...\This song...\We asked Hauhau to play it.\Let's be friends forever.\Don't they play this song at elementary school graduations?\But it's a wonderful song. response:	Let's dream of tomorrow as we walk down the path of hope.
context: You're not going to yell at Misaki-senpai?\There's something wrong there...\This song...\We asked Hauhau to play it.\Let's be friends forever.\Don't they play this song at elementary school graduations?\But it's a wonderful song.\Let's dream of tomorrow as we walk down the path of hope. response:	Live as freely as the birds flying in the sky.
context: There's something wrong there...\This song...\We asked Hauhau to play it.\Let's be friends forever.\Don't they play this song at elementary school graduations?\But it's a wonderful song.\Let's dream of tomorrow as we walk down the path of hope.\Live as freely as the birds flying in the sky. response:	Goodbye for today.
context: This song...\We asked Hauhau to play it.\Let's be friends forever.\Don't they play this song at elementary school graduations?\But it's a wonderful song.\Let's dream of tomorrow as we walk down the path of hope.\Live as freely as the birds flying in the sky.\Goodbye for today. response:	Until we meet again.
context: We asked Hauhau to play it.\Let's be friends forever.\Don't they play this song at elementary school graduations?\But it's a wonderful song.\Let's dream of tomorrow as we walk down the path of hope.\Live as freely as the birds flying in the sky.\Goodbye for today.\Until we meet again. response:	Treasure the joy of believing in one another.
context: Let's be friends forever.\Don't they play this song at elementary school graduations?\But it's a wonderful song.\Let's dream of tomorrow as we walk down the path of hope.\Live as freely as the birds flying in the sky.\Goodbye for today.\Until we meet again.\Treasure the joy of believing in one another. response:	Goodbye for today.
context: Don't they play this song at elementary school graduations?\But it's a wonderful song.\Let's dream of tomorrow as we walk down the path of hope.\Live as freely as the birds flying in the sky.\Goodbye for today.\Until we meet again.\Treasure the joy of believing in one another.\Goodbye for today. response:	Until we meet again.
context: But it's a wonderful song.\Let's dream of tomorrow as we walk down the path of hope.\Live as freely as the birds flying in the sky.\Goodbye for today.\Until we meet again.\Treasure the joy of believing in one another.\Goodbye for today.\Until we meet again. response:	Until we meet again.
