context: Today, I overslept and didn't have time, so it's omelet rice again. response:	You know, I don't need lunches anymore.
context: Sho, everything is like what she says.\In reality, she no longer exists.\Maybe this is time for us to say goodbye to Misa...\why don't we decide on that?\Then, let me tell her how I truly feel...\Well, how to put it...\This has to be when I can't think of anything to say...\Sho, did you have the hots for me? response:	That's right. Misa, I loved you. It's embarrassing to say, but I was in love.
context: In reality, she no longer exists.\Maybe this is time for us to say goodbye to Misa...\why don't we decide on that?\Then, let me tell her how I truly feel...\Well, how to put it...\This has to be when I can't think of anything to say...\Sho, did you have the hots for me?\That's right. Misa, I loved you. It's embarrassing to say, but I was in love. response:	But you passed away before I could tell you that...
context: Maybe this is time for us to say goodbye to Misa...\why don't we decide on that?\Then, let me tell her how I truly feel...\Well, how to put it...\This has to be when I can't think of anything to say...\Sho, did you have the hots for me?\That's right. Misa, I loved you. It's embarrassing to say, but I was in love.\But you passed away before I could tell you that... response:	And it was an accident while we were riding one motorcycle together.
context: why don't we decide on that?\Then, let me tell her how I truly feel...\Well, how to put it...\This has to be when I can't think of anything to say...\Sho, did you have the hots for me?\That's right. Misa, I loved you. It's embarrassing to say, but I was in love.\But you passed away before I could tell you that...\And it was an accident while we were riding one motorcycle together. response:	I was okay with just small wounds...
context: Then, let me tell her how I truly feel...\Well, how to put it...\This has to be when I can't think of anything to say...\Sho, did you have the hots for me?\That's right. Misa, I loved you. It's embarrassing to say, but I was in love.\But you passed away before I could tell you that...\And it was an accident while we were riding one motorcycle together.\I was okay with just small wounds... response:	So I was the one that killed you...
context: Well, how to put it...\This has to be when I can't think of anything to say...\Sho, did you have the hots for me?\That's right. Misa, I loved you. It's embarrassing to say, but I was in love.\But you passed away before I could tell you that...\And it was an accident while we were riding one motorcycle together.\I was okay with just small wounds...\So I was the one that killed you... response:	I see. Right, right.
context: This has to be when I can't think of anything to say...\Sho, did you have the hots for me?\That's right. Misa, I loved you. It's embarrassing to say, but I was in love.\But you passed away before I could tell you that...\And it was an accident while we were riding one motorcycle together.\I was okay with just small wounds...\So I was the one that killed you...\I see. Right, right. response:	I made you harbor such immense feelings.
context: Sho, did you have the hots for me?\That's right. Misa, I loved you. It's embarrassing to say, but I was in love.\But you passed away before I could tell you that...\And it was an accident while we were riding one motorcycle together.\I was okay with just small wounds...\So I was the one that killed you...\I see. Right, right.\I made you harbor such immense feelings. response:	But I was the one that sought such dangerous thrills.
context: That's right. Misa, I loved you. It's embarrassing to say, but I was in love.\But you passed away before I could tell you that...\And it was an accident while we were riding one motorcycle together.\I was okay with just small wounds...\So I was the one that killed you...\I see. Right, right.\I made you harbor such immense feelings.\But I was the one that sought such dangerous thrills. response:	I reaped what I had sewn.
context: But you passed away before I could tell you that...\And it was an accident while we were riding one motorcycle together.\I was okay with just small wounds...\So I was the one that killed you...\I see. Right, right.\I made you harbor such immense feelings.\But I was the one that sought such dangerous thrills.\I reaped what I had sewn. response:	Don't cry. That's not like you.
context: And it was an accident while we were riding one motorcycle together.\I was okay with just small wounds...\So I was the one that killed you...\I see. Right, right.\I made you harbor such immense feelings.\But I was the one that sought such dangerous thrills.\I reaped what I had sewn.\Don't cry. That's not like you. response:	Sho, forget about me, and starting tomorrow, live your own life.
context: I was okay with just small wounds...\So I was the one that killed you...\I see. Right, right.\I made you harbor such immense feelings.\But I was the one that sought such dangerous thrills.\I reaped what I had sewn.\Don't cry. That's not like you.\Sho, forget about me, and starting tomorrow, live your own life. response:	Don't keep dragging the dead into your life.
context: So I was the one that killed you...\I see. Right, right.\I made you harbor such immense feelings.\But I was the one that sought such dangerous thrills.\I reaped what I had sewn.\Don't cry. That's not like you.\Sho, forget about me, and starting tomorrow, live your own life.\Don't keep dragging the dead into your life. response:	Otherwise, your life would get screwed up
context: I see. Right, right.\I made you harbor such immense feelings.\But I was the one that sought such dangerous thrills.\I reaped what I had sewn.\Don't cry. That's not like you.\Sho, forget about me, and starting tomorrow, live your own life.\Don't keep dragging the dead into your life.\Otherwise, your life would get screwed up response:	and you won't be happy in the future, okay?
context: I made you harbor such immense feelings.\But I was the one that sought such dangerous thrills.\I reaped what I had sewn.\Don't cry. That's not like you.\Sho, forget about me, and starting tomorrow, live your own life.\Don't keep dragging the dead into your life.\Otherwise, your life would get screwed up\and you won't be happy in the future, okay? response:	Geez, you really are a troublesome boy.
context: But I was the one that sought such dangerous thrills.\I reaped what I had sewn.\Don't cry. That's not like you.\Sho, forget about me, and starting tomorrow, live your own life.\Don't keep dragging the dead into your life.\Otherwise, your life would get screwed up\and you won't be happy in the future, okay?\Geez, you really are a troublesome boy. response:	Sho...
context: I reaped what I had sewn.\Don't cry. That's not like you.\Sho, forget about me, and starting tomorrow, live your own life.\Don't keep dragging the dead into your life.\Otherwise, your life would get screwed up\and you won't be happy in the future, okay?\Geez, you really are a troublesome boy.\Sho... response:	All right, Misa...
context: Don't cry. That's not like you.\Sho, forget about me, and starting tomorrow, live your own life.\Don't keep dragging the dead into your life.\Otherwise, your life would get screwed up\and you won't be happy in the future, okay?\Geez, you really are a troublesome boy.\Sho...\All right, Misa... response:	I will walk down my own path that you are not a part of.
context: Sho, forget about me, and starting tomorrow, live your own life.\Don't keep dragging the dead into your life.\Otherwise, your life would get screwed up\and you won't be happy in the future, okay?\Geez, you really are a troublesome boy.\Sho...\All right, Misa...\I will walk down my own path that you are not a part of. response:	I'll sever off my feelings for you... and that is how I will live on.
context: Don't keep dragging the dead into your life.\Otherwise, your life would get screwed up\and you won't be happy in the future, okay?\Geez, you really are a troublesome boy.\Sho...\All right, Misa...\I will walk down my own path that you are not a part of.\I'll sever off my feelings for you... and that is how I will live on. response:	All right! Both of you, lead a very happy life!
context: Otherwise, your life would get screwed up\and you won't be happy in the future, okay?\Geez, you really are a troublesome boy.\Sho...\All right, Misa...\I will walk down my own path that you are not a part of.\I'll sever off my feelings for you... and that is how I will live on.\All right! Both of you, lead a very happy life! response:	Yeah.
context: and you won't be happy in the future, okay?\Geez, you really are a troublesome boy.\Sho...\All right, Misa...\I will walk down my own path that you are not a part of.\I'll sever off my feelings for you... and that is how I will live on.\All right! Both of you, lead a very happy life!\Yeah. response:	Sure thing!
context: Geez, you really are a troublesome boy.\Sho...\All right, Misa...\I will walk down my own path that you are not a part of.\I'll sever off my feelings for you... and that is how I will live on.\All right! Both of you, lead a very happy life!\Yeah.\Sure thing! response:	See ya! Thank you for everything until now!
context: Sho...\All right, Misa...\I will walk down my own path that you are not a part of.\I'll sever off my feelings for you... and that is how I will live on.\All right! Both of you, lead a very happy life!\Yeah.\Sure thing!\See ya! Thank you for everything until now! response:	It was absolutely the most fun!
context: All right, Misa...\I will walk down my own path that you are not a part of.\I'll sever off my feelings for you... and that is how I will live on.\All right! Both of you, lead a very happy life!\Yeah.\Sure thing!\See ya! Thank you for everything until now!\It was absolutely the most fun! response:	For some reason, it was a really long day...
context: I will walk down my own path that you are not a part of.\I'll sever off my feelings for you... and that is how I will live on.\All right! Both of you, lead a very happy life!\Yeah.\Sure thing!\See ya! Thank you for everything until now!\It was absolutely the most fun!\For some reason, it was a really long day... response:	You're really late! If you're going to be this late, I wanted you to call me!
context: I'll sever off my feelings for you... and that is how I will live on.\All right! Both of you, lead a very happy life!\Yeah.\Sure thing!\See ya! Thank you for everything until now!\It was absolutely the most fun!\For some reason, it was a really long day...\You're really late! If you're going to be this late, I wanted you to call me! response:	As for you... you were up this late?
context: All right! Both of you, lead a very happy life!\Yeah.\Sure thing!\See ya! Thank you for everything until now!\It was absolutely the most fun!\For some reason, it was a really long day...\You're really late! If you're going to be this late, I wanted you to call me!\As for you... you were up this late? response:	Eating dinner together is a rule passed down the Otosaka house for generations!
context: Yeah.\Sure thing!\See ya! Thank you for everything until now!\It was absolutely the most fun!\For some reason, it was a really long day...\You're really late! If you're going to be this late, I wanted you to call me!\As for you... you were up this late?\Eating dinner together is a rule passed down the Otosaka house for generations! response:	I was busy again today doing work for the student council.
context: Sure thing!\See ya! Thank you for everything until now!\It was absolutely the most fun!\For some reason, it was a really long day...\You're really late! If you're going to be this late, I wanted you to call me!\As for you... you were up this late?\Eating dinner together is a rule passed down the Otosaka house for generations!\I was busy again today doing work for the student council. response:	If you say that, I can't say anything back...
context: See ya! Thank you for everything until now!\It was absolutely the most fun!\For some reason, it was a really long day...\You're really late! If you're going to be this late, I wanted you to call me!\As for you... you were up this late?\Eating dinner together is a rule passed down the Otosaka house for generations!\I was busy again today doing work for the student council.\If you say that, I can't say anything back... response:	And what is the home-made food tonight?
context: It was absolutely the most fun!\For some reason, it was a really long day...\You're really late! If you're going to be this late, I wanted you to call me!\As for you... you were up this late?\Eating dinner together is a rule passed down the Otosaka house for generations!\I was busy again today doing work for the student council.\If you say that, I can't say anything back...\And what is the home-made food tonight? response:	I am most satisfied with the meat-sauce spaghetti tonight!
context: For some reason, it was a really long day...\You're really late! If you're going to be this late, I wanted you to call me!\As for you... you were up this late?\Eating dinner together is a rule passed down the Otosaka house for generations!\I was busy again today doing work for the student council.\If you say that, I can't say anything back...\And what is the home-made food tonight?\I am most satisfied with the meat-sauce spaghetti tonight! response:	Otosaka house Secret! Pizza sauce.
context: You're really late! If you're going to be this late, I wanted you to call me!\As for you... you were up this late?\Eating dinner together is a rule passed down the Otosaka house for generations!\I was busy again today doing work for the student council.\If you say that, I can't say anything back...\And what is the home-made food tonight?\I am most satisfied with the meat-sauce spaghetti tonight!\Otosaka house Secret! Pizza sauce. response:	Oh, it's Haro-haro again.
context: As for you... you were up this late?\Eating dinner together is a rule passed down the Otosaka house for generations!\I was busy again today doing work for the student council.\If you say that, I can't say anything back...\And what is the home-made food tonight?\I am most satisfied with the meat-sauce spaghetti tonight!\Otosaka house Secret! Pizza sauce.\Oh, it's Haro-haro again. response:	It really is the same person.
context: Eating dinner together is a rule passed down the Otosaka house for generations!\I was busy again today doing work for the student council.\If you say that, I can't say anything back...\And what is the home-made food tonight?\I am most satisfied with the meat-sauce spaghetti tonight!\Otosaka house Secret! Pizza sauce.\Oh, it's Haro-haro again.\It really is the same person. response:	Who and who are you talking of?
context: I was busy again today doing work for the student council.\If you say that, I can't say anything back...\And what is the home-made food tonight?\I am most satisfied with the meat-sauce spaghetti tonight!\Otosaka house Secret! Pizza sauce.\Oh, it's Haro-haro again.\It really is the same person.\Who and who are you talking of? response:	Well, I mean Yusa Nishimori, and the actual person.
context: If you say that, I can't say anything back...\And what is the home-made food tonight?\I am most satisfied with the meat-sauce spaghetti tonight!\Otosaka house Secret! Pizza sauce.\Oh, it's Haro-haro again.\It really is the same person.\Who and who are you talking of?\Well, I mean Yusa Nishimori, and the actual person. response:	The actual person? Can it be that you have gotten to know her?
context: And what is the home-made food tonight?\I am most satisfied with the meat-sauce spaghetti tonight!\Otosaka house Secret! Pizza sauce.\Oh, it's Haro-haro again.\It really is the same person.\Who and who are you talking of?\Well, I mean Yusa Nishimori, and the actual person.\The actual person? Can it be that you have gotten to know her? response:	Oh crap... but they didn't tell me to stay quiet about this...
context: I am most satisfied with the meat-sauce spaghetti tonight!\Otosaka house Secret! Pizza sauce.\Oh, it's Haro-haro again.\It really is the same person.\Who and who are you talking of?\Well, I mean Yusa Nishimori, and the actual person.\The actual person? Can it be that you have gotten to know her?\Oh crap... but they didn't tell me to stay quiet about this... response:	so I guess I can tell her...
context: Otosaka house Secret! Pizza sauce.\Oh, it's Haro-haro again.\It really is the same person.\Who and who are you talking of?\Well, I mean Yusa Nishimori, and the actual person.\The actual person? Can it be that you have gotten to know her?\Oh crap... but they didn't tell me to stay quiet about this...\so I guess I can tell her... response:	Tomorrow, she's transferring into my academy.
context: Oh, it's Haro-haro again.\It really is the same person.\Who and who are you talking of?\Well, I mean Yusa Nishimori, and the actual person.\The actual person? Can it be that you have gotten to know her?\Oh crap... but they didn't tell me to stay quiet about this...\so I guess I can tell her...\Tomorrow, she's transferring into my academy. response:	That makes me way too jealous!
context: It really is the same person.\Who and who are you talking of?\Well, I mean Yusa Nishimori, and the actual person.\The actual person? Can it be that you have gotten to know her?\Oh crap... but they didn't tell me to stay quiet about this...\so I guess I can tell her...\Tomorrow, she's transferring into my academy.\That makes me way too jealous! response:	Would Ayu be able to meet her or something?
context: Who and who are you talking of?\Well, I mean Yusa Nishimori, and the actual person.\The actual person? Can it be that you have gotten to know her?\Oh crap... but they didn't tell me to stay quiet about this...\so I guess I can tell her...\Tomorrow, she's transferring into my academy.\That makes me way too jealous!\Would Ayu be able to meet her or something? response:	Well, the possibility is there.
context: Well, I mean Yusa Nishimori, and the actual person.\The actual person? Can it be that you have gotten to know her?\Oh crap... but they didn't tell me to stay quiet about this...\so I guess I can tell her...\Tomorrow, she's transferring into my academy.\That makes me way too jealous!\Would Ayu be able to meet her or something?\Well, the possibility is there. response:	Anyway, start by wiping your nosebleed clean.
context: The actual person? Can it be that you have gotten to know her?\Oh crap... but they didn't tell me to stay quiet about this...\so I guess I can tell her...\Tomorrow, she's transferring into my academy.\That makes me way too jealous!\Would Ayu be able to meet her or something?\Well, the possibility is there.\Anyway, start by wiping your nosebleed clean. response:	That is something amazing!
context: Oh crap... but they didn't tell me to stay quiet about this...\so I guess I can tell her...\Tomorrow, she's transferring into my academy.\That makes me way too jealous!\Would Ayu be able to meet her or something?\Well, the possibility is there.\Anyway, start by wiping your nosebleed clean.\That is something amazing! response:	Come on... you're getting too excited about this...
