context: The number one hero, All Might. response:	Age unknown, Quirk unidentified.
context: Aldera Junior High\Proposed Independent Training Menu\mumble mumble mumble\February 26\8:40 a.m. The same day\U.A. High School Entrance Exam Location\U.A. High School Entrance Exam Location\Didn't actually talk response:	U.A. High School Hero Course Exam Orientation
context: Proposed Independent Training Menu\mumble mumble mumble\February 26\8:40 a.m. The same day\U.A. High School Entrance Exam Location\U.A. High School Entrance Exam Location\Didn't actually talk\U.A. High School Hero Course Exam Orientation response:	Silence!!
context: mumble mumble mumble\February 26\8:40 a.m. The same day\U.A. High School Entrance Exam Location\U.A. High School Entrance Exam Location\Didn't actually talk\U.A. High School Hero Course Exam Orientation\Silence!! response:	Silence!!
context: February 26\8:40 a.m. The same day\U.A. High School Entrance Exam Location\U.A. High School Entrance Exam Location\Didn't actually talk\U.A. High School Hero Course Exam Orientation\Silence!!\Silence!! response:	You Are Here
context: 8:40 a.m. The same day\U.A. High School Entrance Exam Location\U.A. High School Entrance Exam Location\Didn't actually talk\U.A. High School Hero Course Exam Orientation\Silence!!\Silence!!\You Are Here response:	Silence!!
context: U.A. High School Entrance Exam Location\U.A. High School Entrance Exam Location\Didn't actually talk\U.A. High School Hero Course Exam Orientation\Silence!!\Silence!!\You Are Here\Silence!! response:	Exam Ticket Examinee 2234 Test Location: Battle Center B
context: U.A. High School Entrance Exam Location\Didn't actually talk\U.A. High School Hero Course Exam Orientation\Silence!!\Silence!!\You Are Here\Silence!!\Exam Ticket Examinee 2234 Test Location: Battle Center B response:	Exam Ticket Examinee 2233 Test Location: Battle Center A
context: Didn't actually talk\U.A. High School Hero Course Exam Orientation\Silence!!\Silence!!\You Are Here\Silence!!\Exam Ticket Examinee 2234 Test Location: Battle Center B\Exam Ticket Examinee 2233 Test Location: Battle Center A response:	U.A. High School Hero Course Entrance Exam
context: U.A. High School Hero Course Exam Orientation\Silence!!\Silence!!\You Are Here\Silence!!\Exam Ticket Examinee 2234 Test Location: Battle Center B\Exam Ticket Examinee 2233 Test Location: Battle Center A\U.A. High School Hero Course Entrance Exam response:	Entrance Exam
context: Silence!!\Silence!!\You Are Here\Silence!!\Exam Ticket Examinee 2234 Test Location: Battle Center B\Exam Ticket Examinee 2233 Test Location: Battle Center A\U.A. High School Hero Course Entrance Exam\Entrance Exam response:	Battle Center B
context: Silence!!\You Are Here\Silence!!\Exam Ticket Examinee 2234 Test Location: Battle Center B\Exam Ticket Examinee 2233 Test Location: Battle Center A\U.A. High School Hero Course Entrance Exam\Entrance Exam\Battle Center B response:	Next time
context: You Are Here\Silence!!\Exam Ticket Examinee 2234 Test Location: Battle Center B\Exam Ticket Examinee 2233 Test Location: Battle Center A\U.A. High School Hero Course Entrance Exam\Entrance Exam\Battle Center B\Next time response:	Next time
context: Silence!!\Exam Ticket Examinee 2234 Test Location: Battle Center B\Exam Ticket Examinee 2233 Test Location: Battle Center A\U.A. High School Hero Course Entrance Exam\Entrance Exam\Battle Center B\Next time\Next time response:	Next time: Start Line
context: Exam Ticket Examinee 2234 Test Location: Battle Center B\Exam Ticket Examinee 2233 Test Location: Battle Center A\U.A. High School Hero Course Entrance Exam\Entrance Exam\Battle Center B\Next time\Next time\Next time: Start Line response:	Next time: Start Line
