context: Here y'go, Onii-chan! response:	It's my recommended souvenirs list! Dun da-da-dun!
context: What a coincidence.\I sort of like that about myself, too.\Hey, I can appreciate a person who can say things\he doesn't mean so easily.\You know, I like myself and everything around me right now.\I haven't felt like that in ages, so I don't want to lose it.\I like where I am, and I like the people here with me.\That's why... response:	I hate myself.
context: I sort of like that about myself, too.\Hey, I can appreciate a person who can say things\he doesn't mean so easily.\You know, I like myself and everything around me right now.\I haven't felt like that in ages, so I don't want to lose it.\I like where I am, and I like the people here with me.\That's why...\I hate myself. response:	Because it's precious, because you don't want to lose it,
context: Hey, I can appreciate a person who can say things\he doesn't mean so easily.\You know, I like myself and everything around me right now.\I haven't felt like that in ages, so I don't want to lose it.\I like where I am, and I like the people here with me.\That's why...\I hate myself.\Because it's precious, because you don't want to lose it, response:	you hide it away and put up a front.
context: he doesn't mean so easily.\You know, I like myself and everything around me right now.\I haven't felt like that in ages, so I don't want to lose it.\I like where I am, and I like the people here with me.\That's why...\I hate myself.\Because it's precious, because you don't want to lose it,\you hide it away and put up a front. response:	That's why everyone lies.
context: You know, I like myself and everything around me right now.\I haven't felt like that in ages, so I don't want to lose it.\I like where I am, and I like the people here with me.\That's why...\I hate myself.\Because it's precious, because you don't want to lose it,\you hide it away and put up a front.\That's why everyone lies. response:	But...
context: I haven't felt like that in ages, so I don't want to lose it.\I like where I am, and I like the people here with me.\That's why...\I hate myself.\Because it's precious, because you don't want to lose it,\you hide it away and put up a front.\That's why everyone lies.\But... response:	The biggest liar of all
context: I like where I am, and I like the people here with me.\That's why...\I hate myself.\Because it's precious, because you don't want to lose it,\you hide it away and put up a front.\That's why everyone lies.\But...\The biggest liar of all response:	His and Her Love Confessions Will Reach No One.
context: That's why...\I hate myself.\Because it's precious, because you don't want to lose it,\you hide it away and put up a front.\That's why everyone lies.\But...\The biggest liar of all\His and Her Love Confessions Will Reach No One. response:	was me.
context: I hate myself.\Because it's precious, because you don't want to lose it,\you hide it away and put up a front.\That's why everyone lies.\But...\The biggest liar of all\His and Her Love Confessions Will Reach No One.\was me. response:	03 Quietly, Yukinoshita Yukino Makes a Decision.
context: Because it's precious, because you don't want to lose it,\you hide it away and put up a front.\That's why everyone lies.\But...\The biggest liar of all\His and Her Love Confessions Will Reach No One.\was me.\03 Quietly, Yukinoshita Yukino Makes a Decision. response:	Sure is quiet without Onii-chan around.
context: you hide it away and put up a front.\That's why everyone lies.\But...\The biggest liar of all\His and Her Love Confessions Will Reach No One.\was me.\03 Quietly, Yukinoshita Yukino Makes a Decision.\Sure is quiet without Onii-chan around. response:	Right, Ka-kun?
context: That's why everyone lies.\But...\The biggest liar of all\His and Her Love Confessions Will Reach No One.\was me.\03 Quietly, Yukinoshita Yukino Makes a Decision.\Sure is quiet without Onii-chan around.\Right, Ka-kun? response:	I hope Onii-chan's getting along okay.
context: But...\The biggest liar of all\His and Her Love Confessions Will Reach No One.\was me.\03 Quietly, Yukinoshita Yukino Makes a Decision.\Sure is quiet without Onii-chan around.\Right, Ka-kun?\I hope Onii-chan's getting along okay. response:	Right, Ka-kun?
context: The biggest liar of all\His and Her Love Confessions Will Reach No One.\was me.\03 Quietly, Yukinoshita Yukino Makes a Decision.\Sure is quiet without Onii-chan around.\Right, Ka-kun?\I hope Onii-chan's getting along okay.\Right, Ka-kun? response:	It's so boring without Onii-chan around.
context: His and Her Love Confessions Will Reach No One.\was me.\03 Quietly, Yukinoshita Yukino Makes a Decision.\Sure is quiet without Onii-chan around.\Right, Ka-kun?\I hope Onii-chan's getting along okay.\Right, Ka-kun?\It's so boring without Onii-chan around. response:	Ka-kun, let's play!
context: was me.\03 Quietly, Yukinoshita Yukino Makes a Decision.\Sure is quiet without Onii-chan around.\Right, Ka-kun?\I hope Onii-chan's getting along okay.\Right, Ka-kun?\It's so boring without Onii-chan around.\Ka-kun, let's play! response:	Good kitty, good kitty! You're so cute!
context: 03 Quietly, Yukinoshita Yukino Makes a Decision.\Sure is quiet without Onii-chan around.\Right, Ka-kun?\I hope Onii-chan's getting along okay.\Right, Ka-kun?\It's so boring without Onii-chan around.\Ka-kun, let's play!\Good kitty, good kitty! You're so cute! response:	Your fur's so smooth! Good kitty, good kitty!
context: Sure is quiet without Onii-chan around.\Right, Ka-kun?\I hope Onii-chan's getting along okay.\Right, Ka-kun?\It's so boring without Onii-chan around.\Ka-kun, let's play!\Good kitty, good kitty! You're so cute!\Your fur's so smooth! Good kitty, good kitty! response:	Hey, Ka-kun! Where are you going?
context: Right, Ka-kun?\I hope Onii-chan's getting along okay.\Right, Ka-kun?\It's so boring without Onii-chan around.\Ka-kun, let's play!\Good kitty, good kitty! You're so cute!\Your fur's so smooth! Good kitty, good kitty!\Hey, Ka-kun! Where are you going? response:	I hope he comes home soon.
